AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Duan, Yiping; Shang, Ruishu; Zhong, Xinyan; Xie, Wei; Wang, Xingyue; Huang, Lihong	INTERNATIONAL JOURNAL OF HYDROGEN ENERGY	Dry reforming of methane; Hydrogen and syngas production; In-situ synthesis of Ni-Mo2C/Al2O3 catalyst	[Duan, Yiping; Shang, Ruishu; Zhong, Xinyan; Xie, Wei; Wang, Xingyue; Huang, Lihong] Chengdu Univ Technol, Dept Chem & Pharmaceut Engn, Chengdu 610059, Peoples R China; [Huang, Lihong] Indiana Univ Purdue Univ, Richard G Lugar Ctr Renewable Energy, Indianapolis, IN 46224 USA; [Huang, Lihong] Indiana Univ Purdue Univ, Lugar Ctr Renewable Energy, 799 W Michigan St, Indianapolis, IN 46202 USA	Huang, LH (reprint author), Chengdu Univ Technol, Dept Chem & Pharmaceut Engn, Chengdu 610051, Peoples R China.; Huang, LH (reprint author), Indiana Univ Purdue Univ, Lugar Ctr Renewable Energy, 799 W Michigan St, Indianapolis, IN 46202 USA.	National Natural Science Foundation of China [21276031, 21506111]; International Cooperation program - S & T Department of Sichuan Province of China [2015HH0013]	0	0360-3199	2016	WOS:000389786500012
Liu, Han; Wang, Bao-di; Ma, Long; Gao, Rui; Chen, Li; Li, Xiao-bo; Wang, Li-quan	JOURNAL OF ASIAN EARTH SCIENCES	Tibetan plateau; Adakitic rock; Syn-exhumation magmatism; Slab breakoff; Tethys	[Liu, Han; Wang, Bao-di; Ma, Long; Chen, Li; Li, Xiao-bo; Wang, Li-quan] Chengdu Inst Geol & Mineral Resources, Chengdu 610081, Peoples R China; [Liu, Han; Wang, Bao-di; Chen, Li; Li, Xiao-bo; Wang, Li-quan] China Geol Survey, Res Ctr Tibetan Plateau Geol, Chengdu 610081, Peoples R China; [Gao, Rui] Chengdu Univ Technol, Chengdu 610059, Peoples R China	Wang, BD (reprint author), Chengdu Inst Geol & Mineral Resources, Chengdu 610081, Peoples R China.	Natural Science Foundation of China [41303028]; Science and Technology Foundation of Sichuan Province [2014JQ0025]; Major State Basic Research Program of the People's Republic of China [2015CB452601]; Program of the China Geological Survey [DD20160015/121201010000150014]	0	1367-9120	2016	WOS:000390181000002
Tang, Ying; Li, Yinrun	NEUROCOMPUTING	Spectral ranking; HITS; Eigenvector; Ordinary differential equation	[Tang, Ying; Li, Yinrun] Chengdu Univ Technol, Dept Informat Sci & Technol, Chengdu 610059, Peoples R China; [Tang, Ying] Chengdu Univ Technol, Room 5602,NanYi Bldg,ErXianQiao East 3rd Rd 1, Chengdu 610059, Sichuan, Peoples R China	Tang, Y (reprint author), Chengdu Univ Technol, Dept Informat Sci & Technol, Chengdu 610059, Peoples R China.; Tang, Y (reprint author), Chengdu Univ Technol, Room 5602,NanYi Bldg,ErXianQiao East 3rd Rd 1, Chengdu 610059, Sichuan, Peoples R China.		0	0925-2312	2016	WOS:000388777400053
Xiong, Liangpeng; Liu, Xiaoli	MATHEMATICA SLOVACA	analytic functions; linear topologial structure; Hadamard product; radius equation; extreme points; distortion inequality	[Xiong, Liangpeng] Wuhan Univ, Sch Math & Stat, Wuhan 430072, Hubei, Peoples R China; [Liu, Xiaoli] ChengDu Univ Technol, Engn & Tech Coll, Leshan 614007, Sichuan, Peoples R China	Xiong, LP (reprint author), Wuhan Univ, Sch Math & Stat, Wuhan 430072, Hubei, Peoples R China.	Scientific Research Fund of SiChuan Provincial Education Department of China [14ZB0364]	0	0139-9918	2016	WOS:000398461200005
Liu, Shaoli; Li, Xin; Wang, Minxi	SUSTAINABILITY	aluminum resources; sustainable supply; supply structure; guarantee degree	[Liu, Shaoli; Li, Xin; Wang, Minxi] Chengdu Univ Technol, Coll Management Sci, Chengdu 610059, Peoples R China	Li, X (reprint author), Chengdu Univ Technol, Coll Management Sci, Chengdu 610059, Peoples R China.	cultivating program of excellent innovation team of Chengdu University of Technology [KYTD201406]; resources environment strategy research team of Sichuan's high level social science research team; special funds of central finance support the development of local colleges and universities; project of Sichuan Mineral Resources Research Center [SCKCZY2016-ZD001]; Key Program of Sichuan Province Cyclic Economy Research Center [XHJJ-1601]	0	2071-1050	2016	WOS:000393315100058
Su, Zhe; Wang, Erchie; Wang, Gang; Fan, Chun	TERRESTRIAL ATMOSPHERIC AND OCEANIC SCIENCES	Ludian earthquake (Ms 6.5); Chuan-Dian Block; Daliang Shan fault zone; GPS strain rate; Focal mechanism solution analysis	[Su, Zhe] China Earthquake Adm, Inst Crustal Dynam, Key Lab Crustal Dynam, Beijing, Peoples R China; [Wang, Erchie] Chinese Acad Sci, Inst Geol & Geophys, State Key Lab Lithospher Evolut, Beijing, Peoples R China; [Wang, Gang] Chengdu Univ Technol, Coll Earth Sci, Chengdu, Peoples R China; [Fan, Chun] China Univ Geosci, Sch Energy Resources, Beijing, Peoples R China	Su, Z (reprint author), China Earthquake Adm, Inst Crustal Dynam, Key Lab Crustal Dynam, Beijing, Peoples R China.	Cross Strait Cooperation Project [4141101073]; Youth Program [41502219]; Key Program of the National Natural Science Foundation of China [41130312]; Self-determined Project from the State of Key Laboratory of Lithospheric Evolution, Institute of Geology and Geophysics, Chinese Academy of Sciences [11511270]; Institute of Crustal Dynamics, China Earthquake Administration [ZDJ2013-22, ZDJ2015-15]	0	1017-0839	2016	WOS:000394151100007
Xiao Dianshi; Lu Shuangfang; Lu Zhengyuan; Huang Wenbiao; Gu Meiwei	PETROLEUM EXPLORATION AND DEVELOPMENT	tight sandstone; pore throat structure; pore to throat ratio; pore size distribution; rate-controlled porosimetry; nuclear magnetic resonance	[Xiao Dianshi; Lu Shuangfang; Huang Wenbiao; Gu Meiwei] China Univ Petr, Inst Unconvent Oil & Gas & New Energy, Qingdao 266580, Peoples R China; [Xiao Dianshi; Lu Zhengyuan] Chengdu Univ Technol, State Key Lab Oil & Gas Reservoir Geol & Exploita, Chengdu 610059, Peoples R China	Lu, SF (reprint author), China Univ Petr, Inst Unconvent Oil & Gas & New Energy, Qingdao 266580, Peoples R China.	National Natural Science Foundation of China [41602141, 41330313, 41402109]	0	1000-0747	2016	WOS:000393189100013
Ran Bo; Liu Shugen; Jansa, Luba; Sun Wei; Yang Di; Wang Shiyu; Ye Yuehao; Xiao, Christopher; Zhanhg Jian; Zhai Cangbo; Luo Chao; Zhang Changjun	ACTA GEOLOGICA SINICA-ENGLISH EDITION	Longmaxi Shale; shale gas; reservoir; Upper Yangtze block; preservation condition	[Ran Bo; Liu Shugen; Sun Wei; Yang Di; Ye Yuehao; Zhanhg Jian; Luo Chao; Zhang Changjun] Chengdu Univ Technol, State Key Lab Oil & Gas Reservoir Geol & Exploita, Chengdu 610059, Peoples R China; [Jansa, Luba] Dalhousie Univ, Geol Survey Canada Atlantic, Halifax, NS, Canada; [Jansa, Luba] Dalhousie Univ, Dept Earth Sci, Halifax, NS, Canada; [Wang Shiyu] Res Inst Yanchang Petr Grp Co Ltd, Xian 710075, Peoples R China; [Xiao, Christopher] Univ Houston, 4800 Calhoun Rd, Houston, TX 77004 USA; [Zhai Cangbo] SINOPEC Explorat & Prod Res Inst, Wuxi Inst Petr Geol, Wuxi 214151, Peoples R China	Liu, SG (reprint author), Chengdu Univ Technol, State Key Lab Oil & Gas Reservoir Geol & Exploita, Chengdu 610059, Peoples R China.	Science and Technology Support Program of Sichuan Province [15ZC1390]; National Natural Science Foundation of China [41102064]	1	1000-9515	2016	WOS:000392873500018
He Siming; Ouyang Chaojun; Liu Wei; Wang Dongpo	ACTA GEOLOGICA SINICA-ENGLISH EDITION	debris flows; two-phase model; sediment transport; entrainment rate; finite volume method	[He Siming; Ouyang Chaojun; Liu Wei] Chinese Acad Sci, Key Lab Mt Hazards & Surface Proc, Chengdu 610041, Peoples R China; [He Siming; Ouyang Chaojun; Liu Wei] Chinese Acad Sci, IMHE, Chengdu 610041, Peoples R China; [He Siming] Chinese Acad Sci, Ctr Excellence Tibetan Plateau Earth Sci, Beijing 100101, Peoples R China; [Wang Dongpo] Chengdu Univ Technol, State Key Lab Geohazard Prevent & Geoenvironm Pro, Chengdu 610059, Peoples R China	Ouyang, CJ (reprint author), Chinese Acad Sci, Key Lab Mt Hazards & Surface Proc, Chengdu 610041, Peoples R China.; Ouyang, CJ (reprint author), Chinese Acad Sci, IMHE, Chengdu 610041, Peoples R China.	NSFC [41572303, 4151001059, 41101008]; National Science & Technology Pillar Program [2014BAL05B01]; CAS "Light of West China" Program	0	1000-9515	2016	WOS:000392873500019
Liu Changjiang; Zheng Zhoulian; Yang Xiaoyan	Earthquake Engineering and Engineering Vibration	membrane; nonlinear vibration; numerical analysis; impact load; parameter analysis	[Liu Changjiang] Chengdu Univ Technol, State Key Lab Geohazard Prevent & Geoenvironm Pro, Chengdu 610059, Peoples R China; [Liu Changjiang] Chengdu Univ Technol, Coll Environm & Civil Engn, Chengdu 610059, Peoples R China; [Zheng Zhoulian] Chongqing Univ, Coll Civil Engn, Chongqing 400045, Peoples R China; [Yang Xiaoyan] Chengdu Univ Technol, Coll Nucl Technol & Automat Engn, Chengdu 610059, Peoples R China	Liu, CJ (reprint author), Chengdu Univ Technol, State Key Lab Geohazard Prevent & Geoenvironm Pro, Chengdu 610059, Peoples R China.; Liu, CJ (reprint author), Chengdu Univ Technol, Coll Environm & Civil Engn, Chengdu 610059, Peoples R China.	National Natural Science Foundation of China [51178485]; personnel development project for young and middle-aged key teachers of Chengdu University of Technology [KYGG201303]	0	1671-3664	2016	WOS:000392807200007
