AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Wu Xiaolu; Yuan Jie; Luo Aoxue; Chen Yu; Fan Yijun	INDUSTRIAL CROPS AND PRODUCTS	Drought stress; Dendrobium moniliforme; Photosynthesis; Antioxidant enzyme; Secondary metabolites	[Wu Xiaolu; Yuan Jie; Luo Aoxue; Chen Yu; Fan Yijun] Sichuan Agr Univ, Dept Landscape Plants, Chengdu 611130, Peoples R China	Fan, YJ (reprint author), Sichuan Agr Univ, Dept Landscape Plants, Chengdu 611130, Peoples R China.	Education Department Foundation of Sichuan Province of China [15ZB0016]; International Science and Technology Cooperation and Exchange Research Program of Sichuan Province [2016HH0058]; specimen platform of China, teaching specimens sub-platform [2005DKA21403-JK]	0	0926-6690	2016	WOS:000387298100041
Geng, Yi; Gray, Matthew James; Wang, Kaiyu; Chen, Defang; Ouyang, Ping; Huang, Xiaoli; He, Changliang; Zhong, Zhijun; Yang, Zexiao	ASIAN HERPETOLOGICAL RESEARCH	pathology; CGSRV; Andrias davidianus; ranavirus; China	[Geng, Yi; Wang, Kaiyu; Ouyang, Ping; He, Changliang; Zhong, Zhijun; Yang, Zexiao] Sichuan Agr Univ, Coll Vet Med, Yaan 625014, Sichuan, Peoples R China; [Gray, Matthew James] Univ Tennessee, Ctr Wildlife Hlth, Knoxville, TN USA; [Chen, Defang; Huang, Xiaoli] Sichuan Agr Univ, Dept Aquaculture, Yaan 625014, Sichuan, Peoples R China	Geng, Y (reprint author), Sichuan Agr Univ, Yaan, Sichuan, Peoples R China.	Sichuan Technology Support Planning [2014 NZ0027]; Sichuan Academic Leader Training Fund [2015 RST0016]	0	2095-0357	2016	WOS:000393016700004
Wang, Kaiyu; Wang, Erlong; Qin, Zhenyang; Zhou, Zhen; Geng, Yi; Chen, Defang	ONCOTARGET	fish; vitamin E; deficiency; histopathology; ultrastructural pathology; Pathology Section	[Wang, Kaiyu; Wang, Erlong; Qin, Zhenyang; Zhou, Zhen; Geng, Yi] Sichuan Agr Univ, Dept Basic Vet, Chengdu, Sichuan, Peoples R China; [Wang, Kaiyu; Geng, Yi] Sichuan Agr Univ, Key Lab Anim Dis & Human Hlth Sichuan Prov, Chengdu, Sichuan, Peoples R China; [Chen, Defang] Sichuan Agr Univ, Dept Aquaculture, Chengdu, Sichuan, Peoples R China	Wang, KY (reprint author), Sichuan Agr Univ, Dept Basic Vet, Chengdu, Sichuan, Peoples R China.		0	1949-2553	2016	WOS:000391353200008
Wang, Erlong; Long, Bo; Wang, Kaiyu; Wang, Jun; He, Yang; Wang, Xingli; Yang, Qian; Liu, Tao; Chen, Defang; Geng, Yi; Huang, Xiaoli; Ouyang, Ping; Lai, Weimin	ONCOTARGET	aquaculture; bacterial diseases; DNA vaccine; interleukin-8; molecular adjuvant; Immunology and Microbiology Section; Immune response; Immunity	[Wang, Erlong; Long, Bo; Wang, Kaiyu; Wang, Jun; He, Yang; Wang, Xingli; Yang, Qian; Liu, Tao; Geng, Yi; Ouyang, Ping; Lai, Weimin] Sichuan Agr Univ, Dept Basic Vet, Coll Vet Med, Chengdu, Sichuan, Peoples R China; [Wang, Kaiyu; Geng, Yi] Sichuan Agr Univ, Key Lab Anim Dis & Human Hlth Sichuan Prov, Chengdu, Sichuan, Peoples R China; [Chen, Defang; Huang, Xiaoli] Sichuan Agr Univ, Dept Aquaculture, Coll Anim Sci & Technol, Chengdu, Sichuan, Peoples R China	Wang, KY (reprint author), Sichuan Agr Univ, Dept Basic Vet, Coll Vet Med, Chengdu, Sichuan, Peoples R China.; Wang, KY (reprint author), Sichuan Agr Univ, Key Lab Anim Dis & Human Hlth Sichuan Prov, Chengdu, Sichuan, Peoples R China.		0	1949-2553	2016	WOS:000391353200013
Chen, Binlong; Li, Diyan; Li, Miao; Li, Sichen; Peng, Kenan; Shi, Xian; Zhou, Lanyun; Zhang, Pu; Xu, Zhongxian; Yin, Huadong; Wang, Yan; Zhao, Xiaoling; Zhu, Qing	ONCOTARGET	aflatoxin B-2; mitochondria-mediated apoptosis; PI3K/Akt/mTOR-mediated autophagy; hepatocytes; broiler	[Chen, Binlong; Li, Diyan; Li, Miao; Li, Sichen; Peng, Kenan; Shi, Xian; Zhou, Lanyun; Zhang, Pu; Xu, Zhongxian; Yin, Huadong; Wang, Yan; Zhao, Xiaoling; Zhu, Qing] Sichuan Agr Univ, Farm Anim Genet Resources Explorat & Innovat Key, Chengdu 611130, Peoples R China	Zhu, Q (reprint author), Sichuan Agr Univ, Farm Anim Genet Resources Explorat & Innovat Key, Chengdu 611130, Peoples R China.		0	1949-2553	2016	WOS:000391353200097
Yuan, Lei; Wu, Rui; Liu, Hanyang; Wen, Xintian; Huang, Xiaobo; Wen, Yiping; Ma, Xiaoping; Yan, Qigui; Huang, Yong; Zhao, Qin; Cao, Sanjie	GENE	Japanese encephalitis virus; RNA interference; NS3 gene; NS4A gene	[Yuan, Lei; Wu, Rui; Liu, Hanyang; Wen, Xintian; Huang, Xiaobo; Wen, Yiping; Ma, Xiaoping; Yan, Qigui; Huang, Yong; Zhao, Qin; Cao, Sanjie] Sichuan Agr Univ, Coll Vet Med, Res Ctr Swine Dis, Chengdu 611130, Peoples R China; [Yuan, Lei; Wu, Rui; Liu, Hanyang; Wen, Xintian; Huang, Xiaobo; Wen, Yiping; Ma, Xiaoping; Yan, Qigui; Huang, Yong; Zhao, Qin; Cao, Sanjie] Sichuan Agr Univ, Coll Vet Med, Lab Zoonosis, Chengdu 611130, Peoples R China; [Wu, Rui; Wen, Xintian; Huang, Xiaobo; Wen, Yiping; Ma, Xiaoping; Yan, Qigui; Huang, Yong; Cao, Sanjie] Minist Agr, Sichuan Sci Observat Expt Vet Drugs & Vet Biol Te, Chengdu 611130, Peoples R China	Cao, SJ (reprint author), Sichuan Agr Univ, Coll Vet Med, Res Ctr Swine Dis, Chengdu 611130, Peoples R China.	National Program on Key Research Project of China [2016YFD0500403]	1	0378-1119	2016	WOS:000386740500003
Wang, Xiaolong; Liu, Jing; Zhou, Guangxian; Guo, Jiazhong; Yan, Hailong; Niu, Yiyuan; Li, Yan; Yuan, Chao; Geng, Rongqing; Lan, Xianyong; An, Xiaopeng; Tian, Xingui; Zhou, Huangkai; Song, Jiuzhou; Jiang, Yu; Chen, Yulin	SCIENTIFIC REPORTS		[Wang, Xiaolong; Liu, Jing; Zhou, Guangxian; Yan, Hailong; Niu, Yiyuan; Li, Yan; Geng, Rongqing; Lan, Xianyong; An, Xiaopeng; Jiang, Yu; Chen, Yulin] Northwest A&F Univ, Coll Anim Sci & Technol, Yangling 712100, Peoples R China; [Guo, Jiazhong] Sichuan Agr Univ, Coll Anim Sci & Technol, Yaan 625000, Peoples R China; [Yan, Hailong] Yulin Univ, Coll Life Sci, Yulin 719000, Peoples R China; [Yuan, Chao] CAAS, Lanzhou Inst Husb & Pharmaceut Sci, Lanzhou 730050, Peoples R China; [Geng, Rongqing] Yancheng Teachers Univ, Coll Pharm, Yancheng 224051, Peoples R China; [Tian, Xingui] Guizhou Univ, Guiyang 550000, Peoples R China; [Zhou, Huangkai] Guangzhou Gene De Novo Biotechnol Co Ltd, Guangzhou 510000, Guangdong, Peoples R China; [Song, Jiuzhou] Univ Maryland, Dept Anim & Avian Sci, College Pk, MD 20742 USA	Chen, YL (reprint author), Northwest A&F Univ, Coll Anim Sci & Technol, Yangling 712100, Peoples R China.	National Science Foundation Council [31372279, 31402038, 31572369]; Fundamental Research Funds for the Central Universities [2014YB008]; Major Projects for New Varieties of Genetically Modified Organisms of China [2014ZX08008-002]; Natural Science Foundation [2014JM3068]; International Sci-Tech Cooperation Program of Shaanxi Province [2014KW14-01]	0	2045-2322	2016	WOS:000389653100001
Lin, Sen; Zhang, Yalin; Long, Yanrong; Wan, Haifeng; Che, Lianqiang; Lin, Yan; Xu, Shengyu; Feng, Bin; Li, Jian; Wu, De; Fang, Zhengfeng	LIPIDS IN HEALTH AND DISEASE	Sow; Mastitis; Periparturient period; Mammary epithelial cells; DHA	[Lin, Sen; Zhang, Yalin; Long, Yanrong; Wan, Haifeng; Che, Lianqiang; Lin, Yan; Xu, Shengyu; Feng, Bin; Li, Jian; Wu, De; Fang, Zhengfeng] Sichuan Agr Univ, Key Lab Anim Dis Resistance Nutr, Minist Educ, Inst Anim Nutr, Chengdu 611130, Peoples R China	Fang, ZF (reprint author), Sichuan Agr Univ, Key Lab Anim Dis Resistance Nutr, Minist Educ, Inst Anim Nutr, Chengdu 611130, Peoples R China.	National Natural Science Foundation of China [30901042]; Sichuan Province Science Foundation for Fostering Youths Talents [2011JQ0015]; Key Program Foundaton of the Education Department of Sichuan Province; Novus Research Fellowship (NRF)	0	1476-511X	2016	WOS:000390069100003
Che, Long; Xu, Mengmeng; Yang, Zhenguo; Xu, Shengyu; Che, Lianqiang; Lin, Yan; Fang, Zhengfeng; Feng, Bin; Li, Jian; Chen, Daiwen; Wu, De	PLOS ONE		[Che, Long; Xu, Mengmeng; Yang, Zhenguo; Xu, Shengyu; Che, Lianqiang; Lin, Yan; Fang, Zhengfeng; Feng, Bin; Li, Jian; Chen, Daiwen; Wu, De] Sichuan Agr Univ, Inst Anim Nutr, Key Lab Anim Dis Resistance Nutr, Minist Educ China, Yaan Shi, Sichuan Sheng, Peoples R China	Wu, D (reprint author), Sichuan Agr Univ, Inst Anim Nutr, Key Lab Anim Dis Resistance Nutr, Minist Educ China, Yaan Shi, Sichuan Sheng, Peoples R China.	Program for Changjiang Scholars and Innovative Research Team in University [IRT13083]; National Basic Research Program of China (973 Program) [2012CB124701]	0	1932-6203	2016	WOS:000389587100196
Tang, Jingsi; Ning, Ruihong; Zeng, Bo; Li, Ying	PLOS ONE		[Tang, Jingsi; Ning, Ruihong; Zeng, Bo; Li, Ying] Sichuan Agr Univ, Farm Anim Genet Resources Explorat & Innovat Key, Chengdu, Peoples R China	Li, Y (reprint author), Sichuan Agr Univ, Farm Anim Genet Resources Explorat & Innovat Key, Chengdu, Peoples R China.	"1000-Talent Program" in Sichuan; University of Sichuan Bureau of Education	0	1932-6203	2016	WOS:000389587100216
