AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Shao, Y. B.; Wang, Y. M.	STEEL AND COMPOSITE STRUCTURES	I-girder; shear behavior; corrugated web; concrete-filled tubular flange; failure mechanism	[Shao, Y. B.; Wang, Y. M.] Southwest Petr Univ, Sch Mechatron Engn, Xindu Rd 8, Chengdu 610500, Peoples R China	Shao, YB (reprint author), Southwest Petr Univ, Sch Mechatron Engn, Xindu Rd 8, Chengdu 610500, Peoples R China.		0	1229-9367	2016	WOS:000391138700011
Chen, Xin; Chang, Junbo; Yang, Huijun; Xia, Dingguo	JOURNAL OF PHYSICAL CHEMISTRY C		[Chen, Xin; Chang, Junbo] Southwest Petr Univ, Coll Chem & Chem Engn, Ctr New Energy Mat & Technol, Chengdu 610500, Peoples R China; [Chen, Xin; Yang, Huijun; Xia, Dingguo] Peking Univ, Coll Engn, Beijing Key Lab Theory & Technol Adv Battery Mat, Beijing 100871, Peoples R China	Xia, DG (reprint author), Peking Univ, Coll Engn, Beijing Key Lab Theory & Technol Adv Battery Mat, Beijing 100871, Peoples R China.	National Natural Science Foundation of China [51602270, 51671004]; Project of Education Department of Sichuan Province [16ZB0084]	0	1932-7447	2016	WOS:000391160400002
Sun, Jie; Jing, Jiaqiang; Wu, Cheng; Xiao, Fei; Luo, Xiaoxuan	JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY	Foamy heavy oil; Cold transportation; Stability; Drag characteristics; Viscosity reduction	[Sun, Jie; Jing, Jiaqiang; Wu, Cheng; Xiao, Fei; Luo, Xiaoxuan] Southwest Petr Univ, Sch Oil & Nat Gas Engn, Chengdu 610500, Peoples R China; [Jing, Jiaqiang] Oil & Gas Fire Protect Key Lab Sichuan Prov, Chengdu 611731, Peoples R China	Jing, JQ (reprint author), Southwest Petr Univ, Chengdu 610500, Peoples R China.	National Natural Science Foundation of China [51074136]; Research Fund for the Doctoral Program of Higher Education of China [20115121110004]; Science and Technology Project of Sichuan Province [2015JY0099]	0	1226-086X	2016	WOS:000386316700014
Fang, Shenwen; Chen, Ting; Chen, Bin; Xiong, Yan; Zhu, Ying; Duan, Ming	COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS	Graphene oxide; Adsorption; Assembly; Emulsion; Demulsification	[Fang, Shenwen; Chen, Ting; Chen, Bin; Xiong, Yan; Zhu, Ying; Duan, Ming] Southwest Petr Univ, Sch Chem & Chem Engn, Chengdu 610500, Sichuan, Peoples R China; [Fang, Shenwen; Xiong, Yan; Duan, Ming] Oil & Gas Appl Chem Key Lab Sichuan Prov, Chengdu 610500, Sichuan, Peoples R China	Duan, M (reprint author), Southwest Petr Univ, Sch Chem & Chem Engn, Chengdu 610500, Sichuan, Peoples R China.	Key technologies R&D program of China [2016ZX05025003-003]; National Natural Science Foundation of China [51504201]; Sichuan Youth Science & Technology Foundation for Innovation Team [2015TD0007]	0	0927-7757	2016	WOS:000388547000006
Zhang, Rui; Huo, Jin-Hua; Peng, Zhi-Gang; Luo, Wen-Jia; Feng, Qian; Wang, Ji-Xing; Zhang, Jian	COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS	Absorption; In situ surface activation; Double phase inversion; Molecular dynamic stimulation	[Zhang, Rui; Huo, Jin-Hua; Peng, Zhi-Gang; Luo, Wen-Jia; Feng, Qian; Wang, Ji-Xing; Zhang, Jian] Southwest Petr Univ, Coll Chem & Chem Engn, Chengdu 610500, Sichuan, Peoples R China	Peng, ZG (reprint author), Southwest Petr Univ, Coll Chem & Chem Engn, Chengdu 610500, Sichuan, Peoples R China.		0	0927-7757	2016	WOS:000388547000012
Pu, Wan-Fen; Yang, Yang; Yuan, Cheng-Dong	JOURNAL OF APPLIED POLYMER SCIENCE	crosslinking; gels; oil & gas	[Pu, Wan-Fen; Yang, Yang; Yuan, Cheng-Dong] Southwest Petr Univ, State Key Lab Oil & Gas Reservoir Geol & Exploita, Chengdu, Peoples R China; [Pu, Wan-Fen; Yang, Yang; Yuan, Cheng-Dong] Southwest Petr Univ, Sch Oil & Nat Gas Engn, Chengdu, Peoples R China	Yang, Y (reprint author), Southwest Petr Univ, State Key Lab Oil & Gas Reservoir Geol & Exploita, Chengdu, Peoples R China.; Yang, Y (reprint author), Southwest Petr Univ, Sch Oil & Nat Gas Engn, Chengdu, Peoples R China.	State Key Laboratory of Oil and Gas Reservoir Geology and Exploitation; Southwest Petroleum University	0	0021-8995	2016	WOS:000383699800017
Han, Hui; Cao, Yan; Chen, Shi-jia; Lu, Jun-gang; Huang, Cai-xia; Zhu, Hai-hua; Zhan, Pan; Gao, Yuan	FUEL	Sichuan Basin; Longmaxi Shale; Low-pressure gas adsorption; Particle size; Pore structure	[Han, Hui; Cao, Yan; Chen, Shi-jia; Lu, Jun-gang; Huang, Cai-xia; Zhu, Hai-hua; Zhan, Pan] Southwest Petr Univ, Sch Geosci & Technol, Chengdu 610500, Sichuan, Peoples R China; [Han, Hui] China Univ Geosci, Key Lab Tecton & Petr Resource, Minist Educ, Wuhan 430074, Peoples R China; [Gao, Yuan] Beijing Ctr Phys & Chem Anal, Beijing 100089, Peoples R China	Han, H (reprint author), Southwest Petr Univ, Sch Geosci & Technol, Chengdu 610500, Sichuan, Peoples R China.	National Science Foundation of China [41502144]; Young Scholars Development Fund of Southwest Petroleum University (SWPU) [201499010088]; Fund of Education Department of Sichuan Province [16ZA0075]; Fund of Key Laboratory of Tectonics and Petroleum Resources [TPR-2015-06]; Sichuan Province University Scientific Innovation Team Construction Project (USITCP)	1	0016-2361	2016	WOS:000385318600076
Ma, Xiping; Zhu, Zhongxiang; Dai, Leiyang; Liu, Linyuan; Shi, Wei	RUSSIAN JOURNAL OF APPLIED CHEMISTRY		[Ma, Xiping; Zhu, Zhongxiang; Shi, Wei] Southwest Petr Univ, Sch Chem & Chem Engn, Chengdu 610500, Peoples R China; [Dai, Leiyang] CNOOC China Ltd, Tianjin Branch, Bohai Oilfield Res Inst, Tianjin 300452, Peoples R China; [Liu, Linyuan] Southwest Co, China Petr Engn Co Ltd, Chengdu 610000, Peoples R China	Zhu, ZX (reprint author), Southwest Petr Univ, Sch Chem & Chem Engn, Chengdu 610500, Peoples R China.		0	1070-4272	2016	WOS:000399742800013
Zhu, Pengfei; Chen, Yanjun; Duan, Ming; Liu, Mei; Zhou, Meng	RUSSIAN JOURNAL OF APPLIED CHEMISTRY		[Zhu, Pengfei; Chen, Yanjun; Duan, Ming; Liu, Mei; Zhou, Meng] Southwest Petr Univ, Sch Chem & Chem Engn, Chengdu 610500, Peoples R China	Zhu, PF (reprint author), Southwest Petr Univ, Sch Chem & Chem Engn, Chengdu 610500, Peoples R China.	Ministry of Natural Science Foundation of China [21406184]	0	1070-4272	2016	WOS:000399742800014
Tang, Xiao-dong; Lu, Hai; Li, Jing-jing; Chen, Lu	RUSSIAN JOURNAL OF APPLIED CHEMISTRY		[Tang, Xiao-dong; Lu, Hai; Li, Jing-jing; Chen, Lu] Southwest Petr Univ, State Key Lab Oil & Gas Reservoir Geol & Exploita, Chengdu 610500, Peoples R China; [Tang, Xiao-dong; Lu, Hai; Li, Jing-jing] Southwest Petr Univ, Coll Chem & Chem Engn, Chengdu 610500, Peoples R China	Li, JJ (reprint author), Southwest Petr Univ, State Key Lab Oil & Gas Reservoir Geol & Exploita, Chengdu 610500, Peoples R China.; Li, JJ (reprint author), Southwest Petr Univ, Coll Chem & Chem Engn, Chengdu 610500, Peoples R China.	Young Scholars Development Fund of Southwest Petroleum University (SWPU) [201131010032]	0	1070-4272	2016	WOS:000399742800016
