AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Tu, Xiang; Deng, YuanPing; Chen, Jing; Hu, Quan; He, ChengShi; Jordan, James B.; Zhong, Sen	JOURNAL OF ETHNOPHARMACOLOGY	Angiogenesis; Cancer; Heat-clearing and detoxicating; Traditional Chinese Medicine (TCM); Zebrafish	[Tu, Xiang; Jordan, James B.; Zhong, Sen] Chengdu Univ Tradit Chinese Med, Natl Tradit Chinese Med Clin Res Base, Teaching Hosp, Chengdu 610072, Sichuan Provinc, Peoples R China; [Deng, YuanPing] Tradit Chinese Med Hosp Fushun Cty, Dept Internal Med, Fushun 643200, Sichuan Provinc, Peoples R China; [Chen, Jing] Chengdu Univ Tradit Chinese Med, Dept Hepatol, Teaching Hosp, Chengdu 610072, Sichuan Provinc, Peoples R China; [Hu, Quan] Chengdu Univ Tradit Chinese Med, Dept Gerontol, Teaching Hosp, Chengdu 610072, Sichuan Provinc, Peoples R China; [He, ChengShi] Chengdu Univ Tradit Chinese Med, Dept Pneumol, Teaching Hosp, Chengdu 610072, Sichuan Provinc, Peoples R China	Zhong, S (reprint author), Chengdu Univ Tradit Chinese Med, Natl Tradit Chinese Med Clin Res Base, Teaching Hosp, Chengdu 610072, Sichuan Provinc, Peoples R China.	Sichuan Province: Support Project in Science Technology [2014SZ0140, 2015SZ0038]; Sichuan Province Early Career Medical Research: An Innovative Project [Q15063]; Department of Science and Technology of Sichuan Province; Sichuan Medical Association	1	0378-8741	2016	WOS:000391076800029
Zhang, Cong-en; Niu, Ming; Li, Qi; Zhao, Yan-ling; Ma, Zhi-jie; Xiong, Yin; Dong, Xiao-ping; Li, Rui-yu; Feng, Wu-wen; Dong, Qing; Ma, Xiao; Zhu, Yun; Zou, Zheng-sheng; Cao, Jun-ling; Wang, Jia-bo; Xiao, Xiao-he	JOURNAL OF ETHNOPHARMACOLOGY	Metabolomics; Urine; Liver injury; Polygonum multiflorum L.; Processed products; LC-MS	[Zhang, Cong-en; Niu, Ming; Li, Qi; Zhao, Yan-ling; Li, Rui-yu; Feng, Wu-wen; Dong, Qing; Ma, Xiao; Wang, Jia-bo; Xiao, Xiao-he] 302 Mil Hosp, China Mil Inst Chinese Med, Beijing, PR, Peoples R China; [Zhang, Cong-en; Dong, Xiao-ping; Li, Rui-yu; Feng, Wu-wen; Dong, Qing; Ma, Xiao] Chengdu Univ Tradit Chinese Med, Coll Pharm, Chengdu, Peoples R China; [Ma, Zhi-jie] Capital Med Univ, Beijing Friendship Hosp, Beijing, Peoples R China; [Zou, Zheng-sheng] 302 Mil Hosp, Diag & Treatment Ctr Noninfect Dis, Beijing, Peoples R China; [Cao, Jun-ling] Beijing Univ Chinese Med, Dongzhimen Hosp, Beijing, Peoples R China; [Zhu, Yun] 302 Mil Hosp, Integrat Med Ctr, Beijing, Peoples R China; [Xiong, Yin] Kunming Univ Sci & Technol, Fac Life Sci & Technol, Kunming, Peoples R China	Wang, JB (reprint author), 302 Mil Hosp, China Mil Inst Chinese Med, Beijing, PR, Peoples R China.; Xiao, XH (reprint author), 302 Mil Hosp, Integrat Med Ctr, Beijing, Peoples R China.	National Key Technology RD Program [2015ZX09501-004-001-008]; National TCM Industry Science and Technology Program [201507004-04]; National Natural Science Foundation of China [81373984, 81403126]; Beijing Municipal Natural Science Foundation [7152142]	0	0378-8741	2016	WOS:000391076800031
Dai Min; Peng Cheng; Sun Fenghui	JOURNAL OF TRADITIONAL CHINESE MEDICINE	Amomum tsaoko; Oils; volatile; Anti-bacterial agents; Chemistry	[Dai Min; Sun Fenghui] Chengdu Med Coll, Sch Lab Med, Chengdu 610500, Peoples R China; [Peng Cheng] Chengdu Univ Tradit Chinese Med, Coll Pharmaceut, State Key Lab Systemat Res & Exploitat Tradit Chi, Chengdu 611137, Peoples R China	Peng, C (reprint author), Chengdu Univ Tradit Chinese Med, Coll Pharmaceut, State Key Lab Systemat Res & Exploitat Tradit Chi, Chengdu 611137, Peoples R China.	Fund of Department of Science and Technology of Sichuan Province [2016JY0014, 2016FZ0068]; Sichuan Province Office of Education [16TD0027, 15ZB0238]; Open-Study Funds of State Key Laboratory Breeding Base of Systematic Research, Development and Utilization of Chinese Medicine, Chengdu University of Traditional Chinese Medicine; Scientific Research Fund of Chengdu Medical College [CYZ15-02]	0	0255-2922	2016	WOS:000390087100018
Li, Chun-Yu; Tu, Can; Gao, Dan; Wang, Rui-Lin; Zhang, Hai-Zhu; Niu, Ming; Li, Rui-Yu; Zhang, Cong-En; Li, Rui-Sheng; Xiao, Xiao-He; Yang, Mei-Hua; Wang, Jia-Bo	FRONTIERS IN PHARMACOLOGY	metabolomics; Polygonum multiflorum; idiosyncratic liver injury; stilbenes; pathway analysis	[Li, Chun-Yu; Gao, Dan; Yang, Mei-Hua] Chinese Acad Med Sci, Inst Med Plant Dev, Beijing, Peoples R China; [Li, Chun-Yu; Gao, Dan; Yang, Mei-Hua] Peking Union Med Coll, Beijing, Peoples R China; [Li, Chun-Yu; Tu, Can; Gao, Dan; Zhang, Hai-Zhu; Niu, Ming; Li, Rui-Yu; Zhang, Cong-En; Xiao, Xiao-He; Wang, Jia-Bo] 302 Mil Hosp, China Mil Inst Chinese Med, Beijing, Peoples R China; [Tu, Can] Chengdu Univ Tradit Chinese Med, Sch Pharm, Chengdu, Peoples R China; [Wang, Rui-Lin] 302 Mil Hosp, Integrat Med Ctr, Beijing, Peoples R China; [Li, Rui-Sheng] Peoples Liberat Army, Hosp 302, Res Ctr Clin & Translat Med, Beijing, Peoples R China	Yang, MH (reprint author), Chinese Acad Med Sci, Inst Med Plant Dev, Beijing, Peoples R China.; Yang, MH (reprint author), Peking Union Med Coll, Beijing, Peoples R China.; Wang, JB (reprint author), 302 Mil Hosp, China Mil Inst Chinese Med, Beijing, Peoples R China.	China's Post-doctoral Science Fund [2016M590065]; Beijing Natural Science Foundation [7152142]; National TCM Industry Science and Technology Program [201507004-04]; National Key Technology RD Program [2015ZX 09501-004-001-008]	0	1663-9812	2016	WOS:000389743000004
Jin, Wei; Li, Qing-Jie; Song, Yang; Li, Yi-Wei; Zhang, Xiao-Yun	TROPICAL JOURNAL OF PHARMACEUTICAL RESEARCH	He-Wei-Tong-Xie decoction; Acute pancreatitis; Gastrointestinal dysfunction; Somatostatin; Omeprazole	[Jin, Wei; Li, Qing-Jie; Song, Yang; Li, Yi-Wei; Zhang, Xiao-Yun] Chengdu Univ Tradit Chinese Med, Teaching Hosp, Dept Emergency, Chengdu 610075, Peoples R China	Zhang, XY (reprint author), Chengdu Univ Tradit Chinese Med, Teaching Hosp, Dept Emergency, Chengdu 610075, Peoples R China.	Hospital Fund of Teaching Hospital of Chengdu University of Traditional Chinese Medicine [2013-D-YY07]	0	1596-5996	2016	WOS:000397811800027
Zhang, Hui; He, Shengdong; Hu, Youping; Zheng, Hui	ACUPUNCTURE IN MEDICINE		[Zhang, Hui] Southwest Med Univ, Sch Tradit Chinese Med Combined Western Med, Dept Acupuncture & Moxibust, 1 Xianglin Rd First Sect, Luzhou 646000, Sichuan, Peoples R China; [He, Shengdong] Southwest Med Univ, Affiliated Hosp, Dept Respirol, Luzhou, Sichuan, Peoples R China; [Hu, Youping; Zheng, Hui] Chengdu Univ Tradit Chinese Med, Acupuncture Coll, Chengdu, Sichuan, Peoples R China	Zhang, H (reprint author), Southwest Med Univ, Sch Tradit Chinese Med Combined Western Med, Dept Acupuncture & Moxibust, 1 Xianglin Rd First Sect, Luzhou 646000, Sichuan, Peoples R China.; Zheng, H (reprint author), Chengdu Univ Tradit Chinese Med, Acupuncture Coll, Chengdu, Sichuan, Peoples R China.	National Natural Scientific Fund of China [81102625]; Specialized Research Fund of Southwest Medical University [2016-101]	0	0964-5284	2016	WOS:000393684100007
Xie, Da-Shuai; Peng, Wei; Chen, Jun-Cheng; Li, Liang; Zhao, Chong-Bo; Yang, Shi-Long; Xu, Min; Wu, Chun-Jie; Ai, Li	FOOD SCIENCE AND BIOTECHNOLOGY	Hawthorn; intelligent sensory system; artificial neural networks; discrimination	[Xie, Da-Shuai; Peng, Wei; Li, Liang; Zhao, Chong-Bo; Yang, Shi-Long; Xu, Min; Wu, Chun-Jie; Ai, Li] Chengdu Univ Tradit Chinese Med, Coll Pharm, Chengdu 611137, Peoples R China; [Chen, Jun-Cheng] Coll Southwest Univ Nationalities, Chengdu 610225, Peoples R China	Ai, L (reprint author), Chengdu Univ Tradit Chinese Med, Coll Pharm, Chengdu 611137, Peoples R China.	National Natural Science Foundation of China [81403105]	0	1226-7708	2016	WOS:000391780700005
Wu Li-sha; Nie Yuan-yang; Yang Zhi-rong; Zhang Jie	JOURNAL OF MOUNTAIN SCIENCE	Zoige Plateau; Wetland degradation; Nitrogen-cycling microbial communities; 454-Pyrosequencing	[Wu Li-sha; Nie Yuan-yang; Yang Zhi-rong; Zhang Jie] Sichuan Univ, Coll Life Sci, Minist Educ, Key Lab Biol Resource & Ecol Environm, Chengdu 610065, Peoples R China; [Wu Li-sha] Chengdu Univ Tradit Chinese Med, Coll Med Technol, Chengdu 611137, Peoples R China	Zhang, J (reprint author), Sichuan Univ, Coll Life Sci, Minist Educ, Key Lab Biol Resource & Ecol Environm, Chengdu 610065, Peoples R China.	11th Five Years Key Programs for Science and Technology Development of China [2007BAC18B03]	0	1672-6316	2016	WOS:000391425900010
Zhu, Jiali; Xu, Keke; Zhang, Xuemei; Cao, Jiahong; Jia, Zhanrong; Yang, Ruocong; Ma, Chaoying; Chen, Chang; Zhang, Tiane; Yan, Zhiyong	BIOMEDICINE & PHARMACOTHERAPY	Valeriana jatamansi Jones; Iridoids rich fraction; Hyperlipidemia; Lipid metabolism; Mechanism; Regulation	[Zhu, Jiali; Xu, Keke; Zhang, Xuemei; Cao, Jiahong; Jia, Zhanrong; Yang, Ruocong; Ma, Chaoying; Yan, Zhiyong] Southwest Jiaotong Univ, Sch Life Sci & Engn, Chengdu 610031, Peoples R China; [Chen, Chang] China Acad Chinese Med Sci, Inst Chinese Mat Med, Beijing 100700, Peoples R China; [Zhang, Tiane] Chengdu Univ Tradit Chinese Med, Sch Basic Med, Chengdu 611137, Peoples R China	Yan, ZY (reprint author), Southwest Jiaotong Univ, Sch Life Sci & Engn, Chengdu 610031, Peoples R China.; Zhang, TN (reprint author), Chengdu Univ Tradit Chinese Med, Sch Basic Med, Chengdu 611137, Peoples R China.	Science and Technology Program of the Public Wellbeing of Chengdu [2014-HM01-00107-SF]	0	0753-3322	2016	WOS:000390438100222
Lv, Xiumei; Li, Yan; Tang, Ce; Zhang, Yi; Zhang, Jing; Fan, Gang	PHARMACEUTICAL BIOLOGY	High-performance liquid chromatography; species differentiation; Daodi medicinal materials; quality control; alkaloids	[Lv, Xiumei; Li, Yan; Tang, Ce; Zhang, Yi; Zhang, Jing; Fan, Gang] Chengdu Univ Tradit Chinese Med, Coll Ethn Med, Chengdu, Peoples R China	Fan, G (reprint author), Chengdu Univ Tradit Chinese Med, Coll Ethn Med, Chengdu, Peoples R China.	Science Development Fund of Chengdu University of Traditional Chinese Medicine [ZRMS201342]; Cultivation Program of Outstanding Young Academic and Technological Leaders of Sichuan Province [2014JQ0050]	1	1388-0209	2016	WOS:000389443300062
