AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Chen, Z. J.; Xu, G. B.; Yan, J. G.; Kuang, Z.; Chen, T. H.; Li, D. H.	JOURNAL OF APPLIED PHYSICS		[Chen, Z. J.; Xu, G. B.; Yan, J. G.; Kuang, Z.] Univ Elect Sci & Technol China, Sch Phys Elect, Chengdu 610054, Peoples R China; [Chen, T. H.] China West Normal Univ, Coll Phys & Space Sci, Nanchong 637002, Peoples R China; [Li, D. H.] Sichuan Normal Univ, Coll Phys & Elect Engn, Chengdu 610066, Peoples R China	Chen, ZJ (reprint author), Univ Elect Sci & Technol China, Sch Phys Elect, Chengdu 610054, Peoples R China.	National research project of China West Normal University [13C008]; Key Projects of Sichuan Provincial Education Department [2016ZD1662]; Basic Research Project of Science and Technology Department of Sichuan Province [2014JY0133]	0	0021-8979	2016	WOS:000391685500028
He, Lihua; Zou, Xiao; Wang, Tao; Zheng, Qiaoji; Liao, Jie; Xu, Chenggang; Liu, Yongfu; Lin, Dunmin	INORGANIC CHEMISTRY		[He, Lihua; Zou, Xiao; Wang, Tao; Zheng, Qiaoji; Liao, Jie; Xu, Chenggang; Lin, Dunmin] Sichuan Normal Univ, Coll Chem & Mat Sci, Chengdu 610066, Peoples R China; [Liu, Yongfu] Chinese Acad Sci, Ningbo Inst Mat Technol & Engn, Ningbo 315201, Zhejiang, Peoples R China	Lin, DM (reprint author), Sichuan Normal Univ, Coll Chem & Mat Sci, Chengdu 610066, Peoples R China.; Liu, YF (reprint author), Chinese Acad Sci, Ningbo Inst Mat Technol & Engn, Ningbo 315201, Zhejiang, Peoples R China.	National Natural Science Foundation of China (NSFC) [11404351]; Education Department of Sichuan Province [15ZA0037, 15ZA0034]; Science and Technology Bureau of Sichuan Province [2016JY0225]; Sichuan Normal University [DJ 2015-43, DJ 2016-42, DJ 2016-52]	0	0020-1669	2016	WOS:000390294600057
Wang, Yang; Wang, Xiaohua; Liu, Fangnan; Jiang, Xiaoning; Xiao, Yun; Dong, Xuehan; Kong, Xianglei; Yang, Xuemei; Tian, Donghua; Qu, Zhiyong	PLOS ONE		[Wang, Yang] Univ Illinois, Sch Social Work, Champaign, IL USA; [Wang, Xiaohua; Tian, Donghua; Qu, Zhiyong] Beijing Normal Univ, China Inst Hlth, Sch Social Dev & Publ Policy, Beijing, Peoples R China; [Liu, Fangnan; Jiang, Xiaoning; Dong, Xuehan; Kong, Xianglei] Beijing Normal Univ, Sch Social Dev & Publ Policy, Beijing, Peoples R China; [Xiao, Yun] Maternal & Child Hlth Hosp Mianzhu Cty, Deyang, Sichuan, Peoples R China; [Yang, Xuemei] Sichuan Normal Univ, Teacher Educ Coll, Chengdu, Sichuan, Peoples R China	Qu, ZY (reprint author), Beijing Normal Univ, China Inst Hlth, Sch Social Dev & Publ Policy, Beijing, Peoples R China.	Beijing Normal University Education Foundation	0	1932-6203	2016	WOS:000391217400023
Hayat, Sakander; Koolen, Jack H.; Liu, Fenjin; Qiao, Zhi	LINEAR ALGEBRA AND ITS APPLICATIONS	Main eigenvalues; Harmonic graphs; Strong graphs; Seidel switching; Regular two-graphs	[Hayat, Sakander] Univ Sci & Technol China, Sch Math Sci, Hefei 230026, Anhui, Peoples R China; [Koolen, Jack H.] Univ Sci & Technol China, Wen Tsun Wu Key Lab CAS, Hefei 230026, Anhui, Peoples R China; [Koolen, Jack H.] Univ Sci & Technol China, Sch Math Sci, Hefei 230026, Anhui, Peoples R China; [Liu, Fenjin] Changan Univ, Sch Sci, Xian 710064, Shaanxi, Peoples R China; [Qiao, Zhi] Sichuan Normal Univ, Coll Math & Software Sci, Chengdu 610068, Sichuan, Peoples R China	Koolen, JH (reprint author), Univ Sci & Technol China, Wen Tsun Wu Key Lab CAS, Hefei 230026, Anhui, Peoples R China.; Koolen, JH (reprint author), Univ Sci & Technol China, Sch Math Sci, Hefei 230026, Anhui, Peoples R China.	CAS-TWAS president's fellowship at USTC China; National Natural Science Foundation of China [11471009, 11401044]; Postdoctoral Science Foundation of China [2014M560754]	0	0024-3795	2016	WOS:000386860700016
Liu, Yong; Fan, Qin; Wang, Shixiang; Liu, Yanlan; Zhou, Anlan; Fan, Lu	CHEMICAL ENGINEERING JOURNAL	Fluoride; Adsorption; Sodium humate; Aerogels composite; High adsorption capacity	[Liu, Yong; Fan, Qin; Wang, Shixiang; Liu, Yanlan; Zhou, Anlan; Fan, Lu] Sichuan Normal Univ, Coll Chem & Mat Sci, Chengdu 610066, Peoples R China; [Liu, Yong; Wang, Shixiang; Fan, Lu] Key Lab Treatment Special Wastewater Sichuan Prov, Chengdu 610066, Sichuan, Peoples R China	Fan, L (reprint author), Sichuan Normal Univ, Coll Chem & Mat Sci, Chengdu 610066, Peoples R China.	Education Department of Sichuan Provincial [15ZA0008]; Key Laboratory of Special Wastewater Treatment, Sichuan Province Higher Education System [SWWT2014-2]	3	1385-8947	2016	WOS:000386420700021
Wang, Tao; Wu, Hao; Ding, Yi; Ji, Xiaoling; Zhao, Daomu	OPTICS COMMUNICATIONS	Light wave scattering; Particulate medium; Spectral coherence	[Wang, Tao; Wu, Hao; Ding, Yi; Ji, Xiaoling] Sichuan Normal Univ, Dept Phys, Chengdu 610068, Peoples R China; [Zhao, Daomu] Zhejiang Univ, Dept Phys, Hangzhou 310027, Zhejiang, Peoples R China	Wang, T (reprint author), Sichuan Normal Univ, Dept Phys, Chengdu 610068, Peoples R China.	National Natural Science Foundation of China (NSFC) [11404231, 11474253, 61475105]	2	0030-4018	2016	WOS:000384388200034
Yin Shi-Bai; Wang Wei-Xing; Wang Yi-Bin; Li Da-Peng; Deng Zhen	ACTA PHYSICA SINICA	machine vision; Bayesian framework; joint bilateral filtering; image blind restoration	[Yin Shi-Bai; Li Da-Peng] Southwestern Univ Finance & Econ, Dept Econ Informat Engn, Chengdu 611130, Peoples R China; [Wang Wei-Xing] Changan Univ, Dept Informat Engn, Xian 710064, Peoples R China; [Wang Yi-Bin] Sichuan Normal Univ, Dept Engn, Chengdu 610101, Peoples R China; [Deng Zhen] Ningxia Univ, Dept Informat Engn, Yinchuan 750021, Peoples R China	Yin, SB (reprint author), Southwestern Univ Finance & Econ, Dept Econ Informat Engn, Chengdu 611130, Peoples R China.	Major Program of the National Natural Science Foundation of China [91218301]; Young Scientists Fund of the National Natural Science Foundation of China [61502396]; Fundamental Research Fund for the Central Universities, China [JBK150503, JBK160135]; Natural Science Foundation of Ningxia, China [NZ15054]	0	1000-3290	2016	WOS:000392922100013
Liu, Haibo; Liao, Qunying	INTERNATIONAL JOURNAL OF FOUNDATIONS OF COMPUTER SCIENCE	Zero-difference balanced (ZDB) function; generalized ZDB function; cyclotomic coset; difference systems of sets; constant composition code; frequency-hopping sequence	[Liu, Haibo; Liao, Qunying] Sichuan Normal Univ, Inst Math & Software Sci, Chengdu, Sichuan, Peoples R China	Liu, HB (reprint author), Sichuan Normal Univ, Inst Math & Software Sci, Chengdu, Sichuan, Peoples R China.	Natural Science Foundation of China [11401408]; Project of Science and Technology Department of Sichuan Province [2016JY0134]	0	0129-0541	2016	WOS:000395115800001
Wei, Guiwu	INTERNATIONAL JOURNAL OF MACHINE LEARNING AND CYBERNETICS	Multiple attribute decision making (MADM); Interval valued hesitant fuzzy uncertain linguistic values; Interval valued hesitant fuzzy uncertain linguistic	[Wei, Guiwu] Sichuan Normal Univ, Sch Business, Chengdu 610101, Peoples R China	Wei, GW (reprint author), Sichuan Normal Univ, Sch Business, Chengdu 610101, Peoples R China.	Humanities and Social Sciences Foundation of Ministry of Education of the People's Republic of China [14YJCZH091]	8	1868-8071	2016	WOS:000393309300014
Zhu, Jianyao; Liu, Jianyi; Zhou, Zhaorong; Li, Li	ETRI JOURNAL	Proportional fairness; Imperfect spectrum sensing; Subcarrier allocation; Power control; Immune algorithm; Sub-gradient method	[Zhu, Jianyao; Liu, Jianyi] Beijing Univ Posts & Telecommun, Natl Engn Lab Disaster Backup & Recovery, Beijing, Peoples R China; [Zhou, Zhaorong; Li, Li] Sichuan Normal Univ, Sch Phys & Elect Engn, Chengdu, Peoples R China	Liu, JY (reprint author), Beijing Univ Posts & Telecommun, Natl Engn Lab Disaster Backup & Recovery, Beijing, Peoples R China.	NSF of China [U1433105]; Beijing Higher Education Young Elite Teacher Project, China [YET0448]; Scientific Research Fund of Sichuan Provincial Education Department, China [14ZA0033, 15CZ0004]	0	1225-6463	2016	WOS:000391851700013
