AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Lai, Zhenyu; Lai, Xinchun; Shi, Junbing; Lu, Zhongyuan	CONSTRUCTION AND BUILDING MATERIALS	Magnesium phosphate cement; Zinc ion; Hydration; Solidification/stabilization	[Lai, Zhenyu; Shi, Junbing; Lu, Zhongyuan] Southwest Univ Sci & Technol, State Key Lab Cultivat Base Nonmet Composites & F, Mianyang 621010, Peoples R China; [Lai, Zhenyu; Lai, Xinchun] Natl Key Lab Surface Phys & Chem, Mianyang 621907, Sichuan, Peoples R China	Lai, ZY (reprint author), Southwest Univ Sci & Technol, State Key Lab Cultivat Base Nonmet Composites & F, Mianyang 621010, Peoples R China.	Key Project of Chinese National Programs for Fundamental Research and Development [2016YFC0701004]; Southwest University of Science and Technology [13zxfk04, 14tdfk01]	0	0950-0618	2016	WOS:000389164600007
Jia, Lian-Bao; Li, Xue-Qian	EUROPEAN PHYSICAL JOURNAL C		[Jia, Lian-Bao] Southwest Univ Sci & Technol, Sch Sci, Mianyang 621010, Peoples R China; [Li, Xue-Qian] Nankai Univ, Sch Phys, Tianjin 300071, Peoples R China	Jia, LB (reprint author), Southwest Univ Sci & Technol, Sch Sci, Mianyang 621010, Peoples R China.	National Natural Science Foundation of China [11505144, 11375128, 11135009]; Research Fund for the Doctoral Program of the Southwest University of Science and Technology [15zx7102]	0	1434-6044	2016	WOS:000391832000001
Shao, Hong; He, Zhoukun; Xu, Keqin; Hu, Xin; Zhou, Yuanlin; Tang, Changyu; Mei, Jun; Shuai, Maobing; Lau, Woon-ming; Hui, David	JOURNAL OF PHYSICAL CHEMISTRY C		[Shao, Hong; He, Zhoukun; Xu, Keqin; Hu, Xin; Tang, Changyu; Mei, Jun; Lau, Woon-ming] China Acad Engn Phys, Chengdu Dev Ctr Sci & Technol, Chengdu Green Energy & Green Mfg Technol R&D Ctr, Chengdu 610207, Peoples R China; [Shuai, Maobing] Sci & Technol Surface Phys & Chem Lab, Mianyang 621907, Peoples R China; [Zhou, Yuanlin; Shuai, Maobing] Southwest Univ Sci & Technol, State Key Lab Cultivat Base Nonmet Composites & F, Mianyang 621000, Peoples R China; [Hui, David] Univ New Orleans, Dept Mech Engn, New Orleans, LA 70148 USA	Tang, CY (reprint author), China Acad Engn Phys, Chengdu Dev Ctr Sci & Technol, Chengdu Green Energy & Green Mfg Technol R&D Ctr, Chengdu 610207, Peoples R China.; Shuai, MB (reprint author), Sci & Technol Surface Phys & Chem Lab, Mianyang 621907, Peoples R China.; Shuai, MB (reprint author), Southwest Univ Sci & Technol, State Key Lab Cultivat Base Nonmet Composites & F, Mianyang 621000, Peoples R China.	National Natural Science Foundation of China [51573217, 21504106, 51573172]; advanced functional polymer coating program	0	1932-7447	2016	WOS:000390735600025
Cao, Xiaoqin; Wang, Kunyang; Du, Gu; Asiri, Abdullah M.; Ma, Yongjun; Lu, Qun; Sun, Xuping	JOURNAL OF MATERIALS CHEMISTRY B		[Cao, Xiaoqin; Lu, Qun] Southwest Jiaotong Univ, Sch Life Sci & Engn, Dept Chem & Chem Engn, Chengdu 610031, Sichuan, Peoples R China; [Cao, Xiaoqin; Sun, Xuping] Sichuan Univ, Coll Chem, Chengdu 610064, Sichuan, Peoples R China; [Wang, Kunyang; Du, Gu] Chengdu Inst Geol & Mineral Resources, Chengdu 610081, Sichuan, Peoples R China; [Asiri, Abdullah M.] King Abdulaziz Univ, Dept Chem, Jeddah 21589, Saudi Arabia; [Ma, Yongjun] Southwest Univ Sci & Technol, Analyt & Test Ctr, Mianyang 621010, Sichuan, Peoples R China	Lu, Q (reprint author), Southwest Jiaotong Univ, Sch Life Sci & Engn, Dept Chem & Chem Engn, Chengdu 610031, Sichuan, Peoples R China.; Sun, XP (reprint author), Sichuan Univ, Coll Chem, Chengdu 610064, Sichuan, Peoples R China.		1	2050-750X	2016	WOS:000391777800004
Huang, Shi; Zhang, Wenquan; Liu, Tianlin; Wang, Kangcai; Qi, Xiujuan; Zhang, Jiaheng; Zhang, Qinghua	CHEMISTRY-AN ASIAN JOURNAL	hydrazine; hypergolic fuels; ignition delay time; N-alkylimidazole borane; propellants	[Huang, Shi; Zhang, Wenquan; Liu, Tianlin; Wang, Kangcai; Zhang, Qinghua] China Acad Engn Phys CAEP, Res Ctr Energet Mat Genome Sci, Inst Chem Mat, Mianyang 621900, Peoples R China; [Qi, Xiujuan] Southwest Univ Sci & Technol, Sch Mat Sci & Engn, Mianyang 612900, Peoples R China; [Zhang, Jiaheng] Harbin Inst Technol, Sch Mat Sci & Engn, Shenzhen Grad Sch, Shenzhen 518055, Peoples R China		National Natural Science Foundation of China [11472251]; China Postdoctoral Science Foundation [2015M570796, 2016T90870]	0	1861-4728	2016	WOS:000392511500010
Lu, Chunlin; Zhang, Lin; Zhang, Yunwang; Liu, Shenye	MATERIALS LETTERS	TiO2/CdSe; Electrodeposition; Photocatalysis; Photodegradation; Methylene blue	[Lu, Chunlin; Zhang, Lin; Zhang, Yunwang; Liu, Shenye] China Acad Engn Phys, Res Ctr Laser Fus, Sci & Technol Plasma Phys Lab, Mianyang 621900, Peoples R China; [Zhang, Lin] Southwest Univ Sci & Technol, Jointment Lab Extreme Condit Matter Properties, CAEP, Res Ctr Laser Fus, Mianyang 621010, Peoples R China	Zhang, L (reprint author), China Acad Engn Phys, Res Ctr Laser Fus, Sci & Technol Plasma Phys Lab, Mianyang 621900, Peoples R China.	Science and Technology Development Foundation of China Academy of Physics Engineering [2012A0302015, 2012B0302050]; Key Laboratory of Ultra Precision Machining Technology of CAEP [ZZ13019]	0	0167-577X	2016	WOS:000390510900087
Han, Huilin; Hu, Yanqing	ZOOTAXA		[Han, Huilin] Northeast Forestry Univ, Sch Forestry, Harbin 150040, Peoples R China; [Hu, Yanqing] Southwest Univ Sci & Technol, Sch Life Sci & Engn, Mianyang 621010, Peoples R China	Hu, YQ (reprint author), Southwest Univ Sci & Technol, Sch Life Sci & Engn, Mianyang 621010, Peoples R China.	National Natural Science Foundation of China [31272355, 31572294]; Fundamental Research Funds for the Central Universities [2572014DA02]	0	1175-5326	2016	WOS:000389748300007
Yi, Yong; Zhao, Xiaofeng; Teng, Yuancheng; Bi, Beng; Wang, Lili; Wu, Lang; Zhang, Kuibao	JOURNAL OF NUCLEAR MATERIALS		[Yi, Yong; Zhao, Xiaofeng; Teng, Yuancheng; Wu, Lang; Zhang, Kuibao] Southwest Univ Sci & Technol, State Key Lab Cultivat Base Nonmetal Composites &, Mianyang 621010, Peoples R China; [Bi, Beng] Southwest Univ Sci & Technol, Joint Lab Extreme Condit Matter Properties, Mianyang 621010, Peoples R China; [Wang, Lili] China Acad Engn Phys, Inst Comp Applicat, Mianyang 621900, Peoples R China	Teng, YC (reprint author), Southwest Univ Sci & Technol, State Key Lab Cultivat Base Nonmetal Composites &, Mianyang 621010, Peoples R China.	NSFC (Natural Science Foundation of China) [11275158]; Scientific Research Innovation Team Project [14tdfk02]; Open Project of State Key Laboratory Cultivation Base for Nonmetal Composites and Functional Materials (Southwest University of Science and Technology) [11zxfk26]	0	0022-3115	2016	WOS:000387966100023
Zhang, Yahui; Lin, Xiaoyan; Zhou, Quisheng; Luo, Xuegang	APPLIED SURFACE SCIENCE	Magnetic; Core-shell Fe3O4@Alg-La particles; Adsorption; Fluoride	[Zhang, Yahui; Lin, Xiaoyan] Southwest Univ Sci & Technol, Sch Mat Sci & Engn, Mianyang 621010, Sichuan, Peoples R China; [Zhang, Yahui; Lin, Xiaoyan; Luo, Xuegang] Minist Educ, Engn Res Ctr Biomass Mat, Mianyang 621010, Sichuan, Peoples R China; [Zhou, Quisheng] South China Univ Technol, State Key Lab Pulp & Paper Engn, Guangzhou 510640, Guangdong, Peoples R China	Lin, XY (reprint author), Southwest Univ Sci & Technol, Sch Mat Sci & Engn, Mianyang 621010, Sichuan, Peoples R China.	National Key Scientific Projects for Decommissioning of Nuclear Facilities and Radioactive Waste Management [14zg6101]	3	0169-4332	2016	WOS:000384577600005
Li, Shuo; Wei, Xianhua; Lei, Yao; Yuan, Xincai; Zeng, Huizhong	APPLIED SURFACE SCIENCE	Complementary resistive switching; Bilayer; Oxygen vacancies; Conducting filaments	[Li, Shuo; Wei, Xianhua; Yuan, Xincai] Southwest Univ Sci & Technol, State Key Lab Cultivat Base Nonmet Composites & F, Mianyang 621010, Peoples R China; [Lei, Yao; Zeng, Huizhong] Univ Elect Sci & Technol China, State Key Lab Elect Thin Films & Integrated Devic, Chengdu 610054, Peoples R China; [Li, Shuo] Univ Sci & Technol Lille, CNRS, IEMN, Ave Poincare,BP 60069, F-59652 Villeneuve Dascq, France	Wei, XH (reprint author), Southwest Univ Sci & Technol, State Key Lab Cultivat Base Nonmet Composites & F, Mianyang 621010, Peoples R China.	Open Project of State Key Laboratory Cultivation Base for Nonmetal Composites and Functional Materials [11zxfk17]; Key Project of Sichuan Provincial Department of Education [14ZA0087]; Open Foundation of State Key Laboratory of Electronic Thin Films and Integrated Devices [KFJJ201307]; China Scholarship Council [201408510111]	0	0169-4332	2016	WOS:000384577600118
