AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Tao, Hong; Wu, Wenjuan; Wu, Jiagang	JOURNAL OF ALLOYS AND COMPOUNDS	Potassium-sodium niobate; Multiphase coexistence; Giant piezoelectricity; High strain; Rare earth (Ho)	[Tao, Hong; Wu, Jiagang] Sichuan Univ, Dept Mat Sci, Chengdu 610064, Peoples R China; [Wu, Wenjuan] Chengdu Univ Informat Technol, Sichuan Prov Key Lab Informat Mat & Devices Appli, Chengdu 610225, Peoples R China	Wu, JG (reprint author), Sichuan Univ, Dept Mat Sci, Chengdu 610064, Peoples R China.	National Science Foundation of China (NSFC) [51102173, 51272164, 51332003, 51472169]; Fundamental Research Funds for the Central Universities [2012SCU04A01]; College of Materials Science and Engineering of Sichuan University	1	0925-8388	2016	WOS:000384427200099
Wang, Haijiang; Deng, Yangyang; Dong, Bao; Yang, Ling; Yao, Zhendong; Su, Debin	EURASIP JOURNAL ON WIRELESS COMMUNICATIONS AND NETWORKING	Cylindrical surface spectrum; Arc distance; Multiband; Sampling	[Wang, Haijiang; Deng, Yangyang; Dong, Bao; Yang, Ling; Yao, Zhendong; Su, Debin] Chengdu Univ Informat Technol, Coll Elect Engn, Chengdu 610225, Sichuan, Peoples R China; [Wang, Haijiang; Deng, Yangyang; Dong, Bao; Yang, Ling; Yao, Zhendong; Su, Debin] CMA Key Lab Atmospher Sounding, Chengdu 610225, Sichuan, Peoples R China	Wang, HJ (reprint author), Chengdu Univ Informat Technol, Coll Elect Engn, Chengdu 610225, Sichuan, Peoples R China.; Wang, HJ (reprint author), CMA Key Lab Atmospher Sounding, Chengdu 610225, Sichuan, Peoples R China.	Science and Technology Department of Sichuan Province [2016JY0106]; Education Department of Sichuan Province (Project) of China [16ZA0209]	0	1687-1499	2016	WOS:000389997600001
Chi, Jie; Yan, Changli; Zhang, Minxian; Ju, Binshan	JOURNAL OF INEQUALITIES AND APPLICATIONS	probabilistic normed space; locally convex probabilistic seminormed space; local base	[Chi, Jie; Ju, Binshan] China Univ Geosci, Sch Energy Resources, Xueyuan Rd 29, Beijing 100083, Peoples R China; [Chi, Jie; Ju, Binshan] China Univ Geosci, Minist Educ, Key Lab Marine Reservoir Evolut & Hydrocarbon Acc, Beijing 100083, Peoples R China; [Chi, Jie; Ju, Binshan] China Univ Geosci, Key Lab Shale Gas Explorat & Assessment, Minist Land & Resources, Beijing 100083, Peoples R China; [Yan, Changli] Hebei Univ Architecture, Dept Math & Phys, Zhang Jiakou 075000, Hebei, Peoples R China; [Zhang, Minxian] Chengdu Univ Informat Technol, Coll Math, Chengdu 610225, Sichuan, Peoples R China	Ju, BS (reprint author), China Univ Geosci, Sch Energy Resources, Xueyuan Rd 29, Beijing 100083, Peoples R China.; Ju, BS (reprint author), China Univ Geosci, Minist Educ, Key Lab Marine Reservoir Evolut & Hydrocarbon Acc, Beijing 100083, Peoples R China.; Ju, BS (reprint author), China Univ Geosci, Key Lab Shale Gas Explorat & Assessment, Minist Land & Resources, Beijing 100083, Peoples R China.	Fundamental Research Funds for National Science and Technology Major Projects [2016ZX05011-002]; Fundamental Research Funds for the Central Universities [2652015142]	0	1029-242X	2016	WOS:000389989700001
Li, Jitao; Yang, Dinyu; Zhu, Xinghua; Sun, Hui; Gao, Xiuying; Wangyang, Peihua; Tian, Haibo	FUNCTIONAL MATERIALS LETTERS	ZnO thin films; sol-gel method; annealing temperature; crystal structure; optical properties	[Li, Jitao; Yang, Dinyu; Zhu, Xinghua; Sun, Hui; Gao, Xiuying; Wangyang, Peihua; Tian, Haibo] Chengdu Univ Informat Technol, Sch Optoelect Technol, Chengdu 610225, Peoples R China	Yang, DY (reprint author), Chengdu Univ Informat Technol, Sch Optoelect Technol, Chengdu 610225, Peoples R China.	Natural Science Foundation of China (NSFC) [11675029]; Technology Support Program Fund of Science and Technology Department of Sichuan Province [2014GZ0020, 2015GZ0194, 2014GZX0012, 2016FZ0018]	0	1793-6047	2016	WOS:000392931600015
Zheng Jia-Feng; Liu Li-Ping; Zeng Zheng-Mao; Xie Xiao-Lin; Wu Jing-Ya; Feng Kai	JOURNAL OF INFRARED AND MILLIMETER WAVES	Ka-band millimeter wave cloud radar; data quality control; velocity dealiasing	[Zheng Jia-Feng; Liu Li-Ping; Zeng Zheng-Mao; Wu Jing-Ya] Chinese Acad Meteorol Sci, State Key Lab Severe Weather, Beijing 100081, Peoples R China; [Zheng Jia-Feng] Nanjing Univ Informat Sci & Technol, China Meteorol Adiministrat, Key Lab Aerosol Cloud Precipit, Nanjing 210044, Jiangsu, Peoples R China; [Zheng Jia-Feng] Chengdu Univ Informat Technol, Sch Atmospher Sci, Chengdu 610025, Peoples R China; [Zeng Zheng-Mao] Chengdu Univ Informat Technol, Dept Elect Engn, Chengdu 610025, Peoples R China; [Xie Xiao-Lin] Meteorol Observat Data Ctr Sichuan Prov, Chengdu 610072, Peoples R China; [Feng Kai] China Aerosp Sci & Ind Grp, Dept 2, Inst 23, Beijing 100854, Peoples R China	Zheng, JF (reprint author), Chinese Acad Meteorol Sci, State Key Lab Severe Weather, Beijing 100081, Peoples R China.; Zheng, JF (reprint author), Nanjing Univ Informat Sci & Technol, China Meteorol Adiministrat, Key Lab Aerosol Cloud Precipit, Nanjing 210044, Jiangsu, Peoples R China.; Zheng, JF (reprint author), Chengdu Univ Informat Technol, Sch Atmospher Sci, Chengdu 610025, Peoples R China.	National Natural Science Foundation of China [41175038, 91337103]; 973 Subproject of China [2012CB417202]; 3rd Tibetan Plateau Atmospheric Science Experiment Project [GYHY201406001]; Jiangsu Province Ordinary University Graduate Student Scientific Research Innovation Projects [KYLX_0839]	0	1001-9014	2016	WOS:000392261700018
Xu, Jiuping; Fang, Guomin; Wu, Zezhong	MATHEMATICAL METHODS OF OPERATIONS RESEARCH	Production; Transportation; Pricing; Network equilibrium; Vector variational inequality; lambda-Combination equilibrium; Multi-product; Multi-market	[Xu, Jiuping; Fang, Guomin] Sichuan Univ, Sch Business, Chengdu 610064, Peoples R China; [Fang, Guomin; Wu, Zezhong] Chengdu Univ Informat Technol, Coll Appl Math, Chengdu 610225, Peoples R China	Xu, JP (reprint author), Sichuan Univ, Sch Business, Chengdu 610064, Peoples R China.	National Natural Science Foundation of China [71301110]; Humanities and Social Sciences Foundation of the Ministry of Education [13XJC630015]; Research Fund for the Doctoral Program of Higher Education of China [20130181120059]; Project of Education Department of Sichuan Province [14ZB0173]	0	1432-2994	2016	WOS:000392129300006
Zhang, Ying; Cui, Zhen; Ding, Yingchun; Liu, Tong	OPTICAL AND QUANTUM ELECTRONICS	GaN; Impurities; Electronic properties; Optical properties; Density functional theory	[Zhang, Ying; Cui, Zhen] Xian Univ Technol, Sch Automat & Informat Engn, Xian 710048, Peoples R China; [Ding, Yingchun] Chengdu Univ Informat Technol, Coll Optoelect Technol, Chengdu 610225, Peoples R China; [Liu, Tong] Queen Mary Univ London, Sch Phys & Astron, London E1 4NS, England	Cui, Z (reprint author), Xian Univ Technol, Sch Automat & Informat Engn, Xian 710048, Peoples R China.		0	0306-8919	2016	WOS:000391468200024
Chang, Yan; Zhang, Wen-Bo; Zhang, Shi-Bin; Wang, Hai-Chun; Yan, Li-Li; Han, Gui-Hua; Sheng, Zhi-Wei; Huang, Yuan-Yuan; Suo, Wang; Xiong, Jin-Xin	COMMUNICATIONS IN THEORETICAL PHYSICS	quantum private comparison of equality; five-particle cluster state; semi-honest third party	[Chang, Yan; Zhang, Shi-Bin; Wang, Hai-Chun; Yan, Li-Li; Han, Gui-Hua; Sheng, Zhi-Wei; Huang, Yuan-Yuan; Suo, Wang; Xiong, Jin-Xin] Chengdu Univ Informat Technol, Dept Informat Secur Engn, Chengdu 610225, Peoples R China; [Zhang, Wen-Bo] Sichuan Univ, Sch Econ, Chengdu 610065, Peoples R China	Chang, Y (reprint author), Chengdu Univ Informat Technol, Dept Informat Secur Engn, Chengdu 610225, Peoples R China.	NSFC [61402058, 61572086]; Fund for Middle and Young Academic Leaders of CUIT [J201511]; Science and Technology Support Project of Sichuan Province of China [2013GZX0137]; Fund for Young Persons Project of Sichuan Province of China [12ZB017]; Foundation of Cyberspace Security Key Laboratory of Sichuan Higher Education Institutions [szjj2014-074]	0	0253-6102	2016	WOS:000391282600005
Fang, Shuhong; Zhang, Yifeng; Zhao, Shuyan; Qiang, Liwen; Chen, Meng; Zhu, Lingyan	ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY	perfluoroalkyl acids (PFAAs); Isomers; Fish; Bioaccumulation	[Fang, Shuhong; Zhang, Yifeng; Zhao, Shuyan; Qiang, Liwen; Chen, Meng; Zhu, Lingyan] Nankai Univ, Tianjin Key Lab Environm Remediat & Pollut Contro, Key Lab Pollut Proc & Environm Criteria, Minist Educ,Coll Environm Sci & Engn, Tianjin, Peoples R China; [Fang, Shuhong] Chengdu Univ Informat Technol, Coll Resources & Environm, Chengdu, Peoples R China; [Zhu, Lingyan] Northwest A&F Univ, Coll Nat Resources & Environm, Yang Ling, Peoples R China	Zhu, LY (reprint author), Nankai Univ, Tianjin Key Lab Environm Remediat & Pollut Contro, Key Lab Pollut Proc & Environm Criteria, Minist Educ,Coll Environm Sci & Engn, Tianjin, Peoples R China.; Zhu, LY (reprint author), Northwest A&F Univ, Coll Nat Resources & Environm, Yang Ling, Peoples R China.	Natural Science Foundation of China (NSFC) [21325730, 21277077, 21577067]; Ministry of Science and Technology [2012ZX07529-003]; Ministry of Education [20130031130005]; Innovation Team (IRT) [13024]; Yangtze River scholar program	0	0730-7268	2016	WOS:000391031400013
Peng Long; Li Lezhong; Wang Rui; Tu Xiaoqiang; Hu Yun; Hu Yuebin; Guo Cheng	RARE METAL MATERIALS AND ENGINEERING	strontium ferrites; magnetic anisotropy field; LTCC technology; ferrite devices	[Peng Long; Li Lezhong; Wang Rui; Tu Xiaoqiang; Hu Yun] Chengdu Univ Informat Technol, Chengdu 610225, Peoples R China; [Peng Long; Hu Yuebin; Guo Cheng] Chengdu Ind Vocat & Tech Coll, Post Doctoral Innovat Practice Base, Chengdu 610213, Peoples R China	Peng, L (reprint author), Chengdu Univ Informat Technol, Coll Optoelect Technol, Chengdu 610225, Peoples R China.	Scientific Research Foundation of Education Office of Sichuan Province [13Z198]; Chengdu University of Information Technology [3201222]	0	1002-185X	2016	WOS:000391243500011
