AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Huang, Hongjian; Wei, Xiaowei; Yang, Junxia; Wang, Jian	APPLIED SURFACE SCIENCE	Microarc oxidation; Oxide ceramic coating; Micro groove; Aluminum alloy	[Huang, Hongjian; Wei, Xiaowei; Yang, Junxia; Wang, Jian] Xihua Univ, Sch Mat Sci & Engn, Chengdu 610039, Peoples R China	Wei, XW (reprint author), Xihua Univ, Sch Mat Sci & Engn, Chengdu 610039, Peoples R China.	Chunhui project [Z2011074]; Natural Science of The science and technology department of Sichuan Province [2011jyz015]	0	0169-4332	2016	WOS:000384577600144
Guan, Tong-Wei; Wang, Peng-Hao; Tian, Lei; Tang, Shu-Kun; Xiang, Hui-Ping	INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY		[Guan, Tong-Wei; Wang, Peng-Hao; Xiang, Hui-Ping] Xihua Univ, Inst Microbiol, Chengdu 610039, Peoples R China; [Tian, Lei] Sichuan Agr Univ, Yaan 625000, Peoples R China; [Tang, Shu-Kun] Yunnan Univ, Yunnan Inst Microbiol, Kunming 650091, Peoples R China	Guan, TW (reprint author), Xihua Univ, Inst Microbiol, Chengdu 610039, Peoples R China.	Chunhui Project for Ministry of Education of China [Z2012022]; Key Scientific Research Fund of Xihua University [Z1220530]; Project for Key Laboratory of Food Biotechnology of Colleges and University in Sichuan [Szjj2013-045]; Key Project of Office of Education of Sichuan Province, China [13205688, 13ZB0024]	0	1466-5026	2016	WOS:000393357900072
Gong Zhi-lian; Tang Ya	JOURNAL OF MOUNTAIN SCIENCE	Biodiversity; Plantations; Dry hot valley; Genetic resources; Natural forest; Reforestation	[Gong Zhi-lian; Tang Ya] Sichuan Univ, Coll Architecture & Environm, Dept Environm, Chengdu 610065, Peoples R China; [Gong Zhi-lian] Xihua Univ, Coll Energy & Environm, Dept Environm Engn, Chengdu 610039, Peoples R China	Tang, Y (reprint author), Sichuan Univ, Coll Architecture & Environm, Dept Environm, Chengdu 610065, Peoples R China.	Program of Introducing Talents of Discipline to Universities [B08037]	0	1672-6316	2016	WOS:000391425900009
Wang, Zhongtian; He, Zhixiong; Dong, Jiaqi; Yan, Yifan; Li, Huidong; Feng, Hao; Fu, Libin	PHYSICS OF PLASMAS		[Wang, Zhongtian; Yan, Yifan; Li, Huidong; Feng, Hao] Xihua Univ, Sch Sci, Chengdu 610039, Peoples R China; [Wang, Zhongtian; He, Zhixiong; Dong, Jiaqi] Southwestern Inst Phys, Chengdu 610041, Peoples R China; [Fu, Libin] Beijing Inst Appl Phys & Computat Math, Beijing 100088, Peoples R China	Wang, ZT (reprint author), Xihua Univ, Sch Sci, Chengdu 610039, Peoples R China.; Wang, ZT (reprint author), Southwestern Inst Phys, Chengdu 610041, Peoples R China.	Funds of the Youth Innovation Team of Science and Technology in Sichuan Province of China; Natural Science Foundation of the Department of Education of Sichuan Province [15ZB0129]; Funds of the Youth Innovation Team of Science and Technology in Sichuan Province of China [2014TD0023]; Chinese National Science Foundation [11605143, 11447228, 11261140327, 11005035, 11205053, 11575055]; China National Magnetic Confinement Fusion Science Program [2013GB107001]; Plasma Confinement in the Advanced Magnetic Mirror project [WX-2015-01-01]	0	1070-664X	2016	WOS:000392013000056
Zhang Chun-guo; Fan Qun-chao; Sun Wei-guo; Fan Zhi-xiang; Zhang Yi	SPECTROSCOPY AND SPECTRAL ANALYSIS	Li-2; Vibrational energy; Analytical potential; Variational method; Consistent method	[Zhang Chun-guo; Fan Qun-chao; Sun Wei-guo] Xihua Univ, Res Ctr Adv Computat, Sch Sci, Chengdu 610039, Peoples R China; [Sun Wei-guo; Fan Zhi-xiang; Zhang Yi] Sichuan Univ, Inst Atom & Mol Phys, Chengdu 610065, Peoples R China	Fan, QC (reprint author), Xihua Univ, Res Ctr Adv Computat, Sch Sci, Chengdu 610039, Peoples R China.		0	1000-0593	2016	WOS:000390613400006
Qian, Shan; He, Tao; Wang, Wei; He, Yanying; Zhang, Man; Yang, Lingling; Li, Guobo; Wang, Zhouyu	BIOORGANIC & MEDICINAL CHEMISTRY	Indoleamine 2,3-dioxygenase 1 (IDO1); 1H-Indazoles; Cancer immunotherapy; Small-molecular inhibitors; Rational drug design	[Qian, Shan; Wang, Wei; He, Yanying; Zhang, Man; Yang, Lingling; Li, Guobo] Xihua Univ, Dept Pharmaceut Engn, Chengdu 610039, Peoples R China; [He, Tao; Wang, Zhouyu] Xihua Univ, Dept Chem, Chengdu 610039, Peoples R China	Qian, S (reprint author), Xihua Univ, Dept Pharmaceut Engn, Chengdu 610039, Peoples R China.; Wang, ZY (reprint author), Xihua Univ, Dept Chem, Chengdu 610039, Peoples R China.	National Natural Science Foundation for the Youth of China [81302647]; research project of Sichuan Provincial Science and Technology Department [2016JY0243]; innovation fund of Xihua University	0	0968-0896	2016	WOS:000389519600008
Li, Xianyong	INTERNATIONAL JOURNAL OF COMPUTER MATHEMATICS	strong diagnosability; conditional diagnosability; PMC model; optical multi-mesh hypercube network; optical interconnect network	[Li, Xianyong] Xihua Univ, Sch Comp & Software Engn, Chengdu 610039, Peoples R China	Li, XY (reprint author), Xihua Univ, Sch Comp & Software Engn, Chengdu 610039, Peoples R China.	Scientific Research Fund of Sichuan Provincial Education Department [15ZA0130]; Key Scientific Research Fund of Xihua University [z1422615]; Fund of Lab of Security Insurance of Cyberspace, Sichuan Province [szjj2015-057]	0	0020-7160	2016	WOS:000389437900006
Xiong, H.; Cai, T.	Research Journal of Biotechnology	Oceanobacillus sojae; Oceanobacillus oncorhynchi; diarrheal toxin gene; emetic toxin gene; toxigenic profiles	[Xiong, H.; Cai, T.] Xihua Univ, Key Lab Food Biotechnol Sichuan, Chengdu 610039, Sichuan, Peoples R China; [Cai, T.] Xihua Univ, Coll Food & Biol Engn, Chengdu 610039, Sichuan, Peoples R China	Cai, T (reprint author), Xihua Univ, Key Lab Food Biotechnol Sichuan, Chengdu 610039, Sichuan, Peoples R China.; Cai, T (reprint author), Xihua Univ, Coll Food & Biol Engn, Chengdu 610039, Sichuan, Peoples R China.	National Natural Science Foundation of China [31571935]; Science and Technology Department of Sichuan, China [2014JY0045]; Education Department of Sichuan, China [14ZA0110, 14ZA0107]; Ministry of Education, China [Z2014061]; Key Laboratory of Food Biotechnology of Sichuan, Xihua University, China [SZJJ2014-007]	0	2278-4535	2016	WOS:000389239600003
Wu, Zhaoyang; Song, Chonglin; Lv, Gang; Pan, Suozhu; Li, Hao	FUEL	SIDI engine; Exhaust particle; Morphology; Fractal dimension; Primary particle size; Nanostructure	[Wu, Zhaoyang; Song, Chonglin; Lv, Gang; Li, Hao] Tianjin Univ, State Key Lab Engines, Tianjin 300072, Peoples R China; [Pan, Suozhu] Xihua Univ, Sch Transportat & Automot Engn, Chengdu 610039, Peoples R China	Song, CL (reprint author), Tianjin Univ, State Key Lab Engines, Tianjin 300072, Peoples R China.	National Key Basic Research and Development Program [2013CB228502]; Tianjin Research Program of Application Foundation and Advanced Technology [13JCZDJC35800]	0	0016-2361	2016	WOS:000382248700073
Chen, Hong-Bing; Shen, Peng; Chen, Ming-Jun; Zhao, Hai-Bo; Schiraldi, David A.	ACS APPLIED MATERIALS & INTERFACES	alginate; aerogel; polyurethane; flame retardant; coatings	[Chen, Hong-Bing; Shen, Peng] China Acad Engn Phys, Inst Nucl Phys & Chem, Mianyang 621000, Peoples R China; [Chen, Ming-Jun] Xihua Univ, Sch Sci Sichuan, Chengdu 610039, Peoples R China; [Zhao, Hai-Bo] China Acad Engn Phys, Res Ctr Laser Fus, Mianyang 621000, Peoples R China; [Schiraldi, David A.] Case Western Reserve Univ, Dept Macromol Sci & Engn, Cleveland, OH 44106 USA	Chen, HB (reprint author), China Acad Engn Phys, Inst Nucl Phys & Chem, Mianyang 621000, Peoples R China.; Zhao, HB (reprint author), China Acad Engn Phys, Res Ctr Laser Fus, Mianyang 621000, Peoples R China.; Schiraldi, DA (reprint author), Case Western Reserve Univ, Dept Macromol Sci & Engn, Cleveland, OH 44106 USA.	NSAF [U1530259]; National Science Foundation of China [51403192, 51503191]	1	1944-8244	2016	WOS:000389161600052
