AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Hong, Tao; Tang, Zhengming; Zhu, Huacheng	JOURNAL OF CHEMICAL PHYSICS		[Hong, Tao; Tang, Zhengming] China West Normal Univ, Coll Elect Informat Engn, Nanchong 637002, Peoples R China; [Zhu, Huacheng] Sichuan Univ, Coll Elect & Informat Engn, Chengdu 610064, Peoples R China	Hong, T (reprint author), China West Normal Univ, Coll Elect Informat Engn, Nanchong 637002, Peoples R China.		0	0021-9606	2016	WOS:000392174800008
Chen, Z. J.; Xu, G. B.; Yan, J. G.; Kuang, Z.; Chen, T. H.; Li, D. H.	JOURNAL OF APPLIED PHYSICS		[Chen, Z. J.; Xu, G. B.; Yan, J. G.; Kuang, Z.] Univ Elect Sci & Technol China, Sch Phys Elect, Chengdu 610054, Peoples R China; [Chen, T. H.] China West Normal Univ, Coll Phys & Space Sci, Nanchong 637002, Peoples R China; [Li, D. H.] Sichuan Normal Univ, Coll Phys & Elect Engn, Chengdu 610066, Peoples R China	Chen, ZJ (reprint author), Univ Elect Sci & Technol China, Sch Phys Elect, Chengdu 610054, Peoples R China.	National research project of China West Normal University [13C008]; Key Projects of Sichuan Provincial Education Department [2016ZD1662]; Basic Research Project of Science and Technology Department of Sichuan Province [2014JY0133]	0	0021-8979	2016	WOS:000391685500028
Tong, H.; Wang, W.; Liu, X. W.; Xu, R. X.	ASTROPHYSICAL JOURNAL	accretion, accretion disks; pulsars: individual (1E 161348-5055); stars: magnetars	[Tong, H.] Chinese Acad Sci, Xinjiang Astron Observ, Urumqi 830011, Xinjiang, Peoples R China; [Wang, W.] Chinese Acad Sci, Natl Astron Observ, Beijing 100012, Peoples R China; [Liu, X. W.] China West Normal Univ, Sch Phys, Nanchong 637002, Peoples R China; [Xu, R. X.] Peking Univ, Sch Phys, Beijing 100871, Peoples R China	Tong, H (reprint author), Chinese Acad Sci, Xinjiang Astron Observ, Urumqi 830011, Xinjiang, Peoples R China.	973 Program [2015CB857100]; Qing Cu Hui of CAS; NSFC [U1531137]	0	0004-637X	2016	WOS:000391169600140
Qing, Jing; Yang, Zhisong; He, Ke; Zhang, Zejun; Gu, Xiaodong; Yang, Xuyu; Zhang, Wen; Yang, Biao; Qi, Dunwu; Dai, Qiang	SCIENTIFIC REPORTS		[Qing, Jing; Yang, Zhisong; He, Ke] China West Normal Univ, Key Lab Southwest China Wildlife Resources Conser, Minist Educ, Nanchong 637002, Peoples R China; [Dai, Qiang] Chinese Acad Sci, Chengdu Inst Biol, Chengdu 610041, Peoples R China; [Zhang, Zejun] China West Normal Univ, Inst Rare Anim & Plants, Nanchong 637002, Peoples R China; [Gu, Xiaodong; Yang, Xuyu] Sichuan Stn Wild Life Survey & Management, Chengdu 610082, Peoples R China; [Zhang, Wen] Sichuan Prov Inst Forestry Survey & Planning, Chengdu 610082, Peoples R China; [Yang, Biao] Conservat Int, Chengdu 610064, Peoples R China; [Qi, Dunwu] Sichuan Key Lab Conservat Biol Endangered Wildlif, Chengdu Res Base Giant Panda Breeding, Chengdu 610086, Peoples R China	Yang, ZS (reprint author), China West Normal Univ, Key Lab Southwest China Wildlife Resources Conser, Minist Educ, Nanchong 637002, Peoples R China.; Dai, Q (reprint author), Chinese Acad Sci, Chengdu Inst Biol, Chengdu 610041, Peoples R China.; Zhang, ZJ (reprint author), China West Normal Univ, Inst Rare Anim & Plants, Nanchong 637002, Peoples R China.	National Key Programme of Research and Development, Ministry of Science and Technology [2016YFC0503200]; Fourth National Giant Panda Survey (Sichuan); Reintroduction Program of Captive Giant Pandas	0	2045-2322	2016	WOS:000389484700001
Li, Hong-Ying; Liao, Jia-Feng	COMPUTERS & MATHEMATICS WITH APPLICATIONS	Kirchhoff-type equation; Critical exponent; Positive solutions; Infinitely many solutions; Variational method	[Li, Hong-Ying; Liao, Jia-Feng] China West Normal Univ, Sch Math & Informat, Nanchong 637002, Sichuan, Peoples R China; [Liao, Jia-Feng] Zunyi Normal Coll, Sch Math & Computat Sci, Zunyi 563002, Guizhou, Peoples R China	Liao, JF (reprint author), China West Normal Univ, Sch Math & Informat, Nanchong 637002, Sichuan, Peoples R China.	Natural Science Foundation of Education of Guizhou Province [KY[2016]046]; Science and Technology Foundation of Guizhou Province [LH[2015]7049, LH[2016]7033]	0	0898-1221	2016	WOS:000390509100006
Liao, Wen Bo; Lou, Shang Ling; Zeng, Yu; Kotrschal, Alexander	AMERICAN NATURALIST	anurans; brain size evolution; expensive tissue hypothesis; trade-off; phylogenetic comparative methods	[Liao, Wen Bo; Lou, Shang Ling; Zeng, Yu] China West Normal Univ, Key Lab Southwest China Wildlife Resources Conser, Minist Educ, Nanchong 637009, Sichuan, Peoples R China; [Kotrschal, Alexander] Stockholm Univ, Inst Zool, S-10691 Stockholm, Sweden	Liao, WB (reprint author), China West Normal Univ, Key Lab Southwest China Wildlife Resources Conser, Minist Educ, Nanchong 637009, Sichuan, Peoples R China.	National Natural Sciences Foundation of China [31471996]; Sichuan Province Outstanding Youth Academic Technology Leaders Program [2013JQ0016]; Sichuan Province Department of Education Innovation Team Project [15TD0019]; Austrian Science Fund [J 3304-B24]	5	0003-0147	2016	WOS:000388683800010
Peng, Qiu-He; Liu, Jing-Jing; Chou, Chi-Kang	ASTROPHYSICS AND SPACE SCIENCE	Quasars: general; Galaxies: magnetic fields; Physical date and processes: black hole physics	[Peng, Qiu-He] Nanjing Univ, Dept Astron, Nanjing 210000, Jiangshu, Peoples R China; [Peng, Qiu-He] China West Normal Univ, Sch Phys & Space Sci, Nanchong 637009, Peoples R China; [Liu, Jing-Jing] Hainan Trop Ocean Univ, Coll Marine Sci & Technol, Sanya 572022, Hainan, Peoples R China; [Chou, Chi-Kang] Chinese Acad Sci, Natl Astron Observ, Beijing 100000, Peoples R China	Liu, JJ (reprint author), Hainan Trop Ocean Univ, Coll Marine Sci & Technol, Sanya 572022, Hainan, Peoples R China.	National Natural Science Foundation of China [10773005, 11273020, 11565020]; Counterpart Foundation of Sanya [2016PT43]; Special Foundation of Science and Technology Cooperation for Advanced Academy and Regional of Sanya [2016YD28]; Natural Science Foundation of Hainan province [114012]	0	0004-640X	2016	WOS:000389150500019
Zhu, Xiao-Dan; Wu, Di; Wu, Shuang-Qing; Yang, Shu-Zheng	GENERAL RELATIVITY AND GRAVITATION	Rotating squashed black hole; Five-dimensional vacuum gravity; Thermodynamics	[Zhu, Xiao-Dan; Wu, Di; Wu, Shuang-Qing; Yang, Shu-Zheng] China West Normal Univ, Coll Phys & Space Sci, Nanchong 637002, Sichuan, Peoples R China; [Wu, Shuang-Qing] China West Normal Univ, Inst Theoret Phys, Nanchong 637002, Sichuan, Peoples R China	Wu, D (reprint author), China West Normal Univ, Coll Phys & Space Sci, Nanchong 637002, Sichuan, Peoples R China.	NSFC [10975058, 11275157, 11675130, 11573022]	0	0001-7701	2016	WOS:000388615400002
Pu, Jin; Han, Yan	INTERNATIONAL JOURNAL OF THEORETICAL PHYSICS	Tunneling radiation; Geodesic equation; Lagrangian analysis; Kaluza-Klein black hole	[Pu, Jin] China West Normal Univ, Coll Phys & Space Sci, Nanchong 637002, Sichuan, Peoples R China; [Han, Yan] China West Normal Univ, Coll Math & Informat, Nanchong 637002, Sichuan, Peoples R China	Han, Y (reprint author), China West Normal Univ, Coll Math & Informat, Nanchong 637002, Sichuan, Peoples R China.	Sichuan Youth Science and Technology Foundation [2011JQ0019]; FANEDD [201319]; Innovative Research Team in College of Sichuan Province [13TD0003]; Sichuan Natural Science Foundation [16ZB0178]; China West Normal University [14D014];  [NCET-12-1060]	0	0020-7748	2016	WOS:000388618500004
Liao, Jiafeng; Zhang, Peng; Liu, Jiu; Tang, Chunlei	DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS-SERIES S	Kirchhoff type equation; resonance; positive solution; Nehari method	[Liao, Jiafeng; Tang, Chunlei] Southwest Univ, Sch Math & Stat, Chongqing 400715, Peoples R China; [Liao, Jiafeng] China West Normal Univ, Sch Math & Informat, Nanchong 637002, Peoples R China; [Zhang, Peng] Zunyi Normal Coll, Sch Math & Computat Sci, Zunyi 563002, Peoples R China; [Liu, Jiu] Qiannan Normal Univ Nationalities, Sch Math & Stat, Duyun 558000, Peoples R China	Tang, CL (reprint author), Southwest Univ, Sch Math & Stat, Chongqing 400715, Peoples R China.	National Natural Science Foundation of China [11471267]; Science and Technology Foundation of Guizhou Province [LH [2015]7007, LH [2016]7003]; Natural Science Foundation of Education of Guizhou Province [KY[2016]046]	0	1937-1632	2016	WOS:000387663900017
