AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Ye, Ming; Qing, Peng; Zhang, Ke; Liu, Guangyuan	BMC PSYCHIATRY	Network topology; Network efficiency; Major depressive disorder; Functional magnetic resonance imaging; Cognitive control system	[Ye, Ming; Qing, Peng; Liu, Guangyuan] Southwest Univ, Coll Comp & Informat Sci, Chongqing 400715, Peoples R China; [Ye, Ming; Liu, Guangyuan] Southwest Univ, Coll Elect & Informat Engn, Chongqing 400715, Peoples R China; [Ye, Ming; Zhang, Ke] Sichuan Univ Sci & Engn, Sch Comp Sci, Zigong 643000, Sichuan, Peoples R China	Liu, GY (reprint author), Southwest Univ, Coll Comp & Informat Sci, Chongqing 400715, Peoples R China.; Liu, GY (reprint author), Southwest Univ, Coll Elect & Informat Engn, Chongqing 400715, Peoples R China.; Zhang, K (reprint author), Sichuan Univ Sci & Engn, Sch Comp Sci, Zigong 643000, Sichuan, Peoples R China.	National Natural Science Foundation of China [61472330, 31571111]	0	1471-244X	2016	WOS:000390391900001
Liu, Xiao-Qiang; He, Xu; Qiu, Nian-Xiang; Yang, Xin; Tian, Zhi-Yue; Li, Mei-Jun; Xue, Ying	APPLIED SURFACE SCIENCE		[Liu, Xiao-Qiang] Sichuan Univ Sci & Engn, Coll Chem & Environm Engn, Zigong 643000, Peoples R China; [Liu, Xiao-Qiang; He, Xu; Qiu, Nian-Xiang; Yang, Xin; Tian, Zhi-Yue; Xue, Ying] Sichuan Univ, Coll Chem, Key Lab Green Chem & Technol, Minist Educ, Chengdu 610064, Peoples R China; [Qiu, Nian-Xiang] Chinese Acad Sci, Ningbo Inst Mat Technol & Engn, Div Funct Mat & Nanodevices, Ningbo 315201, Zhejiang, Peoples R China; [Li, Mei-Jun] China Univ Petr, Coll Geosci, State Key Lab Petr Resources & Prospecting, Beijing 102249, Peoples R China	Liu, XQ (reprint author), Sichuan Univ Sci & Engn, Coll Chem & Environm Engn, Zigong 643000, Peoples R China.; Liu, XQ; Xue, Y (reprint author), Sichuan Univ, Coll Chem, Key Lab Green Chem & Technol, Minist Educ, Chengdu 610064, Peoples R China.	National Basic Research Program of China (973 Program) of Ministry of Science and Technology of China (MOST) [2011CB201202]; National Natural Science Foundation of China [21573153, 21502131]; Sichuan University of Science Engineering [2015RC28]	3	0169-4332	2016	WOS:000384577600109
Wu, Shu-Lin	JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS	Parareal; Trapezoidal rule; 4th-order Gauss RK method; Convergence analysis	[Wu, Shu-Lin] Sichuan Univ Sci & Engn, Sch Sci, Zigong 643000, Sichuan, Peoples R China	Wu, SL (reprint author), Sichuan Univ Sci & Engn, Sch Sci, Zigong 643000, Sichuan, Peoples R China.	NSF of China [11301362, 11371157, 61573010]; Project of China Postdoctoral [2015M580777, 2016T90841]; NSF of Technology & Education of Sichuan Province [2014JQ0035, 15ZA0220]; NSF of SUSE [2015LX01]	1	0377-0427	2016	WOS:000381546600026
Bai, Hong-Bin; Jiang, Zhi-Jie	JOURNAL OF COMPUTATIONAL ANALYSIS AND APPLICATIONS		[Bai, Hong-Bin] Sichuan Univ Sci & Engn, Sch Sci, Zigong 643000, Sichuan, Peoples R China; [Jiang, Zhi-Jie] Sichuan Univ Sci & Engn, Inst Nonlinear Sci & Engn Comp, Zigong 643000, Sichuan, Peoples R China	Bai, HB (reprint author), Sichuan Univ Sci & Engn, Sch Sci, Zigong 643000, Sichuan, Peoples R China.; Jiang, ZJ (reprint author), Sichuan Univ Sci & Engn, Inst Nonlinear Sci & Engn Comp, Zigong 643000, Sichuan, Peoples R China.	National Natural Science Foundation of China [11201323]; Sichuan Province University Key Laboratory of Bridge Non-destruction Detecting and Engineering Computing [2013QZJ01, 2013YY01]; Fund Project of Sichuan Provincial Department of Education [12ZB288]	0	1521-1398	2016	WOS:000368960500001
Zhang, Yong Yan; Wu, Jiu Hui; Cao, Song Hua; Cao, Pei; Zhao, Zi Ting	MODERN PHYSICS LETTERS B	Reverse horn; quadratic model; energy focusing; absorption wedge	[Zhang, Yong Yan; Wu, Jiu Hui; Cao, Song Hua; Cao, Pei; Zhao, Zi Ting] Xi An Jiao Tong Univ, State Key Lab Strength & Vibrat Mech Struct, Xian 710049, Shanxi, Peoples R China; [Zhang, Yong Yan; Wu, Jiu Hui; Cao, Song Hua; Cao, Pei; Zhao, Zi Ting] Xi An Jiao Tong Univ, Sch Mech Engn, Xian 710049, Shanxi, Peoples R China; [Zhang, Yong Yan] Sichuan Univ Sci & Engn, Zigong 643000, Sichuan, Peoples R China	Zhang, YY (reprint author), Xi An Jiao Tong Univ, State Key Lab Strength & Vibrat Mech Struct, Xian 710049, Shanxi, Peoples R China.; Zhang, YY (reprint author), Xi An Jiao Tong Univ, Sch Mech Engn, Xian 710049, Shanxi, Peoples R China.; Zhang, YY (reprint author), Sichuan Univ Sci & Engn, Zigong 643000, Sichuan, Peoples R China.		0	0217-9849	2016	WOS:000390679700004
Wu, Cheng-Lung; Tsou, Chih-Yuan; Tseng, Yen-Chun; Lee, Hsun-Tsing; Suen, Maw-Cherng; Gu, Jia-Hao; Tsou, Chi-Hui; Chiu, Shih-Hsuan	JOURNAL OF POLYMER RESEARCH	Polyurethane; Nanosilver; Graphene; Interfacial adhesion; Antibacterial activities; Electrical conductivity	[Wu, Cheng-Lung; Tsou, Chih-Yuan; Tseng, Yen-Chun; Gu, Jia-Hao; Chiu, Shih-Hsuan] Natl Taiwan Univ Sci & Technol, Dept Mat Sci & Engn, Taipei 10607, Taiwan; [Lee, Hsun-Tsing] Vanung Univ, Dept Mat Sci & Engn, Taoyuan 32061, Taiwan; [Suen, Maw-Cherng] Taoyuan Innovat Inst Technol, Dept Creat Fash Design, Taoyuan 32091, Taiwan; [Tsou, Chi-Hui] Sichuan Univ Sci & Engn, Mat Corros & Protect Key Lab Sichuan Prov, Inst Mat Sci & Engn, Zigong 643000, Peoples R China; [Tsou, Chi-Hui] Panzhihua Univ, Sci & Technol Innovat Ctr, Fac Mat Engn, Fac Biol, Panzhihua 617000, Peoples R China; [Tsou, Chi-Hui] Panzhihua Univ, Sci & Technol Innovat Ctr, Fac Mat Engn, Fac Chem Engn, Panzhihua 617000, Peoples R China	Chiu, SH (reprint author), Natl Taiwan Univ Sci & Technol, Dept Mat Sci & Engn, Taipei 10607, Taiwan.		0	1022-9760	2016	WOS:000392438600001
Ya-Ru, Zhao; Hai-Rong, Zhang; Gang-Tai, Zhang; Qun, Wei; Yu-Quan, Yuan	AIP ADVANCES		[Ya-Ru, Zhao; Gang-Tai, Zhang] Baoji Univ Arts & Sci, Coll Phys & Optoelect Technol, Baoji 721016, Peoples R China; [Hai-Rong, Zhang] Baoji Univ Arts & Sci, Sch Elect & Elect Engn, Baoji 721016, Peoples R China; [Qun, Wei] Xidian Univ, Sch Sci, Xian 710071, Peoples R China; [Yu-Quan, Yuan] Sichuan Univ Sci & Engn, Sch Phys & Elect Engn, Zigong 643000, Peoples R China	Yu-Quan, Y (reprint author), Sichuan Univ Sci & Engn, Sch Phys & Elect Engn, Zigong 643000, Peoples R China.	Natural Science Foundation of China [11404008]; Natural Science Basic Research Plan in Shaanxi Province of China [2016JM1012]; Sichuan University of Science and Engineering [2015RC41, 2015RC44, 2013RC10]	0	2158-3226	2016	WOS:000392091500063
Wang, Chun; Xiong, Rui; He, Hongwen; Ding, Xiaofeng; Shen, Weixiang	APPLIED ENERGY	DC/DC; Efficiency model; Energy loss; Power dissipation; Topology; Electric vehicles	[Wang, Chun; Xiong, Rui; He, Hongwen] Beijing Inst Technol, Sch Mech Engn, Collaborat Innovat Ctr Elect Vehicles Beijing, Beijing 100081, Peoples R China; [Wang, Chun] Sichuan Univ Sci & Engn, Sch Mech Engn, Sichuan Prov Key Lab Proc Equipment & Control, Zigong 643000, Sichuan, Peoples R China; [Ding, Xiaofeng] Beihang Univ, Sch Automat Sci & Elect Engn, Beijing 100191, Peoples R China; [Shen, Weixiang] Swinburne Univ Technol, Fac Sci Engn & Technol, Hawthorn, Vic 3122, Australia	Xiong, R (reprint author), Beijing Inst Technol, Sch Mech Engn, Collaborat Innovat Ctr Elect Vehicles Beijing, Beijing 100081, Peoples R China.	National Natural Science Foundation of China [51507012, 51675042]; Joint Funds of the National Natural Science Foundation of China [U1564206]	1	0306-2619	2016	WOS:000391897600049
Hu, Hong-J; Sun, Z.; Ou, Z-W	APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING		[Hu, Hong-J; Sun, Z.] Chongqing Univ Technol, Chongqing 400050, Peoples R China; [Hu, Hong-J; Ou, Z-W] Sichuan Univ Sci & Engn, Zigong 643000, Sichuan, Peoples R China	Hu, HJ (reprint author), Chongqing Univ Technol, Chongqing 400050, Peoples R China.; Hu, HJ (reprint author), Sichuan Univ Sci & Engn, Zigong 643000, Sichuan, Peoples R China.	Chongqing Research Program of Basic Research and Frontier Technology [cstc2015j-cyjBX0054]; National Science Foundation of China [51101176]; China Postdoctoral Science Foundation [2015T81087, 2014M552575]	0	0947-8396	2016	WOS:000391422900065
Wu, D. Q.; Dong, M.; Li, H. Y.; Li, F.	INTERNATIONAL JOURNAL OF SIMULATION MODELLING	Multi-Objective Optimization; Discrete Particle Swarm Optimization; Variable Neighbourhood Search; Vehicle Routing Problem with Time Windows	[Wu, D. Q.] Shanghai Ocean Univ, Coll Econ & Management, Shanghai 201306, Peoples R China; [Wu, D. Q.; Li, H. Y.] Univ South China, Comp Sci & Technol Inst, Hengyang 421001, Peoples R China; [Wu, D. Q.; Dong, M.] Shanghai Jiao Tong Univ, Antai Coll Econ & Management, Shanghai 200240, Peoples R China; [Wu, D. Q.] Sichuan Univ Sci & Engn, Artificial Intelligence Key Lab Sichuan Prov, Zigong 643000, Peoples R China; [Wu, D. Q.] Guangxi Univ Nationalities, Key Lab, Guangxi High Sch Complex Syst, Nanning 530004, Peoples R China; [Wu, D. Q.] Guangxi Univ Nationalities, Guangxi High Sch Computat Intelligence, Nanning 530004, Peoples R China; [Wu, D. Q.] Nanjing Univ Informat Sci & Technol, Nanjing 210044, Jiangsu, Peoples R China; [Li, F.] Donghua Univ, Sch Comp Sci & Technol, Shanghai 201620, Peoples R China	Wu, DQ (reprint author), Shanghai Ocean Univ, Coll Econ & Management, Shanghai 201306, Peoples R China.; Wu, DQ (reprint author), Univ South China, Comp Sci & Technol Inst, Hengyang 421001, Peoples R China.; Wu, DQ (reprint author), Shanghai Jiao Tong Univ, Antai Coll Econ & Management, Shanghai 200240, Peoples R China.; Wu, DQ (reprint author), Sichuan Univ Sci & Engn, Artificial Intelligence Key Lab Sichuan Prov, Zigong 643000, Peoples R China.; Wu, DQ (reprint author), Guangxi Univ Nationalities, Key Lab, Guangxi High Sch Complex Syst, Nanning 530004, Peoples R China.; Wu, DQ (reprint author), Guangxi Univ Nationalities, Guangxi High Sch Computat Intelligence, Nanning 530004, Peoples R China.; Wu, DQ (reprint author), Nanjing Univ Informat Sci & Technol, Nanjing 210044, Jiangsu, Peoples R China.	project of Ministry of Education of Hunan province [2016NK2135]; project of Hunan Provincial Department of Science and Technology [2015JC3089]; open fund of Key Laboratory of Guangxi High Schools for Complex System & Computational Intelligence [15CI07Y]; open project program of artificial intelligence key laboratory of Sichuan province [2015RYJ01]; China Statistical Science Research Project [2015LZ17]; Natural Science Foundation of Shanghai, China [16ZR1401100]; Shanghai Academy of Productivity young scholars' research assistant fund, the social science project in Hunan province	0	1726-4529	2016	WOS:000391565600014
