AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Cao, Cheng-Quan; Shi, Jian-Ping; Yin, Zhan	ZOOTAXA	Orthoptera; Acridoidea; Oedipodidae; Sphingonotus; New species; China	[Cao, Cheng-Quan] Leshan Normal Univ, Coll Life Sci, Leshan 614004, Peoples R China; [Shi, Jian-Ping] Chinese Acad Sci, Northwest Plateau Inst Biol, Xining 810001, Peoples R China; [Yin, Zhan] Hebei Univ, Coll Life Sci, Baoding 071002, Peoples R China	Yin, Z (reprint author), Hebei Univ, Coll Life Sci, Baoding 071002, Peoples R China.	Natural Sciences Foundation of People's Republic of China [31372153]	0	1175-5326	2016	WOS:000389745400007
Wen, Longying; Liao, Fei	BIOCHEMICAL SYSTEMATICS AND ECOLOGY	Pycnonotus xanthorrhous; Pycnonotidae; Mitochondrial genome; Phylogenetic analysis; Gene order	[Wen, Longying] Leshan Normal Univ, Key Lab Sichuan Inst Protecting Endangered Birds, Coll Life Sci, Leshan 614004, Sichuan, Peoples R China; [Liao, Fei] Leshan Normal Univ, Dept Int Affairs, Leshan 614004, Sichuan, Peoples R China	Liao, F (reprint author), Leshan Normal Univ, Dept Int Affairs, Leshan 614004, Sichuan, Peoples R China.	Natural Science Foundation of China [31372171]	0	0305-1978	2016	WOS:000390497300012
Cao, Chengquan; Tong, Chao; Chen, Shengzhi; Liu, Zhiwei; Xu, Faqiong; Liu, Qian; Liu, Xingyue	ZOOTAXA	Corydalinae; immature; taxonomy; morphology	[Cao, Chengquan; Tong, Chao; Chen, Shengzhi; Xu, Faqiong; Liu, Qian] Leshan Normal Univ, Coll Life Sci, Leshan 614004, Sichuan, Peoples R China; [Liu, Zhiwei] Eastern Illinois Univ, Dept Biol Sci, Charleston, IL 61920 USA; [Liu, Xingyue] China Agr Univ, Dept Entomol, Beijing 100193, Peoples R China	Liu, XY (reprint author), China Agr Univ, Dept Entomol, Beijing 100193, Peoples R China.	National Natural Science Foundation of China [31322051, 31301902]; Eastern Illinois University	0	1175-5326	2016	WOS:000386329000009
Fu, Yiqiang; Chen, Benping; Dowell, Simon D.; Zhang, Zhengwang	AVIAN RESEARCH	Nest predator; Nest-site selection; Nest success; Liocichla omeiensis; Laojunshan Nature Reserve	[Fu, Yiqiang] Leshan Normal Univ, Coll Life Sci, Sichuan Inst, Key Lab Protecting Endangered Birds Southwest Mt, Leshan 614004, Sichuan, Peoples R China; [Chen, Benping] Laojunshan Natl Nat Reserve Adm, Pingshan 645350, Sichuan, Peoples R China; [Dowell, Simon D.] Chester Zoo, North England Zool Soc, Chester CH1 1LH, Cheshire, England; [Zhang, Zhengwang] Beijing Normal Univ, Coll Life Sci, Key Lab Biodivers Sci & Ecol Engn, Minist Educ, Beijing 100875, Peoples R China	Zhang, ZW (reprint author), Beijing Normal Univ, Coll Life Sci, Key Lab Biodivers Sci & Ecol Engn, Minist Educ, Beijing 100875, Peoples R China.	National Natural Science Foundation of China [31272330]; Scientific Research Innovation Team Projects of Leshan Normal University	0	2053-7166	2016	WOS:000386797400001
Nie, Wanli; Sun, Guofeng; Tian, Chong; Borzov, Maxim V.	ZEITSCHRIFT FUR NATURFORSCHUNG SECTION B-A JOURNAL OF CHEMICAL SCIENCES	1,1-carboboration; cyclotrimerization; rearrangement; tris(pentafluorophenyl)borane; variable temperature and concentration NMR spectroscopy; X-ray diffraction analysis	[Nie, Wanli; Sun, Guofeng; Tian, Chong; Borzov, Maxim V.] Leshan Normal Univ, Dept Chem, Sichuan Key Lab Nat Prod & Small Mol Synth, Binhe Rd 778, Leshan 614000, Sichuan, Peoples R China	Borzov, MV (reprint author), Leshan Normal Univ, Dept Chem, Sichuan Key Lab Nat Prod & Small Mol Synth, Binhe Rd 778, Leshan 614000, Sichuan, Peoples R China.	National Natural Science Foundation of China [21542011]; Scientific Research Fund of Sichuan Provincial Educational Department [15ZA0279]	0	0932-0776	2016	WOS:000387216800006
Peng, Lingxi; Chen, Wenbin; Zhou, Wubai; Li, Fufang; Yang, Jin; Zhang, Jiandong	COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE	Breast cancer diagnosis; Artificial immune; Machine learning	[Peng, Lingxi] Guangzhou Univ, Sch Mech & Elect Engn, Guangzhou 510006, Guangdong, Peoples R China; [Chen, Wenbin; Li, Fufang] Guangzhou Univ, Sch Comp Sci & Educ, Guangzhou 510006, Guangdong, Peoples R China; [Zhou, Wubai] Florida Int Univ, Sch Comp & Informat Sci, Miami, FL 33199 USA; [Yang, Jin; Zhang, Jiandong] Leshan Normal Univ, Dept Comp Sci, Leshan 614000, Peoples R China	Zhang, JD (reprint author), Leshan Normal Univ, Dept Comp Sci, Leshan 614000, Peoples R China.	National Natural Science Foundation of China [61472092, 11271097, 61100150]; Creation Team Construction Project of Guangdong Province University [2015KCXTD014]; Scientific Research Fund of Sichuan Provincial Education Department [13TD0014]; Scientific Research Fund of Leshan Normal University [Z1412]	1	0169-2607	2016	WOS:000381647000022
Jiang, Tao; Ma, Xuguang; Tang, Qiong; Yang, Juan; Li, Guoxue; Schuchardt, Frank	BIORESOURCE TECHNOLOGY	Composting; Dicyandiamide; Struvite; Ammonia; Nitrous oxide	[Jiang, Tao; Ma, Xuguang; Tang, Qiong; Yang, Juan] Leshan Normal Univ, Coll Chem, Leshan 614004, Peoples R China; [Jiang, Tao; Li, Guoxue] China Agr Univ, Coll Resources & Environm Sci, Beijing 100193, Peoples R China; [Schuchardt, Frank] Johann Heinrich von Thuenen Inst, Inst Agr Technol & Biosyst Engn, Bundesallee 50, D-38116 Braunschweig, Germany	Li, GX (reprint author), China Agr Univ, Coll Resources & Environm Sci, Beijing 100193, Peoples R China.		5	0960-8524	2016	WOS:000380226300030
Jiang, Tao; Ma, Xuguang; Yang, Juan; Tang, Qiong; Yi, Zhigang; Chen, Maoxia; Li, Guoxue	BIORESOURCE TECHNOLOGY	Composting; Struvite; Ammonia; Nitrous oxide; Methane	[Jiang, Tao; Ma, Xuguang; Yang, Juan; Tang, Qiong; Yi, Zhigang; Chen, Maoxia] Leshan Normal Univ, Coll Chem, Leshan 614004, Peoples R China; [Jiang, Tao; Li, Guoxue] China Agr Univ, Coll Resources & Environm Sci, Beijing 100193, Peoples R China	Li, GX (reprint author), China Agr Univ, Coll Resources & Environm Sci, Beijing 100193, Peoples R China.		0	0960-8524	2016	WOS:000380226300031
Sun, Feng; Qu, Xiao-bing; Wang, Xue-ping	FUZZY SETS AND SYSTEMS	Semi-uninorms; Implications; Complete lattices	[Sun, Feng; Qu, Xiao-bing] Leshan Normal Univ, Coll Math & Informat Sci, Leshan 614004, Sichuan, Peoples R China; [Sun, Feng; Wang, Xue-ping] Sichuan Normal Univ, Coll Math & Software Sci, Chengdu 610066, Sichuan, Peoples R China	Sun, F (reprint author), Leshan Normal Univ, Coll Math & Informat Sci, Leshan 614004, Sichuan, Peoples R China.	National Natural Science Foundation of China [11171242, 61573240]; Scientific Research Fund of Sichuan Provincial Education Department [16ZB0297]	0	0165-0114	2016	WOS:000377971500012
He, Yajun; Mo, Quan; Luo, Biao; Qiao, Yan; Xu, Ruiguang; Zuo, Zhicai; Deng, Junliang; Nong, Xiang; Peng, Guangneng; He, Wei; Wei, Yahui; Hu, Yanchun	ONCOTARGET	E. adenophorum; apoptosis; autophagy; mitochondrial and PI3K/Akt/mTOR pathway; hepatocytes	[He, Yajun; Mo, Quan; Luo, Biao; Qiao, Yan; Xu, Ruiguang; Zuo, Zhicai; Deng, Junliang; Peng, Guangneng; Hu, Yanchun] Sichuan Agr Univ, Coll Vet Med, Key Lab Anim Dis & Human Hlth Sichuan Prov, Wenjiang 611130, Sichuan Provinc, Peoples R China; [Nong, Xiang] Leshan Normal Univ, Coll Life Sci, Leshan 614000, Peoples R China; [He, Wei; Wei, Yahui] Northwest Univ, Sch Life Sci, Key Lab Resource Biol & Biotechnol Western China, Xian 710069, Peoples R China	Hu, YC (reprint author), Sichuan Agr Univ, Coll Vet Med, Key Lab Anim Dis & Human Hlth Sichuan Prov, Wenjiang 611130, Sichuan Provinc, Peoples R China.; Wei, YH (reprint author), Northwest Univ, Sch Life Sci, Key Lab Resource Biol & Biotechnol Western China, Xian 710069, Peoples R China.	Science and Technology Support Program of Sichuan Province [2015SZ0201]; Special Fund for Agroscientific Research in the Public Interest [201203062]; Changjiang Scholars and the Innovative Research Team in University [IRT0848]	0	1949-2553	2016	WOS:000385435000036
