AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Wang, Xiang; Chen, Jin-xiu; Zhou, Qiao; Liu, Yan-hui; Mao, Qing; You, Chao; Chen, Ni; Xiong, Li; Duan, Jie; Liu, Liang	ANNALS OF SURGICAL ONCOLOGY		[Wang, Xiang; Zhou, Qiao; Liu, Yan-hui; Mao, Qing; You, Chao; Chen, Ni] Sichuan Univ, West China Hosp, Chengdu, Peoples R China; [Chen, Jin-xiu] Sichuan Canc Hosp, Chengdu, Peoples R China; [Xiong, Li] Sichuan Prov Peoples Hosp, Chengdu, Peoples R China; [Duan, Jie] North Sichuan Med Coll, Affiliated Hosp, Nanchong, Peoples R China; [Liu, Liang] Luzhou Med Coll, Affiliated Hosp, Lu Zhou, Peoples R China	Wang, X (reprint author), Sichuan Univ, West China Hosp, Chengdu, Peoples R China.	National Natural Science Foundation of China [81402057]	0	1068-9265	2016	WOS:000391508800061
Zhang, Ge; Lei, Fei; Zhou, Qingzhong; Feng, Daxiong; Bai, Yongheng	MOLECULAR MEDICINE REPORTS	spinal cord injury; Rho-ROCKII signaling; Y27632; GSK-3 beta signaling; TDZD-8; axonal regeneration	[Zhang, Ge] Luzhou Peoples Hosp, Dept Orthoped, Luzhou 646000, Sichuan, Peoples R China; [Lei, Fei; Zhou, Qingzhong; Feng, Daxiong] Luzhou Med Coll, Dept Spinal Surg, Affiliated Hosp 1, 25 Taiping St, Luzhou 646000, Sichuan, Peoples R China; [Bai, Yongheng] Wenzhou Med Univ, Key Lab Surg, Affiliated Hosp 1, 2 Fuxue Lane, Wenzhou 325000, Zhejiang, Peoples R China	Feng, DX (reprint author), Luzhou Med Coll, Dept Spinal Surg, Affiliated Hosp 1, 25 Taiping St, Luzhou 646000, Sichuan, Peoples R China.; Bai, YH (reprint author), Wenzhou Med Univ, Key Lab Surg, Affiliated Hosp 1, 2 Fuxue Lane, Wenzhou 325000, Zhejiang, Peoples R China.	National Natural Science Foundation of China [Y20110028]; Sichuan Department of Science and Technology [2015JY0224]	0	1791-2997	2016	WOS:000391076100032
Zhu, Yanfeng; Xu, Hua; Li, Min; Gao, Zhibin; Huang, Jie; Liu, Linxi; Huang, Xiaoming; Li, Yun	MOLECULAR MEDICINE REPORTS	daidzein; Leydig cell; organ culture; Sertoli cell; testis; testosterone	[Zhu, Yanfeng; Xu, Hua; Gao, Zhibin; Huang, Jie; Liu, Linxi; Li, Yun] Sichuan Univ, West China Sch Publ Hlth, Dept Nutr Food Safety & Toxicol, 17 Peoples South Rd, Chengdu 610041, Sichuan, Peoples R China; [Zhu, Yanfeng] Chengdu Med Coll, Dept Publ Hlth, Chengdu 610500, Sichuan, Peoples R China; [Li, Min; Huang, Xiaoming] Luzhou Med Coll, Dept Publ Hlth, Luzhou 646000, Sichuan, Peoples R China	Li, Y (reprint author), Sichuan Univ, West China Sch Publ Hlth, Dept Nutr Food Safety & Toxicol, 17 Peoples South Rd, Chengdu 610041, Sichuan, Peoples R China.	National Natural Science Foundation of China [81072309]	0	1791-2997	2016	WOS:000391076100052
Wang, Xue-mei; Bassig, Bryan A.; Wen, Jing-jing; Li, Gan-di; Liu, Zhi-bin; Yao, Wen-xiu; Hu, Wei; Wang, Ying; Li, Ji-man; Wang, Xiao-dong; Gan, Mao-zhou; Wang, Chun-sen; Xu, Gang; Rothman, Nathaniel; Lan, Qing; Xu, Cai-gang	HEMATOLOGICAL ONCOLOGY	lymphoma; China; geographical variation; descriptive epidemiology	[Wang, Xue-mei; Wen, Jing-jing; Li, Gan-di; Liu, Zhi-bin; Xu, Cai-gang] Sichuan Univ, Dept Hematol, Hematol Res Lab & Pathol, West China Hosp, Chengdu 610041, Sichuan, Peoples R China; [Bassig, Bryan A.; Hu, Wei; Rothman, Nathaniel; Lan, Qing] NCI, Div Canc Epidemiol & Genet, NIH, DHHS, Bethesda, MD 20892 USA; [Yao, Wen-xiu; Wang, Ying; Li, Ji-man] Sichuan Prov Tumour Hosp, Dept Internal Med & Pathol, Chengdu, Sichuan, Peoples R China; [Wang, Xiao-dong; Gan, Mao-zhou; Wang, Chun-sen; Xu, Gang] Sichuan Prov Peoples Hosp, Dept Hematol & Pathol, Chengdu, Sichuan, Peoples R China; [Wang, Xue-mei] Luzhou Med Coll, Affiliated Hosp, Dept Hematol, Luzhou, Peoples R China	Xu, CG (reprint author), Sichuan Univ, Dept Hematol, Hematol Res Lab & Pathol, West China Hosp, Chengdu 610041, Sichuan, Peoples R China.		0	0278-0232	2016	WOS:000390595800003
Wang, Zhi; Qing, Quan; Chen, Xi; Liu, Cheng-Jun; Luo, Jing-Cong; Hu, Jin-Lian; Qin, Ting-Wu	APPLIED SURFACE SCIENCE	Tenocyte; Scaffold; Surface morphology; Vitreous cryopreservation; Adhesion; Survival rate	[Wang, Zhi; Chen, Xi; Liu, Cheng-Jun; Luo, Jing-Cong; Qin, Ting-Wu] Sichuan Univ, West China Hosp, State Key Lab Biotherapy, Chengdu 610041, Peoples R China; [Wang, Zhi] Luzhou Med Coll, Affiliated Hosp, Dept Bone & Joint Surg, Luzhou 646000, Peoples R China; [Qing, Quan] Sichuan Coll Tradit Chinese Med, Mianyang 621000, Peoples R China; [Qing, Quan] Sichuan Univ, West China Hosp, Regenerat Med Res Ctr, Chengdu 610041, Peoples R China; [Hu, Jin-Lian] Hong Kong Polytech Univ, Inst Text & Clothing, Hong Kong, Hong Kong, Peoples R China	Qin, TW (reprint author), Sichuan Univ, West China Hosp, State Key Lab Biotherapy, Inst Stem Cell & Tissue Engn, Chengdu, Peoples R China.	National High Technology Research and Development Program of China [2012AA020502]; National Natural Science Foundation of China [31370988]; Basic Research Plan of Shenzhen [JC201104210132A]	0	0169-4332	2016	WOS:000384573100032
Xu, Y.; Zhou, K.; Yang, Z.; Li, F.; Wang, Z.; Xu, F.; He, C.	ZEITSCHRIFT FUR RHEUMATOLOGIE		[Xu, Y.; Yang, Z.; Li, F.; Wang, Z.; Xu, F.; He, C.] Luzhou Med Coll, Affiliated Hosp, Dept Rheumatism, Lu Zhou 646000, Peoples R China; [Zhou, K.] Sichuan Univ, West China Hosp, Dept Orthopaed, Chengdu, Peoples R China	He, C (reprint author), Luzhou Med Coll, Affiliated Hosp, Dept Rheumatism, Lu Zhou 646000, Peoples R China.		0	0340-1855	2016	WOS:000387500700012
Ding, Qiuxia; Li, Zhi; Yang, Yi; Guo, Gang; Luo, Feng; Chen, Zhengqiong; Yang, Ying; Qian, ZhiYong; Shi, Shuai	DRUG DELIVERY	Breast cancer; chemotherapy; docetaxel; nanofibers; PDLLA; tumor recurrence	[Ding, Qiuxia; Yang, Yi; Guo, Gang; Luo, Feng; Qian, ZhiYong] Sichuan Univ, West China Med Sch, West China Hosp, State Key Lab Biotherapy, Chengdu, Peoples R China; [Ding, Qiuxia; Yang, Yi; Guo, Gang; Luo, Feng; Qian, ZhiYong] Sichuan Univ, West China Med Sch, West China Hosp, Ctr Canc, Chengdu, Peoples R China; [Ding, Qiuxia; Chen, Zhengqiong; Yang, Ying] Third Mil Med Univ, Xinqiao Hosp, Dept Obstet & Gynaecol, Chongqing, Peoples R China; [Li, Zhi] Luzhou Med Coll, Affiliated Hosp TCM, Dept Gastroenterol, Luzhou, Peoples R China; [Shi, Shuai] Wenzhou Med Univ, Inst Biomed Engn, Sch Ophthalmol & Optometry, Wenzhou, Peoples R China; [Shi, Shuai] Wenzhou Med Univ, Inst Biomed Engn, Hosp Eye, Wenzhou, Peoples R China	Shi, S (reprint author), Wenzhou Med Univ, Inst Biomed Engn, Sch Ophthalmol & Optometry, Wenzhou, Peoples R China.; Shi, S (reprint author), Wenzhou Med Univ, Inst Biomed Engn, Hosp Eye, Wenzhou, Peoples R China.	National Natural Science Foundation [NSFC31222023, NSFC51303203]; Luzhou Science and Technology Plan [2013CDLZ-S21]; Distinguished young scholars of Sichuan University [2011SCU04B18]	0	1071-7544	2016	WOS:000388750400005
Peng, Yin; Qian, Zheng; Ting, Zhou; Jie, Fang; Xiaomei, Xu; Li, Mei	DENTAL MATERIALS JOURNAL	Fluoride varnish; Resin infiltration; Interproximal reduction; Stripping; Enamel demineralization	[Peng, Yin] Peoples Hosp LeShan, Dept Stomatol, Leshan 614000, Sichuan, Peoples R China; [Qian, Zheng; Xiaomei, Xu] Luzhou Med Coll, Hosp Stomatol, Dept Orthodont, Orofacial Reconstruct & Regenerat Lab, Luzhou 646000, Peoples R China; [Ting, Zhou] Fourth Peoples Hosp Sichuan Prov, Dept Stomatol, Chengdu 610041, Sichuan, Peoples R China; [Jie, Fang] Sichuan Univ, West China Hosp Stomatol, Dept Orthodont, State Key Lab Oral Dis, Chengdu 610041, Sichuan, Peoples R China; [Li, Mei] Univ Otago, Dept Oral Sci, Fac Dent, Discipline Orthodont, Dunedin, New Zealand	Xiaomei, X (reprint author), Luzhou Med Coll, Hosp Stomatol, Dept Orthodont, Orofacial Reconstruct & Regenerat Lab, Luzhou 646000, Peoples R China.	Combined Research Project of Sichuan Science and Technology; National Natural Science Foundation of China [81301476]; Luzhou Government and Luzhou Medical College [LZ-LY-59]	1	0287-4547	2016	WOS:000388249100008
Du, Mei-Rong; Ju, Gui-Xia; Li, Nian-Sheng; Jiang, Jun-Lin	JOURNAL OF CARDIOVASCULAR PHARMACOLOGY	ADMA; microvascular complications; diabetes	[Du, Mei-Rong; Ju, Gui-Xia; Li, Nian-Sheng; Jiang, Jun-Lin] Cent S Univ, Sch Pharmaceut Sci, Dept Pharmacol, 110 Xiang Ya Rd, Changsha 410078, Hunan, Peoples R China; [Du, Mei-Rong] Luzhou Med Coll, Affiliated Hosp, Dept Pharm, Luzhou, Sichuan, Peoples R China; [Jiang, Jun-Lin] Cent S Univ, Prov Key Lab Cardiovasc Res, Changsha, Hunan, Peoples R China	Jiang, JL (reprint author), Cent S Univ, Sch Pharmaceut Sci, Dept Pharmacol, 110 Xiang Ya Rd, Changsha 410078, Hunan, Peoples R China.	National Natural Science Foundation of China [81373408]	0	0160-2446	2016	WOS:000387008000008
Wu, Xiaolong; Feng, Libo; Liu, Qing; Xia, Dong; Xu, Liang	EXPERIMENTAL AND THERAPEUTIC MEDICINE	gastrointestinal stromal tumor; unresectable; imatinib; literature review	[Wu, Xiaolong; Feng, Libo; Liu, Qing; Xia, Dong; Xu, Liang] Luzhou Med Coll, Dept Gastrointestinal Surg, Affiliated Hosp, 25 Taiping St, Luzhou 646000, Sichuan, Peoples R China	Xia, D (reprint author), Luzhou Med Coll, Dept Gastrointestinal Surg, Affiliated Hosp, 25 Taiping St, Luzhou 646000, Sichuan, Peoples R China.		0	1792-0981	2016	WOS:000385578200053
