AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Song, Guiqin; Liu, Kang; Zhu, Xiaoyan; Yang, Xiaolin; Shen, Yuewu; Wang, Wan; Shi, Guidong; Li, Qing; Duan, Yi; Zhao, Yunxia; Feng, Gang	WORLD JOURNAL OF SURGICAL ONCOLOGY	Esophageal cancer; Overall survival; Clinical pathological features; Meta-analysis	[Song, Guiqin; Yang, Xiaolin; Shen, Yuewu; Wang, Wan] North Sichuan Med Coll, Dept Biol, Nanchong 637000, Sichuan Provinc, Peoples R China; [Liu, Kang; Feng, Gang] North Sichuan Med Coll, Inst Tissue Engn & Stem Cells, Nanchong 637000, Sichuan Provinc, Peoples R China; [Liu, Kang; Feng, Gang] Nanchong Cent Hosp, Biotherapy Ctr, Nanchong 637000, Sichuan Provinc, Peoples R China; [Zhu, Xiaoyan] North Sichuan Med Coll, Dept Parasitol, Nanchong 637000, Sichuan Provinc, Peoples R China; [Shi, Guidong] North Sichuan Med Coll, Dept Chest Surg, Affiliated Hosp, Nanchong 637000, Sichuan Provinc, Peoples R China; [Li, Qing; Duan, Yi] North Sichuan Med Coll, Med Clin, Nanchong 637000, Sichuan Provinc, Peoples R China; [Zhao, Yunxia] Sichuan Univ, State Key Lab Biotherapy, Chengdu 610041, Sichuan Provinc, Peoples R China	Feng, G (reprint author), North Sichuan Med Coll, Inst Tissue Engn & Stem Cells, Nanchong 637000, Sichuan Provinc, Peoples R China.; Feng, G (reprint author), Nanchong Cent Hosp, Biotherapy Ctr, Nanchong 637000, Sichuan Provinc, Peoples R China.	Science & Technology Department of Sichuan Province [2015JY0005]; Education Department of Sichuan Province [16ZA0242]; research of application technology and capital development of Nanchong [16YFZJ0023, 15A0035, 14A0021]; research of Health and Family Planning Commission of Sichuan Province [16PJ210]	0	1477-7819	2016	WOS:000391146200001
Gao, Meiya; Long, Hu; Ma, Wenqiang; Liao, Lina; Yang, Xin; Zhou, Yang; Shan, Di; Huang, Renhuan; Jian, Fan; Wang, Yan; Lai, Wenli	EUROPEAN JOURNAL OF ORTHODONTICS		[Gao, Meiya; Long, Hu; Liao, Lina; Yang, Xin; Zhou, Yang; Shan, Di; Huang, Renhuan; Jian, Fan; Wang, Yan; Lai, Wenli] Sichuan Univ, West China Hosp Stomatol, Dept Orthodont, State Key Lab Oral Dis, 14,Sect 3,Ren Min Nan Rd, Chengdu 610041, Peoples R China; [Ma, Wenqiang] North Sichuan Med Coll, Dept Orthodont, Nanchong, Peoples R China	Lai, WL (reprint author), Sichuan Univ, West China Hosp Stomatol, Dept Orthodont, State Key Lab Oral Dis, 14,Sect 3,Ren Min Nan Rd, Chengdu 610041, Peoples R China.	National Natural Science Foundation of China [81571004, 81500884, 81400549]	0	0141-5387	2016	WOS:000393060000004
Hou, Lingmi; Chen, Maoshan; Zhao, Xiaobo; Li, Jingdong; Deng, Shishan; Hu, Jiani; Yang, Hongwei; Jiang, Jun	TUMOR BIOLOGY	TNBC; FAT4; Invasion; Proliferation	[Hou, Lingmi; Jiang, Jun] Third Mil Med Univ, Southwest Hosp, Breast Dis Ctr, Chongqing 40038, Peoples R China; [Hou, Lingmi; Zhao, Xiaobo] North Sichuan Med Coll, Dept Thyroid Breast Surg, Affiliated Hosp, Nanchong 637000, Sichuan, Peoples R China; [Hou, Lingmi; Li, Jingdong] North Sichuan Med Coll, Affiliated Hosp, Inst Hepatobiliary Pancreat Intestinal Dis, Nanchong 637000, Sichuan, Peoples R China; [Chen, Maoshan; Yang, Hongwei] Suining Cent Hosp, Dept Breast & Thyroid Surg, Suining 629000, Sichuan, Peoples R China; [Deng, Shishan] North Sichuan Med Coll, Dept Anat, Nanchong 637000, Sichuan, Peoples R China; [Hu, Jiani] Wayne State Univ, Dept Radiol, Detroit, MI 48331 USA	Jiang, J (reprint author), Third Mil Med Univ, Southwest Hosp, Breast Dis Ctr, Chongqing 40038, Peoples R China.; Yang, HW (reprint author), Suining Cent Hosp, Dept Breast & Thyroid Surg, Suining 629000, Sichuan, Peoples R China.	National Natural Science Foundation of China [81172496]; Education Department of Sichuan Province [13ZA0228]; "Innovation talent Project" from Technological Office of Sichuan Province [2016060]	0	1010-4283	2016	WOS:000392941000097
Wang, Xiang; Chen, Jin-xiu; Zhou, Qiao; Liu, Yan-hui; Mao, Qing; You, Chao; Chen, Ni; Xiong, Li; Duan, Jie; Liu, Liang	ANNALS OF SURGICAL ONCOLOGY		[Wang, Xiang; Zhou, Qiao; Liu, Yan-hui; Mao, Qing; You, Chao; Chen, Ni] Sichuan Univ, West China Hosp, Chengdu, Peoples R China; [Chen, Jin-xiu] Sichuan Canc Hosp, Chengdu, Peoples R China; [Xiong, Li] Sichuan Prov Peoples Hosp, Chengdu, Peoples R China; [Duan, Jie] North Sichuan Med Coll, Affiliated Hosp, Nanchong, Peoples R China; [Liu, Liang] Luzhou Med Coll, Affiliated Hosp, Lu Zhou, Peoples R China	Wang, X (reprint author), Sichuan Univ, West China Hosp, Chengdu, Peoples R China.	National Natural Science Foundation of China [81402057]	0	1068-9265	2016	WOS:000391508800061
Yang, Chun-Yan; Ha, Wei; Lin, Yong; Jiang, Kan; Yang, Jun-Li; Shi, Yan-Ping	MOLECULES	Xanthoceras sorbifolia; polyphenols; extracts; anti-tumor activity; radical-scavenging activity	[Yang, Chun-Yan; Ha, Wei; Jiang, Kan; Yang, Jun-Li; Shi, Yan-Ping] Chinese Acad Sci, Lanzhou Inst Chem Phys, CAS Key Lab Chem Northwestern Plant Resources, Lanzhou 730000, Peoples R China; [Yang, Chun-Yan; Ha, Wei; Jiang, Kan; Yang, Jun-Li; Shi, Yan-Ping] Chinese Acad Sci, Lanzhou Inst Chem Phys, Key Lab Nat Med Gansu Prov, Lanzhou 730000, Peoples R China; [Yang, Chun-Yan] North Sichuan Med Coll, Inst Mat Med, Sch Pharm, Nanchong 637007, Peoples R China; [Lin, Yong] North Sichuan Med Coll, Dept Prevent Med, Nanchong 637007, Peoples R China	Yang, JL; Shi, YP (reprint author), Chinese Acad Sci, Lanzhou Inst Chem Phys, CAS Key Lab Chem Northwestern Plant Resources, Lanzhou 730000, Peoples R China.; Yang, JL; Shi, YP (reprint author), Chinese Acad Sci, Lanzhou Inst Chem Phys, Key Lab Nat Med Gansu Prov, Lanzhou 730000, Peoples R China.	National Nature Science Foundation of China [21405164, 21575150, 81673325]; CAS Pioneer Hundred Talents Program; scientific research project of Central Asia Drug Discovery and Development Centre of Chinese Academy of Sciences [CAM201404]; Postdoctoral Research Projects in Gansu Province	0	1420-3049	2016	WOS:000392140100088
Zhao, Xiao-bo; Ren, Guo-sheng	JOURNAL OF BREAST CANCER	Apoptosis; Breast neoplasms; Cell proliferation; MicroRNA-9; TUG1 long noncoding RNA	[Zhao, Xiao-bo] Chongqing Med Univ, Affiliated Hosp 1, Chongqing Key Lab Mol Oncol & Epigenet, Chongqing, Peoples R China; [Zhao, Xiao-bo] North Sichuan Med Coll, Affiliated Hosp, Dept Breast Surg, Nanchong, Peoples R China; [Ren, Guo-sheng] Chongqing Med Univ, Affiliated Hosp 1, Dept Endocrine & Breast Surg, 1 Youyi Rd, Chongqing 400016, Peoples R China	Ren, GS (reprint author), Chongqing Med Univ, Affiliated Hosp 1, Dept Endocrine & Breast Surg, 1 Youyi Rd, Chongqing 400016, Peoples R China.		0	1738-6756	2016	WOS:000391349800002
He, Mei; Lv, Zhan; Yang, Zheng-Wei; Huang, Jiu-Ling; Liu, Fu	COMPLEMENTARY THERAPIES IN MEDICINE	Wenxin Keli; Herbal extract; Ventricular premature beats; Effect; Safety	[He, Mei; Liu, Fu] North Sichuan Med Coll, Affiliated Hosp, Dept Pharm, Wenhua Rd 63, Nanchong 637000, Sichuan, Peoples R China; [Lv, Zhan] North Sichuan Med Coll, Affiliated Hosp, Dept Cardiol, Nanchong, Peoples R China; [Yang, Zheng-Wei] North Sichuan Med Coll, Morphometr Res Lab, Nanchong, Peoples R China; [Huang, Jiu-Ling] North Sichuan Med Coll, Affiliated Hosp, Dept Chinese Med, Nanchong, Peoples R China	He, M; Liu, F (reprint author), North Sichuan Med Coll, Affiliated Hosp, Dept Pharm, Wenhua Rd 63, Nanchong 637000, Sichuan, Peoples R China.		0	0965-2299	2016	WOS:000390623500026
Li, Guanwu; Xu, Zheng; Hou, Lingmi; Li, Xuefeng; Li, Xin; Yuan, Wei; Polat, Maki; Chang, Shixin	AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM	osteoporosis; marrow fat; PPAR gamma 2 antagonist; ovariectomy	[Li, Guanwu; Li, Xuefeng; Chang, Shixin] Shanghai Univ Tradit Chinese Med, Yueyang Hosp, Dept Radiol, Shanghai, Peoples R China; [Xu, Zheng] Xinzhuang Community Hlth Ctr, Shanghai, Peoples R China; [Hou, Lingmi] North Sichuan Med Coll, Affiliated Hosp, Nanchong, Sichuan, Peoples R China; [Li, Xin] Shanghai Univ Tradit Chinese Med, Yueyang Hosp, Dept Gerontol, Shanghai, Peoples R China; [Yuan, Wei] Shanghai Univ Tradit Chinese Med, Yueyang Hosp, Dept Spinal Dis Unit, Shanghai, Peoples R China; [Polat, Maki] Univ Wisconsin, Sch Med & Publ Hlth, Madison, WI USA	Li, GW (reprint author), Shanghai Univ TCM, Dept Radiol, Yueyang Hosp, 110 Ganhe Rd, Shanghai 200437, Peoples R China.	National Science Foundation of China [81202809, 81373856]	0	0193-1849	2016	WOS:000390111600003
Zhao, Xiao-Bo; Ren, Guo-Sheng	MEDICINE	breast cancer; diabetes mellitus; meta-analysis; prognosis	[Zhao, Xiao-Bo] Chongqing Med Univ, Chongqing Key Lab Mol Oncol & Epigenet, Affiliated Hosp 1, Chongqing, Peoples R China; [Zhao, Xiao-Bo] North Sichuan Med Coll, Dept Breast Surg, Affiliated Hosp, Nanchong, Peoples R China; [Ren, Guo-Sheng] Chongqing Med Univ, Dept Endocrine & Breast Surg, Affiliated Hosp 1, 1 Youyi Rd, Chongqing 400016, Peoples R China	Ren, GS (reprint author), Chongqing Med Univ, Dept Endocrine & Breast Surg, Affiliated Hosp 1, 1 Youyi Rd, Chongqing 400016, Peoples R China.		0	0025-7974	2016	WOS:000390040000080
Li, Yong; Wu, Changqiang; Chen, Tianwu; Zhang, Juanjuan; Liu, Gang; Pu, Yu; Zhu, Jiang; Shen, Chengyi; Zhang, Yang; Zeng, Nanlin; Zhang, Xiaoming	ONCOLOGY REPORTS	mucin; pancreatic carcinoma; RNA interference; lentivirus vectors	[Li, Yong; Chen, Tianwu; Pu, Yu; Zhang, Yang; Zeng, Nanlin; Zhang, Xiaoming] North Sichuan Med Coll, Affiliated Hosp, Sichuan Key Lab Med Imaging, 63 Wenhua Rd, Nanchong 637000, Sichuan, Peoples R China; [Li, Yong; Chen, Tianwu; Pu, Yu; Zhang, Yang; Zeng, Nanlin; Zhang, Xiaoming] North Sichuan Med Coll, Affiliated Hosp, Dept Radiol, 63 Wenhua Rd, Nanchong 637000, Sichuan, Peoples R China; [Wu, Changqiang] North Sichuan Med Coll, Sichuan Key Lab Med Imaging, Nanchong 637000, Sichuan, Peoples R China; [Wu, Changqiang] North Sichuan Med Coll, Sch Med Imaging, Nanchong 637000, Sichuan, Peoples R China; [Zhang, Juanjuan] North Sichuan Med Coll, Sichuan Key Lab Med Imaging, Nanchong 637000, Sichuan, Peoples R China; [Liu, Gang] Xiamen Univ, Sch Publ Hlth, State Key Lab Mol Vaccinol & Mol Diagnost, Xiamen 361102, Fujian, Peoples R China; [Liu, Gang] Xiamen Univ, Sch Publ Hlth, Ctr Mol Imaging & Translat Med, Xiamen 361102, Fujian, Peoples R China; [Zhu, Jiang] North Sichuan Med Coll, Sichuan Key Lab Med Imaging, Nanchong 637000, Sichuan, Peoples R China; [Zhu, Jiang] North Sichuan Med Coll, Dept Chem, Nanchong 637000, Sichuan, Peoples R China; [Shen, Chengyi] North Sichuan Med Coll, Sichuan Key Lab Med Imaging, Nanchong 637000, Sichuan, Peoples R China; [Shen, Chengyi] North Sichuan Med Coll, Dept Pathophysiol, Nanchong 637000, Sichuan, Peoples R China	Zhang, XM (reprint author), North Sichuan Med Coll, Affiliated Hosp, Sichuan Key Lab Med Imaging, 63 Wenhua Rd, Nanchong 637000, Sichuan, Peoples R China.; Zhang, XM (reprint author), North Sichuan Med Coll, Affiliated Hosp, Dept Radiol, 63 Wenhua Rd, Nanchong 637000, Sichuan, Peoples R China.	National Natural Science Foundation of China [81271643]	0	1021-335X	2016	WOS:000388653200043
