AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Shao, Zhenyi; Sun, Yue; Liu, Wanxia; Zhang, Xueqiao; Jiang, Xiaosong	METALS	Cu/Ti3SiC2/C/BN/GNPs nanocomposites; hot isostatic pressing; microstructure; mechanical properties; wear	[Shao, Zhenyi] Chengdu Technol Univ, Sch Mat Engn, Chengdu 611730, Peoples R China; [Shao, Zhenyi; Sun, Yue; Liu, Wanxia; Zhang, Xueqiao; Jiang, Xiaosong] Southwest Jiaotong Univ, Sch Mat Sci & Engn, Chengdu 610031, Peoples R China	Jiang, XS (reprint author), Southwest Jiaotong Univ, Sch Mat Sci & Engn, Chengdu 610031, Peoples R China.	National Natural Science Foundation of China [51201143]; Fundamental Research Funds for the Central Universities [2682015CX001]; China Postdoctoral Science Foundation [2015M570794]; Key Laboratory of Infrared Imaging Materials and Detectors, Shanghai Institute of Technical Physics, Chinese Academy of Sciences [IIMDKFJJ-14-04]; Sichuan Science and Technology Support Program [2016FZ0079]	0	2075-4701	2016	WOS:000393041700008
Gao, Nan; Liang, Tao; Yuan, Yuan; Xiao, Xiuchan; Zhao, Yihuan; Guo, Yanzhi; Li, Menglong; Pu, Xuemei	PHYSICAL CHEMISTRY CHEMICAL PHYSICS		[Gao, Nan; Liang, Tao; Zhao, Yihuan; Guo, Yanzhi; Li, Menglong; Pu, Xuemei] Sichuan Univ, Fac Chem, Chengdu 610064, Sichuan, Peoples R China; [Yuan, Yuan] Southwest Univ Nationalities, Coll Management, Chengdu 610041, Peoples R China; [Xiao, Xiuchan] Chengdu Technol Univ, Dept Architecture & Environm Engn, Chengdu 611730, Sichuan, Peoples R China	Pu, XM (reprint author), Sichuan Univ, Fac Chem, Chengdu 610064, Sichuan, Peoples R China.	National Science Foundation of China [21273154, 21573151]; Sichuan Province Science and Technology Support Program [2015GZ0193]	1	1463-9076	2016	WOS:000387024300043
Song, Tingfeng; Jiang, Xiaosong; Shao, Zhenyi; Mo, Defeng; Zhu, Degui; Zhu, Minhao	METALS	316 stainless steel; 4J29 Kovar alloy; nickel; diffusion bonding	[Song, Tingfeng; Jiang, Xiaosong; Shao, Zhenyi; Zhu, Degui; Zhu, Minhao] Southwest Jiaotong Univ, Sch Mat Sci & Engn, Chengdu 610031, Sichuan, Peoples R China; [Shao, Zhenyi] Chengdu Technol Univ, Dept Mat Engn, Chengdu 611730, Sichuan, Peoples R China; [Mo, Defeng] Chinese Acad Sci, Shanghai Inst Tech Phys, Key Lab Infrared Imaging Mat & Detectors, Shanghai 200083, Peoples R China	Jiang, XS (reprint author), Southwest Jiaotong Univ, Sch Mat Sci & Engn, Chengdu 610031, Sichuan, Peoples R China.	National Natural Science Foundation of China [51201143]; Fundamental Research Funds for the Central Universities [2682015CX001]; China Postdoctoral Science Foundation [2015M570794]; Key Laboratory of Infrared Imaging Materials and Detectors, Shanghai Institute of Technical Physics, Chinese Academy of Sciences [IIMDKFJJ-14-04]; Sichuan Science and Technology Support Program [2016FZ0079]; R & D Projects Funding from the Research Council of Norway [263875/H30]	1	2075-4701	2016	WOS:000389600400010
Sun, Ke; Pu, Zhiyong; Yang, Yan; Chen, Linglong; Yu, Zhong; Wu, Chuanjian; Jiang, Xiaona; Lan, Zhongwen	JOURNAL OF ALLOYS AND COMPOUNDS	NiCuZn ferrites; Iron-deficiency; Rietveld refinement; Magnetocrystalline anisotropy constant; Magnetic properties; Ferromagnetic resonance linewidth	[Sun, Ke; Pu, Zhiyong; Chen, Linglong; Yu, Zhong; Wu, Chuanjian; Jiang, Xiaona; Lan, Zhongwen] Univ Elect Sci & Technol China, State Key Lab Elect Thin Films & Integrated Devic, Chengdu 610054, Peoples R China; [Yang, Yan] Chengdu Technol Univ, Dept Commun Engn, Chengdu 611730, Peoples R China	Sun, K (reprint author), Univ Elect Sci & Technol China, State Key Lab Elect Thin Films & Integrated Devic, Chengdu 610054, Peoples R China.	National Natural Science Foundation of China [51472045]	0	0925-8388	2016	WOS:000376443300018
Xie, Xuan; Li, Xifeng; Bi, Dongjie; Zhou, Qizhong; Xie, Sanshan; Xie, Yongle	IEEE TRANSACTIONS ON APPLIED SUPERCONDUCTIVITY	Electromagnetic measurements; extreme fisher information; measurement uncertainty; reliability estimation; stochastic system	[Xie, Xuan; Li, Xifeng; Bi, Dongjie; Zhou, Qizhong; Xie, Yongle] Univ Elect Sci & Technol China, Sch Automat Engn, Chengdu 611731, Peoples R China; [Xie, Sanshan] Chengdu Technol Univ, Chengdu 611730, Peoples R China	Xie, X (reprint author), Univ Elect Sci & Technol China, Sch Automat Engn, Chengdu 611731, Peoples R China.	National Science Foundation of China [60871056, 61371049, 61601096]; specialized Research Fund for the Doctoral Program of High Education of China [20120185110013]; Fundamental Research Funds for the Central Universities [267ZYGX2015KYQD021]; Sichuan Province Applied Basis Research Project [2013JY0058]; Key Lab Fund Project of Key Laboratory of Fluid and Power Machinery of Ministry of Education [SZJJ2012-042]	0	1051-8223	2016	WOS:000400210200001
Luo, Cheng-Gao; Deng, Huan; Li, Lei; Wu, Fei; Wang, Qiong-Hua	JOURNAL OF DISPLAY TECHNOLOGY	Depth-of-field (DOF); integral imaging; three-dimensional (3D) acquisition; 3D image display; 3D image reconstruction	[Luo, Cheng-Gao; Deng, Huan; Li, Lei; Wang, Qiong-Hua] Sichuan Univ, Sch Elect & Informat Engn, Chengdu 610065, Peoples R China; [Luo, Cheng-Gao] Natl Univ Def Technol, Sch Elect Sci & Engn, Changsha 410073, Hunan, Peoples R China; [Wu, Fei] Chengdu Technol Univ, Dept Commun Engn, Chengdu 611730, Peoples R China	Luo, CG (reprint author), Sichuan Univ, Sch Elect & Informat Engn, Chengdu 610065, Peoples R China.	"973" Program [2013CB328802]; National Science Foundation of China [61225022, 61320106015, 61405129]	0	1551-319X	2016	WOS:000384300400032
Jiang, Xiao-Liang; Wang, Qiang; He, Biao; Chen, Shao-Jie; Li, Bai-Lin	NEUROCOMPUTING	Image segmentation; Level set; Correntropy-based; Fuzzy c-means clustering (FCM); Spatial constraints	[Jiang, Xiao-Liang] Quzhou Coll, Dept Mech Engn, Quzhou 324000, Zhejiang, Peoples R China; [Jiang, Xiao-Liang; Wang, Qiang; He, Biao; Chen, Shao-Jie; Li, Bai-Lin] Southwest Jiaotong Univ, Coll Mech Engn, Chengdu 610031, Sichuan, Peoples R China; [Wang, Qiang] Chengdu Technol Univ, Dept Mech Engn, Chengdu 610031, Sichuan, Peoples R China	Jiang, XL (reprint author), Quzhou Coll, Dept Mech Engn, Quzhou 324000, Zhejiang, Peoples R China.; Jiang, XL (reprint author), Southwest Jiaotong Univ, Coll Mech Engn, Chengdu 610031, Sichuan, Peoples R China.	National Natural Science Foundation of China [51305368, 30800263]; Cultivation Program for the Excellent Doctoral Dissertation of Southwest Jiaotong University [A0920502051410-3]; Science and technology support project of Sichuan province [2013GZ0032, 2014GZ0005]	2	0925-2312	2016	WOS:000382794500003
Pan, Xue; Chen, Li-Zhu; Wu, Yuan-Fang	CHINESE PHYSICS C	critical point; the sixth order cumulant; Ising model	[Pan, Xue] Chengdu Technol Univ, Sch Elect Engn, Chengdu 611730, Peoples R China; [Chen, Li-Zhu] Nanjing Univ Informat Sci & Technol, Sch Phys & Optoelect Engn, Nanjing 210044, Jiangsu, Peoples R China; [Wu, Yuan-Fang] Cent China Normal Univ, Key Lab Quark & Lepton Phys MOE, Wuhan 430079, Peoples R China; [Wu, Yuan-Fang] Cent China Normal Univ, Inst Particle Phys, Wuhan 430079, Peoples R China	Pan, X (reprint author), Chengdu Technol Univ, Sch Elect Engn, Chengdu 611730, Peoples R China.	Fund Project of Sichuan Provincial Department of Education [16ZB0339]; Fund Project of Chengdu Technological University for Doctor [2016RC004]; Major State Basic Research Development Program of China [2014CB845402]; National Natural Science Foundation of China [11405088, 11221504]	0	1674-1137	2016	WOS:000383367200006
Zhou, Wu; Chen, Lili; Yu, Huijun; Peng, Bei; Chen, Yu	MEASUREMENT SCIENCE REVIEW	MEMS; micro accelerometer; stiffness; sensitivity; defect	[Zhou, Wu; Yu, Huijun; Peng, Bei; Chen, Yu] Univ Elect Technol & Sci China, Sch Mechatron Engn, 2006 Xiyuan Ave, Chengdu 611731, Peoples R China; [Chen, Lili] Chengdu Technol Univ, Coll Mech Engn, 1 Zhongxing Ave, Chengdu 611730, Peoples R China	Zhou, W (reprint author), Univ Elect Technol & Sci China, Sch Mechatron Engn, 2006 Xiyuan Ave, Chengdu 611731, Peoples R China.	NSAF [U1530132]; National Natural Science Foundation of China [51505068, 51575090]; Fundamental Research Funds for Central Universities [ZYGX2015J085]	1	1335-8871	2016	WOS:000382308200007
Pan, Yi; Luo, Qianying; Cheng, Min	ATTENTION PERCEPTION & PSYCHOPHYSICS	Working memory; Attention; Perception; External noise	[Pan, Yi] Hangzhou Normal Univ, Dept Psychol, Hangzhou, Zhejiang, Peoples R China; [Luo, Qianying] Zhejiang Univ Finance & Econ, Hangzhou, Zhejiang, Peoples R China; [Cheng, Min] Chengdu Technol Univ, Chengdu, Peoples R China	Pan, Y (reprint author), Hangzhou Normal Univ, Dept Psychol, Hangzhou, Zhejiang, Peoples R China.	National Natural Science Foundation of China [31371034]; Natural Science Foundation of Zhejiang Province [LY13C090006]	0	1943-3921	2016	WOS:000381223700007
Sun, Ke; Liu, Hai; Yang, Yan; Yu, Zhong; Chen, Chuan; Wu, Guohua; Jiang, Xiaona; Lan, Zhongwen; Li, Lezhong	MATERIALS CHEMISTRY AND PHYSICS	Magnetic materials; Sintering; Domain structure; Magnetic properties	[Sun, Ke; Liu, Hai; Yu, Zhong; Wu, Guohua; Jiang, Xiaona; Lan, Zhongwen] Univ Elect Sci & Technol China, State Key Lab Elect Thin Films & Integrated Devic, Chengdu 610054, Peoples R China; [Yang, Yan] Chengdu Technol Univ, Dept Commun Engn, Chengdu 611730, Peoples R China; [Chen, Chuan] State Grid Corp China, State Grid Smart Grid Res Inst, Beijing 102200, Peoples R China; [Li, Lezhong] Chengdu Univ Informat Technol, Sichuan Prov Key Lab Informat Mat & Devices Appli, Chengdu 610225, Sichuan, Peoples R China	Sun, K (reprint author), Univ Elect Sci & Technol China, State Key Lab Elect Thin Films & Integrated Devic, Chengdu 610054, Peoples R China.	National Natural Science Foundation of China [51472045]	1	0254-0584	2016	WOS:000374612000016
