AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Liu, Wenlong; Liu, Yen-Yu; Do, Jing-Shan; Li, Jing	APPLIED SURFACE SCIENCE	Ammonia gas sensor; Humidity; Noble metal; Sensing mechanism	[Liu, Wenlong; Li, Jing] Chengdu Univ, Coll Pharm & Biol Engn, Chengdu 610106, Peoples R China; [Liu, Wenlong; Do, Jing-Shan] Natl Chin Yi Univ Technol, Dept Chem & Mat Engn, Taichung 411, Taiwan; [Liu, Yen-Yu] Tunghai Univ, Dept Chem & Mat Engn, Taichung 407, Taiwan	Li, J (reprint author), Chengdu Univ, Coll Pharm & Biol Engn, Chengdu 610106, Peoples R China.; Do, JS (reprint author), Natl Chin Yi Univ Technol, Dept Chem & Mat Engn, Taichung 411, Taiwan.	National Science Council of the Republic of China [NSC 101-2221-E-167-027-MY3]; China Postdoctoral Science Foundation [2016M590877]; National Natural Science Foundation of China [31601529]; Youth Foundations of Chengdu University [2015XJZ02 and 2016XJZ19]	1	0169-4332	2016	WOS:000385900700113
Li, Jing-jian; Xiong, Chao; Liu, Yue; Liang, Jun-song; Zhou, Xing-wen	FRONTIERS IN PLANT SCIENCE	LAMP technology; detection method; herbal medicine; species identification; drug safety	[Li, Jing-jian] South China Agr Univ, Coll Forestry & Landscape Architecture, Guangzhou, Guangdong, Peoples R China; [Xiong, Chao] Hubei Univ Chinese Med, Coll Pharm, Wuhan, Peoples R China; [Liu, Yue] Chengdu Univ, Sichuan Ind Inst Antibiot, Chengdu, Peoples R China; [Liang, Jun-song; Zhou, Xing-wen] Yulin Normal Univ, Coll Biol & Pharm, Yulin, Peoples R China	Liang, JS; Zhou, XW (reprint author), Yulin Normal Univ, Coll Biol & Pharm, Yulin, Peoples R China.	National Natural Science Foundation of China [31360197]; Research Project of Higher Education of Guangxi [YB2014315]; Scientific Innovation Ability and Condition Construction of Guangxi [GKN11217028]; Science Research Foundation of Guangxi Institute of Botany [GZY14003]	0	1664-462X	2016	WOS:000390595700001
Su, Haifeng; Lin, Jiafu; Wang, GuangWei	SCIENTIFIC REPORTS		[Su, Haifeng; Wang, GuangWei] Chinese Acad Sci, Chongqing Inst Green & Interligent Technol, 266 Fangzheng Ave,Shuitu High Tech Pk, Chongqing 400714, Peoples R China; [Lin, Jiafu] Chengdu Univ, Antibiot Res & Reevaluat Key Lab Sichuan Prov, Sichuan Ind Inst Antibiot, Chengdu 400001, Peoples R China	Su, HF; Wang, GW (reprint author), Chinese Acad Sci, Chongqing Inst Green & Interligent Technol, 266 Fangzheng Ave,Shuitu High Tech Pk, Chongqing 400714, Peoples R China.	earmarked fund for National Natural Science Foundation of China [21502186]; Science and technology project of Chongqing city land, resources and Housing Administration Bureau [CQGT-KJ-2015022]	0	2045-2322	2016	WOS:000389981900001
Liang, Xiuling; Chen, Qingfei; Lei, Yi; Li, Hong	SCIENTIFIC REPORTS		[Liang, Xiuling; Chen, Qingfei] ChengDu Univ, Inst Adv Study, Chengdu 610106, Peoples R China; [Liang, Xiuling; Chen, Qingfei; Lei, Yi; Li, Hong] Shenzhen Univ, Res Ctr Brain Funct & Psychol Sci, Shenzhen 518060, Peoples R China; [Chen, Qingfei] Shenzhen Univ, China Ctr Special Econ Zone Res, Shenzhen 518060, Peoples R China	Chen, QF (reprint author), ChengDu Univ, Inst Adv Study, Chengdu 610106, Peoples R China.; Chen, QF; Lei, Y (reprint author), Shenzhen Univ, Res Ctr Brain Funct & Psychol Sci, Shenzhen 518060, Peoples R China.; Chen, QF (reprint author), Shenzhen Univ, China Ctr Special Econ Zone Res, Shenzhen 518060, Peoples R China.	National Natural Science Foundation of China [31400961, 31271088, 31571153]; China Postdoctoral Science Foundation [2015M582398, 2016T90793]; Shenzhen Peacock Plan [KQTD2015033016104926]	0	2045-2322	2016	WOS:000389872200001
Ke, Guibao; Hu, Yao; Huang, Xin; Peng, Xuan; Lei, Min; Huang, Chaoli; Gu, Li; Xian, Ping; Yang, Dehua	SCIENTIFIC REPORTS		[Ke, Guibao; Hu, Yao; Huang, Xin; Peng, Xuan; Lei, Min; Huang, Chaoli; Gu, Li; Xian, Ping] Chengdu Univ, Dept Nephrol, Clin Med Coll, Affiliated Hosp, Chengdu, Peoples R China; [Yang, Dehua] Chengdu Univ, Adm Off, Clin Med Coll, Affiliated Hosp, Chengdu, Peoples R China	Ke, GB (reprint author), Chengdu Univ, Dept Nephrol, Clin Med Coll, Affiliated Hosp, Chengdu, Peoples R China.; Yang, DH (reprint author), Chengdu Univ, Adm Off, Clin Med Coll, Affiliated Hosp, Chengdu, Peoples R China.		0	2045-2322	2016	WOS:000390280700001
Al Fayi, Majed Saad; Gou, Xiaojun; Forootan, Shiva S.; Al-Jameel, Waseem; Bao, Zhengzheng; Rudland, Philip R.; Cornford, Philip A.; Hussain, Syed A.; Ke, Youqiang	ONCOTARGET	prostate cancer; FABP9; gleason scores; prognosis; PSA	[Al Fayi, Majed Saad; Forootan, Shiva S.; Al-Jameel, Waseem; Bao, Zhengzheng; Cornford, Philip A.; Hussain, Syed A.; Ke, Youqiang] Univ Liverpool, Dept Mol & Clin Canc Med, Canc Res Ctr Bldg, Mol Pathol Lab, Liverpool, Merseyside, England; [Gou, Xiaojun] Chengdu Univ, Sichuan Antibiot Ind Inst, Chengdu, Peoples R China; [Al Fayi, Majed Saad] King Khalid Univ, Dept Med Lab Sci, Coll Appl Med Sci, Abha, Saudi Arabia; [Rudland, Philip R.] Univ Liverpool, Dept Biochem, Liverpool, Merseyside, England	Ke, YQ (reprint author), Univ Liverpool, Dept Mol & Clin Canc Med, Canc Res Ctr Bldg, Mol Pathol Lab, Liverpool, Merseyside, England.	King Khalid University, Abha, Saudi Arabia; Science and Technology Department, Sichuan Province, China [2016HH0012]	0	1949-2553	2016	WOS:000391352800069
Liang, Xiuling; Xiao, Feng; Wu, Lijun; Chen, Qingfei; Lei, Yi; Li, Hong	Frontiers in Psychology	causalrelations; hierarchicalrelations; temporalorder; P2; N400	[Liang, Xiuling; Chen, Qingfei] Chengdu Univ, Inst Adv Study, Chengdu, Peoples R China; [Liang, Xiuling; Chen, Qingfei; Lei, Yi; Li, Hong] Shenzhen Univ, Res Ctr Brain Funct & Psychol Sci, Shenzhen, Peoples R China; [Xiao, Feng] Shanxi Normal Univ, Dept Teacher Educ, Linfen, Peoples R China; [Wu, Lijun] Guangdong Univ Finance, Dept Econ & Trade, Guangzhou, Guangdong, Peoples R China; [Chen, Qingfei] Shenzhen Univ, China Ctr Special Econ Zone Res, Shenzhen, Peoples R China	Chen, QF (reprint author), Chengdu Univ, Inst Adv Study, Chengdu, Peoples R China.; Chen, QF (reprint author), Shenzhen Univ, Res Ctr Brain Funct & Psychol Sci, Shenzhen, Peoples R China.; Chen, QF (reprint author), Shenzhen Univ, China Ctr Special Econ Zone Res, Shenzhen, Peoples R China.	National Natural Science Foundation of China [31400961, 31271088, 31571153]; China Postdoctoral Science Foundation [2015M582398, 2016T90793]; Shenzhen Peacock Plan [KQTD2015033016104926]	0	1664-1078	2016	WOS:000389151500001
Zhu, Yilin; Lu, Fucong; Yu, Chao; Kang, Guozheng	POLYMER ENGINEERING AND SCIENCE		[Zhu, Yilin] Chengdu Univ, Sch Architectural & Civil Engn, Chengdu 610106, Peoples R China; [Lu, Fucong; Yu, Chao; Kang, Guozheng] Southwest Jiaotong Univ, State Key Lab Tract Power, Chengdu 610031, Peoples R China	Kang, GZ (reprint author), Southwest Jiaotong Univ, State Key Lab Tract Power, Chengdu 610031, Peoples R China.	National Natural Science Foundation of China [11272269]; Sichuan Provincial Youth Science and Technology Innovation Team, China [2013TD0004]; Fundamental Research Funds for the Central Universities, China	0	0032-3888	2016	WOS:000393121400007
Yuan, Rong; Meng, Debiao; Li, Haiqing	PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART O-JOURNAL OF RISK AND RELIABILITY	Saddlepoint approximation and third-moment; cumulant generating function; cumulative distribution function; probability density function; sequential optimization; reliability analysis	[Yuan, Rong] Chengdu Univ, Sch Mech Engn, Chengdu, Peoples R China; [Yuan, Rong] Sichuan Univ, Coll Architecture & Environm, Chengdu, Peoples R China; [Meng, Debiao; Li, Haiqing] Univ Elect Sci & Technol China, Sch Mechatron Engn, 2006 Xiyuan Ave, Chengdu 611731, Sichuan, Peoples R China	Li, HQ (reprint author), Univ Elect Sci & Technol China, Sch Mechatron Engn, 2006 Xiyuan Ave, Chengdu 611731, Sichuan, Peoples R China.	National Natural Science Foundation of China [51505067]; China Postdoctoral Science Foundation [2015M580780]; Fundamental Research Funds for Central Universities of China [ZYGX2015KYQD045]	1	1748-006X	2016	WOS:000393184900005
Chen, Yu; Xie, Shaoxiong; Wang, Qingyuan; Zhu, Jianguo	PROGRESS IN NATURAL SCIENCE-MATERIALS INTERNATIONAL	Bi4Ti3O12 ceramic; Cr2O3 additive; Structural characteristics; Sintering temperature; Piezoelectric properties	[Chen, Yu; Wang, Qingyuan] Chengdu Univ, Sch Mech Engn, Chengdu 610106, Peoples R China; [Xie, Shaoxiong; Wang, Qingyuan] Sichuan Univ, Coll Architecture & Environm, Chengdu 610065, Peoples R China; [Zhu, Jianguo] Sichuan Univ, Coll Mat Sci & Engn, Chengdu 610065, Peoples R China	Chen, Y; Wang, QY (reprint author), Chengdu Univ, Sch Mech Engn, Chengdu 610106, Peoples R China.	Program for Changjiang Scholars and Innovative Research Team [IRT14R37]; National Natural Science Foundation of China [11327801]	0	1002-0071	2016	WOS:000393208500010
