AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Jiang, Zhi-Qiang; Wang, Fei; Zhang, Jian	INORGANIC CHEMISTRY		[Jiang, Zhi-Qiang; Wang, Fei; Zhang, Jian] Chinese Acad Sci, Fujian Inst Res Struct Matter, State Key Lab Struct Chem, Fuzhou 35002, Fujian, Peoples R China; [Jiang, Zhi-Qiang] Panzhihua Univ, Deep Proc Fine Flake Grapgite Sichuan Prov Key La, Panzhihua 617000, Sichuan, Peoples R China	Zhang, J (reprint author), Chinese Acad Sci, Fujian Inst Res Struct Matter, State Key Lab Struct Chem, Fuzhou 35002, Fujian, Peoples R China.	NSFC [21425102, 21573236]; Open Foundation of State Key Laboratory of Structural Chemistry [20150012]; Science and Technology Planning Project in Sichuan Province and Panzhihua City [2014GZ0030, 2015RZ0029, 2014CY-G-24, 2016CY-G-4]	0	0020-1669	2016	WOS:000390294600066
Wu, Cheng-Lung; Tsou, Chih-Yuan; Tseng, Yen-Chun; Lee, Hsun-Tsing; Suen, Maw-Cherng; Gu, Jia-Hao; Tsou, Chi-Hui; Chiu, Shih-Hsuan	JOURNAL OF POLYMER RESEARCH	Polyurethane; Nanosilver; Graphene; Interfacial adhesion; Antibacterial activities; Electrical conductivity	[Wu, Cheng-Lung; Tsou, Chih-Yuan; Tseng, Yen-Chun; Gu, Jia-Hao; Chiu, Shih-Hsuan] Natl Taiwan Univ Sci & Technol, Dept Mat Sci & Engn, Taipei 10607, Taiwan; [Lee, Hsun-Tsing] Vanung Univ, Dept Mat Sci & Engn, Taoyuan 32061, Taiwan; [Suen, Maw-Cherng] Taoyuan Innovat Inst Technol, Dept Creat Fash Design, Taoyuan 32091, Taiwan; [Tsou, Chi-Hui] Sichuan Univ Sci & Engn, Mat Corros & Protect Key Lab Sichuan Prov, Inst Mat Sci & Engn, Zigong 643000, Peoples R China; [Tsou, Chi-Hui] Panzhihua Univ, Sci & Technol Innovat Ctr, Fac Mat Engn, Fac Biol, Panzhihua 617000, Peoples R China; [Tsou, Chi-Hui] Panzhihua Univ, Sci & Technol Innovat Ctr, Fac Mat Engn, Fac Chem Engn, Panzhihua 617000, Peoples R China	Chiu, SH (reprint author), Natl Taiwan Univ Sci & Technol, Dept Mat Sci & Engn, Taipei 10607, Taiwan.		0	1022-9760	2016	WOS:000392438600001
Liu, Yujun; Li, Shan	JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS	Magneto-micropolar fluid; Global well-posedness; 21/2 dimensions	[Liu, Yujun] Panzhihua Univ, Dept Math & Comp, Panzhihua 617000, Peoples R China; [Liu, Yujun] Sichuan Univ, Dept Math, Chengdu 610064, Peoples R China; [Li, Shan] Sichuan Univ, Sch Business, Chengdu 610064, Peoples R China	Li, S (reprint author), Sichuan Univ, Sch Business, Chengdu 610064, Peoples R China.	NSFC [11571243]; Sichuan Youth Science Technology Foundation [2014JQ0003]; Panzhihua University Foundation [2013YB11]	1	0022-247X	2016	WOS:000379282100037
Liu, Yujun; Tang, Tong; Li, Shan	APPLIED MATHEMATICS AND COMPUTATION	Compressible magnetohydrodynamic flows; Blow-up criterion; Strong solution	[Liu, Yujun] Panzhihua Univ, Dept Math & Comp, Panzhihua 617000, Peoples R China; [Liu, Yujun] Sichuan Univ, Dept Math, Chengdu 610064, Peoples R China; [Tang, Tong] Hohai Univ, Dept Math, Coll Sci, Nanjing 210098, Jiangsu, Peoples R China; [Li, Shan] Sichuan Univ, Sch Business, Chengdu 610064, Peoples R China	Li, S (reprint author), Sichuan Univ, Sch Business, Chengdu 610064, Peoples R China.	Sichuan Youth Science Technology Foundation [2014JQ0003]; NSFC [11571243, 11171158, 11526073]; NSF of Jiangsu Province [BK20150794]; Fundamental Research Funds for the Central Universities [2014B13914]	0	0096-3003	2016	WOS:000380754900016
Tian, Congxue	DYES AND PIGMENTS	Rutile; Calcination intensity; Unenriched titanyl sulfate; Short sulfate process; Pigment	[Tian, Congxue] Panzhihua Univ, Panzhihua 617000, Peoples R China; [Tian, Congxue] State Key Lab Vanadium & Titanium Testing, Panzhihua 617000, Peoples R China	Tian, CX (reprint author), Panzhihua Univ, Panzhihua 617000, Peoples R China.; Tian, CX (reprint author), State Key Lab Vanadium & Titanium Testing, Panzhihua 617000, Peoples R China.	National Natural Science Foundation of China [50804025]; Science and Technology Project of Sichuan Province, China [2014JY0197, 2011GZ0303]; Project of Sichuan Provincial Human Resources and Social Security Department; Science and Technology Project of Panzhihua, China [2013CY-G-8, 2014CY-G-33]	0	0143-7208	2016	WOS:000381844500008
Tan, Qianrong; Lin, Zongbing; Chen, Long	LINEAR & MULTILINEAR ALGEBRA	divisibility; multiplicative function; finitely many quasi-coprime divisor chains; greatest-type divisor; power matrix associated with arithmetic function	[Tan, Qianrong; Lin, Zongbing; Chen, Long] Panzhihua Univ, Sch Math & Comp Sci, Panzhihua, Peoples R China	Lin, ZB (reprint author), Panzhihua Univ, Sch Math & Comp Sci, Panzhihua, Peoples R China.	Program of Science and Technology Department of Sichuan Province [2013JY0125]	0	0308-1087	2016	WOS:000380101100009
Zhang, Yi; Hui, Bing; Ye, Lin	INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH		[Hui, Bing; Ye, Lin] Sichuan Univ, Polymer Res Inst, State Key Lab Polymer Mat Engn, Chengdu 610065, Peoples R China; [Zhang, Yi] Panzhihua Univ, Coll Biol & Chem Engn, Panzhihua 617000, Peoples R China	Ye, L (reprint author), Sichuan Univ, Polymer Res Inst, State Key Lab Polymer Mat Engn, Chengdu 610065, Peoples R China.	State Key Laboratory of Polymer Materials Engineering of China [sklpme2016-2-07]	0	0888-5885	2016	WOS:000384038000016
Zheng, Y.; Liu, J.; Cao, M. L.; Deng, J. M.; Kou, J.	JOURNAL OF ENVIRONMENTAL BIOLOGY	Antibacterial activity; Chlorogenic acid; Crofton weed; Extraction; Orthogonal test	[Zheng, Y.; Cao, M. L.; Deng, J. M.] Panzhihua Univ, Sch Biol & Chem Engn, Panzhihua 617000, Peoples R China; [Liu, J.; Kou, J.] Panzhihua Xiyu Biotechnol Co Ltd, Panzhihua 617012, Peoples R China	Zheng, Y (reprint author), Panzhihua Univ, Sch Biol & Chem Engn, Panzhihua 617000, Peoples R China.	Sichuan Province Science and Technology support program- system engineering construction of comprehensive management and resource utilization [2014SZ0162]	0	0254-8704	2016	WOS:000387200600004
Li, Dan; Wang, Yuliang; Wumaier, Tuerdi	EUROPEAN PHYSICAL JOURNAL D		[Li, Dan] Panzhihua Univ, Sch Mat & Engn, Panzhihua 617000, Peoples R China; [Wang, Yuliang] Naval Aeronaut & Astronaut Univ, Dept Basic Sci, Yantai 264001, Peoples R China; [Wumaier, Tuerdi] Xinjiang Inst Engn, Urumqi 830091, Peoples R China	Wang, YL (reprint author), Naval Aeronaut & Astronaut Univ, Dept Basic Sci, Yantai 264001, Peoples R China.	Science and Technology Projects of the Xinjiang Uygur Autonomous Region [2013911049]	0	1434-6060	2016	WOS:000382741600012
Wu, En-hui; Zhu, Rong; Yang, Shao-li; Ma, Lan; Li, Jun; Hou, Jing	JOURNAL OF IRON AND STEEL RESEARCH INTERNATIONAL	metallized pellet; smelting; separation; titanium slag; vanadium; vanadium-bearing titanomagnetite concentrate	[Wu, En-hui; Zhu, Rong] Univ Sci & Technol Beijing, Sch Met & Ecol Engn, Beijing 100083, Peoples R China; [Wu, En-hui; Yang, Shao-li; Ma, Lan; Li, Jun; Hou, Jing] Panzhihua Univ, Innovat & Technol Ctr Panxi, Panzhihua 617000, Sichuan, Peoples R China	Yang, SL (reprint author), Panzhihua Univ, Innovat & Technol Ctr Panxi, Panzhihua 617000, Sichuan, Peoples R China.	National Natural Science Foundation of China [51174122]	0	1006-706X	2016	WOS:000382659100004
