AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Li, Yan; Duan, Baoli; Chen, Juan; Korpelainen, Helena; Niinemets, Ulo; Li, Chunyang	TREE PHYSIOLOGY	competition; dioecy; oxidation resistance; photosynthesis; salinity stress	[Li, Yan; Chen, Juan] Mianyang Normal Univ, Ecol Secur & Protect Key Lab Sichuan Prov, Mianyang 621000, Sichuan, Peoples R China; [Li, Yan; Li, Chunyang] Zhejiang A&F Univ, State Key Lab Subtrop Silviculture, Nurturing Stn, Linan 311300, Zhejiang, Peoples R China; [Duan, Baoli; Chen, Juan] Chinese Acad Sci, Inst Mt Hazards & Environm, Key Lab Mt Surface Proc & Ecol Regulat, Chengdu 610041, Peoples R China; [Korpelainen, Helena] Univ Helsinki, Viikki Plant Sci Ctr, Dept Agr Sci, POB 27, FI-00014 Helsinki, Finland; [Niinemets, Ulo] Estonian Univ Life Sci, Inst Agr & Environm Sci, Kreutzwaldi 1, EE-51014 Tartu, Estonia	Li, CY (reprint author), Zhejiang A&F Univ, State Key Lab Subtrop Silviculture, Nurturing Stn, Linan 311300, Zhejiang, Peoples R China.	National Key Basic Research Program of China [2012CB416901]; Key Program of the Education Department of Sichuan Province [15ZA0297]	0	0829-318X	2016	WOS:000393273800012
Luo, Shi-shuai; Sun, Yan-ni; Zhou, Xue; Zhu, Tong; Zhu, Li-sha; Arfan, Muhammad; Zou, Li-juan; Lin, Hong-hui	PLANT PHYSIOLOGY AND BIOCHEMISTRY	Drought; Medicago truncatula; Abscisic acid; Stomatal aperture; Oxidative damage; Stress-up-regulated genes	[Luo, Shi-shuai; Sun, Yan-ni; Zhou, Xue; Zhu, Tong; Zhu, Li-sha; Arfan, Muhammad; Zou, Li-juan; Lin, Hong-hui] Sichuan Univ, Minist Educ, Key Lab Bioresource & Ecoenvironm, Coll Life Sci,State Key Lab Hydraul & Mt River En, Chengdu 610064, Peoples R China; [Zou, Li-juan] Mianyang Normal Univ, Life Sci & Technol Coll, Mianyang 621000, Peoples R China; [Zou, Li-juan] Mianyang Normal Univ, Ecol Secur & Protect Key Lab Sichuan Prov, Mianyang 621000, Peoples R China	Lin, HH (reprint author), Sichuan Univ, Minist Educ, Key Lab Bioresource & Ecoenvironm, Coll Life Sci,State Key Lab Hydraul & Mt River En, Chengdu 610064, Peoples R China.	National BasicResearch Program of China (973 Program) [2015CB150100]; National Natural Science Foundation of China [31670235, 31400211, 31570231]; National Research and Development Project of Transgenic Crops of China [2016ZX08009-003-002]; Sichuan Natural Science Foundation [2015JY0101, 2015JY0223]	0	0981-9428	2016	WOS:000389389700021
Chen, Juan; Duan, Baoli; Xu, Gang; Korpelainen, Helena; Niinemets, Ulo; Li, Chunyang	TREE PHYSIOLOGY	carbohydrates; Cd accumulation; dioecy	[Chen, Juan] Mianyang Normal Univ, Ecol Secur & Protect Key Lab Sichuan Prov, Mianyang 621000, Peoples R China; [Chen, Juan; Duan, Baoli] Chinese Acad Sci, Key Lab Mt Surface Proc & Ecol Regulat, Inst Mt Hazards & Environm, Chengdu 610041, Peoples R China; [Xu, Gang] Southwest Univ Sci & Technol, Sch Life Sci, Mianyang 621010, Peoples R China; [Korpelainen, Helena] Univ Helsinki, Dept Agr Sci, Viikki Plant Sci Ctr, POB 27, FI-00014 Helsinki, Finland; [Niinemets, Ulo] Estonian Univ Life Sci, Inst Agr & Environm Sci, Kreutzwaldi 1, EE-51014 Tartu, Estonia; [Li, Chunyang] Zhejiang A&F Univ, Nurturing Stn, State Key Lab Subtrop Silviculture, Linan 311300, Zhejiang, Peoples R China	Li, CY (reprint author), Zhejiang A&F Univ, Nurturing Stn, State Key Lab Subtrop Silviculture, Linan 311300, Zhejiang, Peoples R China.	National Key Basic Research Program of China [2012CB416901]; Young Talent Team Program of the Institute of Mountain Hazards and Environment [SDSQB-2012-01]	0	0829-318X	2016	WOS:000393052100006
Han, Li; Berry, John W.; Zheng, Yong	PLOS ONE		[Han, Li] Mianyang Normal Univ, Mianyang, Peoples R China; [Berry, John W.] Queens Univ, Kingston, ON, Canada; [Berry, John W.] Natl Res Univ, Higher Sch Econ, Moscow, Russia; [Zheng, Yong] Southwest Univ, Ctr Studies Educ & Psychol Ethn Minor Southwest C, Chongqing, Peoples R China	Zheng, Y (reprint author), Southwest Univ, Ctr Studies Educ & Psychol Ethn Minor Southwest C, Chongqing, Peoples R China.	MOE Project of Key Research Institute of Humanities and Social Sciences at Universities [15JJDZONGHE022]; Sichuan Provincial Research Center of Qiang People Project [QXY1410]; MianYang Normal University Project [QD2015B005]; Basic Research Program at the National Research University Higher School of Economics (HSE) by the Government of the Russian Federation	0	1932-6203	2016	WOS:000385507000038
Mu, Junpeng; Zeng, Yuling; Wu, Qinggui; Niklas, Karl J.; Niu, Kechang	AGRICULTURE ECOSYSTEMS & ENVIRONMENT	Apiculture; Community biodiversity; Ecosystem function; Ecosystem services; Land use change; Nectariferous plant; Tibetan plateau	[Mu, Junpeng; Zeng, Yuling; Wu, Qinggui] Mianyang Normal Univ, Ecol Secur, Mianyang 621000, Peoples R China; [Mu, Junpeng; Zeng, Yuling; Wu, Qinggui] Mianyang Normal Univ, Protect Key Lab Sichuan Prov, Mianyang 621000, Peoples R China; [Mu, Junpeng; Niu, Kechang] Nanjing Univ, Dept Biol, Nanjing 210023, Jiangsu, Peoples R China; [Niklas, Karl J.] Cornell Univ, Plant Biol Sect, Sch Integrat Plant Sci, Ithaca, NY 14853 USA	Niu, KC (reprint author), Nanjing Univ, Dept Biol, Nanjing 210023, Jiangsu, Peoples R China.	National Science Foundation of China [31270513, 31370008]; Innovative Research Team by Sichuan Provincial Department of Education [13TD0015]; National Basic Research Program of China [2013CB956304]	0	0167-8809	2016	WOS:000389088400036
He, Zhijian; Song, Hang; Wang, Zhixia; Cao, Yu	JOURNAL OF CHEMICAL AND ENGINEERING DATA		[He, Zhijian; Cao, Yu] Mianyang Normal Univ, Coll Life Sci & Biotechnol, Mianyang 621000, Peoples R China; [Song, Hang; Wang, Zhixia] Sichuan Univ, Sch Chem Engn, Chengdu 610065, Peoples R China	Cao, Y (reprint author), Mianyang Normal Univ, Coll Life Sci & Biotechnol, Mianyang 621000, Peoples R China.	Educational Commission of Sichuan Province, China [16ZB0319]; Scientific Research Foundation of Mianyang Normal University [QD2014A008]	0	0021-9568	2016	WOS:000385606900011
Mu, Junpeng; Chen, Yan; Yang, Yulian; Fu, Ronghua; Wang, Hui; Compton, Stephen G.	PLANT ECOLOGY	Apis mellifera; Asteraceae; Insect-plant interactions; Nectar; Saussurea; Tephritis; Tibetan Plateau	[Mu, Junpeng; Chen, Yan; Yang, Yulian; Wang, Hui] Mianyang Normal Univ, Ecol Secur & Protect Key Lab Sichuan Prov, Mianyang 621000, Peoples R China; [Fu, Ronghua] China West Normal Univ, Minist Educ, Key Lab Southwest China Wildlife Resources Conser, Nanchong 637002, Peoples R China; [Compton, Stephen G.] Univ Leeds, Sch Biol, Leeds LS2 9JT, W Yorkshire, England; [Compton, Stephen G.] Rhodes Univ, Dept Zool & Entomol, ZA-6140 Grahamstown, South Africa	Mu, JP (reprint author), Mianyang Normal Univ, Ecol Secur & Protect Key Lab Sichuan Prov, Mianyang 621000, Peoples R China.	National Science Foundation of China [31270513, 31270387]; Innovative Research Team by Sichuan Provincial Department of Education [13TD0015]; Project of Introduced Excellent Talents by Mianyang Normal University [QD2012A07]	0	1385-0237	2016	WOS:000385197700003
Zhang, Yunju; Sun, Jingyu; Sun, Yuxi; Tang, Yizhen; Wang, Rongshun	COMPUTATIONAL AND THEORETICAL CHEMISTRY	OH radical; Thiophene; Reaction mechanism; Rate constants	[Zhang, Yunju; Sun, Yuxi] Mianyang Normal Univ, Key Lab Photoinduced Funct Mat, Mianyang 621000, Peoples R China; [Wang, Rongshun] Northeast Normal Univ, Inst Funct Mat Chem, Fac Chem, Renmin Rd 5268, Changchun 130024, Jilin, Peoples R China; [Sun, Jingyu] Hubei Normal Univ, Hubei Collaborat Innovat Ctr Rare Met Chem, Coll Chem & Chem Engn, Hubei Key Lab Pollutant Anal & Reuse Technol, Cihu Rd 11, Huangshi 435002, Hubei, Peoples R China; [Tang, Yizhen] Qingdao Univ Technol, Sch Environm & Municipal Engn, Fushun Rd 11, Qingdao 266033, Shandong, Peoples R China	Zhang, YJ (reprint author), Mianyang Normal Univ, Key Lab Photoinduced Funct Mat, Mianyang 621000, Peoples R China.	Scientific Research Starting Foundation of Mianyang Normal University [QD2016A007]; Natural Scientific Research Starting Foundation of Mianyang Normal University of China [21073092, 21103092]; Sichuan Education Department Fund [12ZA080]; Mianyang Normal University for Excellent Plan Fund [QD2012A06]; National Natural Science Foundation of China [21507027, 21207075]; Youth Fund Project of Hubei Provincial Department of Education [Q20132501]	0	2210-271X	2016	WOS:000383007200011
Mei, Yang; Chen, Bo-Wei; Wei, Chen-Fu; Zheng, Wen-Chen	PHYSICA B-CONDENSED MATTER	Electron paramagnetic resonance; Crystal- and ligand-field theory; Charge-transfer mechanism; w(5+); KTiOPO4	[Mei, Yang; Chen, Bo-Wei; Wei, Chen-Fu] Mianyang Normal Univ, Sch Mech & Elect Engn, Mianyang 621000, Peoples R China; [Zheng, Wen-Chen] Sichuan Univ, Dept Mat Sci, Chengdu 610064, Peoples R China	Mei, Y (reprint author), Mianyang Normal Univ, Sch Mech & Elect Engn, Mianyang 621000, Peoples R China.	Initial Foundation of Mianyang Normal University [MQD2011A05]	0	0921-4526	2016	WOS:000380411100007
Xue, Wuping; Feng, Yonghai; Yin, Hengbo; Liu, Shuxin; Wang, Aili; Shen, Lingqin	JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY	1,2-Propanediol; Lactic Acid; Pd-Ag Bimetallic Nanoparticles; Selective Oxidation; Kinetics	[Xue, Wuping; Feng, Yonghai; Yin, Hengbo; Wang, Aili; Shen, Lingqin] Jiangsu Univ, Fac Chem & Chem Engn, Zhenjiang 212013, Peoples R China; [Feng, Yonghai] Jiangsu Univ, Sch Mat Sci & Engn, Zhenjiang 212013, Peoples R China; [Liu, Shuxin] Mianyang Normal Univ, Sch Chem & Chem Engn, Mianyang 621000, Peoples R China	Yin, HB; Shen, LQ (reprint author), Jiangsu Univ, Fac Chem & Chem Engn, Zhenjiang 212013, Peoples R China.	Jiangsu Province Education Bureau [11KJB530002, 1102120C]; Jiangsu University for Young Researchers [11JDG028, 2010-4849, 15JDG026]; China Postdoctoral Foundation Committee [2011M500866]; Ph.D. Innovation Programs Foundation of Jiangsu Province [CXZZ13_0666]	2	1533-4880	2016	WOS:000387085000087
