AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Liao, L. -M.; Li, J. -F.; Lei, G. -D.	JOURNAL OF STRUCTURAL CHEMISTRY	alkylbenzene; retention index; structural descriptors; QSRR	[Liao, L. -M.; Li, J. -F.; Lei, G. -D.] Neijiang Normal Univ, Coll Chem & Chem Engn, Neijiang, Sichuan, Peoples R China; [Liao, L. -M.; Li, J. -F.] Chongqing Univ, Coll Chem & Chem Engn, Chongqing, Peoples R China		Foundation of Education Bureau, Sichuan Province [13ZB0003]; Technology Bureau, Sichuan Province [2012j13-141]	0	0022-4766	2016	WOS:000392617500006
Zhou, Chaowei; Zheng, Jinfa; Lei, Luo; Yuan, Dengyue; Zhu, Chengke; Ye, Hua; Zhang, Chi; Wang, Dan; Yang, Minmin; Wu, Jingjing; Zhu, Long; Zeng, Benhe	FISH PHYSIOLOGY AND BIOCHEMISTRY	Gibel carp; Ghrelin; Tissue expression; Appetite regulation	[Zhou, Chaowei; Zheng, Jinfa; Lei, Luo; Zhu, Chengke; Ye, Hua; Wang, Dan; Yang, Minmin; Wu, Jingjing; Zhu, Long; Zeng, Benhe] Southwest Univ, Dept Aquaculture, Dept Fisheries, Rongchang Campus, Chongqing 402460, Peoples R China; [Yuan, Dengyue] Neijiang Normal Univ, Dept Aquaculture, Coll Life Sci, Neijiang 641000, Sichuan, Peoples R China; [Zhang, Chi] Tibet Acad Agr & Anim Husb Sci, Lhasa 850002, Tibet, Peoples R China	Zhou, CW (reprint author), Southwest Univ, Dept Aquaculture, Dept Fisheries, Rongchang Campus, Chongqing 402460, Peoples R China.	Fundamental Research Funds for the Central Universities [XDJK2016C047]; Youth Foundation of Southwest University Rongchang Campus [132030/20700914]; Ecological Fishery Industry Technology System of Chongqing [134030/40800115]	0	0920-1742	2016	WOS:000389407900012
Luo, Wei-Hua; Huang, Ting-Zhu; Li, Liang; Li, Hou-Biao; Gu, Xian-Ming	JAPAN JOURNAL OF INDUSTRIAL AND APPLIED MATHEMATICS	Helmholtz equations; Sommerfeld boundary conditions; Quadratic spline collocation; Polynomial preconditioner	[Luo, Wei-Hua; Huang, Ting-Zhu; Li, Liang; Li, Hou-Biao; Gu, Xian-Ming] Univ Elect Sci & Technol China, Sch Math Sci, Chengdu 611731, Sichuan, Peoples R China; [Luo, Wei-Hua] Neijiang Normal Univ, Data Recovery Key Lab Sichuan Prov, Neijiang 641112, Sichuan, Peoples R China	Huang, TZ (reprint author), Univ Elect Sci & Technol China, Sch Math Sci, Chengdu 611731, Sichuan, Peoples R China.	973 Program [2013CB329404]; NSFC [61370147, 61170309, 11101071, 11301057]; Fundamental Research Funds for the Central Universities; Scientific Reserch Fund of Sichuan Provincial Education Department [15ZA0288]	0	0916-7005	2016	WOS:000389894100011
Zhang, Liyuan; He, Gang; Zhou, Dali; Zhou, Jiabei; Yao, Qianqian	IONICS	Lithium titanate; Adsorption; Dissolution-recrystallization; Rearrangement	[Zhang, Liyuan] Neijiang Normal Univ, Coll Chem & Chem Engn, Neijiang 641000, Peoples R China; [Zhang, Liyuan; He, Gang; Zhou, Dali; Zhou, Jiabei; Yao, Qianqian] Sichuan Univ, Coll Mat Sci & Engn, Chengdu 610065, Peoples R China	Zhou, DL (reprint author), Sichuan Univ, Coll Mat Sci & Engn, Chengdu 610065, Peoples R China.		0	0947-7047	2016	WOS:000386377100002
Wu, Guo-Cheng; Baleanu, Dumitru; Xie, He-Ping; Chen, Fu-Lai	PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS	Fractional differences; Fractional Lorenz maps; Time scale; Chaos synchronization	[Wu, Guo-Cheng] Neijiang Normal Univ, Coll Math & Informat Sci, Data Recovery Key Lab Sichuan Prov, Neijiang 641100, Peoples R China; [Baleanu, Dumitru] Cankaya Univ, Dept Math, TR-06530 Ankara, Turkey; [Baleanu, Dumitru] Inst Space Sci, Magurele, Romania; [Wu, Guo-Cheng; Xie, He-Ping] Sichuan Univ, Coll Water Resource & Hydropower, Chengdu 610065, Peoples R China; [Chen, Fu-Lai] Xiangnan Univ, Dept Math, Chenzhou 423000, Peoples R China	Baleanu, D (reprint author), Cankaya Univ, Dept Math, TR-06530 Ankara, Turkey.	NSFC [11301257]; Chinese Ministry of Education Comprehensive Reform Program for Specialty of Mathematics and Applied Mathematics [ZG0464]; Sichuan Provincial Education Department Comprehensive Reform Program for Specialty of Mathematics and Applied Mathematics [01249]	10	0378-4371	2016	WOS:000379093300036
Yang Ze-Jin; Linghu Rong-Feng; Gao Qing-He; Xiong Heng-Na; Xu Zhi-Jun; Tang Ling; Jia Guo-Zhu; Guo Yun-Dong	SCIENTIFIC REPORTS		[Yang Ze-Jin; Xiong Heng-Na; Xu Zhi-Jun; Tang Ling] Zhejiang Univ Technol, Sch Sci, Hangzhou 310023, Zhejiang, Peoples R China; [Yang Ze-Jin; Tang Ling] Iowa State Univ, Ames Lab, Dept Energy, Ames, IA 50011 USA; [Yang Ze-Jin; Tang Ling] Iowa State Univ, Dept Phys & Astron, Ames, IA 50011 USA; [Linghu Rong-Feng] Guizhou Educ Univ, Sch Phys & Elect Sci, Guiyang 550018, Peoples R China; [Gao Qing-He] Northeastern Univ, Coll Sci, Shenyang 110004, Peoples R China; [Gao Qing-He] Liaoning Univ Tradit Chinese Med, Informat Engn Coll, Shenyang 110847, Peoples R China; [Jia Guo-Zhu] Sichuan Normal Univ, Coll Phys & Elect Engn, Chengdu 610068, Peoples R China; [Guo Yun-Dong] Neijiang Normal Univ, Coll Engn & Technol, Neijiang 641112, Peoples R China	Yang, ZJ (reprint author), Zhejiang Univ Technol, Sch Sci, Hangzhou 310023, Zhejiang, Peoples R China.; Yang, ZJ (reprint author), Iowa State Univ, Ames Lab, Dept Energy, Ames, IA 50011 USA.; Yang, ZJ (reprint author), Iowa State Univ, Dept Phys & Astron, Ames, IA 50011 USA.; Linghu, RF (reprint author), Guizhou Educ Univ, Sch Phys & Elect Sci, Guiyang 550018, Peoples R China.	China Scholarship Council; Natural Science Foundation of China [11304279, 11364007, 11347220, 11404287]; Natural Science Foundation of Zhejiang Province, China [LY16A040013, LQ14A04003]; Science and Technology Foundation from Ministry of Education of Liaoning Province [L2015333]; Science and Technology Foundation from Guizhou Province [J [2013]2242]	0	2045-2322	2016	WOS:000384049400001
Wei, Min; Sun, Yuanhua; Wu, Xi; Wen, Wu	SPRINGERPLUS	Wideband; End-fire antenna; Gain enhancement; Split-ring resonators; Artificial material	[Wei, Min; Wu, Xi; Wen, Wu] Chengdu Univ Informat Technol, Coll Comp Sci, Xuefu Rd, Chengdu 610225, Peoples R China; [Sun, Yuanhua] Neijiang Normal Univ, Coll Comp Sci, Dongtong Rd, Neijiang 641100, Peoples R China	Sun, YH (reprint author), Neijiang Normal Univ, Coll Comp Sci, Dongtong Rd, Neijiang 641100, Peoples R China.	Chengdu University of Information Technology	0	2193-1801	2016	WOS:000391799700002
El-Nabulsi, Rami Ahmad	ZEITSCHRIFT FUR NATURFORSCHUNG SECTION A-A JOURNAL OF PHYSICAL SCIENCES	Generalized Klein-Gordon and Dirac Equations; Higher-Order Euler-Lagrange Equations; Nonlocal-in-Time Kinetic Energy; Nonlocal in Space-Time; Spinor Field	[El-Nabulsi, Rami Ahmad] Neijiang Normal Univ, Coll Math & Informat Sci, Neijiang 641112, Sichuan, Peoples R China; [El-Nabulsi, Rami Ahmad] Athens Inst Educ & Res, Athens, Greece	El-Nabulsi, RA (reprint author), Neijiang Normal Univ, Coll Math & Informat Sci, Neijiang 641112, Sichuan, Peoples R China.; El-Nabulsi, RA (reprint author), Athens Inst Educ & Res, Athens, Greece.		0	0932-0784	2016	WOS:000386907700005
Ye, Jian-Heng; Song, Lei; Zhou, Wen-Jun; Ju, Tao; Yin, Zhu-Bao; Yan, Si-Shun; Zhang, Zhen; Li, Jing; Yu, Da-Gang	ANGEWANDTE CHEMIE-INTERNATIONAL EDITION	carbon dioxide; copper; fluorine; heterocycles; reaction mechanisms	[Ye, Jian-Heng; Song, Lei; Zhou, Wen-Jun; Ju, Tao; Yin, Zhu-Bao; Yan, Si-Shun; Zhang, Zhen; Li, Jing; Yu, Da-Gang] Sichuan Univ, Coll Chem, Minist Educ, Key Lab Green Chem & Technol, 29 Wangjiang Rd, Chengdu 610064, Peoples R China; [Zhou, Wen-Jun] Neijiang Normal Univ, Coll Chem & Chem Engn, Neijiang 641112, Peoples R China	Yu, DG (reprint author), Sichuan Univ, Coll Chem, Minist Educ, Key Lab Green Chem & Technol, 29 Wangjiang Rd, Chengdu 610064, Peoples R China.	1000-Youth Talents Plan; Sichuan University; "973" Project from the MOST of China [2015CB856600]; National Natural Science Foundation of China [21502124]	6	1433-7851	2016	WOS:000383373000038
You, Yaohui; Sun, Xubing; Cui, Qiubing; Wang, Bi; Ma, Jing	BIORESOURCES	Low-grade industrial gelatin; Cross-linked gelatin; Retention; Drainage	[You, Yaohui; Sun, Xubing; Cui, Qiubing; Wang, Bi; Ma, Jing] Neijiang Normal Univ, Sichuan Prov Higher Learning Inst, Key Lab Fruit Waste Treatment & Resource Recyclin, Neijiang 641100, Sichuan, Peoples R China	Ma, J (reprint author), Neijiang Normal Univ, Sichuan Prov Higher Learning Inst, Key Lab Fruit Waste Treatment & Resource Recyclin, Neijiang 641100, Sichuan, Peoples R China.	National Natural Science Foundation of China [21506103]; Science and Technology Support Program of Sichuan Province [2015GZ0170]; Major Training Program of the Education Department of Sichuan Province [15CZ0026]	0	1930-2126	2016	WOS:000384922400041
