AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Wang, Hui; Hai, Shan; Cao, Li; Zhou, Jianghua; Liu, Ping; Dong, Bi-Rong	BMC GERIATRICS	Sarcopenia; Elderly; Dual-energy X-ray absorptiometry; Bioelectrical impedance analysis; Appendicular skeletal muscle; Asian Working Group for Sarcopenia	[Wang, Hui; Hai, Shan; Cao, Li; Liu, Ping; Dong, Bi-Rong] Sichuan Univ, West China Hosp, Ctr Gerontol & Geriatr, 37 Guoxue Lane, Chengdu 610041, Peoples R China; [Zhou, Jianghua] Chengdu Med Coll, Sch Clin Med, Chengdu, Peoples R China; [Dong, Bi-Rong] Collaborat Innovat Ctr Sichuan Elderly Care & Hlt, Chengdu, Peoples R China	Dong, BR (reprint author), Sichuan Univ, West China Hosp, Ctr Gerontol & Geriatr, 37 Guoxue Lane, Chengdu 610041, Peoples R China.; Dong, BR (reprint author), Collaborat Innovat Ctr Sichuan Elderly Care & Hlt, Chengdu, Peoples R China.	Science and Technology Project of Sichuan Province [2014SZ0153]	0	1471-2318	2016	WOS:000391799000002
Wu, Huawang; Sun, Hui; Xu, Jinping; Wu, Yan; Wang, Chao; Xiao, Jing; She, Shenglin; Huang, Jianwei; Zou, Wenjin; Peng, Hongjun; Lu, Xiaobing; Huang, Guimao; Jiang, Tianzi; Ning, Yuping; Wang, Jiaojian	FRONTIERS IN NEUROANATOMY	major depressive disorder; hub; subgenual anterior cingulate cortex; functional connectivity strength; resting-state	[Wu, Huawang; Jiang, Tianzi; Wang, Jiaojian] Univ Elect Sci & Technol China, Sch Life Sci & Technol, Key Lab NeuroInformat, Minist Educ, Chengdu, Peoples R China; [Wu, Huawang; Huang, Jianwei; Zou, Wenjin; Huang, Guimao] Guangzhou Med Univ, Dept Radiol, Affiliated Brain Hosp, Guangzhou Huiai Hosp, Guangzhou, Guangdong, Peoples R China; [Sun, Hui; Xiao, Jing] Capital Normal Univ, Sch Educ, Beijing Key Lab Learning & Cognit, Beijing, Peoples R China; [Xu, Jinping] Chinese Acad Sci, Inst Biomed & Hlth Engn, Shenzhen Inst Adv Technol, Shenzhen, Peoples R China; [Wu, Yan] Chengdu Med Coll, Sichuan Appl Psychol Res Ctr, Chengdu, Peoples R China; [Wang, Chao] Shenzhen Univ, Sch Psychol & Sociol, Shenzhen, Peoples R China; [She, Shenglin; Lu, Xiaobing] Guangzhou Med Univ, Dept Psychiat, Affiliated Brain Hosp, Guangzhou Huiai Hosp, Guangzhou, Guangdong, Peoples R China; [Peng, Hongjun] Guangzhou Med Univ, Dept Clin Psychol, Affiliated Brain Hosp, Guangzhou Huiai Hosp, Guangzhou, Guangdong, Peoples R China; [Ning, Yuping] Guangzhou Med Univ, Dept Neurol, Affiliated Brain Hosp, Guangzhou Huiai Hosp, Guangzhou, Guangdong, Peoples R China	Wang, JJ (reprint author), Univ Elect Sci & Technol China, Sch Life Sci & Technol, Key Lab NeuroInformat, Minist Educ, Chengdu, Peoples R China.; Ning, YP (reprint author), Guangzhou Med Univ, Dept Neurol, Affiliated Brain Hosp, Guangzhou Huiai Hosp, Guangzhou, Guangdong, Peoples R China.	National Natural Science Foundation of China [31500867, 81571333]; National R & D program focused on precision medical research of China [2016YFC0906302]; Applied Basic Program of the Sichuan Province Department [2013JY0169]; Sichuan Key Science and Technology Support Program of China [2014SZ0020]	0	1662-5129	2016	WOS:000390053800001
Dai Min; Peng Cheng; Sun Fenghui	JOURNAL OF TRADITIONAL CHINESE MEDICINE	Amomum tsaoko; Oils; volatile; Anti-bacterial agents; Chemistry	[Dai Min; Sun Fenghui] Chengdu Med Coll, Sch Lab Med, Chengdu 610500, Peoples R China; [Peng Cheng] Chengdu Univ Tradit Chinese Med, Coll Pharmaceut, State Key Lab Systemat Res & Exploitat Tradit Chi, Chengdu 611137, Peoples R China	Peng, C (reprint author), Chengdu Univ Tradit Chinese Med, Coll Pharmaceut, State Key Lab Systemat Res & Exploitat Tradit Chi, Chengdu 611137, Peoples R China.	Fund of Department of Science and Technology of Sichuan Province [2016JY0014, 2016FZ0068]; Sichuan Province Office of Education [16TD0027, 15ZB0238]; Open-Study Funds of State Key Laboratory Breeding Base of Systematic Research, Development and Utilization of Chinese Medicine, Chengdu University of Traditional Chinese Medicine; Scientific Research Fund of Chengdu Medical College [CYZ15-02]	0	0255-2922	2016	WOS:000390087100018
Sun, Feng-Hui; Zheng, Yi-Tao; Wang, Jing; Klaus, Sebastian; Xie, Hai-Bin; Li, Jia-Tang	RUSSIAN JOURNAL OF HERPETOLOGY	microsatellite markers; Rhacophorus hui; Rhacophorus dugritei; Rhacophorus dugritei complex; highly polymorphic loci; paracentric inversion	[Sun, Feng-Hui] Chengdu Med Coll, Sch Med Lab Sci, Chengdu 610500, Sichuan, Peoples R China; [Zheng, Yi-Tao; Wang, Jing; Klaus, Sebastian; Li, Jia-Tang] Chinese Acad Sci, Chengdu Inst Biol, Chengdu 610041, Peoples R China; [Zheng, Yi-Tao; Wang, Jing] Sichuan Univ, Coll Life Sci, Chengdu 610064, Peoples R China; [Klaus, Sebastian] Goethe Univ, Dept Ecol & Evolut, Frankfurt, Germany; [Xie, Hai-Bin] Chinese Acad Sci, Kunming Inst Zool, State Key Lab Genet Resources & Evolut, Kunming 650223, Peoples R China	Li, JT (reprint author), Chinese Acad Sci, Chengdu Inst Biol, Chengdu 610041, Peoples R China.	National Natural Science Foundation of China [31372173, 31411130190, 31101618]; Bureau of Science and Technology of Yunnan Province [2010CD102]; Chinese Academy of Sciences Fellowships for Young International Scientists [2013Y1SA0006]; Youth Innovation Promotion Association CAS	0	1026-2296	2016	WOS:000390581500012
Wang, Yanhong; Shen, Min; Yang, Jingni; Dai, Min; Chang, Yaowen; Zhang, Chi; Luan, Guangxin; Ling, Baodong; Jia, Xu	EXPERIMENTAL AND THERAPEUTIC MEDICINE	Acinetobacter baumannii; aminoglycosides; 16S ribosomal RNA methylase; carbapenemases; multilocus sequence typing	[Wang, Yanhong; Shen, Min; Yang, Jingni; Luan, Guangxin; Jia, Xu] Chengdu Med Coll, Noncoding RNA & Drug Discovery Lab, 783 Xindu Rd, Chengdu 610500, Sichuan, Peoples R China; [Chang, Yaowen; Zhang, Chi; Ling, Baodong] Chengdu Med Coll, Small Mol Drugs Sichuan Key Lab, Inst Mat Med, 783 Xindu Rd, Chengdu 610500, Sichuan, Peoples R China; [Dai, Min] Chengdu Med Coll, Sch Lab Med, Chengdu 610500, Sichuan, Peoples R China	Jia, X (reprint author), Chengdu Med Coll, Noncoding RNA & Drug Discovery Lab, 783 Xindu Rd, Chengdu 610500, Sichuan, Peoples R China.; Ling, BD (reprint author), Chengdu Med Coll, Small Mol Drugs Sichuan Key Lab, Inst Mat Med, 783 Xindu Rd, Chengdu 610500, Sichuan, Peoples R China.	National Natural Science Foundation of China [81373454, 31300659, 31470246, 31401099]; Applied Basic Research Programs of Sichuan Province, China [2013jy0065]; Scientific Research and Innovation Team of Sichuan Province, China [15TD0025]; Preeminent Youth Fund of Sichuan Province, China [2015JQO019]	0	1792-0981	2016	WOS:000391076400026
Zhu, Yanfeng; Xu, Hua; Li, Min; Gao, Zhibin; Huang, Jie; Liu, Linxi; Huang, Xiaoming; Li, Yun	MOLECULAR MEDICINE REPORTS	daidzein; Leydig cell; organ culture; Sertoli cell; testis; testosterone	[Zhu, Yanfeng; Xu, Hua; Gao, Zhibin; Huang, Jie; Liu, Linxi; Li, Yun] Sichuan Univ, West China Sch Publ Hlth, Dept Nutr Food Safety & Toxicol, 17 Peoples South Rd, Chengdu 610041, Sichuan, Peoples R China; [Zhu, Yanfeng] Chengdu Med Coll, Dept Publ Hlth, Chengdu 610500, Sichuan, Peoples R China; [Li, Min; Huang, Xiaoming] Luzhou Med Coll, Dept Publ Hlth, Luzhou 646000, Sichuan, Peoples R China	Li, Y (reprint author), Sichuan Univ, West China Sch Publ Hlth, Dept Nutr Food Safety & Toxicol, 17 Peoples South Rd, Chengdu 610041, Sichuan, Peoples R China.	National Natural Science Foundation of China [81072309]	0	1791-2997	2016	WOS:000391076100052
Du, Yuchen; Guo, Qiang; Shan, Minghui; Wu, Yongmei; Huang, Sizhou; Zhao, Haixia; Hong, Huarong; Yang, Ming; Yang, Xi; Ren, Liyi; Peng, Jiali; Sun, Jing; Zhou, Hongli; Li, Shurong; Su, Bingyin	FRONTIERS IN NEUROANATOMY	Parkinson's disease; dopamine; development; distribution; projection; zebrafish	[Du, Yuchen; Shan, Minghui; Wu, Yongmei; Huang, Sizhou; Zhao, Haixia; Hong, Huarong; Yang, Ming; Yang, Xi; Ren, Liyi; Peng, Jiali; Sun, Jing; Zhou, Hongli; Li, Shurong; Su, Bingyin] Chengdu Med Coll, Dept Anat & Histol & Embryol, Dept Pathol, Dev & Regenerat Key Lab Sichuan Prov, Chengdu, Peoples R China; [Guo, Qiang] Third Mil Med Univ, Dept Neurobiol, Chongqing Key Lab Neurobiol, Chongqing, Peoples R China; [Li, Shurong; Su, Bingyin] Infertil Hosp, Chengdu Med Col, Chengdu, Peoples R China	Li, SR; Su, BY (reprint author), Chengdu Med Coll, Dept Anat & Histol & Embryol, Dept Pathol, Dev & Regenerat Key Lab Sichuan Prov, Chengdu, Peoples R China.; Li, SR; Su, BY (reprint author), Infertil Hosp, Chengdu Med Col, Chengdu, Peoples R China.	National Nature Science Foundation of China [31371215, 31540032]; Development and Regeneration Key Laboratory of Sichuan Province [SYS14-001, SYS15-002]	0	1662-5129	2016	WOS:000388750000001
Chen, Taolin; Kendrick, Keith M.; Feng, Chunliang; Sun, Shiyue; Yang, Xun; Wang, Xiaogang; Luo, Wenbo; Yang, Suyong; Huang, Xiaoqi; Valdes-Sosa, Pedro A.; Gong, Qiyong; Fan, Jin; Luo, Yue-Jia	SCIENTIFIC REPORTS		[Chen, Taolin; Kendrick, Keith M.; Huang, Xiaoqi; Gong, Qiyong] Sichuan Univ, West China Hosp, Dept Radiol, Huaxi MR Res Ctr HMRRC, Chengdu 610041, Peoples R China; [Chen, Taolin; Feng, Chunliang; Luo, Wenbo; Yang, Suyong] Beijing Normal Univ, State Key Lab Cognit Neurosci & Learning, Beijing 100875, Peoples R China; [Kendrick, Keith M.; Valdes-Sosa, Pedro A.] Univ Elect Sci & Technol China, Sch Life Sci & Technol, Med Informat Ctr, Key Lab Neuroinformat, Chengdu 611731, Peoples R China; [Sun, Shiyue] Beijing Forestry Univ, Dept Psychol, Beijing 100083, Peoples R China; [Yang, Xun; Wang, Xiaogang] Southwest Univ Nationalities, Sch Sociol & Psychol, Chengdu, Peoples R China; [Fan, Jin] CUNY Queens Coll, Dept Psychol, New York, NY USA; [Luo, Yue-Jia] Shenzhen Univ, Shenzhen 518060, Peoples R China; [Luo, Yue-Jia] Shenzhen Inst Neurosci, Shenzhen 518057, Peoples R China; [Luo, Yue-Jia] Chengdu Med Coll, Collaborat Innovat Ctr Sichuan Elder Care & Hlth, Chengdu 610500, Peoples R China	Gong, QY (reprint author), Sichuan Univ, West China Hosp, Dept Radiol, Huaxi MR Res Ctr HMRRC, Chengdu 610041, Peoples R China.; Luo, YJ (reprint author), Shenzhen Univ, Shenzhen 518060, Peoples R China.; Luo, YJ (reprint author), Shenzhen Inst Neurosci, Shenzhen 518057, Peoples R China.; Luo, YJ (reprint author), Chengdu Med Coll, Collaborat Innovat Ctr Sichuan Elder Care & Hlth, Chengdu 610500, Peoples R China.	National Nature Science Foundation of China [81621003, 31530031, 81471376, 81401398, 81030027, 81227002, 81220108013]; Ministry of Science & Technology (973 Program) [2014CB744600]; Program for Changjiang Scholars and Innovative Research Team in University (PCSIRT) of China [IRT16R52]; foundation of the National Key laboratory of Human Factors Engineering [HF2012-K-03]; Fundamental Research Funds for the Central Universities [2012CXQT01]; Chinese Postdoctoral Science Foundation [2013M530401]; Changjiang Scholar Professorship Award of China [T2014190]; American CMB Distinguished Professorship Award [F510000/G16916411]	0	2045-2322	2016	WOS:000388645100001
Wang, Jing-yi; Wang, Yu; Meng, Xia	NANOSCALE RESEARCH LETTERS	Cervical cancers; Cisplatin; Antitumor efficacy; Solid lipid nanoparticles; Chitosan	[Wang, Jing-yi; Meng, Xia] Chengdu Med Coll, Affiliated Hosp 2, Dept Obstet & Gynecol, 4 Erhuang Rd, Chendong 610051, Sichuan, Peoples R China; [Wang, Yu] Dept Hlth, Wadsworth, OH USA	Wang, JY (reprint author), Chengdu Med Coll, Affiliated Hosp 2, Dept Obstet & Gynecol, 4 Erhuang Rd, Chendong 610051, Sichuan, Peoples R China.	Second Affiliated Hospital of Chengdu Medical College, China	0	1556-276X	2016	WOS:000391796600007
Fan Wenli; Liu Zhigang; Hu Ping; Mei Shengwei	IET GENERATION TRANSMISSION & DISTRIBUTION	power grids; power system faults; load flow; power transmission lines; power transmission faults; cascading failure model; complex network theory; power flow transferring; protection system hidden failures; blackouts; transmission lines failures; modelling node; Center China power grid; cascading failure simulations; IEEE-300-bus test system; high-risk nodes; power grid cascading failure mechanism; complex network theory	[Fan Wenli; Mei Shengwei] Tsinghua Univ, Dept Elect Engn, State Key Lab Power Syst, Beijing, Peoples R China; [Liu Zhigang] Southwest Jiaotong Univ, Sch Elect Engn, Chengdu, Peoples R China; [Hu Ping] Chengdu Med Coll, Sch Humanities & Informat Management, Chengdu, Peoples R China	Mei, SW (reprint author), Tsinghua Univ, Dept Elect Engn, State Key Lab Power Syst, Beijing, Peoples R China.	National Natural Science Foundation of China [U51321005]; China Postdoctoral Science Foundation [2016M591172]; National Science Foundation of China [51377091]	0	1751-8687	2016	WOS:000388499300028
Xie, Songzhi; Tai, Sihan; Song, Haixing; Luo, Xiaoming; Zhang, Hong; Li, Xiaohong	JOURNAL OF MATERIALS CHEMISTRY B		[Xie, Songzhi; Tai, Sihan; Zhang, Hong; Li, Xiaohong] Southwest Jiaotong Univ, Sch Mat Sci & Engn, Minist Educ, Key Lab Adv Technol Mat, Chengdu 610031, Peoples R China; [Song, Haixing] Chengdu Med Coll, Dept Biomed Sci, Chengdu 610500, Peoples R China; [Luo, Xiaoming] Chengdu Med Coll, Dept Publ Hlth, Chengdu 610500, Peoples R China	Li, XH (reprint author), Southwest Jiaotong Univ, Sch Mat Sci & Engn, Minist Educ, Key Lab Adv Technol Mat, Chengdu 610031, Peoples R China.	National Natural Science Foundation of China [21274117, 31470922]; Fundamental Research Funds for the Central Universities [2682016YXZT08]	0	2050-750X	2016	WOS:000387225800008
Yang, Ting; Meng, Yao; Chen, Li -Juan; Lin, Hong-Hui; Xi, De-Hui	FRONTIERS IN MICROBIOLOGY	alpha-momorcharin; jasmonic acid; salicylic acid; reactive oxygen species; Cucumber mosaic virus; Momordica charantia	[Yang, Ting; Chen, Li -Juan; Lin, Hong-Hui; Xi, De-Hui] Sichuan Univ, Coll Life Sci, Minist Educ, Key Lab Bioresource & Ecoenvironm, Chengdu, Peoples R China; [Meng, Yao] Chengdu Med Coll, Sch Med Lab Sci, Chengdu, Peoples R China	Lin, HH; Xi, DH (reprint author), Sichuan Univ, Coll Life Sci, Minist Educ, Key Lab Bioresource & Ecoenvironm, Chengdu, Peoples R China.	National Natural Science Foundation of China (NSFC) [31270290, 31171835]	0	1664-302X	2016	WOS:000388698400002
Sun, Yun; Sun, Fenghui; Li, Jianlong; Wu, Minlu; Fan, Xiang; Meng, Yanfa; Meng, Yao	MOLECULES	ribosome-inactivating protein; alpha-momorcharin (alpha-MMC); momordica anti-HIV protein (MAP30); protein PEGylation; anti-tumor	[Sun, Yun; Sun, Fenghui; Li, Jianlong; Wu, Minlu; Meng, Yao] Chengdu Med Coll, Sch Med Lab Sci, Chengdu 610500, Sichuan, Peoples R China; [Sun, Yun] Chengdu Med Coll, Affiliated Hosp 1, Chengdu 610000, Sichuan, Peoples R China; [Fan, Xiang; Meng, Yanfa] Sichuan Univ, Key Lab Bioresources & Ecoenvironm, Anim Dis Prevent & Food Safety Key Lab Sichuan Pr, Minist Educ,Coll Life Sci, Chengdu 610064, Sichuan, Peoples R China	Meng, Y (reprint author), Chengdu Med Coll, Sch Med Lab Sci, Chengdu 610500, Sichuan, Peoples R China.	Natural Science Foundation of China [31600269]; Health and Family Planning Commission of Sichuan Province [16PJ101]; Sichuan provincial department of education [201413705019, 201613705026]	1	1420-3049	2016	WOS:000389918200039
