AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Zheng Shang-Bin; Tang Bi-Hua; Jiang Yun-Hai; Gao Zeng-Hui; Luo Ya-Mei	ACTA PHYSICA SINICA	stochastic electromagnetic beam; through an astigmatic lens; magnetic spectral Stokes singularity	[Zheng Shang-Bin; Tang Bi-Hua; Jiang Yun-Hai; Luo Ya-Mei] Southwest Med Univ, Sch Med Informat & Engn, Luzhou 646000, Peoples R China; [Gao Zeng-Hui; Luo Ya-Mei] Yibin Univ, Key Lab Computat Phys, Yibin 644000, Peoples R China	Luo, YM (reprint author), Southwest Med Univ, Sch Med Informat & Engn, Luzhou 646000, Peoples R China.; Luo, YM (reprint author), Yibin Univ, Key Lab Computat Phys, Yibin 644000, Peoples R China.	National Natural Science Foundation of China [61275203, 61505075]; Natural Science Foundation of the Education Department of Sichuan Province, China [15CZ0017]	0	1000-3290	2016	WOS:000392922100012
Yang, Yujie; Wang, Fanhou; Liu, Xiansong; Shao, Juxiang	JOURNAL OF CERAMIC PROCESSING RESEARCH	Hexagonal ferrite powders; Bi substitution; X-ray diffraction; Magnetic properties	[Yang, Yujie; Wang, Fanhou; Shao, Juxiang] Yibin Univ, Sch Phys & Elect Engn, Computat Phys Key Lab Sichuan Prov, Yibin 644007, Peoples R China; [Liu, Xiansong] Anhui Univ, Engn Technol Res Ctr Magnet Mat, Sch Phys & Mat Sci, Hefei 230601, Anhui, Peoples R China	Yang, YJ (reprint author), Yibin Univ, Sch Phys & Elect Engn, Computat Phys Key Lab Sichuan Prov, Yibin 644007, Peoples R China.	National Natural Science Foundation of China [51272003, 51472004]; Scientific Research Fund of Sichuan Provincial Education Department [13ZA0918, 14ZA0267, 16ZA0330]; Major Project of Yibin City of China [2012SF034]; Yibin University [2015QD13]; Computational Physics Key Laboratory of Sichuan Province, Yibin University [JSWL2015KFZ04]	0	1229-9162	2016	WOS:000397042400007
Chen, Haitao; Gao, Zenghui	OPTICS COMMUNICATIONS	Singular optics; Lissajous singularity; Non-paraxial beams	[Chen, Haitao] Chengdu Normal Univ, Coll Phys & Engn, Chengdu 611130, Peoples R China; [Chen, Haitao; Gao, Zenghui] Yibin Univ, Key Lab Computat Phys, Yibin 644000, Sichuan, Peoples R China	Chen, HT (reprint author), Yibin Univ, Key Lab Computat Phys, Yibin 644000, Sichuan, Peoples R China.	National Natural Science Foundation of China [61275203]; Natural Science Foundation of Sichuan Province [2013JY0100]; Science Foundation of Chengdu Normal University [YJRC2015-1]	1	0030-4018	2016	WOS:000382793800054
Xu, ZeHong; Cheng, XiaoDan; Tan, JianHong; Gan, Xianxue	BIOTECHNOLOGY AND APPLIED BIOCHEMISTRY	multiwalled carbon nanotube; polyaniline; platinum nanoparticles; cholesterol oxidase; biosensor	[Xu, ZeHong; Cheng, XiaoDan; Tan, JianHong; Gan, Xianxue] Yibin Univ, Coll Chem & Chem Engn, Yibin 644007, Sichuan, Peoples R China	Gan, XX (reprint author), Yibin Univ, Coll Chem & Chem Engn, Yibin 644007, Sichuan, Peoples R China.	Education Department of Sichuan Province [13ZA0204]; Outstanding Youth Foundation of Yibin University [2012S06]	0	0885-4513	2016	WOS:000392814600001
Han, Qiaohong; Wu, Zili; Huang, Bo; Sun, Liangqi; Ding, Chunbang; Yuan, Shu; Zhang, Zhongwei; Chen, Yanger; Hu, Chao; Zhou, Lijun; Liu, Jing; Huang, Yan; Liao, Jinqiu; Yuan, Ming	INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES	Broussonetia papyrifera fruit polysaccharides; Ultrasound-assisted extraction; Response surface methodology; Antioxidant activity; Antibacterial activity	[Han, Qiaohong; Huang, Bo; Sun, Liangqi; Ding, Chunbang; Chen, Yanger; Hu, Chao; Zhou, Lijun; Liu, Jing; Huang, Yan; Liao, Jinqiu; Yuan, Ming] Sichuan Agr Univ, Coll Life Sci, Yaan 625014, Sichuan, Peoples R China; [Wu, Zili] Yibin Univ, Coll Life Sci & Food Engn, Yibin 644000, Peoples R China; [Yuan, Shu; Zhang, Zhongwei] Sichuan Agr Univ, Coll Resources, Chengdu 611130, Sichuan, Peoples R China	Yuan, M (reprint author), Sichuan Agr Univ, Coll Life Sci, Yaan 625014, Sichuan, Peoples R China.	Sichuan Agricultural University	1	0141-8130	2016	WOS:000386402900014
Li, Qiang; Zhang, Rui; Lv, Tianquan; Cao, Qilong	PHYSICS LETTERS A	First principles; ZnS; Phonon; Elastic constant; Phase transition	[Li, Qiang; Zhang, Rui; Lv, Tianquan] Harbin Inst Technol, Condensed Matter Sci & Technol Inst, Harbin 150080, Peoples R China; [Cao, Qilong] Yibin Univ, Computat Phys Key Lab Sichuan Prov, Yibin 644000, Peoples R China	Lv, TQ (reprint author), Harbin Inst Technol, Condensed Matter Sci & Technol Inst, Harbin 150080, Peoples R China.	National Key Basic Research Program of China (973 Program) [2013CB632900]	0	0375-9601	2016	WOS:000384853600022
Quan, J.; Wu, Z. Y.; Li, G. Q.	BULLETIN OF THE IRANIAN MATHEMATICAL SOCIETY	Sufficient global optimality conditions; mixed integer nonlinear programming; mixed integer quadratic programming	[Quan, J.] Yibin Univ, Dept Math, Yibin 644007, Sichuan, Peoples R China; [Wu, Z. Y.; Li, G. Q.] Chongqing Normal Univ, Sch Math Sci, Chongqing 401331, Peoples R China	Quan, J (reprint author), Yibin Univ, Dept Math, Yibin 644007, Sichuan, Peoples R China.	Natural Science Foundation of China [11471062]; scientific research fund of the Sichuan Provincial Education Department [14ZA0270]	0	1735-8515	2016	WOS:000388592900016
Luo, Li; Zhang, Shengtao; Qiang, Yujie; Chen, Nanxi; Xu, Shenying; Chen, Shijin	INTERNATIONAL JOURNAL OF ELECTROCHEMICAL SCIENCE	X65 steel; Ionic liquids; Weight loss; Electrochemical tests; Theoretical calculations	[Luo, Li; Zhang, Shengtao; Qiang, Yujie; Chen, Nanxi; Xu, Shenying] Chongqing Univ, Sch Chem & Chem Engn, Chongqing 400044, Peoples R China; [Qiang, Yujie] Sichuan Univ Sci & Engn, Zigong 643000, Sichuan, Peoples R China; [Chen, Shijin] Bomin Elect Ltd, Meizhou 514021, Guangdong, Peoples R China; [Xu, Shenying] Yibin Univ, Sch Chem & Chem Engn, Yibin 644000, Sichuan, Peoples R China	Zhang, ST (reprint author), Chongqing Univ, Sch Chem & Chem Engn, Chongqing 400044, Peoples R China.	Natural Science Foundation of China [21376282]; Sail plan of Guangdong, China [2015YT02D025]; Project of Sichuan Provincial Department of Education [15ZB0297]	1	1452-3981	2016	WOS:000384909300008
Gao, Gang; Deng, Jiabin; Zhang, Yan; Li, Yangyi; Li, Weitian; Zhou, Yonghong; Yang, Ruiwu	BIOCHEMICAL SYSTEMATICS AND ECOLOGY	Elymus; tmH-psbA; Phylogeny; Maternal origin	[Gao, Gang; Li, Weitian] Yibin Univ, Life Sci & Food Engn Coll, Yibin 644000, Sichuan, Peoples R China; [Gao, Gang; Zhang, Yan; Li, Yangyi; Yang, Ruiwu] Sichuan Agr Univ, Coll Life Sci, Yaan 625014, Sichuan, Peoples R China; [Zhou, Yonghong] Sichuan Agr Univ, Triticeae Res Inst, Wenjiang 611130, Sichuan, Peoples R China; [Deng, Jiabin] Guizhou Normal Coll, Sch Geog & Tourism, Guiyang 550018, Guizhou, Peoples R China	Yang, RW (reprint author), Sichuan Agr Univ, Coll Life Sci, Yaan 625014, Sichuan, Peoples R China.	project of Key Lab of Aromatic Plant Resources Exploitation and Utilization in Sichuan Higher Education [2015XLY008]	0	0305-1978	2016	WOS:000384781600020
Zhang, Zhengan; Zheng, Huaili; Huang, Fei; Li, Xiang; He, Shengying; Zhao, Chun	INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH		[Zhang, Zhengan; Zheng, Huaili; Li, Xiang; Zhao, Chun] Chongqing Univ, Key Lab Three Gorges Reservoir Reg Ecoenvironm, State Minist Educ, Chongqing 400045, Peoples R China; [Zhang, Zhengan; Zheng, Huaili; Li, Xiang; Zhao, Chun] Chongqing Univ, Natl Ctr Int Res Low Carbon & Green Bldg, Chongqing 400045, Peoples R China; [Zhang, Zhengan; Huang, Fei; He, Shengying] Yibin Univ, Coll Resources & Environm Engn, Yibin 644000, Peoples R China; [Huang, Fei; He, Shengying] State Minist Educ, Yibin Res Base, Key Lab Yangtze River Water Environm, Yibin 400045, Peoples R China	Zheng, HL (reprint author), Chongqing Univ, Key Lab Three Gorges Reservoir Reg Ecoenvironm, State Minist Educ, Chongqing 400045, Peoples R China.; Zheng, HL (reprint author), Chongqing Univ, Natl Ctr Int Res Low Carbon & Green Bldg, Chongqing 400045, Peoples R China.	National Natural Science Foundation of China [21477010]; Fermentation Resources and Application of Sichuan College [2009KFJ002]; Education Department of Sichuan Province [09ZA152]	2	0888-5885	2016	WOS:000384038000003
