AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Zhou, Jing; Li, Cheng-Lei; Gao, Fei; Luo, Xiao-Peng; Li, Qing-Qing; Zhao, Hai-Xia; Yao, Hui-Peng; Chen, Hui; Wang, An-Hu; Wu, Qi	JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY	UDP-glucose: flavonoid 3-O-glycosyltransferase; anthocyanins; cold treatment; specific activity; tartary buckwheat sprouts	[Zhou, Jing; Li, Cheng-Lei; Gao, Fei; Luo, Xiao-Peng; Li, Qing-Qing; Zhao, Hai-Xia; Yao, Hui-Peng; Chen, Hui; Wu, Qi] Sichuan Agr, Coll Life Sci, 46 Xinkang Rd, Yaan 625014, Sichuan, Peoples R China; [Wang, An-Hu] Xichang Coll, Xichang 615000, Sichuan, Peoples R China	Wu, Q (reprint author), Sichuan Agr, Coll Life Sci, 46 Xinkang Rd, Yaan 625014, Sichuan, Peoples R China.	National Natural Science Foundation of China (NSFC) [31500289]	0	0021-8561	2016	WOS:000384037700004
Xu, Xi-ke; Ye, Ji; Chen, Li-ping; Zhang, Wei-dong; Yang, Yong-xun; Li, Hui-liang	PHYTOCHEMISTRY LETTERS	Sesquiterpene lactone dimers; Carpesium faberi; Diels-Alder adducts; Cytotoxicity	[Xu, Xi-ke; Ye, Ji; Chen, Li-ping; Zhang, Wei-dong; Yang, Yong-xun; Li, Hui-liang] Second Mil Med Univ, Sch Pharm, Dept Phytochem, Shanghai 200433, Peoples R China; [Zhang, Wei-dong] Shanghai Inst Pharmaceut Ind, Shanghai 200040, Peoples R China; [Yang, Yong-xun] Xichang Coll, Sch Appl & Chem Engn, Xichang 615000, Peoples R China	Yang, YX; Li, HL (reprint author), Second Mil Med Univ, Sch Pharm, Dept Phytochem, Shanghai 200433, Peoples R China.	National Nature Science Foundation of China [81102335, 81230090, 81473109, 81520108030]; National High-Tech Research and Development Program of China (863 Program) [2014AA022201-03]; Shanghai Leading Academic Discipline Project [B906]; Key laboratory of drug research for special environments, PLA, Shanghai Engineering Research Center for the Preparation of Bioactive Natural Products [10DZ2251300]; Scientific Foundation of Shanghai China [12401900801, 13401900101]; National Major Project of China [2014ZX09101003-001, 2016ZX09307003]; National Key Technology R&D Program of China [2012BAI29B06]; China Postdoctoral Science Foundation [2015M572740]	0	1874-3900	2016	WOS:000378027300049
Gao, Fei; Zhao, Hai-Xia; Yao, Hui-Peng; Li, Cheng-Lei; Chen, Hui; Wang, An-Hu; Park, Sang-Un; Wu, Qi	PLANT CELL REPORTS	Tartary buckwheat; R2R3-MYB; Phylogenetic analysis; Abiotic stress; Phytohormone	[Gao, Fei; Zhao, Hai-Xia; Yao, Hui-Peng; Li, Cheng-Lei; Chen, Hui; Wu, Qi] Sichuan Agr Univ, Coll Life Sci, 46 Xinkang Rd, Yaan 625014, Sichuan, Peoples R China; [Wang, An-Hu] Xichang Coll, Xichang 615013, Sichuan, Peoples R China; [Park, Sang-Un] Chungnam Natl Univ, Coll Agr & Life Sci, Dept Crop Sci, Gung Dong, South Korea	Wu, Q (reprint author), Sichuan Agr Univ, Coll Life Sci, 46 Xinkang Rd, Yaan 625014, Sichuan, Peoples R China.	Science and Technology Department of Sichuan Province, PR China [2015HH0047]	3	0721-7714	2016	WOS:000376248400015
Shen, Linyuan; Chen, Lei; Zhang, Shunhua; Zhang, Yi; Wang, Jingyong; Zhu, Li	MEAT SCIENCE	MicroRNA-23a; Slow myosin heavy chain; MEF2C; Meat quality	[Shen, Linyuan; Zhang, Shunhua; Zhu, Li] Sichuan Agr Univ, Coll Anim Sci & Technol, Chengdu, Sichuan, Peoples R China; [Chen, Lei; Wang, Jingyong] Chongqing Acad Anim Sci, Chongqing, Peoples R China; [Zhang, Yi] Xichang Coll, Dept Anim Sci, Xichang, Sichuan, Peoples R China	Zhu, L (reprint author), Sichuan Agr Univ, Coll Anim Sci & Technol, Chengdu, Sichuan, Peoples R China.; Wang, JY (reprint author), Chongqing Acad Anim Sci, Chongqing, Peoples R China.	Sichuan Sci & Tech Support Program [2013NZ0041]; Chinese National Sci & Tech Support Program [2015BAD03B01-11]; earmarked fund for China Agriculture Research System [CARS-36-05B]; National Biological Breeding Capacity Building and Industrialization Projects [2014-2573]; National Development and Reform Commission	3	0309-1740	2016	WOS:000372942500025
Chen, Yongxia; Huang, Linkai; Yan, Haidong; Zhang, Xinquan; Xu, Bin; Ma, Xiao	HEREDITAS	Cold stress; DREB transcription factor; Drought and salt stress; Hemarthria compressa; Yeast one-hybrid system	[Chen, Yongxia; Huang, Linkai; Yan, Haidong; Zhang, Xinquan; Ma, Xiao] Sichuan Agr Univ, Grassland Sci Dept, Yaan 625014, Peoples R China; [Chen, Yongxia] Xichang Coll, Dept Anim Sci, Xichang 615000, Peoples R China; [Xu, Bin] Nanjing Agr Univ, Coll Agrograssland Sci, Nanjing 210095, Jiangsu, Peoples R China	Zhang, X (reprint author), Sichuan Agr Univ, Grassland Sci Dept, Yaan 625014, Peoples R China.	National Basic Research Program of China (973 Program) [2014CB138705]; National Modern Grass Industry Technology System [CARS-35-05]; Sichuan Province Breeding Research grant [2011NZ0098-11]	0	0018-0661	2016	WOS:000373904300001
Du, Jingjing; Zhang, Yi; Shen, Linyuan; Luo, Jia; Lei, Huaigang; Zhang, Peiwen; Pu, Qiang; Liu, Yihui; Shuai, Surong; Li, Qiang; Li, Xuewi; Zhang, Shunhua; Zhu, Li	BIOSCIENCE BIOTECHNOLOGY AND BIOCHEMISTRY	miR-143-3p; C2C12; myoblast differentiation; Wnt pathway	[Du, Jingjing; Shen, Linyuan; Luo, Jia; Zhang, Peiwen; Pu, Qiang; Liu, Yihui; Shuai, Surong; Li, Xuewi; Zhang, Shunhua; Zhu, Li] Sichuan Agr Univ, Coll Anim Sci & Technol, Chengdu, Peoples R China; [Zhang, Yi] Xichang Coll, Dept Anim Sci, Xichang, Peoples R China; [Lei, Huaigang] Univ Alberta, Dept Agr Food & Nutrit Sci, Edmonton, AB, Canada; [Pu, Qiang] Sichuan Prov Gen Stn Anim Husb, Sichuan Prov Agr Dept, Chengdu, Peoples R China	Zhang, SH; Zhu, L (reprint author), Sichuan Agr Univ, Coll Anim Sci & Technol, Chengdu, Peoples R China.	Sichuan Sci & Tech Support Program [2013NZ0041]; earmarked fund for China Agriculture Research System [CARS-36-05B]; Chinese National Sci & Tech Support Program [2013BAD20B07]; Program for Changjiang Scholars and Innovative Research Team in University [IRT13083]	0	0916-8451	2016	WOS:000371994100002
Chen, Jinfa; Song, Dagang; Yang, Peng	SEPARATION SCIENCE AND TECHNOLOGY	Cr(VI); Cu(II); Eupatorium adenophorum; Adsorption isotherm model; kinetics	[Chen, Jinfa] Xichang Coll, Dept Engn Sci, Xichang, Peoples R China; [Song, Dagang] Chinese Acad Sci, Chengdu Inst Biol, Chengdu 610041, Sichuan, Peoples R China; [Yang, Peng] Xichang Coll, Dept Agr Sci, Xichang, Peoples R China	Song, DG (reprint author), Chinese Acad Sci, Chengdu Inst Biol, Chengdu 610041, Sichuan, Peoples R China.	Education Department in Sichuan [13ZA0158]	0	0149-6395	2016	WOS:000373778300003
Wu, Xiaoqian; Zhang, Yi; Shen, Linyuan; Du, Jingjing; Luo, Jia; Liu, Chendong; Pu, Qiang; Yang, Runlin; Li, Xuewei; Bai, Lin; Tang, Guoqing; Zhang, Shunhua; Zhu, Li	GENE	Liangshan pig; Coat color; TYRP1; MC1R; ASIP	[Wu, Xiaoqian; Shen, Linyuan; Du, Jingjing; Luo, Jia; Liu, Chendong; Pu, Qiang; Li, Xuewei; Bai, Lin; Tang, Guoqing; Zhang, Shunhua; Zhu, Li] Sichuan Agr Univ, Coll Anim Sci & Technol, 211 Huimin Rd, Chengdu 611130, Peoples R China; [Zhang, Yi] Xichang Coll, Dept Anim Sci, Xichang 615000, Peoples R China; [Yang, Runlin] Mabian Gold Liangshan Agr Dev Co Ltd, Mabian 614600, Peoples R China	Zhang, SH (reprint author), Sichuan Agr Univ, Coll Anim Sci & Technol, 211 Huimin Rd, Chengdu 611130, Peoples R China.	Sichuan Sci & Tech Support Program [2013NZ0041, 2013NZ0056]; China Agriculture Research System [CARS-36-05B]; Chinese National Sci & Tech Support Program [2013BAD20B07, 2015BAD03B01-11]; Program for Changjiang Scholars and Innovative Research Team in University [IRT13083]; National Biological Breeding Capacity Building and Industrialization Projects - National Development and Reform Commission [2014-2573]	0	0378-1119	2016	WOS:000369191700017
Shen, Linyuan; Chen, Lei; Zhang, Shunhua; Du, Jingjing; Bai, Lin; Zhang, Yi; Jiang, Yanzhi; Li, Xuewei; Wang, Jinyong; Zhu, Li	PLOS ONE		[Shen, Linyuan; Zhang, Shunhua; Du, Jingjing; Bai, Lin; Li, Xuewei; Zhu, Li] Sichuan Agr Univ, Coll Anim Sci & Technol, Chengdu 611130, Sichuan, Peoples R China; [Chen, Lei; Wang, Jinyong] Chongqing Acad Anim Sci, Chongqing 402460, Peoples R China; [Zhang, Yi] Xichang Coll, Dept Anim Sci, Xichang 615000, Sichuan, Peoples R China; [Jiang, Yanzhi] Sichuan Agr Univ, Dept Biol, Coll Life & Sci, Chengdu 611130, Sichuan, Peoples R China	Zhu, L (reprint author), Sichuan Agr Univ, Coll Anim Sci & Technol, Chengdu 611130, Sichuan, Peoples R China.; Wang, JY (reprint author), Chongqing Acad Anim Sci, Chongqing 402460, Peoples R China.	Sichuan Sci & Tech Support Program [2013NZ0041, 2013NZ0056]; earmarked fund for China Agriculture Research System [CARS-36-05B]; Program for Changjiang Scholars and Innovative Research Team in University [IRT13083]	2	1932-6203	2016	WOS:000369554000118
Shen, Linyuan; Zhang, Yi; Du, Jingjing; Chen, Li; Luo, Jia; Li, Xuewei; Li, Mingzhou; Tang, Guoqing; Zhang, Shunhua; Zhu, Li	GENE	3T3-L1 cell line; Adipocyte differentiation; Adipocyte lipid metabolism; MiRNA-23a	[Shen, Linyuan; Du, Jingjing; Chen, Li; Luo, Jia; Li, Xuewei; Li, Mingzhou; Tang, Guoqing; Zhang, Shunhua; Zhu, Li] Sichuan Agr Univ, Coll Anim Sci & Technol, Chengdu 611130, Peoples R China; [Zhang, Yi] Xichang Coll, Dept Anim Sci, Xichang 615000, Peoples R China	Zhang, SH (reprint author), Sichuan Agr Univ, Coll Anim Sci & Technol, 211 Huimin Rd, Chengdu 611130, Peoples R China.	Sichuan Sci & Tech Support Program [2013NZ0041, 2013NZ0056]; earmarked fund for China Agriculture Research System [CARS-36-05B]; Chinese National Sci & Tech Support Program [2013BAD201307]; International Science & Technology Cooperation Program of China [2014DFA31260]	4	0378-1119	2016	WOS:000366537700023
