AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Deng Xiang; Huang Xiao-Mei; Qi Wen-Jing; Wu Di	CHINESE JOURNAL OF ANALYTICAL CHEMISTRY	Maca; Fluorescence carbon nanodots; Picric acid; Fluorescence probe	[Deng Xiang; Huang Xiao-Mei] Sichuan Univ Arts & Sci, Dept Chem & Chem Engn, Dazhou 635000, Peoples R China; [Qi Wen-Jing; Wu Di] Chongqing Normal Univ, Coll Chem, Chongqing 401331, Peoples R China	Deng, X (reprint author), Sichuan Univ Arts & Sci, Dept Chem & Chem Engn, Dazhou 635000, Peoples R China.		0	0253-3820	2016	WOS:000393290300013
Lai, Chuan; Yang, Hongxia; Guo, Xiaogang; Su, Xiulan; Zhou, Lvshan; Zhang, Lei; Xie, Bin	INTERNATIONAL JOURNAL OF ELECTROCHEMICAL SCIENCE	Adsorption; Corrosion inhibitor; Q235 steel; 2-mercaptobenzimidazole	[Lai, Chuan; Su, Xiulan; Zhou, Lvshan; Zhang, Lei] Sichuan Univ Arts & Sci, Sch Chem & Chem Engn, Dazhou 635000, Peoples R China; [Lai, Chuan; Yang, Hongxia; Xie, Bin] Sichuan Univ Sci & Engn, Inst Funct Mat, Sch Chem & Environm Engn, Mat Corros & Protect Key Lab Sichuan Prov, Zigong 643000, Peoples R China; [Guo, Xiaogang] Chongqing Univ, Coll Chem & Chem Engn, Chongqing 400044, Peoples R China	Xie, B (reprint author), Sichuan Univ Sci & Engn, Inst Funct Mat, Sch Chem & Environm Engn, Mat Corros & Protect Key Lab Sichuan Prov, Zigong 643000, Peoples R China.	Projects of Sichuan University of Arts and Science [2015TP002Z]; Project of Zigong City [2012H04]; Program of Education Department of Sichuan Province [16ZA0358]; Opening Project of Key Laboratory of Green Catalysis of Sichuan Institutes of Higher Education [LYJ1503]	0	1452-3981	2016	WOS:000391039000055
Zeng, Xiaoxiong; Wu, Jinghe; Hu, Qishan	MICRO & NANO LETTERS	lithium compounds; electrochemical electrodes; secondary cells; X-ray diffraction; scanning electron microscopy; electron diffraction; rate capability; cycling performance; capacity retention; initial discharge capacity; galvanostatic charge-discharge; electron diffraction spectroscope; SEM; scanning electron microscope; XRD; X-ray diffraction; solid state reaction route; lithium-ion battery spinel cathode materials; electrochemical performance; structural performance; magnesium-chlorine codoping effects; LiMg0; 05Mn1; 95O3; 9Cl0; 1; LiMn2O4; temperature 0; 2 degC; temperature 10 degC	[Zeng, Xiaoxiong] Chongqing Jiaotong Univ, Sch Mat Sci & Engn, Chongqing 400074, Peoples R China; [Wu, Jinghe] Henan Inst Educ, Dept Phys & Elect Engn, Zhengzhou 450046, Peoples R China; [Hu, Qishan] Sichuan Univ Arts & Sci, Sch Chem & Chem Engn, Dazhou 635000, Peoples R China	Zeng, XX (reprint author), Chongqing Jiaotong Univ, Sch Mat Sci & Engn, Chongqing 400074, Peoples R China.	Science and Technology Bureau of Dazhou [2013(5), KJJ2015002]; Key Scientific and Technological Project of Henan Province [152102210307]; Natural Science Foundation of Henan Educational Committee [2011A140006]	0	1750-0443	2016	WOS:000389323100001
Lai, Chuan; Su, Xiulan; Jiang, Ting; Zhou, Lvshan; Xie, Bin; Li, Yulong; Zou, Like	INTERNATIONAL JOURNAL OF ELECTROCHEMICAL SCIENCE	Corrosion inhibitor; O,O '-Dialkyldithiophosphate; Q235 steel; Sulfuric acid; Adsorption	[Lai, Chuan; Su, Xiulan; Jiang, Ting; Zhou, Lvshan] Sichuan Univ Arts & Sci, Sch Chem & Chem Engn, Dazhou 635000, Peoples R China; [Lai, Chuan; Xie, Bin; Li, Yulong; Zou, Like] Sichuan Univ Sci & Engn, Inst Funct Mat, Mat Corros & Protect Key Lab Sichuan Prov, Zigong 643000, Peoples R China	Xie, B (reprint author), Sichuan Univ Sci & Engn, Inst Funct Mat, Mat Corros & Protect Key Lab Sichuan Prov, Zigong 643000, Peoples R China.	Program of Education Department of Sichuan Province [16ZA0358]; Projects of Sichuan University of Arts and Science [2015TP002Z, HGXZ2015002]	0	1452-3981	2016	WOS:000389819900044
Wu, Shiyun; Fan, Kaimin; Wu, Minpin; Yin, Guangqiang	INTERNATIONAL JOURNAL OF MODERN PHYSICS B	MnO2/graphene hybrid nanostructure; density functional theory; adsorption; diffusion; lithium ion batteries	[Wu, Shiyun; Fan, Kaimin] Sichuan Univ Arts & Sci, Sch Phys & Mechtron Engn, Dazhou 635000, Peoples R China; [Wu, Minpin; Yin, Guangqiang] Univ Elect Sci & Technol China, Joint Lab Police Equipment, Chengdu 610054, Peoples R China	Fan, KM (reprint author), Sichuan Univ Arts & Sci, Sch Phys & Mechtron Engn, Dazhou 635000, Peoples R China.	Scientific Research Fund of Si Chuan Provincial Education Department [14ZB0308]; Scientific Research Fund of Sichuan University of Arts and Science [2014YY001]	0	0217-9792	2016	WOS:000386569600008
Luo Feihua; Long Yang; Li Zhengkai; Zhou Xiangge	ACTA CHIMICA SINICA	aqueous; palladium catalysis; 8-aminoquinoline; C-H activation; arylation	[Luo Feihua; Long Yang; Li Zhengkai; Zhou Xiangge] Sichuan Univ, Coll Chem, Chengdu 610064, Peoples R China; [Luo Feihua] Sichuan Univ Arts & Sci, Dept Chem & Chem Engn, Dazhou 635000, Peoples R China	Zhou, XG (reprint author), Sichuan Univ, Coll Chem, Chengdu 610064, Peoples R China.	National Natural Science Foundation of China [21272161, 21472128, J1310008]	0	0567-7351	2016	WOS:000388252000003
Qin, Yi; Zhu, Hui; Zhang, Mi; Zhang, Huifen; Xiang, Cheng; Li, Baocai	MOLECULES	chemical component; fulvic acid; GC-MS; membrane-graded; seed germination	[Qin, Yi; Zhang, Mi; Xiang, Cheng; Li, Baocai] Kunming Univ Sci & Technol, Fac Life Sci & Technol, Kunming 650500, Peoples R China; [Zhu, Hui] Sichuan Univ Arts & Sci, Sch Chem & Chem Engn, Dazhou 635000, Peoples R China; [Zhang, Huifen] Kunming Univ Sci & Technol, Food Secur Res Inst Yunnan Prov, Kunming 650500, Peoples R China	Li, BC (reprint author), Kunming Univ Sci & Technol, Fac Life Sci & Technol, Kunming 650500, Peoples R China.	National Natural Science Foundation of China [21466018]; Discipline Orientation Team Project of Kunming University of Science and Technology, China [14078372]	0	1420-3049	2016	WOS:000389917900100
Li, Zhijie; Wu, Shiyun; Wang, Zhiguo; Fu, Y. Q.	JOURNAL OF ALLOYS AND COMPOUNDS	Tungsten trioxide; Phase transformation; Doping; Density functional theory	[Li, Zhijie; Wang, Zhiguo; Fu, Y. Q.] Univ Elect Sci & Technol China, Sch Phys Elect, Chengdu 610054, Peoples R China; [Wu, Shiyun] Sichuan Univ Arts & Sci, Sch Phys & Mech Tron Engn, Dazhou 635000, Peoples R China; [Fu, Y. Q.] Northumbria Univ, Fac Engn & Environm, Dept Phys & Elect Engn, Newcastle Upon Tyne NE1 8ST, Tyne & Wear, England	Wang, ZG; Fu, YQ (reprint author), Univ Elect Sci & Technol China, Sch Phys Elect, Chengdu 610054, Peoples R China.	National Natural Science Foundation of China [11474047]; UoA from Northumbria University at Newcastle; CAPEX from Northumbria University at Newcastle; Royal academy of Engineering UK-Research Exchange with China and India	1	0925-8388	2016	WOS:000373464000023
Chen, Guang-Ping; Chen, Si-Lin; Xie, Zheng-Wei; Zhang, Xiao-Fei; Zhang, Shou-Gang	COMMUNICATIONS IN THEORETICAL PHYSICS	Bose-Einstein condensate; spin-orbit coupling; vortex chain	[Chen, Guang-Ping; Chen, Si-Lin; Zhang, Xiao-Fei; Zhang, Shou-Gang] Chinese Acad Sci, Natl Time Serv Ctr, Key Lab Time & Frequency Primary Stand, Xian 710600, Peoples R China; [Chen, Guang-Ping] Univ Chinese Acad Sci, Beijing 100049, Peoples R China; [Chen, Guang-Ping] Sichuan Univ Arts & Sci, Coll Phys & Mech Tron Engn, Dazhou 635000, Peoples R China; [Xie, Zheng-Wei] Sichuan Normal Univ, Coll Phys & Elect Engn, Chengdu 610066, Peoples R China; [Chen, Si-Lin] Changchun Univ Sci & Technol, Sch Sci, Changchun 130022, Peoples R China	Chen, GP (reprint author), Chinese Acad Sci, Natl Time Serv Ctr, Key Lab Time & Frequency Primary Stand, Xian 710600, Peoples R China.; Chen, GP (reprint author), Univ Chinese Acad Sci, Beijing 100049, Peoples R China.; Chen, GP (reprint author), Sichuan Univ Arts & Sci, Coll Phys & Mech Tron Engn, Dazhou 635000, Peoples R China.	National Natural Science Fund for National Major Scientific Research Equipment and Equipment Special Fund [61025023]; NMFSEID [61127901]; Key Project Fund of the CAS "Light of West China" Program [2012ZD02]; Youth Innovation Promotion Association of CAS [2015334]; Sichuan Province Education Department key Natural Science Fund [13ZA0149, 16ZA0355]	0	0253-6102	2016	WOS:000384294600008
Wu, Shiyun; Fan, Kaimin; Wu, Minpin; Yin, Guangqiang	EUROPEAN PHYSICAL JOURNAL-APPLIED PHYSICS		[Wu, Shiyun; Fan, Kaimin] Sichuan Univ Arts & Sci, Sch Phys & Mechtron Engn, Dazhou 635000, Peoples R China; [Wu, Minpin; Yin, Guangqiang] Univ Elect Sci & Technol China, Joint Lab Police Equipment, Chengdu 610054, Peoples R China	Fan, KM (reprint author), Sichuan Univ Arts & Sci, Sch Phys & Mechtron Engn, Dazhou 635000, Peoples R China.	Scientific Research Fund of Sichuan Provincial Education Department [14ZB0308]; Scientific Research Fund of Sichuan University of Arts and Science [2014YY001]	1	1286-0042	2016	WOS:000380771400003
