AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Wu, Minghui; Deng, Jing; Li, Junjie; Li, Ying; Li, Jinze; Xu, Heng	JOURNAL OF HAZARDOUS MATERIALS	Chlorothalonil; CDS-8; Titanium dioxide; Simultaneous biological-photocatalytic treatment	[Wu, Minghui; Li, Junjie; Li, Jinze; Xu, Heng] Sichuan Univ, Coll Life Sci, Key Lab Bioresources & Ecoenvironm, Minist Educ, Chengdu 610064, Sichuan, Peoples R China; [Deng, Jing] Sichuan Tourism Univ, Chengdu 610000, Sichuan, Peoples R China; [Li, Ying] Gen Elect, Shanghai, Peoples R China	Xu, H (reprint author), Sichuan Univ, Coll Life Sci, Key Lab Bioresources & Ecoenvironm, Minist Educ, Chengdu 610064, Sichuan, Peoples R China.	National High Technology Research and Development Program of China [2013AA06A210, 2006AA06Z361]; NSFC [J1103518]; Chengdu Longquanyi District Science and Technology Bureau	0	0304-3894	2016	WOS:000385600700066
Feng, Yong; Yang, Hongxing	ACTA MEDICA MEDITERRANEA	Massage; Thermal Magnetic Field; Lumbar Muscle Strain of Athlete; Treatment; Rehabilitation Effect	[Feng, Yong] Sichuan Tourism Univ, Chengdu 610199, Peoples R China; [Yang, Hongxing] WenZhou Med Univ, Wenzhou 325015, Peoples R China	Yang, HX (reprint author), WenZhou Med Univ, Wenzhou 325015, Peoples R China.		0	0393-6384	2016	WOS:000377420600007
Li, G. K.; Gao, J.; Peng, H.; Shen, Y. O.; Ding, H. P.; Zhang, Z. M.; Pan, G. T.; Lin, H. J.	GENETICS AND MOLECULAR RESEARCH	Pb pollution; Isobaric tags for relative and absolute quantification; Differentially expressed proteins	[Li, G. K.; Peng, H.; Shen, Y. O.; Ding, H. P.; Zhang, Z. M.; Pan, G. T.; Lin, H. J.] Sichuan Agr Univ, Maize Res Inst, Key Lab Biol & Genet Improvement Maize Southwest, Minist Agr, Wenjiang, Sichuan, Peoples R China; [Peng, H.] Sichuan Tourism Univ, Chengdu, Sichuan, Peoples R China; [Li, G. K.] Guangdong Acad Agr Sci, Crop Res Inst, Guangdong Prov Key Lab Crops Genet & Improvement, Guangzhou, Guangdong, Peoples R China; [Gao, J.] Third Mil Med Univ, Southwest Hosp, Minist Educ, Inst Pathol,Key Lab Tumor Immunopathol, Chongqing, Peoples R China; [Gao, J.] Third Mil Med Univ, Southwest Hosp, Minist Educ, Southwest Canc Ctr, Chongqing, Peoples R China	Pan, GT; Lin, HJ (reprint author), Sichuan Agr Univ, Maize Res Inst, Key Lab Biol & Genet Improvement Maize Southwest, Minist Agr, Wenjiang, Sichuan, Peoples R China.	National Science Foundation of China [31171567]; Functional Genomics Resource, Technology, Information Platform Construction Program "863" of China [SS2012AA100107, 2012AA10A300]; Science and Information Technology Bureau of Guangzhou [2013J2200083]; Science and Information Technology Bureau of Guangdong Province; Ministry of Education Production-Study-Research Program of China [2012B091100467]; Foundation of the President of the Guangdong Academy of Agricultural Sciences [201407]; Guangdong Province Science and Technology Program [2013B020301015]; Research Project on Rice Functional Genes related to the Maize Large-scale Gene Discovery	0	1676-5680	2016	WOS:000373879900029
Deng, Jing; Wu, Huachang; Yang, Zhirong	FOOD SCIENCE AND BIOTECHNOLOGY	sweet flour paste; volatile compound; natural fermentation; temperature-controlled fermentation	[Deng, Jing; Yang, Zhirong] Sichuan Univ, Coll Life Sci, Chengdu 610064, Peoples R China; [Deng, Jing; Wu, Huachang] Sichuan Tourism Univ, Dept Food Sci, Chengdu 610100, Peoples R China	Deng, J (reprint author), Sichuan Univ, Coll Life Sci, Chengdu 610064, Peoples R China.	Training of Personnel Program of Sichuan University of Science Engineering [2012RC12]	0	1226-7708	2015	WOS:000365766300023
Gan, Zaihui; Ma, Yansheng; Zhong, Ting	JOURNAL OF FUNCTIONAL ANALYSIS	Magnetic Zakharov system; Blow-up; Space-time integral estimate	[Gan, Zaihui] Tianjin Univ, Ctr Appl Math, Tianjin 300072, Peoples R China; [Gan, Zaihui; Zhong, Ting] Sichuan Normal Univ, Coll Math & Software Sci, Chengdu 610068, Peoples R China; [Ma, Yansheng] NE Normal Univ, Sch Math & Stat, Changchun 130024, Peoples R China; [Ma, Yansheng] Inst Appl Phys & Computat Math, Beijing 100088, Peoples R China; [Zhong, Ting] Sichuan Tourism Univ, Dept Tourism, Chengdu 610100, Peoples R China	Ma, YS (reprint author), NE Normal Univ, Sch Math & Stat, Changchun 130024, Peoples R China.	National Science Foundation of China [11171241, 11371084, 114260260]; Program for New Century Excellent Talents in University [NCET-12-1058]	1	0022-1236	2015	WOS:000361016300005
Zhou, Mei-Liang; Zhang, Qian; Zheng, Ya-Di; Tang, Yu; Li, Fa-Liang; Zhu, Xue-Mei; Shao, Ji-Rong	NOVON	China; Fagopyrum; Hailuogou National Glacier Forest Park; IUCN Red List; Polygonaceae; Sichuan	[Zhou, Mei-Liang; Zhang, Qian; Zheng, Ya-Di; Shao, Ji-Rong] Sichuan Agr Univ, Sch Life Sci, Yaan 625014, Sichuan, Peoples R China; [Zhou, Mei-Liang] Chinese Acad Agr Sci, Biotechnol Res Inst, Beijing 100081, Peoples R China; [Tang, Yu] Sichuan Tourism Univ, Dept Tourism Culture, Chengdu 610072, Sichuan, Peoples R China; [Li, Fa-Liang] Xichang Inst Agr Sci, Alpine Crop Res Stn, Xichang 616150, Sichuan, Peoples R China; [Zhu, Xue-Mei] Sichuan Agr Univ, Sch Resources & Environm, Chengdu 611130, Sichuan, Peoples R China	Tang, Y (reprint author), Sichuan Tourism Univ, Dept Tourism Culture, Chengdu 610072, Sichuan, Peoples R China.	Key Project of Science and Technology of Sichuan, China : "Protection and exploitation of wild-type buckwheat's germplasm resource" [04NG001-015]	0	1055-3177	2015	WOS:000361841200020
Gao, Jian; Luo, Mao; Zhang, Chun; Peng, Hua; Lin, Haijian; Shen, Yaou; Zhao, Maojun; Pan, Guangtang; Zhang, Zhiming	JOURNAL OF PLANT BIOLOGY	Banded leaf and sheath blight (BLSB); Maize; microRNA; R. solani; TFs (transcription factors)	[Gao, Jian; Peng, Hua; Lin, Haijian; Shen, Yaou; Pan, Guangtang; Zhang, Zhiming] Sichuan Agr Univ, Key Lab Biol & Genet Improvement Maize Southwest, Minist Agr, Maize Res Inst, Wenjiang 611130, Sichuan, Peoples R China; [Luo, Mao] Luzhou Med Coll, Drug Discovery Res Ctr, Luzhou 646000, Sichuan, Peoples R China; [Zhao, Maojun] Sichuan Agr Univ, Life Sci Coll, Yaan 625014, Sichuan, Peoples R China; [Peng, Hua] Sichuan Tourism Univ, Chengdu 610000, Sichuan, Peoples R China; [Zhang, Chun] Luzhou Med Coll, Dept Pharm, Luzhou 646000, Sichuan, Peoples R China; [Gao, Jian] Third Mil Med Univ, Inst Pathol, Southwest Hosp, Chongqing, Peoples R China; [Gao, Jian] Third Mil Med Univ, Southwest Canc Ctr, Southwest Hosp, Chongqing, Peoples R China; [Gao, Jian] Minist Educ China, Key Lab Tumor Immunopathol, Chongqing, Peoples R China	Pan, GT (reprint author), Sichuan Agr Univ, Key Lab Biol & Genet Improvement Maize Southwest, Minist Agr, Maize Res Inst, Wenjiang 611130, Sichuan, Peoples R China.	National Natural Science Foundation of China [30900901, 81001700]; ministry of Agriculture in China [2011ZX08003-003]; Sichuan Province Special Sci-Tech Projects [2006J13-039]; Scientific Research Fund of Sichuan Provincial Health Department [120371]; Foundation of Luzhou Municipal Science and Technology Bureau of Sichuan Province [2013-S-47, 2013LZLY-K64]	0	1226-9239	2015	WOS:000358280700002
Zhou, Meiliang; Wang, Chenglong; Qi, Leipeng; Yang, Xiongbang; Sun, Zhanmin; Tang, Yu; Tang, Yixiong; Shao, Jirong; Wu, Yanmin	JOURNAL OF PLANT GROWTH REGULATION	Buckwheat; Cold stress; COR15a; Malondialdehyde; R2R3-type transcription factor	[Zhou, Meiliang; Wang, Chenglong; Sun, Zhanmin; Wu, Yanmin] Chinese Acad Agr Sci, Biotechnol Res Inst, Beijing 100081, Peoples R China; [Zhou, Meiliang; Wang, Chenglong; Qi, Leipeng; Yang, Xiongbang; Shao, Jirong] Sichuan Agr Univ, Sch Life Sci, Yaan 625014, Sichuan, Peoples R China; Sichuan Tourism Univ, Dept Food Sci, Chengdu 610100, Sichuan, Peoples R China	Shao, JR (reprint author), Sichuan Agr Univ, Sch Life Sci, Yaan 625014, Sichuan, Peoples R China.	Key Project of Science and Technology of Sichuan, China [04NG001-015]; National Transgenic Program [(2013ZX08005-004]; National Natural Science Foundation of China [31372361]	9	0721-7595	2015	WOS:000355220200013
Fan, Wenjiao; Yi, Yuwen; Zhang, Yongkui; Diao, Pan	FOOD SCIENCE AND BIOTECHNOLOGY	bamboo leave; tea polyphenol; biogenic amine; lipid oxidation; pork sausage	[Fan, Wenjiao; Yi, Yuwen] Sichuan Tourism Univ, Dept Food Sci, Chengdu 610100, Peoples R China; [Zhang, Yongkui; Diao, Pan] Sichuan Univ, Sch Chem Engn, Chengdu 610065, Peoples R China	Fan, WJ (reprint author), Sichuan Tourism Univ, Dept Food Sci, Chengdu 610100, Peoples R China.	Research Fund of the Application Project of Sichuan Province [2014JY0250]; Research Fund of Meat Processing Key Laboratory of Sichuan Province [14-R04]	0	1226-7708	2015	WOS:000351862100005
Li, Yong; Yang, Fang; Yuan, Mingxing; Jiang, Lijuan; Yuan, Li; Zhang, Xiaowei; Li, Ying; Dong, Lin; Bao, Xu; Yin, Shufan	STEROIDS	Fibrotic diseases; Asiatic acid derivatives; Anti-fibrotic; Synthesis	[Li, Yong; Yuan, Mingxing; Jiang, Lijuan; Yuan, Li; Zhang, Xiaowei; Li, Ying; Dong, Lin; Yin, Shufan] Sichuan Univ, Sch Chem, Chengdu 610064, Sichuan, Peoples R China; [Yang, Fang] Sichuan Tourism Univ, Chengdu 610100, Sichuan, Peoples R China; [Bao, Xu] Sichuan Univ, Sch Pharm, Chengdu 610064, Sichuan, Peoples R China	Yin, SF (reprint author), Sichuan Univ, Sch Chem, 29 Wangjiang Rd, Chengdu 610064, Sichuan, Peoples R China.		1	0039-128X	2015	WOS:000351791000007
