AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Pei, Zheng; Yi, Liangzhong	INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS	the residuated lattice; the lattice; hesitant fuzzy sets; operations	[Pei, Zheng] Xihua Univ, Ctr Radio Adm & Technol Dev, Chengdu 610039, Sichuan, Peoples R China; [Yi, Liangzhong] Sichuan Police Coll, Luzhou 646000, Sichuan, Peoples R China	Pei, Z (reprint author), Xihua Univ, Ctr Radio Adm & Technol Dev, Chengdu 610039, Sichuan, Peoples R China.	national natural science foundation of China [61372187, 71301129]; Sichuan Key Technology Research and Development Program [2012GZ0019, 2013GXZ0155]	6	1875-6891	2015	WOS:000346843900004
Jia, Chun-Sheng; Yi, Liang-Zhong; Long, Shi-Wen	CANADIAN JOURNAL OF PHYSICS		[Jia, Chun-Sheng] Southwest Petr Univ, State Key Lab Oil & Gas Reservoir Geol & Exploita, Chengdu 610500, Peoples R China; [Yi, Liang-Zhong] Sichuan Police Coll, Luzhou 646000, Sichuan, Peoples R China; [Long, Shi-Wen] Southwest Petr Univ, Sch Foreign Language, Chengdu 610500, Peoples R China	Jia, CS (reprint author), Southwest Petr Univ, State Key Lab Oil & Gas Reservoir Geol & Exploita, Chengdu 610500, Peoples R China.	National Natural Science Foundation of China [10675097]; Science Foundation of State Key Laboratory of Oil and Gas Reservoir Geology and Exploitation of China [PLN-ZL001]	1	0008-4204	2014	WOS:000343124800025
Dai, Yong; Lv, Bao-Kuo; Zhang, Xin-Fu; Xiao, Yi	CHINESE CHEMICAL LETTERS	Mitotracker; Mitochondria; Namphthalimide; Two-photon; Fluorescence imaging	[Dai, Yong] Sichuan Police Coll, Dept Criminal Sci & Technol, Luzhou 646000, Peoples R China; [Lv, Bao-Kuo] Liaoning Water Environm Monitoring Ctr, Shenyang Branch, Shenyang 110005, Peoples R China; [Dai, Yong; Zhang, Xin-Fu; Xiao, Yi] Dalian Univ Technol, State Key Lab Fine Chem, Dalian 116024, Peoples R China	Lv, BK (reprint author), Liaoning Water Environm Monitoring Ctr, Shenyang Branch, Shenyang 110005, Peoples R China.	National Natural Science Foundation of China [21174022, 21376038]; National Basic Research Program of China [2013CB733702]; Education Department of Sichuan Province [12ZA087]; Specialized Research Fund for the Doctoral Program of Higher Education [20110041110009]	11	1001-8417	2014	WOS:000340223400006
Gao, Yang; Yu, Weidong; Liu, Yabo; Wang, Robert; Shi, Chenpeng	IEEE GEOSCIENCE AND REMOTE SENSING LETTERS	Autofocus; conjugate gradient method (CGM); sharpness; synthetic aperture radar (SAR)	[Gao, Yang; Yu, Weidong; Liu, Yabo; Wang, Robert] Chinese Acad Sci, Inst Elect, Dept Space Microwave Remote Sensing Syst, Beijing 100190, Peoples R China; [Shi, Chenpeng] Sichuan Police Coll, Dept Rd Traff Management, Luzhou 646000, Peoples R China	Gao, Y (reprint author), Chinese Acad Sci, Inst Elect, Dept Space Microwave Remote Sensing Syst, Beijing 100190, Peoples R China.		4	1545-598X	2014	WOS:000331146200012
Zhang, Kaichen; Dai, Yong; Zhang, Xinfu; Xiao, Yi	DYES AND PIGMENTS	Synthesis; Linear optics properties; Electrochemical; Two-photon absorption; Intramolecular charge transfer; Ladder-conjugated chromophore	[Zhang, Kaichen; Zhang, Xinfu; Xiao, Yi] Dalian Univ Technol, Staie Key Lab Fine Chem, Dalian 116012, Peoples R China; [Dai, Yong] Sichuan Police Coll, Dept Criminal Sci & Technol, Luzhou 646000, Peoples R China	Xiao, Y (reprint author), Dalian Univ Technol, Staie Key Lab Fine Chem, Dalian 116012, Peoples R China.	National Natural Science Foundation of China [21174022]; Fundamental Research Funds for the Central Universities [DUT10ZD114]	2	0143-7208	2014	WOS:000331483800001
Liu, Minghua; Yang, Sijin; Zhang, Dan; Shui, Pixian; Song, Shanshan; Yao, Jian; Dai, Yong; Sun, Qin	INTERNATIONAL JOURNAL OF CLINICAL AND EXPERIMENTAL MEDICINE	Vascular endothelial growth factor; vascular endothelial growth factor receptor; liver cancer; fructopyrano-(1 -> 4)-glucopyranose	[Liu, Minghua; Zhang, Dan; Shui, Pixian; Sun, Qin] Luzhou Med Coll, Dept Pharm, Luzhou 646000, Peoples R China; [Yang, Sijin] Luzhou Med Coll, Affiliated Hosp Tradit Chinese Med, Luzhou 646000, Peoples R China; [Song, Shanshan] Chinese Acad Sci, Shanghai Inst Mat Med, State Key Lab Drug Res, Div Antitumor Pharmacol, Shanghai 201203, Peoples R China; [Yao, Jian] Peoples Hosp Luzhou City, Dept Hepatobiliary Surg, Luzhou 646000, Peoples R China; [Dai, Yong] Sichuan Police Coll, Dept Criminal Sci & Technol, Luzhou 646000, Peoples R China	Sun, Q (reprint author), Luzhou Med Coll, Dept Pharm, Luzhou 646000, Peoples R China.	National Natural Science Foundation of China [30873381]	3	1940-5901	2014	WOS:000348302100005
Pei, Zheng; Zou, Li; Yi, Liangzhong	INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS	Computing with word; linguistic group decision making; the 2-tuple fuzzy linguistic representation model	[Pei, Zheng] Xihua Univ, Ctr Radio Adm & Technol Dev, Chengdu 610039, Sichuan, Peoples R China; [Zou, Li] Liaoning Normal Univ, Sch Comp & Informat Technol, Dalian 116029, Peoples R China; [Zou, Li] Nanjing Univ, State Key Lab Novel Software Technol, Nanjing 210093, Jiangsu, Peoples R China; [Yi, Liangzhong] Sichuan Police Coll, Luzhou 646000, Sichuan, Peoples R China	Zou, L (reprint author), Liaoning Normal Univ, Sch Comp & Informat Technol, Dalian 116029, Peoples R China.	National Nature Science Foundation of China [61105059, 61175055, 61372187, 61173100]; International Cooperation and Exchange of the National Natural Science Foundation of China [61210306079]; China Postdoctoral Science Foundation [2012M510815]; Liaoning Excellent Talents in University [LJQ2011116]; Sichuan Key Technology Research and Development Program [2011FZ0051, 2012GZ0019]; Radio Administration Bureau of MIIT of China [[2011] 146]; China Institution of Communications [[2011] 051]; Sichuan Key Laboratory of Intelligent Network Information Processing [SGXZD1002-10]	1	0218-4885	2013	WOS:000328946800006
Jia, Chun-Sheng; Chen, Tao; Yi, Liang-Zhong; Lin, Shu-Rong	JOURNAL OF MATHEMATICAL CHEMISTRY	Deformed Rosen-Morse potential model; Tietz potential model; Morse potential model	[Jia, Chun-Sheng] Southwest Petr Univ, State Key Lab Oil & Gas Reservoir Geol & Exploita, Chengdu 610500, Peoples R China; [Chen, Tao; Lin, Shu-Rong] Sichuan Agr Univ, Life & Phys Sci Coll, Yaan 625014, Sichuan, Peoples R China; [Yi, Liang-Zhong] Sichuan Police Coll, Luzhou 646000, Sichuan, Peoples R China	Jia, CS (reprint author), Southwest Petr Univ, State Key Lab Oil & Gas Reservoir Geol & Exploita, Chengdu 610500, Peoples R China.	National Natural Science Foundation of China [10675097]; Natural Science Foundation of the Sichuan Education Bureau of China [11ZA021]; Science Foundation of State Key Laboratory of Oil and Gas Reservoir Geology and Exploitation of China [PLN-ZL001]	15	0259-9791	2013	WOS:000322902800012
Bing, Long; Liang, Weibo; Pi, Jianhua; Zhang, Deming; Yong, Dai; Luo, Haibo; Zhang, Lushun; Lin, Zhang	FORENSIC SCIENCE INTERNATIONAL-GENETICS	DNA; STR; Luzhou; Y-STR; Haplotype	[Bing, Long; Liang, Weibo; Luo, Haibo; Zhang, Lushun; Lin, Zhang] W China Univ Med Sci, Sichuan Univ, Inst Forens Med, Chengdu 610041, Sichuan, Peoples R China; [Bing, Long; Pi, Jianhua; Zhang, Deming; Yong, Dai] Sichuan Police Coll, Dept Forens Med, Luzhou 646000, Sichuan, Peoples R China	Lin, Z (reprint author), W China Univ Med Sci, Sichuan Univ, Inst Forens Med, Chengdu 610041, Sichuan, Peoples R China.	National Natural Science Foundation of China [30801317]; Public Security Bureau of Sichuan Province	18	1872-4973	2013	WOS:000315302000001
Yu, Haibo; Jin, Liji; Dai, Yong; Li, Huaqiang; Xiao, Yi	NEW JOURNAL OF CHEMISTRY		[Yu, Haibo; Xiao, Yi] Dalian Univ Technol, State Key Lab Fine Chem, Dalian 116012, Peoples R China; [Jin, Liji; Li, Huaqiang] Dalian Univ Technol, Sch Life Sci & Technol, Dalian 116024, Peoples R China; [Dai, Yong] Sichuan Police Coll, Dept Criminal Sci & Technol, Luzhou 646000, Peoples R China	Jin, LJ (reprint author), Dalian Univ Technol, Sch Life Sci & Technol, Dalian 116024, Peoples R China.	National Basic Research Program of China [2013CB733702]; Fundamental Research Funds for the Central Universities [DUT11LK4]; Specialized Research Fund for the Doctoral Program of Higher Education [20110041110009]	32	1144-0546	2013	WOS:000319127900006
