AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Yang, Mao; Zhen, Wenjuan; Chen, Hui; Shan, Zhihua	JOURNAL OF BIONIC ENGINEERING	bacterial cellulose; hydroxyapatite nanocomposite; gelatin; scaffold material	[Yang, Mao; Chen, Hui; Shan, Zhihua] Sichuan Univ, Natl Engn Lab Clean Technol Leather Mfg, Chengdu 610065, Peoples R China; [Zhen, Wenjuan] Chengdu Sport Univ, Dept Sports Med, Chengdu 610041, Peoples R China	Shan, ZH (reprint author), Sichuan Univ, Natl Engn Lab Clean Technol Leather Mfg, Chengdu 610065, Peoples R China.	National Science Fund for Distinguished Young Scholars [51243006]	0	1672-6529	2016	WOS:000385691200011
Wang, Xiaoqin; Jin, Yin; Yin, Li	STATISTICAL METHODS IN MEDICAL RESEARCH	collapsibility of treatment effect; treatment effect measure; maximum likelihood estimate; regression model	[Wang, Xiaoqin] Univ Gavle, Dept Elect Math & Nat Sci, Gavle, Sweden; [Jin, Yin] Chengdu Sport Univ, Dept Sports Med, Chengdu, Peoples R China; [Yin, Li] Karolinska Inst, Dept Med Epidemiol & Biostat, Box 281, S-17177 Stockholm, Sweden	Yin, L (reprint author), Karolinska Inst, Dept Med Epidemiol & Biostat, Box 281, S-17177 Stockholm, Sweden.		2	0962-2802	2016	WOS:000385555400003
Serebrovskaya, Tatiana V.; Xi, Lei	EXPERIMENTAL BIOLOGY AND MEDICINE	Intermittent hypoxia; cardioprotection; hypertension; coronary heart disease; heart failure; complementary therapy	[Serebrovskaya, Tatiana V.] Natl Acad Sci Ukraine, Bogomoletz Inst Physiol, Dept Hypoxia, UA-01024 Kiev, Ukraine; [Xi, Lei] Virginia Commonwealth Univ, Div Cardiol, Dept Internal Med, Pauley Heart Ctr, Richmond, VA 23298 USA; [Xi, Lei] Chengdu Sport Univ, Dept Sports Med, Chengdu 610041, Peoples R China	Xi, L (reprint author), Virginia Commonwealth Univ, Div Cardiol, Dept Internal Med, Pauley Heart Ctr, Richmond, VA 23298 USA.; Xi, L (reprint author), Chengdu Sport Univ, Dept Sports Med, Chengdu 610041, Peoples R China.		0	1535-3702	2016	WOS:000382310500009
Huang, Yan-Fei; Zhang, Zheng-Chi; Xu, Jia-Zhuang; Xu, Ling; Zhong, Gan-Ji; He, Ben-Xiang; Li, Zhong-Ming	POLYMER	Ultrahigh molecular weight polyethylene; Wear resistance; Structural manipulation	[Huang, Yan-Fei; Zhang, Zheng-Chi; Xu, Jia-Zhuang; Xu, Ling; Zhong, Gan-Ji; Li, Zhong-Ming] Sichuan Univ, Coll Polymer Sci & Engn, State Key Lab Polymer Mat Engn, Chengdu 610065, Peoples R China; [He, Ben-Xiang] Chengdu Sport Univ, Sport Hosp, Rehabil Ctr, 251 Wuhou Temple St, Chengdu, Peoples R China	Xu, JZ; Xu, L; Li, ZM (reprint author), Sichuan Univ, Coll Polymer Sci & Engn, State Key Lab Polymer Mat Engn, Chengdu 610065, Peoples R China.	Program of National Natural Science of China [51421061, 51533004, 51273028, 51403139]; Sichuan Youth Science and Technology Innovation Research Team [2014TD0002]; Outstanding Youth Talent Program of State Key Laboratory of Polymer Materials Engineering [sklpme2014-3-08]	1	0032-3861	2016	WOS:000373303800024
Xia, Zhi; Cholewa, Jason; Zhao, Yan; Yang, Yue-Qin; Shang, Hua-Yu; Guimaraes-Ferreira, Lucas; Naimo, Marshall Alan; Su, Quan-Sheng; Zanchi, Nelo Eidy	NUTRIENTS	leucine-rich diet; aerobic exercise; aging; protein metabolism	[Xia, Zhi; Zhao, Yan] Jinggangshan Univ, Coll Phys Educ, Exercise Physiol & Biochem Lab, Jian 343009, Jiangxi, Peoples R China; [Xia, Zhi; Yang, Yue-Qin] Wuhan Sports Univ, Exercise Intervent & Hlth Promot Hubei Prov Syner, Wuhan 430079, Peoples R China; [Cholewa, Jason] Coastal Carolina Univ, Dept Kinesiol, Conway, SC 29528 USA; [Shang, Hua-Yu] Beijing Sport Univ, Dept Exercise Physiol, Exercise Physiol Lab, Beijing 100084, Peoples R China; [Guimaraes-Ferreira, Lucas] Univ Fed Espirito Santo, Ctr Phys Educ & Sports, Muscle Physiol & Human Performance Res Grp, BR-29075810 Vitoria, ES, Brazil; [Naimo, Marshall Alan] W Virginia Univ, Div Exercise Physiol, Sch Med, Morgantown, WV 26506 USA; [Su, Quan-Sheng] Chengdu Sport Univ, Dept Sports Med, Chengdu 610041, Peoples R China; [Zanchi, Nelo Eidy] Fed Univ Maranhao UFMA, Dept Phys Educ, BR-65020070 Sao Luis, MA, Brazil; [Zanchi, Nelo Eidy] Lab Cellular & Mol Biol Skeletal Muscle LABCEMME, BR-65020070 Sao Luis, MA, Brazil	Zanchi, NE (reprint author), Fed Univ Maranhao UFMA, Dept Phys Educ, BR-65020070 Sao Luis, MA, Brazil.; Zanchi, NE (reprint author), Lab Cellular & Mol Biol Skeletal Muscle LABCEMME, BR-65020070 Sao Luis, MA, Brazil.	Jiangxi Province Science Foundation for Youths [20142BAB215048]; Scientific Research Foundation for PhD in Jinggangshan University [JZB15014]	0	2072-6643	2016	WOS:000378780900007
Kuriakose, Robin K.; Kukreja, Rakesh C.; Xi, Lei	OXIDATIVE MEDICINE AND CELLULAR LONGEVITY		[Kuriakose, Robin K.; Kukreja, Rakesh C.; Xi, Lei] Virginia Commonwealth Univ, Dept Internal Med, Div Cardiol, Pauley Heart Ctr, Med Coll Virginia Campus, Richmond, VA 23298 USA; [Xi, Lei] Chengdu Sport Univ, Sch Sports Med & Hlth, Chengdu 610041, Peoples R China	Xi, L (reprint author), Virginia Commonwealth Univ, Dept Internal Med, Div Cardiol, Pauley Heart Ctr, Med Coll Virginia Campus, Richmond, VA 23298 USA.; Xi, L (reprint author), Chengdu Sport Univ, Sch Sports Med & Hlth, Chengdu 610041, Peoples R China.	Virginia Commonwealth University School of Medicine; National Institutes of Health [R37HL51045, R01HL118808]	0	1942-0900	2016	WOS:000386835300001
Wang, Chun; Duan, Shan; Lv, Guoli; Lai, Xiaoping; Chen, Rui; Lin, Hanguang; Qiu, Shengyuan; Tang, Jianpin; Kuang, Wenjian; Xu, Chuanchao	FORENSIC SCIENCE INTERNATIONAL	Forensic science; Forensic bioinformatics; Sudden unexplained death syndrome (SUDS); Second-generation sequencing; Exome; Disease mutations	[Wang, Chun] Chengdu Sport Univ, Chengdu 610041, Sichuan, Peoples R China; [Duan, Shan] Shenzhen Res Inst Populat & Family Planning, Shenzhen 518040, Guangdong, Peoples R China; [Lv, Guoli] Guangzhou Inst Forens Sci, Guangzhou 510030, Guangdong, Peoples R China; [Lai, Xiaoping; Chen, Rui; Lin, Hanguang; Qiu, Shengyuan; Tang, Jianpin; Kuang, Wenjian; Xu, Chuanchao] Guangdong Med Coll, Dongguan 523808, Guangdong, Peoples R China	Xu, CC (reprint author), Guangdong Med Coll, Dept Forens Sci, 1 Xin Cheng Rd, Dongguan 523808, Guangdong, Peoples R China.	Sichuan Provincial Science and Technology Platform project; Guangdong Science and Technology Program [2011B080701097]; Guangdong Medical College [XB1006]	3	0379-0738	2015	WOS:000368011500005
Chan, Derwin King Chung; Yang, Sophie Xin; Hamamura, Takeshi; Sultan, Sarwat; Xing, Suxuan; Chatzisarantis, Nikos L. D.; Hagger, Martin S.	MOTIVATION AND EMOTION	Self-determination theory; Theory of planned behaviour; Cross-cultural study; After-class revision; Self-efficacy; Multi-group structural equation modeling	[Chan, Derwin King Chung] Univ Hong Kong, Inst Human Performance, Hong Kong, Hong Kong, Peoples R China; [Yang, Sophie Xin] Sichuan Univ, Sch Business, Chengdu 610064, Peoples R China; [Chan, Derwin King Chung; Hamamura, Takeshi; Sultan, Sarwat; Chatzisarantis, Nikos L. D.; Hagger, Martin S.] Curtin Univ, Sch Psychol & Speech Pathol, Perth, WA 6845, Australia; [Sultan, Sarwat] Bahauddin Zakariya Univ, Sch Appl Psychol, Multan, Pakistan; [Xing, Suxuan] Chengdu Sport Univ, Chengdu, Peoples R China	Chan, DKC (reprint author), Univ Hong Kong, Inst Human Performance, Hong Kong, Hong Kong, Peoples R China.	International Research Scholarship of University of Nottingham	1	0146-7239	2015	WOS:000363253500005
He, Duhong; Zheng, Chengbin; Wang, Qiang; He, Chunlin; Lee, Yong-Ill; Wu, Li; Hou, Xiandeng	TALANTA	Carbon quantum dots; Dielectric barrier discharge; Fluorescent probes; Hydrogen peroxide; Glucose	[He, Duhong; Zheng, Chengbin; He, Chunlin; Hou, Xiandeng] Sichuan Univ, Coll Chem, Key Lab Green Chem & Technol MOE, Chengdu 610064, Sichuan, Peoples R China; [Wang, Qiang] Chengdu Sport Univ, Sport Hosp, Chengdu 610041, Sichuan, Peoples R China; [Lee, Yong-Ill] Changwon Natl Univ, Dept Chem, Changwan 641773, South Korea; [Wu, Li; Hou, Xiandeng] Sichuan Univ, Analyt & Testing Ctr, Chengdu 610064, Sichuan, Peoples R China	Wu, L (reprint author), Sichuan Univ, Analyt & Testing Ctr, Chengdu 610064, Sichuan, Peoples R China.	Projects of International Science and Technology Cooperation and Exchanges of Sichuan Province of China [2014HH0021]	10	0039-9140	2015	WOS:000356997700007
Wang, Lu; Deng, Wenqian; Yuan, Qiongjia; Yang, Huijun	PAKISTAN JOURNAL OF PHARMACEUTICAL SCIENCES	exercise preconditioning; cerebral infarction; ischemia reperfusion; HIF-1 alpha	[Wang, Lu; Yang, Huijun] Sichuan Univ, Dept Human Anat, West China Sch, Preclin & Forens Med Inst, Chengdu 610064, Sichuan, Peoples R China; [Wang, Lu; Deng, Wenqian; Yuan, Qiongjia] Chengdu Sport Univ, Dept Sports Med, Chengdu, Sichuan, Peoples R China; [Deng, Wenqian] Sichuan Univ, Dept Radiol, West China Sch Med, West China Hosp, Chengdu 610064, Sichuan, Peoples R China	Yang, HJ (reprint author), Sichuan Univ, Dept Human Anat, West China Sch, Preclin & Forens Med Inst, Chengdu 610064, Sichuan, Peoples R China.	National Natural Science Foundation of China [81301195]; Research Project of Chengdu Sport University [13YJ01]	0	1011-601X	2015	WOS:000358108800022
