PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Zeng, FW				Zeng Fanwei			An evaluation of residents' perceptions of the creation of a geopark: a case study on the geopark in Mt. Huaying Grand Canyon, Sichuan Province, China	ENVIRONMENTAL EARTH SCIENCES			English	Article						Geopark; Residents' perceptions; Impact factor; Analytic hierarchy process; Evaluation system	TOURISM	In recent years, geoparks (a geoheritage effort to protect geological features) have been vigorously promoted in China and abroad. The evaluation of a geopark is important for geopark development. However, current evaluation methods focus on geoheritage and their values, and often ignore residents' situations, even though community participation is essential to the sustainable development of geoparks. In this paper, the Mt. Huaying Grand Canyon Geological Park was selected as a study area to evaluate resident's perceptions of the park. Perception impact factors were selected from the perspective of the park residents. Quantitative evaluation models, based on data from questionnaires, were created using the hierarchy process model and expert evaluation method. The results showed that the following factors influenced residents' perceptions, listed from the most significant to the least: residents' understanding of geoheritage, participation level in commercial activities, participation level in planning decisions, satisfaction level regarding benefit distribution and level of participation willingness. It was found that residents' level of understanding of geoheritage and their participation level in planning decisions were the main reasons for poorer perceptions of geoheritage. The keys to improving residents' perceptions of geoheritage are to change the management system, implement people-centered policies and to establish a government-led management mode that encourages community participation and involves private business contracts.	[Zeng Fanwei] Chengdu Univ Technol, State Key Lab Geohazard Prevent & Geoenvironm Pro, Chengdu 610059, Peoples R China; [Zeng Fanwei] Chengdu Univ Technol, Coll Earth Sci, Chengdu 610059, Peoples R China; [Zeng Fanwei] Land & Resources Dept Sichuan Prov, Dept Environm Geol, Chengdu 610072, Peoples R China	Zeng, FW (reprint author), Chengdu Univ Technol, State Key Lab Geohazard Prevent & Geoenvironm Pro, Chengdu 610059, Peoples R China.	152325786@qq.com			National Natural Science Foundation of China [41101348]	This research was financially supported by the National Natural Science Foundation of China (41101348).		22	0	0	4	26	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	1866-6280	1866-6299		ENVIRON EARTH SCI	Environ. Earth Sci.	FEB	2014	71	3					1453	1463		10.1007/s12665-013-2550-5		11	Environmental Sciences; Geosciences, Multidisciplinary; Water Resources	Environmental Sciences & Ecology; Geology; Water Resources	295NZ	WOS:000330124100041		
J	Tian, XF; Gao, T; Xiao, HX; Lu, CH				Tian, X. F.; Gao, T.; Xiao, H. X.; Lu, C. H.			Dynamical simulations of displacement cascades near symmetrical tilt grain boundaries in UO2	INDIAN JOURNAL OF PHYSICS			English	Article						Uranium dioxide; Molecular dynamics; Grain boundaries; Cascade	MOLECULAR-DYNAMICS; URANIUM-DIOXIDE; RECOIL NUCLEUS; DAMAGE; DIFFUSION	Collision cascades near symmetrical tilt grain boundaries in UO2 have been investigated at energy of 5 keV. Primary knock-on atom with a distance of 3.5 nm from grain boundaries has been accelerated towards and perpendicular to the interface. Evolvement of the cascade is tracked employing classical molecular dynamics. Time evolution of the number of displaced atoms, Frenkel pairs and replacement atoms created by cascade is given. Simulations suggest that misorientation angle of the grain boundary has no effect on the final number of displaced atoms and replacement atoms. Additionally, final spatial distribution of displaced atoms at the end of the simulations has been investigated.	[Tian, X. F.; Lu, C. H.] Chengdu Univ Technol, Coll Nucl Technol & Automat Engn, Chengdu, Peoples R China; [Gao, T.] Sichuan Univ, Inst Atom & Mol Phys, Chengdu 610064, Peoples R China; [Xiao, H. X.] Nucl Power Inst China, Natl Key Lab Nucl Fuel & Mat, Chengdu, Peoples R China	Tian, XF (reprint author), Chengdu Univ Technol, Coll Nucl Technol & Automat Engn, Chengdu, Peoples R China.	txf8378@163.com			National Natural Science Foundation of China [11205146]	This work bas been supported by the National Natural Science Foundation of China ( Grant No. 11205146).		25	1	1	0	10	INDIAN ASSOC CULTIVATION SCIENCE	KOLKATA	INDIAN J PHYSICS, JADAVPUR, KOLKATA 700 032, INDIA	0973-1458	0974-9845		INDIAN J PHYS	Indian J. Phys.	FEB	2014	88	2					137	143		10.1007/s12648-013-0400-7		7	Physics, Multidisciplinary	Physics	291LJ	WOS:000329829900004		
J	Huang, Y; Ni, SJ; Zou, F; Zhang, W; Chen, Y				Huang, Yi; Ni, Shi-jun; Zou, Fang; Zhang, Wei; Chen, Ying			The phase diagrams of the CdCl2-NaCl-H2O system at 298 K	RUSSIAN JOURNAL OF PHYSICAL CHEMISTRY A			English	Article						cadmium; ternary system; isothermal method; solid-liquid equilibria	AVAILABILITY	Solid-liquid equilibrium of ternary system Cd2+, Na+//Cl--H2O at 298 K were studied by an isothermal solution saturation method. Experimental results indicate that there are three univariant curves AE, EF, and FB, two invariant points E, F, and three crystallization fields in the ternary system. The ternary system has one double salt Na2CdCl4 center dot 3H(2)O. The crystallization zones of equilibrium solid phases are CdCl2 center dot H2O (AEG field), Na2CdCl4 center dot 3H(2)O (EFM field), and NaCl (FBN field), respectively. The composition of the invariant point E is CdCl2 center dot H2O and Na2CdCl4 center dot 3H(2)O of which content was 52.70 and 4.11%, respectively. The composition of the invariant point F is Na2CdCl4 center dot 3H(2)O and NaCl of which content was 27.92 and 14.95%, respectively. The density of solution in the ternary system show regular changes along with the increased cadmium concentration. The results indicated that CdCl2 center dot H2O possessed the highest solubility among those three salts, which means a strong transfer of Cd ion and a high pollution risk of soil environment. And the solubility of NaCl would be restrained as the three salts existing together.	[Huang, Yi; Ni, Shi-jun; Zhang, Wei; Chen, Ying] Chengdu Univ Technol, Dept Geochem, Chengdu 610059, Peoples R China; [Zou, Fang] Chengdu Univ Technol, Coll Mat & Chem & Chem Engn, Chengdu 610059, Peoples R China	Huang, Y (reprint author), Chengdu Univ Technol, Dept Geochem, Chengdu 610059, Peoples R China.	hy1425@yahoo.com.cn			National Natural Science Foundation of China [41273124]; Education Department in Sichan, China [KZT011]; State Key Laboratory of Environmental Geochemistry, Institute of Geochemistry Chinese Academy of Sciences, Guyang, PRC	This project was supported by National Natural Science Foundation of China (grant no. 41273124), Major Project of Education Department in Sichan, China (KZT011) and the fund from State Key Laboratory of Environmental Geochemistry, Institute of Geochemistry Chinese Academy of Sciences, Guyang, PRC.		16	0	0	1	4	MAIK NAUKA/INTERPERIODICA/SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013-1578 USA	0036-0244	1531-863X		RUSS J PHYS CHEM A+	Russ. J. Phys. Chem. A	FEB	2014	88	2					243	245		10.1134/S0036024414020344		3	Chemistry, Physical	Chemistry	283NW	WOS:000329253800009		
J	Huang, ZW; Shao, ZH; Deng, F; Xu, XD				Huang, Zhengwen; Shao, Zehui; Deng, Fei; Xu, Xiaodong			On Sequences Without k-Term Geometric Progressions	JOURNAL OF COMPUTATIONAL AND THEORETICAL NANOSCIENCE			English	Article						Geometric Progression; Computer Search; Integer Linear Programming	SETS	Let k >= 2, a k-term geometric progression, also called a k-GP, is a sequence of positive integers {a(1), a(2), ... ,a(k)} such that there is a non-zero number r with the property that a(i+1) = a(i)r for i = 1, 2, ... , k - 1. For positive integers n and k, let g(k)(n) be the size of the largest subset of {1, 2, ... , n} without geometric progressions of length k. Rankin in 1960 suggested looking at sequences without k-term geometric progressions, and constructed such sequences for each k with positive density. In this paper, we present techniques to find large k-GP free sets of {1, 2, ... , n}, and give empirical results obtained by coding up those techniques. Moreover, iterated rounding approximation algorithm is used to obtain lower bounds and the experimental results show that it produces better lower bounds than previous greedy lower bounds.	[Huang, Zhengwen] Chengdu Univ, Sch Uran & Rural Construct, Sichuan Changcheng Res Acad Environm Sci, Chengdu 610106, Peoples R China; [Shao, Zehui] Chengdu Univ, Sch Informat Sci & Technol, Chengdu 610106, Peoples R China; [Deng, Fei] Chengdu Univ Technol, Coll Informat Sci & Technol, Chengdu 610059, Peoples R China; [Xu, Xiaodong] Guangxi Acad Sci, Nanning 530007, Guangxi, Peoples R China	Huang, ZW (reprint author), Chengdu Univ, Sch Uran & Rural Construct, Sichuan Changcheng Res Acad Environm Sci, Chengdu 610106, Peoples R China.			Deng, Fei/0000-0002-2218-0853				16	0	0	0	2	AMER SCIENTIFIC PUBLISHERS	VALENCIA	26650 THE OLD RD, STE 208, VALENCIA, CA 91381-0751 USA	1546-1955	1546-1963		J COMPUT THEOR NANOS	J. Comput. Theor. Nanosci.	FEB	2014	11	2					358	362		10.1166/jctn.2014.3361		5	Chemistry, Multidisciplinary; Nanoscience & Nanotechnology; Materials Science, Multidisciplinary; Physics, Applied; Physics, Condensed Matter	Chemistry; Science & Technology - Other Topics; Materials Science; Physics	264TJ	WOS:000327903600011		
J	Qiu, N; Cheng, X; Wang, GC; Wang, WW; Wen, JL; Zhang, YK; Song, H; Ma, L; Wei, YQ; Peng, AH; Chen, LJ				Qiu, Neng; Cheng, Xia; Wang, Guangcheng; Wang, Wenwen; Wen, Jiaolin; Zhang, Yongkui; Song, Hang; Ma, Liang; Wei, Yuquan; Peng, Aihua; Chen, Lijuan			Inclusion complex of barbigerone with hydroxypropyl-beta-cyclodextrin: Preparation and in vitro evaluation	CARBOHYDRATE POLYMERS			English	Article						Barbigerone; Hydroxypropyl-beta-cyclodextrin; Inclusion complex; Solubility; Characterization; Anti-cancer	USARAMENSIS SUBSPECIES USARAMENSIS; PHARMACEUTICAL APPLICATIONS; SARCOLOBUS-GLOBOSUS; ROTENOIDS; ISOFLAVONES; SOLUBILIZATION; SYSTEM; MODE; NMR	The aim of this study was to improve the water solubility of barbigerone by complexing it with hydroxypropyl-beta-cyclodextrin (HP-beta-CD). The inclusion complexation behavior, characterization and interactions of barbigerone with HP-beta-CD were investigated in both solution and the solid state by means of UV/VIS, H-1 NMR, FT-IR, PXRD, SEM. All the characterization information demonstrated the formation of barbigerone-HP-beta-CD (bar-HP-beta-CD) inclusion complex, and the bar-HP-beta-CD inclusion compounds exhibited different spectroscopic features and properties from barbigerone. The results demonstrated that the water solubility of barbigerone was notably increased in the presence of HP-beta-CD. Furthermore, preliminary in vitro cytotoxicity assay showed that bar-HP-beta-CD still maintain the anticancer activity of barbigerone. These results suggest that HP-beta-CD will be potentially useful in the delivery of water-insoluble anticancer agents such as barbigerone. (C) 2013 Elsevier Ltd. All rights reserved.	[Qiu, Neng; Cheng, Xia; Wang, Guangcheng; Wang, Wenwen; Wen, Jiaolin; Ma, Liang; Wei, Yuquan; Peng, Aihua; Chen, Lijuan] Sichuan Univ, West China Med Sch, West China Hosp, State Key Lab Biotherapy, Chengdu 610041, Peoples R China; [Qiu, Neng; Zhang, Yongkui; Song, Hang] Sichuan Univ, Sch Chem Engn, Dept Biopharmaceut Engn, Chengdu 610065, Peoples R China; [Qiu, Neng] Chengdu Univ Technol, Coll Mat & Chem & Chem Engn, Chengdu 610059, Peoples R China	Chen, LJ (reprint author), Sichuan Univ, West China Med Sch, West China Hosp, State Key Lab Biotherapy, Chengdu 610041, Peoples R China.	lijuan17@hotmail.com			National Key Technologies R&D Program of China [2012ZX09103101-009]	This work was supported by the National Key Technologies R&D Program of China (2012ZX09103101-009)		22	21	23	7	30	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0144-8617	1879-1344		CARBOHYD POLYM	Carbohydr. Polym.	JAN 30	2014	101						623	630		10.1016/j.carbpol.2013.09.035		8	Chemistry, Applied; Chemistry, Organic; Polymer Science	Chemistry; Polymer Science	300WN	WOS:000330494800078	24299819	
J	Liu, HF; Wang, SQ; Li, KH; Yin, M; Li, WZ; Miao, JQ; Hou, JJ				Liu, Hai-Feng; Wang, Shi-Qing; Li, Ke-Hua; Yin, Ming; Li, Wen-Zhong; Miao, Jia-Qing; Hou, Jing-Jing			Heating of ions with a Kappa velocity distribution by a non-resonant Alfven wave	PHYSICS LETTERS B			English	Article							SOLAR-WIND; CYCLOTRON FREQUENCY; SPACE PLASMAS; KINETIC-MODEL; ACCELERATION; CORONA; EQUILIBRIUM	In this study, the heating of ions with a Kappa (kappa) velocity distribution by an Alfven wave propagating along an external magnetic field via.non-resonant wave-particle interactions in low-beta plasmas is investigated by means of both quasilinear theory and test-particle simulation. The kappa velocity distribution is most suitable for describing a non-thermal distribution with an enhanced high-energy tail and includes the Boltzmann distribution as a limiting case. Because of the thermal non-equilibrium factor (kappa factor), the heating effect of kappa ions is weaker than that of Boltzmann ions, and when kappa -> infinity, the heating effects become identical. It is determined that the ion pickup increases as the kappa parameter increases, and the heating is dominant in the perpendicular (to the background magnetic field) direction. Subsequently, during the heating process, ions are also accelerated in the parallel direction. This phenomenon may have relevance to the heating of ions in the solar corona and to ion heating in some toroidal-confinement fusion devices. (C) 2013 The Authors. Published by Elsevier B.V. All rights reserved.	[Liu, Hai-Feng; Wang, Shi-Qing; Hou, Jing-Jing] Southwestern Inst Phys, Chengdu 610041, Peoples R China; [Liu, Hai-Feng; Wang, Shi-Qing; Li, Ke-Hua; Yin, Ming; Li, Wen-Zhong; Miao, Jia-Qing] Chengdu Univ Technol, Engn & Tech Coll, Leshan 614000, Peoples R China	Liu, HF (reprint author), Southwestern Inst Phys, Chengdu 610041, Peoples R China.	blessingfeng@gmail.com; lkh07392006@163.com						38	6	6	3	7	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0370-2693	1873-2445		PHYS LETT B	Phys. Lett. B	JAN 20	2014	728						165	169		10.1016/j.physletb.2013.11.018		5	Astronomy & Astrophysics; Physics, Nuclear; Physics, Particles & Fields	Astronomy & Astrophysics; Physics	301TW	WOS:000330556000029		
J	Sang, SH; Zhang, H; Zhong, SY; Hu, JW; Sun, ML				Sang, Shi-Hua; Zhang, Hai; Zhong, Si-Yao; Hu, Jia-Wen; Sun, Ming-Liang			Experimental study of the solubilities of salts in the systems Na2B4O7-NaBr-H2O and Na2B4O7-Na2SO4-NaBr-H2O at 323 K	FLUID PHASE EQUILIBRIA			English	Article						Phase equilibrium; Sodium borate; Sodium sulfate; Sodium bromide; Solubility	CHEMICAL-EQUILIBRIUM MODEL; SOLID-LIQUID EQUILIBRIA; METASTABLE EQUILIBRIA; SOLUTION BEHAVIOR; PHASE-EQUILIBRIA; DENOTES MOLALITY; NA+; TEMPERATURE; 25-DEGREES-C; SO42	The solid-liquid equilibria in quaternary system Na2B4O7-Na2SO4-NaBr-H2O and its ternary subsystem Na2B4O7-NaBr-H2O at 323 K were studied with the method of isothermal solution saturation. The solubilities of salts and equilibrium solid phases in the two systems were determined. The solubility diagram of the ternary system has one invariant point, two univariant curves and two fields of crystallization [Na(2)B(4)O7 center dot 10H(2)O and NaBr center dot 2H(2)O]. The solubility diagram of the quaternary system has one invariant point, three univariant curves, and three crystallization fields, where the equilibrium solids are Na2B4O7 center dot 10H(2)O, Na2SO4 and NaBr center dot 2H(2)O, respectively. According to our experimental data, the solubility of NaBr center dot 2H(2)O is highest among the three salts, and that of Na2B4O7 center dot 10H(2)O is lowest. Therefore, the field of crystallization of Na2B4O7 center dot 10H(2)O(s) in ternary or quaternary system is larger than others. The addition of sodium bromide leads to rapid decrease of the solubility of Na2B4O7 center dot 10H(2)O(s). (C) 2013 Elsevier B.V. All rights reserved.	[Sang, Shi-Hua; Zhong, Si-Yao; Sun, Ming-Liang] Chengdu Univ Technol, Coll Mat Chem & Chem Engn, Chengdu 610059, Sichuan, Peoples R China; [Sang, Shi-Hua; Zhong, Si-Yao; Hu, Jia-Wen] Chengdu Univ Technol, State Key Lab Oil & Gas Reservoir Geol & Exploita, Chengdu 610059, Sichuan, Peoples R China; [Zhang, Hai] Chengdu Univ Technol, Dept Geochem, Chengdu 610059, Sichuan, Peoples R China; [Hu, Jia-Wen] Shijiazhuang Univ Econ, Coll Resources, Shijiazhuang 050031, Hebei, Peoples R China	Sang, SH (reprint author), Chengdu Univ Technol, Coll Mat Chem & Chem Engn, Chengdu 610059, Sichuan, Peoples R China.	sangsh@cdut.edu.cn			State Key Laboratory of Oil and Gas Reservoir Geology and Exploitation (Chengdu University of Technology) [PLC201001, PLC201204]; National Natural Science Foundation of China [41373062, 40973047, 41172118]; Specialized Research Fund for the Doctoral Program of Higher Education of China [20125122110015]	This project was supported by Open Funds (PLC201001 & PLC201204) of the State Key Laboratory of Oil and Gas Reservoir Geology and Exploitation (Chengdu University of Technology), the National Natural Science Foundation of China (41373062, 40973047 & 41172118), and the Specialized Research Fund (20125122110015) for the Doctoral Program of Higher Education of China.		45	11	12	0	12	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0378-3812	1879-0224		FLUID PHASE EQUILIBR	Fluid Phase Equilib.	JAN 15	2014	361						171	174		10.1016/j.fluid.2013.10.047		4	Thermodynamics; Chemistry, Physical; Engineering, Chemical	Thermodynamics; Chemistry; Engineering	AA5RG	WOS:000331156700018		
J	Jia, TT; Lu, CH; Zhang, YF; Chen, WK				Jia, Tian-Tian; Lu, Chun-Hai; Zhang, Yong-Fan; Chen, Wen-kai			A comparative study of CO catalytic oxidation on Pd-anchored graphene oxide and Pd-embedded vacancy graphene	JOURNAL OF NANOPARTICLE RESEARCH			English	Article						Pd; Graphene oxide; CO catalytic oxidation; DFT; Atmospheric pollution	LOW-TEMPERATURE OXIDATION; GOLD NANOPARTICLE; CARBON NANOTUBES; GRAPHITE OXIDE; METAL ATOMS; ADSORPTION; CHEMISORPTION; DEPENDENCE; DEPOSITION; SURFACES	The catalytic oxidation of CO on Pd-anchored graphene oxide (Pd-GO) and Pd-embedded vacancy graphene (Pd-VG) is investigated by density functional theory calculations. The results validate both Pd-GO and Pd-VG show good catalytic performance for CO oxidation. Meanwhile, the more positive charge for Pd adatom and the lower reaction energy barrier make Pd-VG system slightly superior than Pd-GO system in catalytic performance. The reaction proceeds via Langmuir-Hinshelwood mechanism with a two-step route (CO + O-2 -> OOCO -> CO2 + O), followed by the Eley-Rideal mechanism (CO + O -> CO2). However, the synthesis of Pd-VG is more difficult in experiments compared with the readily available Pd-GO. Hence, graphene oxide may serve as the alternative substrate to deposit Pd nanoparticles.	[Jia, Tian-Tian; Zhang, Yong-Fan; Chen, Wen-kai] Fuzhou Univ, Dept Chem, Fuzhou 350116, Peoples R China; [Lu, Chun-Hai] Chengdu Univ Technol, Coll Appl Nucl Technol & Automat Engn, Chengdu 610059, Peoples R China; [Chen, Wen-kai] Fuzhou Univ, Res Inst Photocatalysis, State Key Lab Photocatalysis Energy & Environm, Fuzhou 350002, Peoples R China	Chen, WK (reprint author), Fuzhou Univ, Res Inst Photocatalysis, State Key Lab Photocatalysis Energy & Environm, Fuzhou 350002, Peoples R China.	wkchen@fzu.edu.cn	Chen, Wen-Kai/G-9746-2011		Foundation of State Key Laboratory of Coal Combustion of Huazhong University of Science and Technology [FSKLCC1110]; Natural Science Foundation of Fujian Province, China [2012J01041]	The Project was supported by the Foundation of State Key Laboratory of Coal Combustion of Huazhong University of Science and Technology (FSKLCC1110) and the Natural Science Foundation of Fujian Province, China (2012J01041).		50	7	8	4	81	SPRINGER	DORDRECHT	VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS	1388-0764	1572-896X		J NANOPART RES	J. Nanopart. Res.	JAN 12	2014	16	2							2206	10.1007/s11051-013-2206-0		11	Chemistry, Multidisciplinary; Nanoscience & Nanotechnology; Materials Science, Multidisciplinary	Chemistry; Science & Technology - Other Topics; Materials Science	288ON	WOS:000329621400001		
J	Wang, Z; Huang, RQ; Pei, SP				Wang, Zhi; Huang, Runqiu; Pei, Shunping			Crustal deformation along the Longmen-Shan fault zone and its implications for seismogenesis	TECTONOPHYSICS			English	Article						Crustal deformation; Longmen-Shan fault zone; Seismogenesis; Continental colliding; Crustal channel flow	2008 WENCHUAN EARTHQUAKE; QINGHAI-TIBET PLATEAU; VELOCITY STRUCTURE; SOUTHWEST CHINA; SOUTHERN TIBET; UPPER-MANTLE; SOURCE AREA; FLOW; BENEATH; FLUIDS	The Longmen-Shan fault zone, at the eastern margin of the Tibetan Plateau, is one of the most extensively studied areas in the world, yet the deformation model and earthquake-generating mechanism remain subjects of vigorous debate. This paper presents a new three-dimensional (3-D) velocity model determined using a large volume of seismic data and two-dimensional (2-D) magnetotelluric (MT) profiles from previous studies, to investigate the mechanisms of crustal deformation and earthquake generation along the reverse-thrust and strike-slip fault zone. It has been observed that low-velocity, and low-resistivity anomalies related to the Sichuan foreland basin, is in sharp contrast to high-velocity and high-resistivity anomalies in the Songpan-Ganze block in the upper crust. The tomographic model presented here reveals two crustal bodies with low-velocity and high-conductivity anomalies underneath the Longmen-Shan fault zone, separated into three contrasting segments by the two crustal bodies. The two low-velocity and low-resistivity bodies have been interpreted as being associated with extrusion of either fluids or products of partial melting from the lower crust and/or the upper mantle. This suggests strong variations in the rheological strength of the rock along the fault zone. This finding implies that coupling between these presumably fluid-bearing bodies and earthquake generation could be extremely complex and that there is dramatic variation from the southwestern area to the northeastern segment along the fault belt It is suggested here that this complex and variable deformation system along the fault zone played a principal role in controlling seismic generation and rupturing during the 2008 Wenchuan earthquake (Ms 8.0) and that it will do so again during possible future earthquakes in the region. (C) 2014 Elsevier B.V. All rights reserved.	[Wang, Zhi] Chinese Acad Sci, South China Sea Inst Oceanol, Key Lab Marginal Sea Geol, Guangzhou 510301, Guangdong, Peoples R China; [Huang, Runqiu] Chengdu Univ Technol, Key Lab Geohazard Prevent & Geoenvironm Protect, Chengdu 610059, Peoples R China; [Pei, Shunping] Chinese Acad Sci, Inst Tibetan Plateau Res, Beijing 100085, Peoples R China	Wang, Z (reprint author), Chinese Acad Sci, South China Sea Inst Oceanol, Key Lab Marginal Sea Geol, Guangzhou 510301, Guangdong, Peoples R China.	mike-wang@sohu.com	Wang, Zhi/A-2514-2010	Wang, Zhi/0000-0002-2795-1565	NSFC [41372229, 40974024, 40872148, 40839909]; Chengdu University of Technology; State Key Laboratory of Geohazard Prevention and Geoenvironment Protection;  [KYTD201002];  [2010JQ0033];  [201151220007]	We thank Prof. A. Yin and two anonymous reviewers for their constructive comments in improving the manuscript. We benefited from the full discussions with Profs. B. Burchfiel and Y. Fukao. Arrival time data from the Earthquake Bureaus of Sichuan and Yunnan provinces are used for imaging the three-dimensional seismic structures. The tomographic method of Zhao et al. (1996) is used for imaging the seismic structures. This work was partially supported by the grants of NSFC (41372229, 40974024, 40872148, 40839909) and the research grants (KYTD201002, 2010JQ0033, 201151220007) to Dr. Wang. We are also grateful to the Cultivating Programme of excellent innovation team of Chengdu University of Technology and Opening fund of State Key Laboratory of Geohazard Prevention and Geoenvironment Protection for supporting this work.		51	6	6	1	15	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0040-1951	1879-3266		TECTONOPHYSICS	Tectonophysics	JAN 6	2014	610						128	137		10.1016/j.tecto.2013.11.004		10	Geochemistry & Geophysics	Geochemistry & Geophysics	AA5RD	WOS:000331156400009		
J	Lang, XH; Tang, JX; Li, ZJ; Huang, Y; Ding, F; Yang, HH; Xie, FW; Zhang, L; Wang, Q; Zhou, Y				Lang, Xinghai; Tang, Juxing; Li, Zhijun; Huang, Yong; Ding, Feng; Yang, Huanhuan; Xie, Fuwei; Zhang, Li; Wang, Qin; Zhou, Yun			U-Pb and Re-Os geochronological evidence for the Jurassic porphyry metallogenic event of the Xiongcun district in the Gangdese porphyry copper belt, southern Tibet, PRC	JOURNAL OF ASIAN EARTH SCIENCES			English	Article						Geochronology; Xiongcun; Gangdese; Tibet; Porphyry copper-gold deposit	VOLCANIC-ROCKS; GEOLOGICAL SIGNIFICANCE; STRUCTURAL EVOLUTION; ISOTOPIC CONSTRAINTS; MOLYBDENUM DEPOSIT; ISLAND ARCS; EL SALVADOR; MO DEPOSIT; MINERALIZATION; PETROGENESIS	Two large copper-gold porphyry deposits (No.I and No.II) were discovered in the last decade within the Xiongcun district, which is located along the south margin of the Gangdese porphyry copper belt. These two deposits are hosted by two porphyries that were emplaced into the Early Jurassic volcano-sedimentary rock sequences of the Xiongcun Formation. The porphyries are both quartz diorite bodies, with one of these distinguished by its large quartz eyes. Our new molybdenite Re-Os and zircon U-Pb dates for No.I and No.II deposits and host intrusions reveal the presence of two Middle Jurassic ore-forming episodes in the Xiongcun district. The No.II deposit is related to the 181-175 Ma quartz diorite porphyry and formed ca. 172.6 +/- 2.1 Ma. The No.I deposit is related to the 167-161 Ma quartz diorite porphyry with large quartz eyes and formed ca. 161.5 +/- 2.7 Ma. Geochronological and geochemical features of the Jurassic ore-bearing porphyries in the Xiongcun district indicate that the porphyry copper-gold mineralization formed in an island arc setting, which is related to the northward subduction of the Neo-Tethys oceanic plate. These observations, in combination with geochronological data reported at Gangdese porphyry copper belt, indicated four major metallogenic events existed in the Gangdese porphyry copper belt at 172-161 Ma, 65-48 Ma, 40-23 Ma, and 20-12 Ma. We have identified two mineralization episodes comprise Middle Jurassic metallogenic event (172-161 Ma) in the Xiongcun district, which provides new constrains for the Middle Jurassic metallogenic event in the Gangdese porphyry copper belt. Crown Copyright (C) 2013 Published by Elsevier Ltd. All rights reserved.	[Lang, Xinghai; Li, Zhijun; Huang, Yong; Ding, Feng; Yang, Huanhuan; Xie, Fuwei; Wang, Qin] Chengdu Univ Technol, Coll Earth Sci, Chengdu, Peoples R China; [Lang, Xinghai; Li, Zhijun; Huang, Yong; Ding, Feng; Yang, Huanhuan; Xie, Fuwei; Wang, Qin] Chengdu Univ Technol, Key Lab Tecton Controlled Mineralizat & Oil Reser, Chengdu, Peoples R China; [Tang, Juxing] Chinese Acad Geol Sci, Inst Mineral Resources, Beijing, Peoples R China; [Zhang, Li] Chengdu Ctr China Geol Survey, Chengdu, Peoples R China; [Zhou, Yun] Wuhan Ctr China Geol Survey, Wuhan, Peoples R China	Lang, XH (reprint author), Chengdu Univ Technol, Coll Earth Sci, Chengdu, Peoples R China.	langxinghai@126.com; tangjuxing@126.com			National Science Foundation of China [41172077]; National Basic Research Program of China [2011CB403103]; Opening Foundation of Ministry of Land and Resources Key Laboratory of tectonic controlled mineralization and oil reservoir [gzck2012003]; China Geological Survey program [Zi [2012]03-002-055]	This research was jointly supported by the National Science Foundation of China (Grant No. 41172077), the National Basic Research Program of China (Grant No. 2011CB403103), Opening Foundation of Ministry of Land and Resources Key Laboratory of tectonic controlled mineralization and oil reservoir (Grant No. gzck2012003), China Geological Survey program (Grant No. Zi [2012]03-002-055). The authors express their appreciation for beneficial direction from Reza Tafti, Jianbing Liu, James R. Lang, Mark Rebagliati, and Qi Deng, as well as constructive comments by Jingwen Mao and two anonymous reviewers.		89	23	29	0	24	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	1367-9120	1878-5786		J ASIAN EARTH SCI	J. Asian Earth Sci.	JAN 5	2014	79		B		SI		608	622		10.1016/j.jseaes.2013.08.009		15	Geosciences, Multidisciplinary	Geology	302LC	WOS:000330605000004		
