PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Liu, GM; Wang, Y; Wang, ZS; Cai, JY; Lv, XZ; Zhou, AG				Liu, Guangmang; Wang, Yi; Wang, Zhisheng; Cai, Jingyi; Lv, Xingzuo; Zhou, Anguo			Metabolomic studies on the biochemical profile of urine from rats with acute cysteamine supplementation	METABOLOMICS			English	Article						Cysteamine; Metabolism; Metabolomics; Urine; NMR	FINISHING PIGS; GROWTH-HORMONE; INSULIN; SOMATOSTATIN; METABONOMICS; DIOXYGENASE; METABOLITES; CYSTAMINE; SYSTEM; SHEEP	This study investigates the effect of acute cysteamine (CS) supplementation on rat metabolism. A metabolomic strategy using high-resolution (1)H-NMR spectroscopy in conjunction with principal component analysis was applied to examine rat biological responses to CS administration. Half of female Sprague-Dawley rats (2 groups of 6 rats) were each given doses of 150 mg CS/kg body weight intraperitoneally. Urine samples were collected twice daily (0-8 and 8-24 h) from the rats following CS administration. The identifiable biochemical effects associated with CS supplementation included decreased urinary concentrations of hippurate, succinate, citric acid, and 2-oxoglutarate, as well as increased urinary concentrations of dimethylamine, dimethylglycine, glycine, and taurine. These effects were predominately seen within the first 8 h after CS administration. Clear differences in succinate, citric acid, and 2-oxoglutarate were observed 8-24 h following CS. The results suggest that CS supplementation in the rats resulted in modulation of intestinal microbial metabolism and metabolic perturbation of the tricarboxylic acid cycle.	[Liu, Guangmang; Wang, Yi; Wang, Zhisheng; Cai, Jingyi; Lv, Xingzuo; Zhou, Anguo] Sichuan Agr Univ, Inst Anim Nutr, Yaan 625014, Sichuan, Peoples R China	Zhou, AG (reprint author), Sichuan Agr Univ, Inst Anim Nutr, Yaan 625014, Sichuan, Peoples R China.	Zhouanguo02@yahoo.com.cn			Sichuan Agricultural University [YBPY0903]; Program for Changjiang Scholars and Innovative Research Team in the University [IRTO555]	This work was supported by the Culture Fund for Excellent Doctoral Dissertations of Sichuan Agricultural University (No. YBPY0903) and the Program for Changjiang Scholars and Innovative Research Team in the University (Project No. IRTO555). We would like to thank all the study participants for their ongoing assistance.		32	7	7	1	11	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	1573-3882			METABOLOMICS	Metabolomics	DEC	2011	7	4					536	541		10.1007/s11306-010-0271-2		6	Endocrinology & Metabolism	Endocrinology & Metabolism	834VI	WOS:000295991900007		
J	Deng, JB; Ding, CB; Zhang, L; Yang, RW; Zhou, YH				Deng, Jia-bin; Ding, Chun-bang; Zhang, Li; Yang, Rui-wu; Zhou, Yong-hong			Authentication of three related herbal species (Curcuma) by DNA barcoding	JOURNAL OF MEDICINAL PLANTS RESEARCH			English	Article						Curcuma; Radix Curcumae; related species; DNA barcoding; psbA-trnH; phylogeny	LAND PLANTS; RBCL	The psbA-trnH intergenic region was studied for authenticating Curcuma longa and its two related species (Curcuma sichuanensis and Curcuma chuanhuangjiang). The sequences were analyzed by means of Neighbor-Joining to improve the phylogenetic resolution of these three Curcuma species. The genetic diversity of these three species is 0.009 to 0.014 (< 0.05). The results show that partial population specimens of C. sichuanensis originate from the cultivated mutation of C. longa; and retain the C. chuanhuangjiang as an individual species. The differentiation is engendered between the wildness and cultivated specimens within C. longa species.	[Deng, Jia-bin; Ding, Chun-bang; Zhang, Li; Yang, Rui-wu] Sichuan Agr Univ, Coll Biol & Sci, Yaan 625014, Peoples R China; [Zhou, Yong-hong] Sichuan Agr Univ, Triticeae Res Inst, Wenjiang 611830, Peoples R China	Yang, RW (reprint author), Sichuan Agr Univ, Coll Biol & Sci, Yaan 625014, Peoples R China.	yrwu@sicau.edu.cn			National Natural Science Foundation of China [30870154]; Sichuan Youth Science and Technology Foundation [07JQ0085]	The project was funded by the National Natural Science Foundation of China (No. 30870154) and Sichuan Youth Science and Technology Foundation (07JQ0085).		34	0	0	1	7	ACADEMIC JOURNALS	VICTORIA ISLAND	P O BOX 5170-00200 NAIROBI, VICTORIA ISLAND, LAGOS 73023, NIGERIA	1996-0875			J MED PLANTS RES	J. Med. Plants Res.	NOV 30	2011	5	28					6401	6406		10.5897/JMPR11.432		6	Chemistry, Medicinal	Pharmacology & Pharmacy	873WE	WOS:000298913200002		
J	Jiang, Y; Ding, CB; Zhang, L; Yang, RW; Zhou, YH; Tang, L				Jiang, Yu; Ding, Chun-bang; Zhang, Li; Yang, Ruiwu; Zhou, Yonghong; Tang, Li			Identification of the genus Epimedium with DNA barcodes	JOURNAL OF MEDICINAL PLANTS RESEARCH			English	Article						Epimedium; DNA barcode; ITS; rbcL; matK; psbA-trnH	LAND PLANTS; SPECIES IDENTIFICATION; RBCL; SEQUENCES; MARKERS	The traditional identification for Epimedium is inadequate due to the morphological variation and complicated procedure. DNA barcoding is a new technique for species identification by a standard DNA region. However, there has been no consensus emerged for plant barcoding due to the low rates of evolution in plastid DNA. In this paper, we compared the performance of four candidate DNA regions (psbA-trnH, ITS, rbcL, matK) in ten species of Epimedium. To select a suitable barcode, ranking criteria included: the success efficiency of polymerase chain reaction (PCR) amplification and sequencing; genetic divergences; the barcoding gap. The psbA-trnH represented easy amplification, high level of interspecific divergence and well-separated barcoding gap. The other three loci (ITS, rbcL, matK) was inadequate for application. We concluded that the psbA-trnH region was the better potentially DNA barcode for the genus Epimedium.	[Jiang, Yu; Ding, Chun-bang; Zhang, Li; Yang, Ruiwu; Tang, Li] Sichuan Agr Univ, Coll Biol & Sci, Yaan 625014, Peoples R China; [Zhou, Yonghong] Sichuan Agr Univ, Key Lab Crop Genet Resources & Improvement, Minist Educ, Yaan 625014, Peoples R China	Ding, CB (reprint author), Sichuan Agr Univ, Coll Biol & Sci, Yaan 625014, Peoples R China.	dcb@sicau.edu.cn						21	4	5	1	5	ACADEMIC JOURNALS	VICTORIA ISLAND	P O BOX 5170-00200 NAIROBI, VICTORIA ISLAND, LAGOS 73023, NIGERIA	1996-0875			J MED PLANTS RES	J. Med. Plants Res.	NOV 30	2011	5	28					6413	6417		10.5897/JMPR11.545		5	Chemistry, Medicinal	Pharmacology & Pharmacy	873WE	WOS:000298913200004		
J	Dong, JL; Jiang, YY; Chen, RJ; Xu, ZJ; Gao, XL				Dong, Jiali; Jiang, Yunyun; Chen, Rongjun; Xu, Zhengjun; Gao, Xiaoling			Isolation of a novel xyloglucan endotransglucosylase (OsXET9) gene from rice and analysis of the response of this gene to abiotic stresses	AFRICAN JOURNAL OF BIOTECHNOLOGY			English	Article						Rice; abiotic stress; microarray; xyloglucan endotransglucosylase	ARABIDOPSIS-THALIANA; ENDOTRANSGLYCOSYLASE/HYDROLASE XTH; TRANSCRIPTION FACTOR; EXPRESSION PROFILES; VASCULAR PLANTS; SALT TOLERANCE; COLD STRESS; ZEA-MAYS; DROUGHT; FAMILY	To understand the mechanism(s) underlying stress responses and discover new stress-tolerance genes in rice (Oryza sativa L.), expression profiles were obtained for leaf and panicle tissues at seedling, booting and heading stages of indica cultivar Pei'ai 64S plants under cold, drought or heat stresses using the GeneChip Rice Genome Array (Affymetrix) representing 51, 279 transcripts from japonica and indica rice. A large number of genes highly up regulated or down regulated were identified under the stresses. OsXET9 (O. sativa L. xyloglucan endotransglucosylase 9, GenBank accession: NM_001060322) was highly induced in leaf and panicle at all the developmental stages, in response to all stresses, especially in seedling and booting stage under cold stress. Real-time quantitative PCR analysis showed that the result was consensus with GeneChip Rice Genome Array, suggesting that OsXET9 is a multiple stress responsive gene in rice. In order to study its function in stress tolerance, we cloned the cDNA of the gene through amplification by PCR. Sequence analysis showed that the cDNA encodes a protein of 284 amino acid residues with M. W. approximate to 31kD and pI approximate to 5.2. The gene encodes a protein with several conserved domains. Comparison of protein sequences indicates that OsXET9 is closely related to the xyloglucan endotransglycosylase. Analysis of the putative promoter region for candidate cis-regulatory elements using Plant CARE software (http://bioinformatics.psb.ugent.be/webtools/plantcare/html/) identified some cis-elements related to stress responses. Based on these analyses and results obtained, we propose that OsXET9 is a novel candidate gene involved in stress tolerance in rice, except the function in metabolism of cell wall.	[Dong, Jiali; Jiang, Yunyun; Chen, Rongjun; Xu, Zhengjun; Gao, Xiaoling] Sichuan Agr Univ, Rice Res Inst, Chengdu 611134, Sichuan, Peoples R China; [Dong, Jiali; Jiang, Yunyun] Sichuan Agr Univ, Coll Agr, Chengdu 611134, Sichuan, Peoples R China	Chen, RJ (reprint author), Sichuan Agr Univ, Rice Res Inst, Chengdu 611134, Sichuan, Peoples R China.	chenrj8@yahoo.com.cn			Sichuan Provincial Education Department [11ZA090]	This research was supported by Fund 11ZA090 (A Project Supported by Scientific Research Fund of Sichuan Provincial Education Department) to RJ Chen.		39	9	13	2	19	ACADEMIC JOURNALS	VICTORIA ISLAND	P O BOX 5170-00200 NAIROBI, VICTORIA ISLAND, LAGOS 73023, NIGERIA	1684-5315			AFR J BIOTECHNOL	Afr. J. Biotechnol.	NOV 30	2011	10	76					17424	17434		10.5897/AJB11.1242		11	Biotechnology & Applied Microbiology	Biotechnology & Applied Microbiology	868YL	WOS:000298562400005		
J	Yang, RF; Li, WC; He, J; Zhou, SF; She, YH; Fu, FL				Yang, Ruo-Fei; Li, Wan-Chen; He, Jing; Zhou, Shu-Feng; She, Yue-Hui; Fu, Feng-Ling			Inducement and identification of an endosperm mutant in maize	AFRICAN JOURNAL OF BIOTECHNOLOGY			English	Article						Maize; endosperm mutant; sh2 gene	AMYLOPLAST MEMBRANE POLYPEPTIDES; GENE	To screen a workable dosage combination of gamma-ray and NaN(3) for mutation inducement, maize calli were treated with different dosages of (60)Co gamma-ray and NaN(3). Mutant lines were derived from the regenerated plants. The results indicate that the combination of 20 Gy of gamma-ray and 1 mmol/L of NaN(3) is the most effective for mutation inducement of maize calli. Three endosperm mutant lines with "super sweet" phenotype were derived from the mutated offspring. By complementation test and DNA sequence analysis, their mutation site was found in exon 14 of gene sh2 that encodes adenosine diphosphate glucose pyrophosphorylase. For their highly consistent phenotypes of agronomic characteristics and distinguished molecular mechanism to the previous mutants of gene sh2, these three mutant lines are regarded as a novel multiallelic mutant of gene sh2.	[Yang, Ruo-Fei; Li, Wan-Chen; He, Jing; Zhou, Shu-Feng; Fu, Feng-Ling] Sichuan Agr Univ, Maize Res Inst, Chengdu 611130, Sichuan, Peoples R China; [She, Yue-Hui] Sichuan Agr Univ, Coll Agr, Chengdu 611130, Sichuan, Peoples R China	Fu, FL (reprint author), Sichuan Agr Univ, Maize Res Inst, Chengdu 611130, Sichuan, Peoples R China.	ffl@sicau.edu.cn			Projects of Development Plan of the State Key Fundamental Research (973 Project) [2009CB118400]; National Natural Science Foundation of China [30971795, 31071433]	This work was financially supported by the Projects of Development Plan of the State Key Fundamental Research (973 Project) (2009CB118400) and the National Natural Science Foundation of China (30971795 and 31071433).		35	0	0	1	2	ACADEMIC JOURNALS	VICTORIA ISLAND	P O BOX 5170-00200 NAIROBI, VICTORIA ISLAND, LAGOS 73023, NIGERIA	1684-5315			AFR J BIOTECHNOL	Afr. J. Biotechnol.	NOV 30	2011	10	76					17490	17498		10.5897/AJB11.1869		9	Biotechnology & Applied Microbiology	Biotechnology & Applied Microbiology	868YL	WOS:000298562400013		
J	Zheng, ZC; Li, TX; Xiao, GL; Zhang, XZ; Yu, HY; Wang, YD				Zheng Zi-Cheng; Li Ting-Xuan; Xiao Guang-Li; Zhang Xi-Zhou; Yu Hai-Ying; Wang Yong-Dong			Mineral composition of dominant plant species growing in a phosphorus mining area	AFRICAN JOURNAL OF BIOTECHNOLOGY			English	Article						Interaction; mineral composition; nutrient; phosphorus accumulator; phytoremediation	WASTE-WATER TREATMENT; LOLIUM-MULTIFLORUM; FIELD CONDITIONS; REMOVAL; RHIZOSPHERE; SOIL; PHOSPHATE; IRON; BIOAVAILABILITY; ACCUMULATION	To evaluate the potential of native plants for phytoremediation, a field survey of terrestrial plants growing in a phosphorus (P) mining area in Shifang, China, was conducted to identify the variation of mineral composition in the soil and plants. The mineral composition [nitrogen (N), P, potassium (K), calcium (Ca), magnesium (Mg), iron (Fe), manganese (Mn), copper (Cu) and zinc (Zn)] of roots and shoots and the rhizosphere soil were determined. To quantify the relative contribution of each component to the overall correlation, path analyses were carried out. The results indicate that the P accumulators (Polygonum hydropiper and Pilea sinofasciata) had an advantage in mineral composition. In roots, the highest concentrations of Mg, Fe and Cu were found in P. hydropiper, and the highest concentrations of Ca were found in P. sinofasciata. Moreover, P. sinofasciata demonstrated the highest concentrations of Ca and Fe in shoots, which were 2.4 and 4.4 times higher than the mean of all other species. High concentrations of Fe and Mn were also found in the shoots of P. sinofasciata. In the roots of both plants, Fe had the highest negative direct effect on P, while Ca had a higher positive direct effect on P. In shoots, N had a higher positive direct effect on P, and K had a negative direct effect on P. Interactions between nutrients are important for determining the optimum nutrition for P accumulators.	[Zheng Zi-Cheng; Li Ting-Xuan; Xiao Guang-Li; Zhang Xi-Zhou; Yu Hai-Ying; Wang Yong-Dong] Sichuan Agr Univ, Coll Resources & Environm Sci, Chengdu 611130, Peoples R China	Zheng, ZC (reprint author), Sichuan Agr Univ, Coll Resources & Environm Sci, Chengdu 611130, Peoples R China.	zichengzheng@yahoo.com.cn; litix@263.net			Sichuan Youth Science and Technology Foundation [06ZQ026-020]; Foundation of the Sichuan Science and Technology Department [2010 JY0083]; Sichuan Education Bureau [2006A008]; Ministry of Education Key Laboratory of Polluted Environmental Remediation and Ecological Health, Zhejiang University, Huajiachi Campus, Hangzhou, China	This work was financially supported by the Sichuan Youth Science and Technology Foundation (06ZQ026-020), the Foundation of the Sichuan Science and Technology Department (2010 JY0083), Key Project from Sichuan Education Bureau (2006A008), and the Open Research Fund Program from the Ministry of Education Key Laboratory of Polluted Environmental Remediation and Ecological Health, Zhejiang University, Huajiachi Campus, Hangzhou 310029, China. The authors are thankful to Dr. C. Hu (Sichuan Agricultural University) for his help in plant determinations.		35	1	1	2	8	ACADEMIC JOURNALS	VICTORIA ISLAND	P O BOX 5170-00200 NAIROBI, VICTORIA ISLAND, LAGOS 73023, NIGERIA	1684-5315			AFR J BIOTECHNOL	Afr. J. Biotechnol.	NOV 28	2011	10	75					17200	17207		10.5897/AJB11.2176		8	Biotechnology & Applied Microbiology	Biotechnology & Applied Microbiology	868YF	WOS:000298561700020		
J	Tang, YL; Li, J; Wu, YQ; Wei, HT; Li, CS; Yang, WY; Chen, F				Tang Yong-lu; Li Jun; Wu Yuan-qi; Wei Hui-ting; Li Chao-su; Yang Wu-yun; Chen Fang			Identification of QTLs for Yield-Related Traits in the Recombinant Inbred Line Population Derived from the Cross Between a Synthetic Hexaploid Wheat-Derived Variety Chuanmai 42 and a Chinese Elite Variety Chuannong 16	AGRICULTURAL SCIENCES IN CHINA			English	Article						yield-related traits; quantitative trait loci; Chuanmai 42; synthetic hexaploid wheat	TRITICUM-AESTIVUM L.; BREAD WHEAT; GRAIN-YIELD; AGRONOMIC TRAITS; MICROSATELLITE MARKERS; GENETIC DISSECTION; AEGILOPS-TAUSCHII; D-GENOME; LOCI; MAP	Synthetic hexaploid wheat (SHW) represents a valuable source of new resistances to a range of biotic and abiotic stresses. A recombinant inbred line (RIL) population with 127 recombinant inbred lines derived from a SHW-derived variety Chuanmai 42 crossing with a Chinese spring wheat variety Chuannong 16 was used to map QTLs for agronomic traits including grain yield, grains per square meter, thousand-kernel weight, spikes per square meter, grain number per spike, grains weight per spike, and biomass yield. The population was genotyped using 184 simple-sequence repeat (SSR) markers and 34 sequence-related amplified polymorphism (SRAP) markers. Of 76 QTLs (LOD>2.5) identified, 42 were found to have a positive effect from Chuanmai 42. The QTL QGy.saas-4D.2 associated with grain yield on chromosome 4D was detected in four of the six environments and the combined analysis, and the mean yield, across six environments, of individuals carrying the Chuanmai 42 allele at this locus was 8.9% higher than that of those lines carrying the Chuannong 16 allele. Seven clusters of the yield-coincident QTLs were detected on 1A, 4A, 3B, 5B, 4D, and 7D.	[Tang Yong-lu; Li Jun; Wei Hui-ting; Li Chao-su; Yang Wu-yun] Sichuan Acad Agr Sci, Crop Res Inst, Chengdu 610066, Peoples R China; [Chen Fang] Sichuan Univ, Coll Life Sci, Chengdu 610064, Peoples R China; [Wu Yuan-qi] Sichuan Agr Univ, Agron Coll, Yaan 625014, Peoples R China	Yang, WY (reprint author), Sichuan Acad Agr Sci, Crop Res Inst, Chengdu 610066, Peoples R China.	ttyycc88@163.com; yangwuyun@yahoo.com.cn			Sichuan Provincial Youth Foundation, China [09ZQ026-086]; earmarked fund for Modern Agro-Industry Technology Research System, China [nycytx-03]; National 863 Program of China [2006AA10Z1C6]; National Natural Science Foundation of China [30771338, 30871532]	This work was supported by the Sichuan Provincial Youth Foundation, China (09ZQ026-086), the earmarked fund for Modern Agro-Industry Technology Research System, China (nycytx-03), the National 863 Program of China (2006AA10Z1C6), and the National Natural Science Foundation of China (30771338 and 30871532). The authors thank Dr. Xia Xianchun from Institute of Crop Science, Chinese Academy of Agricultural Sciences, Kenneth D. Sayre from CIMMYT and Paul Brennan from the Queensland Wheat Research Institute, Australia, for the critical review of the manuscript, and Lai Yunpin, Dong Xuefang and Zhang Zequan from Crop Research Institute, Sichuan Academy of Agricultural Sciences, for their work in part experiments.		56	5	7	3	12	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	1671-2927			AGR SCI CHINA	Agric. Sci. China	NOV 20	2011	10	11					1665	1680		10.1016/S1671-2927(11)60165-X		16	Agriculture, Multidisciplinary	Agriculture	847SG	WOS:000296992200002		
J	Zhang, J; Liu, WG; Chen, XF; Yang, WY; Smith, DL				Zhang, Jing; Liu, Weiguo; Chen, Xinfu; Yang, Wenyu; Smith, Donald L.			Non-hydraulic root-sourced signaling and grain yield stability under shade of maize during progressive soil drying in soybean	AFRICAN JOURNAL OF AGRICULTURAL RESEARCH			English	Article						Soybean; drought; shade; non-hydraulic root-sourced signal; water use efficiency; yield stability	LEAF WATER STATUS; WOODY SEEDLINGS; GAS-EXCHANGE; DROUGHT; WHEAT; CONDUCTANCE; GROWTH; PLANT; L.; SYSTEM	Production practice shows shaded soybean in wheat-maize-soybean; relay strip intercropping system has better tolerance to drought as compared with sole cropping soybean. Our researches are to understand the reasons through non-hydraulic root signals (nHRS), yield and the relationships among them. Pot experiments were conducted with two soybean cultivars, under shade of maize (LI) and normal irradiance (HI). nHRS were traced during manipulative progressive soil drying period at branching stage under good soil conditions (HW), water stress treatment (LW), in 2010. Well-watered (WW), light drought (LD), moderate drought (MD) and severe drought (SD) were applied in 2009. In response to soil drying, nHRS appeared earlier in Gongxuan No. 1 (GX) than Gongqiudou 05-8 (GQ) under two irradiance treatments, but it disappeared earlier for GX than GQ under normal irradiance. GX exhibited a wider average soil water content threshold range (TR) of nHRS under low irradiance. Drought stress significantly decreased the shoot dry mass, root mass and grain yield (P< 0.05), excluding LD and nHRS treatments. Water use efficiency was significantly higher (P< 0.05) in GX than GQ under drought conditions in both irradiances. In a conclusion, soybean cultivar GX has wider TR in low irradiance condition, light drought had no significant effect on yield, nHRS maybe beneficial to maintain soybean yield under drought condition.	[Zhang, Jing; Liu, Weiguo; Chen, Xinfu; Yang, Wenyu] Sichuan Agr Univ, Dept Crop Cultivat & Tillage, Coll Agron, Chengdu 611130, Peoples R China; [Zhang, Jing; Smith, Donald L.] McGill Univ, Dept Plant Sci Agr & Environm Sci, Ste Anne De Bellevue, PQ H9X 39V, Canada	Yang, WY (reprint author), Sichuan Agr Univ, Dept Crop Cultivat & Tillage, Coll Agron, Chengdu 611130, Peoples R China.	wenyu.yang@263.net			National Program on Key Basic Research Project [2011CB100402]; Ministry of Agriculture of the Peoples Republic of China [201103001]; Program on Industrial Technology System of National Soybean [CARS-04-PS19]; National Natural Science Foundation of China [31071373]; China Scholarship Council	The research was supported by the National Program on Key Basic Research Project (2011CB100402), Public Research Funds Projects of Agriculture, Ministry of Agriculture of the Peoples Republic of China (201103001), Program on Industrial Technology System of National Soybean (CARS-04-PS19), and National Natural Science Foundation of China (31071373). The author Jing Zhang is a recipient of a scholarship from the China Scholarship Council.		25	3	3	0	13	ACADEMIC JOURNALS	VICTORIA ISLAND	P O BOX 5170-00200 NAIROBI, VICTORIA ISLAND, LAGOS 73023, NIGERIA	1991-637X			AFR J AGR RES	Afr. J. Agric. Res.	NOV 19	2011	6	27					5905	5910		10.5897/AJAR11.1192		6	Agriculture, Multidisciplinary	Agriculture	868DY	WOS:000298505100014		
J	Jiang, Y; Ding, CB; Yue, HX; Yang, RW				Jiang, Yu; Ding, Chunbang; Yue, Haixia; Yang, Ruiwu			Meiotic behavior and pollen fertility of five species in the genus Epimedium	AFRICAN JOURNAL OF BIOTECHNOLOGY			English	Article						Epimedium; meiosis; chromosomal abnormality; pollen fertility	FLAVONOIDS	Meiotic behavior and pollen fertility were analysed in five Epimedium species: Epimedium chlorandrum, Epimedium acuminatum, Epimedium davidii, Epimedium ecalcaratum and Epimedium pubescens. Chromosome numbers for five species were 2n = 2x = 12. All examined species displayed stable meiotic process and high pollen fertility (>76.67%). Meiotic abnormality partially affected pollen fertility. At metaphase I, the predominant chromosome configuration was 6II, and occasionally, 5II + 2I. A low frequency of meiotic abnormalities was recorded in five species. Chromosome bridges, laggards and micronuclei were the main abnormalities observed in Epimedium. "Diagonal bridge" was first found in E. chlorandrum due to the altered spindle axis. Polyad was only presented in E. davidii and might have resulted from abnormal cytokinesis. Pollen fertility was correlated with meiotic abnormality.	[Jiang, Yu; Ding, Chunbang; Yue, Haixia; Yang, Ruiwu] Sichuan Agr Univ, Coll Biol & Sci, Yaan 625014, Peoples R China	Ding, CB (reprint author), Sichuan Agr Univ, Coll Biol & Sci, Yaan 625014, Peoples R China.	dcb@sicau.edu.cn						17	2	2	0	3	ACADEMIC JOURNALS	VICTORIA ISLAND	P O BOX 5170-00200 NAIROBI, VICTORIA ISLAND, LAGOS 73023, NIGERIA	1684-5315			AFR J BIOTECHNOL	Afr. J. Biotechnol.	NOV 16	2011	10	72					16189	16192		10.5897/AJB11.1822		4	Biotechnology & Applied Microbiology	Biotechnology & Applied Microbiology	868WR	WOS:000298557500011		
J	Hu, YC; Wang, Y; Wang, JN; Yang, GD; Li, HL; Geng, GX; Wang, JH				Hu, Yanchun; Wang, Yan; Wang, Jianna; Yang, Guodong; Li, Haili; Geng, Guoxia; Wang, Jianhua			Biodegradation of swainsonine by five types of plasmid-transformants from genomic library of Arthrobacter sp HW08	AFRICAN JOURNAL OF MICROBIOLOGY RESEARCH			English	Article						Swainsonine; biodegradation; metabolites; transformants; Arthrobacter sp HW08	LOCOWEED OXYTROPIS-SERICEA; THIN-LAYER-CHROMATOGRAPHY; POLYHYDROXY ALKALOIDS; ALPHA-MANNOSIDASE; INHIBITOR; CANESCENS; GOATS; SHEEP	The aim of this study is to analyze the ability of swainsonine (SW) biodegradation by five types of transformants from the genomic library of Arthrobacter sp. HW08, explore preliminarily metabolites and deduce the metabolic pathway. Using 1000 mg.L(-1) SW as the sole carbon source, mineral salts medium (MSM) containing five transformants at a proportion for 1:1(V:V) was incubated at 30 degrees C, 180 r.min(-1). The degradation rate of SW was 99.78% in 48 h, and SW could be completely degraded in 72 h. Compared with samples containing SW in 0 h, two special spots of metabolites were visualized with iodine vapor by thin-layer chromatography (TLC). Two kinds of primary metabolites (stearic acid and palmitinic acid) and two kinds of intermediate metabolites appeared in the process of metabolism of SW by gas chromatography (GC) and gas chromatography-mass spectrometry (GC-MS) whose m/z was 388.2 and 314.3 amu respectively. Ultimately, four kinds of end-products appeared in the process of metabolism of SW. This work demonstrates the preliminary results on metabolites of degrading SW by five transformants from Arthrobacter sp. HW08. This work also provides further information on metabolic pathway of SW from strain HW08.	[Hu, Yanchun; Wang, Yan; Yang, Guodong; Li, Haili; Geng, Guoxia; Wang, Jianhua] NW A&F Univ, Coll Vet Med, Dept Internal Med, Yangling 712100, Peoples R China; [Hu, Yanchun] Sichuan Agr Univ, Coll Vet Med, Dept Clin Vet Med, Yaan 625014, Peoples R China; [Wang, Jianna] Hosp NW A&F Univ, Yangling 712100, Peoples R China	Wang, JH (reprint author), NW A&F Univ, Coll Vet Med, Dept Internal Med, Yangling 712100, Peoples R China.	wangjh1948@yahoo.com.cn			National Natural Science Foundation of China [30571315, 30871901]	The authors acknowledge the financial support provided by the National Natural Science Foundation of China (Grant: No. 30571315, 30871901) and thank Mr. Laping Liu for help with GC-MS analysis.		35	0	0	1	5	ACADEMIC JOURNALS	VICTORIA ISLAND	P O BOX 5170-00200 NAIROBI, VICTORIA ISLAND, LAGOS 73023, NIGERIA	1996-0808			AFR J MICROBIOL RES	Afr. J. Microbiol. Res.	NOV 16	2011	5	26					4524	4532		10.5897/AJMR11.370		9	Microbiology	Microbiology	873YQ	WOS:000298922400011		
