PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Singh, A; Lin, YH; Liu, WY; Deng, KH; Pan, J; Huang, B; Ren, CQ; Zeng, DZ				Singh, Ambrish; Lin, Yuanhua; Liu, Wanying; Deng Kuanhai; Pan, Jie; Huang, Bo; Ren, Chengqiang; Zeng, Dezhi			A study on the inhibition of N80 steel in 3.5% NaCl solution saturated with CO2 by fruit extract of Gingko biloba	JOURNAL OF THE TAIWAN INSTITUTE OF CHEMICAL ENGINEERS			English	Article						Corrosion inhibition; N80 steel; FTIR; SECM; SEM; UV-vis	SCANNING ELECTROCHEMICAL MICROSCOPY; GREEN CORROSION-INHIBITOR; HYDROCHLORIC-ACID SOLUTION; MILD-STEEL; M HCL; ALUMINUM CORROSION; SODIUM-CHLORIDE; H2SO4 SOLUTIONS; BEHAVIOR; DISSOLUTION	The inhibition of the corrosion of N80 steel in 3.5 wt.% NaCl solution saturated with CO2 by the fruit extract of Gingko biloba (GBFE) was investigated using electrochemical impedance spectroscopy (EIS) and potentiodynamic polarization techniques. Inhibition efficiency was found to increase with increasing concentration of the extract. The adsorption of the extract on the N80 steel surface obeyed the Temkin adsorption isotherm. Polarization curves showed that GBFE behaves as a mixed-type inhibitor in NaCl solution. The adsorbed film on N80 steel surface containing inhibitor was confirmed by the SEM, SECM, and UV-vis results. The results obtained showed that the GBFE could serve as an effective inhibitor of the corrosion of N80 steel in 3.5% NaCl saturated with CO2. (C) 2014 Taiwan Institute of Chemical Engineers. Published by Elsevier B.V. All rights reserved.	[Singh, Ambrish; Lin, Yuanhua; Liu, Wanying; Zeng, Dezhi] Southwest Petr Univ, State Key Lab Oil & Gas Reservoir Geol & Exploita, Chengdu 610500, Sichuan, Peoples R China; [Singh, Ambrish] Lovely Profess Univ, LFTS, Sch Civil Engn, Dept Chem, Phagwara, Punjab, India; [Deng Kuanhai; Pan, Jie; Huang, Bo] Southwest Petr Univ, CNPC Key Lab Tubular Goods Engn, Chengdu 610500, Sichuan, Peoples R China; [Ren, Chengqiang] Southwest Petr Univ, Sch Mat Sci & Engn, Chengdu 610500, Sichuan, Peoples R China	Lin, YH (reprint author), Southwest Petr Univ, State Key Lab Oil & Gas Reservoir Geol & Exploita, Chengdu 610500, Sichuan, Peoples R China.	yhlin28@163.com			National Natural Science Foundation of China [51274170]; Colonel Technology Fund of Southwest Petroleum University [2012XJZ013]	Authors are thankful to the post doctoral fellowship, financial assistance provided by the National Natural Science Foundation of China (No. 51274170) and the research grants from the Colonel Technology Fund of Southwest Petroleum University (Project No. 2012XJZ013).		40	11	11	4	23	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	1876-1070	1876-1089		J TAIWAN INST CHEM E	J. Taiwan Inst. Chem. Eng.	JUL	2014	45	4					1918	1926		10.1016/j.jtice.2014.02.001		9	Engineering, Chemical	Engineering	AN1OA	WOS:000340352000097		
J	Li, CG; Jia, WL; Wu, X				Li, Changjun; Jia, Wenlong; Wu, Xia			A steady state simulation method for natural gas pressure-relieving systems	JOURNAL OF NATURAL GAS SCIENCE AND ENGINEERING			English	Article						Natural gas; Pressure-relieving system; Mathematical model; Simulation	FLOW; PIPELINES; NETWORK; DEVICES	The natural gas pressure-relieving system is essential to natural gas pipelines and equipment for their safe operations against overpressure. This paper divided the system into pipe and resistance elements (valve, bent, tee et al.). The pipe elements are simulated by the hydrodynamic and thermodynamic equations, and the resistance elements are simulated by their characteristic equations. Combined those two kinds of equations, as well as the composition-dependent physical property models of natural gas, a steady-state simulation model of pressure-relieving systems is proposed for pressure, flow rate and temperature predictions. The homogeneous assumption is introduced to handle two-phase flow. A velocity constraint is also integrated into the model, making it applicable for both critical and subcritical pressure relief situations. Besides, the proposed solution method is applicable for any pressure-relieving systems composed of any numbers of pipe and resistance elements, as long as there are no branches. Finally, the reliability of the model has been examined using experimental data from three real pressure-relieving systems in Sichuan Province, China. The experiments cover a wide pressure range from 2.23 MPa to 53.80 MPa, and a temperature range from 257.40 K to 335.70 K. The results show that the maximum temperature and flow rate relative errors between the simulation results and experimental data are 1.03% and 3.52%, while the minimum values are 0.22% and 0.31%. The average absolute errors of the temperature and flow rate are 1.83 K and 1.00 x 10(4) m(3)/d. The method is also successfully applied to a gas well under critical and subcritical conditions. (C) 2014 Elsevier B.V. All rights reserved.	[Li, Changjun; Jia, Wenlong; Wu, Xia] Southwest Petr Univ, Sch Petr Engn, Chengdu 610500, Peoples R China; [Li, Changjun] Southwest Petr Univ, CNPC Key Lab Oil Gas Storage & Transportat, Chengdu 610500, Peoples R China	Jia, WL (reprint author), Southwest Petr Univ, Sch Petr Engn, Chengdu 610500, Peoples R China.	jiawenlong08@126.com		jia, wenlong/0000-0001-7333-4587	National Natural Science Foundation of China [51174172]; National Science and Technology Major Project of China [2011ZX05054, 2011ZX05026-001-07]; Joint Research Fund for the Doctoral Program of Higher Education [20125121110003]	This paper is an Experiment and Theory Research of the Dynamic Characteristics of Gas Pipe Bridge in Pigging project supported by the National Natural Science Foundation of China (No. 51174172), two sub-projects of the National Science and Technology Major Project of China (No.2011ZX05054, No. 2011ZX05026-001-07) and a project of the Joint Research Fund for the Doctoral Program of Higher Education (No. 20125121110003).		24	0	0	0	27	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	1875-5100	2212-3865		J NAT GAS SCI ENG	J. Nat. Gas Sci. Eng.	JUL	2014	19						1	12		10.1016/j.jngse.2014.04.012		12	Energy & Fuels; Engineering, Chemical	Energy & Fuels; Engineering	AM8PW	WOS:000340140500001		
J	Liang, Z; Wang, F; Deng, X				Liang, Zheng; Wang, Fei; Deng, Xiong			A novel technology of combining foam injection and compression to lift liquid in water flooded gas wells	JOURNAL OF NATURAL GAS SCIENCE AND ENGINEERING			English	Article						Novel technology; Water flooded gas well; Gas well deliquification; Foam injection; Compressed gas injection		This article present a novel technology of combining foam injection and compression to lift liquid in water flooded gas wells in order to bring them back to production. In this technology, the natural gas in the gathering pipeline could be supplied to the natural gas generators. And then the generators provide electrical power to the injection systems which are skid mounted designed. The technology is helpful and cost effective to bring water flooded gas wells, especially to those located at a remote areas where electrical power is not available, back to production. In this paper, a typical water flooded gas well was selected to illustrate this technology and the successfully application of the technology indicates that engineers could bring water flooded gas wells back to production by using this novel artificial lift technology. (C) 2014 Elsevier B.V. All rights reserved.	[Liang, Zheng; Wang, Fei] Southwest Petr Univ, Sch Mechatron Engn, Chengdu, Peoples R China; [Deng, Xiong] Southwest Petr Univ, Sch Petr & Nat Gas Engn, Chengdu, Peoples R China	Wang, F (reprint author), Southwest Petr Univ, Sch Mechatron Engn, Chengdu, Peoples R China.	hanshuichun1@126.com			National High Technology Research and Development Program of China (863 Program) [2012AA09A203]; Key Laboratory of Oil and Gas Equipment from Ministry of Education, China [2011STS04]	The authors would like to acknowledge the support of Grant No. 2012AA09A203 from the National High Technology Research and Development Program of China (863 Program) and Grant No. 2011STS04 from the Key Laboratory of Oil and Gas Equipment from Ministry of Education, China.		4	3	3	0	14	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	1875-5100	2212-3865		J NAT GAS SCI ENG	J. Nat. Gas Sci. Eng.	JUL	2014	19						147	151		10.1016/j.jngse.2014.04.020		5	Energy & Fuels; Engineering, Chemical	Energy & Fuels; Engineering	AM8PW	WOS:000340140500017		
J	Tang, M; Xiong, JY; He, SM				Tang, Ming; Xiong, Jiyou; He, Shiming			A new model for computing surge/swab pressure in horizontal wells and analysis of influencing factors	JOURNAL OF NATURAL GAS SCIENCE AND ENGINEERING			English	Article						Subsalt fractured formations; Horizontal wells; Surge pressure; Swab pressure; Velocity of tripping; Boundary conditions	PERFORMANCE; TESTS	In the drilling of horizontal wells in complex formations such as subsalt fractural formation, factors such as high drilling liquid density, rheological uncontrollability, and narrow safety density window of drilling fluid may lead to downhole pressure fluctuation, which, however slightly gives rise to complex downhole problems. In order to accurately calculate the surge/swab pressure of horizontal wells in such formations, this paper, based on hydromechanics and a width-variable flat-plate flow model, introduce a new model for computing surge/swab pressure in horizontal wells. This model takes the effects of velocity drilling string on the boundary conditions of surge/swab pressure into consideration, as no previous model has. With the tripping of drilling string under consideration, and when the annular flow remains the same, we find that, in the computation of swab pressure, the velocity in the inside and outside velocity zones are both larger than those produced by previous ones, and that in the computation of surge pressure, while the velocity in the inside velocity zone is first smaller and then turns greater, the velocity in the outside velocity zone is always larger. A comparison with previous models also reveals larger surge pressure, larger swab pressure at low rate and smaller swab pressure when annular flow rate reaches a certain level. An analysis of major factors that influence surge/swab pressure in this model shows that pressure drop is at the mercy of a number of factors; the surge pressure drop decreases with the increased eccentricity whereas the swab pressure drop increases with the rising eccentricity at low annular flow rate; the surge pressure drop decreases with the rising yield point whereas the swab pressure drop increases with the rising yield point; the surge pressure drop increases largely with the increase of plastic viscosity whereas the swab pressure drop largely decreases with the dropping plastic viscosity; the surge pressure drop increases with run in hole (RIH)speed; the swab pressure drop increases with pull out of hole (POOH) speed at small annular flow rate whereas the swab pressure drop decreases with the POOH speed when the annular flow rate reaches a certain level. The analysis also indicates that the surge/swab pressure is most sensitive to the plastic viscosity of drilling fluid. Then, it is of great significance to monitor the plastic viscosity during the drilling process when other factors are well controlled. (C) 2014 Elsevier B.V. All rights reserved.	[Tang, Ming; Xiong, Jiyou; He, Shiming] Southwest Petr Univ, State Key Lab Oil & Gas Reservoir Geol & Exploita, Chengdu 610500, Peoples R China	Tang, M (reprint author), Southwest Petr Univ, State Key Lab Oil & Gas Reservoir Geol & Exploita, Chengdu 610500, Peoples R China.	tm4432@126.com						21	6	6	0	4	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	1875-5100	2212-3865		J NAT GAS SCI ENG	J. Nat. Gas Sci. Eng.	JUL	2014	19						337	343		10.1016/j.jngse.2014.05.026		7	Energy & Fuels; Engineering, Chemical	Energy & Fuels; Engineering	AM8PW	WOS:000340140500037		
J	Feng, Y; Hu, SY; Liu, XG; Luo, GS; Zhu, G				Feng, Yan; Hu, Shuyong; Liu, Xingguo; Luo, Guoshi; Zhu, Guo			Prevention and disposal technologies of gas hydrates in high-sulfur gas reservoirs containing CO2	JOURNAL OF NATURAL GAS SCIENCE AND ENGINEERING			English	Article						Yuanba gas field; Gas hydrate; Hydrates blockage; Prevention and disposal technologies		Changxing gas reservoir is a lithologic formation with an ultra-deep and normal pressure system, which has a high content of H2S and medium content of CO2. This gas reservoir has the edge/bottom water locally and is controlled by the reef and beach body. Due to the high content of H2S, gas hydrate formation temperature is relatively high, which is easy to form hydrate. Wellbore and gathering pipelines belong to frequent site of hydrate formation in the process of production and transportation. Once the gas hydrates are formed, which will seriously affect the well production performance, so it's important to understand the forming conditions of hydrates for a specific gas reservoir. In this paper, through the hydrate inhibitor screening experiments by measuring the hydrate formation temperature under 13 groups of pressures and the hydrate formation temperature of 9 groups of methanol, ethylene and glycol at different concentrations under two pressures, we recommend the methanol as the priority hydrate inhibitor for Yuanba gas fields. The case study shows that all these methods must be used combinatorially in order to prevent gas hydrates formation and disposal gas hydrates effectively. (C) 2014 Elsevier B.V. All rights reserved.	[Feng, Yan; Liu, Xingguo; Luo, Guoshi; Zhu, Guo] Southwest Oil & Gas Co, Northeast Sichuan Gas Prod Plant, Sinopec Grp, Langzhong, Sichuan, Peoples R China; [Hu, Shuyong] Southwest Petr Univ, State Key Lab Oil & Gas Reservoir Geol Exploitat, Chengdu, Sichuan, Peoples R China	Hu, SY (reprint author), Southwest Petr Univ, State Key Lab Oil & Gas Reservoir Geol Exploitat, Chengdu, Sichuan, Peoples R China.	hsylylhjb@126.com						8	2	2	1	10	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	1875-5100	2212-3865		J NAT GAS SCI ENG	J. Nat. Gas Sci. Eng.	JUL	2014	19						344	349		10.1016/j.jngse.2014.05.024		6	Energy & Fuels; Engineering, Chemical	Energy & Fuels; Engineering	AM8PW	WOS:000340140500038		
J	Wang, P; Guo, XY; Mao, XL				Wang Ping; Guo Xiaoyang; Mao Xianli			Influences of Vanadium Doping on Structure and Performance of Aluminum Alloy Micro-Arc Oxidation Coating	RARE METAL MATERIALS AND ENGINEERING			Chinese	Article						micro-arc oxidation; aluminum alloy; vanadium doping; corrosion resistance		A vanadium doped aluminum alloy micro-arc oxidation (MAO) coating was prepared by adding ammonium vanadate in electrolytes. The influences of different adding concentration on the performance and structure of aluminum alloy MAO coating were studied. Surface morphologies of the coating were observed by SEM, V and 0 element contents on the MAO coating were analyzed by EDS, valence state of V and O element was determined by XPS, phase composition was analyzed by XRD and corrosion resistance was evaluated by polarization curve. The results show that VO3- transforms into V2O5 when the micro-arc discharges area temperature is above 1714.38 K. The formation of porous coating on the surface of MAO coating is restrained by the V2O5 of low melting point which melt firstly due to the effect of electric arc. Vanadium doping affects the phase composition of the MAO coating a little and it is helpful to improve the thickness and corrosion resistance of the coating.	[Wang Ping; Guo Xiaoyang; Mao Xianli] Southwest Petr Univ, State Key Lab Oil & Gas Reservoir Geol & Exploita, Chengdu 610500, Peoples R China	Guo, XY (reprint author), Southwest Petr Univ, State Key Lab Oil & Gas Reservoir Geol & Exploita, Chengdu 610500, Peoples R China.	818wp@163.com; guoxiaoyangswpi@126.com						11	3	4	0	9	NORTHWEST INST NONFERROUS METAL RESEARCH	SHAANXI	C/O RARE METAL MATERIAL ENGINEERING PRESS, PO BOX 51, XIAN, SHAANXI 710016, PEOPLES R CHINA	1002-185X			RARE METAL MAT ENG	Rare Metal Mat. Eng.	JUL	2014	43	7					1759	1763				5	Materials Science, Multidisciplinary; Metallurgy & Metallurgical Engineering	Materials Science; Metallurgy & Metallurgical Engineering	AM3WM	WOS:000339783500044		
J	Ma, TS; Chen, P				Ma Tian-Shou; Chen Ping			Mathematical model and physical experimental research for pressure response of formation testing while drilling	CHINESE JOURNAL OF GEOPHYSICS-CHINESE EDITION			Chinese	Article						Formation pressure; Pore pressure; Formation testing while drilling; Finite difference; Simulated experiment	FORMATION TESTER	Based on the fundamental principle of formation testing while drilling (FTWD) and filtration theory, we built the pressure diffusion differential equation between pressure decline and pressure buildup in the cylindrical coordinate, and determined the definite solutions problem of FTWD. After homogenizing the boundary of definite solutions problem, the finite difference approach was adopted to establish the explicit difference equation under four-dimensional space and the analytic and finite difference methods were used to analyze homogeneous and spherical filtration problem in the condition of point source, single phase, single testing room. The calculation error of the two methods is less than 2. 00%, indicating the validity of the finite difference method. With finite difference approach the influences of following factors on the response of different permeability (0. 1X 10(-3) mu m(2), 1. 0 X 10(-3) mu m(2) and 10. 0 x 10(-3) mu m(2)) formation were quantitatively analyzed, including, skin effect, storage effect, formation heterogeneity, suction rate and suction probe radius. The analysis indicated that the impact of these factors on the pressure response curve is significant, which mainly manifested in the following respects, such as suction pressure drop, pressure drop rate, rate of pressure recovery, build-up time. And the sensitive degree of different permeability formation differs significantly. We established a formation pressure test simulation experiment platform to stimulate pressure suction testing in three different permeability (108. 81 X 10(-3) mu m(2), 16. 10 X 10(-3) mu m(2) and 4. 79 X 10(-3) mu m(2)) formations and adopted finite difference approach to carry out numerical simulation for the experiment. The result shows that numerical simulation and the measured pressure response are consistent. The absolute error is less than 1. 60MPa and the relative error less than 5. 00% (maximum error is 4. 92%). The correctness and accuracy of the finite difference numerical method were confirmed.	[Ma Tian-Shou; Chen Ping] Southwest Petr Univ, State Key Lab Oil & Gas Reservoir Geol & Exploita, Chengdu 610500, Peoples R China	Ma, TS (reprint author), Southwest Petr Univ, State Key Lab Oil & Gas Reservoir Geol & Exploita, Chengdu 610500, Peoples R China.	matianshou@126.com						38	1	1	4	17	SCIENCE PRESS	BEIJING	16 DONGHUANGCHENGGEN NORTH ST, BEIJING 100717, PEOPLES R CHINA	0001-5733			CHINESE J GEOPHYS-CH	Chinese J. Geophys.-Chinese Ed.	JUL	2014	57	7					2321	2333		10.6038/cjg20140726		13	Geochemistry & Geophysics	Geochemistry & Geophysics	AM1YL	WOS:000339645100026		
J	He, XR; Chen, Q; Feng, CH; Wang, L; Hou, HL				He, Xianru; Chen, Qian; Feng, Chunhui; Wang, Liang; Hou, Hailong			Synthesis and performance of a self crosslinkable acrylate copolymer with high compatibility for an oil well cement modifier	JOURNAL OF POLYMER ENGINEERING			English	Article						compatibility; fluid loss; mechanical properties; polymer modifier; self crosslinkable		High performance cement slurry polymer modifiers are increasingly in demand in the cementing process of oil and gas. A new polymer modifier with outstanding fluid loss control and high strength and toughness was synthesized by the main monomers butyl acrylate (BA), methyl methacrylate (MMA), acrylamide (AM), the functional monomers vinyltriethoxysilane (VTS), glycidyl methacrylate (GMA) and the initiator of ammonium persulfate (APS) through emulsion polymerization. By using Fourier transform infrared (FTIR) spectrometer, a laser particle analyzer, a scanning electron microscope and a differential scanning calorimeter, we studied the mechanism of fluid loss control and microstructure of polymer latex cement slurries. The experimental results showed that the copolymer could be crosslinked at 160 degrees C and have the lowest fluid loss control, 12 ml, when the polymer content reached 5%. Acrylate latex modified by the silane coupling agent VTS had excellent performance on fluid loss control, as well as mechanical properties for oil well cement. These results have a potential significant value for the development of a new polymer cement modifier with high thermal stability and durability.	[He, Xianru; Chen, Qian; Feng, Chunhui; Wang, Liang; Hou, Hailong] Southwest Petr Univ, Coll Mat Sci & Engn, Chengdu 610500, Peoples R China; [He, Xianru] Southwest Petr Univ, State Key Lab Oil & Gas Reservoir Geol & Exploita, Chengdu 610500, Peoples R China	He, XR (reprint author), Southwest Petr Univ, Coll Mat Sci & Engn, Chengdu 610500, Peoples R China.	xrhe@swpu.edu.cn						17	0	1	4	19	WALTER DE GRUYTER GMBH	BERLIN	GENTHINER STRASSE 13, D-10785 BERLIN, GERMANY	0334-6447	2191-0340		J POLYM ENG	J. Polym. Eng.	JUL	2014	34	5					405	413		10.1515/polyeng-2013-0303		9	Polymer Science	Polymer Science	AL3AY	WOS:000338998500003		
J	Xie, K; Jiang, HM; Boardman, AD; Liu, Y; Wu, ZH; Xie, M; Jiang, P; Xu, Q; Yu, M; Davis, LE				Xie, Kang; Jiang, Haiming; Boardman, Allan D.; Liu, Yong; Wu, Zhenhai; Xie, Ming; Jiang, Ping; Xu, Quan; Yu, Ming; Davis, Lionel E.			Trapped photons at a Dirac point: a new horizon for photonic crystals	LASER & PHOTONICS REVIEWS			English	Article						Photonic crystal; band structure; localized mode; Dirac point; microcavity; waveguide; laser; fiber	FIBERS; LIGHT	Optical cavities and waveguides are essential building blocks of many modern optical devices. They rely upon photonic bandgaps, or total internal reflections, to achieve field confinement. Here a new phenomenon is reported of wave localization that is attributable to neither of the above light guiding mechanisms. It is found that what is known as the Dirac point within a photonic band structure can play the role of a photonic bandgap with the establishment of field confinement. The new localized mode occurs at a Dirac frequency that is beyond any complete photonic bandgap, and exhibits a unique algebraic profile. The features of this new wave localization will add new capabilities and more flexibility to the design techniques of novel photonic components and photonic chip architectures.	[Xie, Kang; Jiang, Haiming] Hefei Univ Technol, Hefei 230009, Peoples R China; [Boardman, Allan D.; Xie, Ming] Univ Salford, Salford M5 4WT, Lancs, England; [Liu, Yong; Jiang, Ping] Univ Elect Sci & Technol China, Chengdu 610054, Peoples R China; [Wu, Zhenhai] Southwest Petr Univ, Chengdu 610500, Peoples R China; [Xu, Quan] Changzhou Univ, Jiangsu 213164, Peoples R China; [Yu, Ming] Univ Waterloo, Waterloo, ON N2L 3G1, Canada; [Davis, Lionel E.] Univ Manchester, Manchester M60 1QD, Lancs, England	Xie, K (reprint author), Hefei Univ Technol, Hefei 230009, Peoples R China.	kangxie@hfut.edu.cn			NSFC [60588502]; Engineering and Physical Sciences Research Council of UK	K. X. acknowledges financial support by the NSFC (60588502). A. D. B. acknowledges financial support by the Engineering and Physical Sciences Research Council of UK.		20	7	7	3	33	WILEY-V C H VERLAG GMBH	WEINHEIM	BOSCHSTRASSE 12, D-69469 WEINHEIM, GERMANY	1863-8880	1863-8899		LASER PHOTONICS REV	Laser Photon. Rev.	JUL	2014	8	4			SI		583	589		10.1002/lpor.201300186		7	Optics; Physics, Applied; Physics, Condensed Matter	Optics; Physics	AL3YQ	WOS:000339068800012		
J	Zhang, SH; Qi, ZW; Kuang, F; Xu, HY				Zhang, Shi Hong; Qi, Zhen Wei; Kuang, Fei; Xu, Hai Ying			Inhibiting the Corrosion of C38 Carbon Steel in 1 M HCl by an Environmentally Friendly Inhibitor	ELECTROCHEMISTRY			English	Article						Corrosion Inhibitor; Tafel Polarization Curve; Weight Loss Measurement; Electrochemical Impedance Spectroscopy	HYDROCHLORIC-ACID SOLUTION; MILD-STEEL; SCHIFF-BASES; DERIVATIVES; EXTRACT; IRON; TEMPERATURE; ADSORPTION; MEDIA; OIL	As a kind of environmentally friendly corrosion inhibitor, the extract from pomelo peel was evaluated for C38 carbon steel in 1 M HCl solution. The corrosion inhibiting performances of the extract from pomelo peel was confirmed using electrochemical method, weight loss measurement and scanning electron microscope (SEM) observation in the temperature range between 298 and 328 K. The inhibition efficiency was found to increase with the concentration of the extract from pomelo peel. Electrochemical impedance spectroscopy (EIS) measurement indicated that the corrosion process of the steel was inhibited by the adsorption of the extract from pomelo peel, following a Langmuir-type isotherm. (C) The Electrochemical Society of Japan, All rights reserved.	[Zhang, Shi Hong; Qi, Zhen Wei; Xu, Hai Ying] Southwest Petr Univ, Chengdu 610500, Sichuan, Peoples R China; [Kuang, Fei] Karamay Univ Technol, Xinjiang 833600, Peoples R China; [Kuang, Fei] Karamay Vocat & Tech Coll, Xinjiang 833600, Peoples R China	Kuang, F (reprint author), Karamay Univ Technol, Xinjiang 833600, Peoples R China.	feikuang@aliyun.com						47	1	1	2	12	ELECTROCHEMICAL SOC JAPAN	TOKYO	ARUSUICHIGAYA202, 4-8-30, KUDANMINAMI, CHIYODA-KU, TOKYO, 102-0074, JAPAN	1344-3542			ELECTROCHEMISTRY	Electrochemistry	JUL	2014	82	7					584	590		10.5796/electrochemistry.82.584		7	Electrochemistry	Electrochemistry	AL1SH	WOS:000338905900008		
