PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Lai, ZY; Lai, XC; Shi, JB; Lu, ZY				Lai, Zhenyu; Lai, Xinchun; Shi, Junbing; Lu, Zhongyuan			Effect of Zn2+ on the early hydration behavior of potassium phosphate based magnesium phosphate cement	CONSTRUCTION AND BUILDING MATERIALS			English	Article						Magnesium phosphate cement; Zinc ion; Hydration; Solidification/stabilization	RAPID REPAIR; PORE STRUCTURE; WATER-CONTENT; CONCRETE; PASTE; STABILIZATION; WASTE; CERAMICS; STRENGTH; MORTAR	Magnesium phosphate cements (MPC) have potential applications in the solidification/stabilization of heavy metals. In this paper, the effect of Zn ions on the early hydration behavior of magnesium phosphate cement was investigated. The results showed that the physico-chemical characteristics of the MPC were significantly influenced by Zn ions. The addition of Zn ions increased the final setting time of the MPC and decreased the compressive strength of the MPC. The effect of Zn ions on the hydration characteristics of the MPC was examined by pH, heat of hydration, XRD, SEM and EDS. It is observed that the zinc ions have no effect on the phases of the hydration products of the MPC, but the crystalline degree of the product is influenced by the zinc ions. Furthermore, in the early hydration reaction process of magnesium phosphate cement, addition of Zn ions slows down the increasing of the pH and delays the hydration exothermic peak of the MPC. Most zinc ions are exited in hydration products. The result of the TCLP of the zinc ions showed that the leaching toxicity of the zinc ions is lower than the standard requirement. 2016 Elsevier Ltd. All rights reserved.	[Lai, Zhenyu; Shi, Junbing; Lu, Zhongyuan] Southwest Univ Sci & Technol, State Key Lab Cultivat Base Nonmet Composites & F, Mianyang 621010, Peoples R China; [Lai, Zhenyu; Lai, Xinchun] Natl Key Lab Surface Phys & Chem, Mianyang 621907, Sichuan, Peoples R China	Lai, ZY (reprint author), Southwest Univ Sci & Technol, State Key Lab Cultivat Base Nonmet Composites & F, Mianyang 621010, Peoples R China.	laizhenyu@swust.edu.cn			Key Project of Chinese National Programs for Fundamental Research and Development [2016YFC0701004]; Southwest University of Science and Technology [13zxfk04, 14tdfk01]	The authors would like to acknowledge the financial support by Key Project of Chinese National Programs for Fundamental Research and Development (2016YFC0701004), and funding from Southwest University of Science and Technology (13zxfk04, 14tdfk01).		30	0	0	15	15	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0950-0618	1879-0526		CONSTR BUILD MATER	Constr. Build. Mater.	DEC 30	2016	129						70	78				9	Construction & Building Technology; Engineering, Civil; Materials Science, Multidisciplinary	Construction & Building Technology; Engineering; Materials Science	ED9BH	WOS:000389164600007		
J	Jia, LB; Li, XQ				Jia, Lian-Bao; Li, Xue-Qian			The new interaction suggested by the anomalous Be transition sets a rigorous constraint on the mass range of dark matter	EUROPEAN PHYSICAL JOURNAL C			English	Article							PARTICLES; NUCLEOSYNTHESIS; ABUNDANCES	The WIMPs are considered to belong to the favorable dark matter (DM) candidates, but the upper bounds on the interactions between DM and standard model (SM) particles obtained by the upgraded facilities of DM direct detection get lower and lower. Researchers turn their attention to the search for less massive DM candidates, i.e. light dark matter of the MeV scale. The recently measured anomalous transition in Be suggests that there exists a vectorial boson which may mediate the interaction between DM and SM particles. Based on this scenario, we combine the relevant cosmological data to constrain the mass range of DM, and we have found that there exists a model parameter space where the requirements are satisfied, a range of 16.7 MeV for scalar DM, and MeV for vectorial DM is demanded. Then a possibility of directly detecting such light DM particles via DM-electron scattering is briefly studied in this framework.	[Jia, Lian-Bao] Southwest Univ Sci & Technol, Sch Sci, Mianyang 621010, Peoples R China; [Li, Xue-Qian] Nankai Univ, Sch Phys, Tianjin 300071, Peoples R China	Jia, LB (reprint author), Southwest Univ Sci & Technol, Sch Sci, Mianyang 621010, Peoples R China.	jialb@mail.nankai.edu.cn; lixq@nankai.edu.cn			National Natural Science Foundation of China [11505144, 11375128, 11135009]; Research Fund for the Doctoral Program of the Southwest University of Science and Technology [15zx7102]	This work was partially supported by the National Natural Science Foundation of China under Contract Nos. 11505144, 11375128 and 11135009, and the Research Fund for the Doctoral Program of the Southwest University of Science and Technology under Contract No. 15zx7102.		46	0	0	2	2	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	1434-6044	1434-6052		EUR PHYS J C	Eur. Phys. J. C	DEC 24	2016	76	12							706	10.1140/epjc/s10052-016-4561-3		7	Physics, Particles & Fields	Physics	EH5SA	WOS:000391832000001		
J	Shao, H; He, ZK; Xu, KQ; Hu, X; Zhou, YL; Tang, CY; Mei, J; Shuai, MB; Lau, WM; Hui, D				Shao, Hong; He, Zhoukun; Xu, Keqin; Hu, Xin; Zhou, Yuanlin; Tang, Changyu; Mei, Jun; Shuai, Maobing; Lau, Woon-ming; Hui, David			Preparation of Stable Wetting Surface by Hyperthermal Hydrogen Induced Cross-Linking of Poly(acrylic acid) on Poly(chloro-p-xylylene) Film	JOURNAL OF PHYSICAL CHEMISTRY C			English	Article							LOW-PRESSURE O-2; HIGH GAS BARRIER; PLASMA TREATMENT; POLYPROPYLENE SURFACE; THIN-FILM; C-H; WETTABILITY; ADHESION; LAYER; PROTONS	Enhancing surface wetting is very critical for various applications of polymer films. Although existing modification methods (e.g, UV radiation and plasma treatments) can improve the wetting of polymer films by inserting hydrophilic groups, the resultant polymer surface is unstable and shows strong hydrophobic recovery in a short time (less than 1 day) due to the rearrangement of the polymer chains. Herein, we report a new approach to prepare stable wetting surface by cross-linking hydrophilic poly(acrylic acid) (PAA) molecules on poly(chloro-p-xylylene) (PPXC) films via hyperthermal hydrogen induced cross linking (HHIC) treatment. With the HHIC treatment, the polar functionalities of PAA (e.g.,-COOH) can be preserved through selective cleavage of C-H bonds and subsequent cross-linking of resulting carbon radicals generated on PAA and PPXC chains. HHIC-treated PAA PPXC film shows an excellent wetting stability, of which WCA and surface energy stay almost the same over 40 days. The improved wetting stability of PPXC film is attributed to the controllable HHIC reaction without undesirable side reaction (e.g., the scission of polymer chain backbone), which effectively restricts the rearrangement of PAA chains on the surface. Besides, the improved wetting stability by our approach results in reliable adhesion between silver ink and polymer films. Thus, fixing hydrophilic Molecules on hydrophobic polymer surface by HHIC treatment could be an alternative approach to conventional surface treatments for preparation of stable wetting surface on polymer films.	[Shao, Hong; He, Zhoukun; Xu, Keqin; Hu, Xin; Tang, Changyu; Mei, Jun; Lau, Woon-ming] China Acad Engn Phys, Chengdu Dev Ctr Sci & Technol, Chengdu Green Energy & Green Mfg Technol R&D Ctr, Chengdu 610207, Peoples R China; [Shuai, Maobing] Sci & Technol Surface Phys & Chem Lab, Mianyang 621907, Peoples R China; [Zhou, Yuanlin; Shuai, Maobing] Southwest Univ Sci & Technol, State Key Lab Cultivat Base Nonmet Composites & F, Mianyang 621000, Peoples R China; [Hui, David] Univ New Orleans, Dept Mech Engn, New Orleans, LA 70148 USA	Tang, CY (reprint author), China Acad Engn Phys, Chengdu Dev Ctr Sci & Technol, Chengdu Green Energy & Green Mfg Technol R&D Ctr, Chengdu 610207, Peoples R China.; Shuai, MB (reprint author), Sci & Technol Surface Phys & Chem Lab, Mianyang 621907, Peoples R China.; Shuai, MB (reprint author), Southwest Univ Sci & Technol, State Key Lab Cultivat Base Nonmet Composites & F, Mianyang 621000, Peoples R China.	sugarchangyu@163.com; shuaimaobing@caep.cn		He, Zhoukun/0000-0002-1133-567X	National Natural Science Foundation of China [51573217, 21504106, 51573172]; advanced functional polymer coating program	We would like to express our sincere thanks to financial support from the National Natural Science Foundation of China (51573217, 21504106, and 51573172) and advanced functional polymer coating program.		44	0	0	6	6	AMER CHEMICAL SOC	WASHINGTON	1155 16TH ST, NW, WASHINGTON, DC 20036 USA	1932-7447			J PHYS CHEM C	J. Phys. Chem. C	DEC 22	2016	120	50					28598	28606		10.1021/acs.jpcc.6b09547		9	Chemistry, Physical; Nanoscience & Nanotechnology; Materials Science, Multidisciplinary	Chemistry; Science & Technology - Other Topics; Materials Science	EG0PV	WOS:000390735600025		
J	Cao, XQ; Wang, KY; Du, G; Asiri, AM; Ma, YJ; Lu, Q; Sun, XP				Cao, Xiaoqin; Wang, Kunyang; Du, Gu; Asiri, Abdullah M.; Ma, Yongjun; Lu, Qun; Sun, Xuping			One-step electrodeposition of a nickel cobalt sulfide nanosheet film as a highly sensitive nonenzymatic glucose sensor	JOURNAL OF MATERIALS CHEMISTRY B			English	Article							HIGH-PERFORMANCE SUPERCAPACITOR; NI FOAM; NANOSTRUCTURES; BIOSENSOR; ARRAYS; PSEUDOCAPACITORS; NANOCOMPOSITES; NANOPARTICLES; FABRICATION; DEPOSITION	In this communication, we demonstrate that a nickel cobalt sulfide nanosheet film electrodeposited on a titanium mesh (Ni-Co-S/TM) exhibits high catalytic activity toward electrooxidation of glucose. As a nonenzymatic glucose sensor, this Ni-Co-S/TM catalyst electrode shows a wide linear response range of 0.001-3 mM, a low limit of detection of 0.12 mu M with a signal-to-noise ratio of 3, a sensitivity of 3291.5 mu A mM(-1) cm(-2), and a fast response time of less than 5 s. Moreover, it also demonstrates high selectivity, good reproducibility and long-term stability for glucose detection.	[Cao, Xiaoqin; Lu, Qun] Southwest Jiaotong Univ, Sch Life Sci & Engn, Dept Chem & Chem Engn, Chengdu 610031, Sichuan, Peoples R China; [Cao, Xiaoqin; Sun, Xuping] Sichuan Univ, Coll Chem, Chengdu 610064, Sichuan, Peoples R China; [Wang, Kunyang; Du, Gu] Chengdu Inst Geol & Mineral Resources, Chengdu 610081, Sichuan, Peoples R China; [Asiri, Abdullah M.] King Abdulaziz Univ, Dept Chem, Jeddah 21589, Saudi Arabia; [Ma, Yongjun] Southwest Univ Sci & Technol, Analyt & Test Ctr, Mianyang 621010, Sichuan, Peoples R China	Lu, Q (reprint author), Southwest Jiaotong Univ, Sch Life Sci & Engn, Dept Chem & Chem Engn, Chengdu 610031, Sichuan, Peoples R China.; Sun, XP (reprint author), Sichuan Univ, Coll Chem, Chengdu 610064, Sichuan, Peoples R China.	luqun1125@home.swjtu.edu.cn; sunxp@scu.edu.cn	Asiri, Abdullah/C-3458-2009	Asiri, Abdullah/0000-0001-7905-3209				42	1	1	33	33	ROYAL SOC CHEMISTRY	CAMBRIDGE	THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE CB4 0WF, CAMBS, ENGLAND	2050-750X	2050-7518		J MATER CHEM B	J. Mat. Chem. B	DEC 21	2016	4	47					7540	7544		10.1039/c6tb01736c		5	Materials Science, Biomaterials	Materials Science	EH4XS	WOS:000391777800004		
J	Huang, S; Zhang, WQ; Liu, TL; Wang, KC; Qi, XJ; Zhang, JH; Zhang, QH				Huang, Shi; Zhang, Wenquan; Liu, Tianlin; Wang, Kangcai; Qi, Xiujuan; Zhang, Jiaheng; Zhang, Qinghua			Towards N-Alkylimidazole Borane-based Hypergolic Fuels	CHEMISTRY-AN ASIAN JOURNAL			English	Article						hydrazine; hypergolic fuels; ignition delay time; N-alkylimidazole borane; propellants	BOROHYDRIDE IONIC LIQUIDS; ENERGETIC MATERIALS; IGNITION-DELAY; PREDICTION; STABILITY; FLUIDS	Over the past few decades, toxic and highly volatile hydrazine derivatives have been the main fuel choices for liquid bipropellants, especially in traditional hypergolic rocket engines. The search for new hypergolic fuels as replacements for hydrazine derivatives is of great interest to researchers. In this study, a series of N-alkylimidazole borane compounds has been synthesized and characterized. Interestingly, these compounds display promising applications as potential hypergolic fuels owing to their excellent physiochemical properties including low melting points, high thermal stability, low viscosities, and unique hypergolic reactivity. Compared with popular hypergolic ionic liquids, the cost-effective and scaling-up advantages of these materials highlight their promising potential as high-performance fuels in liquid bipropellant formulations.	[Huang, Shi; Zhang, Wenquan; Liu, Tianlin; Wang, Kangcai; Zhang, Qinghua] China Acad Engn Phys CAEP, Res Ctr Energet Mat Genome Sci, Inst Chem Mat, Mianyang 621900, Peoples R China; [Qi, Xiujuan] Southwest Univ Sci & Technol, Sch Mat Sci & Engn, Mianyang 612900, Peoples R China; [Zhang, Jiaheng] Harbin Inst Technol, Sch Mat Sci & Engn, Shenzhen Grad Sch, Shenzhen 518055, Peoples R China		jzhang@uidaho.edu; qinghuazhang@caep.cn	Zhang, Qinghua/K-4474-2013	Zhang, Qinghua/0000-0003-3620-4331	National Natural Science Foundation of China [11472251]; China Postdoctoral Science Foundation [2015M570796, 2016T90870]	This work was supported by the National Natural Science Foundation of China (No. 11472251) and the China Postdoctoral Science Foundation (2015M570796, 2016T90870).		39	0	0	11	11	WILEY-V C H VERLAG GMBH	WEINHEIM	POSTFACH 101161, 69451 WEINHEIM, GERMANY	1861-4728	1861-471X		CHEM-ASIAN J	Chem.-Asian J.	DEC 19	2016	11	24					3528	3533		10.1002/asia.201601194		6	Chemistry, Multidisciplinary	Chemistry	EI5CN	WOS:000392511500010	27685545	
J	Lu, CL; Zhang, L; Zhang, YW; Liu, SY				Lu, Chunlin; Zhang, Lin; Zhang, Yunwang; Liu, Shenye			Electrodeposition of TiO2/CdSe heterostructure films and photocatalytic degradation of methylene blue	MATERIALS LETTERS			English	Article						TiO2/CdSe; Electrodeposition; Photocatalysis; Photodegradation; Methylene blue	TIO2 NANOTUBE ARRAYS; SOLAR-CELLS; VISIBLE-LIGHT; THIN-FILMS; CDSE; FABRICATION; DEPOSITION; WATER	TiO2/CdSe heterostructure films were deposited on FTO conductive glass by using electrodeposition method. XRD and SEM characterization results proved that the TiO2/CdSe films were successfully prepared. The photodegradation properties of obtained thin films were tested by the degradation of methylene blue (MB) under simulated sunlight. Compared with monolayer TiO2 film, the degradation rate of TiO2/CdSe films had been significantly enhanced. After three times cycling photodegradation test, the degradation rate of MB was retained at 77.15%. It proved that the TiO2/CdSe films had good stability and reusability under illumination. (C) 2016 Elsevier B.V. All rights reserved.	[Lu, Chunlin; Zhang, Lin; Zhang, Yunwang; Liu, Shenye] China Acad Engn Phys, Res Ctr Laser Fus, Sci & Technol Plasma Phys Lab, Mianyang 621900, Peoples R China; [Zhang, Lin] Southwest Univ Sci & Technol, Jointment Lab Extreme Condit Matter Properties, CAEP, Res Ctr Laser Fus, Mianyang 621010, Peoples R China	Zhang, L (reprint author), China Acad Engn Phys, Res Ctr Laser Fus, Sci & Technol Plasma Phys Lab, Mianyang 621900, Peoples R China.	roger0314@163.com			Science and Technology Development Foundation of China Academy of Physics Engineering [2012A0302015, 2012B0302050]; Key Laboratory of Ultra Precision Machining Technology of CAEP [ZZ13019]	The financial support from the Science and Technology Development Foundation of China Academy of Physics Engineering (Nos. 2012A0302015 and 2012B0302050) and Key Laboratory of Ultra Precision Machining Technology of CAEP (No. ZZ13019) is gratefully acknowledged.		16	0	0	16	16	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0167-577X	1873-4979		MATER LETT	Mater. Lett.	DEC 15	2016	185						342	345		10.1016/j.matlet.2016.09.017		4	Materials Science, Multidisciplinary; Physics, Applied	Materials Science; Physics	EF7LK	WOS:000390510900087		
J	Han, HL; Hu, YQ				Han, Huilin; Hu, Yanqing			A new species of the genus Meganola Dyar, 1898 (Lepidoptera, Nolidae, Nolinae) from China	ZOOTAXA			English	Article									[Han, Huilin] Northeast Forestry Univ, Sch Forestry, Harbin 150040, Peoples R China; [Hu, Yanqing] Southwest Univ Sci & Technol, Sch Life Sci & Engn, Mianyang 621010, Peoples R China	Hu, YQ (reprint author), Southwest Univ Sci & Technol, Sch Life Sci & Engn, Mianyang 621010, Peoples R China.	hanhuilin@aliyun.com; huyanqing1013@163.com			National Natural Science Foundation of China [31272355, 31572294]; Fundamental Research Funds for the Central Universities [2572014DA02]	We are grateful to three reviewers for helpful critiques and suggestions to significantly improve this manuscript. This research was supported by the National Natural Science Foundation of China, No. 31272355 and No. 31572294, and the Fundamental Research Funds for the Central Universities, No. 2572014DA02.		2	0	0	2	2	MAGNOLIA PRESS	AUCKLAND	PO BOX 41383, AUCKLAND, ST LUKES 1030, NEW ZEALAND	1175-5326	1175-5334		ZOOTAXA	Zootaxa	DEC 15	2016	4208	2					198	200		10.11646/zootaxa.4208.2.7		3	Zoology	Zoology	EE6UN	WOS:000389748300007		
J	Yi, Y; Zhao, XF; Teng, YC; Bi, B; Wang, LL; Wu, L; Zhang, KB				Yi, Yong; Zhao, Xiaofeng; Teng, Yuancheng; Bi, Beng; Wang, Lili; Wu, Lang; Zhang, Kuibao			First-principles study of point defects in CePO4 monazite	JOURNAL OF NUCLEAR MATERIALS			English	Article							NUCLEAR-WASTE STORAGE; SOLID-STATE SYNTHESIS; X-RAY-DIFFRACTION; CHEMICAL DURABILITY; PLUTONIUM; IMMOBILIZATION; BRABANTITE; CERAMICS; ORTHOPHOSPHATES; PHOSPHATES	CePO4 monazite is an important radiation-resistant material that may act as a potential minor actinides waste form. Here, we present the results of the calculations for the basic radiation defect modellings in CePO4 crystals, along with the examination of their defect formation energies and effect of the defect concentrations. This study focused on building a fully-relaxed CePO4 model with the step iterative optimization from the DFT-GGA calculations using the VASP and CASTEP databases. The results show that the Frenkel defect configuration resulting from the center interstitials has a lower energy when compared to two adjacent orthophosphate centers (the saddle point position). High formation energies were found for all the types of intrinsic Frenkel and vacancy defects. The formation energies conform to the following trend (given in the decreasing order of energy): Ce Frenkel (12.41 eV) > O Frenkel (11.02 eV) > Ce vacancy (9.09 eV) > O vacancy (6.69 eV). We observed almost no effect from the defect concentrations on the defect formation energies. (C) 2016 Elsevier B.V. All rights reserved.	[Yi, Yong; Zhao, Xiaofeng; Teng, Yuancheng; Wu, Lang; Zhang, Kuibao] Southwest Univ Sci & Technol, State Key Lab Cultivat Base Nonmetal Composites &, Mianyang 621010, Peoples R China; [Bi, Beng] Southwest Univ Sci & Technol, Joint Lab Extreme Condit Matter Properties, Mianyang 621010, Peoples R China; [Wang, Lili] China Acad Engn Phys, Inst Comp Applicat, Mianyang 621900, Peoples R China	Teng, YC (reprint author), Southwest Univ Sci & Technol, State Key Lab Cultivat Base Nonmetal Composites &, Mianyang 621010, Peoples R China.	tyc239@163.com			NSFC (Natural Science Foundation of China) [11275158]; Scientific Research Innovation Team Project [14tdfk02]; Open Project of State Key Laboratory Cultivation Base for Nonmetal Composites and Functional Materials (Southwest University of Science and Technology) [11zxfk26]	We sincerely appreciate the financial support of the NSFC (the Natural Science Foundation of China, Grant No. 11275158), Scientific Research Innovation Team Project (No. 14tdfk02), and Open Project of State Key Laboratory Cultivation Base for Nonmetal Composites and Functional Materials (Southwest University of Science and Technology, No. 11zxfk26).		30	0	0	30	30	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0022-3115	1873-4820		J NUCL MATER	J. Nucl. Mater.	DEC 15	2016	482						170	174		10.1016/j.jnucmat.2016.10.004		5	Materials Science, Multidisciplinary; Nuclear Science & Technology	Materials Science; Nuclear Science & Technology	EC2PP	WOS:000387966100023		
J	Zhang, YH; Lin, XY; Zhou, QS; Luo, XG				Zhang, Yahui; Lin, Xiaoyan; Zhou, Quisheng; Luo, Xuegang			Fluoride adsorption from aqueous solution by magnetic core-shell Fe3O4@alginate-La particles fabricated via electro-coextrusion	APPLIED SURFACE SCIENCE			English	Article						Magnetic; Core-shell Fe3O4@Alg-La particles; Adsorption; Fluoride	WALLED CARBON NANOTUBES; CHITOSAN BEADS; ENHANCED ADSORPTION; DONNAN DIALYSIS; DRINKING-WATER; ALGINATE BEADS; AZO-DYE; REMOVAL; ADSORBENT; COMPOSITE	The magnetic core-shell Fe3O4@Alg-La particles were fabricated successfully by a simple method of electro-coextrusion, and employed as an adsorbent for separation of fluoride from aqueous solution. Main factors affecting the removal of fluoride, including pH, adsorbent dosage, initial concentration, temperature and contact time were investigated. The adsorption isotherm and adsorption kinetics were studied to understand the adsorption process in detail. The experimental data were fitted well by the non-linear Freundlich isotherm and linear pseudo-second-order model, the maximum fluoride adsorption capacity was 45.230 mg/g at pH 4, 298.15 K. Thermodynamic parameters indicated that the fluoride adsorption process was feasible and spontaneous. The presence of other anions like Cl-, SO42-, HCO3- and PO43- had almost no effect on the fluoride adsorption. The adsorbent can be easily separated from the solution by a magnet. The magnetic core-shell Fe3O4@Alg-La particles before and after fluoride adsorption were studied by SEM, FTIR, EDX and XPS, which indicated that the adsorption mechanism may be related to electrostatic attraction and Lewis acid-base interaction. (C) 2016 Elsevier B.V. All rights reserved.	[Zhang, Yahui; Lin, Xiaoyan] Southwest Univ Sci & Technol, Sch Mat Sci & Engn, Mianyang 621010, Sichuan, Peoples R China; [Zhang, Yahui; Lin, Xiaoyan; Luo, Xuegang] Minist Educ, Engn Res Ctr Biomass Mat, Mianyang 621010, Sichuan, Peoples R China; [Zhou, Quisheng] South China Univ Technol, State Key Lab Pulp & Paper Engn, Guangzhou 510640, Guangdong, Peoples R China	Lin, XY (reprint author), Southwest Univ Sci & Technol, Sch Mat Sci & Engn, Mianyang 621010, Sichuan, Peoples R China.	lxy20100205@163.com			National Key Scientific Projects for Decommissioning of Nuclear Facilities and Radioactive Waste Management [14zg6101]	This work was supported by National Key Scientific Projects for Decommissioning of Nuclear Facilities and Radioactive Waste Management (14zg6101). The authors want to thank the technology support of Engineering Research Center of Biomass Materials, Ministry of Education, Southwest University of Science and Technology.		55	3	3	59	69	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0169-4332	1873-5584		APPL SURF SCI	Appl. Surf. Sci.	DEC 15	2016	389						34	45		10.1016/j.apsusc.2016.07.087		12	Chemistry, Physical; Materials Science, Coatings & Films; Physics, Applied; Physics, Condensed Matter	Chemistry; Materials Science; Physics	DX7OL	WOS:000384577600005		
J	Li, S; Wei, XH; Lei, Y; Yuan, XC; Zeng, HZ				Li, Shuo; Wei, Xianhua; Lei, Yao; Yuan, Xincai; Zeng, Huizhong			Complementary resistive switching in BaTiO3/NiO bilayer with opposite switching polarities	APPLIED SURFACE SCIENCE			English	Article						Complementary resistive switching; Bilayer; Oxygen vacancies; Conducting filaments	BIPOLAR	Resistive switching behaviors have been investigated in the Au/BaTiO3/NiO/Pt structure by stacking the two elements with different switching types. The conducting atomic force microscope measurements on BaTiO3 thin films and NiO thin films suggest that with the same active resistive switching region, the switching polarities in the two semiconductors are opposite to each other. It is in agreement with the bipolar hysteresis I-V curves with opposite switching polarities for single-layer devices. The bilayer devices show complementary resistive switching (CRS) without electroforming and unipolar resistive switching (URS) after electroforming. The coexistence of CRS and URS is mainly ascribed to the co-effect of electric field and Joule heating mechanisms, indicating that changeable of resistance in this device is dominated by the redistribution of oxygen vacancies in BaTiO3 and the formation, disruption, restoration of conducting filaments in NiO. CRS in bilayer with opposite switching polarities is effective to solve the sneak current without the introduction of any selector elements or an additional metal electrode. (C) 2016 Elsevier B.V. All rights reserved.	[Li, Shuo; Wei, Xianhua; Yuan, Xincai] Southwest Univ Sci & Technol, State Key Lab Cultivat Base Nonmet Composites & F, Mianyang 621010, Peoples R China; [Lei, Yao; Zeng, Huizhong] Univ Elect Sci & Technol China, State Key Lab Elect Thin Films & Integrated Devic, Chengdu 610054, Peoples R China; [Li, Shuo] Univ Sci & Technol Lille, CNRS, IEMN, Ave Poincare,BP 60069, F-59652 Villeneuve Dascq, France	Wei, XH (reprint author), Southwest Univ Sci & Technol, State Key Lab Cultivat Base Nonmet Composites & F, Mianyang 621010, Peoples R China.	weixianhua@swust.edu.cn			Open Project of State Key Laboratory Cultivation Base for Nonmetal Composites and Functional Materials [11zxfk17]; Key Project of Sichuan Provincial Department of Education [14ZA0087]; Open Foundation of State Key Laboratory of Electronic Thin Films and Integrated Devices [KFJJ201307]; China Scholarship Council [201408510111]	The authors are grateful to Mr. C. L. Huang (China Academy of Engineering Physics) during the SEM measurements. The work was supported by a grant to X. H. Wei from the Open Project of State Key Laboratory Cultivation Base for Nonmetal Composites and Functional Materials (No. 11zxfk17), the Key Project of Sichuan Provincial Department of Education (No. 14ZA0087), and the Open Foundation of State Key Laboratory of Electronic Thin Films and Integrated Devices (KFJJ201307). The author S. Li is thankful for the grant support from China Scholarship Council (No. 201408510111).		33	0	0	58	64	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0169-4332	1873-5584		APPL SURF SCI	Appl. Surf. Sci.	DEC 15	2016	389						977	982		10.1016/j.apsusc.2016.08.025		6	Chemistry, Physical; Materials Science, Coatings & Films; Physics, Applied; Physics, Condensed Matter	Chemistry; Materials Science; Physics	DX7OL	WOS:000384577600118		
