PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Tao, H; Wu, WJ; Wu, JG				Tao, Hong; Wu, Wenjuan; Wu, Jiagang			Electrical properties of holmium doped (K,Na)(Nb,Sb)O-3-(Bi,Na)HfO3 ceramics with wide sintering and poling temperature range	JOURNAL OF ALLOYS AND COMPOUNDS			English	Article						Potassium-sodium niobate; Multiphase coexistence; Giant piezoelectricity; High strain; Rare earth (Ho)	POTASSIUM-SODIUM NIOBATE; LEAD-FREE PIEZOCERAMICS; RELAXOR FERROELECTRIC CERAMICS; FREE PIEZOELECTRIC MATERIALS; PHASE-TRANSITION; SYSTEM; MICROSTRUCTURE; ENHANCEMENT; COEXISTENCE; BOUNDARIES	Here the electrical properties can be modified by the chemical compositions {0.965K(0.45)Na(0.55)Nb((1-x)) SbxO3-0.035Bi(0.5)Na(0.5)HfO(3), KNNSx-BNH}, and moreover its temperature (i. e., sintering or poling temperatures) sensitivity of piezoelectricity can be further weakened by doping rare earth (i. e., Ho), which is beneficial to reproduction. Rhombohedral-tetragonal (R-T) phase boundary can be formed in the ceramics with a wide composition range of x = 0.04-0.08 by simultaneously increasing rhombohedral-orthorhombic (R-O) phase transition temperature (TR-O) and decreasing orthorhombic-tetrahedral (O-T) phase transition temperature (TO-T). The R-T phase boundary warrants a large piezoelectric coefficient (d(33)) of similar to 418 pC/N as well as a high Curie temperature (T-C) of similar to 242 degrees C in the ceramics with chi = 0.04, and a high electric field-induced strain of similar to 0.33% (S-max/E-max - 983 pm V (-1)) as well as a large d33 (similar to 408 pC/N) can be attained in the ceramics with chi = 0.07. Especially, a high recoverable energy density (W-rec-0.54 J/cm(3)) can be gained in the ceramics with chi = 0.10 under a low breakdown strength (similar to 129 kV/cm). The piezoelectricity sensitive to sintering or poling temperatures can be weakened by introducing Ho element, that is, a high d(33) of 400-458 pC/N can be attained in a wide range of sintering temperatures (1070-1120 degrees C) and poling temperatures (13-120 degrees C). We believe that this investigation can be a significant promotion on the development of practical applications in (K, Na) NbO3-based ceramics. (C) 2016 Elsevier B. V. All rights reserved.	[Tao, Hong; Wu, Jiagang] Sichuan Univ, Dept Mat Sci, Chengdu 610064, Peoples R China; [Wu, Wenjuan] Chengdu Univ Informat Technol, Sichuan Prov Key Lab Informat Mat & Devices Appli, Chengdu 610225, Peoples R China	Wu, JG (reprint author), Sichuan Univ, Dept Mat Sci, Chengdu 610064, Peoples R China.	wujiagang0208@163.com			National Science Foundation of China (NSFC) [51102173, 51272164, 51332003, 51472169]; Fundamental Research Funds for the Central Universities [2012SCU04A01]; College of Materials Science and Engineering of Sichuan University	Authors gratefully acknowledge the supports of the National Science Foundation of China (NSFC Nos. 51102173, 51272164, 51332003, and 51472169), the Fundamental Research Funds for the Central Universities (2012SCU04A01), and the College of Materials Science and Engineering of Sichuan University. Thank Hui Wang for measuring the SEM patterns.		43	1	1	28	34	ELSEVIER SCIENCE SA	LAUSANNE	PO BOX 564, 1001 LAUSANNE, SWITZERLAND	0925-8388	1873-4669		J ALLOY COMPD	J. Alloy. Compd.	DEC 25	2016	689						759	766		10.1016/j.jallcom.2016.08.037		8	Chemistry, Physical; Materials Science, Multidisciplinary; Metallurgy & Metallurgical Engineering	Chemistry; Materials Science; Metallurgy & Metallurgical Engineering	DX5NH	WOS:000384427200099		
J	Wang, HJ; Deng, YY; Dong, B; Yang, L; Yao, ZD; Su, DB				Wang, Haijiang; Deng, Yangyang; Dong, Bao; Yang, Ling; Yao, Zhendong; Su, Debin			A multiband RF signal sampling frequency selection method based on cylindrical surface spectrum analysis	EURASIP JOURNAL ON WIRELESS COMMUNICATIONS AND NETWORKING			English	Article						Cylindrical surface spectrum; Arc distance; Multiband; Sampling	PERFECT RECONSTRUCTION; ALIASING ERROR; BOUNDS	Sampling frequency selection is a key issue in direct digitalization of the radio frequency (RF) signals. In this paper, we propose a cylindrical surface spectrum and arc distance-based sampling frequency selection method for multiband RF signals. In this method, a 3D visual expression of cylindrical surface spectrum of digital signal is introduced. This expression reflects better the circulatory nature of the spectrum of digital signals. It is found more intuitive, heuristic, and effective in dealing with undersampling issues of multiband RF signals than conventional spectrum expressions are. A function of arc distance between two frequency bands are also introduced which turns out to be useful in the determination of sampling frequency and design of digital filters.	[Wang, Haijiang; Deng, Yangyang; Dong, Bao; Yang, Ling; Yao, Zhendong; Su, Debin] Chengdu Univ Informat Technol, Coll Elect Engn, Chengdu 610225, Sichuan, Peoples R China; [Wang, Haijiang; Deng, Yangyang; Dong, Bao; Yang, Ling; Yao, Zhendong; Su, Debin] CMA Key Lab Atmospher Sounding, Chengdu 610225, Sichuan, Peoples R China	Wang, HJ (reprint author), Chengdu Univ Informat Technol, Coll Elect Engn, Chengdu 610225, Sichuan, Peoples R China.; Wang, HJ (reprint author), CMA Key Lab Atmospher Sounding, Chengdu 610225, Sichuan, Peoples R China.	whj@cuit.edu.cn			Science and Technology Department of Sichuan Province [2016JY0106]; Education Department of Sichuan Province (Project) of China [16ZA0209]	Research for this paper was funded by the Science and Technology Department of Sichuan Province (Project 2016JY0106) and the Education Department of Sichuan Province (Project 16ZA0209) of China.		13	0	0	2	2	SPRINGER INTERNATIONAL PUBLISHING AG	CHAM	GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND	1687-1499			EURASIP J WIREL COMM	EURASIP J. Wirel. Commun. Netw.	DEC 7	2016									280	10.1186/s13638-016-0783-1		9	Engineering, Electrical & Electronic; Telecommunications	Engineering; Telecommunications	EF0ED	WOS:000389997600001		
J	Chi, J; Yan, CL; Zhang, MX; Ju, BS				Chi, Jie; Yan, Changli; Zhang, Minxian; Ju, Binshan			On locally convex probabilistic normed spaces	JOURNAL OF INEQUALITIES AND APPLICATIONS			English	Article						probabilistic normed space; locally convex probabilistic seminormed space; local base		In this paper, we give the notion of locally convex probabilistic seminormed spaces and discuss some property of locally convex probabilistic seminormed spaces.	[Chi, Jie; Ju, Binshan] China Univ Geosci, Sch Energy Resources, Xueyuan Rd 29, Beijing 100083, Peoples R China; [Chi, Jie; Ju, Binshan] China Univ Geosci, Minist Educ, Key Lab Marine Reservoir Evolut & Hydrocarbon Acc, Beijing 100083, Peoples R China; [Chi, Jie; Ju, Binshan] China Univ Geosci, Key Lab Shale Gas Explorat & Assessment, Minist Land & Resources, Beijing 100083, Peoples R China; [Yan, Changli] Hebei Univ Architecture, Dept Math & Phys, Zhang Jiakou 075000, Hebei, Peoples R China; [Zhang, Minxian] Chengdu Univ Informat Technol, Coll Math, Chengdu 610225, Sichuan, Peoples R China	Ju, BS (reprint author), China Univ Geosci, Sch Energy Resources, Xueyuan Rd 29, Beijing 100083, Peoples R China.; Ju, BS (reprint author), China Univ Geosci, Minist Educ, Key Lab Marine Reservoir Evolut & Hydrocarbon Acc, Beijing 100083, Peoples R China.; Ju, BS (reprint author), China Univ Geosci, Key Lab Shale Gas Explorat & Assessment, Minist Land & Resources, Beijing 100083, Peoples R China.	chijie7980@163.com; changli24@126.com; mxzhang@cuit.edu.cn; jubs2936@163.com			Fundamental Research Funds for National Science and Technology Major Projects [2016ZX05011-002]; Fundamental Research Funds for the Central Universities [2652015142]	The research was supported by the Fundamental Research Funds for National Science and Technology Major Projects (2016ZX05011-002) and the Fundamental Research Funds for the Central Universities (2652015142). The authors would like to thank the associated editors and anonymous referees for their valuable comments and suggestions, which have helped to improve the paper.		17	0	0	2	2	SPRINGER INTERNATIONAL PUBLISHING AG	CHAM	GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND	1029-242X			J INEQUAL APPL	J. Inequal. Appl.	DEC 7	2016									319	10.1186/s13660-016-1263-1		13	Mathematics, Applied; Mathematics	Mathematics	EF0BF	WOS:000389989700001		
J	Li, JT; Yang, DY; Zhu, XH; Sun, H; Gao, XY; Wangyang, PH; Tian, HB				Li, Jitao; Yang, Dinyu; Zhu, Xinghua; Sun, Hui; Gao, Xiuying; Wangyang, Peihua; Tian, Haibo			Effects of annealing temperature on the structural and optical properties of ZnO thin films prepared by sol-gel method	FUNCTIONAL MATERIALS LETTERS			English	Article						ZnO thin films; sol-gel method; annealing temperature; crystal structure; optical properties		ZnO thin films have been prepared by sol-gel method in this paper. Zinc acetate, ethanol and mono-ethanolamine (MEA) were used as a metal precursor, solvent and stabilizer, respectively. The structural and optical properties of ZnO thin films were investigated and found to be strongly dependent on the annealing temperature. X-ray diffraction patterns revealed that as the annealing temperature increased, the crystalline quality of the samples became better. The atomic force microscope images of the samples show larger and compact grains at higher heat-treating temperature. The ultraviolet-visible transmittance spectra indicated that as the temperature increased, the transmittance improved and the energy gap became larger (from 3.11 eV at 400 degrees C to 3.22 eV at 500 degrees C). The photoluminescence spectra presented a variety of emission peaks, two strong peaks at 390 nm and 469 nm, respectively, from the intrinsic emission and point defects, and the intensity of these peaks decreased with the increase of temperature.	[Li, Jitao; Yang, Dinyu; Zhu, Xinghua; Sun, Hui; Gao, Xiuying; Wangyang, Peihua; Tian, Haibo] Chengdu Univ Informat Technol, Sch Optoelect Technol, Chengdu 610225, Peoples R China	Yang, DY (reprint author), Chengdu Univ Informat Technol, Sch Optoelect Technol, Chengdu 610225, Peoples R China.	yangdingyu@cuit.edu.cn			Natural Science Foundation of China (NSFC) [11675029]; Technology Support Program Fund of Science and Technology Department of Sichuan Province [2014GZ0020, 2015GZ0194, 2014GZX0012, 2016FZ0018]	This work was supported by Natural Science Foundation of China (NSFC) No. 11675029 and Technology Support Program Fund of Science and Technology Department of Sichuan Province Nos. 2014GZ0020, 2015GZ0194, 2014GZX0012 and 2016FZ0018.		14	0	0	9	9	WORLD SCIENTIFIC PUBL CO PTE LTD	SINGAPORE	5 TOH TUCK LINK, SINGAPORE 596224, SINGAPORE	1793-6047	1793-7213		FUNCT MATER LETT	Funct. Mater. Lett.	DEC	2016	9	6							1750010	10.1142/S1793604717500102		4	Materials Science, Multidisciplinary	Materials Science	EJ0WM	WOS:000392931600015		
J	Zheng, JF; Liu, LP; Zeng, ZM; Xie, XL; Wu, JY; Feng, K				Zheng Jia-Feng; Liu Li-Ping; Zeng Zheng-Mao; Xie Xiao-Lin; Wu Jing-Ya; Feng Kai			Ka-bard millimeter wave cloud radar data quality control	JOURNAL OF INFRARED AND MILLIMETER WAVES			Chinese	Article						Ka-band millimeter wave cloud radar; data quality control; velocity dealiasing	DOPPLER RADAR; PRECIPITATION	To improve the data quality of Ka band millimeter wave cloud radar, a quality control method for solving problems related to velocity aliasing, noisy echo, data missing and plankton contamination is presented. The effectiveness of the method was verified by several cases. The results show that the velocity dealiasing algorithm based on radar Doppler spectra processing is effective with high success rate and stability. Success rates of 15 cases reach 100%. It can also find out the fuzzy type and correct radial velocity and spectrum width. With this method, noisy clutter are filtered validly and missing data can be filling well. The plankton echoes can almost be removed clearly while the small scale cloud can be remained.	[Zheng Jia-Feng; Liu Li-Ping; Zeng Zheng-Mao; Wu Jing-Ya] Chinese Acad Meteorol Sci, State Key Lab Severe Weather, Beijing 100081, Peoples R China; [Zheng Jia-Feng] Nanjing Univ Informat Sci & Technol, China Meteorol Adiministrat, Key Lab Aerosol Cloud Precipit, Nanjing 210044, Jiangsu, Peoples R China; [Zheng Jia-Feng] Chengdu Univ Informat Technol, Sch Atmospher Sci, Chengdu 610025, Peoples R China; [Zeng Zheng-Mao] Chengdu Univ Informat Technol, Dept Elect Engn, Chengdu 610025, Peoples R China; [Xie Xiao-Lin] Meteorol Observat Data Ctr Sichuan Prov, Chengdu 610072, Peoples R China; [Feng Kai] China Aerosp Sci & Ind Grp, Dept 2, Inst 23, Beijing 100854, Peoples R China	Zheng, JF (reprint author), Chinese Acad Meteorol Sci, State Key Lab Severe Weather, Beijing 100081, Peoples R China.; Zheng, JF (reprint author), Nanjing Univ Informat Sci & Technol, China Meteorol Adiministrat, Key Lab Aerosol Cloud Precipit, Nanjing 210044, Jiangsu, Peoples R China.; Zheng, JF (reprint author), Chengdu Univ Informat Technol, Sch Atmospher Sci, Chengdu 610025, Peoples R China.	jiafeng_zheng@163.com			National Natural Science Foundation of China [41175038, 91337103]; 973 Subproject of China [2012CB417202]; 3rd Tibetan Plateau Atmospheric Science Experiment Project [GYHY201406001]; Jiangsu Province Ordinary University Graduate Student Scientific Research Innovation Projects [KYLX_0839]	Supported by National Natural Science Foundation of China (41175038, 91337103), 973 Subproject of China (2012CB417202), the 3rd Tibetan Plateau Atmospheric Science Experiment Project (GYHY201406001), and Jiangsu Province Ordinary University Graduate Student Scientific Research Innovation Projects (KYLX_0839)		22	0	0	2	2	SCIENCE PRESS	BEIJING	16 DONGHUANGCHENGGEN NORTH ST, BEIJING 100717, PEOPLES R CHINA	1001-9014			J INFRARED MILLIM W	J. Infrared Millim. Waves	DEC	2016	35	6					748	757		10.11972/j.issn.1001-9014.2016.06.018		10	Optics	Optics	EI1TU	WOS:000392261700018		
J	Xu, JP; Fang, GM; Wu, ZZ				Xu, Jiuping; Fang, Guomin; Wu, Zezhong			Network equilibrium of production, transportation and pricing for multi-product multi-market	MATHEMATICAL METHODS OF OPERATIONS RESEARCH			English	Article						Production; Transportation; Pricing; Network equilibrium; Vector variational inequality; lambda-Combination equilibrium; Multi-product; Multi-market	VECTOR VARIATIONAL INEQUALITY; TRAPEZOIDAL FUZZY NUMBERS; CHANNEL SUPPLY CHAIN; PRODUCTION DECISIONS; JOINT PRODUCTION; DEMAND; MODEL; COST; OPTIMIZATION; EXTENSION	In this paper, we consider a production, transportation and pricing problem for multi-product multi-market (PTPMM) as a system, and develop a PTPMM network equilibrium model. After allocating each product's production cost and revenue to each path, we establish a profit network graph. An equilibrium PTPMM matrix and a -combination equilibrium are proposed based on a generalization of the well-known Wardrop's equilibrium principle. The necessary and sufficient conditions for the -combination equilibrium are proposed using a linear scalarized profit function. We prove that solving the PTPMM network equilibrium problem can be reduced to the solving of the weak vector variational inequality problem, which proposes an algorithm for the PTPMM problem. Finally, an illustrative example is given to demonstrate an application of these theoretical results.	[Xu, Jiuping; Fang, Guomin] Sichuan Univ, Sch Business, Chengdu 610064, Peoples R China; [Fang, Guomin; Wu, Zezhong] Chengdu Univ Informat Technol, Coll Appl Math, Chengdu 610225, Peoples R China	Xu, JP (reprint author), Sichuan Univ, Sch Business, Chengdu 610064, Peoples R China.	xujiuping@scu.edu.cn; fgmin@cuit.edu.cn			National Natural Science Foundation of China [71301110]; Humanities and Social Sciences Foundation of the Ministry of Education [13XJC630015]; Research Fund for the Doctoral Program of Higher Education of China [20130181120059]; Project of Education Department of Sichuan Province [14ZB0173]	The authors are indebted to the anonymous referees for their careful reading of the manuscript and for their useful comments and suggestions which improved the presentation of this work. This research was supported by National Natural Science Foundation of China (Grant No. 71301110) and the Humanities and Social Sciences Foundation of the Ministry of Education (Grant No. 13XJC630015), and also supported by Research Fund for the Doctoral Program of Higher Education of China (Grant No. 20130181120059) and Project of Education Department of Sichuan Province (Grant No. 14ZB0173).		49	0	0	5	5	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	1432-2994	1432-5217		MATH METHOD OPER RES	Math. Method Oper. Res.	DEC	2016	84	3					567	595		10.1007/s00186-016-0557-x		29	Operations Research & Management Science; Mathematics, Applied	Operations Research & Management Science; Mathematics	EH9YX	WOS:000392129300006		
J	Zhang, Y; Cui, Z; Ding, YC; Liu, T				Zhang, Ying; Cui, Zhen; Ding, Yingchun; Liu, Tong			Density functional theories study on optoelectronic properties of arsenic-doped GaN nanowires	OPTICAL AND QUANTUM ELECTRONICS			English	Article						GaN; Impurities; Electronic properties; Optical properties; Density functional theory	FIELD-EMISSION PROPERTIES; LIGHT-EMITTING-DIODES; CHEMICAL-VAPOR-DEPOSITION; OPTICAL-PROPERTIES; 1ST PRINCIPLES	The electronic and optical properties of As-doped GaN nanowires have been investigated using density functional theory. The energy gaps of As-doped GaN nanowires with different concentrations exhibit indirect band gaps, and the band gaps are decreasing with the increasing doping concentration. The results predicate that alloys exhibit a typical semiconductivity. Moreover, the optical properties, including the complex dielectric function, optical refractive index, energy-loss function, reflectivity, and absorption coefficient are discussed for radiation up to 30 eV. With the increase of the As-fraction, the material gradually exhibits noticeable anisotropy in the photon energy range of 0-15 eV. Quickly increases the static dielectric constant and obviously red-shifts the absorption edge. The results are in good agreement with experimental data reported previously. Furthermore, the work gives a theoretical guidance for the preparation of As-doped GaN optoelectronic nanodevices.	[Zhang, Ying; Cui, Zhen] Xian Univ Technol, Sch Automat & Informat Engn, Xian 710048, Peoples R China; [Ding, Yingchun] Chengdu Univ Informat Technol, Coll Optoelect Technol, Chengdu 610225, Peoples R China; [Liu, Tong] Queen Mary Univ London, Sch Phys & Astron, London E1 4NS, England	Cui, Z (reprint author), Xian Univ Technol, Sch Automat & Informat Engn, Xian 710048, Peoples R China.	zcui@xaut.edu.cn						25	0	0	3	3	SPRINGER	DORDRECHT	VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS	0306-8919	1572-817X		OPT QUANT ELECTRON	Opt. Quantum Electron.	DEC	2016	48	12							548	10.1007/s11082-016-0824-3		11	Engineering, Electrical & Electronic; Optics	Engineering; Optics	EH0QG	WOS:000391468200024		
J	Chang, Y; Zhang, WB; Zhang, SB; Wang, HC; Yan, LL; Han, GH; Sheng, ZW; Huang, YY; Suo, W; Xiong, JX				Chang, Yan; Zhang, Wen-Bo; Zhang, Shi-Bin; Wang, Hai-Chun; Yan, Li-Li; Han, Gui-Hua; Sheng, Zhi-Wei; Huang, Yuan-Yuan; Suo, Wang; Xiong, Jin-Xin			Quantum Private Comparison of Equality Based on Five-Particle Cluster State	COMMUNICATIONS IN THEORETICAL PHYSICS			English	Article						quantum private comparison of equality; five-particle cluster state; semi-honest third party	COMPARISON PROTOCOL; ENTANGLED STATES; NOISE	A protocol for quantum private comparison of equality (QPCE) is proposed based on five-particle cluster state with the help of a semi-honest third party (TP). In our protocol, TP is allowed to misbehave on its own but can not conspire with either of two parties. Compared with most two-user QPCE protocols, our protocol not only can compare two groups of private information (each group has two users) in one execution, but also compare just two private information. Compared with the multi-user QPCE protocol proposed, our protocol is safer with more reasonable assumptions of TP. The qubit efficiency is computed and analyzed. Our protocol can also be generalized to the case of 2N participants with one TP. The 2N-participant protocol can compare two groups (each group has N private information) in one execution or just N private information.	[Chang, Yan; Zhang, Shi-Bin; Wang, Hai-Chun; Yan, Li-Li; Han, Gui-Hua; Sheng, Zhi-Wei; Huang, Yuan-Yuan; Suo, Wang; Xiong, Jin-Xin] Chengdu Univ Informat Technol, Dept Informat Secur Engn, Chengdu 610225, Peoples R China; [Zhang, Wen-Bo] Sichuan Univ, Sch Econ, Chengdu 610065, Peoples R China	Chang, Y (reprint author), Chengdu Univ Informat Technol, Dept Informat Secur Engn, Chengdu 610225, Peoples R China.				NSFC [61402058, 61572086]; Fund for Middle and Young Academic Leaders of CUIT [J201511]; Science and Technology Support Project of Sichuan Province of China [2013GZX0137]; Fund for Young Persons Project of Sichuan Province of China [12ZB017]; Foundation of Cyberspace Security Key Laboratory of Sichuan Higher Education Institutions [szjj2014-074]	Supported by NSFC under Grant Nos. 61402058, 61572086, the Fund for Middle and Young Academic Leaders of CUIT under Grant No. J201511, the Science and Technology Support Project of Sichuan Province of China under Grant No. 2013GZX0137, the Fund for Young Persons Project of Sichuan Province of China under Grant No. 12ZB017, and the Foundation of Cyberspace Security Key Laboratory of Sichuan Higher Education Institutions under Grant No. szjj2014-074		23	0	0	9	9	IOP PUBLISHING LTD	BRISTOL	TEMPLE CIRCUS, TEMPLE WAY, BRISTOL BS1 6BE, ENGLAND	0253-6102	1572-9494		COMMUN THEOR PHYS	Commun. Theor. Phys.	DEC 1	2016	66	6					621	628				8	Physics, Multidisciplinary	Physics	EG8CF	WOS:000391282600005		
J	Fang, SH; Zhang, YF; Zhao, SY; Qiang, LW; Chen, M; Zhu, LY				Fang, Shuhong; Zhang, Yifeng; Zhao, Shuyan; Qiang, Liwen; Chen, Meng; Zhu, Lingyan			BIOACCUMULATION OF PERFLUOROALKYL ACIDS INCLUDING THE ISOMERS OF PERFLUOROOCTANE SULFONATE IN CARP (CYPRINUS CARPIO) IN A SEDIMENT/WATER MICROCOSM	ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY			English	Article						perfluoroalkyl acids (PFAAs); Isomers; Fish; Bioaccumulation	TROUT ONCORHYNCHUS-MYKISS; SPRAGUE-DAWLEY RATS; RAINBOW-TROUT; FOOD-WEB; PARTITIONING BEHAVIOR; PERFLUORINATED ACIDS; TISSUE DISTRIBUTION; SUBSTANCES PFASS; TAIHU LAKE; EXPOSURE	Carp (Cyprinus carpio) were exposed to perfluoroalkyl acids (PFAAs) including perfluorooctane sulfonate (PFOS) isomers in an artificially contaminated sediment/water microcosm. The uptake constant of PFAAs increased with increasing carbon chain length, whereas the elimination coefficient displayed the opposite trend, suggesting that carbon chain length plays an important role in the bioaccumulation of PFAAs. When the contribution of suspended particulate matter was taken into account, the bioaccumulation factors (BAFs) became lower (3.61-600 L/kg) compared with BAFs derived from only considering the absorption from free PFAAs in water (3.85-97000 L/kg). The results indicate that suspended particulate matter in water constitutes an important source of exposure for aquatic organisms to long-chain PFAAs. Linear (n-)PFOS was preferentially accumulated compared with branched isomers in carp. Among the branched isomers, 1m-PFOS displayed the greatest bioaccumulation, whereas m(2)-PFOS had the lowest. Linear PFOS displayed greater partitioning ability from blood to other tissues over branched PFOS (br-PFOS) isomers, leading to a relatively lower n-PFOS proportion in blood. In summary, suspended particulate matter made a contribution to the accumulation of long-chain PFAAs in aquatic organisms, and n-PFOS was preferentially accumulated compared with br-PFOS isomers. (C) 2016 SETAC	[Fang, Shuhong; Zhang, Yifeng; Zhao, Shuyan; Qiang, Liwen; Chen, Meng; Zhu, Lingyan] Nankai Univ, Tianjin Key Lab Environm Remediat & Pollut Contro, Key Lab Pollut Proc & Environm Criteria, Minist Educ,Coll Environm Sci & Engn, Tianjin, Peoples R China; [Fang, Shuhong] Chengdu Univ Informat Technol, Coll Resources & Environm, Chengdu, Peoples R China; [Zhu, Lingyan] Northwest A&F Univ, Coll Nat Resources & Environm, Yang Ling, Peoples R China	Zhu, LY (reprint author), Nankai Univ, Tianjin Key Lab Environm Remediat & Pollut Contro, Key Lab Pollut Proc & Environm Criteria, Minist Educ,Coll Environm Sci & Engn, Tianjin, Peoples R China.; Zhu, LY (reprint author), Northwest A&F Univ, Coll Nat Resources & Environm, Yang Ling, Peoples R China.	zhuly@nankai.edu.cn		Zhang, Yifeng/0000-0002-6454-4918	Natural Science Foundation of China (NSFC) [21325730, 21277077, 21577067]; Ministry of Science and Technology [2012ZX07529-003]; Ministry of Education [20130031130005]; Innovation Team (IRT) [13024]; Yangtze River scholar program	We acknowledge financial support from the Natural Science Foundation of China (NSFC 21325730, 21277077, 21577067), the Ministry of Science and Technology (2012ZX07529-003), the Ministry of Education (20130031130005), the Innovation Team (IRT 13024), and the Yangtze River scholar program.		39	0	0	16	16	WILEY-BLACKWELL	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0730-7268	1552-8618		ENVIRON TOXICOL CHEM	Environ. Toxicol. Chem.	DEC	2016	35	12					3005	3013		10.1002/etc.3483		9	Environmental Sciences; Toxicology	Environmental Sciences & Ecology; Toxicology	EG4RM	WOS:000391031400013	27163505	
J	Peng, L; Li, LZ; Wang, R; Tu, XQ; Hu, Y; Hu, YB; Guo, C				Peng Long; Li Lezhong; Wang Rui; Tu Xiaoqiang; Hu Yun; Hu Yuebin; Guo Cheng			Characteristics Improvement of Low-temperature Sintered SrFe12O19 Ferrites in LTCC System Applications	RARE METAL MATERIALS AND ENGINEERING			English	Article						strontium ferrites; magnetic anisotropy field; LTCC technology; ferrite devices	MAGNETIC-PROPERTIES; STRONTIUM FERRITES; TECHNOLOGY; SUBSTITUTION; HEXAFERRITES; FILMS	In order to improve the sintering characteristics of the low-temperature sintered M-type hexagonal strontium ferrites (SrFe12O19) prepared by a solid phase method, the Bi2O3 additive was used as a sintering aid. The crystal structure, electrical properties, and magnetic properties of the ferrites were investigated. The results show that the single phase structural SrFe12O19 ferrites can be obtained even with a low sintering temperature of 900 degrees C. The Bi2O3 additive is found to possess a significant effect on the electrical properties and magnetic properties for the ferrites sintered at low temperatures enhancing resistivity rho, saturation magnetization M-s, intrinsic coercivity H-ci, and magnetic anisotropy field H-a. It is suggested that the low-temperature sintered SrFe12O19 ferrites with rho of 0.42x10(8) Omega.cm, M-s of 285.6 kA.m(-1), H-ci of 347.3 kA.m(-1), and H-a of 1546.6 kA.m(-1) provide an important potential application in nonreciprocal LTCC (low temperature co-fired ceramics) ferrite devices.	[Peng Long; Li Lezhong; Wang Rui; Tu Xiaoqiang; Hu Yun] Chengdu Univ Informat Technol, Chengdu 610225, Peoples R China; [Peng Long; Hu Yuebin; Guo Cheng] Chengdu Ind Vocat & Tech Coll, Post Doctoral Innovat Practice Base, Chengdu 610213, Peoples R China	Peng, L (reprint author), Chengdu Univ Informat Technol, Coll Optoelect Technol, Chengdu 610225, Peoples R China.	penglong@cuit.edu.cn			Scientific Research Foundation of Education Office of Sichuan Province [13Z198]; Chengdu University of Information Technology [3201222]	Scientific Research Foundation of Education Office of Sichuan Province (13Z198); Young and Middle-aged Academic Leaders of Scientific Research Funds of Chengdu University of Information Technology (3201222)		16	0	0	3	3	NORTHWEST INST NONFERROUS METAL RESEARCH	SHAANXI	C/O RARE METAL MATERIAL ENGINEERING PRESS, PO BOX 51, XIAN, SHAANXI 710016, PEOPLES R CHINA	1002-185X			RARE METAL MAT ENG	Rare Metal Mat. Eng.	DEC	2016	45	12					3095	3098				4	Materials Science, Multidisciplinary; Metallurgy & Metallurgical Engineering	Materials Science; Metallurgy & Metallurgical Engineering	EG7QI	WOS:000391243500011		
