PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Fan, QC; Feng, H; Sun, WG; Li, HD; Xie, YM; King, RB				Fan, Qunchao; Feng, Hao; Sun, Weiguo; Li, Huidong; Xie, Yaoming; King, R. Bruce			Binuclear butadiene chromium carbonyls: Comparison with their trimethylenemethane isomers	INORGANICA CHIMICA ACTA			English	Article						Chromium; Butadiene complexes; Metal-metal bonding; Metal carbonyls; Density functional theory	ELECTRONIC-STRUCTURE; CORRELATION-ENERGY; CONJUGATED DIENES; DENSITY; BOND; HYDROGENATION; COMPLEXES; APPROXIMATION; EXCHANGE; BEHAVIOR	Butadiene is known to form a chromium carbonyl complex (eta(4)-C4H6)Cr(CO)(4), which has been structurally characterized by X-ray crystallography. The structures and energetics of the butadiene chromium carbonyl complexes (C4H6)Cr(CO)(m) (m = 5, 4, 3, 2) and (C4H6)(2)Cr-2(CO)(n) (n = 7, 6, 5) have now been investigated by density functional theory. The lowest energy (C4H6)(2)Cr-2(CO)(7) structure is a singlet singly bridged structure with a Cr-Cr single bond distance of similar to 3.1 angstrom. This structure is predicted to be disfavored with respect to dissociation into mononuclear fragments. The lowest energy singlet (C4H6)(2)Cr-2(CO)(6) structure is an unbridged structure with a Cr=Cr double bond distance of similar to 2.7 angstrom. However, a doubly bridged isomeric singlet (C4H6)(2)Cr-2(CO)(4)(mu-CO)(2) structure with two bridging CO groups and a similar Cr=Cr double bond lies only slightly higher in energy. Related triplet (C4H6)(2)Cr-2(CO)6 structures with longer Cr-Cr distances of similar to 3.0 angstrom corresponding to formal single bonds are comparable in energy to the singlet structures. The hexacarbonyl (C4H6)(2)Cr-2(CO)(6) is predicted to be energetically disfavored with respect to disproportionation into (C4H6)(2)Cr-2(CO)(7) + (C4H6)(2)Cr-2(CO)(5). The lowest energy (C4H6)(2)Cr-2(CO)(5) structure has all terminal CO groups and a short Cr, Cr triple bond distance of similar to 2.4 angstrom. A higher energy (C4H6)(2)Cr-2(CO)(5) structure by similar to 4 kcal/mol has a four-electron donor eta(2)-mu-CO group and a Cr=Cr double bond distance of similar to 2.7 angstrom. These (C4H6)(2)Cr-2(CO)n (n = 7, 6, 5) structures are similar to the isomeric [(CH2)(3)-C](2)Cr-2(CO)(n) structures that are previously reported except for some differences in the arrangements of the bridging carbonyl groups. (C)2013 Elsevier B.V. All rights reserved.	[Fan, Qunchao; Feng, Hao; Sun, Weiguo] Xihua Univ, Res Ctr Adv Computat, Sch Phys & Chem, Chengdu 610039, Peoples R China; [Feng, Hao; Sun, Weiguo; Li, Huidong] Sichuan Univ, Inst Atom & Mol Phys, Chengdu 610065, Sichuan, Peoples R China; [Xie, Yaoming; King, R. Bruce] Univ Georgia, Dept Chem, Athens, GA 30602 USA; [Xie, Yaoming; King, R. Bruce] Univ Georgia, Ctr Computat Chem, Athens, GA 30602 USA	Feng, H (reprint author), Xihua Univ, Res Ctr Adv Computat, Sch Phys & Chem, Chengdu 610039, Peoples R China.	fenghao@mail.xhu.edu.cn; rbking@chem.uga.edu			National Natural Science Foundation of China [11204244, 11074204]; Program for New Century Excellent Talents in University [NCET-10-0949]; Youth Foundation of the Department of Science and Technology [2012JQ0055]; Fund of Key Laboratory of Advanced Scientific Computation, Xihua University, China; US National Science Foundation [CHE-1057466]	This study was supported by the National Natural Science Foundation of China (Grant Nos. 11204244 and 11074204), the Program for New Century Excellent Talents in University (Grant No. NCET-10-0949), the Youth Foundation (Grant No. 2012JQ0055) of the Department of Science and Technology, the Fund of Key Laboratory of Advanced Scientific Computation, Xihua University, China, and the US National Science Foundation (Grant CHE-1057466).		39	0	0	2	9	ELSEVIER SCIENCE SA	LAUSANNE	PO BOX 564, 1001 LAUSANNE, SWITZERLAND	0020-1693	1873-3255		INORG CHIM ACTA	Inorg. Chim. Acta	OCT 1	2013	407						181	188		10.1016/j.ica.2013.07.042		8	Chemistry, Inorganic & Nuclear	Chemistry	232DX	WOS:000325471600026		
J	Tang, XR; Feng, H; Du, Q; Wang, L				Tang, Xiaorong; Feng, Hui; Du, Quan; Wang, Ling			Synthesis and Antifungal Activity of 2-(4-Chlorophenylcarbamoyl)phenyl Acetate	ASIAN JOURNAL OF CHEMISTRY			English	Article						Antifungal activity; 2-(4-Chlorophenylcarbamoyl)phenyl acetate; Synthesis	BOTRYTIS-CINEREA; ASPIRIN; RESISTANCE; MECHANISM; TOMATO; EFFICACY; HYBRIDS; QTLS; PAIN; MOLD	2-(4-Chlorophenylcarbamoyl)phenyl acetate was synthesized by the ammonolysis of 2-(chlorocarbonyl)phenyl acetate. Its structure was confirmed by IR and H-1 NMR. Its antifungal activity against Sclerotinia sclerotiorum and Helminthosprium maydis has been determined in the laboratory. Results showed that it had good antifungal activity against the above two different pathogenic fungi of plants. Its median effective concentrations (EC50) were 28 mg L-1 and 2.3 mg L-1, respectively.	[Tang, Xiaorong; Du, Quan; Wang, Ling] Xihua Univ, Sch Phys & Chem, Chengdu 610039, Peoples R China; [Feng, Hui] Xihua Univ, Sch Bioengn, Chengdu 610039, Peoples R China	Tang, XR (reprint author), Xihua Univ, Sch Phys & Chem, Chengdu 610039, Peoples R China.	tangxiaorong0901@163.com			Scientific Research Fund of Sichuan Provincial Education Department [09ZA113]; Key Scientific Research Fund of Xihua University [Z0913302]; Organic Chemistry Key Discipline of Xihua University	This project was supported by the Scientific Research Fund of Sichuan Provincial Education Department (No. 09ZA113), the Key Scientific Research Fund of Xihua University (No. Z0913302) and the Organic Chemistry Key Discipline of Xihua University.		30	0	0	0	10	ASIAN JOURNAL OF CHEMISTRY	SAHIBABAD	11/100 RAJENDRA NAGAR, SECTOR 3,, SAHIBABAD 201 005, GHAZIABAD, INDIA	0970-7077			ASIAN J CHEM	Asian J. Chem.	OCT	2013	25	13	A				7271	7273				3	Chemistry, Multidisciplinary	Chemistry	227HM	WOS:000325103300046		
J	Wang, Q; Sun, WG; Fan, QC				Wang, Qi; Sun, Weiguo; Fan, Qunchao			The P-branch and R-branch emission spectral lines in the d(1)Sigma(+)-A(3)Sigma(-)(0) system of NbN	SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY			English	Article						Spectral line; Emission spectrum; Rovibrational transition; NbN	LYING ELECTRONIC STATES; HYPERFINE-STRUCTURE; AB-INITIO; SPECTROSCOPY; SPIN	The P and R-branch spectral lines of high-lying rotational quantum states of (0,0), (1,1) bands in d(1)Sigma(+)-A(3)Sigma(-)(0) electronic transition of NbN are obtained in this work by using the analytical formula proposed recently by Sun et al. The formula have generated unknown P and R-branch emission spectral lines up to J = 80 those may not be available experimentally for these bands of NbN molecule. (c) 2013 Elsevier B.V. All rights reserved.	[Wang, Qi; Sun, Weiguo] Sichuan Univ, Inst Atom & Mol Phys, Chengdu 610065, Peoples R China; [Sun, Weiguo; Fan, Qunchao] Xihua Univ, Sch Phys & Chem, Res Ctr Adv Computat, Chengdu 610039, Peoples R China	Sun, WG (reprint author), Sichuan Univ, Inst Atom & Mol Phys, Chengdu 610065, Peoples R China.	swg@mail.xhu.edu.cn			National Natural Science Foundation of China [11074204, 11204244]; Youth Foundation of the Department of Science and Technology [2012JQ0055]; Education Department of Sichuan Province [12ZA165]; Research Fund of Key Disciplines of Atomic and Molecular Physics; Key Laboratory of Advanced Scientific Computation, Xihua University, People's Republic of China	This study was supported by the National Natural Science Foundation of China (Grant Nos.: 11074204 and 11204244), the Youth Foundation (Grant No.: 2012JQ0055) of the Department of Science and Technology, the Key Project (Grant No.: 12ZA165) of Education Department of Sichuan Province, the Research Fund of Key Disciplines of Atomic and Molecular Physics, and the Fund of Key Laboratory of Advanced Scientific Computation, Xihua University, People's Republic of China.		25	3	3	1	9	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	1386-1425			SPECTROCHIM ACTA A	Spectroc. Acta Pt. A-Molec. Biomolec. Spectr.	OCT	2013	114						51	54		10.1016/j.saa.2013.05.019		4	Spectroscopy	Spectroscopy	204UN	WOS:000323396800008	23756258	
J	Fan, QC; Hu, S; Sun, WG; Wang, Q				Fan, Qunchao; Hu, Shi; Sun, Weiguo; Wang, Qi			The emission spectroscopy of the e(1)Pi-a(1)Delta system of VN molecule	SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY			English	Article						Analytical formulae; VN; Emission spectroscopy	VANADIUM MONONITRIDE; INFRARED-SPECTRA; METAL NITRIDES; NITROGEN; ATOMS; MN	Vanadium nitride is an important metallurgical additive and a good electrode material molecule. It is necessary to understand its intrinsic microstructure for better applications. Four groups of known experimental transition data of low-lying rotational quantum states and the analytical formula developed recently by Sun group are used to study the R-ee, P-ee, R-ff and P-ff-branch emission spectra of the (0, 0) band of the e(1)Pi-a(1)Delta system of VN molecule respectively. The results not only reproduce all known experimental spectral lines accurately, but also generate valid data of the unknown spectral lines up to J = 80 that may not be available experimentally. (C) 2013 Elsevier B.V. All rights reserved.	[Fan, Qunchao; Sun, Weiguo] Xihua Univ, Res Ctr Adv Computat, Sch Phys & Chem, Chengdu 610039, Peoples R China; [Hu, Shi; Sun, Weiguo; Wang, Qi] Sichuan Univ, Inst Atom & Mol Phys, Chengdu 610065, Peoples R China	Sun, WG (reprint author), Xihua Univ, Res Ctr Adv Computat, Sch Phys & Chem, Chengdu 610039, Peoples R China.	swg@mail.xhu.edu.cn			National Natural Science Foundation of China [11074204, 11204244]; Science Foundation of the Chinese Educational Ministry [20100181110085]; Youth Foundation of the Department of Sichuan Science and Technology [2012JQ0055]	This study was supported by the National Natural Science Foundation of China (Grant Nos. 11074204 and 11204244), the Science Foundation of the Chinese Educational Ministry (Grant number 20100181110085), and the Youth Foundation (Grant No: 2012JQ0055) of the Department of Sichuan Science and Technology.		17	1	1	1	2	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	1386-1425			SPECTROCHIM ACTA A	Spectroc. Acta Pt. A-Molec. Biomolec. Spectr.	OCT	2013	114						357	359		10.1016/j.saa.2013.05.040		3	Spectroscopy	Spectroscopy	204UN	WOS:000323396800050	23786976	
J	Li, HD; Feng, H; Sun, WG; Fan, QC; Xie, YM; King, RB; Schaefer, HF				Li, Huidong; Feng, Hao; Sun, Weiguo; Fan, Qunchao; Xie, Yaoming; King, R. Bruce; Schaefer, Henry F., III			Bonding of Iron Tricarbonyl Units to Heptafulvene: Trimethylenemethane, Butadiene, and Allylic Coordination Modes	ORGANOMETALLICS			English	Article							CORRELATION-ENERGY; BASIS-SETS; DENSITY; CYTOCHROME-P450; APPROXIMATION; COMPLEXES; EXCHANGE; BEHAVIOR; VALENCE; ATOMS	Complexation of the very unstable free heptafulvene with iron carbonyls is known experimentally to lead to stable complexes, including two isomers of (eta(4)-C7H6CH2)Fe(CO)(3) as well as the binuclear (C7H6CH2)(2)Fe-2(CO)(6). Density functional theory shows that structures of the mononuclear (C7H6CH2)Fe(CO)(3) with trimethylenemethane and butadiene subunits of the heptafulvene ligand bonded to the Fe(CO)(3) moiety have nearly equal energies within similar to 3 kcal/mol, consistent with the experimental observation of two isomers depending upon the synthetic method. For (C7H6CH2)Fe-2(CO)(6) a trans-eta(4):eta(4) structure with no iron iron bond and a cis-eta(3):eta(3) allylic structure with an iron iron bond are predicted to have energies within similar to 3.0 kcal/mol. Comparison of the predicted nu(CO) frequencies for these two structures with the experimental nu(CO) frequencies for the structurally uncharacterized (C7H6CH2)Fe-2(CO)(6) suggests the cis-eta(3):eta(3) allylic structure for the latter.	[Li, Huidong; Feng, Hao; Sun, Weiguo; Fan, Qunchao] Xihua Univ, Res Ctr Adv Computat, Sch Phys & Chem, Chengdu 610039, Peoples R China; [Sun, Weiguo] Sichuan Univ, Inst Atom & Mol Phys, Chengdu 610065, Sichuan, Peoples R China; [Xie, Yaoming; King, R. Bruce; Schaefer, Henry F., III] Univ Georgia, Dept Chem, Athens, GA 30602 USA; [Xie, Yaoming; King, R. Bruce; Schaefer, Henry F., III] Univ Georgia, Ctr Computat Chem, Athens, GA 30602 USA	Feng, H (reprint author), Xihua Univ, Res Ctr Adv Computat, Sch Phys & Chem, Chengdu 610039, Peoples R China.	fenghao@mail.xhu.edu.cn; rbking@chem.uga.edu			Program for New Century Excellent Talents in University in China [NCET-10-0949]; Chinese National Natural Science Foundation [11174236, 11074204]; U.S. National Science Foundation [CHE-1057466, CHE-1054286]	This research was supported by the Program for New Century Excellent Talents in University in China (Grant No. NCET-10-0949), the Chinese National Natural Science Foundation (Grant Nos. 11174236 and 11074204), and the U.S. National Science Foundation (Grants CHE-1057466 and CHE-1054286).		43	0	0	2	8	AMER CHEMICAL SOC	WASHINGTON	1155 16TH ST, NW, WASHINGTON, DC 20036 USA	0276-7333	1520-6041		ORGANOMETALLICS	Organometallics	SEP 9	2013	32	17					4912	4918		10.1021/om400641r		7	Chemistry, Inorganic & Nuclear; Chemistry, Organic	Chemistry	295VQ	WOS:000330144900026		
J	Ma, SD; Wang, Y; Min, ZH; Zhong, LS				Ma, Sude; Wang, Yan; Min, Zhonghua; Zhong, Lisheng			Nano/Mesoporous Polymers Based Low-k Dielectric Materials: A Review on Methods and Advances	ADVANCES IN POLYMER TECHNOLOGY			English	Review						Dielectric properties; Low-k; Macroporous polymer; Methods; Nanostructure	NANOPOROUS THIN-FILMS; POROUS POLYIMIDE NANOPARTICLES; PARTIALLY ALIPHATIC POLYIMIDE; MESOPOROUS SILICA; BLOCK-COPOLYMER; CONSTANT MATERIALS; BIOMEDICAL APPLICATIONS; SOLVOTHERMAL SYNTHESIS; ADSORPTION PROPERTIES; ELECTRICAL-PROPERTIES	Nanoporous or mesoporous structures and hence a decrease in dielectric constant can always be induced with the introduction of air into polymeric materials. It is therefore achievable to prepare ultra-large-scale integrated circuit (ULSIC) on ultralow dielectric constant (i.e., low-k) materials. The research on nano/mesoporous polymer based low-k materials, including the past decade advances, the introduction of principles and methods of nano/mesopores, characterization, commonly used raw materials, typical products, and corresponding dielectric properties, is extensively reviewed and summarized in this paper. The nano/mesopores can be introduced into the polymers by more than five methods such as reprecipitation, sol-gel, thermolysis, supercritical foaming, and electrochemical etch. The pore size, morphologies, porosities, and film thicknesses of the products can be controlled by raw materials and processing conditions in these methods. The low-k dielectric materials based on nano/mesoporous polymers have great potential application in ULSIC in light of their special dielectric, optical, thermal, and mechanical properties. (C) 2013 Wiley Periodicals, Inc.	[Ma, Sude; Wang, Yan; Min, Zhonghua] Xihua Univ, Ctr Adv Mat & Energies, Chengdu 610039, Sichuan, Peoples R China; [Ma, Sude] Xihua Univ, Key Lab Special Mat Preparat & Control, Chengdu 610039, Sichuan, Peoples R China; [Ma, Sude; Zhong, Lisheng] Xi An Jiao Tong Univ, State Key Lab Elect Insulat & Power Equipment, Xian 710049, Peoples R China	Ma, SD (reprint author), Xihua Univ, Ctr Adv Mat & Energies, Chengdu 610039, Sichuan, Peoples R China.	masude2007@163.com			State Key Laboratory of Electrical Insulation and Power Equipment [EIPE12206]; Chunhui Project from Education Ministry of China [Z2011078]; Open Research Fund of Key Laboratory of Special Materials Preparation and Control, Xihua University [SZJJ2012-017]; Specialized Research Project of the Education Department of Sichuan Province [12ZB130]; Key Discipline Project of Xihua University [L2XW418-13-0]	Contract grant sponsor: State Key Laboratory of Electrical Insulation and Power Equipment. Contract grant number: EIPE12206. Contract grant sponsor: Chunhui Project from Education Ministry of China. Contract grant number: Z2011078. Contract grant sponsor: Open Research Fund of Key Laboratory of Special Materials Preparation and Control, Xihua University. Contract grant number: SZJJ2012-017. Contract grant sponsor: Specialized Research Project of the Education Department of Sichuan Province. Contract grant number: 12ZB130. Contract grant sponsor: Key Discipline Project of Xihua University. Contract grant number: L2XW418-13-0 (2013).		123	8	8	17	163	WILEY-BLACKWELL	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0730-6679	1098-2329		ADV POLYM TECH	Adv. Polym. Technol.	FAL	2013	32	3							21358	10.1002/adv.21358		10	Engineering, Chemical; Polymer Science	Engineering; Polymer Science	296MD	WOS:000330188300010		
J	Zhang, Y; Chen, SL; Wang, L; Tang, XR				Zhang, Yan; Chen, Shaoling; Wang, Ling; Tang, Xiaorong			Synthesis and Activity of Novel Fungicide 2-(4-Bromophenyl carbamoyl)phenyl Acetate	ASIAN JOURNAL OF CHEMISTRY			English	Article						Antifungal activity; 2-(4-Bromophenyl carbamoyl)phenyl acetate; Synthesis	BOTRYTIS-CINEREA; ASPIRIN; RESISTANCE; MECHANISM; TOMATO; HYBRIDS; STROKE; RISK; QTLS; MOLD	In the present study, 2-(4-bromophenyl carbamoyl) phenyl acetate was synthesized by the ammonolysis of 2-(chloro carbonyl) phenyl acetate. Its structure was confirmed by IR and H-1 NMR. Its antifungal activity against Sclerotinia sclerotiorum and Botrytis cinerea has been determined in the laboratory. The results showed that it had good antifungal activity against the two different pathogenic fungi of plants. Its median effective concentrations (EC50) reached 8.6 mg L-1 and 1.8 mg L-1, respectively.	[Zhang, Yan; Chen, Shaoling; Wang, Ling; Tang, Xiaorong] Xihua Univ, Sch Phys & Chem, Chengdu 610039, Peoples R China	Tang, XR (reprint author), Xihua Univ, Sch Phys & Chem, Chengdu 610039, Peoples R China.	tangxiaorong0901@163.com			Scientific Research Fund of Sichuan Provincial Education Department [12233450]; Key Scientific Research Fund of Xihua University [Z0913307]; Organic Chemistry Key Discipline of Xihua University	This project was supported by the Scientific Research Fund of Sichuan Provincial Education Department (No. 12233450), the Key Scientific Research Fund of Xihua University (No. Z0913307) and the Organic Chemistry Key Discipline of Xihua University.		27	0	0	0	5	ASIAN JOURNAL OF CHEMISTRY	SAHIBABAD	11/100 RAJENDRA NAGAR, SECTOR 3,, SAHIBABAD 201 005, GHAZIABAD, INDIA	0970-7077			ASIAN J CHEM	Asian J. Chem.	SEP	2013	25	12	B				6550	6552				3	Chemistry, Multidisciplinary	Chemistry	227DK	WOS:000325088800015		
J	Luo, T; Wei, XW; Luo, S; Li, HX; Li, W				Luo, Ting; Wei, Xiaowei; Luo, Song; Li, Hangxing; Li, Wei			Study of Surface Modification of Al2O3 Nanoparticles with KH-560	ASIAN JOURNAL OF CHEMISTRY			English	Article						Additive; Surface modification; Al2O3 nanoparticles; Lubricants	INORGANIC NANOPARTICLES; TRIBOLOGICAL BEHAVIOR; ANTIWEAR MECHANISM; TIO2 NANOPARTICLE; TERCOPOLYMER	The Al2O3 nanoparticles were prepared by in situ-modified method and modified with KH-560. The particle size analysis confirmed that the mean particle size of modified Al2O3 nanoparticles was 90 nm and its distribution was uniform. The dispersion of modified Al2O3 nanoparticles was analyzed by the absolute value of Al2O3 nanoparticles zeta potential. Through scanning electron micrograph, it was found that KH-560 improved the dispersibility of Al2O3 nanoparticles. The hydroxyl groups on the surface of Al2O3 nanoparticles can interact with the hydroxyl groups of KH-560 and an organic coating layer was formed. The formed covalent bands were testified by Fourier transform infrared spectra. Because of the introduction of grafted polymers on the surface of nanoparticles, the dispersion stabilization of modified Al2O3 nanoparticles in lubricating oil is significantly improved.	[Luo, Ting; Wei, Xiaowei; Luo, Song; Li, Hangxing] Xihua Univ, Sch Mat Sci & Engn, Chengdu 610039, Peoples R China; [Li, Wei] Jinan Huanghe Rd & Bridge Engn Co, Jinan 250032, Peoples R China	Luo, T (reprint author), Xihua Univ, Sch Mat Sci & Engn, Chengdu 610039, Peoples R China.	luoting414@163.com						15	1	1	3	16	ASIAN JOURNAL OF CHEMISTRY	SAHIBABAD	11/100 RAJENDRA NAGAR, SECTOR 3,, SAHIBABAD 201 005, GHAZIABAD, INDIA	0970-7077			ASIAN J CHEM	Asian J. Chem.	SEP	2013	25	12	B				6777	6779				3	Chemistry, Multidisciplinary	Chemistry	227DK	WOS:000325088800064		
J	Zhang, L; Li, ZQ; Dai, B; Zhang, WX; Yuan, YJ				Zhang, Liang; Li, Zhiqiang; Dai, Bing; Zhang, Wenxue; Yuan, Yongjun			EFFECT OF SUBMERGED AND SOLID-STATE FERMENTATION ON PIGMENT AND CITRININ PRODUCTION BY MONASCUS PURPUREUS	ACTA BIOLOGICA HUNGARICA			English	Article						Monascus; pigment; mycotoxin; submerged fermentation; solid-state fermentation	RED YEAST RICE; FOOD; COLOR	Monascus pigments, which are produced by various species of Monascus, often have been used as a natural colourant and as traditional natural food additives, especially in Southern China, Japan and Southeastern Asia. The limitation of wide using Monascus pigment is attributed to one of its secondary metabolites named citrinin. The aim of this study was to investigate the influence of pigment and citrinin production via submerged fermentation (SmF) and solid-state fermentation (SF) from rice (Oryza sativa L.) by Monascus purpureus AS3.531. The optimal fermentation temperature and pH were significantly different for pigment production through different fermentation mode (35 degrees C, pH 5.0 for SF and 32 degrees C, pH 5.5 for SmF, respectively). Adding 2% (w/v) of glycerol in the medium could enhance the pigment production. On the optimized condition, although the concentration of citrinin produced by SmF (19.02 ug/g) increased more than 100 times than that by SF (0.018 ug/g), the pigment yield by SmF (7.93 U/g/g) could be comparable to that by SF (6.63 U/g/g). Those indicate us that fermentation mode seems to be the primary factor which influence the citrinin yield and secondary factor for pigment production.	[Zhang, Liang; Li, Zhiqiang; Dai, Bing; Yuan, Yongjun] Xihua Univ, Coll Bioengn, Key Lab Food Biotechnol Sichuan Prov, Chengdu 610039, Peoples R China; [Zhang, Liang] Sichuan Jiannanchun Grp Co Ltd, Mianzhu 618200, Sichuan, Peoples R China; [Zhang, Wenxue] Sichuan Univ, Dept Food Sci & Engn, Chengdu 610065, Peoples R China	Yuan, YJ (reprint author), Xihua Univ, Coll Bioengn, Key Lab Food Biotechnol Sichuan Prov, Chengdu 610039, Peoples R China.	YYJA9791@sina.com			Ministry of Education of China; Key R&D Program Fund of Xihua University [Z1120538]; Applied basic research program of science and technology commission foundation of Sichuan province; Applied basic research program of Department of education of Sichuan Province	This study was supported by the Ministry of Education of China (Spring Plan), Key R&D Program Fund of Xihua University (Z1120538), Applied basic research programs of science and technology commission foundation of Sichuan province and Department of education of Sichuan Province.		21	4	4	1	30	AKADEMIAI KIADO RT	BUDAPEST	PRIELLE K U 19, PO BOX 245,, H-1117 BUDAPEST, HUNGARY	0236-5383			ACTA BIOL HUNG	Acta Biol. Hung.	SEP	2013	64	3					385	394		10.1556/ABiol.64.2013.3.11		10	Biology	Life Sciences & Biomedicine - Other Topics	215YB	WOS:000324246000011	24013899	
J	Deng, XQ; Wang, JG; Horstemeyer, MF				Deng Xingqiao; Wang Jinge; Horstemeyer, Mark F.			Modification Design Method for an Enveloping Hourglass Worm Gear with Consideration of Machining and Misalignment Errors	CHINESE JOURNAL OF MECHANICAL ENGINEERING			English	Article						worm gears; tooth contact analysis; machining and misalignment errors; tooth profile errors; modification method	SPIRAL BEVEL GEARS; CONTACT; KLINGELNBERG; SIMULATION; DRIVES	The influences of machining and misalignment errors play a very critical role in the performance of the anti-backlash double-roller enveloping hourglass worm gear(ADEHWG). However, a corresponding efficient method for eliminating or reducing these errors on the tooth profile of the ADEHWG is seldom reported. The gear engagement equation and tooth profile equation for considering six different errors that could arise from the machining and gear misalignment are derived from the theories of differential geometry and gear meshing. Also, the tooth contact analysis(TCA) is used to systematically investigate the influence of the machining and misalignment errors on the contact curves and the tooth profile by means of numerical analysis and three-dimensional solid modeling. The research results show that vertical angular misalignment of the worm wheel(Delta beta) has the strongest influences while the tooth angle error(Delta alpha) has the weakest influences on the contact curves and the tooth profile. A novel efficient approach is proposed and used to minimize the effect of the errors in manufacturing by changing the radius of the grinding wheel and the approaching point of contact. The results from the TCA and the experiment demonstrate that this tooth profile design modification method can indeed reduce the machining and misalignment errors. This modification design method is helpful in understanding the manufacturing technology of the ADEHWG.	[Deng Xingqiao; Wang Jinge] Xihua Univ, Sch Mech Engn & Automat, Chengdu 610039, Peoples R China; [Horstemeyer, Mark F.] Mississippi State Univ, Ctr Adv Vehicular Syst, Mississippi State, MS 39726 USA	Wang, JG (reprint author), Xihua Univ, Sch Mech Engn & Automat, Chengdu 610039, Peoples R China.	dxqzyc@gmail.com; wangjg@mail.xhu.edu.cn; mfhorst@me.msstate.edu	qiu, xinyang/C-3035-2011	qiu, xinyang/0000-0003-1776-8991; Horstemeyer, Mark/0000-0003-4230-0063	National Natural Science Foundation of China [50775190, 51275425]; Spring Sunshine Plan of Ministry of Education of China [10202258]; Talent Introduction of Xihua University, China [Z1220217]	This project is supported by National Natural Science Foundation of China(Grant Nos. 50775190, No.51275425), Spring Sunshine Plan of Ministry of Education of China(Grant No. 10202258), and Talent Introduction of Xihua University, China(Grant No. Z1220217)		27	3	4	1	40	EDITORIAL OFFICE CHINESE JOURNAL MECHANICAL ENGINEERING	BEIJING	22 BAIWANZHUANG DAJIE, BEIJING, 100037, PEOPLES R CHINA	1000-9345			CHIN J MECH ENG-EN	Chin. J. Mech. Eng.	SEP	2013	26	5					948	956		10.3901/CJME.2013.05.948		9	Engineering, Mechanical	Engineering	213RM	WOS:000324077300012		
