PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Liu, J; Zhou, CQ; Liao, WB				Liu, Jiao; Zhou, Cai Quan; Liao, Wen Bo			Evidence for neither the compensation hypothesis nor the expensive-tissue hypothesis in Carassius auratus	ANIMAL BIOLOGY			English	Article						Brain size; Carassius auratus; compensation hypothesis; expensive-tissue hypothesis; gut length, testis asymmetry	BRAIN SIZE EVOLUTION; SPERM COMPETITION; TESTIS SIZE; SEXUAL SELECTION; ASYMMETRY; COSTS; BIRDS; FROG; ENCEPHALIZATION; OMEIMONTIS	In many taxa, the left and right testes often differ in size. The compensation hypothesis states that an increase in size of one testis can compensate for a reduced function in the other testis. Moreover, the expensive-tissue hypothesis predicts that an increase in investment of a metabolically costly tissue is offset by decreasing investment in the other metabolically costly tissues. Here we tested these two hypotheses in Carassius auratus, by analysing difference between left and right testes mass, and between brain mass and both gut length and gonad mass (testes mass in males and clutch mass in females). We found no difference between left and right testis mass and no correlations between relative testis size and body measurements. These findings suggest that the left testis cannot serve a compensatory role. Nonetheless, contrary to the predictions of the expensive-tissue hypothesis, brain mass was positively correlated with both gut length and gonad mass within each sex. This positive correlation between brain mass and other organs (gut, gonad and clutch tissues) suggests that organisms may compensate for substantial variation in investment in tissues without sacrificing other expensive tissues.	[Liu, Jiao; Zhou, Cai Quan; Liao, Wen Bo] China West Normal Univ, Key Lab Southwest China Wildlife Resources Conser, Minist Educ, Nanchong 637009, Peoples R China; [Liu, Jiao; Zhou, Cai Quan; Liao, Wen Bo] China West Normal Univ, Inst Rare Anim & Plants, Nanchong 637009, Peoples R China	Liao, WB (reprint author), China West Normal Univ, Key Lab Southwest China Wildlife Resources Conser, Minist Educ, Nanchong 637009, Peoples R China.	Liaobo_0_0@126.com			Sichuan Province Outstanding Youth Academic Technology Leaders Program [2013JQ0016]; Sichuan Province Department of Education Innovation Team Project [14TD0015]; Innovative Team Foundation of China West Normal University	We thank for supports of the Sichuan Province Outstanding Youth Academic Technology Leaders Program (2013JQ0016), Sichuan Province Department of Education Innovation Team Project (14TD0015) and the Innovative Team Foundation of China West Normal University. The reported experiments comply with the current laws of China concerning animal experimentation, and permission to collect fishes was received from the Ethical Committee for Animal Experiments in China.		48	4	4	2	13	BRILL ACADEMIC PUBLISHERS	LEIDEN	PLANTIJNSTRAAT 2, P O BOX 9000, 2300 PA LEIDEN, NETHERLANDS	1570-7555	1570-7563		ANIM BIOL	Anim. Biol.		2014	64	2					177	187		10.1163/15707563-00002437		11	Zoology	Zoology	AJ8WA	WOS:000337987600006		
J	Zhang, XJ; Hou, YL; Ding, X; Ye, SL; Cao, HJ; Wang, ZK; Du, X; Xie, YW; Li, CQ				Zhang, Xuejun; Hou, Yiling; Ding, Xiang; Ye, Shengliang; Cao, Haijun; Wang, Zongkui; Du, Xi; Xie, Yi-wu; Li, Changqing			PURIFICATION AND ANALYSIS OF HUMAN ALPHA(1)-ANTITRYPSIN CONCENTRATE BY A NEW IMMUNOAFFINITY CHROMATOGRAPHY	PREPARATIVE BIOCHEMISTRY & BIOTECHNOLOGY			English	Article						alpha(1)-antitrypsin; chromatography; Cohn fraction IV; mass spectrometry; purification	ALPHA-1-ANTITRYPSIN DEFICIENCY; POLYACRYLAMIDE-GELS; HUMAN-PLASMA; PROTEINS; INHIBITOR; EMPHYSEMA; THERAPY; DISEASE; SERUM	Alpha(1)-antitrypsin is a kind of plasma protein that requires a sequence of different fractionation steps to get generally. To report an effective process for isolating and purifying alpha(1)-antitrypsin from Cohn Fraction IV based upon a new immunoaffinity chromatography medium, named "Alpha-1 Antitrypsin Select,'' characterization of alpha(1)-antitrypsin (alpha 1-AT) was performed by sodium dodecyl sulfate polyacrylamide gel electrophoresis (SDS-PAGE), Western blot, and tandem mass spectroscopy. Total protein content was determined by the method of Bradford under visible light absorption at 595 nm. Pretreatment process and the immunoaffinity chromatography step achieved a 60.35 +/- 1.39% yield. Thus, an overall 71.68 +/- 1.32 fold increase in purity and a 41.88 +/- 6.98% yield were obtained from plasma. The alpha 1-AT had a specific activity of about 1.00-1.05 PU/mg. This technique will develop an effective process for isolating and purifying, with high purity and specific activity, alpha(1)-antitrypsin from Cohn Fraction IV or human whole plasma, which could be an efficient and scaled-up method for alpha(1)-antitrypsin products purification.	[Zhang, Xuejun; Ye, Shengliang; Cao, Haijun; Wang, Zongkui; Du, Xi; Xie, Yi-wu; Li, Changqing] Chinese Acad Med Sci, Inst Blood Transfus, Chengdu 610052, Sichuan, Peoples R China; [Zhang, Xuejun; Ye, Shengliang; Cao, Haijun; Wang, Zongkui; Du, Xi; Xie, Yi-wu; Li, Changqing] Peking Union Med Coll, Chengdu 610052, Sichuan, Peoples R China; [Hou, Yiling; Ding, Xiang] China West Normal Univ, Coll Life Sci, Key Lab Southwest China Wildlife Resources Conser, Nanchong, Sichuan, Peoples R China; [Xie, Yi-wu] China Biol Prod Inc, Chengdu, Sichuan, Peoples R China	Li, CQ (reprint author), Chinese Acad Med Sci, Inst Blood Transfus, Chengdu 610052, Sichuan, Peoples R China.	biostart8083@126.com		Wang, Zongkui/0000-0002-5764-7660	P.R. China Sichuan Province Science and Technology Support Program [2009SZ0217]	This study was supported by a grant from the P.R. China Sichuan Province Science and Technology Support Program (grant 2009SZ0217). We thank GE Healthcare Bio-Sciences AB for a generous gift of Alpha-1 Antitrypsin Select Media.		28	3	3	6	21	TAYLOR & FRANCIS INC	PHILADELPHIA	530 CHESTNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA	1082-6068	1532-2297		PREP BIOCHEM BIOTECH	Prep. Biochem. Biotechnol.		2014	44	7					725	737		10.1080/10826068.2013.868358		13	Biochemical Research Methods; Biochemistry & Molecular Biology; Biotechnology & Applied Microbiology	Biochemistry & Molecular Biology; Biotechnology & Applied Microbiology	AJ9KJ	WOS:000338028600007	24279822	
J	Zhu, X; Xu, Q; Ni, SD; Tang, MG; Li, ZH; Deng, ML; Liu, HX				Zhu, Xing; Xu, Qiang; Ni, Sidao; Tang, Minggao; Li, Zhenhua; Deng, Maolin; Liu, Hanxiang			Infrasonic Signals Associated with the Aftershocks of LuShan Earthquake of April 20th, 2013	JOURNAL OF LOW FREQUENCY NOISE VIBRATION AND ACTIVE CONTROL			English	Article						frequency characteristics; spectrogram; local infrasound; LuShan earthquake	ALASKAN EARTHQUAKE; WAVES	On April 20th, 2013, a strong earthquake (Ms 7.0, depth of 13 km) occurred in LuShan County, Southwestern Sichuan province, China, followed by a series of aftershocks (Ms = 3.0 similar to 5.4). Infrasonic waves associated with the earthquake were detected and recorded by a digital infrasound recording system in our lab located in Chengdu city. Fourier analysis was used to determine the amplitude and frequency characteristics of each infrasonic recording. A certain frequency distribution range was clearly identified in the spectrograms of all analyzed shocks. Furthermore, a logarithm regression relation is also found between aftershock magnitude and peak value of corresponding infrasound events in amplitude spectra based on analysis results of more than 30 observed events. This study presents a data set and an empirical relationship. This relationship requires additional testing with observations from other earthquake aftershock sequences. These results improve our understanding of local infrasound produced by the coupling of earth surface motion to the atmosphere.	[Zhu, Xing; Xu, Qiang; Tang, Minggao; Deng, Maolin; Liu, Hanxiang] Chengdu Univ Technol, State Key Lab Geohazard Prevent & Geoenvironm Pro, Chengdu, Peoples R China; [Ni, Sidao] Chinese Acad Sci, Inst Geodesy & Geophys, State Key Lab Geodesy & Earths Dynam, Wuhan, Peoples R China; [Li, Zhenhua] China West Normal Univ, Network Ctr, Nanchong, Peoples R China	Xu, Q (reprint author), Chengdu Univ Technol, State Key Lab Geohazard Prevent & Geoenvironm Pro, Chengdu, Peoples R China.	xuqiang_68@126.com			National Basic Research Program "973" Project of the Ministry of Science and Technology of the PRC [2013CB733200, 2014CB744703]; national Science Found for Distinguished Young Scholars of China, [SKLGED2013-1-1-EZ]	The work is financially supported by the National Basic Research Program "973" Project of the Ministry of Science and Technology of the PRC (project No.: 2013CB733200, 2014CB744703), the national Science Found for Distinguished Young Scholars of China, the open found on "Research on large-scale landslide triggered by the Wenchuan earthquake" provided by the SKLGP and the open found "Study on the characteristics of seismic waves generated by landslide (SKLGED2013-1-1-EZ)" provided by the State Key Laboratory of Geodesy and Earth's Dynamics. The authors also give great thanks to Profs J. Grasso, Profs. Niek Rengers, and Miss Dongmei Liu for their kind suggestions on improvement of the paper structure and language. The comments and suggestions from editors and reviewers helping to improve the quality of this paper are appreciated very much by the authors.		18	1	1	2	6	MULTI-SCIENCE PUBL CO LTD	BRENTWOOD	5 WATES WAY, BRENTWOOD CM15 9TB, ESSEX, ENGLAND	0263-0923			J LOW FREQ NOISE V A	J. Low Freq. Noise Vib. Act. Control		2014	33	1					113	123				11	Acoustics	Acoustics	AH8XD	WOS:000336420600007		
J	Qin, XY; Li, QZ; Asiri, AM; Al-Youbi, AO; Sun, XP				Qin, Xiaoyun; Li, Qingzhen; Asiri, Abdullah M.; Al-Youbi, Abdulrahman O.; Sun, Xuping			One-pot synthesis of Au nanoparticles/reduced graphene oxide nanocomposites and their application for electrochemical H2O2, glucose, and hydrazine sensing	GOLD BULLETIN			English	Article						Au nanoparticles; Reduced graphene oxide; Electrochemical detection; H2O2; Glucose; Hydrazine	AG NANOPARTICLES; PHOTOCATALYTIC SYNTHESIS; CATALYTIC-REDUCTION; GOLD NANOPARTICLES; HYDROGEN-PEROXIDE; GREEN SYNTHESIS; IONIC LIQUID; NANOSTRUCTURES; ELECTRODE; FUNCTIONALIZATION	In this paper, Au nanoparticles/reduced graphene oxide (AuNPs/rGO) nanocomposites were prepared through a one-pot strategy, carried out by heating the mixture of HAuCl4 and graphene oxide solution at 90 degrees C under alkaline condition. The resultant AuNPs/rGO nanocomposites were found to exhibit good catalytic performance toward H2O2 reduction and oxidation as well as hydrazine oxidation. The electrochemical sensing application of the nanocomposites for H2O2, glucose, and hydrazine was also demonstrated successfully.	[Qin, Xiaoyun; Li, Qingzhen; Sun, Xuping] China West Normal Univ, Sch Chem & Chem Ind, Chem Synth & Pollut Control Key Lab Sichuan Prov, Nanchong 637002, Sichuan, Peoples R China; [Asiri, Abdullah M.; Al-Youbi, Abdulrahman O.; Sun, Xuping] King Abdulaziz Univ, Fac Sci, Dept Chem, Jeddah 21589, Saudi Arabia; [Asiri, Abdullah M.; Al-Youbi, Abdulrahman O.; Sun, Xuping] King Abdulaziz Univ, Ctr Excellence Adv Mat Res, Jeddah 21589, Saudi Arabia	Sun, XP (reprint author), China West Normal Univ, Sch Chem & Chem Ind, Chem Synth & Pollut Control Key Lab Sichuan Prov, Nanchong 637002, Sichuan, Peoples R China.	sun.xuping@hotmail.com	Asiri, Abdullah/C-3458-2009; Center of Excellence, Advanced Materials R/J-8561-2015; Faculty of, Sciences, KAU/E-7305-2017	Asiri, Abdullah/0000-0001-7905-3209; 				44	10	11	6	80	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	0017-1557			GOLD BULL	Gold Bull.		2014	47	1-2					3	8		10.1007/s13404-013-0094-9		6	Chemistry, Inorganic & Nuclear; Chemistry, Physical; Materials Science, Multidisciplinary	Chemistry; Materials Science	AH2QB	WOS:000335964900002		
J	Chen, ZQ; He, YQ; Guo, LF; Xue, Y				Chen Ze-Qin; He Yun-Qing; Guo Lin-Feng; Xue Ying			Effects of Explicit and Implicit Solvent Models on the Hydrolysis Cleavage of N-Glycosidic Bond in 8-Oxo-7,8-dihydro-2 '-deoxyguanosine	CHINESE JOURNAL OF STRUCTURAL CHEMISTRY			English	Article						8-oxo-7,8-dihydro-2 '-deoxyguanosine; hydrolysis mechanism; potential energy surface scan; solvent effect	BASE EXCISION-REPAIR; DUAL-REACTION MODE; COMPUTATIONAL DETERMINATION; DEOXYRIBONUCLEIC-ACID; UPDATED COMPILATION; DNA GLYCOSYLASE; PROTEIN HOGG1; HUMAN TUMORS; CELL-LINES; P53 GENE	8-Oxoguanine (8-oxoG), a critical mutagenic DNA lesion induced by reactive oxygen species, gives rise to a G.C -> T.A transversion during replication and thereby must be repaired. The effects of explicit and implicit solvent molecules on the hydrolysis cleavage of N-Glycosidic bond in 8-oxo-7,8-dihydro-2'-deoxyguanosine (8-oxo-dG) have been systematically clarified in the present work based upon two types of computational models. Detailed potential energy surface (PBS) scans and full unconstraint optimizations for all the representative points on PESs were carried out at the B3LYP/6-31+G(d) level of theory. The effect of implicit solvent was tested by single-point calculation at the SCRF/IEF-PCM model. The results illustrate that the direct hydrolysis model involving one explicit water molecule can't provide a complete depiction of the hydrolysis process of 8-oxo-dG, attributed to the insufficiency of nucleophile activation and leaving group stabilization. The expansion hydrolysis model involving four explicit water molecules, however, facilitates discrete proton transfer and therefore produces smooth reaction surfaces for both the dissociative (S(N)1) and concerted (S(N)2) pathways. The presence of the implicit solvent substantially lowers all activation energies and the S(N)1 process is more favorable than the S(N)2 process. The data and insights present here agree well with the experimental results and have given out a baseline for the enzymatic deglycosylation reaction of 8-oxo-dG.	[Chen Ze-Qin; Guo Lin-Feng] China West Normal Univ, Coll Chem & Chem Engn, Chem Synth & Pollut Control Key Lab Sichuan Prov, Nanchong 637002, Peoples R China; [He Yun-Qing] Sichuan Univ Arts & Sci, Dept Chem & Engn, Sichuan Key Lab Exploitat & Study Distinct Plants, Dazhou 635000, Peoples R China; [Xue Ying] Sichuan Univ, Coll Chem, Key Lab Green Chem & Technol, Minist Educ, Chengdu 610064, Peoples R China	Chen, ZQ (reprint author), China West Normal Univ, Coll Chem & Chem Engn, Chem Synth & Pollut Control Key Lab Sichuan Prov, Nanchong 637002, Peoples R China.	chenzeqin@cwnu.edu.cn			National Natural Science Foundation of China [21203153, 21173151]; Science & Technology Department [2011JY0136]; Department of Education of Sichuan Province [12ZA174]; China West Normal University [11B002]	This project was supported by the National Natural Science Foundation of China (21203153 and 21173151), Science & Technology Department (2011JY0136) and Department of Education (12ZA174) of Sichuan Province as well as China West Normal University (11B002)		42	1	1	0	10	CHINESE JOURNAL STRUCTURAL CHEMISTRY	FUJIAN	FUIJAN INST RES STRUCT MATTER, CHINESE ACAD SCIENCES, FUZHOU, FUJIAN 350002, PEOPLES R CHINA	0254-5861			CHINESE J STRUC CHEM	Chin. J. Struct. Chem.		2014	33	4					505	512				8	Chemistry, Inorganic & Nuclear; Crystallography	Chemistry; Crystallography	AF8QH	WOS:000334980200001		
J	Song, B; Hou, YL; Ding, X; Wang, T; Wang, F; Zhong, JC; Xu, T; Zhong, J; Hou, WR; Shuai, SR				Song, B.; Hou, Y. L.; Ding, X.; Wang, T.; Wang, F.; Zhong, J. C.; Xu, T.; Zhong, J.; Hou, W. R.; Shuai, S. R.			Comparative analysis and molecular characterization of genomic sequences and proteins of FABP4 and FABP5 from the giant panda (Ailuropoda melanoleuca)	GENETICS AND MOLECULAR RESEARCH			English	Article						Genomic sequence; Overexpression; FABP4 and FABP5; Cloning; Giant panda; Ailuropoda melanoleuca	ACID-BINDING PROTEINS; METABOLIC SYNDROME; TISSUE; ATHEROSCLEROSIS; RESPONSES; OBESITY; CLONING; FAMILY; GENE; AP2	Fatty acid binding proteins (FABPs) are a family of small, highly conserved cytoplasmic proteins that bind long-chain fatty acids and other hydrophobic ligands. In this study, cDNA and genomic sequences of FABP4 and FABP5 were cloned successfully from the giant panda (Ailuropoda melanoleuca) using reverse transcription polymerase chain reaction (RT-PCR) technology and touchdown-PCR. The cDNAs of FABP4 and FABP5 cloned from the giant panda were 400 and 413 bp in length, containing an open reading frame of 399 and 408 bp, encoding 132 and 135 amino acids, respectively. The genomic sequences of FABP4 and FABP5 were 3976 and 3962 bp, respectively, which each contained four exons and three introns. Sequence alignment indicated a high degree of homology with reported FABP sequences of other mammals at both the amino acid and DNA levels. Topology prediction revealed seven protein kinase C phosphorylation sites, two casein kinase II phosphorylation sites, two N-myristoylation sites, and one cytosolic fatty acid-binding protein signature in the FABP4 protein, and three N-glycosylation sites, three protein kinase C phosphorylation sites, one casein kinase II phosphorylation site, one N-myristoylation site, one amidation site, and one cytosolic fatty acid-binding protein signature in the FABP5 protein. The FABP4 and FABP5 genes were overexpressed in Escherichia coli BL21 and they produced the expected 16.8- and 17.0-kDa polypeptides. The results obtained in this study provide information for further in-depth research of this system, which has great value of both theoretical and practical significance.	[Song, B.; Shuai, S. R.] Sichuan Agr Univ, Inst Anim Breeding & Genet, Yaan, Peoples R China; [Song, B.; Hou, Y. L.; Ding, X.; Wang, T.; Wang, F.; Zhong, J. C.; Xu, T.; Zhong, J.; Hou, W. R.] China West Normal Univ, Coll Life Sci, Minist Educ, Key Lab Southwest China Wildlife Resources Conser, Nanchong, Peoples R China	Hou, WR (reprint author), China West Normal Univ, Coll Life Sci, Minist Educ, Key Lab Southwest China Wildlife Resources Conser, Nanchong, Peoples R China.	hwr@cwmnu.deu.cn			National Natural Science Foundation of China [31200012]; Application Foundation Project of Sichuan Province [2013JY0094]; Science and Technology Support Project of Sichuan Province [2014SZ0020, 2014FZ0024]; Cultivate Major Projects of Sichuan Province [14CZ0016]; Doctor Startup Foundation Project of China West Normal University [11B019, 11B020]	Research supported by the National Natural Science Foundation of China (#31200012), the Application Foundation Project of Sichuan Province (#2013JY0094), the Science and Technology Support Project of Sichuan Province (#2014SZ0020 and #2014FZ0024), The Cultivate Major Projects of Sichuan Province (#14CZ0016), and the Doctor Startup Foundation Project of China West Normal University (#11B019 and #11B020).		28	1	1	0	4	FUNPEC-EDITORA	RIBEIRAO PRETO	RUA FLORIANO PEIXOTO 2444, ALTO DA BOA VISTA, RIBEIRAO PRETO, SP 00000, BRAZIL	1676-5680			GENET MOL RES	Genet. Mol. Res.		2014	13	1					992	1004		10.4238/2014.February.20.1		13	Biochemistry & Molecular Biology; Genetics & Heredity	Biochemistry & Molecular Biology; Genetics & Heredity	AE6PA	WOS:000334114800018	24634121	
J	Wen, GQ; Li, J; Liu, XH; Zhang, YS; Wen, SS				Wen, G. Q.; Li, J.; Liu, X. H.; Zhang, Y. S.; Wen, S. S.			Extraction of total DNA and optimization of the RAPD reaction system in Dioscorea opposita Thunb	GENETICS AND MOLECULAR RESEARCH			English	Article						Improved cetyltrimethylammonium bromide method; Dioscorea opposita Thunb.; Random amplified polymorphic DNA; Orthogonal design		Dioscorea opposita Thunb. has been used as health food and herbal medicinal ingredients in traditional Chinese medicine. In this study, the total DNA of D. opposita Thunb. was extracted using an improved cetyltrimethylammonium bromide (CTAB) method, and the extracted DNA was further used for random amplified polymorphic DNA (RAPD) reaction system by design of the L-16 (4(4)) orthogonal diagram. The results showed that the improved CTAB method can be used to isolate high-quality and high-concentration DNA, and the optimized protocol can overcome the instability of RAPD reaction system. The knowledge stated here can be used to study the genetic diversity of D. opposita Thunb.	[Wen, G. Q.; Li, J.; Liu, X. H.; Zhang, Y. S.] China West Normal Univ, Coll Life Sci, Nanchong, Peoples R China; [Wen, S. S.] Sichuan Acad Agr Sci, Rice & Sorghum Res Inst, Deyang, Peoples R China	Liu, XH (reprint author), China West Normal Univ, Coll Life Sci, Nanchong, Peoples R China.	liuxiaohong0817@aliyun.com			Scientific Research Fund of Sichuan Provincial Education Department [13ZA0012]; Scientific Research Foundation of China West Normal University of P.R. China [07B031]	Research supported by the Scientific Research Fund of Sichuan Provincial Education Department (#13ZA0012) and the Scientific Research Foundation of China West Normal University (#07B031) of P.R. China.		23	1	3	0	5	FUNPEC-EDITORA	RIBEIRAO PRETO	RUA FLORIANO PEIXOTO 2444, ALTO DA BOA VISTA, RIBEIRAO PRETO, SP 00000, BRAZIL	1676-5680			GENET MOL RES	Genet. Mol. Res.		2014	13	1					1339	1347		10.4238/2014.February.28.6		9	Biochemistry & Molecular Biology; Genetics & Heredity	Biochemistry & Molecular Biology; Genetics & Heredity	AE6PA	WOS:000334114800055	24634232	
J	Chen, WY; Liu, ZM; Deng, GB; Pan, ZF; Liang, JJ; Zeng, XQ; Tashi, NM; Long, H; Yu, MQ				Chen, W. Y.; Liu, Z. M.; Deng, G. B.; Pan, Z. F.; Liang, J. J.; Zeng, X. Q.; Tashi, N. M.; Long, H.; Yu, M. Q.			Genetic relationship between lodging and lodging components in barley (Hordeum vulgare) based on unconditional and conditional quantitative trait locus analyses	GENETICS AND MOLECULAR RESEARCH			English	Article						Barley; Hordeum vulgare L.; Genetic relationship; Lodging; Lodging components; Unconditional and conditional QTL analysis	TRITICUM-AESTIVUM L.; ORYZA-SATIVA L.; AGRONOMIC IMPORTANT CHARACTERS; CULM ANATOMY; QTL ANALYSIS; GRAIN-YIELD; RESISTANCE; WHEAT; RICE; GROWTH	Lodging (LD) is a major constraint limiting the yield and forage quality of barley. Detailed analyses of LD component (LDC) traits were conducted using 246 F-2 plants generated from a cross between cultivars ZQ320 and 1277. Genetic relationships between LD and LDC were evaluated by unconditional and conditional quantitative trait locus (QTL) mapping with 117 simple sequence repeat markers. Ultimately, 53 unconditional QTL related to LD were identified on seven barley chromosomes. Up to 15 QTL accounted for over 10% of the phenotypic variation, and up to 20 QTL for culm strength were detected. Six QTL with pleiotropic effects showing significant negative correlations with LD were found between markers Bmag353 and GBM1482 on chromosome 4H. These alleles and alleles of QTL for wall thickness, culm strength, plant height, and plant weight originated from ZQ320. Conditional mapping identified 96 additional QTL for LD. Conditional QTL analysis demonstrated that plant height, plant height center of gravity, and length of the sixth internode had the greatest contribution to LD, whereas culm strength and length of the fourth internode, and culm strength of the second internode were the key factors for LD-resistant. Therefore, lodging resistance in barley can be improved based on selection of alleles affecting culm strength, wall thickness, plant height, and plant weight. The conditional QTL mapping method can be used to evaluate possible genetic relationships between LD and LDC while efficiently and precisely determining counteracting QTL, which will help in understanding the genetic basis of LD in barley.	[Chen, W. Y.; Liu, Z. M.; Deng, G. B.; Pan, Z. F.; Liang, J. J.; Long, H.; Yu, M. Q.] Chinese Acad Sci, Chengdu Inst Biol, Chengdu, Peoples R China; [Chen, W. Y.; Liu, Z. M.] China West Normal Univ, Key Lab Southwest China Wildlife Resources Conser, Nanchong, Peoples R China; [Zeng, X. Q.; Tashi, N. M.] Tibet Acad Agr & Anim Sci, Lhasa, Peoples R China; [Tashi, N. M.] Barley Improvement & Yak Breeding Key Lab Tibet A, Lhasa, Peoples R China	Yu, MQ (reprint author), Chinese Acad Sci, Chengdu Inst Biol, Renmin South Rd, Chengdu, Peoples R China.	hailong@cib.ac.cn; yumaoqun@cib.ac.cn			National Science & Technology Pillar Program [2012BAD03B00]; preliminary program of the "973" project [2012CB723006]	Research supported by the National Science & Technology Pillar Program (#2012BAD03B00) and a preliminary program of the "973" project (#2012CB723006). We thank the editorial board and anonymous reviewers for their helpful suggestions that improved the manuscript.		41	3	3	5	32	FUNPEC-EDITORA	RIBEIRAO PRETO	RUA FLORIANO PEIXOTO 2444, ALTO DA BOA VISTA, RIBEIRAO PRETO, SP 00000, BRAZIL	1676-5680			GENET MOL RES	Genet. Mol. Res.		2014	13	1					1909	1925		10.4238/2014.March.17.19		17	Biochemistry & Molecular Biology; Genetics & Heredity	Biochemistry & Molecular Biology; Genetics & Heredity	AE6PA	WOS:000334114800116	24668679	
J	Li, LL; Ai, LH; Zhang, CH; Jiang, J				Li, Lili; Ai, Lunhong; Zhang, Caihong; Jiang, Jing			Hierarchical {001}-faceted BiOBr microspheres as a novel biomimetic catalyst: dark catalysis towards colorimetric biosensing and pollutant degradation	NANOSCALE			English	Article							PEROXIDASE-LIKE ACTIVITY; SINGLE-SOURCE PRECURSOR; GLUCOSE DETECTION; MAGNETIC NANOPARTICLES; HYDROGEN-PEROXIDE; MIMETICS; H2O2; NANOSHEETS; HEMIN; BIOCL	In recent years, considerable effort has been devoted to finding novel enzyme mimetics with improved catalytic activities. However, the insightful understanding of such catalytic process is still elusive. In this paper, we report for the first time a typical photoactive layer-structured BiOBr as a novel biomimetic catalyst possessing highly efficient intrinsic peroxidase-like activity. Moreover, we have experimentally achieved high dark peroxidase-like catalytic activity in BiOBr microspheres and provided some new insights into the light-enhanced peroxidase-like catalytic property. On the basis of a typical color reaction derived from catalytic oxidation of peroxidase substrates over BiOBr microspheres with H2O2, the simple and sensitive colorimetric assays for detection of H2O2, glucose and ascorbic acid were successfully established. More interestingly, the BiOBr microspheres showed strong ability towards activation of H2O2, displaying excellent dark catalytic activity for the degradation of organic dye. It is therefore believed that our findings in this study could open up the possibility of utilizing BiOBr as enzymatic mimics in biotechnology and environmental remediation.	[Li, Lili; Ai, Lunhong; Zhang, Caihong; Jiang, Jing] China West Normal Univ, Coll Chem & Chem Engn, Chem Synth & Pollut Control Key Lab Sichuan Prov, Nanchong 637002, Peoples R China	Ai, LH (reprint author), China West Normal Univ, Coll Chem & Chem Engn, Chem Synth & Pollut Control Key Lab Sichuan Prov, Shida Rd 1, Nanchong 637002, Peoples R China.	ah_aihong@163.com; 0826zjjh@163.com			National Natural Science Foundation of China [21103141, 21207108]; Sichuan Youth Science and Technology Foundation [2013JQ0012]; Applied Basic Research Program of Sichuan Provincial Science and Technology Department [2011JYZ019]; Research Foundation of CWNU [12B018]	This work was supported by the National Natural Science Foundation of China (21103141 and 21207108), Sichuan Youth Science and Technology Foundation (2013JQ0012), the Applied Basic Research Program of Sichuan Provincial Science and Technology Department (2011JYZ019), and the Research Foundation of CWNU (12B018).		36	34	34	11	103	ROYAL SOC CHEMISTRY	CAMBRIDGE	THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE CB4 0WF, CAMBS, ENGLAND	2040-3364	2040-3372		NANOSCALE	Nanoscale		2014	6	9					4627	4634		10.1039/c3nr06533b		8	Chemistry, Multidisciplinary; Nanoscience & Nanotechnology; Materials Science, Multidisciplinary; Physics, Applied	Chemistry; Science & Technology - Other Topics; Materials Science; Physics	AF6WO	WOS:000334855500030	24637562	
J	Yang, H; Li, T; Hu, XL; Wang, F; Zou, Y				Yang, Hua; Li, Tao; Hu, Xinlei; Wang, Feng; Zou, Yang			A Survey of Artificial Immune System Based Intrusion Detection	SCIENTIFIC WORLD JOURNAL			English	Review							NEGATIVE SELECTION ALGORITHM; ANOMALY DETECTION; CLONAL SELECTION; DETECTION MODEL; DANGER; AIS; ARCHITECTURE; CELLS	In the area of computer security, Intrusion Detection (ID) is a mechanism that attempts to discover abnormal access to computers by analyzing various interactions. There is a lot of literature about ID, but this study only surveys the approaches based on Artificial Immune System (AIS). The use of AIS in ID is an appealing concept in current techniques. This paper summarizes AIS based ID methods from a new view point; moreover, a framework is proposed for the design of AIS based ID Systems (IDSs). This framework is analyzed and discussed based on three core aspects: antibody/antigen encoding, generation algorithm, and evolution mode. Then we collate the commonly used algorithms, their implementation characteristics, and the development of IDSs into this framework. Finally, some of the future challenges in this area are also highlighted.	[Yang, Hua; Li, Tao; Hu, Xinlei; Wang, Feng; Zou, Yang] Sichuan Univ, Coll Comp Sci, Chengdu 610064, Peoples R China; [Yang, Hua] China West Normal Univ, Comp Sch, Nanchong 637002, Peoples R China	Yang, H (reprint author), Sichuan Univ, Coll Comp Sci, Chengdu 610064, Peoples R China.	hyang.yh@gmail.com; litao@scu.edu.cn			National Natural Science Foundation of China [61173159]	This work was supported by the National Natural Science Foundation of China (no. 61173159).		85	3	3	1	26	HINDAWI PUBLISHING CORP	NEW YORK	410 PARK AVENUE, 15TH FLOOR, #287 PMB, NEW YORK, NY 10022 USA	1537-744X			SCI WORLD J	Sci. World J.		2014									156790	10.1155/2014/156790		11	Multidisciplinary Sciences	Science & Technology - Other Topics	AE3YJ	WOS:000333914100001		
