PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Lu, L; Wang, T; He, LX; Wang, J; Xie, B				Lu Lu; Wang Tao; He Lin-Xin; Wang Jun; Xie Bin			Syntheses, structures and luminescence properties of two-dimensional supramolecular complexes containing a flexible carboxylate ligand	JOURNAL OF CHEMICAL RESEARCH			English	Article						carboxylate; supramolecular complexes; luminescence	METAL-ORGANIC FRAMEWORKS; COORDINATION POLYMERS; CRYSTAL-STRUCTURES; LANTHANIDE COMPLEXES; DIPHENIC ACID	Two new complexes, [Cd(L)(2)(bipy)(0.5)(H2O)] and [Zn(L)(2)(bipy)] (HL=3-(2-hydroxyphenyl) propanoic acid and bipy=4,4'-bipyridine) have been synthesised and structurally characterised by single-crystal diffraction analysis. Although both complexes have a one-dimensional network, the resulting supramolecular architectures are different. Their three-dimensional fluorescence spectra are reported.	[Lu Lu; He Lin-Xin; Wang Jun; Xie Bin] Sichuan Univ Sci & Engn, Inst Functionalized Mat, Zigong 643000, Peoples R China; [Lu Lu; Wang Tao; He Lin-Xin; Wang Jun; Xie Bin] Sichuan Univ Sci & Engn, Sch Chem & Pharmaceut Engn, Zigong 643000, Peoples R China	Wang, J (reprint author), Sichuan Univ Sci & Engn, Inst Functionalized Mat, Zigong 643000, Peoples R China.	scwangjun2011@126.com			Sichuan University of Science and Engineering; Institute of Functionalized Materials [2011KY02, 2012KY12]; Opening Project of Key Laboratory of Green Catalysis of Sichuan Institutes of High Education [LYJ1207]; Education Committee of Sichuan Province [12ZA090, 13ZB0130]	The authors acknowledge financial assistance from Sichuan University of Science and Engineering, the Institute of Functionalized Materials (Grant Nos. 2011KY02 and 2012KY12), the Opening Project of Key Laboratory of Green Catalysis of Sichuan Institutes of High Education (No. LYJ1207), and the Education Committee of Sichuan Province (No. 12ZA090 and 13ZB0130).		30	0	0	1	3	SCIENCE REVIEWS 2000 LTD	ST ALBANS	PO BOX 314, ST ALBANS AL1 4ZG, HERTS, ENGLAND	1747-5198			J CHEM RES	J. Chem. Res	JAN	2014		1					1	4		10.3184/174751914X13877274441607		4	Chemistry, Multidisciplinary	Chemistry	AD6QX	WOS:000333387000001		
J	Feng, J; Xu, B				Feng, Jian; Xu, Bin			Reaction mechanisms for the heterogeneous hydrogenolysis of biomass-derived glycerol to propanediols	PROGRESS IN REACTION KINETICS AND MECHANISM			English	Review						glycerol; hydrogenolysis; 1,2-propanediol; 1,3-propanediol; reaction mechanism	ION-EXCHANGE-RESIN; SELECTIVE HYDROGENOLYSIS; PROPYLENE-GLYCOL; BIMETALLIC CATALYSTS; COMMODITY CHEMICALS; FURANIC DERIVATIVES; RUTHENIUM CATALYSTS; POLYOL CONVERSIONS; RU/TIO2 CATALYST; AQUEOUS-SOLUTION	Biomass-derived glycerol is emerging as a renewable, cheap and versatile feedstock for the production of a variety of chemicals and fuels. In particular, hydrogenolysis of glycerol to other value-added chemicals over heterogeneous catalysts has been extensively studied in the past few years. The most desired products arising from this process are propanediols, i.e. 1,2-propanediol and 1,3-propanediol. Both diols are important industrial chemicals, being especially well-known as monomers for the production of many useful polymers. Although hydrogenolysis of glycerol is a promising new route for the production of propanediols, the design of applicable catalysts for its industrialisation is still a great challenge. In order to guide the rational development of efficient catalysts, several possible reaction mechanisms have been proposed based on experimental and theoretical investigations. A brief review is now presented on the reaction mechanisms for the hydrogenolysis of glycerol to propanediols over heterogeneous catalysts. The possible reaction mechanisms are summarised and classified. The main characteristics and general reaction conditions for each reaction mechanism are highlighted. Furthermore, the developing prospects and future direction of research are suggested.	[Feng, Jian] Chongqing Univ Sci & Technol, Coll Chem & Chem Engn, Chongqing 401331, Peoples R China; [Xu, Bin] Sichuan Univ Sci & Engn, Sch Chem & Pharmaceut Engn, Key Lab Green Catalysis Sichuan Inst Higher Educ, Zigong 643000, Peoples R China	Feng, J (reprint author), Chongqing Univ Sci & Technol, Coll Chem & Chem Engn, Chongqing 401331, Peoples R China.	fengjianscu@163.com	Wang, Chun-Hung/F-1722-2015		National Natural Science Foundation of China [21302237]; Natural Science Foundation Project of CQ CSTC [cstc2011jjA90004]; Opening Project of Key Laboratory of Green Catalysis of Sichuan Institutes of Higher Education [LZJ1104]; Key Project of China Zigong Science & Technology Bureau [2012H07]; Research Foundation of Chongqing University of Science Technology [CK2011B13, CK2013Z06]	This work was supported by the National Natural Science Foundation of China (21302237), the Natural Science Foundation Project of CQ CSTC (cstc2011jjA90004), the Opening Project of Key Laboratory of Green Catalysis of Sichuan Institutes of Higher Education (LZJ1104), the Key Project of China Zigong Science & Technology Bureau (No. 2012H07), and the Research Foundation of Chongqing University of Science & Technology (CK2011B13, CK2013Z06).		61	6	7	11	94	SCIENCE REVIEWS 2000 LTD	ST ALBANS	PO BOX 314, ST ALBANS AL1 4ZG, HERTS, ENGLAND	1468-6783	1471-406X		PROG REACT KINET MEC	Prog. React. Kinet. Mech.		2014	39	1					1	15		10.3184/97809059274714X13874723178485		15	Chemistry, Physical	Chemistry	AD6PZ	WOS:000333384600001		
J	Feng, FM; Cai, SL; Liu, FA; Huang, ST; Xie, JQ				Feng, Fa-mei; Cai, Shu-lan; Liu, Fu-an; Huang, Sheng-tian; Xie, Jia-qing			Framework and catalytic activity of a metallomicelle system made from an azacrown ether, lanthanum(III) ion and a cationic surfactant	PROGRESS IN REACTION KINETICS AND MECHANISM			English	Article						metallomicelle; framework; catalysis; activity; mechanism; hydrolysis; fluorescence; phosphate ester	PHOSPHATE DIESTER HYDROLYSIS; PHOSPHODIESTER CLEAVAGE; LUMINESCENT PROPERTIES; COPPER(II) COMPLEXES; DNA HYDROLYSIS; MECHANISM; KINETICS; LIGANDS; ESTERS; MODEL	A metallomicelle system comprising an azacrown ether, lanthanum(III) ion and a cationic surfactant was constructed and used as catalyst in the hydrolysis of bis(4-nitrophenyl) phosphate ester (BNPP). The interaction between La(III) and the azacrown ether, and the resulting complex and BNPP, were analysed by fluorescence spectroscopy. The catalytic rate of BNPP hydrolysis was measured kinetically by UV-Vis spectrophotometry. The results indicated that the metallomicelle system exhibited relatively high stability and excellent catalytic function in BNPP hydrolysis, the rate of which, compared with the spontaneous hydrolysis, increased by a factor of ca 2 x 10(7) due to the catalytic effect of the active species and the local concentration effect of the micelle in the metallomicellar system. The results also showed that the complex, comprising La(III) ion, and the azacrown ether, is the active catalytic species, while the micelles provide a useful catalytic environment for reaction. On the basis of these results, a reaction mechanism for the catalytic hydrolysis of BNPP is proposed.	[Feng, Fa-mei; Cai, Shu-lan; Liu, Fu-an; Huang, Sheng-tian] Sichuan Univ Sci & Engn, Coll Chem & Pharmaceut Engn, Zigong 643000, Sichuan, Peoples R China; [Xie, Jia-qing] Chongqing Univ Technol, Coll Chem & Chem Engn, Chongqing 400054, Peoples R China	Feng, FM (reprint author), Sichuan Univ Sci & Engn, Coll Chem & Pharmaceut Engn, Zigong 643000, Sichuan, Peoples R China.	ffmei@163.com			Opening Project of Key Laboratory of Green Catalysis of Sichuan Institutes of High Education [LYJ1201, LYJ1303]; Chinese National Natural Science Foundation [21173274]; Educational Department of Sichuan Government [13ZA0126]	The authors gratefully acknowledge financial support from the Opening Project of Key Laboratory of Green Catalysis of Sichuan Institutes of High Education (LYJ1201, LYJ1303) and the Chinese National Natural Science Foundation (21173274), and the Educational Department of Sichuan Government (13ZA0126).		25	5	5	1	5	SCIENCE REVIEWS 2000 LTD	ST ALBANS	PO BOX 314, ST ALBANS AL1 4ZG, HERTS, ENGLAND	1468-6783	1471-406X		PROG REACT KINET MEC	Prog. React. Kinet. Mech.		2014	39	1					16	26		10.3184/97809059274714X13874738417410		11	Chemistry, Physical	Chemistry	AD6PZ	WOS:000333384600002		
J	Zheng, HL; Liao, Y; Zheng, MZ; Zhu, CJ; Ji, FY; Ma, JY; Fan, W				Zheng, Huaili; Liao, Yi; Zheng, Meizhen; Zhu, Chuanjun; Ji, Fangying; Ma, Jiangya; Fan, Wei			Photoinitiated Polymerization of Cationic Acrylamide in Aqueous Solution: Synthesis, Characterization, and Sludge Dewatering Performance	SCIENTIFIC WORLD JOURNAL			English	Article							WASTE ACTIVATED-SLUDGE; SEWAGE-SLUDGE; POLYACRYLAMIDE; FLOCCULANT; COPOLYMERIZATION; DEPENDENCE; INITIATOR; MONOMER; PHASE	A copolymer of acrylamide (AM) with acryloyloxyethyl trimethyl ammonium chloride (DAC) as the cationic monomer was synthesized under the irradiation of high-pressure mercury lamp with 2,2-azobis(2-amidinopropane) dihydrochloride (V-50) as the photoinitiator. The compositions of the photoinduced copolymer were characterized by Fourier transform infrared spectra (FTIR), ultraviolet spectra (UV), and scanning electron microscope (SEM). The effects of 6 important factors, that is, photo-initiators concentration, monomers concentration, CO(NH2)(2) (urea) concentrations, pH value, mass ratio of AM to DAC, and irradiation time on the molecular weight and dissolving time, were investigated. The optimal reaction conditions were that the photo-initiators concentration was 0.3%, monomers concentration was 30 wt.%, irradiation time was 60 min, urea concentration was 0.4%, pH value was 5.0, and mass ratio of AM to DAC was 6:4. Its flocculation properties were evaluated with activated sludge using jar test. The zeta potential of supernatant at different cationic monomer contents was simultaneously measured. The results demonstrated the superiority of the copolymer over the commercial polyacrylamide as a flocculant.	[Zheng, Huaili; Liao, Yi; Zheng, Meizhen; Ji, Fangying; Ma, Jiangya; Fan, Wei] Chongqing Univ, Key Lab Three Gorges Reservoir Reg Ecoenvironm, State Minist Educ, Chongqing 400045, Peoples R China; [Liao, Yi] Sichuan Univ Sci & Engn, Dept Architectural Engn, Zigong 643000, Peoples R China; [Zhu, Chuanjun] China Natl Offshore Oil Corp CNOOC, Tianjin Chem Res & Design Inst, Tianjin 300131, Peoples R China	Liao, Y (reprint author), Chongqing Univ, Key Lab Three Gorges Reservoir Reg Ecoenvironm, State Minist Educ, Chongqing 400045, Peoples R China.	ly-001-1980@163.com		Zheng, Huaili/0000-0001-8544-6033	National Natural Science Foundation of China [21177164]; Cultivation Fund of the Key Scientific and Technical Innovation Project, Ministry of Education of China [708071]	The authors are grateful for the financial support provided by the National Natural Science Foundation of China (Project no. 21177164) and the Cultivation Fund of the Key Scientific and Technical Innovation Project, Ministry of Education of China (no. 708071).		46	0	0	3	34	HINDAWI PUBLISHING CORPORATION	NEW YORK	410 PARK AVENUE, 15TH FLOOR, #287 PMB, NEW YORK, NY 10022 USA	1537-744X			SCI WORLD J	Sci. World J.		2014									465151	10.1155/2014/465151		11	Multidisciplinary Sciences	Science & Technology - Other Topics	AB0IE	WOS:000331474400001		
J	Li, YL; Xie, B; Zou, LK; Lin, X; Zhu, SS				Li, Yu-Long; Xie, Bin; Zou, Li-Ke; Lin, Xiao; Zhu, Sha-Sha			Synthesis, Characterization and Crystal Structure of Nickel Complex (dppv)Ni(C7H4NS2)(2)	ASIAN JOURNAL OF CHEMISTRY			English	Article						dppv; 2-Mercaptobenzothiazole; Synthesis; X-ray crystallography	CROSS-COUPLING REACTION; ARYLBORONIC ACIDS; ARYL MESYLATES; BIARYLS; CHLOROARENES; HYDROGENASE; ANALOGIES; CHEMISTRY	Reaction of 2-mercaptobenzothiazole with (dppv)NiCl2 (dppv: Ph2PCH=CHPPh2) in the presence of Et3N affords the title complex (dppv)Ni(C7H4NS2)(2) in 92 % yield. The new complex was fully characterized by elemental analysis, TGA, IR and H-1 (C-13, P-31) NMR spectroscopies. In addition, the molecular structure of the title complex was established by X-ray crystallography. The crystal of (dppv)Ni(C7H4NS2)(2)center dot CH2Cl2 crystallizes in monoclinic, space group P2/n with a = 15.927(9), b = 8.3553(5), c = 16.3728(8) angstrom, alpha = 90.00, beta = 112.417(4), gamma = 90.00, V = 2014.22(19) angstrom(3), Z = 2, C40H30N2NiP2S4 center dot CH2Cl2, M-r = 872.48, D-c = 1.439 g/cm(3), F(000) = 896 and mu(MoK alpha) = 0.934 mm(-1). The final R = 0.0920 and wR = 0.2220 for 2572 observed reflections with I > 2 sigma(I) and R = 0.1171 and wR = 0.2434 for all data. The geometry at the Ni centre in the title complex is square-planar with the NiP2S2 chromophore.	[Li, Yu-Long; Zou, Li-Ke] Sichuan Univ Sci & Engn, Key Lab Green Catalysis Higher Educ Inst Sichuan, Zigong 643000, Peoples R China; [Li, Yu-Long; Xie, Bin; Lin, Xiao; Zhu, Sha-Sha] Sichuan Univ Sci & Engn, Inst Funct Mat, Zigong 643000, Peoples R China	Li, YL (reprint author), Sichuan Univ Sci & Engn, Key Lab Green Catalysis Higher Educ Inst Sichuan, Zigong 643000, Peoples R China.	yu_longli@yahoo.cn			Science & Technology Department of Sichuan Province [2012JY0115, 2011JY0052, 2010GZ0130]; Sichuan University of Science Engineering [2011RC06, 2012PY04, 2012PY14]	The authors are grateful to Science & Technology Department of Sichuan Province (2012JY0115, 2011JY0052, 2010GZ0130), Sichuan University of Science & Engineering (2011RC06, 2012PY04, 2012PY14) for financial support.		17	1	1	0	0	ASIAN JOURNAL OF CHEMISTRY	SAHIBABAD	11/100 RAJENDRA NAGAR, SECTOR 3,, SAHIBABAD 201 005, GHAZIABAD, INDIA	0970-7077	0975-427X		ASIAN J CHEM	Asian J. Chem.	JAN	2014	26	1	A				183	185				3	Chemistry, Multidisciplinary	Chemistry	297ZU	WOS:000330294400042		
J	He, P; Jing, CG; Fan, T; Chen, CZ				He, Ping; Jing, Chun-Guo; Fan, Tao; Chen, Chang-Zhong			Robust Decentralized Adaptive Synchronization of General Complex Networks with Coupling Delayed and Uncertainties	COMPLEXITY			English	Article						synchronization; robust control; adaptive control; decentralized control; coupling delayed; complex networks; uncertainties	TIME-VARYING DELAYS; DYNAMICAL NETWORKS; NEURAL-NETWORKS; GLOBAL SYNCHRONIZATION; EXPONENTIAL SYNCHRONIZATION; PARAMETRIC UNCERTAINTIES; CLUSTER SYNCHRONIZATION; OUTER SYNCHRONIZATION; MULTIAGENT SYSTEMS; FEEDBACK-CONTROL	The problem of robust decentralized adaptive synchronization of general complex networks with coupling delayed and uncertainties is investigated in this article. It is only assumed that the upper normal bound of uncertain inner and outer coupling matrices is positive but its concrete structure is not also required to be known. The time-varying coupling delay is a any nonnegative continuous and bounded function and not require its derivative to be less than one, that is, general time-varying coupling delays and uncertainties. For such a class of uncertain complex networks, a new synchronization scheme is presented by a class of continuous memoryless robust decentralized adaptive synchronization controllers. It is also shown that the synchronization error dynamics of uncertain complex networks can be guaranteed as uniformly exponentially convergent toward a ball that can be as small as desired. Finally, numerical simulations are provided to demonstrate the effectiveness and robustness of proposed complex networks synchronization schemes. (c) 2013 Wiley Periodicals, Inc. Complexity 19: 10-26, 2014	[He, Ping; Jing, Chun-Guo] Northeastern Univ, Sch Informat Sci & Engn, Shenyang 110819, Liaoning, Peoples R China; [Fan, Tao; Chen, Chang-Zhong] Sichuan Univ Sci & Engn, Sch Automat & Elect Informat, Zigong 643000, Sichuan, Peoples R China; [Fan, Tao; Chen, Chang-Zhong] Sichuan Univ Sci & Engn, Artificial Intelligence Key Lab Sichuan Prov, Zigong 643000, Sichuan, Peoples R China; [Jing, Chun-Guo] Northeastern Univ Qinhuangdao, Sch Comp & Commun Engn, Qinhuangdao 066004, Hebei, Peoples R China	He, P (reprint author), Northeastern Univ, Sch Informat Sci & Engn, 11 Alley 3,Wenhua Rd, Shenyang 110819, Liaoning, Peoples R China.	pinghecn@qq.com	He, Ping/H-5712-2013	He, Ping/0000-0001-7340-9606	Science Foundation of Sichuan University of Science Engineering [2012KY19]; Open Foundation of Artificial Intelligence Key Laboratory of Sichuan Province [2012RYJ01, 2011RYY05]	The authors would like to thank the referee for his/her help. In addition, the authors would like to express their sincere appreciation to Professor Gong-Quan Tan and Shu-Hua Ma for some valuable suggestions toward achieving the work of this paper. The authors wish to thank the editor and reviewers for their conscientious reading of this paper and their numerous comments for improvement which were extremely useful and helpful in modifying the manuscript. This work was jointly supported by the Science Foundation of Sichuan University of Science & Engineering (Grant No. 2012KY19), the Open Foundation of Artificial Intelligence Key Laboratory of Sichuan Province (Grant Nos. 2012RYJ01 and 2011RYY05).		88	59	60	2	54	WILEY-BLACKWELL	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	1076-2787	1099-0526		COMPLEXITY	Complexity	JAN	2014	19	3					10	26		10.1002/cplx.21472		17	Mathematics, Interdisciplinary Applications; Multidisciplinary Sciences	Mathematics; Science & Technology - Other Topics	284LY	WOS:000329320700002		
J	Cheng, CR; Yang, M; Yu, K; Guan, SH; Wu, XH; Wu, WY; Sun, Y; Li, C; Ding, J; Guo, DA				Cheng, Chun-Ru; Yang, Min; Yu, Kate; Guan, Shu-Hong; Wu, Xiao-Hui; Wu, Wan-Ying; Sun, Yan; Li, Chuan; Ding, Jie; Guo, De-An			Metabolite identification of crude extract from Ganoderma lucidum in rats using ultra-performance liquid chromatography-quadrupole time-of-flight mass spectrometry	JOURNAL OF CHROMATOGRAPHY B-ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES			English	Article						Ganoderma lucidum; Ganoderic acid; Metabolism; Metabolite identification; UPLC/Q-TOF	ACID-D; TRITERPENOIDS; CYTOTOXICITY; MUSHROOM; HPLC	The metabolism of traditional Chinese medicine is very complicated and has been a great challenge. In the present paper, a new strategy was established to study the metabolism of crude extract from Ganoderma lucidum using the highly separative and sensitive ultra-performance liquid chromatography/quadrupole time-of-flight mass spectrometry. Based on the investigation of the metabolism of five representative single compounds (ganoderic acid), a total of 90 metabolites were identified from the bile sample after oral administration of the crude extract. Among them, 21 compounds were identified by comparison with the reference standards, the other unknown metabolites were tentatively characterized by interpretation of the high resolution low collision energy and high collision energy mass spectra using the fragmentation rules. The metabolic characteristics and "soft spots" of the ganoderic acids were revealed. After being absorbed, the ganoderic acids from the extract could undergo extensive phases land II metabolism in rat before excreted into the bile. The main ganoderic acids could transform from one to another through reduction, oxidation, deacetylation and desaturation reactions. Other metabolic transformation included hydroxylation, sulfation and glucuronidation. The total tendency was that the low polar ganoderic acids were transformed into the high polar metabolites to eliminate from the organism. The metabolic "soft spots" of the ganoderic acids were 3,7,15,23-carbonyl groups (or hydroxyl groups), angular methyl groups, 20(22)-double bond, 12-acetoxyl group and 26-carboxylic acid moiety. These results are considered to be important for the further investigation of G. lucidum. (C) 2013 Elsevier B.V. All rights reserved.	[Cheng, Chun-Ru; Ding, Jie] Sichuan Univ Sci & Engn, Sch Chem & Pharmaceut Engn, Inst Pharmaceut Engn Technol & Applicat, Zigong 643000, Sichuan, Peoples R China; [Cheng, Chun-Ru; Yang, Min; Guan, Shu-Hong; Wu, Wan-Ying; Sun, Yan; Li, Chuan; Guo, De-An] Chinese Acad Sci, Natl Engn Lab TCM Standardizat Technol, Shanghai Res Ctr Modernizat Tradit Chinese Med, Shanghai Inst Mat Med, Shanghai 201203, Peoples R China; [Yu, Kate] Waters Corp, Milford, MA 01757 USA; [Wu, Xiao-Hui] Tianjin Med Univ, Tianjin Key Lab Technol Enabling Dev Clin Therape, Coll Pharm, Tianjin 300070, Peoples R China	Yang, M (reprint author), Chinese Acad Sci, Natl Engn Lab TCM Standardizat Technol, Shanghai Res Ctr Modernizat Tradit Chinese Med, Shanghai Inst Mat Med, Haike Rd 501,Zhangjiang Hitech Pk, Shanghai 201203, Peoples R China.	yangmin_7777@163.com; daguo@mail.shcnc.ac.cn			National Natural Science Foundation of China [81001630]; Natural Science Foundation of Shanghai [10ZR1436400]; Major Projects of Knowledge Innovation Program of the Chinese Academy of Sciences [KSCX2-YW-R-166]; Twelfth Five-Year National Science & Technology Support Program [2012BAI29B06]; Discipline Construction Project of Sichuan University of Science Engineering; Project of Education Department in Sichuan [13ZB0133]; Introduction Program of Scientific Researchist of Sichuan University of Science Engineering [2012RC17, 2012RC15]	This work was supported by the National Natural Science Foundation of China (81001630), Natural Science Foundation of Shanghai (10ZR1436400), Major Projects of Knowledge Innovation Program of the Chinese Academy of Sciences (KSCX2-YW-R-166), the Twelfth Five-Year National Science & Technology Support Program (2012BAI29B06), Discipline Construction Project of Sichuan University of Science & Engineering, Project of Education Department in Sichuan (13ZB0133) and Introduction Program of Scientific Researchist of Sichuan University of Science & Engineering (2012RC17, 2012RC15).		22	7	8	5	58	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	1570-0232	1873-376X		J CHROMATOGR B	J. Chromatogr. B	DEC 15	2013	941						90	99		10.1016/j.jchromb.2013.10.006		10	Biochemical Research Methods; Chemistry, Analytical	Biochemistry & Molecular Biology; Chemistry	257ET	WOS:000327367100013	24189202	
J	Tang, CM; Zhao, F; Chen, XX; Chen, HJ; Cheng, XL				Tang Cui-Ming; Zhao Feng; Chen Xiao-Xu; Chen Hua-Jun; Cheng Xin-Lu			Thermite reaction of Al and alpha-Fe2O3 at the nanometer interface: ab initio molecular dynamics study	ACTA PHYSICA SINICA			Chinese	Article						thermite reaction; density function theory; molecular dynamics; canonical ensemble	ENERGETIC MATERIALS; SIMULATIONS	Based on the density function theory, thermite reaction between Al and alpha-Fe2O3 at temperature 2000 K in canonical ensemble is investigated by ab initio molecular dynamics. In the simulation, with the increasing of the time, the number of the Fe-O bond decreases, while the numbers of Al-O bonds and Fe Fe bonds increase. At the same time, the total charge quantity of Fe ions decreases and the total charge quantity of Al ions increases as time increases. In the Al/Fe2O3 thermite reaction, the redox reaction is observed, Al atoms are oxidized and the Fe ions are reduced. And then the rupture of Fe-O bonds and the formation of Al-O bonds happen at the interface. Whole redox reaction is completed in about 3 ps.	[Tang Cui-Ming; Chen Hua-Jun; Cheng Xin-Lu] Sichuan Univ, Inst Atom & Mol Phys, Chengdu 610065, Peoples R China; [Tang Cui-Ming; Chen Xiao-Xu] Sichuan Univ Sci & Engn, Dept Math & Phys, Zigong 643000, Peoples R China; [Zhao Feng] China Acad Engn Phys, Inst Fluid Phys, Key Lab Natl Def Sci & Technol Shock Wave & Deton, Mianyang 621900, Peoples R China	Cheng, XL (reprint author), Sichuan Univ, Inst Atom & Mol Phys, Chengdu 610065, Peoples R China.	chengxl@scu.edu.cn			National Natural Science Foundation of China [11176020]	Project supported by the National Natural Science Foundation of China (Grant No. 11176020).		25	1	1	4	26	CHINESE PHYSICAL SOC	BEIJING	P O BOX 603, BEIJING 100080, PEOPLES R CHINA	1000-3290			ACTA PHYS SIN-CH ED	Acta Phys. Sin.	DEC	2013	62	24							247101	10.7498/aps.62.247101		7	Physics, Multidisciplinary	Physics	280OK	WOS:000329040100036		
J	Gui, MS; Wang, PF; Yuan, D; Tang, MM				Gui Ming-Sheng; Wang Peng-Fei; Yuan Dong; Tang Miao-Miao			Preparation and Visible Light Photocatalytic Activity of 3D-NiO/Bi7.47Ni0.53O11.73 Photocatalysts	ACTA PHYSICO-CHIMICA SINICA			Chinese	Article						Composite; Photocatalytic; Visible light; Methyl orange	HYDROGEN-PRODUCTION; CONTROLLABLE SYNTHESIS; TITANIUM-DIOXIDE; NANOWIRE ARRAYS; HETEROJUNCTION; WATER; SEMICONDUCTOR; DEGRADATION; NANOSHEETS; EFFICIENT	Three-dimensional (3D)-NiO/Bi7.47Ni0.53O11.73 (BiNiO) microspheres were synthesized by a mixed solvothermal process in the presence of urea. The catalysts were characterized using X-ray diffraction (XRD), scanning electron microscopy (SEM), transmission electron microscopy (TEM), X-ray photoelectron spectroscopy (XPS), ultraviolet-visible diffuse reflectance spectroscopy (UV-Vis DRS), and photodegradation of methyl orange (MO). The results show that the composite catalysts are composed of NiO nanosheets and 3D-NiO/Bi7.47Ni0.53O11.73 microspheres. The sample BiNiO-300, which was prepared by heating the precursor at 300 degrees C for 2 h, had the best photocatalytic activity: after visible-light irradiation for 3 h, the decolorization of an MO solution was 98%.	[Gui Ming-Sheng; Wang Peng-Fei; Yuan Dong; Tang Miao-Miao] Sichuan Univ Sci & Engn, Coll Mat & Chem Engn, Zigong 643000, Sichuan Provinc, Peoples R China	Gui, MS (reprint author), Sichuan Univ Sci & Engn, Coll Mat & Chem Engn, Zigong 643000, Sichuan Provinc, Peoples R China.	guimingsheng@126.com			Education Department Scientific Research Projects of Sichuan Province, China [13ZB0137]; Talents Project of Sichuan University of Science & Engineering, China [2012RC05]; Student Research Program of Sichuan Province, China	The project was supported by the Education Department Scientific Research Projects of Sichuan Province, China (13ZB0137), Talents Project of Sichuan University of Science & Engineering, China (2012RC05), and Student Research Program of Sichuan Province, China.		37	0	1	3	15	PEKING UNIV PRESS	BEIJING	PEKING UNIV, CHEMISTRY BUILDING, BEIJING 100871, PEOPLES R CHINA	1000-6818			ACTA PHYS-CHIM SIN	Acta Phys.-Chim. Sin.	DEC	2013	29	12					2608	U165		10.3866/PKU.WHXB201310312		11	Chemistry, Physical	Chemistry	280OG	WOS:000329039600016		
J	Si, YJ; Xiong, ZP; Chen, CG; Liu, P; Wu, HJ				Si, Yu-Jun; Xiong, Zhong-Ping; Chen, Chang-Guo; Liu, Ping; Wu, Hui-Juan			A non-precious metal catalyst for oxygen reduction prepared by heat-treating a mechanical mixture of carbon black, melamine and cobalt chloride	CHINESE CHEMICAL LETTERS			English	Article						Oxygen reduction; Non-precious metal catalyst; Preparation; Mechanical method	MEMBRANE FUEL-CELL; O-2 REDUCTION; ELECTROCATALYSTS; PERFORMANCE	A non-precious metal catalyst CoMe/C for the oxygen reduction reaction is prepared by heat-treating a mechanical mixture of carbon black, melamine and cobalt chloride at 600 under nitrogen atmosphere for 2 h. The catalytic activity of CoMe/C is characterized by the electrochemical linear sweep voltammetry technique. The onset reduction potential of the catalyst is 0.55 V (vs. SCE) at a scanning rate of 5 mV/s in 0.5 mol/L H2SO4 solution. The formation of the ORR activity sites of CoMe/C is facilitated by metallic beta-cobalt. (C) 2013 Yu-Jun Si and Chang-Guo Chen. Published by Elsevier B.V. on behalf of Chinese Chemical Society. All rights reserved.	[Si, Yu-Jun; Xiong, Zhong-Ping] Sichuan Univ Sci & Engn, Coll Chem & Pharmaceut Engn, Zigong 643000, Peoples R China; [Chen, Chang-Guo; Liu, Ping; Wu, Hui-Juan] Chongqing Univ, Coll Chem & Chem Engn, Chongqing 400044, Peoples R China	Si, YJ (reprint author), Sichuan Univ Sci & Engn, Coll Chem & Pharmaceut Engn, Zigong 643000, Peoples R China.	syj08448@163.com; cgchen@cqu.edu.cn			Fundamental Research Funds for the Central Universities [CDJXS12220002]; Specialized Research Fund for the Doctoral Program of Sichuan University of Science and Engineering [2012RC16]; Opening Project of Key Laboratory of Green Catalysis of Sichuan Institutes of High Education [LYJ1206]; National Undergraduate Innovation Training Project [1110611046]; Discipline Construction Project of Sichuan University of Science and Engineering	This work was supported by the Fundamental Research Funds for the Central Universities (No. CDJXS12220002), the Specialized Research Fund for the Doctoral Program of Sichuan University of Science and Engineering (No. 2012RC16), the Opening Project of Key Laboratory of Green Catalysis of Sichuan Institutes of High Education (No. LYJ1206), the National Undergraduate Innovation Training Project (No. 1110611046) and Discipline Construction Project of Sichuan University of Science and Engineering.		13	3	3	4	22	ELSEVIER SCIENCE INC	NEW YORK	360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA	1001-8417	1878-5964		CHINESE CHEM LETT	Chin. Chem. Lett.	DEC	2013	24	12					1109	1111		10.1016/j.cclet.2013.09.002		3	Chemistry, Multidisciplinary	Chemistry	280HJ	WOS:000329019000019		
