PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Cao, CQ; Shi, JP; Yin, Z				Cao, Cheng-Quan; Shi, Jian-Ping; Yin, Zhan			Two new species of the genus Sphingonotus Fieber, 1852 (Orthoptera: Oedipodidae) from China	ZOOTAXA			English	Article						Orthoptera; Acridoidea; Oedipodidae; Sphingonotus; New species; China		Two new species of the genus Sphingonotus Fieber, 1852, namely Sphingonotus taiwanensis sp. nov. and Sphingonotus zhongningensis sp. nov. are described in this paper from China. The new species Sphingonotus taiwanensis sp. nov. is similar to Sphingonotus nebulosus (Fiescher-Waldheim, 1846), but differs from the latter by interspace of mesosternum wider, width 1.8 times the length; hind femur pale red on inner side; hind tibia pale red, with 13 spines on inner side and 10 spines on outer side; hind wing pale yellow at base. The new species Sphingonotus zhongningensis sp. nov. is similar to Sphingonotus salinus (Pallas, 1773), but differs from the latter in: vertical diameter of eye 1.3 times horizontal diameter; metazona of pronotum is 2.0 times prozona in length; hind tibiae with 13 spines on inner side and 12 spines on outer side; black band of hind wing wider in the middle, apical part not narrowed; black band of hind wing in the apical part larger, not divided into two. The type specimens are deposited in the Taiwan Agricultural Research of Institute (TARI), Taichung Taiwan, China and in the College of Plant Protection, China Agricultural University, Beijing, China respectively.	[Cao, Cheng-Quan] Leshan Normal Univ, Coll Life Sci, Leshan 614004, Peoples R China; [Shi, Jian-Ping] Chinese Acad Sci, Northwest Plateau Inst Biol, Xining 810001, Peoples R China; [Yin, Zhan] Hebei Univ, Coll Life Sci, Baoding 071002, Peoples R China	Yin, Z (reprint author), Hebei Univ, Coll Life Sci, Baoding 071002, Peoples R China.	yinzhan@hbu.edu.cn			Natural Sciences Foundation of People's Republic of China [31372153]	This study is financially supported by the grant of Natural Sciences Foundation of People's Republic of China (No.31372153). We are grateful to Mr. Zhao Zi-Hua and Wang Ying for collecting the specimen.		24	0	0	1	1	MAGNOLIA PRESS	AUCKLAND	PO BOX 41383, AUCKLAND, ST LUKES 1030, NEW ZEALAND	1175-5326	1175-5334		ZOOTAXA	Zootaxa	DEC 12	2016	4205	6					593	598		10.11646/zootaxa.4205.6.7		6	Zoology	Zoology	EE6TL	WOS:000389745400007		
J	Wen, LY; Liao, F				Wen, Longying; Liao, Fei			Complete mitochondrial genome of Pycnonotus xanthorrhous (Passeriformes, Pycnonotidae) and phylogenetic consideration	BIOCHEMICAL SYSTEMATICS AND ECOLOGY			English	Article						Pycnonotus xanthorrhous; Pycnonotidae; Mitochondrial genome; Phylogenetic analysis; Gene order	CONTROL REGION; MAXIMUM-LIKELIHOOD; PASSERIDA AVES; EVOLUTION; SEQUENCE; BIRDS; PROGRAM; NUCLEAR; MODEL	The complete mitochondrial genome (mitogenome) of Pycnonotus xanthorrhous was sequenced via next generation sequencing. The full length of the circular genome is 16,952 bp. It consists of 37 typical animal mitochondrial genes including 13 protein-coding genes (PCGs), 22 transfer RNA (tRNA) and 2 ribosomal RNA (rRNA) genes. P. xanthorrhous also contains one control region (CR) and one pseudo-control region, and shares the identical gene arrangements with sequenced Pycnonotus spp. which differs from the typical vertebrates gene order. Phylogenetic analyses indicates that Passerida sensu stricto contains three major clades and the core Sylvioidea form a monophyletic group. Furthermore, we investigated the evolution of control region within this lineage and revealed the multiple independent origins of duplicate control region. (C) 2016 Elsevier Ltd. All rights reserved.	[Wen, Longying] Leshan Normal Univ, Key Lab Sichuan Inst Protecting Endangered Birds, Coll Life Sci, Leshan 614004, Sichuan, Peoples R China; [Liao, Fei] Leshan Normal Univ, Dept Int Affairs, Leshan 614004, Sichuan, Peoples R China	Liao, F (reprint author), Leshan Normal Univ, Dept Int Affairs, Leshan 614004, Sichuan, Peoples R China.	lywen02@126.com; 843215155@qq.com			Natural Science Foundation of China [31372171]	This research was supported by Natural Science Foundation of China (No. 31372171).		25	0	0	2	2	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0305-1978	1873-2925		BIOCHEM SYST ECOL	Biochem. Syst. Ecol.	DEC	2016	69						83	90		10.1016/j.bse.2016.08.009		8	Biochemistry & Molecular Biology; Ecology; Evolutionary Biology	Biochemistry & Molecular Biology; Environmental Sciences & Ecology; Evolutionary Biology	EF7GE	WOS:000390497300012		
J	Cao, CQ; Tong, C; Chen, SZ; Liu, ZW; Xu, FQ; Liu, Q; Liu, XY				Cao, Chengquan; Tong, Chao; Chen, Shengzhi; Liu, Zhiwei; Xu, Faqiong; Liu, Qian; Liu, Xingyue			First description and bionomic notes for the final-instar larva and pupa of an Oriental dobsonfly species, Neoneuromus sikkimmensis (van der Weele, 1907) (Megaloptera: Corydalidae)	ZOOTAXA			English	Article						Corydalinae; immature; taxonomy; morphology		Neoneuromus van der Weele, 1909, a member of megalopteran subfamily Corydalinae, is a common and widespread dobsonfly genus of the Oriental Region. The adult taxonomy of Neoneuromus is relatively well-known but the larvae and pupae are undescribed. In this paper we describe the last-instar larva and the pupa of N. sikkimmensis (van der Weele, 1907), representing the first detailed description of any immature stage of Neoneuromus. Information on the bionomics of this species is also reported.	[Cao, Chengquan; Tong, Chao; Chen, Shengzhi; Xu, Faqiong; Liu, Qian] Leshan Normal Univ, Coll Life Sci, Leshan 614004, Sichuan, Peoples R China; [Liu, Zhiwei] Eastern Illinois Univ, Dept Biol Sci, Charleston, IL 61920 USA; [Liu, Xingyue] China Agr Univ, Dept Entomol, Beijing 100193, Peoples R China	Liu, XY (reprint author), China Agr Univ, Dept Entomol, Beijing 100193, Peoples R China.	xingyue_liu@yahoo.com	Liu, Xingyue/A-3019-2013	Liu, Xingyue/0000-0002-9168-0659	National Natural Science Foundation of China [31322051, 31301902]; Eastern Illinois University	We thank Ran Xu for rearing, Heng Xiao for statistics, Yulin Hu for photograph, Yanping Xiao, Caixia Yao and Zhier Aluo for measurements. This research was funded by the National Natural Science Foundation of China (No. 31322051 and No. 31301902) and partly supported by a Visiting Scholar Grant from Eastern Illinois University to ZL for hosting CQC in the summer of 2014.		9	0	0	3	3	MAGNOLIA PRESS	AUCKLAND	PO BOX 41383, AUCKLAND, ST LUKES 1030, NEW ZEALAND	1175-5326	1175-5334		ZOOTAXA	Zootaxa	OCT 31	2016	4179	2					288	294		10.11646/zootaxa.4179.2.9		7	Zoology	Zoology	EA1CB	WOS:000386329000009	27811676	
J	Fu, YQ; Chen, BP; Dowell, SD; Zhang, ZW				Fu, Yiqiang; Chen, Benping; Dowell, Simon D.; Zhang, Zhengwang			Nest predators, nest-site selection and nest success of the Emei Shan Liocichla (Liocichla omeiensis), a vulnerable babbler endemic to southwestern China	AVIAN RESEARCH			English	Article						Nest predator; Nest-site selection; Nest success; Liocichla omeiensis; Laojunshan Nature Reserve	BREEDING ECOLOGY; HABITAT; FOREST; BIRDS; PERSPECTIVES; FLYCATCHER; SURVIVAL; WARBLER; CHOICE	Background: The Emei Shan Liocichla (Liocichla omeiensis) is a globally vulnerable babbler, endemic to southwestern China. We investigated its nest predators, nest-site selection and nest success at the Laojunshan National Nature Reserve in Sichuan, China in order to identify the precise nesting-habitat requirements of the species, and to test whether the nest-site-selection cues, preferred by the Emei Shan Liocichla, are positively associated with nest success. Methods: We used infrared cameras to determine nest predators. We compared the microhabitat attributes between nest and random sites, as well as successful and failed nests. We used Binary Logistic Regression to determine the most important variables affecting nest-site selection of the Emei Shan Liocichla. We used the nest survival analysis in Program MARK to estimate daily nest survival rates (DSR). Nest success was calculated using the Mayfield method. Results: In total 56 nests were found. The DSR for all nests that contained at least one egg was 0.9564 +/- 0.0091 (95 % CI 0.9346-0.9711) (n = 40), while the total nest success was 27.5 %. We identified four categories of predators in 10 nest predation events, i.e. squirrels (n = 5), snakes (n = 3), raptors (n = 1) and wasps (n = 1). We found that: (1) nest predation was the primary reason for nest failure of the Emei Shan Liocichla, (2) tree cover, bamboo cover, liana abundance and distance to forest edge or gap were the most important variables affecting nest-site selection of this species, and (3) the nest-site-selection variables we measured appeared not to be positively associated with nest success. Conclusions: Our findings suggest that the Emei Shan Liocichla tended to select nest sites near forest edges or gaps with good concealment and that nest-site selection by this species was nonrandom but not necessarily adaptive. Reducing forest-edge development and protecting bamboo stands should be effective for conservation of this species.	[Fu, Yiqiang] Leshan Normal Univ, Coll Life Sci, Sichuan Inst, Key Lab Protecting Endangered Birds Southwest Mt, Leshan 614004, Sichuan, Peoples R China; [Chen, Benping] Laojunshan Natl Nat Reserve Adm, Pingshan 645350, Sichuan, Peoples R China; [Dowell, Simon D.] Chester Zoo, North England Zool Soc, Chester CH1 1LH, Cheshire, England; [Zhang, Zhengwang] Beijing Normal Univ, Coll Life Sci, Key Lab Biodivers Sci & Ecol Engn, Minist Educ, Beijing 100875, Peoples R China	Zhang, ZW (reprint author), Beijing Normal Univ, Coll Life Sci, Key Lab Biodivers Sci & Ecol Engn, Minist Educ, Beijing 100875, Peoples R China.	zzw@bnu.edu.cn			National Natural Science Foundation of China [31272330]; Scientific Research Innovation Team Projects of Leshan Normal University	This work was supported by the National Natural Science Foundation of China (No. 31272330) and the Scientific Research Innovation Team Projects of Leshan Normal University. We thank the Laojunshan National Nature Reserve for allowing us to conduct this study. We thank Ming Xiang, Wencai Chen, Yongheng Wu and Chiping Kong for assistance with the fieldwork.		41	0	0	9	9	BIOMED CENTRAL LTD	LONDON	236 GRAYS INN RD, FLOOR 6, LONDON WC1X 8HL, ENGLAND	2053-7166			AVIAN RES	Avian Res.	OCT 24	2016	7								UNSP 18	10.1186/s40657-016-0054-1		6	Ornithology	Zoology	EA7GD	WOS:000386797400001		
J	Nie, WL; Sun, GF; Tian, C; Borzov, MV				Nie, Wanli; Sun, Guofeng; Tian, Chong; Borzov, Maxim V.			B(C6F5)(3)-guided cyclotrimerization-rearrangement of phenylacetylene. Evidence of the (C6F5)(3)B--C(H)=C+Ph intermediate in a 1,1-carboboration reaction	ZEITSCHRIFT FUR NATURFORSCHUNG SECTION B-A JOURNAL OF CHEMICAL SCIENCES			English	Article						1,1-carboboration; cyclotrimerization; rearrangement; tris(pentafluorophenyl)borane; variable temperature and concentration NMR spectroscopy; X-ray diffraction analysis	FRUSTRATED LEWIS PAIR; CRYSTAL-STRUCTURES; COMPLEXES; ACTIVATION; DERIVATIVES; CHEMISTRY; NITROGEN; CARBENE; ALKYNES; SYSTEM	In presence of 2,2,6,6-tetramethylpiperidinium ([TMPH](+)) chlorotris(pentafluorophenyl) borate ([TMPH](+)[ClB(C6F5)(3)](-), 3), phenylacetylene undergoes an unusual cyclotrimerization-rearrangement leading to tris(pentafluorophenyl)(3,4,5-triphenylphenyl) borate anion (1) as a minor product which can be isolated and purified in a form of salts [1 center dot(TMPH)(n) center dot Cl(n-1)] (n = 3 or 5). A variable temperature and concentration NMR spectroscopy study of 3 in CDCl3 unambiguously demonstrated its ability to liberate free B(C6F5)(3), which initiates cyclotrimerization and guides rearrangements towards formation of the tetraarylborate anion 1. For the previously studied "spectator" reaction between phenylacetylene and B(C6F5)(3) in CDCl3, H-1, F-19, and B-11 NMR-spectral evidence of the (C6F5)(3)B--C(H)=C+Ph zwitterionic intermediate of the 1,1-carboboration reaction has been demonstrated. The crystal structures of [1 center dot(TMPH)(3)center dot Cl-2], the salt 3, and a 1:1 adduct of 1,3,5-tris(4-fluorophenyl) benzene and 2,4,6-tris(pentafluorophenyl)-1,3,5,2,4,6-trioxatriborinane (2) have been established by X-ray diffraction analysis.	[Nie, Wanli; Sun, Guofeng; Tian, Chong; Borzov, Maxim V.] Leshan Normal Univ, Dept Chem, Sichuan Key Lab Nat Prod & Small Mol Synth, Binhe Rd 778, Leshan 614000, Sichuan, Peoples R China	Borzov, MV (reprint author), Leshan Normal Univ, Dept Chem, Sichuan Key Lab Nat Prod & Small Mol Synth, Binhe Rd 778, Leshan 614000, Sichuan, Peoples R China.	maxborzov@mail.ru			National Natural Science Foundation of China [21542011]; Scientific Research Fund of Sichuan Provincial Educational Department [15ZA0279]	Financial support from the National Natural Science Foundation of China (grant No. 21542011) and Scientific Research Fund of Sichuan Provincial Educational Department (grant No. 15ZA0279) is gratefully acknowledged.		34	0	0	4	4	WALTER DE GRUYTER GMBH	BERLIN	GENTHINER STRASSE 13, D-10785 BERLIN, GERMANY	0932-0776	1865-7117		Z NATURFORSCH B	Z.Naturforsch.(B)	OCT	2016	71	10			SI		1029	1041		10.1515/znb-2016-0110		13	Chemistry, Inorganic & Nuclear; Chemistry, Organic	Chemistry	EB2TZ	WOS:000387216800006		
J	Peng, LX; Chen, WB; Zhou, WB; Li, FF; Yang, J; Zhang, JD				Peng, Lingxi; Chen, Wenbin; Zhou, Wubai; Li, Fufang; Yang, Jin; Zhang, Jiandong			An immune-inspired semi-supervised algorithm for breast cancer diagnosis	COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE			English	Article						Breast cancer diagnosis; Artificial immune; Machine learning	FEATURE-SELECTION; SYSTEMS; HYBRID; OPTIMIZATION; CLASSIFIERS; MODEL; AIRS	Breast cancer is the most frequently and world widely diagnosed life-threatening cancer, which is the leading cause of cancer death among women. Early accurate diagnosis can be a big plus in treating breast cancer. Researchers have approached this problem using various data mining and machine learning techniques such as support vector machine, artificial neural network, etc. The computer immunology is also an intelligent method inspired by biological immune system, which has been successfully applied in pattern recognition, combination optimization, machine learning, etc. However, most of these diagnosis methods belong to a supervised diagnosis method. It is very expensive to obtain labeled data in biology and medicine. In this paper, we seamlessly integrate the state-of-the-art research on life science with artificial intelligence, and propose a semi-supervised learning algorithm to reduce the need for labeled data. We use two well-known benchmark breast cancer datasets in our study, which are acquired from the UCI machine learning repository. Extensive experiments are conducted and evaluated on those two datasets. Our experimental results demonstrate the effectiveness and efficiency of our proposed algorithm, which proves that our algorithm is a promising automatic diagnosis method for breast cancer. (C) 2016 Elsevier Ireland Ltd. All rights reserved.	[Peng, Lingxi] Guangzhou Univ, Sch Mech & Elect Engn, Guangzhou 510006, Guangdong, Peoples R China; [Chen, Wenbin; Li, Fufang] Guangzhou Univ, Sch Comp Sci & Educ, Guangzhou 510006, Guangdong, Peoples R China; [Zhou, Wubai] Florida Int Univ, Sch Comp & Informat Sci, Miami, FL 33199 USA; [Yang, Jin; Zhang, Jiandong] Leshan Normal Univ, Dept Comp Sci, Leshan 614000, Peoples R China	Zhang, JD (reprint author), Leshan Normal Univ, Dept Comp Sci, Leshan 614000, Peoples R China.	zjd2003@163.com			National Natural Science Foundation of China [61472092, 11271097, 61100150]; Creation Team Construction Project of Guangdong Province University [2015KCXTD014]; Scientific Research Fund of Sichuan Provincial Education Department [13TD0014]; Scientific Research Fund of Leshan Normal University [Z1412]	This work was supported by the National Natural Science Foundation of China under Grant No. 61472092, No. 11271097 and No. 61100150, Creation Team Construction Project of Guangdong Province University under Grant No. 2015KCXTD014, Scientific Research Fund of Sichuan Provincial Education Department No.13TD0014, and Scientific Research Fund of Leshan Normal University under Grant No. Z1412.		26	1	1	24	68	ELSEVIER IRELAND LTD	CLARE	ELSEVIER HOUSE, BROOKVALE PLAZA, EAST PARK SHANNON, CO, CLARE, 00000, IRELAND	0169-2607	1872-7565		COMPUT METH PROG BIO	Comput. Meth. Programs Biomed.	OCT	2016	134						259	265		10.1016/j.cmpb.2016.07.020		7	Computer Science, Interdisciplinary Applications; Computer Science, Theory & Methods; Engineering, Biomedical; Medical Informatics	Computer Science; Engineering; Medical Informatics	DT7DJ	WOS:000381647000022	27480748	
J	Jiang, T; Ma, XG; Tang, Q; Yang, J; Li, GX; Schuchardt, F				Jiang, Tao; Ma, Xuguang; Tang, Qiong; Yang, Juan; Li, Guoxue; Schuchardt, Frank			Combined use of nitrification inhibitor and struvite crystallization to reduce the NH3 and N2O emissions during composting	BIORESOURCE TECHNOLOGY			English	Article; Proceedings Paper	International conference on Solid Waste - Knowledge Transfer for Sustainable Resource Management (ICSWHK)	MAY 19-23, 2015	Hong Kong, PEOPLES R CHINA			Composting; Dicyandiamide; Struvite; Ammonia; Nitrous oxide	GREENHOUSE-GAS EMISSIONS; NITROUS-OXIDE EMISSIONS; DICYANDIAMIDE DCD; MOISTURE-CONTENT; CH4 EMISSIONS; AERATION RATE; PASTURE SOIL; SWINE MANURE; PIG MANURE; C/N RATIO	Struvite crystallization (SCP) is combined with a nitrification inhibitor (dicyandiamide, DCD) to mitigate the NH3 and N2O emission during composting. The MgO and H3PO4 were added at a rate of 15% (mole/mole) of initial nitrogen, and the DCD was added at rates of 0%, 2.5%, 5.0%, 7.5% and 10% (w/w) of initial nitrogen respectively. Results showed that the combination use of SCP and DCD was phytotoxin free. The SCP could significantly reduce NH3 losses by 45-53%, but not the DCD. The DCD significantly inhibits nitrification when the content was higher than 50 mg kg(-1), and that could reduce the N2O emission by 76.1-77.6%. The DCD degraded fast during the thermophilic phase, as the nitrification will be inhibited by the high temperature and high free ammonia content in this stage, the DCD was suggested to be applied in the maturing periods by 2.5% of initial nitrogen. (C) 2016 Elsevier Ltd. All rights reserved.	[Jiang, Tao; Ma, Xuguang; Tang, Qiong; Yang, Juan] Leshan Normal Univ, Coll Chem, Leshan 614004, Peoples R China; [Jiang, Tao; Li, Guoxue] China Agr Univ, Coll Resources & Environm Sci, Beijing 100193, Peoples R China; [Schuchardt, Frank] Johann Heinrich von Thuenen Inst, Inst Agr Technol & Biosyst Engn, Bundesallee 50, D-38116 Braunschweig, Germany	Li, GX (reprint author), China Agr Univ, Coll Resources & Environm Sci, Beijing 100193, Peoples R China.	composting@163.com						31	5	5	15	41	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0960-8524	1873-2976		BIORESOURCE TECHNOL	Bioresour. Technol.	OCT	2016	217				SI		210	218		10.1016/j.biortech.2016.01.089		9	Agricultural Engineering; Biotechnology & Applied Microbiology; Energy & Fuels	Agriculture; Biotechnology & Applied Microbiology; Energy & Fuels	DR9OP	WOS:000380226300030	26865057	
J	Jiang, T; Ma, XG; Yang, J; Tang, Q; Yi, ZG; Chen, MX; Li, GX				Jiang, Tao; Ma, Xuguang; Yang, Juan; Tang, Qiong; Yi, Zhigang; Chen, Maoxia; Li, Guoxue			Effect of different struvite crystallization methods on gaseous emission and the comprehensive comparison during the composting	BIORESOURCE TECHNOLOGY			English	Article; Proceedings Paper	International conference on Solid Waste - Knowledge Transfer for Sustainable Resource Management (ICSWHK)	MAY 19-23, 2015	Hong Kong, PEOPLES R CHINA			Composting; Struvite; Ammonia; Nitrous oxide; Methane	GREENHOUSE-GAS EMISSION; AMMONIA VOLATILIZATION; MOISTURE-CONTENT; NITROUS-OXIDE; CH4 EMISSIONS; AERATION RATE; SWINE MANURE; WASTE-WATER; PIG MANURE; FOOD WASTE	This study compared 4 different struvite crystallization process (SCP) during the composting of pig feces. Four combinations of magnesium and phosphate salts (H3PO4 + MgO (PMO), KH2PO4 + MgSO4 (KPM), Ca (H2PO4)(2) + MgSO4 (CaPM), H3PO4 + MgSO4 (PMS)) were assessed and were also compared to a control group (CK) without additives. The magnesium and phosphate salts were all supplemented at a level equivalent to 15% of the initial nitrogen content on a molar basis. The SCP significantly reduced NH3 emission by 50.7-81.8%, but not the N2O. Although PMS group had the lowest NH3 emission rate, the PMO treatment had the highest struvite content in the end product. The addition of sulphate decreased CH4 emission by 60.8-74.6%. The CaPM treatment significantly decreased NH3 (59.2%) and CH4 (64.9%) emission and yielded compost that was completely matured. Due to its effective performance and low cost, the CaPM was suggested to be used in practice. (C) 2016 Elsevier Ltd. All rights reserved.	[Jiang, Tao; Ma, Xuguang; Yang, Juan; Tang, Qiong; Yi, Zhigang; Chen, Maoxia] Leshan Normal Univ, Coll Chem, Leshan 614004, Peoples R China; [Jiang, Tao; Li, Guoxue] China Agr Univ, Coll Resources & Environm Sci, Beijing 100193, Peoples R China	Li, GX (reprint author), China Agr Univ, Coll Resources & Environm Sci, Beijing 100193, Peoples R China.	composting@163.com						32	0	0	11	24	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0960-8524	1873-2976		BIORESOURCE TECHNOL	Bioresour. Technol.	OCT	2016	217				SI		219	226		10.1016/j.biortech.2016.02.046		8	Agricultural Engineering; Biotechnology & Applied Microbiology; Energy & Fuels	Agriculture; Biotechnology & Applied Microbiology; Energy & Fuels	DR9OP	WOS:000380226300031	26927235	
J	Sun, F; Qu, XB; Wang, XP				Sun, Feng; Qu, Xiao-bing; Wang, Xue-ping			A note on "Semi-uninorms and implications on a complete lattice"	FUZZY SETS AND SYSTEMS			English	Article						Semi-uninorms; Implications; Complete lattices		This note shows a counterexample to Theorem 3.2 in Liu (2012) [3] concerning implications generated from semi-uninorms over a complete lattice, and gives the corresponding corrections. (C) 2015 Elsevier B.V. All rights reserved.	[Sun, Feng; Qu, Xiao-bing] Leshan Normal Univ, Coll Math & Informat Sci, Leshan 614004, Sichuan, Peoples R China; [Sun, Feng; Wang, Xue-ping] Sichuan Normal Univ, Coll Math & Software Sci, Chengdu 610066, Sichuan, Peoples R China	Sun, F (reprint author), Leshan Normal Univ, Coll Math & Informat Sci, Leshan 614004, Sichuan, Peoples R China.	sunfeng1005@163.com			National Natural Science Foundation of China [11171242, 61573240]; Scientific Research Fund of Sichuan Provincial Education Department [16ZB0297]	This work was supported by National Natural Science Foundation of China (Nos. 11171242 and 61573240) and Scientific Research Fund of Sichuan Provincial Education Department (No. 16ZB0297).		3	0	0	3	3	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0165-0114	1872-6801		FUZZY SET SYST	Fuzzy Sets Syst.	SEP 15	2016	299						151	153		10.1016/j.fss.2015.10.011		3	Computer Science, Theory & Methods; Mathematics, Applied; Statistics & Probability	Computer Science; Mathematics	DO7OI	WOS:000377971500012		
J	He, YJ; Mo, Q; Luo, B; Qiao, Y; Xu, RG; Zuo, ZC; Deng, JL; Nong, X; Peng, GN; He, W; Wei, YH; Hu, YC				He, Yajun; Mo, Quan; Luo, Biao; Qiao, Yan; Xu, Ruiguang; Zuo, Zhicai; Deng, Junliang; Nong, Xiang; Peng, Guangneng; He, Wei; Wei, Yahui; Hu, Yanchun			Induction of apoptosis and autophagy via mitochondria- and PI3K/Akt/mTOR-mediated pathways by E. adenophorum in hepatocytes of saanen goat	ONCOTARGET			English	Article						E. adenophorum; apoptosis; autophagy; mitochondrial and PI3K/Akt/mTOR pathway; hepatocytes	EUPATORIUM-ADENOPHORUM; AGERATINA-ADENOPHORA; CANCER-THERAPY; HEPATOTOXICITY; GROWTH; 9-OXO-10,11-DEHYDROAGERAPHORONE; SARCOPTES; CADINENE; EFFICACY; RABBITS	E. adenophorum has reported to cause hepatotoxicity. But, the precise effects of E. adenophorum on hepatocytes is unclear. Saanen goats were fed on E. adenophorum to detect the cytotoxicity effects of E. adenophorum on hepatocytes. Our study has shown that the typical apoptotic features, the increasing apoptotic hepatocytes and activated caspase-9, -3 and the subsequent cleavage of PARP indicated the potent pro-apoptotic effects of E. adenophorum. Moreover, the translocation of Bax and Cyt c between mitochondria and cytosol triggering the forming of apoptosome proved that the mitochondria-mediated apoptosis was triggered by E. adenophorum. Furthermore, E. adenophorum increased the MDC-positive autophagic vacuoles and the subcellular localization of punctate LC3, the ratio of LC3-II/LC3-I and the protein levels of Beclin 1, but decreased that of P62, indicating the potent pro-autophagic effects of E. adenophorum. In addition, E. adenophorum significantly inhibited the protein leves of p-PI3K, p-Akt and p-mTORC1, but increased PTEN and p-AMPK. Also, the p-mTORC2 and p-Akt Ser473 were inhibited, indicating that the supression of mTORC2/Akt pathway could induce the autophagy of hepatocytes. The autophagy-realted results indicated that the inhibition of PI3K/Akt/mTORC1- and mTORC2/Akt-mediated pathways contributed to the pro-autophagic activity of E. adenophorum. These findings provide new insights to understand the mechanisms involved in E. adenophorum-caused hepatotoxicity of Saanen goat.	[He, Yajun; Mo, Quan; Luo, Biao; Qiao, Yan; Xu, Ruiguang; Zuo, Zhicai; Deng, Junliang; Peng, Guangneng; Hu, Yanchun] Sichuan Agr Univ, Coll Vet Med, Key Lab Anim Dis & Human Hlth Sichuan Prov, Wenjiang 611130, Sichuan Provinc, Peoples R China; [Nong, Xiang] Leshan Normal Univ, Coll Life Sci, Leshan 614000, Peoples R China; [He, Wei; Wei, Yahui] Northwest Univ, Sch Life Sci, Key Lab Resource Biol & Biotechnol Western China, Xian 710069, Peoples R China	Hu, YC (reprint author), Sichuan Agr Univ, Coll Vet Med, Key Lab Anim Dis & Human Hlth Sichuan Prov, Wenjiang 611130, Sichuan Provinc, Peoples R China.; Wei, YH (reprint author), Northwest Univ, Sch Life Sci, Key Lab Resource Biol & Biotechnol Western China, Xian 710069, Peoples R China.	weiyahui@nwu.edu.cn; hychun114@163.com			Science and Technology Support Program of Sichuan Province [2015SZ0201]; Special Fund for Agroscientific Research in the Public Interest [201203062]; Changjiang Scholars and the Innovative Research Team in University [IRT0848]	This research was supported by Science and Technology Support Program of Sichuan Province (Grant No. 2015SZ0201), Special Fund for Agroscientific Research in the Public Interest (Grant No. 201203062) and Changjiang Scholars and the Innovative Research Team in University (Grant No. IRT0848).		48	0	0	8	8	IMPACT JOURNALS LLC	ALBANY	6211 TIPTON HOUSE, STE 6, ALBANY, NY 12203 USA	1949-2553			ONCOTARGET	Oncotarget	AUG 23	2016	7	34					54537	54548		10.18632/oncotarget.10402		12	Oncology; Cell Biology	Oncology; Cell Biology	DY9DY	WOS:000385435000036	27391155	
