PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Yin, P; Liu, N; Deng, YX; Chen, Y; Deng, Y; He, L				Yin, Ping; Liu, Nan; Deng, Yu-Xing; Chen, Yue; Deng, Yong; He, Ling			Synthesis of 2,4-Diaminoquinazolines and Tricyclic Quinazolines by Cascade Reductive Cyclization of Methyl N-Cyano-2-nitrobenzimidates	JOURNAL OF ORGANIC CHEMISTRY			English	Article							SOLID-PHASE SYNTHESIS; ENANTIOSELECTIVE TOTAL-SYNTHESIS; SPINAL MUSCULAR-ATROPHY; ONE-POT SYNTHESIS; DIHYDROFOLATE-REDUCTASE; BIOLOGICAL EVALUATION; PNEUMOCYSTIS-CARINII; DERIVATIVES; INHIBITORS; DESIGN	An efficient route to N-4-substituted 2,4-diaminoquinazolines has been developed by employing tandem condensation of cyanoimidate-amine and reductive cyclization in iron-HCl system. This method is tolerant of a following intramolecular N-alkylation and produces two fused heterocycles in a one-pot procedure. This protocol is a facile two-step synthesis of tricyclic quinazolines, which is effected by potent cyanoimidation and tandem reductive cyclization from 2-nitrobenzaldehydes. Moreover, the forming process of tricyclic quinazolines has been investigated from the ring-opening/ring-closing cascade point of view. It is found that the preparation of tricyclic quinazolinones in good yields relies on the selective hydrolysis of tricyclic quinazolines in base or acid system.	[Yin, Ping; Liu, Nan; Deng, Yu-Xing; Deng, Yong; He, Ling] Sichuan Univ, W China Sch Pharm, Dept Med Chem, Key Lab Drug Targeting & Drug Delivery Syst,Minis, Chengdu 610041, Sichuan, Peoples R China; [Chen, Yue] Luzhou Med Coll, Affiliated Hosp, Dept Nucl Med, Luzhou 646000, Sichuan, Peoples R China	He, L (reprint author), Sichuan Univ, W China Sch Pharm, Dept Med Chem, Key Lab Drug Targeting & Drug Delivery Syst,Minis, Chengdu 610041, Sichuan, Peoples R China.	dengyongy@sohu.com; lhe2001@sina.com	yin, ping/I-7089-2013; Yin, Ping/A-3699-2014	yin, ping/0000-0001-8458-6261; Yin, Ping/0000-0002-2870-8225	National Science Foundation of China [21072131]	This work was financially supported by the National Science Foundation of China (No. 21072131).		57	10	10	2	18	AMER CHEMICAL SOC	WASHINGTON	1155 16TH ST, NW, WASHINGTON, DC 20036 USA	0022-3263			J ORG CHEM	J. Org. Chem.	MAR 16	2012	77	6					2649	2658		10.1021/jo2023697		10	Chemistry, Organic	Chemistry	908TT	WOS:000301516100007	22283399	
J	Liu, H; Liu, L; Liu, ZY; Li, Q; You, C; Xu, JG				Liu, Hao; Liu, Liang; Liu, Zhiyong; Li, Qiang; You, Chao; Xu, Jianguo			Establishment of primary cultures of craniopharyngioma cells	NEURAL REGENERATION RESEARCH			English	Article						craniopharyngioma; cytokeratin-7; primary culture; culture in vitro; cell line		Craniopharynigoma samples were collected from 36 patients. Out of the 36 samples, 29 achieved successful sub-culturing, with a success rate of 80.6%. Immunohistochemistry staining showed that cytokeratin-7 was positively expressed in the cytomembrane and cytoplasm of craniopharyngioma cells at 6-8 passages, confirming that all cultured cells were squamous epithelial cells. The doubling time of craniopharyngioma cells was 3 days, as confirmed by the 3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide assay. In this study, craniopharyngioma cells cultured in vitro were established; however, establishment of immortalized craniopharyngioma cell lines requires further research.	[Liu, Hao; Liu, Zhiyong; Li, Qiang; You, Chao; Xu, Jianguo] Sichuan Univ, W China Hosp, Dept Neurosurg, Chengdu 610041, Sichuan Provinc, Peoples R China; [Liu, Liang] Luzhou Med Coll, Affiliated Hosp, Dept Neurosurg, Luzhou 646000, Sichuan Provinc, Peoples R China	Xu, JG (reprint author), Sichuan Univ, W China Hosp, Dept Neurosurg, Chengdu 610041, Sichuan Provinc, Peoples R China.	Jianguo_1229@sina.com			National Natural Science Foundation of China [30872646, 30973082]	This work was supported by the National Natural Science Foundation of China, No. 30872646 and 30973082.		16	1	3	2	2	SHENYANG EDITORIAL DEPT NEURAL REGENERATION RES	SHENYANG	PO BOX 1234, SHENYANG, LIAONING 110004, PEOPLES R CHINA	1673-5374			NEURAL REGEN RES	Neural Regen. Res.	MAR 15	2012	7	8					601	605		10.3969/j.issn.1673-5374.2012.08.007		5	Cell Biology; Neurosciences	Cell Biology; Neurosciences & Neurology	939AZ	WOS:000303777800007	25745451	
J	Cao, ZS; Chen, YJ; Chen, YX; Zhao, Q; Xu, XM; Chen, YX				Cao, Zhensheng; Chen, Yijia; Chen, Yuxue; Zhao, Qing; Xu, Xiaomei; Chen, Yangxi			Electromagnetic irradiation may be a new approach to therapy for peri-implantitis	MEDICAL HYPOTHESES			English	Article							STIMULATION; FREQUENCY; RADIATION	Peri-implantitis can lead to bone destruction around a dental implant through inflammation and immune reactions caused by bacteria adhering to the surface of the implant abutment. Electromagnetic irradiation can inhibit bacterial growth, increase bone formation, decrease bone resorption and reduce the inflammatory response. Our hypothesis is that electromagnetic irradiation may be a new treatment approach for peri-implantitis and may simultaneously maintain bone mass around the dental implant. The results would be more significant when combined with other agents, because the effect of some antibiotics and anti-inflammatory drugs is strengthened by electromagnetic irradiation. This non-invasive therapy is expected to be conducted in a convenient manner, and even by patients at home, thereby facilitating the prevention and treatment of peri-implantitis. (C) 2011 Elsevier Ltd. All rights reserved.	[Cao, Zhensheng; Chen, Yijia; Chen, Yuxue; Zhao, Qing; Chen, Yangxi] Sichuan Univ, State Key Lab Oral Dis, W China Hosp Stomatol, Dept Orthodont, Chengdu 610041, Sichuan, Peoples R China; [Xu, Xiaomei] Luzhou Med Coll, Stomatol Hosp, Dept Orthodont, Luzhou 646000, Sichuan, Peoples R China	Chen, YX (reprint author), Sichuan Univ, State Key Lab Oral Dis, W China Hosp Stomatol, Dept Orthodont, Chengdu 610041, Sichuan, Peoples R China.	hxchenyangxi@hotmail.com; hxchenyangxi@hotmail.com			National Nature Science Foundation of China [308013161/c170804, 30801206/c161201]	This study is supported in part by the National Nature Science Foundation of China (Grant Nos. 308013161/c170804 and 30801206/c161201), and we wish to express our sincere gratitude to Dr. Gerald Voliere for his encouragement and critical reading of the manuscript.		13	2	3	0	4	CHURCHILL LIVINGSTONE	EDINBURGH	JOURNAL PRODUCTION DEPT, ROBERT STEVENSON HOUSE, 1-3 BAXTERS PLACE, LEITH WALK, EDINBURGH EH1 3AF, MIDLOTHIAN, SCOTLAND	0306-9877			MED HYPOTHESES	Med. Hypotheses	MAR	2012	78	3					370	372		10.1016/j.mehy.2011.12.004		3	Medicine, Research & Experimental	Research & Experimental Medicine	904TW	WOS:000301221800005	22249156	
J	Wang, MH; Ji, P; Wang, RR; Zhao, LF; Xia, ZY				Wang, Maohua; Ji, Peng; Wang, Rurong; Zhao, Lifang; Xia, Zhengyuan			TRPV1 Agonist Capsaicin Attenuates Lung Ischemia-Reperfusion Injury in Rabbits	JOURNAL OF SURGICAL RESEARCH			English	Article						capsaicin; lung; ischemia-reperfusion; TRPV1	GENE-RELATED PEPTIDE; SENSORY NEURONS; OXIDATIVE STRESS; RENAL INJURY; RATS; CAPSAZEPINE; ACTIVATION; AFFERENT; MICE; INTERLEUKIN-8	Background. Capsaicin, a transient receptor potential vanilloid type1 (TRPV1) agonist, was found to protect against myocardial and renal ischemiareperfusion (IR) injury. This studywas carried out to investigate the role of capsaicin in lung IR injury in vivo. Methods. Forty male New Zealand rabbits were randomized into four groups (10 per group) as follows: sham group (sham thoracotomy), IR group (occlusion of the left pulmonary hilus for 1 h followed by reperfusion for 3 h), CAP(capsaicin) group (a bolus injection of CAP 5 min before ischemia), CPZ (capsazepine) group (a bolus injection of the TRPV1 antagonist CPZ 5 min before ischemia). Blood and lung tissue samples were obtained for blood gas and biochemical analyses, wet/dry weight ratio measurements, and histologic evaluation. Protein levels and neutrophils in the bronchoalveolar lavage fluid (BALF) were also measured. Results. Pretreatment with capsaicin improved gas exchange function, decreased lung wet/dry ratio and protein levels and neutrophil counts in BALF, decreased lung malondialdehyde levels and myeloperoxidase activities, increased superoxide dismutase activities, along with an elevation of calcitonin generelated peptide (CGRP) level (P < 0.05 versus IR group). Capsaicin also attenuated IR-induced pathological lesions. By contrast, capsazepine exacerbated gas exchange abnormality, increased pulmonary microvascular permeability, oxidative stress, neutrophils infiltration, and also revealed a decreased CGRP level (P< 0.05 versus IR group). Conclusion. Results from the present study show that capsaicin confers protection against lung IR injury. These protective effects seem to be closely related to the inhibition of inflammation and oxidative stress via the activation of TRPV1 and the release of CGRP. (C) 2012 Elsevier Inc. All rights reserved.	[Wang, Maohua; Ji, Peng; Wang, Rurong; Zhao, Lifang] Sichuan Univ, W China Hosp, Dept Anesthesiol, Chengdu 610064, Sichuan, Peoples R China; [Wang, Maohua; Ji, Peng; Wang, Rurong; Zhao, Lifang] Sichuan Univ, W China Hosp, Lab Anesthesia & Intens Care Med, Chengdu 610064, Sichuan, Peoples R China; [Wang, Maohua] Luzhou Med Coll, Affiliated Hosp, Dept Anesthesiol, Luzhou, Peoples R China; [Xia, Zhengyuan] Univ Hong Kong, Dept Anesthesiol, Hong Kong, Hong Kong, Peoples R China; [Xia, Zhengyuan] Univ Hong Kong, Res Ctr Heart Brain Hormone & Hlth Aging, Hong Kong, Hong Kong, Peoples R China	Wang, RR (reprint author), Sichuan Univ, W China Hosp, Dept Anesthesiol, 37 Wai Nan Guo Xue Xiang, Chengdu 610064, Sichuan, Peoples R China.	scu.wang@yahoo.com			National Natural Science Foundation of China [30672260, 81170077]	The author thanks Nanfu Luo, Daqing Liao, and Chaoran Wu for their technical support. This work was supported by National Natural Science Foundation of China (30672260 and 81170077).		36	16	21	1	8	ACADEMIC PRESS INC ELSEVIER SCIENCE	SAN DIEGO	525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA	0022-4804			J SURG RES	J. Surg. Res.	MAR	2012	173	1					153	160		10.1016/j.jss.2010.08.053		8	Surgery	Surgery	897AH	WOS:000300612500030	20950828	
J	Liu, YP; Liu, P; Dai, RY; Wang, J; Zheng, YB; Shen, JY; Guo, FH; Wang, LQ; Li, H; Wei, M				Liu, Youping; Liu, Peng; Dai, Rongyang; Wang, Jing; Zheng, Yibin; Shen, Jiyang; Guo, Fanghong; Wang, Leiqiong; Li, Hong; Wei, Mei			Analysis of plasma proteome from cases of the different traditional Chinese medicine syndromes in patients with chronic hepatitis B	JOURNAL OF PHARMACEUTICAL AND BIOMEDICAL ANALYSIS			English	Article						Plasma proteome; Traditional Chinese medical syndromes; Chronic hepatitis B	C-REACTIVE PROTEIN; MASS-SPECTROMETRY; LIVER-DISEASES; ELECTROPHORESIS; HAPTOGLOBIN	A proteomic analysis method, two dimensional gel electrophoresis (2-DE) followed by matrix-assisted laser desorption/ionization time-of-flight MS (MALDI-TOF-MS), was used to explore the link between plasma proteome and the different syndromes of traditional Chinese medicine (TCM) in patients with chronic hepatitis B (CHB). In compared with the plasma proteomes from health donors, the alterations in protein expression from cases of the five TCM syndromes, including damp heat stasis in the middle-Jiao syndrome, liver Qi stagnation and spleen deficiency syndrome, spleen and kidney Yang deficiency syndrome, liver and kidney Yin deficiency syndrome, and blood stasis into collateral syndrome with CHB were identified (P < 0.05). In the cases of the five TCM syndromes with CHB, immunoglobulin J-chains (IGJ) and C-reactive protein (CRP) were up-regulated, while haptoglobin (HPT), retinal binding protein (RBP) and vitronectin were down-regulated. To further confirm these results, four proteins, including CRP, IGJ, HPT and RBP, from more plasma samples were quantified by ELISA. The results showed that the changes of protein levels were consistent with those from the 2-DE experiment. Importantly, the upregulation tendency of IGJ level in plasma is related with the differentTCM syndromes with CHB (P < 0.05). Our results show that IGJ may serve as a novel potential biomarker for diagnosis of the different TCM syndromes in patients with CHB. (C) 2011 Elsevier B.V. All rights reserved.	[Liu, Youping; Dai, Rongyang; Li, Hong] Luzhou Med Coll, Dept Biochem, Luzhou 646000, Peoples R China; [Liu, Peng; Wang, Jing; Wei, Mei] Luzhou Med Coll, Hosp TCM, Dept Liver Dis, Luzhou 646000, Peoples R China; [Zheng, Yibin; Shen, Jiyang; Guo, Fanghong; Wang, Leiqiong; Wei, Mei] Luzhou Med Coll, Dept Integrated Tradit & Western Med, Luzhou 646000, Peoples R China	Li, H (reprint author), Luzhou Med Coll, Dept Biochem, Luzhou 646000, Peoples R China.	lyp2507622@163.com; liupeng6789@sina.com; dry19751202@sina.com; lywj68@126.com; zybexecutive@163.com; gwyc0903@sina.com; fangfangdee@163.com; wlq0188@163.com; lihong7188@163.com; weimei62@126.com			Sichuan Administration of Traditional Chinese Medicine, PR China [2007XS29]; Scientific Research Foundation of the Education Department of Sichuan Province, PR China [2006C085]	This work was supported by a grant from Sichuan Administration of Traditional Chinese Medicine, PR China, grant number 2007XS29 and by a grant from the Scientific Research Foundation of the Education Department of Sichuan Province, PR China, grant number 2006C085.		30	14	14	3	11	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0731-7085			J PHARMACEUT BIOMED	J. Pharm. Biomed. Anal.	FEB 5	2012	59						173	178		10.1016/j.jpba.2011.10.002		6	Chemistry, Analytical; Pharmacology & Pharmacy	Chemistry; Pharmacology & Pharmacy	857KD	WOS:000297716500024	22030074	
J	Chen, YJ; Xu, XM; Tan, Z; Ye, C; Zhao, Q; Chen, YX				Chen, Yijia; Xu, Xiaomei; Tan, Zhen; Ye, Cui; Zhao, Qing; Chen, Yangxi			Age-related BMAL1 change affects mouse bone marrow stromal cell proliferation and osteo-differentiation potential	ARCHIVES OF MEDICAL SCIENCE			English	Article						brain and muscle ARNT-like 1 protein; bone marrow stromal cells; aging; differentiation; proliferation	MESENCHYMAL STEM-CELLS; CIRCADIAN CLOCK; MOLECULAR CLOCK; IN-VITRO; COMPONENT; EXPRESSION; REGULATOR; MURINE; ALPHA; OSTEOBLASTOGENESIS	Introduction: Aging people's bone regeneration potential is always impaired. Bone marrow stromal cells (MSCs) contain progenitors of osteoblasts. Donor age may affect MSCs' proliferation and differentiation potential, but the genomic base is still unknown. Due to recent research's indication that a core circadian component, brain and muscle ARNT-like 1 protein (BMAL1), has a role in premature aging, we investigated the normal aging mechanism in mice with their MSCs and Bmal1 gene/protein level. Material and methods: 1, 6 and 16 month old C57BL/6 mice were used and the bone marrow stromal cells were gained and cultured at early passage. Bmal1 gene and protein level were detected in these cells. Marrow stromal cells were also induced to differentiate to osteoblasts or adipocytes. Three groups of mice MSCs were compared on proliferation by flow cytometry, on cell senescence by SA-beta-gal expression and after osteo-induction on osteogenic potential by the expression of osterix (Osx), alkaline phosphatase (ALP) and osteocalcin (OCN). Results: Bmal1 gene and protein level as well as S-phase fraction of the cell cycle decreased in MSCs along with the aging process. At the same time, SA-beta-gal+ levels increased, especially in the aged mice MSCs. When induced to be osteogenic, Osx gene expression and ALP activity declined in the mid-age and aged mice MSCs, while OCN protein secretion deteriorated in the aged mice MSCs. Conclusions: These findings demonstrate that mouse MSCs changed with their proliferation and osteo-differentiation abilities at different aging stages, and that Bmal1 is related to the normal aging process in MSCs.	[Chen, Yijia; Ye, Cui; Zhao, Qing; Chen, Yangxi] Sichuan Univ, Orthodont Ctr, W China Coll Stomatol, Chengdu 610064, Peoples R China; [Chen, Yijia; Tan, Zhen; Ye, Cui; Zhao, Qing; Chen, Yangxi] Sichuan Univ, State Key Lab Oral Dis, Chengdu 610064, Peoples R China; [Xu, Xiaomei] Luzhou Med Coll, Stomatol Hosp, Dept Orthodont, Luzhou, Peoples R China; [Tan, Zhen] Sichuan Univ, Oral Implant Ctr, W China Coll Stomatol, Chengdu 610064, Peoples R China	Zhao, Q (reprint author), 14,Sect 3,Renmin Nan Rd, Chengdu 610041, Sichuan, Peoples R China.	fanfan.qing@gmail.com			National Natural Science Foundation of China [30801206]	This work was supported by a grant from the National Natural Science Foundation of China (No. 30801206).		38	12	14	1	8	TERMEDIA PUBLISHING HOUSE LTD	POZNAN	WENEDOW ST 9-1, POZNAN, 61-614, POLAND	1734-1922			ARCH MED SCI	Arch. Med. Sci.	FEB	2012	8	1					30	38		10.5114/aoms.2012.27277		9	Medicine, General & Internal	General & Internal Medicine	909HC	WOS:000301553600008	22457671	
J	Yuan, YF; Hu, XY; He, Y; Deng, JG				Yuan, Ye-fei; Hu, Xiang-yu; He, Ying; Deng, Jia-gang			Synthesis and Anti-tumor Activity Evaluation of Rhein-Aloe Emodin Hybrid Molecule	NATURAL PRODUCT COMMUNICATIONS			English	Article						Rhein; Aloe-emodin; Rhein-aloe emodin hybrid molecule	SQUAMOUS-CELL CARCINOMA; MECHANISMS; APOPTOSIS; DEATH	To improve the anti-tumor effects of rhein and aloe-emodin, a rhein-aloe-emodin hybrid molecule (RH-AE) was synthesized from rhein and aloe-emodin in the presence of dicyclohexylcarbodiimide (DCC) and 4-dimethylaminopyridine (DMAP). Chemical and spectroscopic methods, such as H-1 and C-13 NMR spectroscopy, and HR-ESIMS were used for the structure identification of RH-AE. Using the cell counting kit-8 (CCK-8) assay, the in vitro anti-tumor effects were compared between RH-AE, rhein and aloe-emodin on human hepatoma HepG2, human nasopharyngeal carcinoma CNE, human lung cancer NCI-H460, human ovarian cancer SK-OV-3, and human cervical cancer Hela cells. The results showed that the half inhibitory concentration (IC50) of RH-AE on HepG2, CNE, NCI-H460, SK-OV-3, and Hela cells were significantly lower than those of rhein and aloe-emodin. This showed that RH-AE has a better in vitro anti-tumor effect than rhein and aloe-emodin.	[Yuan, Ye-fei] Guangxi Med Univ, Nanning 530021, Guangxi, Peoples R China; [Yuan, Ye-fei; Hu, Xiang-yu; He, Ying] Luzhou Med Coll, Luzhou 646000, Sichuan, Peoples R China; [Yuan, Ye-fei] Guangxi Boise Natl Agr Sci Tech Zone, Baise 533612, Guangxi, Peoples R China; [Deng, Jia-gang] Guangxi Tradit Chinese Med Univ, Nanning 530001, Guangxi, Peoples R China	Yuan, YF (reprint author), Guangxi Med Univ, Nanning 530021, Guangxi, Peoples R China.	yuan_yefei@126.com; dengjg@tom.com			Luzhou Medical College	We thank Luzhou Medical College for financial support.		9	5	5	0	6	NATURAL PRODUCTS INC	WESTERVILLE	7963 ANDERSON PARK LN, WESTERVILLE, OH 43081 USA	1934-578X			NAT PROD COMMUN	Nat. Prod. Commun.	FEB	2012	7	2					207	210				4	Chemistry, Medicinal; Food Science & Technology	Pharmacology & Pharmacy; Food Science & Technology	899LO	WOS:000300817600023	22474959	
J	Ma, XT; Tang, Y; Lv, Y; Cheng, OM; Yan, Y				Ma, Xuntai; Tang, Yong; Lv, Yang; Cheng, Oumei; Yan, Yong			A quantitative study on changes of the myelinated fibers in the cerebral cortex of cortical dysplasia rats	NEURAL REGENERATION RESEARCH			English	Article						cortical dysplasia; heterotopic nodules; white matter; myelinated fibers; medullary sheath; stereology	EPILEPSY; MALFORMATIONS	An animal model of cortical dysplasia was established through X-ray irradiation induced subcortical heterotopic nodules in rats. Transmission electron microscopy detection of the ultrastructure and the stereology examination showed that there was a significant decrease in cerebral white matter and hippocampal volume, the total volume, volume density, length density and total length of the myelinated fibers in the white matter of cortical dysplasia rats. Subcortical heterotopic nodules of the hippocampal CA1 region and synaptic number density in the CA3 region were reduced compared with normal rats. Our experimental findings indicate that erosed subcortical heterotopic nodules, decreased total length of myelinated nerve fibers and demyelination directly lead to a reduction of white matter volume.	[Ma, Xuntai] Luzhou Med Coll, Affiliated Hosp, Dept Neurol, Luzhou 646000, Sichuan Provinc, Peoples R China; [Tang, Yong] Chongqing Med Univ, Inst Basic Med Sci, Dept Histol & Embryol, Chongqing 400016, Peoples R China; [Tang, Yong; Cheng, Oumei; Yan, Yong] Chongqing Med Univ, Affiliated Hosp 1, Dept Neurol, Chongqing 400016, Peoples R China; [Lv, Yang] Chongqing Med Univ, Dept Geriatr, Affiliated Hosp 1, Chongqing 400016, Peoples R China	Ma, XT (reprint author), Luzhou Med Coll, Affiliated Hosp, Dept Neurol, Luzhou 646000, Sichuan Provinc, Peoples R China.	maxuntai2002@126.com			Talent Foundation of the Affiliated Hospital of Luzhou Medical College [09057]; Youth Researcher Foundation of Luzhou Medical College [09013]; Education Department of Sichuan Province [09ZA046]; Scientific Research Foundation of the Health Department of Sichuan Province [090231]; Science and Technology Bureau of Luzhou [(2009)1]	This study was supported by Talent Foundation of the Affiliated Hospital of Luzhou Medical College, No. 09057; Youth Researcher Foundation of Luzhou Medical College, No. 09013; Key Program of the Education Department of Sichuan Province, No. 09ZA046; Scientific Research Foundation of the Health Department of Sichuan Province, No. 090231; a grant from Science and Technology Bureau of Luzhou, No. (2009)1.		14	0	0	1	1	SHENYANG EDITORIAL DEPT NEURAL REGENERATION RES	SHENYANG	PO BOX 1234, SHENYANG, LIAONING 110004, PEOPLES R CHINA	1673-5374			NEURAL REGEN RES	Neural Regen. Res.	FEB	2012	7	4					268	272		10.3969/j.issn.1673-5374.2012.04.005		5	Cell Biology; Neurosciences	Cell Biology; Neurosciences & Neurology	907EW	WOS:000301401600005	25806067	
J	Yang, LL; Wang, BQ; Chen, LL; Luo, HQ; Wu, JB				Yang, Ling-Lin; Wang, Bi-Qiong; Chen, Lan-Lan; Luo, Hui-Qun; Wu, Jing-Bo			CXCL10 enhances radiotherapy effects in HeLa cells through cell cycle redistribution	ONCOLOGY LETTERS			English	Article						CXC chemokine ligand 10; radiotherapy; gene therapy; cervical cancer; cell cycle	CERVICAL-CANCER; PREVENTION; CHEMOKINES; EXPRESSION; APOPTOSIS	Radiotherapy is a crucial treatment for cervical cancer, the second most common type of cancer in women worldwide. In this study, we investigated the effects of CXC chemokine ligand 10 (CXCL10) gene therapy combined with radiotherapy on cervical cancer using He La cells. TUNEL assay revealed that the apoptotic rate in the combined treatment of CXCL10 gene therapy and radiotherapy was greatly increased compared with that of CXCL10 or radiotherapy alone. Flow cytometry showed that CXCL10 overexpression in He La cells resulted in a prolonged G1 phase and shortened S phase at 72 h post-transfection. Western blot analysis revealed that p27(Kipl) was up-regulated in CXCL10-treated He La cells; however, cyclin E was down-regulated. These results indicate that the combination of CXCL10 gene therapy and radiotherapy is an effective strategy for the growth suppression of He La cells, and that CXCL10 enhances the radiotherapy effects through cell cycle redistribution. Our data provide new insight into the treatment of cervical carcinoma, involving an effective combination of gene therapy and radiotherapy against tumors.	[Wu, Jing-Bo] Luzhou Med Coll, Affiliated Hosp, Dept Oncol, Luzhou 646000, Sichuan, Peoples R China	Wu, JB (reprint author), Luzhou Med Coll, Affiliated Hosp, Dept Oncol, Luzhou 646000, Sichuan, Peoples R China.	wjb6147@163.com						21	4	4	0	0	SPANDIDOS PUBL LTD	ATHENS	POB 18179, ATHENS, 116 10, GREECE	1792-1074			ONCOL LETT	Oncol. Lett.	FEB	2012	3	2					383	386		10.3892/ol.2011.472		4	Oncology	Oncology	880KL	WOS:000299405900027		
J	Luo, YM; Lu, BD; Jiang, YH; Chen, SQ				Luo, Yamei; Lu, Baida; Jiang, Yunhai; Chen, Shuqiong			Composite spectral Stokes singularities in coherent and incoherent superpositions of partially coherent nonparaxial vortex beams	OPTICS AND LASER TECHNOLOGY			English	Article						Composite spectral Stokes singularity; Coherent and incoherent superpositions; Partially coherent nonparaxial vortex beam	POLARIZATION SINGULARITIES; GAUSSIAN BEAMS; PHASE SINGULARITIES; OPTICAL VORTICES; PROPAGATION; POLARIMETRY; FIELDS; WAVES	Taking the partially coherent cosh-Gaussian (ChG) vortex beam as an illustrative example, the composite spectral Stokes singularities formed by coherent and incoherent superpositions of partially coherent vortex beams beyond the paraxial approximation are studied, where the effect of superposition scheme on composite spectral Stokes singularities is stressed. It is shown that there exist s(12) (C-points), s(53) and s(31) composite spectral Stokes singularities, which are variable by varying a control parameter, such as the spatial correlation length, waist width, off-axis distance, or decentered parameter, as well as the propagation distance. In particular, the number, position, degree of polarization of composite spectral Stokes singularities and the critical point at which the creation-annihilation process takes place depend on the superposition scheme. A comparison with the previous work is also made. (C) 2011 Elsevier Ltd. All rights reserved.	[Luo, Yamei; Jiang, Yunhai; Chen, Shuqiong] Luzhou Med Coll, Dept Biomed Engn, Luzhou 646000, Peoples R China; [Lu, Baida] Sichuan Univ, Inst Laser Phys & Chem, Chengdu 610064, Peoples R China	Luo, YM (reprint author), Luzhou Med Coll, Dept Biomed Engn, Luzhou 646000, Peoples R China.	luoluoeryan@126.com; baidalu0@tom.com			National Natural Science Foundation of China (NSFC) [10874125]; Natural Science Foundation of the Education Department of Sichuan Province [10ZB029]	This work was supported by the National Natural Science Foundation of China (NSFC) under Grant no. 10874125 and the Natural Science Foundation of the Education Department of Sichuan Province (Grant no. 10ZB029).		25	1	1	0	7	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0030-3992			OPT LASER TECHNOL	Opt. Laser Technol.	FEB	2012	44	1					226	232		10.1016/j.optlastec.2011.06.023		7	Optics; Physics, Applied	Optics; Physics	825VZ	WOS:000295311500040		
