PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Shao, ZY; Sun, Y; Liu, WX; Zhang, XQ; Jiang, XS				Shao, Zhenyi; Sun, Yue; Liu, Wanxia; Zhang, Xueqiao; Jiang, Xiaosong			Effects of Multi-Phase Reinforcements on Microstructures, Mechanical and Tribological Properties of Cu/Ti3SiC2/C/BN/GNPs Nanocomposites Sintered by Vacuum Hot-Pressing and Hot Isostatic Pressing	METALS			English	Article						Cu/Ti3SiC2/C/BN/GNPs nanocomposites; hot isostatic pressing; microstructure; mechanical properties; wear	GRAPHITE COMPOSITES; COPPER COMPOSITES; WEAR; GRAPHENE; FRICTION; BEHAVIOR; POWDER	Cu/Ti3SiC2/C/BN/GNPs nanocomposites were prepared by vacuum hot-pressing (HP) sintering and hot isostatic pressing (HIP) sintering methods. Microstructures, mechanical and tribological properties of Cu/Ti3SiC2/C/BN/GNPs nanocomposites were investigated. Microstructures were examined by optical microscopy (OM), X-ray diffraction (XRD) and scanning electron microscope (SEM). Mechanical properties were determined by the relative density, micro-Vickers hardness, as well as tensile strength, compressive strength and shear strength. Tribological behavior of the Cu/Ti3SiC2/C/BN/GNPs composite against the GCr15 steel ring was evaluated using an M-2000 wear tester with high tangential sliding velocity. Results demonstrated that BN and graphene nano-platelets (GNPs) have an impact on the microstructures and mechanical properties of Cu/Ti3SiC2/C/BN/GNPs nanocomposites. Based on microstructures, and mechanical and tribological properties of Cu/Ti3SiC2/C/BN/GNP nanocomposites, strengthening, fracture and wear mechanisms for synergistic enhancement by multi-phase reinforcements were analyzed.	[Shao, Zhenyi] Chengdu Technol Univ, Sch Mat Engn, Chengdu 611730, Peoples R China; [Shao, Zhenyi; Sun, Yue; Liu, Wanxia; Zhang, Xueqiao; Jiang, Xiaosong] Southwest Jiaotong Univ, Sch Mat Sci & Engn, Chengdu 610031, Peoples R China	Jiang, XS (reprint author), Southwest Jiaotong Univ, Sch Mat Sci & Engn, Chengdu 610031, Peoples R China.	zysao_10227@163.com; 18380175785@163.com; wanxialiu@126.com; 18482189480@163.com; xsjiang@home.swjtu.edu.cn			National Natural Science Foundation of China [51201143]; Fundamental Research Funds for the Central Universities [2682015CX001]; China Postdoctoral Science Foundation [2015M570794]; Key Laboratory of Infrared Imaging Materials and Detectors, Shanghai Institute of Technical Physics, Chinese Academy of Sciences [IIMDKFJJ-14-04]; Sichuan Science and Technology Support Program [2016FZ0079]	This work was supported by National Natural Science Foundation of China (No. 51201143), Fundamental Research Funds for the Central Universities (No. 2682015CX001), China Postdoctoral Science Foundation (No. 2015M570794), Key Laboratory of Infrared Imaging Materials and Detectors, Shanghai Institute of Technical Physics, Chinese Academy of Sciences (No. IIMDKFJJ-14-04) and Sichuan Science and Technology Support Program (No. 2016FZ0079).		29	0	0	8	8	MDPI AG	BASEL	ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND	2075-4701			METALS-BASEL	Metals	DEC	2016	6	12							324	10.3390/met6120324		14	Materials Science, Multidisciplinary; Metallurgy & Metallurgical Engineering	Materials Science; Metallurgy & Metallurgical Engineering	EJ2LO	WOS:000393041700008		
J	Gao, N; Liang, T; Yuan, Y; Xiao, XC; Zhao, YH; Guo, YZ; Li, ML; Pu, XM				Gao, Nan; Liang, Tao; Yuan, Yuan; Xiao, Xiuchan; Zhao, Yihuan; Guo, Yanzhi; Li, Menglong; Pu, Xuemei			Exploring the mechanism of F282L mutation-caused constitutive activity of GPCR by a computational study	PHYSICAL CHEMISTRY CHEMICAL PHYSICS			English	Article							PROTEIN-COUPLED RECEPTORS; BETA(2) ADRENERGIC-RECEPTOR; MUSCARINIC ACETYLCHOLINE-RECEPTOR; MOLECULAR-DYNAMICS SIMULATION; LUTEINIZING-HORMONE RECEPTOR; 2ND EXTRACELLULAR LOOP; AMBER FORCE-FIELD; BETA(2)-ADRENERGIC RECEPTOR; STRUCTURAL INSIGHTS; CRYSTAL-STRUCTURE	G-protein-coupled receptors (GPCRs) are important drug targets and generally activated by ligands. However, some experiments found that GPCRs also give rise to constitutive activity through some mutations (viz., CAM), which are usually associated with different kinds of diseases. However, the mechanisms of CAMs and their roles in interactions with drug-ligands are unclear in experiments. Herein, we used microsecond molecular dynamics simulations to study the effect of one important F282L mutation on beta 2AR in order to address the questions above. With the aid of principle component and correlation analysis, our results revealed that the F282L mutation could increase the instability of the overall structure, increase the dramatic fluctuations of NPxxY and extracellular loops, and decrease restraint of the helices through weakening interhelical H-bonding and correlations between residues, which could partly contribute to the constitutive activity reported by the experiments. The observations from the protein structure network (PSN) analysis indicate that the mutant exhibits less information flow than the wild beta 2AR and weakens the role of TM5 and TM6 in the signal transmission, but it enhances the impact of TM3 on the orthosteric pathway and TM4 on the allosteric one. In addition, the results from the virtual screening reveal that the mutant prefers to select agonists rather than antagonists, similar to the active state but opposite of the inactive state, further confirming that the F282L mutation advances the activation of beta 2AR. Our observations provide valuable information for understanding the mechanism of the mutation-caused constitutive activity of GPCR and related drug-design.	[Gao, Nan; Liang, Tao; Zhao, Yihuan; Guo, Yanzhi; Li, Menglong; Pu, Xuemei] Sichuan Univ, Fac Chem, Chengdu 610064, Sichuan, Peoples R China; [Yuan, Yuan] Southwest Univ Nationalities, Coll Management, Chengdu 610041, Peoples R China; [Xiao, Xiuchan] Chengdu Technol Univ, Dept Architecture & Environm Engn, Chengdu 611730, Sichuan, Peoples R China	Pu, XM (reprint author), Sichuan Univ, Fac Chem, Chengdu 610064, Sichuan, Peoples R China.	xmpuscu@scu.edu.cn			National Science Foundation of China [21273154, 21573151]; Sichuan Province Science and Technology Support Program [2015GZ0193]	This project is supported by the National Science Foundation of China (Grant No. 21273154, 21573151) and Sichuan Province Science and Technology Support Program (Grant No. 2015GZ0193).		88	1	1	6	6	ROYAL SOC CHEMISTRY	CAMBRIDGE	THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE CB4 0WF, CAMBS, ENGLAND	1463-9076	1463-9084		PHYS CHEM CHEM PHYS	Phys. Chem. Chem. Phys.	NOV 14	2016	18	42					29412	29422		10.1039/c6cp03710k		11	Chemistry, Physical; Physics, Atomic, Molecular & Chemical	Chemistry; Physics	EB0HI	WOS:000387024300043	27735961	
J	Song, TF; Jiang, XS; Shao, ZY; Mo, DF; Zhu, DG; Zhu, MH				Song, Tingfeng; Jiang, Xiaosong; Shao, Zhenyi; Mo, Defeng; Zhu, Degui; Zhu, Minhao			The Interfacial Microstructure and Mechanical Properties of Diffusion-Bonded Joints of 316L Stainless Steel and the 4J29 Kovar Alloy Using Nickel as an Interlayer	METALS			English	Article						316 stainless steel; 4J29 Kovar alloy; nickel; diffusion bonding	STRENGTH PROPERTIES; DISSIMILAR JOINTS; TITANIUM-ALLOY; TI-6AL-4V	316L stainless steel (Fe-18Cr-11Ni) and a Kovar (Fe-29Ni-17Co or 4J29) alloy were diffusion-bonded via vacuum hot-pressing in a temperature range of 850-950 degrees C with an interval of 50 degrees C for 120 min and at 900 degrees C for 180 and 240 min, under a pressure of 34.66 MPa. Interfacial microstructures of diffusion-bonded joints were characterized by optical microscopy (OM), scanning electron microscopy (SEM), X-ray diffraction (XRD), and energy dispersive spectroscopy (EDS). The inter-diffusion of the elements across the diffusion interface was revealed via electron probe microanalysis (EPMA). The mechanical properties of the joints were investigated via micro Vickers hardness and tensile strength. The results show that an Ni interlayer can serve as an effective diffusion barrier for the bonding of 316L stainless steel and the 4J29 Kovar alloy. The composition of the joints was 316L/Ni s. s (Fe-Cr-Ni)/remnant Ni/Ni s. s (Fe-Co-Ni)/4J29. The highest tensile strength of 504.91 MPa with an elongation of 38.75% was obtained at 900 degrees C for 240 min. After the width of nickel solid solution (Fe-Co-Ni) sufficiently increased, failure located at the 4J29 side and the fracture surface indicated a ductile nature.	[Song, Tingfeng; Jiang, Xiaosong; Shao, Zhenyi; Zhu, Degui; Zhu, Minhao] Southwest Jiaotong Univ, Sch Mat Sci & Engn, Chengdu 610031, Sichuan, Peoples R China; [Shao, Zhenyi] Chengdu Technol Univ, Dept Mat Engn, Chengdu 611730, Sichuan, Peoples R China; [Mo, Defeng] Chinese Acad Sci, Shanghai Inst Tech Phys, Key Lab Infrared Imaging Mat & Detectors, Shanghai 200083, Peoples R China	Jiang, XS (reprint author), Southwest Jiaotong Univ, Sch Mat Sci & Engn, Chengdu 610031, Sichuan, Peoples R China.	tfsong@yeah.net; xsjiang@home.swjtu.edu.cn; zysao_10227@163.com; modefeng@163.com; dgzhu@home.swjtu.edu.cn; zhuminhao@home.swjtu.edu.cn			National Natural Science Foundation of China [51201143]; Fundamental Research Funds for the Central Universities [2682015CX001]; China Postdoctoral Science Foundation [2015M570794]; Key Laboratory of Infrared Imaging Materials and Detectors, Shanghai Institute of Technical Physics, Chinese Academy of Sciences [IIMDKFJJ-14-04]; Sichuan Science and Technology Support Program [2016FZ0079]; R & D Projects Funding from the Research Council of Norway [263875/H30]	This work was supported by National Natural Science Foundation of China (No. 51201143), Fundamental Research Funds for the Central Universities (No. 2682015CX001), the China Postdoctoral Science Foundation (No. 2015M570794), the Key Laboratory of Infrared Imaging Materials and Detectors, Shanghai Institute of Technical Physics, Chinese Academy of Sciences (No. IIMDKFJJ-14-04), the Sichuan Science and Technology Support Program (No. 2016FZ0079), and R & D Projects Funding from the Research Council of Norway (No. 263875/H30).		24	1	1	6	6	MDPI AG	BASEL	ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND	2075-4701			METALS-BASEL	Metals	NOV	2016	6	11							263	10.3390/met6110263		12	Materials Science, Multidisciplinary; Metallurgy & Metallurgical Engineering	Materials Science; Metallurgy & Metallurgical Engineering	EE4UI	WOS:000389600400010		
J	Sun, K; Pu, ZY; Yang, Y; Chen, LL; Yu, Z; Wu, CJ; Jiang, XN; Lan, ZW				Sun, Ke; Pu, Zhiyong; Yang, Yan; Chen, Linglong; Yu, Zhong; Wu, Chuanjian; Jiang, Xiaona; Lan, Zhongwen			Rietveld refinement, microstructure and ferromagnetic resonance linewidth of iron-deficiency NiCuZn ferrites	JOURNAL OF ALLOYS AND COMPOUNDS			English	Article						NiCuZn ferrites; Iron-deficiency; Rietveld refinement; Magnetocrystalline anisotropy constant; Magnetic properties; Ferromagnetic resonance linewidth	MAGNETIC-PROPERTIES; SPINEL FERRITES; GRAIN-GROWTH; TEMPERATURE; NANOPARTICLES; PERMEABILITY; DEVICES; NIZN; ZN	Ni0.56+x/2Zn0.34Cu0.1Fe2.0-xO4-x (x = 0, 0.02, 0.04, 0.06, 0.08, 0.12) ferrites have been prepared by the solid-state reaction method. The Rietveld refinement of X-ray diffraction patterns, microstructure, static magnetic properties and ferromagnetic resonance (FMR) linewidth of NiCuZn ferrites have been analyzed by X-ray diffraction, scanning electron microscopy (SEM), B-H analyzer and electron spin resonance (ESR) spectrometer, respectively. The FMR linewidth was investigated by an approximate calculation based on spin wave approach. The results revealed that all the samples were a single NiCuZn spinel phase. With the increase of iron-deficient amount, the lattice parameter (a) displayed a decreasing trend. However, the bulk density first increased rapidly and then trended to go up slightly. The saturation magnetization of stoichiometric NiCuZn ferrites was much lower than that of iron-deficient samples. This phenomenon is ascribed to the combined effect between molecule magnetic moment and bulk density. The magnetocrystalline anisotropy constant, derived from the law of approach to saturation, has been discussed. The anisotropy and porosity linewidth broadening models were adopted to identify the linewidth contribution. The results manifested that the porosity linewidth broadening was much larger than the anisotropy linewidth broadening. (C) 2016 Elsevier B.V. All rights reserved.	[Sun, Ke; Pu, Zhiyong; Chen, Linglong; Yu, Zhong; Wu, Chuanjian; Jiang, Xiaona; Lan, Zhongwen] Univ Elect Sci & Technol China, State Key Lab Elect Thin Films & Integrated Devic, Chengdu 610054, Peoples R China; [Yang, Yan] Chengdu Technol Univ, Dept Commun Engn, Chengdu 611730, Peoples R China	Sun, K (reprint author), Univ Elect Sci & Technol China, State Key Lab Elect Thin Films & Integrated Devic, Chengdu 610054, Peoples R China.	ksun@uestc.edu.cn			National Natural Science Foundation of China [51472045]	The authors are grateful for the financial support from the National Natural Science Foundation of China under Grant 51472045.		34	0	0	13	72	ELSEVIER SCIENCE SA	LAUSANNE	PO BOX 564, 1001 LAUSANNE, SWITZERLAND	0925-8388	1873-4669		J ALLOY COMPD	J. Alloy. Compd.	OCT 5	2016	681						139	145		10.1016/j.jallcom.2016.04.164		7	Chemistry, Physical; Materials Science, Multidisciplinary; Metallurgy & Metallurgical Engineering	Chemistry; Materials Science; Metallurgy & Metallurgical Engineering	DM6EL	WOS:000376443300018		
J	Xie, X; Li, XF; Bi, DJ; Zhou, QZ; Xie, SS; Xie, YL				Xie, Xuan; Li, Xifeng; Bi, Dongjie; Zhou, Qizhong; Xie, Sanshan; Xie, Yongle			Measurement Uncertainty Estimation for Electromagnetism Devices and Equipment Using Extreme Fisher Information	IEEE TRANSACTIONS ON APPLIED SUPERCONDUCTIVITY			English	Article						Electromagnetic measurements; extreme fisher information; measurement uncertainty; reliability estimation; stochastic system		In electromagnetism devices and equipment measurement activities, it is hard to identify and compensate every effect in measurement and evaluate the incompleteness of the measurement results accurately and efficiently. In this paper, we employ the probability density functions (PDFs) derived from the extreme Fisher information (EFI) method in the view of information theory for estimating the measurement uncertainty of the measurement result. By considering the physical essence of EFI, a differential equation model is established for the measurement practice and the explicit form of the solution PDF corresponding to EFI is given, which guarantees the dynamics and the practicability of the estimation of the measurement uncertainty (MU). The obtained the PDF can describe the combined performance of the system and all the measurement effects, then, with the PDF and the confidence, MU can be estimated more dynamically and efficiently. The effectiveness of the proposed EFI method is demonstrated by the numerical results of two practical instances.	[Xie, Xuan; Li, Xifeng; Bi, Dongjie; Zhou, Qizhong; Xie, Yongle] Univ Elect Sci & Technol China, Sch Automat Engn, Chengdu 611731, Peoples R China; [Xie, Sanshan] Chengdu Technol Univ, Chengdu 611730, Peoples R China	Xie, X (reprint author), Univ Elect Sci & Technol China, Sch Automat Engn, Chengdu 611731, Peoples R China.	xiexuan@uestc.edu.cn; xifengli@uestc.edu.cn; dongjiebiee@gmail.com; zqzpaper@163.com; sanshanxie@163.com; yonglexie@126.com			National Science Foundation of China [60871056, 61371049, 61601096]; specialized Research Fund for the Doctoral Program of High Education of China [20120185110013]; Fundamental Research Funds for the Central Universities [267ZYGX2015KYQD021]; Sichuan Province Applied Basis Research Project [2013JY0058]; Key Lab Fund Project of Key Laboratory of Fluid and Power Machinery of Ministry of Education [SZJJ2012-042]	This work was supported in part by the National Science Foundation of China under Grants 60871056, 61371049, and 61601096, in part by the specialized Research Fund for the Doctoral Program of High Education of China under Grant 20120185110013, in part by the Fundamental Research Funds for the Central Universities under Grant 267ZYGX2015KYQD021, in part by Sichuan Province Applied Basis Research Project under Grant 2013JY0058, and in part by the Key Lab Fund Project of Key Laboratory of Fluid and Power Machinery of Ministry of Education under Grant SZJJ2012-042.		26	0	0	0	0	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	PISCATAWAY	445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA	1051-8223	1558-2515		IEEE T APPL SUPERCON	IEEE Trans. Appl. Supercond.	OCT	2016	26	7							0613005	10.1109/TASC.2016.2610723		5	Engineering, Electrical & Electronic; Physics, Applied	Engineering; Physics	ET3WM	WOS:000400210200001		
J	Luo, CG; Deng, H; Li, L; Wu, F; Wang, QH				Luo, Cheng-Gao; Deng, Huan; Li, Lei; Wu, Fei; Wang, Qiong-Hua			Integral Imaging Pickup Method With Extended Depth-of-Field by Gradient-Amplitude Modulation	JOURNAL OF DISPLAY TECHNOLOGY			English	Article						Depth-of-field (DOF); integral imaging; three-dimensional (3D) acquisition; 3D image display; 3D image reconstruction	3-DIMENSIONAL DISPLAY; LENS-ARRAY; SYSTEM; ENHANCEMENT; RECONSTRUCTION; RESOLUTION; APERTURES; REAL; MASK	One of the major drawbacks of the three-dimensional (3D) integral imaging (II) is the limited depth-of-field (DOF). One approach to enhance the DOF is applying the amplitude-modulating method on the microlens arrays. However, the conventional amplitude-modulating methods usually suffer some collateral effects such as lateral resolution reductions or contrast reversals. In this paper, we propose a gradient-amplitude-modulating (GAM) method to enhance the DOF of the II pickup system when recording large-depth 3D scenes. This method is practical and not accompanied by any obvious lateral resolution deteriorations or contrast reversals. Experimental results obtained from the optical pickup process and computational reconstruction process finally demonstrate the feasibility of the proposed method.	[Luo, Cheng-Gao; Deng, Huan; Li, Lei; Wang, Qiong-Hua] Sichuan Univ, Sch Elect & Informat Engn, Chengdu 610065, Peoples R China; [Luo, Cheng-Gao] Natl Univ Def Technol, Sch Elect Sci & Engn, Changsha 410073, Hunan, Peoples R China; [Wu, Fei] Chengdu Technol Univ, Dept Commun Engn, Chengdu 611730, Peoples R China	Luo, CG (reprint author), Sichuan Univ, Sch Elect & Informat Engn, Chengdu 610065, Peoples R China.	chenqiuchen123@gmail.com; denghuanlan@163.com; ccll117@163.com; seawouf@163.com; qhwang@scu.edu.cn			"973" Program [2013CB328802]; National Science Foundation of China [61225022, 61320106015, 61405129]	This work was supported by the "973" Program under Grant 2013CB328802, and the National Science Foundation of China under Grants 61225022, 61320106015, and 61405129.		33	0	0	5	5	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	PISCATAWAY	445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA	1551-319X	1558-9323		J DISP TECHNOL	J. Disp. Technol.	OCT	2016	12	10					1205	1211		10.1109/JDT.2016.2580098		7	Engineering, Electrical & Electronic; Optics; Physics, Applied	Engineering; Optics; Physics	DX3UI	WOS:000384300400032		
J	Jiang, XL; Wang, Q; He, B; Chen, SJ; Li, BL				Jiang, Xiao-Liang; Wang, Qiang; He, Biao; Chen, Shao-Jie; Li, Bai-Lin			Robust level set image segmentation algorithm using local correntropy-based fuzzy c-means clustering with spatial constraints	NEUROCOMPUTING			English	Article						Image segmentation; Level set; Correntropy-based; Fuzzy c-means clustering (FCM); Spatial constraints	ACTIVE CONTOURS DRIVEN; FITTING ENERGY; GRAPH CUTS; REGION	Accurate image segmentation is a challenge task in image analysis and understanding, while fuzzy c-means clustering (FCM) with spatial constraints (FCM_S) is an effective algorithm suitable for this challenge. However, FCM_S has high computational complexity and still lacks enough robustness to noise and outliers, which will limit its usefulness. To overcome these difficulties, a local correntropy-based fuzzy c-means clustering algorithm with spatial constraints (LCFCM_S) and its simplified model (LCFCM_S-1) are proposed in this paper. By utilizing the correntropy criterion, the clustering algorithm can efficiently emphasize the weights of the samples that are close to their corresponding cluster centers. Then, the proposed clustering algorithms are incorporated into a variational level set formulation with a level set regularization term. Finally, the iteratively re-weighted algorithm is adopted to solve the LCFCM_S and LCFCM_S-1 based level set method. Experimental results on synthetic and real images show the superiority of our methods in terms of accuracy and robustness for segmenting images with intensity inhomogeneity and noise, when compared with several state-of-the-art approaches. (C) 2016 Elsevier B.V. All rights reserved.	[Jiang, Xiao-Liang] Quzhou Coll, Dept Mech Engn, Quzhou 324000, Zhejiang, Peoples R China; [Jiang, Xiao-Liang; Wang, Qiang; He, Biao; Chen, Shao-Jie; Li, Bai-Lin] Southwest Jiaotong Univ, Coll Mech Engn, Chengdu 610031, Sichuan, Peoples R China; [Wang, Qiang] Chengdu Technol Univ, Dept Mech Engn, Chengdu 610031, Sichuan, Peoples R China	Jiang, XL (reprint author), Quzhou Coll, Dept Mech Engn, Quzhou 324000, Zhejiang, Peoples R China.; Jiang, XL (reprint author), Southwest Jiaotong Univ, Coll Mech Engn, Chengdu 610031, Sichuan, Peoples R China.	jxl_swjtu@163.com			National Natural Science Foundation of China [51305368, 30800263]; Cultivation Program for the Excellent Doctoral Dissertation of Southwest Jiaotong University [A0920502051410-3]; Science and technology support project of Sichuan province [2013GZ0032, 2014GZ0005]	The authors would like to thank the anonymous reviewers for their valuable comments and suggestions to improve this paper. Besides, this work is supported by the National Natural Science Foundation of China (Nos. 51305368 and 30800263), Cultivation Program for the Excellent Doctoral Dissertation of Southwest Jiaotong University (No. A0920502051410-3), Science and technology support project of Sichuan province (2013GZ0032 and 2014GZ0005).		27	2	2	16	23	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0925-2312	1872-8286		NEUROCOMPUTING	Neurocomputing	SEP 26	2016	207						22	35		10.1016/j.neucoth.2016.03.046		14	Computer Science, Artificial Intelligence	Computer Science	DV3AX	WOS:000382794500003		
J	Pan, X; Chen, LZ; Wu, YF				Pan, Xue; Chen, Li-Zhu; Wu, Yuan-Fang			Behavior and finite-size effects of the sixth order cumulant in the three-dimensional Ising universality class	CHINESE PHYSICS C			English	Article						critical point; the sixth order cumulant; Ising model	EQUATION-OF-STATE; PHASE-TRANSITION; GAUGE-THEORY; MONTE-CARLO; CHROMODYNAMICS; TEMPERATURE; MODELS; POINT; QCD	The high-order cumulants of conserved charges are suggested to be sensitive observables to search for the critical point of Quantum Chromodynamics (QCD). This has been calculated to the sixth order in experiments. Corresponding theoretical studies on the sixth order cumulant are necessary. Based on the universality of the critical behavior, we study the temperature dependence of the sixth order cumulant of the order parameter using the parametric representation of the three-dimensional Ising model, which is expected to be in the same universality class as QCD. The density plot of the sign of the sixth order cumulant is shown on the temperature and external magnetic field plane. We found that at non-zero external magnetic field, when the critical point is approached from the crossover side, the sixth order cumulant has a negative valley. The width of the negative valley narrows with decreasing external field. Qualitatively, the trend is similar to the result of Monte Carlo simulation on a finite-size system. Quantitatively, the temperature of the sign change is different. Through Monte Carlo simulation of the Ising model, we calculated the sixth order cumulant of different sizes of systems. We discuss the finite-size effects on the temperature at which the cumulant changes sign.	[Pan, Xue] Chengdu Technol Univ, Sch Elect Engn, Chengdu 611730, Peoples R China; [Chen, Li-Zhu] Nanjing Univ Informat Sci & Technol, Sch Phys & Optoelect Engn, Nanjing 210044, Jiangsu, Peoples R China; [Wu, Yuan-Fang] Cent China Normal Univ, Key Lab Quark & Lepton Phys MOE, Wuhan 430079, Peoples R China; [Wu, Yuan-Fang] Cent China Normal Univ, Inst Particle Phys, Wuhan 430079, Peoples R China	Pan, X (reprint author), Chengdu Technol Univ, Sch Elect Engn, Chengdu 611730, Peoples R China.	panxue1624@163.com			Fund Project of Sichuan Provincial Department of Education [16ZB0339]; Fund Project of Chengdu Technological University for Doctor [2016RC004]; Major State Basic Research Development Program of China [2014CB845402]; National Natural Science Foundation of China [11405088, 11221504]	Supported by Fund Project of Sichuan Provincial Department of Education (16ZB0339), Fund Project of Chengdu Technological University for Doctor (2016RC004), Major State Basic Research Development Program of China (2014CB845402) and National Natural Science Foundation of China (11405088, 11221504)		41	0	0	1	1	CHINESE PHYSICAL SOC	BEIJING	P O BOX 603, BEIJING 100080, PEOPLES R CHINA	1674-1137			CHINESE PHYS C	Chin. Phys. C	SEP	2016	40	9							093104	10.1088/1674-1137/40/9/093104		5	Physics, Nuclear; Physics, Particles & Fields	Physics	DW0XV	WOS:000383367200006		
J	Zhou, W; Chen, LL; Yu, HJ; Peng, B; Chen, Y				Zhou, Wu; Chen, Lili; Yu, Huijun; Peng, Bei; Chen, Yu			Sensitivity Jump of Micro Accelerometer Induced by Micro-fabrication Defects of Micro Folded Beams	MEASUREMENT SCIENCE REVIEW			English	Article						MEMS; micro accelerometer; stiffness; sensitivity; defect	SIDEWALL ROUGHNESS; SILICON; MEMS; PREDICTION	The abnormal phenomenon occurring in sensor calibration is an obstacle to product development but a useful guideline to product improvement. The sensitivity jump of micro accelerometers in the calibrating process is recognized as an important abnormal behavior and investigated in this paper. The characteristics of jumping output in the centrifuge test are theoretically and experimentally analyzed and their underlying mechanism is found to be related to the varied stiffness of supporting beam induced by the convex defect on it. The convex defect is normally formed by the lithography deviation and/or etching error and can result in a jumping stiffness of folded microbeams and further influence the sensitivity when a part of the bending beams is stopped from moving by two surfaces contacting. The jumping level depends on the location of convex and has nothing to do with the contacting properties of beam and defects. Then the location of defect is predicted by theoretical model and simulation and verified by the observation of micro structures under microscopy. The results indicate that the tested micro accelerometer has its defect on the beam with a distance of about 290 mu m from the border of proof mass block.	[Zhou, Wu; Yu, Huijun; Peng, Bei; Chen, Yu] Univ Elect Technol & Sci China, Sch Mechatron Engn, 2006 Xiyuan Ave, Chengdu 611731, Peoples R China; [Chen, Lili] Chengdu Technol Univ, Coll Mech Engn, 1 Zhongxing Ave, Chengdu 611730, Peoples R China	Zhou, W (reprint author), Univ Elect Technol & Sci China, Sch Mechatron Engn, 2006 Xiyuan Ave, Chengdu 611731, Peoples R China.	zhouwu916@uestc.edu.cn			NSAF [U1530132]; National Natural Science Foundation of China [51505068, 51575090]; Fundamental Research Funds for Central Universities [ZYGX2015J085]	This work was supported in part by NSAF (No. U1530132), National Natural Science Foundation of China (Nos.51505068, 51575090) and Fundamental Research Funds for the Central Universities (Grant No. ZYGX2015J085). The authors would like to acknowledge Shi Zhigui for their assistance in fabrication and experiments.		25	1	1	4	6	DE GRUYTER OPEN LTD	WARSAW	BOGUMILA ZUGA 32A ST, 01-811 WARSAW, POLAND	1335-8871			MEAS SCI REV	Meas. Sci. Rev.	AUG	2016	16	4					228	234		10.1515/msr-2016-0028		7	Instruments & Instrumentation	Instruments & Instrumentation	DU6EZ	WOS:000382308200007		
J	Pan, Y; Luo, QY; Cheng, M				Pan, Yi; Luo, Qianying; Cheng, Min			Working memory-driven attention improves spatial resolution: Support for perceptual enhancement	ATTENTION PERCEPTION & PSYCHOPHYSICS			English	Article						Working memory; Attention; Perception; External noise	VISUAL-ATTENTION; DIFFERENT MECHANISMS; NEURAL MECHANISMS; COGNITIVE CONTROL; GUIDANCE; CAPTURE; SELECTION; SEARCH; COMPETITION; NOISE	Previous research has indicated that attention can be biased toward those stimuli matching the contents of working memory and thereby facilitates visual processing at the location of the memory-matching stimuli. However, whether this working memory-driven attentional modulation takes place on early perceptual processes remains unclear. Our present results showed that working memory-driven attention improved identification of a brief Landolt target presented alone in the visual field. Because the suprathreshold target appeared without any external noise added (i.e., no distractors or masks), the results suggest that working memory-driven attention enhances the target signal at early perceptual stages of visual processing. Furthermore, given that performance in the Landolt target identification task indexes spatial resolution, this attentional facilitation indicates that working memory-driven attention can boost early perceptual processing via enhancement of spatial resolution at the attended location.	[Pan, Yi] Hangzhou Normal Univ, Dept Psychol, Hangzhou, Zhejiang, Peoples R China; [Luo, Qianying] Zhejiang Univ Finance & Econ, Hangzhou, Zhejiang, Peoples R China; [Cheng, Min] Chengdu Technol Univ, Chengdu, Peoples R China	Pan, Y (reprint author), Hangzhou Normal Univ, Dept Psychol, Hangzhou, Zhejiang, Peoples R China.	yipan@hznu.edu.cn			National Natural Science Foundation of China [31371034]; Natural Science Foundation of Zhejiang Province [LY13C090006]	This research was supported by grants from the National Natural Science Foundation of China (grant number 31371034) and the Natural Science Foundation of Zhejiang Province (grant number LY13C090006).		41	0	0	4	4	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	1943-3921	1943-393X		ATTEN PERCEPT PSYCHO	Atten. Percept. Psychophys.	AUG	2016	78	6					1625	1632		10.3758/s13414-016-1138-z		8	Psychology; Psychology, Experimental	Psychology	DT1EE	WOS:000381223700007	27192995	
