PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Liu, WL; Liu, YY; Do, JS; Li, J				Liu, Wenlong; Liu, Yen-Yu; Do, Jing-Shan; Li, Jing			Highly sensitive room temperature ammonia gas sensor based on Ir-doped Pt porous ceramic electrodes	APPLIED SURFACE SCIENCE			English	Article						Ammonia gas sensor; Humidity; Noble metal; Sensing mechanism	PT-IR; SENSING PERFORMANCE; ANODIC-OXIDATION; ALKALINE MEDIA; BINARY-ALLOYS; THIN-FILM; NH3 GAS; ELECTROOXIDATION; ELECTROCATALYST; ENHANCEMENT	Room temperature NH3 gas sensors based on Pt and Pt-Ir (Ir doping Pt) porous ceramic electrodes have been fabricated by both electroplating and sputtering methods. The properties of the gaseous ammonia sensors have been examined by polarization and chronoamperometry techniques. The influence of humidity on the features of the resulting sensors in the system has also been discussed, and the working potential was optimized. Water vapors seem to hugely improve the electrochemical activity of the electrode. With increasing the relative humidity, the response of the Pt-Ir(E)/Pt(S)/PCP sensor to NH3 gas could be enhanced remarkably, and the sensitivity increases from 1.14 to 12.06 mu A ppm(-1) cm(-2). Then we have also discussed the sensing mechanism of the Pt-Ir sensor and the result has been confirmed by X-ray photoelectron spectroscopy of the electrode surface before and after reaction in the end. (C) 2016 Elsevier B.V. All rights reserved.	[Liu, Wenlong; Li, Jing] Chengdu Univ, Coll Pharm & Biol Engn, Chengdu 610106, Peoples R China; [Liu, Wenlong; Do, Jing-Shan] Natl Chin Yi Univ Technol, Dept Chem & Mat Engn, Taichung 411, Taiwan; [Liu, Yen-Yu] Tunghai Univ, Dept Chem & Mat Engn, Taichung 407, Taiwan	Li, J (reprint author), Chengdu Univ, Coll Pharm & Biol Engn, Chengdu 610106, Peoples R China.; Do, JS (reprint author), Natl Chin Yi Univ Technol, Dept Chem & Mat Engn, Taichung 411, Taiwan.	jsdo@ncut.edu.tw; lijing@cdu.edu.cn			National Science Council of the Republic of China [NSC 101-2221-E-167-027-MY3]; China Postdoctoral Science Foundation [2016M590877]; National Natural Science Foundation of China [31601529]; Youth Foundations of Chengdu University [2015XJZ02 and 2016XJZ19]	This work was supported by the National Science Council of the Republic of China (No. NSC 101-2221-E-167-027-MY3), the General Financial Grant from the China Postdoctoral Science Foundation (No. 2016M590877), the National Natural Science Foundation of China (No. 31601529) and the Youth Foundations of Chengdu University (No. 2015XJZ02 and 2016XJZ19). The authors take this opportunity to express thanks.		32	1	1	66	66	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0169-4332	1873-5584		APPL SURF SCI	Appl. Surf. Sci.	DEC 30	2016	390						929	935		10.1016/j.apsusc.2016.08.121		7	Chemistry, Physical; Materials Science, Coatings & Films; Physics, Applied; Physics, Condensed Matter	Chemistry; Materials Science; Physics	DZ5KJ	WOS:000385900700113		
J	Li, JJ; Xiong, C; Liu, Y; Liang, JS; Zhou, XW				Li, Jing-jian; Xiong, Chao; Liu, Yue; Liang, Jun-song; Zhou, Xing-wen			Loop-Mediated Isothermal Amplification (LAMP): Emergence As an Alternative Technology for Herbal Medicine Identification	FRONTIERS IN PLANT SCIENCE			English	Review						LAMP technology; detection method; herbal medicine; species identification; drug safety	GENETICALLY-MODIFIED ORGANISMS; RAPID DETECTION; REVERSE-TRANSCRIPTION; VISUAL DETECTION; DNA BARCODE; SAFETY ISSUES; PANAX-GINSENG; CHINESE HERBS; AUTHENTICATION; PRODUCTS	Correct identification of medicinal plant ingredients is essential for their safe use and for the regulation of herbal drug supply chain. Loop-mediated isothermal amplification (LAMP) is a recently developed approach to identify herbal medicine species. This novel molecular biology technique enables timely and accurate testing, especially in settings where infrastructures to support polymerase chain reaction facilities are lacking. Studies that used this method have altered our view on the extent and complexity of herbal medicine identification. In this review, we give an introduction into LAMP analysis, covers the basic principles and important aspects in the development of LAMP analysis method. Then we presented a critical review of the application of LAMP-based methods in detecting and identifying raw medicinal plant materials and their processed products. We also provide a practical standard operating procedure (SOP) for the utilization of the LAMP protocol in herbal authentication, and consider the prospects of LAMP technology in the future developments of herbal medicine identification and the challenges associated with its application.	[Li, Jing-jian] South China Agr Univ, Coll Forestry & Landscape Architecture, Guangzhou, Guangdong, Peoples R China; [Xiong, Chao] Hubei Univ Chinese Med, Coll Pharm, Wuhan, Peoples R China; [Liu, Yue] Chengdu Univ, Sichuan Ind Inst Antibiot, Chengdu, Peoples R China; [Liang, Jun-song; Zhou, Xing-wen] Yulin Normal Univ, Coll Biol & Pharm, Yulin, Peoples R China	Liang, JS; Zhou, XW (reprint author), Yulin Normal Univ, Coll Biol & Pharm, Yulin, Peoples R China.	ljsylu@163.com; xingwenzhou2003@163.com			National Natural Science Foundation of China [31360197]; Research Project of Higher Education of Guangxi [YB2014315]; Scientific Innovation Ability and Condition Construction of Guangxi [GKN11217028]; Science Research Foundation of Guangxi Institute of Botany [GZY14003]	This work was supported by the National Natural Science Foundation of China (31360197), Research Project of Higher Education of Guangxi (YB2014315), the Scientific Innovation Ability and Condition Construction of Guangxi (GKN11217028), and Science Research Foundation of Guangxi Institute of Botany (GZY14003).		85	0	0	18	18	FRONTIERS MEDIA SA	LAUSANNE	PO BOX 110, EPFL INNOVATION PARK, BUILDING I, LAUSANNE, 1015, SWITZERLAND	1664-462X			FRONT PLANT SCI	Front. Plant Sci.	DEC 26	2016	7								1956	10.3389/fpls.2016.01956		11	Plant Sciences	Plant Sciences	EF8RB	WOS:000390595700001	28082999	
J	Su, HF; Lin, JF; Wang, GW				Su, Haifeng; Lin, Jiafu; Wang, GuangWei			Metabolic engineering of Corynebacterium crenatium for enhancing production of higher alcohols	SCIENTIFIC REPORTS			English	Article							INCREASED ISOBUTANOL PRODUCTION; DUCKWEED LANDOLTIA-PUNCTATA; ACETYL BROMIDE PROCEDURE; N-BUTANOL PRODUCTION; ESCHERICHIA-COLI; SACCHAROMYCES-CEREVISIAE; ISOAMYL ACETATE; EHRLICH PATHWAY; YEAST; GLUTAMICUM	Biosynthesis approaches for the production of higher alcohols as a source of alternative fossil fuels have garnered increasing interest recently. However, there is little information available in the literature about using undirected whole-cell mutagenesis (UWCM) in vivo to improve higher alcohols production. In this study, for the first time, we approached this question from two aspects: first preferentially improving the capacity of expression host, and subsequently optimizing metabolic pathways using multiple genetic mutations to shift metabolic flux toward the biosynthetic pathway of target products to convert intermediate 2-keto acid compounds into diversified C4 similar to C5 higher alcohols using UWCM in vivo, with the aim of improving the production. The results demonstrated the production of higher alcohols including isobutanol, 2-methyl-1-butanol, 3-methyl-1-butanol from glucose and duckweed under simultaneous saccharification and fermentation (SSF) scheme were higher based on the two aspects compared with only the use of wild-type stain as expression host. These findings showed that the improvement via UWCM in vivo in the two aspects for expression host and metabolic flux can facilitate the increase of higher alcohols production before using gene editing technology. Our work demonstrates that a multi-faceted approach for the engineering of novel synthetic pathways in microorganisms for improving biofuel production is feasible.	[Su, Haifeng; Wang, GuangWei] Chinese Acad Sci, Chongqing Inst Green & Interligent Technol, 266 Fangzheng Ave,Shuitu High Tech Pk, Chongqing 400714, Peoples R China; [Lin, Jiafu] Chengdu Univ, Antibiot Res & Reevaluat Key Lab Sichuan Prov, Sichuan Ind Inst Antibiot, Chengdu 400001, Peoples R China	Su, HF; Wang, GW (reprint author), Chinese Acad Sci, Chongqing Inst Green & Interligent Technol, 266 Fangzheng Ave,Shuitu High Tech Pk, Chongqing 400714, Peoples R China.	suhaifeng@cigit.ac.cn; wangguangwei@cigit.ac.cn			earmarked fund for National Natural Science Foundation of China [21502186]; Science and technology project of Chongqing city land, resources and Housing Administration Bureau [CQGT-KJ-2015022]	This work was supported by the earmarked fund for National Natural Science Foundation of China (Grant Nos. 21502186), Science and technology project of Chongqing city land, resources and Housing Administration Bureau (CQGT-KJ-2015022).		62	0	0	15	15	NATURE PUBLISHING GROUP	LONDON	MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND	2045-2322			SCI REP-UK	Sci Rep	DEC 20	2016	6								39543	10.1038/srep39543		20	Multidisciplinary Sciences	Science & Technology - Other Topics	EE9YI	WOS:000389981900001	27996038	
J	Liang, XL; Chen, QF; Lei, Y; Li, H				Liang, Xiuling; Chen, Qingfei; Lei, Yi; Li, Hong			How types of premises modulate the typicality effect in category-based induction: diverging evidence from the P2, P3, and LPC effects	SCIENTIFIC REPORTS			English	Article							EVENT-RELATED POTENTIALS; SEMANTIC MEMORY; BRAIN POTENTIALS; ERP; STRENGTH; ARGUMENT; EEG; REPRESENTATIONS; CATEGORIZATION; VERIFICATION	Behavioural studies have indicated that semantic typicality influences processing time and accuracy during the performance of inductive reasoning (i.e., the typicality effect). The present study examines this effect by manipulating the types of premises and conclusions (i.e., general, typical, or atypical) at an electrophysiological level using a semantic category-based induction task. With regard to behavioural results, higher inductive strength was found in typical conclusions in all premise conditions, whereas a longer response time for atypical conclusions was only found in general and typical premise conditions. The ERP results had different response patterns: in the general premise condition, a larger P2, as well as a smaller P3 and LPC (500-600 ms), were elicited by atypical conclusions relative to typical ones; in the typical premise condition, a larger P2 and LPC (600-700 ms) were found for atypical conclusions; in the atypical premise condition, however, only a larger P2 was found for atypical conclusions. The divergent evidence for the typicality effect indicated that the processing of the typicality effect in general, and specific premise conditions, might involve different cognitive processes, such as resource allocation and inference violation, which yielded new insights into the neural underpinnings of the typicality effect in a category-based induction.	[Liang, Xiuling; Chen, Qingfei] ChengDu Univ, Inst Adv Study, Chengdu 610106, Peoples R China; [Liang, Xiuling; Chen, Qingfei; Lei, Yi; Li, Hong] Shenzhen Univ, Res Ctr Brain Funct & Psychol Sci, Shenzhen 518060, Peoples R China; [Chen, Qingfei] Shenzhen Univ, China Ctr Special Econ Zone Res, Shenzhen 518060, Peoples R China	Chen, QF (reprint author), ChengDu Univ, Inst Adv Study, Chengdu 610106, Peoples R China.; Chen, QF; Lei, Y (reprint author), Shenzhen Univ, Res Ctr Brain Funct & Psychol Sci, Shenzhen 518060, Peoples R China.; Chen, QF (reprint author), Shenzhen Univ, China Ctr Special Econ Zone Res, Shenzhen 518060, Peoples R China.	myth3233@126.com; leiyi821@vip.sina.com			National Natural Science Foundation of China [31400961, 31271088, 31571153]; China Postdoctoral Science Foundation [2015M582398, 2016T90793]; Shenzhen Peacock Plan [KQTD2015033016104926]	This study was supported by the National Natural Science Foundation of China (31400961, 31271088, and 31571153), Project funded by China Postdoctoral Science Foundation (2015M582398, 2016T90793), and Shenzhen Peacock Plan (grant No. KQTD2015033016104926). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.		63	0	0	4	4	NATURE PUBLISHING GROUP	LONDON	MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND	2045-2322			SCI REP-UK	Sci Rep	DEC 16	2016	6								37890	10.1038/srep37890		13	Multidisciplinary Sciences	Science & Technology - Other Topics	EE8JS	WOS:000389872200001	27982022	
J	Ke, GB; Hu, Y; Huang, X; Peng, X; Lei, M; Huang, CL; Gu, L; Xian, P; Yang, DH				Ke, Guibao; Hu, Yao; Huang, Xin; Peng, Xuan; Lei, Min; Huang, Chaoli; Gu, Li; Xian, Ping; Yang, Dehua			Epidemiological analysis of hemorrhagic fever with renal syndrome in China with the seasonal-trend decomposition method and the exponential smoothing model	SCIENTIFIC REPORTS			English	Article							INFECTIOUS-DISEASES; SURVEILLANCE; HANTAAN	Hemorrhagic fever with renal syndrome (HFRS) is one of the most common infectious diseases globally. With the most reported cases in the world, the epidemic characteristics are still remained unclear in China. This paper utilized the seasonal-trend decomposition (STL) method to analyze the periodicity and seasonality of the HFRS data, and used the exponential smoothing model (ETS) model to predict incidence cases from July to December 2016 by using the data from January 2006 to June 2016. Analytic results demonstrated a favorable trend of HFRS in China, and with obvious periodicity and seasonality, the peak of the annual reported cases in winter concentrated on November to January of the following year, and reported in May and June also constituted another peak in summer. Eventually, the ETS (M, N and A) model was adopted for fitting and forecasting, and the fitting results indicated high accuracy (Mean absolute percentage error (MAPE) = 13.12%). The forecasting results also demonstrated a gradual decreasing trend from July to December 2016, suggesting that control measures for hemorrhagic fever were effective in China. The STL model could be well performed in the seasonal analysis of HFRS in China, and ETS could be effectively used in the time series analysis of HFRS in China.	[Ke, Guibao; Hu, Yao; Huang, Xin; Peng, Xuan; Lei, Min; Huang, Chaoli; Gu, Li; Xian, Ping] Chengdu Univ, Dept Nephrol, Clin Med Coll, Affiliated Hosp, Chengdu, Peoples R China; [Yang, Dehua] Chengdu Univ, Adm Off, Clin Med Coll, Affiliated Hosp, Chengdu, Peoples R China	Ke, GB (reprint author), Chengdu Univ, Dept Nephrol, Clin Med Coll, Affiliated Hosp, Chengdu, Peoples R China.; Yang, DH (reprint author), Chengdu Univ, Adm Off, Clin Med Coll, Affiliated Hosp, Chengdu, Peoples R China.	gbke@outlook.com; dhyangcdu@outlook.com						27	0	0	4	4	NATURE PUBLISHING GROUP	LONDON	MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND	2045-2322			SCI REP-UK	Sci Rep	DEC 15	2016	6								39350	10.1038/srep39350		7	Multidisciplinary Sciences	Science & Technology - Other Topics	EF4FQ	WOS:000390280700001	27976704	
J	Al Fayi, MS; Gou, XJ; Forootan, SS; Al-Jameel, W; Bao, ZZ; Rudland, PR; Cornford, PA; Hussain, SA; Ke, YQ				Al Fayi, Majed Saad; Gou, Xiaojun; Forootan, Shiva S.; Al-Jameel, Waseem; Bao, Zhengzheng; Rudland, Philip R.; Cornford, Philip A.; Hussain, Syed A.; Ke, Youqiang			The increased expression of fatty acid-binding protein 9 in prostate cancer and its prognostic significance	ONCOTARGET			English	Article						prostate cancer; FABP9; gleason scores; prognosis; PSA	COLORECTAL-CANCER; CELL CARCINOMA; C-FABP; DIAGNOSIS; FAMILY; TUMORIGENICITY; PROGRESSION; METASTASIS; TRANSCRIPT; MORTALITY	In contrast to numerous studies conducted to investigate the crucial role of fatty acid binding protein 5 (FABP5) in prostate cancer, investigations on the possible involvement of other FABPs are rare. Here we first measured the mRNA levels of 10 FABPs in benign and malignant prostate cell lines and identified the differentially expressed FABP6 and FABP9 mRNAs whose levels in all malignant cell lines were higher than those in the benign cells. Thereafter we assessed the expression status of FABP6 and FABP9 in both prostate cell lines and in human tissues. FABP6 protein was overexpressed only in 1 of the 5 malignant cell lines and its immunostaining intensities were not significantly different between benign and malignant prostate tissues. In contrast, FABP9 protein was highly expressed in highly malignant cell lines PC-3 and PC3-M, but its level in the benign PNT-2 and other malignant cell lines was not detectable. When analysed in an archival set of human prostate tissues, immunohistochemical staining intensity for FABP9 was significantly higher in carcinomas than in benign cases and the increase in FABP9 was significantly correlated with reduced patient survival times. Moreover, the increased level of staining for FABP9 was significantly associated with the increased joint Gleason scores (GS) and androgen receptor index (AR). Suppression of FABP9 expression in highly malignant PC3-M cells inhibited their invasive potential. Our results suggest that FABP9 is a valuable prognostic marker to predict the outcomes of prostate cancer patients, perhaps by playing an important role in prostate cancer cell invasion.	[Al Fayi, Majed Saad; Forootan, Shiva S.; Al-Jameel, Waseem; Bao, Zhengzheng; Cornford, Philip A.; Hussain, Syed A.; Ke, Youqiang] Univ Liverpool, Dept Mol & Clin Canc Med, Canc Res Ctr Bldg, Mol Pathol Lab, Liverpool, Merseyside, England; [Gou, Xiaojun] Chengdu Univ, Sichuan Antibiot Ind Inst, Chengdu, Peoples R China; [Al Fayi, Majed Saad] King Khalid Univ, Dept Med Lab Sci, Coll Appl Med Sci, Abha, Saudi Arabia; [Rudland, Philip R.] Univ Liverpool, Dept Biochem, Liverpool, Merseyside, England	Ke, YQ (reprint author), Univ Liverpool, Dept Mol & Clin Canc Med, Canc Res Ctr Bldg, Mol Pathol Lab, Liverpool, Merseyside, England.	yqk@liverpool.ac.uk			King Khalid University, Abha, Saudi Arabia; Science and Technology Department, Sichuan Province, China [2016HH0012]	Majed Saad Al Fayi is supported by a scholarship from King Khalid University, Abha, Saudi Arabia. XG and YK would like to thank the Science and Technology Department, Sichuan Province, China, for an international collaborative grant (Grant Number: 2016HH0012).		48	0	0	1	1	IMPACT JOURNALS LLC	ORCHARD PARK	6666 E QUAKER ST, STE 1, ORCHARD PARK, NY 14127 USA	1949-2553			ONCOTARGET	Oncotarget	DEC 13	2016	7	50					82783	82797		10.18632/oncotarget.12635		15	Oncology; Cell Biology	Oncology; Cell Biology	EG9BQ	WOS:000391352800069	27779102	
J	Liang, XL; Xiao, F; Wu, LJ; Chen, QF; Lei, Y; Li, H				Liang, Xiuling; Xiao, Feng; Wu, Lijun; Chen, Qingfei; Lei, Yi; Li, Hong			The Temporal Order of Word Presentation Modulates the Amplitudes of P2 and N400 during Recognition of Causal Relations	Frontiers in Psychology			English	Article						causalrelations; hierarchicalrelations; temporalorder; P2; N400	SEMANTIC MEMORY; ERP; REPRESENTATIONS; INFORMATION; KNOWLEDGE; INFERENCE; COMPONENT; SELECTION; ANIMACY	The processing of causal relations has been constantly found to be asymmetrical once the roles of cause and effect are assigned to objects in interactions. We used a relationship recognition paradigm and recorded electroencephalographic (EEG) signals to explore the neural mechanism underlying the asymmetrical representations of causal relations in semantic memory. The results revealed that the verification of causal relations is faster if two words appear in cause-effect order (e.g., virus-epidemic) than if they appear in effect-cause order (e.g., epidemic-virus), whereas no such asymmetrical representation was found for the verification of hierarchical relations with reverse orders (e.g., bird-sparrow vs. sparrow-bird) in Experiment 1. Furthermore, the P2 amplitude elicited by superordinate-subordinate order was larger than that when in reverse order, whereas the N400 effect elicited by cause-effect order was smaller (more positive) than when in reverse order. However, no such asymmetry, as well as P2 and N400 components, were observed when verifying the existence of a general associative relation in Experiment 2. We suggested that the smaller N400 in cause-effect order indicates their increased salience in semantic memory relative to the effect-cause order. These results provide evidence for dissociable neural processes, which are related to role binding, contributing to the generation of causal asymmetry.	[Liang, Xiuling; Chen, Qingfei] Chengdu Univ, Inst Adv Study, Chengdu, Peoples R China; [Liang, Xiuling; Chen, Qingfei; Lei, Yi; Li, Hong] Shenzhen Univ, Res Ctr Brain Funct & Psychol Sci, Shenzhen, Peoples R China; [Xiao, Feng] Shanxi Normal Univ, Dept Teacher Educ, Linfen, Peoples R China; [Wu, Lijun] Guangdong Univ Finance, Dept Econ & Trade, Guangzhou, Guangdong, Peoples R China; [Chen, Qingfei] Shenzhen Univ, China Ctr Special Econ Zone Res, Shenzhen, Peoples R China	Chen, QF (reprint author), Chengdu Univ, Inst Adv Study, Chengdu, Peoples R China.; Chen, QF (reprint author), Shenzhen Univ, Res Ctr Brain Funct & Psychol Sci, Shenzhen, Peoples R China.; Chen, QF (reprint author), Shenzhen Univ, China Ctr Special Econ Zone Res, Shenzhen, Peoples R China.	myth3233@126.com			National Natural Science Foundation of China [31400961, 31271088, 31571153]; China Postdoctoral Science Foundation [2015M582398, 2016T90793]; Shenzhen Peacock Plan [KQTD2015033016104926]	This study was supported by the National Natural Science Foundation of China (31400961, 31271088, and 31571153), Project Funded by China Postdoctoral Science Foundation (2015M582398, 2016T90793), and Shenzhen Peacock Plan (grant No. KQTD2015033016104926).		35	0	0	1	1	FRONTIERS MEDIA SA	LAUSANNE	PO BOX 110, EPFL INNOVATION PARK, BUILDING I, LAUSANNE, 1015, SWITZERLAND	1664-1078			FRONT PSYCHOL	Front. Psychol.	DEC 2	2016	7								1890	10.3389/fpsyg.2016.01890		14	Psychology, Multidisciplinary	Psychology	ED8WL	WOS:000389151500001	27994564	
J	Zhu, YL; Lu, FC; Yu, C; Kang, GZ				Zhu, Yilin; Lu, Fucong; Yu, Chao; Kang, Guozheng			A Rate- Type Nonlinear Viscoelastic-Viscoplastic Cyclic Constitutive Model for Polymers: Theory and Application	POLYMER ENGINEERING AND SCIENCE			English	Article							MOLECULAR-WEIGHT POLYETHYLENE; SEMICRYSTALLINE POLYMER; DENSITY POLYETHYLENE; DEFORMATION-BEHAVIOR; GLASSY-POLYMERS; COMPOSITES; RECOVERY; CREEP	A thermodynamically consistent rate-type viscoelastic-viscoplastic constitutive model is developed in the framework of isothermal and small deformation to describe the nonlinear and time-dependent deformation behaviors of polymers, e.g., ratchetting, creep, and stress relaxation. The model is proposed on the base of a one-dimensional rheo-logical model with several springs and dashpot elements. The strain is divided into viscoelastic and viscoplastic parts, and the stress is also decomposed into two components. Each stress component is further divided into elastic and viscoelastic sub-components. The viscoelasticity is described by introducing pseudo potentials, and the ratchetting is considered by the viscoplastic flow which is derived by the codirectionality hypotheses. The capability of the proposed model to describe the nonlinear and time-dependent deformation of polymers is then verified by comparing the simulations with the corresponding experimental results of polycarbonate (PC) polymer. It is shown that the nonlinear and time-dependent stress-strain responses of the PC can be reasonably predicted by the proposed model. (C) 2016 Society of Plastics Engineers	[Zhu, Yilin] Chengdu Univ, Sch Architectural & Civil Engn, Chengdu 610106, Peoples R China; [Lu, Fucong; Yu, Chao; Kang, Guozheng] Southwest Jiaotong Univ, State Key Lab Tract Power, Chengdu 610031, Peoples R China	Kang, GZ (reprint author), Southwest Jiaotong Univ, State Key Lab Tract Power, Chengdu 610031, Peoples R China.	guozhengkang@home.swjtu.edu.cn			National Natural Science Foundation of China [11272269]; Sichuan Provincial Youth Science and Technology Innovation Team, China [2013TD0004]; Fundamental Research Funds for the Central Universities, China	National Natural Science Foundation of China; contract grant number: 11272269; contract grant sponsor: Sichuan Provincial Youth Science and Technology Innovation Team, China; contract grant number: 2013TD0004; contract grant sponsor: Fundamental Research Funds for the Central Universities, China.		42	0	0	3	3	WILEY-BLACKWELL	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0032-3888	1548-2634		POLYM ENG SCI	Polym. Eng. Sci.	DEC	2016	56	12					1375	1381		10.1002/pen.24371		7	Engineering, Chemical; Polymer Science	Engineering; Polymer Science	EJ3OL	WOS:000393121400007		
J	Yuan, R; Meng, DB; Li, HQ				Yuan, Rong; Meng, Debiao; Li, Haiqing			Multidisciplinary reliability design optimization using an enhanced saddlepoint approximation in the framework of sequential optimization and reliability analysis	PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART O-JOURNAL OF RISK AND RELIABILITY			English	Article						Saddlepoint approximation and third-moment; cumulant generating function; cumulative distribution function; probability density function; sequential optimization; reliability analysis	PROBABILISTIC UNCERTAINTY ANALYSIS; FATIGUE LIFE PREDICTION; STRUCTURAL RELIABILITY; LINEARIZATION; MODEL	For high reliability calculation efficiency and evaluation accuracy, saddlepoint approximation technology has been introduced into design and optimization under uncertainties. When using saddlepoint approximation, there are two prerequisites: all random information is tractable and saddlepoint equations are easy to be solved. However, the above requirements cannot always be met in complex multidisciplinary systems. Random variables sometimes are intractable, or saddlepoint equations are highly nonlinear. To tackle these problems, in this study, an efficient reliability-based multidisciplinary design optimization using the combination method of saddlepoint approximation and third-moment is given. A simplified alternative cumulant generating function can be constructed by saddlepoint approximation and third-moment with the first, second and third moments of a random variable effectively. Then, this cumulant generating function can be utilized to calculate the cumulative distribution function and the probability density function of this random variable approximately. Moreover, to obtain better efficiency, the framework of sequential optimization and reliability analysis is introduced in this study. The corresponding formula of the proposed reliability-based multidisciplinary design optimization is given in detail. Two test problems are solved to show the application of the proposed method.	[Yuan, Rong] Chengdu Univ, Sch Mech Engn, Chengdu, Peoples R China; [Yuan, Rong] Sichuan Univ, Coll Architecture & Environm, Chengdu, Peoples R China; [Meng, Debiao; Li, Haiqing] Univ Elect Sci & Technol China, Sch Mechatron Engn, 2006 Xiyuan Ave, Chengdu 611731, Sichuan, Peoples R China	Li, HQ (reprint author), Univ Elect Sci & Technol China, Sch Mechatron Engn, 2006 Xiyuan Ave, Chengdu 611731, Sichuan, Peoples R China.	lihaiqing27@uestc.edu.cn			National Natural Science Foundation of China [51505067]; China Postdoctoral Science Foundation [2015M580780]; Fundamental Research Funds for Central Universities of China [ZYGX2015KYQD045]	The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This research was partially supported by the National Natural Science Foundation of China (grant no. 51505067), the China Postdoctoral Science Foundation (grant no. 2015M580780) and the Fundamental Research Funds for the Central Universities of China (grant no. ZYGX2015KYQD045).		44	1	1	0	0	SAGE PUBLICATIONS LTD	LONDON	1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND	1748-006X	1748-0078		P I MECH ENG O-J RIS	Proc. Inst. Mech. Eng. Part O-J. Risk Reliab.	DEC	2016	230	6					570	578		10.1177/1748006X16673500		9	Engineering, Multidisciplinary; Engineering, Industrial; Operations Research & Management Science	Engineering; Operations Research & Management Science	EJ4KF	WOS:000393184900005		
J	Chen, Y; Xie, SX; Wang, QY; Zhu, JG				Chen, Yu; Xie, Shaoxiong; Wang, Qingyuan; Zhu, Jianguo			Influence of Cr2O3 additive and sintering temperature on the structural characteristics and piezoelectric properties of Bi4Ti2.95W0.05O12.05 Aurivillius ceramics	PROGRESS IN NATURAL SCIENCE-MATERIALS INTERNATIONAL			English	Article						Bi4Ti3O12 ceramic; Cr2O3 additive; Structural characteristics; Sintering temperature; Piezoelectric properties	ZIRCONATE-TITANATE CERAMICS; HIGH T-C; ELECTRICAL-PROPERTIES; BISMUTH TITANATE; FERROELECTRIC CERAMICS; BI4TI3O12 CERAMICS; MICROSTRUCTURE	In this paper, Cr2O3 (0-0.4 wt%) as an additive was added into Bi4Ti2.95W0.05O12.05 (BITW) for preparing a kind of W/Cr co-doped BIT (BITW-yCr) Aurivillius ceramics, both W6+ and Cr3+ are considered to substitute Ti4+ in the [TiO6] octahedron of BIT. Besides the orthorhombic Bi4Ti3O12 as the major phase, BITW-yCr ceramics also contain the cubic Bi2Ti2O7 as the second phase which was formed due to the doping effect of WO3, but its formation could be depressed by the addition of less Cr2O3. Additionally, the cell parameters of BITW ceramics are also changed by the incorporation of Cr2O3, as the distortion degree of the orthorhombic structure (a/b) increases firstly and then decreases with its addtional amount (y). On the other hand, the grain growth of BITW-yCr ceramics is mainly controlled by the sintering process, there a higher sintering temperature results in a larger grain size. In comparison to BIT ceramics, BITW-yCr ceramics with less Cr-addition (y=0-0.2) require a higher sintering temperature to attain the best dense state, moreover, as y increases, the sintering temperature to gain the highest piezoelectric activity also increases. Finally, BITW-0.2Cr which was sintered at 1150 degrees C exhibits a higher piezoelectric activity than the others, which could be attributed to its larger orthorhombic distortion and larger grain size, its ideal piezoelectric constant (d(33)=28 pC/N) provides it with great applying potentiality.	[Chen, Yu; Wang, Qingyuan] Chengdu Univ, Sch Mech Engn, Chengdu 610106, Peoples R China; [Xie, Shaoxiong; Wang, Qingyuan] Sichuan Univ, Coll Architecture & Environm, Chengdu 610065, Peoples R China; [Zhu, Jianguo] Sichuan Univ, Coll Mat Sci & Engn, Chengdu 610065, Peoples R China	Chen, Y; Wang, QY (reprint author), Chengdu Univ, Sch Mech Engn, Chengdu 610106, Peoples R China.	chenyuer20023@163.com; wangqy@scu.edu.cn			Program for Changjiang Scholars and Innovative Research Team [IRT14R37]; National Natural Science Foundation of China [11327801]	This work was supported by the Program for Changjiang Scholars and Innovative Research Team (IRT14R37) and National Natural Science Foundation of China under Grant no. 11327801.		31	0	0	1	1	ELSEVIER SCIENCE INC	NEW YORK	360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA	1002-0071	1745-5391		PROG NAT SCI-MATER	Prog. Nat. Sci.	DEC	2016	26	6					572	578		10.1016/j.pnsc.2016.11.009		7	Materials Science, Multidisciplinary; Multidisciplinary Sciences	Materials Science; Science & Technology - Other Topics	EJ4SZ	WOS:000393208500010		
