PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Jiang, ZQ; Wang, F; Zhang, J				Jiang, Zhi-Qiang; Wang, Fei; Zhang, Jian			Adsorption of Iodine Based on a Tetrazolate Framework with Microporous Cages and Mesoporous Cages	INORGANIC CHEMISTRY			English	Article							METAL-ORGANIC FRAMEWORKS; ELECTRICAL-CONDUCTIVITY; MONOCHLORIDE; SEPARATION; CHEMISTRY; POLYHEDRA; VOLATILE; CAPTURE; RELEASE; CLUSTER	A three-dimensional tetrazolate framework was synthesized with solvothermal reaction. Single-crystal X-ray diffraction analysis shows that the framework is fabricated by a microporous cage (1.35 nm) and mesoporous cage (2.85 nm) via vertex-sharing packing mode. This compound shows permanent porosity and excellent performance of absorbing iodine.	[Jiang, Zhi-Qiang; Wang, Fei; Zhang, Jian] Chinese Acad Sci, Fujian Inst Res Struct Matter, State Key Lab Struct Chem, Fuzhou 35002, Fujian, Peoples R China; [Jiang, Zhi-Qiang] Panzhihua Univ, Deep Proc Fine Flake Grapgite Sichuan Prov Key La, Panzhihua 617000, Sichuan, Peoples R China	Zhang, J (reprint author), Chinese Acad Sci, Fujian Inst Res Struct Matter, State Key Lab Struct Chem, Fuzhou 35002, Fujian, Peoples R China.	zhj@fjirsm.ac.cn			NSFC [21425102, 21573236]; Open Foundation of State Key Laboratory of Structural Chemistry [20150012]; Science and Technology Planning Project in Sichuan Province and Panzhihua City [2014GZ0030, 2015RZ0029, 2014CY-G-24, 2016CY-G-4]	We are thankful for the support of this work by NSFC (21425102, 21573236), Open Foundation of State Key Laboratory of Structural Chemistry (20150012), and Science and Technology Planning Project in Sichuan Province and Panzhihua City (2014GZ0030, 2015RZ0029, 2014CY-G-24, 2016CY-G-4).		29	0	0	20	20	AMER CHEMICAL SOC	WASHINGTON	1155 16TH ST, NW, WASHINGTON, DC 20036 USA	0020-1669	1520-510X		INORG CHEM	Inorg. Chem.	DEC 19	2016	55	24					13035	13038		10.1021/acs.inorgchem.6b02696		4	Chemistry, Inorganic & Nuclear	Chemistry	EF4KQ	WOS:000390294600066	27989153	
J	Wu, CL; Tsou, CY; Tseng, YC; Lee, HT; Suen, MC; Gu, JH; Tsou, CH; Chiu, SH				Wu, Cheng-Lung; Tsou, Chih-Yuan; Tseng, Yen-Chun; Lee, Hsun-Tsing; Suen, Maw-Cherng; Gu, Jia-Hao; Tsou, Chi-Hui; Chiu, Shih-Hsuan			Preparation and characterization of biodegradable polyurethanes composites filled with silver nanoparticles-decorated graphene	JOURNAL OF POLYMER RESEARCH			English	Article						Polyurethane; Nanosilver; Graphene; Interfacial adhesion; Antibacterial activities; Electrical conductivity	MECHANICAL-PROPERTIES; AQUEOUS DISPERSIONS; THERMAL-PROPERTIES; THERMOPLASTIC POLYURETHANE; SEGMENTED POLYURETHANES; CHAIN EXTENDER; SOFT-SEGMENT; NANOCOMPOSITES; POLY(EPSILON-CAPROLACTONE); DEGRADATION	In this study, polyurethane (PU) was synthesized using 4,4,-diphenylmethane diisocyanate (MDI) as a hard segment, polycaprolactone diol (PCL) as the soft segments and 1,4-butandiol (1,4-BD) as a chain extender. Nanosilver/graphene (Ag/G) was added to the PU matrix to prepare Ag/G/PU nanocomposites. EDS, SEM and XRD are used for assaying the silver content and characterization of Ag/G. TEM, FT-IR, XRD and EDS were used to characterize the structure and morphology of the Ag/G/PUs nanocomposites. The TEM results show that Ag/G belongs to sheet structures and is dispersed in a PU matrix. The SEM showed that the strong interfacial adhesion between the Ag/G and PU is indicated. FT-IR spectra analysis shows that the functional group of PU is free of obvious changes by adding a small amount of Ag/G in the PU matrix. XRD results showed that the main crystalline peak (26 degrees) of Ag/G became more apparent with increasing content of Ag/G, and EDS showed that the content of Ag increased with increasing content of Ag/G in the Ag/G/PUs nanocomposites. The thermal stability and mechanical properties of Ag/G/PUs nanocomposites are improved with increasing content of Ag/G. Contact angle and AFM results showed that the hydrophobicity and surface roughness increased with increasing content of Ag/G. Moreover, the Ag/G/PUs nanocomposites exhibit antibacterial activities toward Staphylococcus aureus as well as Escherichia coli and their antibacterial rates increase with increasing Ag/G. In addition, the electrical conductivity measurements showed that both surface and volume resistance of the Ag/G/PUs nanocomposites decreased as the amount of Ag/G increased.	[Wu, Cheng-Lung; Tsou, Chih-Yuan; Tseng, Yen-Chun; Gu, Jia-Hao; Chiu, Shih-Hsuan] Natl Taiwan Univ Sci & Technol, Dept Mat Sci & Engn, Taipei 10607, Taiwan; [Lee, Hsun-Tsing] Vanung Univ, Dept Mat Sci & Engn, Taoyuan 32061, Taiwan; [Suen, Maw-Cherng] Taoyuan Innovat Inst Technol, Dept Creat Fash Design, Taoyuan 32091, Taiwan; [Tsou, Chi-Hui] Sichuan Univ Sci & Engn, Mat Corros & Protect Key Lab Sichuan Prov, Inst Mat Sci & Engn, Zigong 643000, Peoples R China; [Tsou, Chi-Hui] Panzhihua Univ, Sci & Technol Innovat Ctr, Fac Mat Engn, Fac Biol, Panzhihua 617000, Peoples R China; [Tsou, Chi-Hui] Panzhihua Univ, Sci & Technol Innovat Ctr, Fac Mat Engn, Fac Chem Engn, Panzhihua 617000, Peoples R China	Chiu, SH (reprint author), Natl Taiwan Univ Sci & Technol, Dept Mat Sci & Engn, Taipei 10607, Taiwan.	schiu@mail.ntust.edu.tw						44	0	0	12	12	SPRINGER	DORDRECHT	VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS	1022-9760	1572-8935		J POLYM RES	J. Polym. Res.	DEC 8	2016	23	12							263	10.1007/s10965-016-1138-7		14	Polymer Science	Polymer Science	EI4BT	WOS:000392438600001		
J	Liu, YJ; Li, S				Liu, Yujun; Li, Shan			Global regularity of the 21/2D magneto-micropolar fluid flows with partial magnetic diffusion	JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS			English	Article						Magneto-micropolar fluid; Global well-posedness; 21/2 dimensions	NAVIER-STOKES EQUATIONS; 3D MHD EQUATIONS; MIXED PARTIAL DISSIPATION; WELL-POSEDNESS; WEAK SOLUTIONS; DIMENSIONS; EXISTENCE; SYSTEM; MAGNETOHYDRODYNAMICS; UNIQUENESS	In this paper, we studied the Cauchy problem of the magneto-micropolar fluid flows in 21/2 dimensions. If the initial data (u(0), w(0), b(0)) is an element of H-2(R-2), we obtain the global regularity of the 21/2D incompressible magneto-micropolar fluid flows with only horizontal magnetic diffusion or vertical magnetic diffusion. This work is inspired by the recent progresses made by Cao, etc., for 2D MHD equations with mixed partial dissipation and magnetic diffusion and Ji, etc., for 21/2D MHD system with mixed partial dissipation and magnetic diffusion. (C) 2016 Elsevier Inc. All rights reserved.	[Liu, Yujun] Panzhihua Univ, Dept Math & Comp, Panzhihua 617000, Peoples R China; [Liu, Yujun] Sichuan Univ, Dept Math, Chengdu 610064, Peoples R China; [Li, Shan] Sichuan Univ, Sch Business, Chengdu 610064, Peoples R China	Li, S (reprint author), Sichuan Univ, Sch Business, Chengdu 610064, Peoples R China.	liuyujun06@sohu.com; lishan@scu.edu.cn			NSFC [11571243]; Sichuan Youth Science Technology Foundation [2014JQ0003]; Panzhihua University Foundation [2013YB11]	This work is supported by NSFC grant No. 11571243 and Sichuan Youth Science Technology Foundation (2014JQ0003) and Panzhihua University Foundation (2013YB11).		25	1	1	2	7	ACADEMIC PRESS INC ELSEVIER SCIENCE	SAN DIEGO	525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA	0022-247X	1096-0813		J MATH ANAL APPL	J. Math. Anal. Appl.	NOV 15	2016	443	2					1267	1292		10.1016/j.jmaa.2016.05.064		26	Mathematics, Applied; Mathematics	Mathematics	DQ5YV	WOS:000379282100037		
J	Liu, YJ; Tang, T; Li, S				Liu, Yujun; Tang, Tong; Li, Shan			A remark on blow-up criterion for 3D compressible magnetohydrodynamic flows with vacuum	APPLIED MATHEMATICS AND COMPUTATION			English	Article						Compressible magnetohydrodynamic flows; Blow-up criterion; Strong solution	NAVIER-STOKES EQUATIONS; BOUNDARY VALUE-PROBLEM; GLOBAL-SOLUTIONS; MHD EQUATIONS; MODEL	In this paper, we concerned a blowup criterion of strong solutions for 3D viscous, compressible magnetohydrodynamic(MHD) flows with vacuum. We proved that any strong solutions of viscous, compressible MHD fluids will blow up in finite time if lim(T -> T*) (parallel to rho parallel to(L infinity(0, T; L s)) + parallel to H parallel to(L infinity(0,T; Ll))) = infinity, for some 1 < s < infinity large enough, and 24/5 <= l <= infinity, provided that the viscosity coefficients satisfy 3 mu > lambda. This work is motivated by the recent works of Wang and Li (2014) and Yu (2013) on blow up criterion for 3D MHD flows. (C) 2016 Elsevier Inc. All rights reserved.	[Liu, Yujun] Panzhihua Univ, Dept Math & Comp, Panzhihua 617000, Peoples R China; [Liu, Yujun] Sichuan Univ, Dept Math, Chengdu 610064, Peoples R China; [Tang, Tong] Hohai Univ, Dept Math, Coll Sci, Nanjing 210098, Jiangsu, Peoples R China; [Li, Shan] Sichuan Univ, Sch Business, Chengdu 610064, Peoples R China	Li, S (reprint author), Sichuan Univ, Sch Business, Chengdu 610064, Peoples R China.	lishan@scu.edu.cn			Sichuan Youth Science Technology Foundation [2014JQ0003]; NSFC [11571243, 11171158, 11526073]; NSF of Jiangsu Province [BK20150794]; Fundamental Research Funds for the Central Universities [2014B13914]	Liu is supported by Sichuan Youth Science Technology Foundation (2014JQ0003) and NSFC Grant no. 11571243. Tang is supported by NSFC Grant nos. 11171158 and 11526073, NSF of Jiangsu Province Grant no. BK20150794 and the Fundamental Research Funds for the Central Universities 2014B13914.		34	0	0	2	4	ELSEVIER SCIENCE INC	NEW YORK	360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA	0096-3003	1873-5649		APPL MATH COMPUT	Appl. Math. Comput.	NOV 1	2016	290						189	200		10.1016/j.amc.2016.05.039		12	Mathematics, Applied	Mathematics	DS4MJ	WOS:000380754900016		
J	Tian, CX				Tian, Congxue			Calcination intensity on rutile white pigment production via short sulfate process	DYES AND PIGMENTS			English	Article						Rutile; Calcination intensity; Unenriched titanyl sulfate; Short sulfate process; Pigment	TITANIUM-DIOXIDE; TRANSFORMATION; PRECIPITATION; KINETICS; ANATASE; TIO2	The rutile titanium dioxide pigment was produced via short sulfate process from unenriched industrial titanyl sulfate solution as raw material. The effects of calcination intensity after crystal transformation on the crystal structure, particle size distribution and pigment performances were investigated. The samples were characterized by TG-DSC, XRD, SEM, particle size distribution test and pigment properties test. The crystal grain size and content for rutile pigment gradually grew as the calcination intensity increasing, with a positive linear correlation. While the blue phase index is negative linear correlation with calcination time. The optimized calcining time at 860 degrees C for rutile pigment production is of 40 min, corresponding calcination intensity of 1,34,277 K min, and the as-prepared rutile pigment is with the, grain size of 110.8 nm, rutile content of 98.3%, suitable and narrow particle size distribution, and the best pigment performances. (C) 2016 Elsevier Ltd. All rights reserved.	[Tian, Congxue] Panzhihua Univ, Panzhihua 617000, Peoples R China; [Tian, Congxue] State Key Lab Vanadium & Titanium Testing, Panzhihua 617000, Peoples R China	Tian, CX (reprint author), Panzhihua Univ, Panzhihua 617000, Peoples R China.; Tian, CX (reprint author), State Key Lab Vanadium & Titanium Testing, Panzhihua 617000, Peoples R China.	tcx7311@163.com			National Natural Science Foundation of China [50804025]; Science and Technology Project of Sichuan Province, China [2014JY0197, 2011GZ0303]; Project of Sichuan Provincial Human Resources and Social Security Department; Science and Technology Project of Panzhihua, China [2013CY-G-8, 2014CY-G-33]	This work has been supported by the National Natural Science Foundation of China (50804025), Science and Technology Project of Sichuan Province, China (2014JY0197, 2011GZ0303), Project of Sichuan Provincial Human Resources and Social Security Department, Science and Technology Project of Panzhihua, China (2013CY-G-8, 2014CY-G-33, Guiding Project).		20	0	0	2	2	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0143-7208	1873-3743		DYES PIGMENTS	Dyes Pigment.	OCT	2016	133						60	64		10.1016/j.dyepig.2016.05.034		5	Chemistry, Applied; Engineering, Chemical; Materials Science, Textiles	Chemistry; Engineering; Materials Science	DT9TF	WOS:000381844500008		
J	Tan, QR; Lin, ZB; Chen, L				Tan, Qianrong; Lin, Zongbing; Chen, Long			Divisibility among power matrices associated with arithmetic functions on finitely many quasi-coprime divisor chains	LINEAR & MULTILINEAR ALGEBRA			English	Article						divisibility; multiplicative function; finitely many quasi-coprime divisor chains; greatest-type divisor; power matrix associated with arithmetic function	GCD-CLOSED SETS; COMMON MULTIPLE MATRICES; LCM MATRICES; MULTIPLICATIVE FUNCTIONS; ASYMPTOTIC-BEHAVIOR; SMITHS DETERMINANT; EVEN FUNCTIONS; CONJECTURE; EIGENVALUES	Let a, b and h be positive integers and S = {x(1), ... , x(h)} be a set of h distinct positive integers. The set S is called a divisor chain if there is a permutation sigma on {1, ... , h} such that x(sigma(1))vertical bar...vertical bar x(sigma(h)). We say that the set S consists of finitely many quasi-coprime divisor chains if we can partition S as S = S-1 boolean OR ... boolean OR S-k, where k >= 1 is an integer and all S-i (1 <= i <= k) are divisor chains such that (max(S-i), max(S-j)) = gcd(S) for any 1 <= i not equal j <= k. For any arithmetic function f, define the function f(a) for any positive integer n by f(a)(n) := (f(n))(a). The matrix (f(a)(S)) is the h x h matrix having f(a) evaluated at the the greatest common divisor of x(i) and x (j) as its (i, j)-entry and the matrix (f(a) [S]) is the h x h matrix having f(a) evaluated at the least common multiple of x(i) and x(j) as its (i, j) entry. In this paper, when f is an integer-valued arithmetic function and S consists of finitely many quasi-coprime divisor chains, we establish the divisibility theorems between the power matrices (f(a)(S)) and (f(b)(S)), and between the power matrices (f(a)[S]) and (f(b)[S]) in the ring M-h(Z) of h x h matrices over integers. This extends Hong's theorem obtained in 2008 and the theorem of Tan and Li gotten in 2013.	[Tan, Qianrong; Lin, Zongbing; Chen, Long] Panzhihua Univ, Sch Math & Comp Sci, Panzhihua, Peoples R China	Lin, ZB (reprint author), Panzhihua Univ, Sch Math & Comp Sci, Panzhihua, Peoples R China.	zongbinglin@sohu.com			Program of Science and Technology Department of Sichuan Province [2013JY0125]	This research was supported partially by Program of Science and Technology Department of Sichuan Province [grant number 2013JY0125].		44	0	0	1	3	TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND	0308-1087	1563-5139		LINEAR MULTILINEAR A	Linear Multilinear Algebra	OCT	2016	64	10					2030	2048		10.1080/03081087.2015.1134430		19	Mathematics	Mathematics	DR7SX	WOS:000380101100009		
J	Zhang, Y; Hui, B; Ye, L				Zhang, Yi; Hui, Bing; Ye, Lin			Preparation and Structure of Poly(vinyl alcohol)/Polyacrylate Elastomer Composite Hydrogels and Their Application in Wastewater Treatment by Immobilizing with Microorganisms	INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH			English	Article							NYLON-6-B-POLYETHER AMINE COPOLYMERS; VULCANIZED POWDERED RUBBER; HIGH THERMAL-CONDUCTIVITY; FREEZING/THAWING METHOD; MECHANICAL-PROPERTIES; RELEASE BEHAVIOR; ULTRAFINE; OIL; NANOCOMPOSITES; DEGRADATION	Poly(vinyl alcohol) (PVA)/powdered ethyl acrylate rubber (ACM) composite hydrogels were prepared through in situ chemical cross-linking. The addition of ACM could accelerate the cross-linking reaction of PVA, and increase pore nucleus, resulting in a decrease of pore size and formation of a homogeneous and compact porous network structure. Under proper content of ACM, the shear elastic modulus (G') and network density (fie) of the composite hydrogels can be improved, leading to an enhancement of the mechanical property and hydraulic shock resistance. The PVA/1.5 wt % ACM hydrogel presented the best long-term hydraulic stability, and the toughening mechanism was studied. The values of oxygen uptake rate and chemical oxygen demand removal rate of PVA/ACM composite hydrogels embedded with microorganism fluctuated with the addition of ACM, and a high microorganism activity can be retained.	[Hui, Bing; Ye, Lin] Sichuan Univ, Polymer Res Inst, State Key Lab Polymer Mat Engn, Chengdu 610065, Peoples R China; [Zhang, Yi] Panzhihua Univ, Coll Biol & Chem Engn, Panzhihua 617000, Peoples R China	Ye, L (reprint author), Sichuan Univ, Polymer Res Inst, State Key Lab Polymer Mat Engn, Chengdu 610065, Peoples R China.	yelinwh@126.com			State Key Laboratory of Polymer Materials Engineering of China [sklpme2016-2-07]	This work was financially supported by State Key Laboratory of Polymer Materials Engineering of China (Grant No. sklpme2016-2-07)		45	0	0	14	17	AMER CHEMICAL SOC	WASHINGTON	1155 16TH ST, NW, WASHINGTON, DC 20036 USA	0888-5885			IND ENG CHEM RES	Ind. Eng. Chem. Res.	SEP 21	2016	55	37					9934	9943		10.1021/acs.iecr.6b02313		10	Engineering, Chemical	Engineering	DX0FU	WOS:000384038000016		
J	Zheng, Y; Liu, J; Cao, ML; Deng, JM; Kou, J				Zheng, Y.; Liu, J.; Cao, M. L.; Deng, J. M.; Kou, J.			Extrication process of chlorogenic acid in Crofton weed and antibacterial mechanism of chlorogenic acid on Escherichia coli	JOURNAL OF ENVIRONMENTAL BIOLOGY			English	Article						Antibacterial activity; Chlorogenic acid; Crofton weed; Extraction; Orthogonal test		Crofton weed is a perennial herb and a biological intruding species. The present study firstly used the orthogonal test to compare the differences in extraction of chlorogenic acid in leaves and stems of Crofton weed by using three kinds of solvents, namely water, ethanol and ethyl acetate. The best effect was found by using ethonolic extraction of chlorogenic acid in Crofton weed. Further, by choosing Escherichia coli as test object, in-vitro antibacterial test was conducted to study the antimicrobial activities of chlorogenic acid by testing a series of indexes before and after the interaction between chlorogenic acid and Escherichia coli, to clarify the antibacterial mechanism of chlorogenic acid on Escherichia coli. Finally, by comparing the antibacterial activities of isochlorogenic acid A on Escherichia coli, it was concluded that both chlorogenic acid and isochlorogenic acid A showed antibacterial activities against Escherichia colt, wherein chlorogenic acid had a better antibacterial effect on Escherichia colt than isochlorogenic acid A.	[Zheng, Y.; Cao, M. L.; Deng, J. M.] Panzhihua Univ, Sch Biol & Chem Engn, Panzhihua 617000, Peoples R China; [Liu, J.; Kou, J.] Panzhihua Xiyu Biotechnol Co Ltd, Panzhihua 617012, Peoples R China	Zheng, Y (reprint author), Panzhihua Univ, Sch Biol & Chem Engn, Panzhihua 617000, Peoples R China.	zheng_yi_2016@163.com			Sichuan Province Science and Technology support program- system engineering construction of comprehensive management and resource utilization [2014SZ0162]	The authors acknowledge the Sichuan Province Science and Technology support program- system engineering construction of comprehensive management and resource utilization (No. 2014SZ0162).		10	0	0	4	4	TRIVENI ENTERPRISES	LUCKNOW	C/O KIRAN DALELA, 1/206 VIKAS NAGAR, KURSI RD, LUCKNOW 226 022, INDIA	0254-8704			J ENVIRON BIOL	J.Environ.Biol.	SEP	2016	37	5			SI		1049	1055				7	Environmental Sciences	Environmental Sciences & Ecology	EB2OB	WOS:000387200600004		
J	Li, D; Wang, YL; Wumaier, T				Li, Dan; Wang, Yuliang; Wumaier, Tuerdi			Quantum and quasi-classical dynamics of reaction H + DN (v=0, 1; j=0) -> HD plus N and its isotopic variants	EUROPEAN PHYSICAL JOURNAL D			English	Article							POTENTIAL-ENERGY SURFACE; TRANSITION-STATE THEORY; WAVE-PACKET DYNAMICS; AB-INITIO; CROSS-SECTIONS; RATE CONSTANTS; SCATTERING; PYROLYSIS; MECHANISM; AMMONIA	Time-dependent wave packet (TDWP) and quasic-classical trajectory (QCT) methods were employed to study the title reaction and its isotopic variants on a new potential energy surface (PES) of 4A '' state over the range of collision energies, starting from the reaction threshold to 1.0 eV. We took the Coriolis coupling (CC) effect into account and presented the comparison between the CC and the centrifugal sudden (CS) approximation calculations. Reaction probabilities obtained using the different methods were thoroughly compared as a function of the collision energy for a series of total angular momentum J values. Significant differences of integral cross section between CC and CS results have been observed. The QCT-calculated cross sections and probabilities reproduced well the CC results over most of the collision energy range. In addition, the attack angle dependent reaction probabilities of the title reaction at J = 0 were calculated. The reaction probabilities were found to be strongly dependent on the attack angle. The influences of the reactant vibration excitation on the attack angle dependent reaction probabilities were also studied in detail.	[Li, Dan] Panzhihua Univ, Sch Mat & Engn, Panzhihua 617000, Peoples R China; [Wang, Yuliang] Naval Aeronaut & Astronaut Univ, Dept Basic Sci, Yantai 264001, Peoples R China; [Wumaier, Tuerdi] Xinjiang Inst Engn, Urumqi 830091, Peoples R China	Wang, YL (reprint author), Naval Aeronaut & Astronaut Univ, Dept Basic Sci, Yantai 264001, Peoples R China.	yarmiay@163.com			Science and Technology Projects of the Xinjiang Uygur Autonomous Region [2013911049]	The authors thank Prof. Ke-li Han for the code and Hong-sheng Zhai for the PES. This work was supported by the Science and Technology Projects of the Xinjiang Uygur Autonomous Region (Grant No. 2013911049).		34	0	0	6	6	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	1434-6060	1434-6079		EUR PHYS J D	Eur. Phys. J. D	AUG 30	2016	70	8							173	10.1140/epjd/e2016-70048-2		8	Optics; Physics, Atomic, Molecular & Chemical	Optics; Physics	DV2HO	WOS:000382741600012		
J	Wu, EH; Zhu, R; Yang, SL; Ma, L; Li, J; Hou, J				Wu, En-hui; Zhu, Rong; Yang, Shao-li; Ma, Lan; Li, Jun; Hou, Jing			Influences of Technological Parameters on Smelting-separation Process for Metallized Pellets of Vanadium-bearing Titanomagnetite Concentrates	JOURNAL OF IRON AND STEEL RESEARCH INTERNATIONAL			English	Article						metallized pellet; smelting; separation; titanium slag; vanadium; vanadium-bearing titanomagnetite concentrate	CARBOTHERMIC REDUCTION; TITANO-MAGNETITE; BEHAVIOR; COAL; IRON; RECOVERY	The smelting-separation process for metallized pellets of vanadium-bearing titanomagnetite concentrates was studied. The influences of smelting temperature, smelting time, and the basicity of the metallized pellet on vanadium and iron recovery were investigated. The characteristics of titanium slag were analyzed using X-ray diffraction, energy dispersive spectroscopy, and mineralographic microscopic analysis. The results demonstrate that appropriate increases in smelting temperature and smelting time can improve the vanadium and iron recovery from metallized pellets and arc beneficial for the slag-iron separation. Although increasing the basicity of the metallized pellet can considerably improve the vanadium and iron recovery, the TiO2 grade of titanium slag was decreased. Under the optimal conditions, 90.17% of vanadium and 92.98% of iron in the metallized pellet were recovered, and the TiO2 grade of titanium slag was 55.01%. It was found that anosovite, augite, spinel, glassiness, and metallic iron were the main mineral phases of the titanium slag.	[Wu, En-hui; Zhu, Rong] Univ Sci & Technol Beijing, Sch Met & Ecol Engn, Beijing 100083, Peoples R China; [Wu, En-hui; Yang, Shao-li; Ma, Lan; Li, Jun; Hou, Jing] Panzhihua Univ, Innovat & Technol Ctr Panxi, Panzhihua 617000, Sichuan, Peoples R China	Yang, SL (reprint author), Panzhihua Univ, Innovat & Technol Ctr Panxi, Panzhihua 617000, Sichuan, Peoples R China.	wuenhui1026@126.com; yangslsl@163.com			National Natural Science Foundation of China [51174122]	Item Sponsored by National Natural Science Foundation of China (51174122)		24	0	0	5	5	JOURNAL IRON STEEL RESEARCH  EDITORIAL BOARD	BEIJING	NO. 76 XUEYUAN SOUTH-ROAD, BEIJING 100081, PEOPLES R CHINA	1006-706X	2210-3988		J IRON STEEL RES INT	J. Iron Steel Res. Int.	JUL	2016	23	7					655	660				6	Metallurgy & Metallurgical Engineering	Metallurgy & Metallurgical Engineering	DV1DC	WOS:000382659100004		
