PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Liao, LM; Li, JF; Lei, GD				Liao, L. -M.; Li, J. -F.; Lei, G. -D.			STRUCTURAL CHARACTERIZATION AND PREDICTION OF KOVATS RETENTION INDICES (RI) FOR ALKYLBENZENE COMPOUNDS	JOURNAL OF STRUCTURAL CHEMISTRY			English	Article						alkylbenzene; retention index; structural descriptors; QSRR	VOLATILE ORGANIC-COMPOUNDS; COMPONENTS; COMFA; QSAR; FLOWERS; VARIETY; ANALOGS; TIMES; MEDV	A new molecular structural characterization (MSC) method called the molecular vertex eigenvalue correlative index (MVECI) is constructed and used to describe the structures of 122 alkylbenzene compounds. Through multiple linear regression (MLR) and stepwise multiple regression (SMR), a quantitative structure-retention relationship (QSRR) model with correlation coefficient (R) of 0.995 is obtained. Through partial least-square regression (PLS), another QSRR model with correlation coefficient (R) of 0.991 is obtained. The estimation stability and prediction ability of the two models are strictly analyzed by both internal and external validations. For the internal validation, the cross-validation (CV) correlation coefficients (R-CV) of the two models are 0.993 and 0.988. For the external validation, the correlation coefficients (R-test) of the two models are 0.996 and 0.995, respectively. The results show that the stability and predictability of the models are good, and the molecular vertex eigenvalue correlative index can successfully describe the structures of alkylbenzene compounds.	[Liao, L. -M.; Li, J. -F.; Lei, G. -D.] Neijiang Normal Univ, Coll Chem & Chem Engn, Neijiang, Sichuan, Peoples R China; [Liao, L. -M.; Li, J. -F.] Chongqing Univ, Coll Chem & Chem Engn, Chongqing, Peoples R China		leigdnjtc@126.com			Foundation of Education Bureau, Sichuan Province [13ZB0003]; Technology Bureau, Sichuan Province [2012j13-141]	This work was supported by the Foundation of Education Bureau, Sichuan Province (13ZB0003) and Technology Bureau, Sichuan Province (2012j13-141).		20	0	0	5	5	MAIK NAUKA/INTERPERIODICA/SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013-1578 USA	0022-4766	1573-8779		J STRUCT CHEM+	J. Struct. Chem.	DEC	2016	57	8					1531	1538		10.1134/S0022476616080060		8	Chemistry, Inorganic & Nuclear; Chemistry, Physical	Chemistry	EI6PI	WOS:000392617500006		
J	Zhou, CW; Zheng, JF; Lei, L; Yuan, DY; Zhu, CK; Ye, H; Zhang, C; Wang, D; Yang, MM; Wu, JJ; Zhu, L; Zeng, BH				Zhou, Chaowei; Zheng, Jinfa; Lei, Luo; Yuan, Dengyue; Zhu, Chengke; Ye, Hua; Zhang, Chi; Wang, Dan; Yang, Minmin; Wu, Jingjing; Zhu, Long; Zeng, Benhe			Evidence that ghrelin may be associated with the food intake of gibel carp (Carassius auratus gibelio)	FISH PHYSIOLOGY AND BIOCHEMISTRY			English	Article						Gibel carp; Ghrelin; Tissue expression; Appetite regulation	COMPLEMENTARY DEOXYRIBONUCLEIC-ACID; TISSUE DISTRIBUTION; CDNA CLONING; OREOCHROMIS-MOSSAMBICUS; SEQUENCE ALIGNMENT; GROWTH-HORMONE; IDENTIFICATION; EXPRESSION; PEPTIDE; PURIFICATION	Ghrelin, a non-amidated peptide hormone, is a potent anorectic neuropeptide implicated in feeding regulation in mammals and non-mammalian vertebrates. However, the involvement of ghrelin in the feeding behavior of teleosts has not been well understood. To better understand the role of ghrelin in the regulation of appetite in fish, in this study, we cloned the cDNAs encoding ghrelin and investigated their mRNA distributions in gibel carp tissues. We also assessed the effects of different nutritional status on ghrelin mRNA abundance. Ghrelin mRNAs were ubiquitously expressed in ten tissues (intestine, liver, brain, mesonephron, head kidney, spleen, skin, heart, muscle, gill and pituitary gland), and relatively high expression levels were detected in the gut. Postprandial studies analysis revealed a significant postprandial decrease in ghrelin mRNA expression in the gut (1 and 3 h after the regular feeding time). In addition, ghrelin mRNA expression in the gut significantly increased at day 7 after fasting and declined sharply after refeeding, which suggested that ghrelin might be involved in the regulation of appetite in gibel carp. Overall, our result provides basis for further investigation into the regulation of feeding in gibel carp.	[Zhou, Chaowei; Zheng, Jinfa; Lei, Luo; Zhu, Chengke; Ye, Hua; Wang, Dan; Yang, Minmin; Wu, Jingjing; Zhu, Long; Zeng, Benhe] Southwest Univ, Dept Aquaculture, Dept Fisheries, Rongchang Campus, Chongqing 402460, Peoples R China; [Yuan, Dengyue] Neijiang Normal Univ, Dept Aquaculture, Coll Life Sci, Neijiang 641000, Sichuan, Peoples R China; [Zhang, Chi] Tibet Acad Agr & Anim Husb Sci, Lhasa 850002, Tibet, Peoples R China	Zhou, CW (reprint author), Southwest Univ, Dept Aquaculture, Dept Fisheries, Rongchang Campus, Chongqing 402460, Peoples R China.	zcwlzq666@163.com			Fundamental Research Funds for the Central Universities [XDJK2016C047]; Youth Foundation of Southwest University Rongchang Campus [132030/20700914]; Ecological Fishery Industry Technology System of Chongqing [134030/40800115]	This study was supported by the Fundamental Research Funds for the Central Universities (No. XDJK2016C047) and the Youth Foundation of Southwest University Rongchang Campus (No. 132030/20700914) and the Ecological Fishery Industry Technology System of Chongqing (No. 134030/40800115).		32	0	0	10	10	SPRINGER	DORDRECHT	VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS	0920-1742	1573-5168		FISH PHYSIOL BIOCHEM	Fish Physiol. Biochem.	DEC	2016	42	6					1637	1646		10.1007/s10695-016-0246-y		10	Biochemistry & Molecular Biology; Fisheries; Physiology	Biochemistry & Molecular Biology; Fisheries; Physiology	EE2IR	WOS:000389407900012	27287038	
J	Luo, WH; Huang, TZ; Li, L; Li, HB; Gu, XM				Luo, Wei-Hua; Huang, Ting-Zhu; Li, Liang; Li, Hou-Biao; Gu, Xian-Ming			Quadratic spline collocation method and efficient preconditioner for the Helmholtz equation with the Sommerfeld boundary conditions	JAPAN JOURNAL OF INDUSTRIAL AND APPLIED MATHEMATICS			English	Article						Helmholtz equations; Sommerfeld boundary conditions; Quadratic spline collocation; Polynomial preconditioner	PARTIAL-DIFFERENTIAL EQUATIONS; ORDER	In this paper, using the quadratic spline collocation method (QSC), we numerically solve the Helmholtz equations with the Sommerfeld boundary conditions. By reordering the unknowns, we obtain a 3 x 3 block linear system. Then, we introduce a two-step preconditioner based on the approximate inverse block polynomial preconditioner. Theoretical analysis show this preconditioner can largely gather the eigenvalues around 1. Numerical examples are presented to test the error of QSC method and check the efficiency of the presented preconditioner.	[Luo, Wei-Hua; Huang, Ting-Zhu; Li, Liang; Li, Hou-Biao; Gu, Xian-Ming] Univ Elect Sci & Technol China, Sch Math Sci, Chengdu 611731, Sichuan, Peoples R China; [Luo, Wei-Hua] Neijiang Normal Univ, Data Recovery Key Lab Sichuan Prov, Neijiang 641112, Sichuan, Peoples R China	Huang, TZ (reprint author), Univ Elect Sci & Technol China, Sch Math Sci, Chengdu 611731, Sichuan, Peoples R China.	huaweiluo2012@163.com; tingzhuhuang@126.com			973 Program [2013CB329404]; NSFC [61370147, 61170309, 11101071, 11301057]; Fundamental Research Funds for the Central Universities; Scientific Reserch Fund of Sichuan Provincial Education Department [15ZA0288]	This research is supported by 973 Program (2013CB329404), NSFC (61370147, 61170309, 11101071, 11301057), the Fundamental Research Funds for the Central Universities and the Scientific Reserch Fund of Sichuan Provincial Education Department (15ZA0288).		38	0	0	1	1	SPRINGER JAPAN KK	TOKYO	CHIYODA FIRST BLDG EAST, 3-8-1 NISHI-KANDA, CHIYODA-KU, TOKYO, 101-0065, JAPAN	0916-7005	1868-937X		JPN J IND APPL MATH	Jpn. J. Ind. Appl. Math.	DEC	2016	33	3					701	720		10.1007/s13160-016-0225-9		20	Mathematics, Applied	Mathematics	EE8RT	WOS:000389894100011		
J	Zhang, LY; He, G; Zhou, DL; Zhou, JB; Yao, QQ				Zhang, Liyuan; He, Gang; Zhou, Dali; Zhou, Jiabei; Yao, Qianqian			Study on transformation mechanism of lithium titanate modified with hydrochloric acid	IONICS			English	Article						Lithium titanate; Adsorption; Dissolution-recrystallization; Rearrangement	IN-SITU HYDROLYSIS; H2TIO3-LITHIUM ADSORBENT; PHASE-TRANSFORMATION; LI2TIO3 PEBBLES; ANATASE; NANOPARTICLES; FABRICATION; LI4TI5O12; RECOVERY; POWDERS	The effects of the concentration of hydrochloric acid and treatment time on the transformation of Li2TiO3 were studied in detail. The results demonstrate that lithium ions are easily removed from the (-133) and (-206) planes. In contrast, Li+ extraction requires a longer time for the (002) and (-131) planes. A mixture of the anatase and rutile phases, pure rutile, and pure anatase can be generated by treating Li2TiO3 with a suitable concentration of hydrochloric acid for an appropriate amount of time. The phase(s) that are present significantly affect the cyclic adsorption performance of a titanium lithium ion sieve and the dissolution of Ti. The transformation from H2TiO3 particles to TiO2 primarily occurs via the dissolution-recrystallization process. The electrophilic H+ and highly electronegative Cl- affect the Ti-O bond, resulting in the destruction of the Ti-O bond in TiO6 octahedrons, promoting the structural rearrangement of anatase to rutile TiO2.	[Zhang, Liyuan] Neijiang Normal Univ, Coll Chem & Chem Engn, Neijiang 641000, Peoples R China; [Zhang, Liyuan; He, Gang; Zhou, Dali; Zhou, Jiabei; Yao, Qianqian] Sichuan Univ, Coll Mat Sci & Engn, Chengdu 610065, Peoples R China	Zhou, DL (reprint author), Sichuan Univ, Coll Mat Sci & Engn, Chengdu 610065, Peoples R China.	zdl@scu.edu.cn						32	0	0	17	17	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	0947-7047	1862-0760		IONICS	Ionics	NOV	2016	22	11					2007	2014		10.1007/s11581-016-1742-x		8	Chemistry, Physical; Electrochemistry; Physics, Condensed Matter	Chemistry; Electrochemistry; Physics	EA1UJ	WOS:000386377100002		
J	Wu, GC; Baleanu, D; Xie, HP; Chen, FL				Wu, Guo-Cheng; Baleanu, Dumitru; Xie, He-Ping; Chen, Fu-Lai			Chaos synchronization of fractional chaotic maps based on the stability condition	PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS			English	Article						Fractional differences; Fractional Lorenz maps; Time scale; Chaos synchronization	LOGISTIC MAP; ASYMPTOTIC STABILITY; DIFFERENCE-EQUATIONS; ORDER; SYSTEMS; ALGORITHM	In the fractional calculus, one of the main challenges is to find suitable models which are properly described by discrete derivatives with memory. Fractional Logistic map and fractional Lorenz maps of Riemann-Liouville type are proposed in this paper. The general chaotic behaviors are investigated in comparison with the Caputo one. Chaos synchronization is designed according to the stability results. The numerical results show the method's effectiveness and fractional chaotic map's potential role for secure communication. (C) 2016 Published by Elsevier B.V.	[Wu, Guo-Cheng] Neijiang Normal Univ, Coll Math & Informat Sci, Data Recovery Key Lab Sichuan Prov, Neijiang 641100, Peoples R China; [Baleanu, Dumitru] Cankaya Univ, Dept Math, TR-06530 Ankara, Turkey; [Baleanu, Dumitru] Inst Space Sci, Magurele, Romania; [Wu, Guo-Cheng; Xie, He-Ping] Sichuan Univ, Coll Water Resource & Hydropower, Chengdu 610065, Peoples R China; [Chen, Fu-Lai] Xiangnan Univ, Dept Math, Chenzhou 423000, Peoples R China	Baleanu, D (reprint author), Cankaya Univ, Dept Math, TR-06530 Ankara, Turkey.	wuguocheng@gmail.com; dumitru@cankaya.edu.tr; xiehp@scu.edu.cn; cflmath@163.com			NSFC [11301257]; Chinese Ministry of Education Comprehensive Reform Program for Specialty of Mathematics and Applied Mathematics [ZG0464]; Sichuan Provincial Education Department Comprehensive Reform Program for Specialty of Mathematics and Applied Mathematics [01249]	This study was financially supported by the NSFC (Grant No. 11301257), Chinese Ministry of Education Comprehensive Reform Program for Specialty of Mathematics and Applied Mathematics (Grant No. ZG0464) and Sichuan Provincial Education Department Comprehensive Reform Program for Specialty of Mathematics and Applied Mathematics (Grant No. 01249).		42	10	10	23	50	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0378-4371	1873-2119		PHYSICA A	Physica A	OCT 15	2016	460						374	383		10.1016/j.physa.2016.05.045		10	Physics, Multidisciplinary	Physics	DQ3HL	WOS:000379093300036		
J	Yang, ZJ; Linghu, RF; Gao, QH; Xiong, HN; Xu, ZJ; Tang, L; Jia, GZ; Guo, YD				Yang Ze-Jin; Linghu Rong-Feng; Gao Qing-He; Xiong Heng-Na; Xu Zhi-Jun; Tang Ling; Jia Guo-Zhu; Guo Yun-Dong			Magnetic moment collapse induced axial alternative compressibility of Cr2TiAlC2 at 420 GPa from first principle	SCIENTIFIC REPORTS			English	Article							MAX-PHASE; 1ST-PRINCIPLES; STABILITY; BEHAVIOR; CR2GEC; CR	The electronic structure and thermodynamical properties of Cr2TiAlC2 are studied by first principles under pressure. The obtained results observed that the ferromagnetic order is the most stable ground state and the magnetic moment will collapse at about 50 GPa. As a result, the lattice a axis becomes stiffer above about 420 GPa, ultimately presenting the same axial compressibility trends with those of nonmagnetic compounds Mo2TiAlC2 and hypothetical Cr2TiAlC2. The elastic constants and phonon dispersion curves demonstrate the structural stability during the disappearance of magnetic moment and occurrence of axial alternative compressibility. The density of states and energy band calculations confirmed the existence of magnetic moment of Cr2TiAlC2 at 0 GPa and disappearance at high pressures above 50 GPa. Evolutions of magnetic moment collapse with pressure are confirmed by a variety of properties. The obtained gruneisen parameter and thermal expansion coefficients show the maximum value among the known MAX phases, to date and to the author's knowledge.	[Yang Ze-Jin; Xiong Heng-Na; Xu Zhi-Jun; Tang Ling] Zhejiang Univ Technol, Sch Sci, Hangzhou 310023, Zhejiang, Peoples R China; [Yang Ze-Jin; Tang Ling] Iowa State Univ, Ames Lab, Dept Energy, Ames, IA 50011 USA; [Yang Ze-Jin; Tang Ling] Iowa State Univ, Dept Phys & Astron, Ames, IA 50011 USA; [Linghu Rong-Feng] Guizhou Educ Univ, Sch Phys & Elect Sci, Guiyang 550018, Peoples R China; [Gao Qing-He] Northeastern Univ, Coll Sci, Shenyang 110004, Peoples R China; [Gao Qing-He] Liaoning Univ Tradit Chinese Med, Informat Engn Coll, Shenyang 110847, Peoples R China; [Jia Guo-Zhu] Sichuan Normal Univ, Coll Phys & Elect Engn, Chengdu 610068, Peoples R China; [Guo Yun-Dong] Neijiang Normal Univ, Coll Engn & Technol, Neijiang 641112, Peoples R China	Yang, ZJ (reprint author), Zhejiang Univ Technol, Sch Sci, Hangzhou 310023, Zhejiang, Peoples R China.; Yang, ZJ (reprint author), Iowa State Univ, Ames Lab, Dept Energy, Ames, IA 50011 USA.; Yang, ZJ (reprint author), Iowa State Univ, Dept Phys & Astron, Ames, IA 50011 USA.; Linghu, RF (reprint author), Guizhou Educ Univ, Sch Phys & Elect Sci, Guiyang 550018, Peoples R China.	zejinyang@zjut.edu.cn; linghu@gznu.edu.cn; g308yd@126.com			China Scholarship Council; Natural Science Foundation of China [11304279, 11364007, 11347220, 11404287]; Natural Science Foundation of Zhejiang Province, China [LY16A040013, LQ14A04003]; Science and Technology Foundation from Ministry of Education of Liaoning Province [L2015333]; Science and Technology Foundation from Guizhou Province [J [2013]2242]	Yang Ze-Jin and Tang Ling acknowledge the financial support from the China Scholarship Council and the hospitality of Ames Lab at Department of Energy and Iowa State University of United States. Projects supported by the Natural Science Foundation of China (Grant Nos: 11304279, 11364007, 11347220, and 11404287), Natural Science Foundation of Zhejiang Province, China (Grant Nos: LY16A040013 and LQ14A04003), Science and Technology Foundation from Ministry of Education of Liaoning Province (Grant No: L2015333), and the Science and Technology Foundation from Guizhou Province (Grant No: J [2013]2242).		46	0	0	10	10	NATURE PUBLISHING GROUP	LONDON	MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND	2045-2322			SCI REP-UK	Sci Rep	SEP 26	2016	6								34092	10.1038/srep34092		10	Multidisciplinary Sciences	Science & Technology - Other Topics	DX0KE	WOS:000384049400001		
J	Wei, M; Sun, YH; Wu, X; Wen, W				Wei, Min; Sun, Yuanhua; Wu, Xi; Wen, Wu			Gain enhancement for wideband end-fire antenna design with artificial material	SPRINGERPLUS			English	Article						Wideband; End-fire antenna; Gain enhancement; Split-ring resonators; Artificial material	METAMATERIALS; RESONATORS	Gain enhancement wideband end-fire antenna is proposed in this paper. The proposed antenna can achieve gain enhancement by loading novel artificial materials structures (Split-ring Resonators) in the end-fire direction while broad bandwidth is realized by using elliptic dipole elements and a microstrip to coplanar balun. The measurements show that the proposed antenna have around 5-8 dB gain in the working band (5-11 GHz), which is around 2 dB more than the unloaded one. This antenna can be used in target recognition systems for its advantages of end-fire radiation broad bandwidth and high gain.	[Wei, Min; Wu, Xi; Wen, Wu] Chengdu Univ Informat Technol, Coll Comp Sci, Xuefu Rd, Chengdu 610225, Peoples R China; [Sun, Yuanhua] Neijiang Normal Univ, Coll Comp Sci, Dongtong Rd, Neijiang 641100, Peoples R China	Sun, YH (reprint author), Neijiang Normal Univ, Coll Comp Sci, Dongtong Rd, Neijiang 641100, Peoples R China.	sunyuanhua17@hotmail.com			Chengdu University of Information Technology	We wish to express our gratitude to the referee for his/her invaluable comments and suggestions. This work was supported by Chengdu University of Information Technology.		14	0	0	2	2	SPRINGER INTERNATIONAL PUBLISHING AG	CHAM	GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND	2193-1801			SPRINGERPLUS	SpringerPlus	SEP 15	2016	5								1571	10.1186/s40064-016-3039-y		9	Multidisciplinary Sciences	Science & Technology - Other Topics	EH5GD	WOS:000391799700002	27652144	
J	El-Nabulsi, RA				El-Nabulsi, Rami Ahmad			Generalized Klein-Gordon and Dirac Equations from Nonlocal Kinetic Approach	ZEITSCHRIFT FUR NATURFORSCHUNG SECTION A-A JOURNAL OF PHYSICAL SCIENCES			English	Article						Generalized Klein-Gordon and Dirac Equations; Higher-Order Euler-Lagrange Equations; Nonlocal-in-Time Kinetic Energy; Nonlocal in Space-Time; Spinor Field	STOCHASTIC QUANTIZATION; DERIVATION; MECHANICS; DYNAMICS; FIELD	In this note, I generalized the Klein-Gordon and the Dirac equations by using Suykens's nonlocal-in-time kinetic energy approach, which is motivated from Feynman's kinetic energy functional formalism where the position differences are shifted with respect to one another. I proved that these generalized equations are similar to those obtained in literature in the presence of minimal length based on the Quesne-Tkachuk algebra.	[El-Nabulsi, Rami Ahmad] Neijiang Normal Univ, Coll Math & Informat Sci, Neijiang 641112, Sichuan, Peoples R China; [El-Nabulsi, Rami Ahmad] Athens Inst Educ & Res, Athens, Greece	El-Nabulsi, RA (reprint author), Neijiang Normal Univ, Coll Math & Informat Sci, Neijiang 641112, Sichuan, Peoples R China.; El-Nabulsi, RA (reprint author), Athens Inst Educ & Res, Athens, Greece.	nabulsiahmadrami@yahoo.fr						36	0	0	0	0	WALTER DE GRUYTER GMBH	BERLIN	GENTHINER STRASSE 13, D-10785 BERLIN, GERMANY	0932-0784	1865-7109		Z NATURFORSCH A	Z. Naturfors. Sect. A-J. Phys. Sci.	SEP	2016	71	9					817	821		10.1515/zna-2016-0226		5	Chemistry, Physical; Physics, Multidisciplinary	Chemistry; Physics	EA8SA	WOS:000386907700005		
J	Ye, JH; Song, L; Zhou, WJ; Ju, T; Yin, ZB; Yan, SS; Zhang, Z; Li, J; Yu, DG				Ye, Jian-Heng; Song, Lei; Zhou, Wen-Jun; Ju, Tao; Yin, Zhu-Bao; Yan, Si-Shun; Zhang, Zhen; Li, Jing; Yu, Da-Gang			Selective Oxytrifluoromethylation of Allylamines with CO2	ANGEWANDTE CHEMIE-INTERNATIONAL EDITION			English	Article						carbon dioxide; copper; fluorine; heterocycles; reaction mechanisms	COPPER-CATALYZED TRIFLUOROMETHYLATION; C-H BONDS; CARBON-DIOXIDE; ELECTROPHILIC TRIFLUOROMETHYLATION; UNACTIVATED ALKENES; ROOM-TEMPERATURE; ALLYLIC ALCOHOLS; 3-COMPONENT OXYTRIFLUOROMETHYLATION; ORGANIC-SYNTHESIS; RECENT PROGRESS	Reported is the first oxy-trifluoromethylation of allylamines with carbon dioxide (CO2) using copper catalysis, thus leading to important CF3-containing 2-oxazolidones. It is also the first time CO2, a nontoxic and easily available greenhouse gas, has been used to tune the difunctionalization of alkenes from amino-to oxy-trifluoromethylation. Of particular note, this multicomponent reaction is highly chemo-, regio-, and diastereoselective under redox-neutral and mild reaction conditions. Moreover, these reactions feature good functional-group tolerance, broad substrate scope, easy scalability and facile product diversification. The important products could also be formed with either spirocycles or two adjacent tetrasubstituted carbon centers.	[Ye, Jian-Heng; Song, Lei; Zhou, Wen-Jun; Ju, Tao; Yin, Zhu-Bao; Yan, Si-Shun; Zhang, Zhen; Li, Jing; Yu, Da-Gang] Sichuan Univ, Coll Chem, Minist Educ, Key Lab Green Chem & Technol, 29 Wangjiang Rd, Chengdu 610064, Peoples R China; [Zhou, Wen-Jun] Neijiang Normal Univ, Coll Chem & Chem Engn, Neijiang 641112, Peoples R China	Yu, DG (reprint author), Sichuan Univ, Coll Chem, Minist Educ, Key Lab Green Chem & Technol, 29 Wangjiang Rd, Chengdu 610064, Peoples R China.	dgyu@scu.edu.cn	Yu, Da-Gang/D-3867-2016	Yu, Da-Gang/0000-0001-5888-1494; zhang, zhen/0000-0002-3538-6519; Song, Lei/0000-0003-2454-1576	1000-Youth Talents Plan; Sichuan University; "973" Project from the MOST of China [2015CB856600]; National Natural Science Foundation of China [21502124]	We thank the "1000-Youth Talents Plan", a Start-up Grant from Sichuan University, the "973" Project from the MOST of China (2015CB856600), and the National Natural Science Foundation of China (21502124) for financial support. We thank Prof. Jason J. Chruma (Sichuan University) for helpful manuscript revisions. We also thank the comprehensive training platform of the Specialized Laboratory in the College of Chemistry at Sichuan University for compound testing.		100	6	6	37	49	WILEY-V C H VERLAG GMBH	WEINHEIM	POSTFACH 101161, 69451 WEINHEIM, GERMANY	1433-7851	1521-3773		ANGEW CHEM INT EDIT	Angew. Chem.-Int. Edit.	AUG 16	2016	55	34					10022	10026		10.1002/anie.201603352		5	Chemistry, Multidisciplinary	Chemistry	DW0ZT	WOS:000383373000038	27411560	
J	You, YH; Sun, XB; Cui, QB; Wang, B; Ma, J				You, Yaohui; Sun, Xubing; Cui, Qiubing; Wang, Bi; Ma, Jing			The Retention and Drainage Behavior of Cross-linked Gelatin with Glutaraldehyde in a Papermaking System	BIORESOURCES			English	Article						Low-grade industrial gelatin; Cross-linked gelatin; Retention; Drainage	FILLER FLOCCULATION; QUATERNARY CHITOSAN; COLLAGEN; AID; PERFORMANCE; SUSPENSIONS; LINKING	A type of novel retention aid, cross-linked gelatin, was prepared using low-grade industrial gelatin as the raw material and glutaraldehyde as the crosslinking agent. The structure of cross-linked gelatin was characterized according to the crosslinking degree, isoelectric point, Fourier transform infrared spectroscopy, and ultraviolet-visible spectroscopy. The results indicated that the crosslinking reaction was successfully performed between the primary amine group of gelatin and the aldehyde group of glutaraldehyde, resulting in the formation of a Schiff base structure. The retention test showed that the addition of cross-linked gelatin remarkably improved the retention of filler. This effect was mainly attributed to the fact that cross-linked gelatin, with a high molecular weight and highly branched structure, exhibited favorable bridging flocculation and induced filler aggregation into the flocs, which were retained in the paper sheet. The drainage test showed that the cross-linked gelatin exhibited a poor drainage effect, which was attributed to the synergic effects of excellent hydrophilicity, film forming property, and sealing property.	[You, Yaohui; Sun, Xubing; Cui, Qiubing; Wang, Bi; Ma, Jing] Neijiang Normal Univ, Sichuan Prov Higher Learning Inst, Key Lab Fruit Waste Treatment & Resource Recyclin, Neijiang 641100, Sichuan, Peoples R China	Ma, J (reprint author), Neijiang Normal Univ, Sichuan Prov Higher Learning Inst, Key Lab Fruit Waste Treatment & Resource Recyclin, Neijiang 641100, Sichuan, Peoples R China.	majingchemistry@163.com			National Natural Science Foundation of China [21506103]; Science and Technology Support Program of Sichuan Province [2015GZ0170]; Major Training Program of the Education Department of Sichuan Province [15CZ0026]	This work was financially supported by the National Natural Science Foundation of China (No. 21506103), the Science and Technology Support Program of Sichuan Province (No. 2015GZ0170), and the Major Training Program of the Education Department of Sichuan Province (No. 15CZ0026).		28	0	0	3	3	NORTH CAROLINA STATE UNIV DEPT WOOD & PAPER SCI	RALEIGH	CAMPUS BOX 8005, RALEIGH, NC 27695-8005 USA	1930-2126			BIORESOURCES	BioResources	AUG	2016	11	3					6162	6173		10.15376/biores.11.3.6162-6173		12	Materials Science, Paper & Wood	Materials Science	DY2KV	WOS:000384922400041		
