PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Su, Q; Xu, XH; Zhou, L				Su, Qing; Xu, Xiaohong; Zhou, Lu			QSAR model of triterpene derivatives as potent anti-HIV agents	MOLECULAR SIMULATION			English	Article						triterpene derivatives; anti-HIV; artificial neural networks; QSAR	BETULINIC ACID-DERIVATIVES; STRUCTURALLY RELATED TRITERPENOIDS; AIDS AGENTS; REVERSE-TRANSCRIPTASE; INHIBITORS; IC9564	Triterpenes derivatives are a promising class of anti-human immunodeficiency virus ( anti- HIV) agents. A series of triterpene derivatives have been studied for quantitative structure- activity relationship with multiple linear regression (MLR) and artificial neural networks ( ANN). The linear model with MLR performed poorly while the nonlinear model with ANN preformed well. For the ANN model with architecture of 5- 6- 1, the root mean square error for the training set, validation set and the prediction set are 0.2019, 0.2214 and 0.2883, respectively, and the r for the training set, validation set and the prediction set are 0.8895, 0.8843 and 0.8819, respectively. In this study, different methods were used to select the most relevant descriptors for MLR and ANN. Finally, five descriptors, EB, LOGP, HOMO, HE and v, were selected for both MLR and ANN. The result indicates these descriptors are playing an important role on the anti- HIV activity of triterpene derivatives.	[Su, Qing; Xu, Xiaohong] Chengdu Med Coll, Dept Pharm, Chengdu, Peoples R China; [Zhou, Lu] Sichuan Univ, Dept Chem Engn, Chengdu, Peoples R China	Xu, XH (reprint author), Chengdu Med Coll, Dept Pharm, Chengdu, Peoples R China.	xiaohong65523@yahoo.com.cn			West China Center of Medical Sciences	This work was supported in part by the West China Center of Medical Sciences.		23	3	3	0	4	TAYLOR & FRANCIS LTD	ABINGDON	4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	0892-7022			MOL SIMULAT	Mol. Simul.		2008	34	7					651	659		10.1080/08927020802036054		9	Chemistry, Physical; Physics, Atomic, Molecular & Chemical	Chemistry; Physics	338CI	WOS:000258482200001		
J	Li, LM; Li, GY; Ding, LS; Lei, C; Yang, LB; Zhao, Y; Weng, ZY; Li, SH; Huang, SX; Xiao, WL; Han, QB; Sun, HD				Li, Li-Mei; Li, Guo-You; Ding, Li-Sheng; Lei, Chun; Yang, Li-Bin; Zhao, Yong; Weng, Zhi-Ying; Li, Sheng-Hing; Huang, Sheng-Xiong; Xiao, Wei-Lie; Han, Quan-Bin; Sun, Han-Dong			Sculponins A-C, three new 6,7-seco-ent-kauranoids from Isodon sculponeatus	TETRAHEDRON LETTERS			English	Article							RUBESCENS VAR.-TAIHANGENSIS; ENT-KAURANE DITERPENOIDS	Three new 6,7-seco-eni-kauranoids (1-3) were isolated and structures were elucidated from Isodon sculponeatus. Diterpenoids 1-3 possessing multicyclic skeletons formed via oxygen atoms are all unprecedented among ent-kauranes. Compound I displayed significant cytotoxic activity against K562, A549, and HepG2 human tumor cell lines, with IC(50) values of 1.4, 2.3, and 2.0 mu M, respectively, equal to the positive control. Plausible pathways for the biosynthesis of I and 2 from one related diterpenoid were also postulated. (C) 2007 Elsevier Ltd. All rights reserved.	[Li, Li-Mei; Lei, Chun; Yang, Li-Bin; Zhao, Yong; Weng, Zhi-Ying; Li, Sheng-Hing; Huang, Sheng-Xiong; Xiao, Wei-Lie; Han, Quan-Bin; Sun, Han-Dong] Chinese Acad Sci, Kunming Inst Bot, State Key Lab Phytochem & Plant Resources W China, Kunming 650204, Peoples R China; [Li, Li-Mei] Chengdu Med Coll, Ctr Sci Res, Chengdu 610083, Peoples R China; [Li, Guo-You; Ding, Li-Sheng] Chinese Acad Sci, Chengdu Inst Biol, Chengdu 610041, Peoples R China	Sun, HD (reprint author), Chinese Acad Sci, Kunming Inst Bot, State Key Lab Phytochem & Plant Resources W China, Kunming 650204, Peoples R China.	hdsun@mail.kib.ac.cn						21	15	15	0	4	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0040-4039			TETRAHEDRON LETT	Tetrahedron Lett.	DEC 24	2007	48	52					9100	9103		10.1016/j.tetlet.2007.10.133		4	Chemistry, Organic	Chemistry	244DO	WOS:000251846400008		
J	Yuan, Z; Zhao, X; Yan, F; Zhao, J; Liu, H; Xiong, S; Li, M; Chen, L; Wei, Y				Yuan, Zhu; Zhao, Xinyu; Yan, Fei; Zhao, Jian; Liu, Huanyi; Xiong, Shaoquan; Li, Mong; Chen, Lijuan; Wei, Yuquan			beta-synucleln protein from Xenopus laevis: Overexpression in Escherichia coli of the GST-Tagged protein and production of polyclonal antibodies	BIOCHEMISTRY-MOSCOW			English	Article						Xenopus laevis; beta-synuclein; Escherichia coli; beta-synuclein expression; antibody production	CENTRAL-NERVOUS-SYSTEM; ALPHA-SYNUCLEIN; PARKINSONS-DISEASE; 14-KDA PROTEIN; PRECURSOR PROTEIN; PHOSPHOLIPASE D2; GAMMA-SYNUCLEIN; NEURONAL CELLS; BRAIN; GENE	This report presents a procedure to obtain and purify recombinant P-synuclein from Xenapus laevis expressed in Escherichia coli as a glutathione-S-transferase fusion protein. After identification by mass spectrometry, the protein was then used to raise anti-X laevis P-synuclein polyclonal antibodies, which were suitable to detect the presence of P-synuclein in X laevis brain by Western blot. This is the first report of a positive identification of P-synuclein in an amphibian at the protein level.	Sichuan Univ, W China Med Sch, W China Hosp, State Key Lab Biotherapy, Chengdu 610041, Sichuan, Peoples R China; Sichuan Univ, Coll Life Sci, Chengdu 610041, Peoples R China; Chengdu Med Coll, Dept Immunol, Chengdu 610083, Sichuan, Peoples R China	Chen, L (reprint author), Sichuan Univ, W China Med Sch, W China Hosp, State Key Lab Biotherapy, Chengdu 610041, Sichuan, Peoples R China.	lijuan17@hotmail.com						40	2	3	0	2	MAIK NAUKA/INTERPERIODICA/SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013-1578 USA	0006-2979			BIOCHEMISTRY-MOSCOW+	Biochem.-Moscow	NOV	2007	72	11					1270	1278		10.1134/S0006297907110144		9	Biochemistry & Molecular Biology	Biochemistry & Molecular Biology	236BL	WOS:000251277900014	18205611	
J	Liang, YJ; Li, SR; Guo, Q; Zhang, YL; Wen, C; Zou, Q; Su, BY				Liang, Yajie; Li, Shurong; Guo, Qiang; Zhang, Yanliang; Wen, Can; Zou, Qiang; Su, Bingyin			Complement 3-deficient mice are not protected against MPTP-induced dopaminergic neurotoxicity	BRAIN RESEARCH			English	Article						neuroinflammation; complement 3; Parkinson's disease; knockout mice; MPTP	CENTRAL-NERVOUS-SYSTEM; 1-METHYL-4-PHENYL-1,2,3,6-TETRAHYDROPYRIDINE MOUSE MODEL; MICROGLIAL NADPH OXIDASE; PARKINSONS-DISEASE; SUBSTANTIA-NIGRA; ACTIVATION; NEURONS; C3A; NEURODEGENERATION; EXPRESSION	Recent studies have invoked inflammation as a major contributor to the pathogenesis of Parkinson's disease (PD). Emerging evidence indicated that components of complement system may be involved in such disorder and contribute to its development. We thus observed the influence of deficiency of complement 3 (C3), the key component of complement system, on the death of dopaminergic neurons in substantia nigra pays compacta (SNpc) and the loss of dopaminergic fibers in striatum induced by acute or chronic administration of 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP). Immunohistochemical staining of dopaminergic neurons in SNpc and neurochemical analysis of dopamine and its metabolites in striata revealed that there was no significant difference between the two genotypes. Longer survival time also indicated that C3 might not mediate the spontaneous recovery of dopaminergic fibers in mouse striaturn acutely challenged by MPTP. We conclude that, despite growing evidence indicating the involvement of complement system in the pathogenesis of PD, our data do not support a role for C3 in this established model of PD, as indicated by results from HPLC analysis and immunohistochemical staining. (C) 2007 Elsevier B.V. All rights reserved.	Chengdu Med Coll, Dept Histol & Embryol, Sichuan Key Lab Dev & Regenerat, Chengdu 610083, Peoples R China; Chengdu Med Coll, Dept Immunol, Chengdu 610083, Peoples R China; Mil Med Univ 3, Dept Neurobiol, Chongqing 400038, Peoples R China; Chengdu Med Coll, Dept Pathol, Chengdu 610083, Peoples R China	Zou, Q (reprint author), Chengdu Med Coll, Dept Histol & Embryol, Sichuan Key Lab Dev & Regenerat, Chengdu 610083, Peoples R China.	qiangzou99@gmail.com; subingyin@yahoo.com.cn	Liang, Yajie/H-5013-2016	Liang, Yajie/0000-0002-4798-4882				37	8	8	0	5	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0006-8993			BRAIN RES	Brain Res.	OCT 31	2007	1178						132	140		10.1016/j.brainres.2007.08.033		9	Neurosciences	Neurosciences & Neurology	233VH	WOS:000251117900015	17900537	
J	Wang, GC; Chen, T; Zhang, T; Deng, L; Zheng, ZJ				Wang Guang-chang; Chen Tao; Zhang Ting; Deng Li; Zheng Zhi-jian			A measurement of spontaneous magnetic field by satellites structures of harmonic spectrum	SPECTROSCOPY AND SPECTRAL ANALYSIS			Chinese	Article						femtosecond laser; harmonic spectrum; satellites structures; spontaneous magnetic field; red-shift	LASER-PLASMA INTERACTION; HIGH-INTENSITY; SOLID TARGETS; SHORT-PULSE; EMISSION; GENERATION; TRANSPORT; WAVES; REAR	The satellites structures of doubling harmonic spectrum and tripling harmonic spectrum were measured at the reflection direction of laser wave from the front side of targets, employing OMA optical multi-channel spectrometer during the interactions of femtosecond laser with solid targets. The satellites structures of red-shift harmonic spectrum of 2(omega o) and 3(omega o) were observed. Under the intensity of similar to 10(18) W center dot cm(-2), the result of measurement indicates that the spontaneous magnetic field was all less than 1 MGs level by analyzing the satellites structures of doubling harmonic spectrum and tripling harmonic spectrum during the laser-plasma interaction. With increasing the intensity of the laser pulse, the peak of the red-shift moves further to the long wavelength side causing the broadening of the spectrum. The measurements of the spontaneous magnetic field provide a basis of diagnosing the movement of the critical surface in the laser-plasma interaction process.	Chengdu Med Coll, Teaching & Res Sect Phys, Chengdu 610083, Peoples R China; China Acad Engn Phys, Res Ctr Laser Fus, Mianyang 621900, Peoples R China	Wang, GC (reprint author), Chengdu Med Coll, Teaching & Res Sect Phys, Chengdu 610083, Peoples R China.	wgchang@tom.com						19	0	0	0	0	BEIJING UNIV PRESS	BEIJING	HAIDIAN-QU, BEIJING 100871, PEOPLES R CHINA	1000-0593			SPECTROSC SPECT ANAL	Spectrosc. Spectr. Anal.	OCT	2007	27	10					1917	1920				4	Spectroscopy	Spectroscopy	229HU	WOS:000250794700003		
J	Yi, T; Zhang, H; Xie, J; Xue, D				Yi, Tao; Zhang, Hao; Xie, Jing; Xue, Dan			A new procedure for the preparative separation and isolation of Z-ligustilide from the roots of Angelica sinensis	JOURNAL OF SEPARATION SCIENCE			English	Article						Angelica sinensis; semipreparative HPLC; shielding gas; Z-ligustilide	PERFORMANCE LIQUID-CHROMATOGRAPHY; SOLID-PHASE EXTRACTION; MEDICINAL-PLANTS; SENKYUNOLIDE-A; BONDED SILICA; CHUANXIONG; HPLC; PHARMACEUTICALS; PHTHALIDES; ACID	A new procedure for the separation and isolation of Z-ligustilide from the roots of Angelica sinensis (AS) was developed, and the storage conditions for Z-ligustilide were optimized. Using the present procedure, Z-ligustilide was enriched by decomposing the Z-ligustilide dimers yielding Z-ligustilide and dissolving the polar impurities in hot water. Then, the crude Z-ligustilide was further purified by a semipreparative HPLC system. The spiked and nonspiked samples were used for the evaluation of the proposed procedure. Recoveries obtained varied from 86.2 to 90.7% and RSDs from 4.0 to 6.6%. The yield and purity of the isolated Z-ligustilide were found to be 4.57 mg/g and 99.6%, respectively. The results of stability tests have shown that the presence of oxidant contributes to Z-ligustilide degradation, therefore argon was chosen as a shielding gas for storage. The overall procedure is efficient and convenient which is considered suitable for the preparative separation of Z-ligustilide from AS.	Sichuan Univ, W China Sch Pharm, Chengdu 610041, Sichuan, Peoples R China; Hong Kong Baptist Univ, Sch Chinese Med, Res & Dev Div, Kowloon, Hong Kong, Peoples R China; Chengdu Med Coll, Dept Pharm, Chengdu, Sichuan, Peoples R China	Zhang, H (reprint author), Sichuan Univ, W China Sch Pharm, 17 Sect 3,Ren Min Nan Lu Rd, Chengdu 610041, Sichuan, Peoples R China.	zhanghhx@vip.sina.com	YI, Tao/N-6724-2013	YI, Tao/0000-0002-4089-3611				27	7	14	1	12	WILEY-V C H VERLAG GMBH	WEINHEIM	BOSCHSTRASSE 12, D-69469 WEINHEIM, GERMANY	1615-9306	1615-9314		J SEP SCI	J. Sep. Sci.	AUG	2007	30	12					1973	1978		10.1002/jssc.200700001		6	Chemistry, Analytical	Chemistry	198QD	WOS:000248641700023	17638355	
J	Guo, Q; Li, SR; Su, BY				Guo, Qiang; Li, Shurong; Su, Bingyin			Expression of oligodendrocyte myelin glycoprotein and its receptor NgR after the injury of rat central nervous system	NEUROSCIENCE LETTERS			English	Article						OMgp; Nogo receptor; CNS; regeneration	NOGO RECEPTOR; NEURITE OUTGROWTH; WHITE-MATTER; IDENTIFICATION; INHIBITOR; REGENERATION; NEURONS; GROWTH; LIGAND	Oligodendrocyte myelin glycoprotein (OMgp) is one kind of myelin-derived inhibitor, which strongly inhibits axonal regeneration through binding to its receptor NgR after the injury to the adult central nervous system (CNS). However, expression of OMgp and NgR after the adult spinal cord injury (SCI) remains unclear. Study on these problems will help to understand more comprehensively about the functions of these proteins in CNS during regeneration. Here, by using immunohistochemistry and reverse transcriptase PCR (RT-PCR), we found that after SCI, both OMgp and NgR expressions were detected in neurons and oligodendrocytes with a similar change profile that increased immediately and decreased gradually. We also found that the expression of ONlgp is not limited in oligodendrocytes and its receptor NgR is not limited in neurons. They both can be expressed by these two kinds of cells. The roles of these factors in CNS regeneration require further study. (c) 2007 Elsevier Ireland Ltd. All rights reserved.	Third Mil Med Univ, Dept Neurobiol, Chongqing 400038, Peoples R China; Chengdu Med Coll, Dept Pathol, Chengdu 610083, Peoples R China; Chengdu Med Coll, Sichuan Key Lab Dev & Regenerat, Dept Histol & Embryol, Chengdu 610083, Peoples R China	Li, SR (reprint author), Third Mil Med Univ, Dept Neurobiol, Chongqing 400038, Peoples R China.	Isrsu1@yahoo.com.cn; subingyin@yahoo.com.cn						16	13	17	0	0	ELSEVIER IRELAND LTD	CLARE	ELSEVIER HOUSE, BROOKVALE PLAZA, EAST PARK SHANNON, CO, CLARE, 00000, IRELAND	0304-3940			NEUROSCI LETT	Neurosci. Lett.	JUL 11	2007	422	2					103	108		10.1016/j.neulet.2007.05.034		6	Neurosciences	Neurosciences & Neurology	203MU	WOS:000248979500004	17630211	
J	Deng, SS; Zhou, HY; Xiong, RH; Lu, YG; Yan, DZ; Xing, TY; Dong, LH; Tang, EJ; Yang, HJ				Deng, Shishan; Zhou, Hongying; Xiong, Ruohong; Lu, Youguang; Yan, Dazhong; Xing, Tianyong; Dong, Lihua; Tang, Enjie; Yang, Huijun			Over-expression of genes and proteins of ubiquitin specific peptidases (USPs) and proteasome subunits (PSs) in breast cancer tissue observed by the methods of RFDD-PCR and proteomics	BREAST CANCER RESEARCH AND TREATMENT			English	Article						breast cancer; 2-DE; mass spectrometry; proteasome subuinits; RFDD-PCR; ubiquitin specific proteases	DEUBIQUITINATING ENZYMES; PROSTATE-CANCER; DEGRADATION; SYSTEM; PATHWAY; CELLS; MOUSE; MECHANISM; THERAPY; BRAIN	The ubiquitin - proteasome system facilitates the degradation of damaged proteins and regulators of growth and stress response. Alterations in this proteolytic system are associated with a variety of human pathologies. By restriction fragment differential display polymerase chain reaction ( RFDD- PCR) and matrix- assisted laser desorption/ ionization tandem time- of- flight mass spectrometry ( MALDI- TOF- TOF MS) based on two- dimensional polyacrylamide gel electrophoresis ( 2- DE), differentially expressed genes and proteins of ubiquitin specific proteases ( USPs), proteasome subuinits ( PSs) and ubiquitin protein ligase E3A ( UBE3A) were analyzed between breast cancer and adjacent normal tissues. Some of them were further verified as over- expression by immunohistochemical stain. Five genes of proteasome subunits ( PSs), including PSMB5, PSMD1, PSMD2, PSMD8 and PSMD11, four genes of USPs, including USP9X, USP9Y, USP10 and USP25, and ubiquitin protein ligase E3A ( UBE3A) were over- expressed (> 3- fold) in breast cancer tissue compared to adjacent normal tissue, and over- expression (> 4- fold) of proteins of PSMA1 and SMT3A were observed in breast cancer tissue. PSMD8, PSMD11 and UBE3A were further verified as over- expression by immunohistochemical stain. The action of ubiquitin - proteasome system were obviously enhanced in breast cancer, and selectively intervention in action of ubiquitin - proteasome system may be a useful method of treating human breast cancer.	Sichuan Univ, Dept Anat, W China Sch Preclin & Forens Med, Chengdu 610064, Peoples R China; N Sichuan Med Coll, Affiliated Hosp, Nanchong, Peoples R China; N Sichuan Med Coll, Immunol & Mol Biol Inst, Nanchong, Peoples R China; Chengdu Med Coll, Dept Preclin Med, Chengdu, Peoples R China	Yang, HJ (reprint author), Sichuan Univ, Dept Anat, W China Sch Preclin & Forens Med, Renmin S Rd 17, Chengdu 610064, Peoples R China.	dssgeneral@163.com						42	64	75	0	9	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0167-6806			BREAST CANCER RES TR	Breast Cancer Res. Treat.	JUL	2007	104	1					21	30		10.1007/s10549-006-9393-7		10	Oncology	Oncology	181HB	WOS:000247426700003	17004105	
J	Li, MQ; Wang, YY; Guo, RW; Bai, Y; Yu, ZP				Li, Maoquan; Wang, Yanyan; Guo, Ruiwei; Bai, Yun; Yu, Zhengping			Glucocorticoids impair microglia ability to induce T cell proliferation and Th1 polarization	IMMUNOLOGY LETTERS			English	Article						glucocorticoids; microglia; T cell; antigen presenting cell; cosignal; stress	MAJOR HISTOCOMPATIBILITY COMPLEX; CENTRAL-NERVOUS-SYSTEM; DENDRITIC CELLS; CLASS-II; CD4(+) LYMPHOCYTES; IMMUNE-RESPONSES; INTERFERON-GAMMA; IL-12 PRODUCTION; HUMAN MONOCYTES; DOWN-REGULATION	Glucocorticoids (GC) are essential neuroendocrine regulators of the immune system during stress, and prolonged psychological stress has been shown to be immunosuppressive. However, little is known about how GC influence the role of microglia, the most potent antigen presenting cell (APC) residing in the central nervous system (CNS), in the T cell immune response during stress. Therefore, we investigated whether GC could modulate the function of microglia and thus affect T cell response in vitro. In interferon (IFN)-gamma-stimulated microglia, GC reduced secretion of the pro-inflammatory cytokines interleukin (IL)-12, IL-6 and tumor necrosis factor (TNF)-alpha, inhibited expression of major histocompatibility complex (MHC) class II, and costimulators CD40 and CD80 on microglia, but up-regulated the expression of co-inhibitors B7-H1 and B7-DC. In addition, GC induced the apoptosis of microglia directly. As a result, treatment of microglia, with GC reduced their ability to stimulate CD4(+) Th cell proliferation primed by anti-CD3 monoclonal antibody (mAb), and induced a shift to the Th2 response with the imbalance between Th1 and Th2 cytokines. Our data suggest that the inhibitory effects of GC on the APC function of microglia may contribute to the stress-induced suppression of T cell response in the CNS. (c) 2007 Elsevier B.V. All rights reserved.	Third Mil Med Univ, Dept Occupat Hlth, Chongqing 400038, Peoples R China; Third Mil Med Univ, Dept Med Genet, Chongqing 400038, Peoples R China; Chengdu Med Coll, Dept Publ Hlth, Chengdu 610083, Sichuan, Peoples R China; Kunming Gen Hosp Chengdu Mil Area, Dept Cardiol, Kunming 650032, Peoples R China	Yu, ZP (reprint author), Third Mil Med Univ, Dept Occupat Hlth, Chongqing 400038, Peoples R China.	yuzping@126.com						52	20	24	0	5	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0165-2478			IMMUNOL LETT	Immunol. Lett.	APR 15	2007	109	2					129	137		10.1016/j.imlet.2007.02.002		9	Immunology	Immunology	161WO	WOS:000246047600006	17360046	
J	Liu, SQ; Kang, J; Li, CJ; Tang, EJ; Wen, B; Cai, R; Yang, HJ				Liu, Shang-Qing; Kang, Jian; Li, Cheng-Jun; Tang, En-Jie; Wen, Bin; Cai, Rong; Yang, Hui-Jun			Differences in expression of retinal proteins between diabetic and normal rats	WORLD JOURNAL OF GASTROENTEROLOGY			English	Article						diabetes; rat; retina; proteomics; two-dimensional electrophoresis; tandem mass spectrometry; bioinformatics	ALPHA-B-CRYSTALLIN; BREAST-CANCER; PROTEOMIC ANALYSIS; IN-VIVO; RETINOPATHY; CATALYSIS; ALBUMIN; GENES; MOUSE	AIM: To compare and identify the differences in expression of retinal proteins between normal and diabetic rats, and to analyze the molecular pathogenetic mechanisms of retinal diseases caused by diabetes. METHODS: Changes in protein expression of retinal tissues from diabetic and normal rats were observed using 2-dimensional polyacrylamide gel electrophoresis (2-DE). Some protein spots exhibiting statistically significant variations (P < 0.05) were selected randomly and identified by tandem mass spectrometry and analyzed by bioinformatics. RESULTS: 2-DE showed that the expression was upregulated in 5 retinal proteins, down-regulated in 23 retinal proteins, and disappeared in 8 retinal proteins. Eight spots were identified from the 36 spots by tandem mass spectrometry (MS/MS) and analyzed by bioinformatics. Guanylate kinase 1, triosephosphate isomerase 1, ATP synthase subunit cl, albumin and dimethylarginine dimethylaminohydrolase 2 played an important role in signal transduction. Triosephosphate isomerase 1, crystallin alpha B, ATP synthase subunit d and peroxiredoxin 6 were involved in energy metabolism of retinal tissues. Guanylate kinase 1 played an important role in photoexcitation of retinal rod photoreceptor cells. Whether crystallin beta A1 plays a role in diabetic retinas is unknown so far. CONCLUSION: There are differences in expression of retinal proteins between diabetic and normal rats. These proteins may be involved in the mechanisms and prognosis of retinal diseases caused by diabetes. (c) 2007 The WJG Press. All rights reserved.	Sichuan Univ, Sch Preclin & Forens Med, Dept Anat, Chengdu 610041, Peoples R China; N Sichuan Med Coll, Nanchong 637007, Sichuan Prov, Peoples R China; Chengdu Med Coll, Chengdu 610083, Sichuan Prov, Peoples R China	Yang, HJ (reprint author), Sichuan Univ, Sch Preclin & Forens Med, Dept Anat, 17 Renming Nan Rd, Chengdu 610041, Peoples R China.	proteomics@nsmc.edu.cn						36	5	7	0	1	W J G PRESS	BEIJING	PO BOX 2345, BEIJING 100023, PEOPLES R CHINA	1007-9327			WORLD J GASTROENTERO	World J. Gastroenterol.	APR 14	2007	13	14					2118	2124				7	Gastroenterology & Hepatology	Gastroenterology & Hepatology	166YX	WOS:000246418400019	17465459	
