PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Zhang, SS; Lee, JHW; Kin, C				Zhang Shi-sheng; Lee Joseph H. W; Chan Chi Kin			Algorithms of common solutions to quasi variational inclusion and fixed point problems	APPLIED MATHEMATICS AND MECHANICS-ENGLISH EDITION			English	Article						variational inclusion; multi-valued maximal monotone mapping; inverse-strongly monotone mapping; metric projection; fixed point; nonexpansive mapping	NONEXPANSIVE-MAPPINGS; MONOTONE MAPPINGS; WEAK-CONVERGENCE; BANACH-SPACES; EXTRAGRADIENT METHOD; HILBERT-SPACE; INEQUALITIES; OPERATORS; EQUATIONS; THEOREMS	The purpose of this paper is to present an iterative scheme for finding a common element of the set of solutions to the variational inclusion problem with multi-valued maximal monotone mapping and inverse-strongly monotone mappings and the set of fixed points of nonexpansive mappings in Hilbert space. Under suitable conditions, some strong convergence theorems for approximating this common elements are proved. The results presented in the paper not only improve and extend the main results in Korpelevich (Ekonomika i Matematicheskie Metody, 1976, 12(4):747-756), but also extend and replenish the corresponding results obtained by Iiduka and Takahashi (Nonlinear Anal TMA., 2005, 61(3):341 350), Takahashi and Toyoda (J Optim Theory Appl, 2003, 118(2):417-428), Nadezhkina and Takahashi (J Optim Theory Appl, 2006, 128(1):191201), and Zeng and Yao (Taiwanese Journal of Mathematics, 2006, 10(5):1293-1303).	[Zhang Shi-sheng] Yibin Univ, Dept Math, Yibin 644007, Sichuan, Peoples R China; [Lee Joseph H. W; Chan Chi Kin] Hong Kong Polytech Univ, Dept Appl Math, Kowloon, Hong Kong, Peoples R China	Zhang, SS (reprint author), Yibin Univ, Dept Math, Yibin 644007, Sichuan, Peoples R China.	sszhang_1@yahoo.com.cn	Chang, Shih-sen/K-6786-2015	CHAN, Chi Kin/0000-0001-5855-6472				22	72	73	0	3	SHANGHAI UNIV	SHANGHAI	149 YANCHANG RD, SHANGHAI 200072, PEOPLES R CHINA	0253-4827			APPL MATH MECH-ENGL	Appl. Math. Mech.-Engl. Ed.	MAY	2008	29	5					571	581		10.1007/s10483-008-0502-y		11	Mathematics, Applied; Mechanics	Mathematics; Mechanics	305OQ	WOS:000256188100002		
J	Fu, XH				Fu, Xiao-Hong			Magnetic-controlled non-competitive enzyme-linked voltammetric immunoassay for carcinoembryonic antigen	BIOCHEMICAL ENGINEERING JOURNAL			English	Article						carcinoembryonic antigen; magnetic nanoparticles; voltammetric immunosensor	LANGMUIR-BLODGETT-FILMS; ELECTROCHEMICAL IMMUNOASSAY; AMPEROMETRIC IMMUNOSENSOR; NANOPARTICLES; ELECTRODE; ANTIBODY; RADIOIMMUNOASSAY; IMMOBILIZATION; SEPARATION; INTERFACE	A new flow-through voltammetric immunoassay protocol based on a novel transparent immunoaffinity reactor for the detection of carcinoembryonic antigen (CEA) was proposed. To construct such an affinity reactor, the reactor was initially fabricated by means of immobilization HRP-labeled anti-CEA antibody (H RP-anti-CEA)-functionalized magnetic CoFe2O4 nanoparticles (bionanoparticles) on a home-made carbon paste electrode (CPE) with an external magnet. With a non-competitive immunoassay format, the as-prepared bionanoparticles were incubated with the analyte CEA, and the formed antigen-antibody complex inhibited partly the active center of the immobilized HRP, which decreased the HRP towards H2O2 reduction. Under optimized conditions, the decrease in current response was proportional to the CEA concentration in the range of 1.5-60 ng/ml with a detection limit of 0.5 ng/ml (at 3 delta). The flow-injection immunoassay system could automatically control the incubation, washing and measurement steps with acceptable reproducibility and good stability. Moreover, the proposed immunosensors were used to analyze CEA in human serum specimens. Analytical results of clinical samples show the developed immunosensor has a promising alternative approach for detecting CEA in the clinical diagnosis. (c) 2007 Elsevier B.V. All rights reserved.	Yibin Univ, Sch Chem & Chem Engn, Yibin 644000, Peoples R China	Fu, XH (reprint author), Yibin Univ, Sch Chem & Chem Engn, Yibin 644000, Peoples R China.	xiaohongfu@hotmail.com						29	17	19	0	7	ELSEVIER SCIENCE SA	LAUSANNE	PO BOX 564, 1001 LAUSANNE, SWITZERLAND	1369-703X			BIOCHEM ENG J	Biochem. Eng. J.	APR 15	2008	39	2					267	275		10.1016/j.bej.2007.09.011		9	Biotechnology & Applied Microbiology; Engineering, Chemical	Biotechnology & Applied Microbiology; Engineering	290CF	WOS:000255099700006		
J	Zhao, GP; Lu, BD				Zhao Guang-Pu; Lue Bai-Da			Spectral switches and effect in singular optics with polychromatic light field	ACTA PHYSICA SINICA			Chinese	Article						spectral switch; effect in singular optics; fully and partially coherent; polychromatic light field	PARTIALLY COHERENT-LIGHT; INTERFERENCE EXPERIMENT; YOUNGS EXPERIMENT; APERTURE; ANOMALIES; BEAMS; DIFFRACTION; SHIFTS	The expression for the spectral density of polychromatic Gaussian and Gaussian-Schell model (GSM) beams propagating through double slits in Young's experiment are derived, which enables us to study the behavior of spectral switches in Young's experiment illuminated by fully and partially coherent polychromatic light beams and to judge if their spectral switches belong to the effect in singular optics. It is shown that the criterion for the effect in singular optics with polychromatic light field should be S-min = 0 (S-min is the minimum of the spectral density at spectral switches) rather than I-min = 0 (I-min in is the minimum of the total intensity). In Young's experiment illuminated by polychromatic GSM beams the spectral switches in both near and far zones are not attributed to the effect in singular optics because S-min not equal 0. If the double slits in Young's experiment are illuminated by polychromatic Gaussian beam, the spectral switches in the far zone belong to the effect in singular optics, whereas it is not the case in the near zone.	[Zhao Guang-Pu] Yibin Univ, Key Lab Computat Phys, Yibin 644007, Peoples R China; [Zhao Guang-Pu; Lue Bai-Da] Sichuan Univ, Inst Laser Phys & Chem, Chengdu 610064, Peoples R China	Zhao, GP (reprint author), Yibin Univ, Key Lab Computat Phys, Yibin 644007, Peoples R China.	ybzgp@126.com						20	2	6	0	0	CHINESE PHYSICAL SOC	BEIJING	P O BOX 603, BEIJING 100080, PEOPLES R CHINA	1000-3290			ACTA PHYS SIN-CH ED	Acta Phys. Sin.	APR	2008	57	4					2229	2235				7	Physics, Multidisciplinary	Physics	289XM	WOS:000255087200038		
J	Gao, ZH; Lu, BD				Gao Zeng-Hui; Lue Bai-Da			Nonparaxial propagation of phase-flipped Gaussian beams	CHINESE PHYSICS B			English	Article						nonparaxial propagation; phase flipped Gaussian (PFG) beam; f parameter; offsetting distances	PARAXIAL APPROXIMATION	This paper derives the closed-form expressions for nonparaxial phase flipped Gaussian (PFG) beams propagating in free space, through a knife edge and an aperture, which enable us to study nonparaxial propagation properties of PFG beams and to compare nonparaxial results with paraxial ones. It is found that the f parameter, offsetting distance of the knife edge and truncation parameter affect the nonparaxial beam propagation properties. Only under certain conditions the paraxial approximation is applicable. The results are illustrated by numerical examples.	[Gao Zeng-Hui] Yibin Univ, Key Lab Computat Phys, Yibin 644000, Peoples R China; [Gao Zeng-Hui] Yibin Univ, Inst Optoelect Informat, Yibin 644000, Peoples R China; [Gao Zeng-Hui; Lue Bai-Da] Sichuan Univ, Inst Laser Phys & Chem, Chengdu 610064, Peoples R China	Gao, ZH (reprint author), Yibin Univ, Key Lab Computat Phys, Yibin 644000, Peoples R China.	dzxx3545065@163.com						10	3	3	0	0	IOP PUBLISHING LTD	BRISTOL	TEMPLE CIRCUS, TEMPLE WAY, BRISTOL BS1 6BE, ENGLAND	1674-1056			CHINESE PHYS B	Chin. Phys. B	MAR	2008	17	3					943	949				7	Physics, Multidisciplinary	Physics	278LV	WOS:000254288400033		
J	Fu, XH				Fu, Xiao-Hong			Electrochemical measurement of DNA hybridization using nanosilver as label and horseradish peroxidase as enhancer	BIOPROCESS AND BIOSYSTEMS ENGINEERING			English	Article						DNA biosensor; electrochemical measurement; signal amplification	CARCINOEMBRYONIC ANTIGEN; SILVER NANOPARTICLES; TECHNOLOGIES; IMMUNOASSAY; BIOSENSOR; SENSOR; FILM	A simple and sensitive electrochemical DNA biosensor based on in situ DNA amplification with nanosilver as label and horseradish peroxide (HRP) as enhancer has been designed. The thiolated oligomer single-stranded DNA (ssDNA) was initially directly immobilized on a gold electrode, and quartz crystal microbalance (QCM) gave the specific amount of ssDNA adsorption of 6.3 +/- 0.1 ng/cm(2). With a competitive format, hybridization reaction was carried out via immersing the DNA biosensor into a stirred hybridization solution containing different concentrations of the complementary ssDNA and constant concentration of nanosilver-labeled ssDNA, and then further binding with HRP. The adsorbed HRP amount on the probe surface decreased with the increment of the target ssDNA in the sample. The hybridization events were monitored by using differential pulse voltammetry (DPV) with the adsorbed HRP toward the reduction of H2O2. The reduction current from the enzyme-generated product was related to the number of target ssDNA molecules in the sample. A detection of 15 pmol/L for target ssDNA was obtained with the electrochemical DNA biosensor. Additionally, the developed approach can effectively discriminate complementary from non-complementary DNA sequence, suggesting that the similar enzyme-labeled DNA assay method hold great promises for sensitive electrochemical biosensor applications.	Yibin Univ, Sch Chem & Chem Engn, Yibin 644000, Peoples R China	Fu, XH (reprint author), Yibin Univ, Sch Chem & Chem Engn, Yibin 644000, Peoples R China.	xiaohongfu@hotmail.com						18	16	16	1	15	SPRINGER	NEW YORK	233 SPRING STREET, NEW YORK, NY 10013 USA	1615-7591			BIOPROC BIOSYST ENG	Bioprocess. Biosyst. Eng.	FEB	2008	31	2					69	73		10.1007/s00449-007-0147-7		5	Biotechnology & Applied Microbiology; Engineering, Chemical	Biotechnology & Applied Microbiology; Engineering	252SP	WOS:000252467200003	17671798	
J	Xiao, X; Ji, X; Lu, B				Xiao, Xi; Ji, Xiaoling; Lue, Baida			The influence of turbulence on propagation properties of partially coherent sinh-Gaussian beams and their beam quality in the far field	OPTICS AND LASER TECHNOLOGY			English	Article						partially coherent sinh-Gaussian (ShG) beam; turbulent atmosphere; propagation property	LASER-BEAMS; ATMOSPHERE; MEDIA	Based on the extended Huygens-Fresnel principle, the closed-form propagation equation of partially coherent Sinh-Gaussian (ShG) beams through the turbulent atmosphere has been derived by using the quadratic approximation of the Rytov's phase structure function. The influence of turbulence on propagation properties of partially coherent ShG beams and their beam quality in the far field are studied both analytically and numerical. The fully coherent ShG beam has been treated as a special case of the partially coherent ShG beam when the degree of spatial coherence a = infinity. It is shown that in comparison with the free-space propagation the turbulence accelerates the evolution of three stages that partially coherent ShG beams undergo. The smaller alpha is, the less partially coherent ShG beams are affected by the turbulence. In particular, we find that the beta parameter decreases as the decentered parameter delta increases, but the dependence of the Strehl ratio on delta is not monotonous. There exists an optimal delta(opt,) the influence of turbulence on the maximum intensity of the corresponding partially coherent ShG beam with delta(opt) is the smallest. Therefore, a suitable choice of 6 may reduce the influence of turbulence on the beam quality in the far field in practice. (c) 2007 Elsevier Ltd. All rights reserved.	Yibin Univ, Inst Optoelect Informat, Yibin 644007, Peoples R China; Sichuan Normal Univ, Coll Elect Engn, Chengdu 610068, Peoples R China; Sichuan Univ, Inst Chem & Phys, Chengdu 610064, Peoples R China	Xiao, X (reprint author), Yibin Univ, Inst Optoelect Informat, Yibin 644007, Peoples R China.	xixizio100@163.com						19	13	13	0	1	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0030-3992			OPT LASER TECHNOL	Opt. Laser Technol.	FEB	2008	40	1					129	136		10.1016/j.optlastec.2007.03.002		8	Optics; Physics, Applied	Optics; Physics	221WT	WOS:000250258800016		
J	Chang, SS; Cho, YJ; Kim, JK				Chang, Shih-Sen; Cho, Yeol Je; Kim, Jong Kyu			APPROXIMATION METHODS OF SOLUTIONS FOR EQUILIBRIUM PROBLEM IN HILBERT SPACES	DYNAMIC SYSTEMS AND APPLICATIONS			English	Article								The purpose of this paper is, by using viscosity approximation methods, to find a common element of the set of solutions of an equilibrium problem and the set of fixed point of a nonexpansive mappings in a Hilbert space and to prove, under suitable conditions, some strong convergence theorems for approximating a solution of the problem under consideration.	[Chang, Shih-Sen] Yibin Univ, Dept Math, Yibin 644007, Sichuan, Peoples R China; [Cho, Yeol Je] Gyeongsang Natl Univ, Dept Math Educ, Chinju 660701, South Korea; [Cho, Yeol Je] Gyeongsang Natl Univ, RINS, Chinju 660701, South Korea; [Kim, Jong Kyu] Kyungnam Univ, Dept Math Educ, Masan 631701, South Korea	Chang, SS (reprint author), Yibin Univ, Dept Math, Yibin 644007, Sichuan, Peoples R China.	sszhang_1@yahoo.com.cn; yjcho@gsnu.ac.kr; jongkyuk@kyungnam.ac.kr	Chang, Shih-sen/K-6786-2015		Natural Science foundation of Yibin University [2005-Z003]; Korea Government (MOEHRD) [KRF-2006-311-C00201]	The first author was supported by the Natural Science foundation of Yibin University (No 2005-Z003) and the third author was supported by the Korea Research Foundation Grant funded by the Korea Government (MOEHRD, Basic Research Promotion Fund) (KRF-2006-311-C00201).		11	7	8	0	1	DYNAMIC PUBLISHERS, INC	ATLANTA	PO BOX 48654, ATLANTA, GA 30362-0654 USA	1056-2176			DYNAM SYST APPL	Dyn. Syst. Appl.		2008	17	3-4					503	513				11	Mathematics, Applied; Mathematics	Mathematics	V12YX	WOS:000207635600007		
J	Tian, YX; Chang, SS; Huang, JL; Wang, XR; Kim, JK				Tian, You Xian; Chang, Shih-sen; Huang, Jialin; Wang, Xiongrui; Kim, J. K.			Implicit Iteration Process for Common Fixed Points of Strictly Asymptotically Pseudocontractive Mappings in Banach Spaces	FIXED POINT THEORY AND APPLICATIONS			English	Article							FINITE FAMILY; CONVERGENCE THEOREMS; MAPS	In this paper, a new implicit iteration process with errors for finite families of strictly asymptotically pseudocontractive mappings and nonexpansive mappings is introduced. By using the iterative process, some strong convergence theorems to approximating a common fixed point of strictly asymptotically pseudocontractive mappings and nonexpansive mappings are proved. The results presented in the paper are new which extend and improve some recent results of Osilike et al. (2007), Liu (1996), Osilike (2004), Su and Li (2006), Gu (2007), Xu and Ori (2001). Copyright (C)2008 You Xian Tian et al.	[Tian, You Xian] Chongqing Univ Post Telecommun, Coll Math & Phys, Chongqing 400065, Peoples R China; [Chang, Shih-sen; Huang, Jialin; Wang, Xiongrui] Yibin Univ, Dept Math, Yibin 644007, Sichuan, Peoples R China; [Kim, J. K.] Kyungnam Univ, Dept Math, Masan 631701, South Korea	Tian, YX (reprint author), Chongqing Univ Post Telecommun, Coll Math & Phys, Chongqing 400065, Peoples R China.	tianyx@cqupt.edu.cn	Chang, Shih-sen/K-6786-2015					8	4	4	1	3	HINDAWI PUBLISHING CORPORATION	NEW YORK	410 PARK AVENUE, 15TH FLOOR, #287 PMB, NEW YORK, NY 10022 USA	1687-1820			FIXED POINT THEORY A	Fixed Point Theory Appl.		2008									324575	10.1155/2008/324575		12	Mathematics, Applied; Mathematics	Mathematics	366DP	WOS:000260461100001		
J	Duan, ZC; Zhang, LP; Chen, JG				Duan, Zhichun; Zhang, Liping; Chen, Jianguo			Analytical solutions to rate equations including losses describing threshold pumped fiber lasers	OPTIK			English	Article						fiber laser; rate equations; analytical solutions; threshold pump power	HIGH-POWER; OPTIMIZATION	An exact analytical expression to the threshold pump power has been deduced for rate equations including loss coefficients applicable to fiber lasers doped with quasi two-energy-level ions. Following the derivation of a closed-form expression for the variation of the pump power along the fiber, together with analytical solutions to the position dependent atom population density and laser power in terms of the pump power, we have analytically and fully solved rate equations describing threshold pumped fiber lasers. A comparison has also been made between the exact analytical result with the previous reported results, which indicates that various approximation have underestimated the threshold pump powers. (C) 2007 Elsevier GmbH. All rights reserved.	[Duan, Zhichun; Zhang, Liping; Chen, Jianguo] Sichuan Univ, Sch Elect & Informat Engn, Chengdu 610064, Peoples R China; [Duan, Zhichun] Yibin Univ, Dept Phys & Elect Informat, Yibin 644007, Peoples R China	Duan, ZC (reprint author), Sichuan Univ, Sch Elect & Informat Engn, Chengdu 610064, Peoples R China.	duanzhichun@126.com						15	4	6	1	3	ELSEVIER GMBH, URBAN & FISCHER VERLAG	JENA	OFFICE JENA, P O BOX 100537, 07705 JENA, GERMANY	0030-4026			OPTIK	Optik		2008	119	8					395	399		10.1016/j.ijleo.2006.11.008		5	Optics	Optics	331PG	WOS:000258023700008		
J	Yang, S; Tian, F; Li, Z				Yang, S.; Tian, F.; Li, Z.			Molecular graph fingerprint: a new molecular structural characterization method for the modelling and prediction of chromatographic retention behaviour of several persistent organic pollutants	SAR AND QSAR IN ENVIRONMENTAL RESEARCH			English	Article						molecular graph fingerprint; molecular structural characterization; quantitative structure-retention relation; persistent organic pollutant	ELECTRONEGATIVITY-INTERACTION VECTOR; POLYCHLORINATED-BIPHENYLS PCBS; STATIONARY PHASES; VARYING POLARITY; DIOXIN RECEPTOR; NAPHTHALENES; PERFORMANCE	How to extract and characterize information on molecular microstructures is deemed to be the key task to accurately simulate and predict molecular properties. In terms of atomic attributes, atoms in a molecule are divided into three levels. Based upon that, inter-atomic correlations are mapped to certain reasonable spatial coordinates in virtue of radial distribution function, generating the novel molecular graph fingerprint (MoGF), which essentially provides insight into molecular inner structures. MoGF, committing itself to transformation of molecular structures into characteristic graph curves, shows valuable advantages such as easy calculation, experimental parameters-free, rich information content, and structural significance and intuitive expressions. QSRR studies were performed for 115 polychlorinated dibenzofurans (PCDFs), 41 polychlorinated dibenzo-p-dioxins (PCDDs), 62 polychlorinated naphthalenes (PCNs), and 210 polychlorinated biphenyls (PCBs including the biphenyl)) tested for their retention behaviours on gas chromatographic column DB-5. The resulting PLS models showed good performances with correlation coefficients for both training and test sets above 0.97.	[Yang, S.; Tian, F.; Li, Z.] Chongqing Univ, Coll Bioengn, Chongqing 630044, Peoples R China; [Yang, S.] Yibin Univ, Dept Bioengn, Yibin, Peoples R China; [Li, Z.] Chongqing Univ, Coll Chem & Chem Engn, Chongqing 630044, Peoples R China	Li, Z (reprint author), Chongqing Univ, Coll Bioengn, Chongqing 630044, Peoples R China.	ggootc@163.com						21	0	0	0	1	TAYLOR & FRANCIS LTD	ABINGDON	4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	1062-936X			SAR QSAR ENVIRON RES	SAR QSAR Environ. Res.		2008	19	5-6					541	553		10.1080/10629360802083822		13	Chemistry, Multidisciplinary; Computer Science, Interdisciplinary Applications; Environmental Sciences; Mathematical & Computational Biology; Toxicology	Chemistry; Computer Science; Environmental Sciences & Ecology; Mathematical & Computational Biology; Toxicology	359NZ	WOS:000259995500007	18853301	
