PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Wu, MH; Deng, J; Li, JJ; Li, Y; Li, JZ; Xu, H				Wu, Minghui; Deng, Jing; Li, Junjie; Li, Ying; Li, Jinze; Xu, Heng			Simultaneous biological-photocatalytic treatment with strain CDS-8 and TiO2 for chlorothalonil removal from liquid and soil	JOURNAL OF HAZARDOUS MATERIALS			English	Article						Chlorothalonil; CDS-8; Titanium dioxide; Simultaneous biological-photocatalytic treatment	CONTAMINATED SOIL; PESTICIDE-RESIDUES; WASTE-WATER; DEGRADATION; CHLORPYRIFOS; TEMPERATURE; REMEDIATION; PHENOL; TRANSFORMATION; CYPERMETHRIN	In this study, a novel chlorothalonil (CTN) degrading bacterial strain CDS-8, identified as Pseudomonas sp., was combined with photocatalyst titanium dioxide (TiO2) for the CTN degradation in liquid and soil. After 7 day incubation, 90.73% of CTN was removed from mineral salt medium (MSM) by CDS-8 with the optimal condition at pH 7.0 and 30 degrees C. Single biodegradation or photocatalytic degradation could not degrade CTN completely, and many toxic and persistent intermediate metabolites remained. However, simultaneous biological-photocatalytic treatments could markedly remove CTN and reduce the chemical oxygen demand (COD) which could not be removed by single biodegradation or, photocatalytic degradation. In MSM, treatment with CDS-8/40 mg L-1 TiO2 showed the highest COD removal rate (84.10%). Furthermore, combined CDS-8/TiO2 treatments could effectively degrade CTN in soil. In treatments with CDS-8/20 mg kg(-1) TiO2 of soil, the maximum CTN removal rate reached 97.55% in turned soils. However, with CDS-8/40 mg kg(-1) TiO2 of soil, the maximum CTN removal rate (94.94%) was found in static soil. In general, the combined biological-photocatalytic treatments provided a promising alternative candidate for the remediation of CTN-contaminated sites. (C) 2016 Elsevier B.V. All rights reserved.	[Wu, Minghui; Li, Junjie; Li, Jinze; Xu, Heng] Sichuan Univ, Coll Life Sci, Key Lab Bioresources & Ecoenvironm, Minist Educ, Chengdu 610064, Sichuan, Peoples R China; [Deng, Jing] Sichuan Tourism Univ, Chengdu 610000, Sichuan, Peoples R China; [Li, Ying] Gen Elect, Shanghai, Peoples R China	Xu, H (reprint author), Sichuan Univ, Coll Life Sci, Key Lab Bioresources & Ecoenvironm, Minist Educ, Chengdu 610064, Sichuan, Peoples R China.	xuheng64@sina.com			National High Technology Research and Development Program of China [2013AA06A210, 2006AA06Z361]; NSFC [J1103518]; Chengdu Longquanyi District Science and Technology Bureau	This study was financially supported by the National High Technology Research and Development Program of China (No. 2013AA06A210, 2006AA06Z361), the NSFC (No. J1103518), and Chengdu Longquanyi District Science and Technology Bureau. The authors wish to thank Professor Guanglei Cheng and Dong Yu from Sichuan University for their technical assistance.		44	0	0	33	33	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0304-3894	1873-3336		J HAZARD MATER	J. Hazard. Mater.	DEC 15	2016	320						612	619		10.1016/j.jhazmat.2016.07.063		8	Engineering, Environmental; Engineering, Civil; Environmental Sciences	Engineering; Environmental Sciences & Ecology	DZ1LU	WOS:000385600700066	27501883	
J	Feng, Y; Yang, HX				Feng, Yong; Yang, Hongxing			REHABILITATION EFFECT OF MASSAGE WITH THERMAL MAGNETIC THERAPY IN TREATING LUMBAR MUSCLE STRAIN OF ATHLETES	ACTA MEDICA MEDITERRANEA			English	Article						Massage; Thermal Magnetic Field; Lumbar Muscle Strain of Athlete; Treatment; Rehabilitation Effect		Purpose: to discuss the rehabilitation effect Of massage with thermal magnetic therapy in treating lumbar muscle strain (LMS) of athletes. Method: analyse the pathomechanism of lumbar muscle strain; applying massage with thermal magnetic therapy, and discuss the clinical effect and post-treatment indexes such as symptom integral, lumbar muscle force and spinal mobility. Results: after 2-4 weeks of treatment, the symptom integral, lumbar muscle force and spinal mobility all improved significantly. Compared to the control group, the clinical effect in the treatment group was P<0.05 and statistically significant. Conclusion: Applying massage with thermal magnetic therapy for lumbar muscle strain of athletes achieved significant effects and should be promoted for clinical application.	[Feng, Yong] Sichuan Tourism Univ, Chengdu 610199, Peoples R China; [Yang, Hongxing] WenZhou Med Univ, Wenzhou 325015, Peoples R China	Yang, HX (reprint author), WenZhou Med Univ, Wenzhou 325015, Peoples R China.							9	0	0	2	2	CARBONE EDITORE	PALERMO	VIA QUINTINO SELLA, 68, PALERMO, 90139, ITALY	0393-6384	2283-9720		ACTA MEDICA MEDITERR	Acta Medica Mediterr.		2016	32				1		505	509				5	Medicine, General & Internal	General & Internal Medicine	DN9SI	WOS:000377420600007		
J	Li, GK; Gao, J; Peng, H; Shen, YO; Ding, HP; Zhang, ZM; Pan, GT; Lin, HJ				Li, G. K.; Gao, J.; Peng, H.; Shen, Y. O.; Ding, H. P.; Zhang, Z. M.; Pan, G. T.; Lin, H. J.			Proteomic changes in maize as a response to heavy metal (lead) stress revealed by iTRAQ quantitative proteomics	GENETICS AND MOLECULAR RESEARCH			English	Article						Pb pollution; Isobaric tags for relative and absolute quantification; Differentially expressed proteins	OXIDATIVE STRESS; GENE-EXPRESSION; OAT ROOTS; PLANTS; TONOPLAST; TRANSPORT; TOXICITY; DYNAMICS; SOILS	Lead (Pb), a heavy metal, has become a crucial pollutant in soil and water, causing not only permanent and irreversible health problems, but also substantial reduction in crop yields. In this study, we conducted proteome analysis of the roots of the non-hyperaccumulator inbred maize line 9782 at four developmental stages (0, 12, 24, and 48 h) under Pb pollution using isobaric tags for relative and absolute quantification technology. A total of 252, 72 and 116 proteins were differentially expressed between M12 (after 12-h Pb treatment) and CK (water-mocked treatment), M24 (after 24-h Pb treatment) and CK, and M48 (after 48-h Pb treatment) and CK, respectively. In addition, 14 differentially expressed proteins were common within each comparison group. Moreover, Cluster of Orthologous Groups enrichment analysis revealed predominance of the proteins involved in posttranslational modification, protein turnover, and chaperones. Additionally, the changes in protein profiles showed a lower concordance with corresponding alterations in transcript levels, indicating important roles for transcriptional and posttranscriptional regulation in the response of maize roots to Pb pollution. Furthermore, enriched functional categories between the successive comparisons showed that the proteins in functional categories of stress, redox, signaling, and transport were highly up-regulated, while those in the functional categories of nucleotide metabolism, amino acid metabolism, RNA, and protein metabolism were down-regulated. This information will help in furthering our understanding of the detailed mechanisms of plant responses to heavy metal stress by combining protein and mRNA profiles.	[Li, G. K.; Peng, H.; Shen, Y. O.; Ding, H. P.; Zhang, Z. M.; Pan, G. T.; Lin, H. J.] Sichuan Agr Univ, Maize Res Inst, Key Lab Biol & Genet Improvement Maize Southwest, Minist Agr, Wenjiang, Sichuan, Peoples R China; [Peng, H.] Sichuan Tourism Univ, Chengdu, Sichuan, Peoples R China; [Li, G. K.] Guangdong Acad Agr Sci, Crop Res Inst, Guangdong Prov Key Lab Crops Genet & Improvement, Guangzhou, Guangdong, Peoples R China; [Gao, J.] Third Mil Med Univ, Southwest Hosp, Minist Educ, Inst Pathol,Key Lab Tumor Immunopathol, Chongqing, Peoples R China; [Gao, J.] Third Mil Med Univ, Southwest Hosp, Minist Educ, Southwest Canc Ctr, Chongqing, Peoples R China	Pan, GT; Lin, HJ (reprint author), Sichuan Agr Univ, Maize Res Inst, Key Lab Biol & Genet Improvement Maize Southwest, Minist Agr, Wenjiang, Sichuan, Peoples R China.	pangt1956@aliyun.com; linhj521@gmail.com			National Science Foundation of China [31171567]; Functional Genomics Resource, Technology, Information Platform Construction Program "863" of China [SS2012AA100107, 2012AA10A300]; Science and Information Technology Bureau of Guangzhou [2013J2200083]; Science and Information Technology Bureau of Guangdong Province; Ministry of Education Production-Study-Research Program of China [2012B091100467]; Foundation of the President of the Guangdong Academy of Agricultural Sciences [201407]; Guangdong Province Science and Technology Program [2013B020301015]; Research Project on Rice Functional Genes related to the Maize Large-scale Gene Discovery	Research supported by grants from the National Science Foundation of China (#31171567), the Research Project on Rice Functional Genes related to the Maize Large-scale Gene Discovery and Functional Genomics Resource, Technology, Information Platform Construction Program "863" of China (#SS2012AA100107 and #2012AA10A300), the Science and Information Technology Bureau of Guangzhou (#2013J2200083), the Guangdong Province and Ministry of Education Production-Study-Research Program of China (#2012B091100467), the Foundation of the President of the Guangdong Academy of Agricultural Sciences (201407), and the Guangdong Province Science and Technology Program (#2013B020301015).		24	0	0	7	22	FUNPEC-EDITORA	RIBEIRAO PRETO	RUA FLORIANO PEIXOTO 2444, ALTO DA BOA VISTA, RIBEIRAO PRETO, SP 00000, BRAZIL	1676-5680			GENET MOL RES	Genet. Mol. Res.		2016	15	1							gmr.15017254	10.4238/gmr.15017254		14	Biochemistry & Molecular Biology; Genetics & Heredity	Biochemistry & Molecular Biology; Genetics & Heredity	DJ0GM	WOS:000373879900029		
J	Deng, J; Wu, HC; Yang, ZR				Deng, Jing; Wu, Huachang; Yang, Zhirong			Quality comparison of sweet flour pastes produced via natural and temperature-controlled fermentation	FOOD SCIENCE AND BIOTECHNOLOGY			English	Article						sweet flour paste; volatile compound; natural fermentation; temperature-controlled fermentation	FISH SAUCE FERMENTATION; KEY AROMA COMPOUNDS; SOY-SAUCE; STARTER CULTURE; VOLATILE COMPONENTS; TETRAGENOCOCCUS-HALOPHILUS; ESTER; ACID; SALT; MANUFACTURE	The quality of sweet flour pastes (SFP) produced via natural and temperature-controlled fermentation was investigated. Temperature-controlled fermentation shortened the production time with no significant (p < 0.05) differences between sample types in amino nitrogen, total acid, reducing sugar, and organic acid concentrations observed at the end of fermentation. Naturally fermented SFP exhibited higher concentrations of free amino acids than temperature-controlled fermented SFP. Analysis of SFP volatile compounds showed that naturally fermented SFP samples had higher concentrations of aroma constituents. Ethyl palmitate was the dominant ester in SFP with a 5.2x higher content of ethyl palmitate than for naturally fermented SFP. In addition, 4-ethyl guaiacol and 4-vinyl guaiacol were only identified in naturally fermented SFP samples. Temperature-controlled fermentation accelerates the production process, and naturally fermented SFP exhibited a higher quality.	[Deng, Jing; Yang, Zhirong] Sichuan Univ, Coll Life Sci, Chengdu 610064, Peoples R China; [Deng, Jing; Wu, Huachang] Sichuan Tourism Univ, Dept Food Sci, Chengdu 610100, Peoples R China	Deng, J (reprint author), Sichuan Univ, Coll Life Sci, Chengdu 610064, Peoples R China.	dj3930590@sina.com			Training of Personnel Program of Sichuan University of Science Engineering [2012RC12]	This work was financially supported by a grant from the Training of Personnel Program of Sichuan University of Science & Engineering (2012RC12).		35	0	0	3	11	KOREAN SOCIETY FOOD SCIENCE & TECHNOLOGY-KOSFOST	SEOUL	#605, KOREA SCI TECHNOL CENT, 635-4 YEOKSAM-DONG, KANGNAM-GU, SEOUL, 135-703, SOUTH KOREA	1226-7708	2092-6456		FOOD SCI BIOTECHNOL	Food Sci. Biotechnol.	DEC	2015	24	6					2059	2064		10.1007/s10068-015-0274-x		6	Food Science & Technology	Food Science & Technology	CX5TV	WOS:000365766300023		
J	Gan, ZH; Ma, YS; Zhong, T				Gan, Zaihui; Ma, Yansheng; Zhong, Ting			Some remarks on the blow-up rate for the 3D magnetic Zakharov system	JOURNAL OF FUNCTIONAL ANALYSIS			English	Article						Magnetic Zakharov system; Blow-up; Space-time integral estimate	EQUATION; PLASMA; INSTABILITY; DIMENSION-2	We continue our study [8] on the Cauchy problem for the three-dimensional magnetic Zakharov system {iE(t) + Delta E - nE + i(E boolean AND B(E)) = 0, n(t) = -del . V, V-t = -del n - del vertical bar E vertical bar(2), Delta B - i eta del x del x (E boolean AND(E) over bar) + delta B = 0, (ZSM) with initial data E(0, x) = E-0(x), n(0, x) = n(0) (x), V(0, x) = V-0(x). (ZSM-1) Let (E, n, V) is an element of C ([0, T), H-1(R-3) x L-2 (R-3) x L-2 (R-3)) be a blow-up solution to the Cauchy problem (ZSM)-(ZSM-1), and let T < infinity be its blow-up time. Then (E, n) satisfies the space-time integral estimate integral(x)(0)[(integral(3)(R)vertical bar n(t,x)vertical bar(q)dx)(1/q) + (integral R-3 vertical bar E(t, x)vertical bar(2q)dx)(1/q)](gamma) dt = +infinity (E-1) where gamma > 1/epsilon, epsilon is an element of (0, 1/4] and q = 3/2(1 - epsilon) is an element of (3/2, 2]. The estimate (E-1) implies that, for alpha < 1, sup(t is an element of[0,T)) [(T - t)(alpha epsilon) (vertical bar n(t)vertical bar L-q(R-3) + vertical bar E(t)vertical bar(2)(L2q(R3)))] = +infinity.where alpha is an element of (0, 1/3) and D = {x is an element of R-3 : vertical bar x vertical bar < 1}. (C) 2015 Elsevier Inc. All rights reserved.	[Gan, Zaihui] Tianjin Univ, Ctr Appl Math, Tianjin 300072, Peoples R China; [Gan, Zaihui; Zhong, Ting] Sichuan Normal Univ, Coll Math & Software Sci, Chengdu 610068, Peoples R China; [Ma, Yansheng] NE Normal Univ, Sch Math & Stat, Changchun 130024, Peoples R China; [Ma, Yansheng] Inst Appl Phys & Computat Math, Beijing 100088, Peoples R China; [Zhong, Ting] Sichuan Tourism Univ, Dept Tourism, Chengdu 610100, Peoples R China	Ma, YS (reprint author), NE Normal Univ, Sch Math & Stat, Changchun 130024, Peoples R China.	ganzaihui2008cn@tju.edu.cn; mays538@nenu.edu.cn; zhongting89@sina.cn			National Science Foundation of China [11171241, 11371084, 114260260]; Program for New Century Excellent Talents in University [NCET-12-1058]	Zaihui Can is partially supported by the National Science Foundation of China under grant 11171241, and the Program for New Century Excellent Talents in University (NCET-12-1058). Yansheng Ma is partially supported by the National Science Foundation of China under grants 11371084, 114260260.		23	1	1	3	11	ACADEMIC PRESS INC ELSEVIER SCIENCE	SAN DIEGO	525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA	0022-1236	1096-0783		J FUNCT ANAL	J. Funct. Anal.	OCT 15	2015	269	8					2505	2529		10.1016/j.jfa.2015.07.010		25	Mathematics	Mathematics	CR0NV	WOS:000361016300005		
J	Zhou, ML; Zhang, Q; Zheng, YD; Tang, Y; Li, FL; Zhu, XM; Shao, JR				Zhou, Mei-Liang; Zhang, Qian; Zheng, Ya-Di; Tang, Yu; Li, Fa-Liang; Zhu, Xue-Mei; Shao, Ji-Rong			Fagopyrum hailuogouense (Polygonaceae), One New Species from Sichuan, China	NOVON			English	Article						China; Fagopyrum; Hailuogou National Glacier Forest Park; IUCN Red List; Polygonaceae; Sichuan	J. L. LIU; TATARY BUCKWHEAT	Fagopyrum hailuogouense J. R. Shao, M. L. Zhou & Q. Zhang (Polygonaceae), a new species discovered in the Hailuogou National Glacier Forest Park, Tibetan Autonomous Prefecture of Garze, Sichuan Province, China, is described and illustrated. This species is perennial; it is distinguished by its succulent and ligneous rhizomes with numerous adventitious roots, congested nodes on underground rhizomes with sparser nodes on the terrestrial stems, and the smooth epicarp surface of the achene without ornamentation. The smooth achene surface distinguishes F. hailuogouense from the morphologically similar F. cymosum (Trevir.) Meisn.	[Zhou, Mei-Liang; Zhang, Qian; Zheng, Ya-Di; Shao, Ji-Rong] Sichuan Agr Univ, Sch Life Sci, Yaan 625014, Sichuan, Peoples R China; [Zhou, Mei-Liang] Chinese Acad Agr Sci, Biotechnol Res Inst, Beijing 100081, Peoples R China; [Tang, Yu] Sichuan Tourism Univ, Dept Tourism Culture, Chengdu 610072, Sichuan, Peoples R China; [Li, Fa-Liang] Xichang Inst Agr Sci, Alpine Crop Res Stn, Xichang 616150, Sichuan, Peoples R China; [Zhu, Xue-Mei] Sichuan Agr Univ, Sch Resources & Environm, Chengdu 611130, Sichuan, Peoples R China	Tang, Y (reprint author), Sichuan Tourism Univ, Dept Tourism Culture, Chengdu 610072, Sichuan, Peoples R China.	zhml39@hotmail.com; shaojr007@163.com			Key Project of Science and Technology of Sichuan, China : "Protection and exploitation of wild-type buckwheat's germplasm resource" [04NG001-015]	This research was supported by the Key Project of Science and Technology of Sichuan, China (grant no. 04NG001-015): "Protection and exploitation of wild-type buckwheat's germplasm resource." We are grateful to Dan Yan (Sichuan Agricultural University, Sichuan, China) for preparing the drawings.		11	0	0	2	2	MISSOURI BOTANICAL GARDEN	ST LOUIS	2345 TOWER GROVE AVENUE, ST LOUIS, MO 63110 USA	1055-3177			NOVON	Novon	SEP	2015	24	2					222	224		10.3417/2013039		3	Plant Sciences	Plant Sciences	CS1QB	WOS:000361841200020		
J	Gao, J; Luo, M; Zhang, C; Peng, H; Lin, HJ; Shen, YU; Zhao, MJ; Pan, GT; Zhang, ZM				Gao, Jian; Luo, Mao; Zhang, Chun; Peng, Hua; Lin, Haijian; Shen, Yaou; Zhao, Maojun; Pan, Guangtang; Zhang, Zhiming			A Putative Pathogen-resistant Regulatory Pathway between MicroRNAs and Candidate Target Genes in Maize	JOURNAL OF PLANT BIOLOGY			English	Article						Banded leaf and sheath blight (BLSB); Maize; microRNA; R. solani; TFs (transcription factors)	TRITICUM-AESTIVUM L.; TRANSCRIPTION FACTOR; INNATE IMMUNITY; AUXIN RECEPTOR; ARABIDOPSIS; EXPRESSION; STRESS; LEAF; PHOSPHATE; INFECTION	MicroRNAs (miRNAs) are a family of small non-coding RNAs that, in most cases, negatively regulate gene expression at the post-transcriptional level. Plant miRNAs have been implicated in developmental processes and adaptation to environmental stress including biotic and abiotic stresses. Here, we report a comprehensive analysis of miRNAs and associated target genes under banded leaf and sheath blight (BLSB) stress caused by R. solani in maize. Eight differentially expressed miRNAs were randomly selected from deep sequencing results and validated by qRT-PCR together with their putative target genes, most of which are transcription factors as well as metabolic genes involved in auxin signaling. The results revealed that majorities of the analyzed miRNAs show an inverse correlation with their corresponding predicted target genes. In addition, a putative regulatory network of miRNAs-mRNAs responsive to R. solani was constructed. This study provides insight into the regulatory functions of miRNAs, thereby expanding our knowledge of the molecular mechanisms of pathogen resistance.	[Gao, Jian; Peng, Hua; Lin, Haijian; Shen, Yaou; Pan, Guangtang; Zhang, Zhiming] Sichuan Agr Univ, Key Lab Biol & Genet Improvement Maize Southwest, Minist Agr, Maize Res Inst, Wenjiang 611130, Sichuan, Peoples R China; [Luo, Mao] Luzhou Med Coll, Drug Discovery Res Ctr, Luzhou 646000, Sichuan, Peoples R China; [Zhao, Maojun] Sichuan Agr Univ, Life Sci Coll, Yaan 625014, Sichuan, Peoples R China; [Peng, Hua] Sichuan Tourism Univ, Chengdu 610000, Sichuan, Peoples R China; [Zhang, Chun] Luzhou Med Coll, Dept Pharm, Luzhou 646000, Sichuan, Peoples R China; [Gao, Jian] Third Mil Med Univ, Inst Pathol, Southwest Hosp, Chongqing, Peoples R China; [Gao, Jian] Third Mil Med Univ, Southwest Canc Ctr, Southwest Hosp, Chongqing, Peoples R China; [Gao, Jian] Minist Educ China, Key Lab Tumor Immunopathol, Chongqing, Peoples R China	Pan, GT (reprint author), Sichuan Agr Univ, Key Lab Biol & Genet Improvement Maize Southwest, Minist Agr, Maize Res Inst, Wenjiang 611130, Sichuan, Peoples R China.	pangt@sicau.edu.cn; Zhangzm1979@yahoo.com.cn			National Natural Science Foundation of China [30900901, 81001700]; ministry of Agriculture in China [2011ZX08003-003]; Sichuan Province Special Sci-Tech Projects [2006J13-039]; Scientific Research Fund of Sichuan Provincial Health Department [120371]; Foundation of Luzhou Municipal Science and Technology Bureau of Sichuan Province [2013-S-47, 2013LZLY-K64]	This work was supported by grants from the National Natural Science Foundation of China (No. 30900901 and No. 81001700), ministry of Agriculture in China (No. 2011ZX08003-003), Sichuan Province Special Sci-Tech Projects (No. 2006J13-039), the Scientific Research Fund of Sichuan Provincial Health Department (120371) and the Foundation of Luzhou Municipal Science and Technology Bureau of Sichuan Province (2013-S-47 and 2013LZLY-K64). Thanks for Anusha Sathyanarayanan to go through and modify this manuscript.		32	0	0	2	15	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	1226-9239	1867-0725		J PLANT BIOL	J. Plant Biol.	AUG	2015	58	4					211	219		10.1007/s12374-014-0572-5		9	Plant Sciences	Plant Sciences	CN2VP	WOS:000358280700002		
J	Zhou, ML; Wang, CL; Qi, LP; Yang, XB; Sun, ZM; Tang, Y; Tang, YX; Shao, JR; Wu, YM				Zhou, Meiliang; Wang, Chenglong; Qi, Leipeng; Yang, Xiongbang; Sun, Zhanmin; Tang, Yu; Tang, Yixiong; Shao, Jirong; Wu, Yanmin			Ectopic Expression of Fagopyrum tataricum FtMYB12 Improves Cold Tolerance in Arabidopsis thaliana	JOURNAL OF PLANT GROWTH REGULATION			English	Article						Buckwheat; Cold stress; COR15a; Malondialdehyde; R2R3-type transcription factor	MYB TRANSCRIPTION FACTOR; FREEZING TOLERANCE; TRANSGENIC ARABIDOPSIS; ABSCISIC-ACID; FACTOR GENE; FLORAL TRANSCRIPTOME; BUCKWHEAT FAGOPYRUM; DROUGHT TOLERANCE; STRESS TOLERANCE; ABIOTIC STRESSES	MYB transcription factors play important roles in the abiotic stress response in plants, but their characteristics and functions in buckwheat (Fagopyrum tataricum) have not been fully investigated. Here, a novel R2R3-type MYB gene, designated FtMYB12, was isolated from the cultivated tartary buckwheat F. tataricum. Using quantitative real-time PCR, we found that the FtMYB12 was greatly induced by low temperature. Sub-localization and yeast transactivity assay demonstrated that the FtMYB12 gene encodes a nuclear transcription activator. Overexpression of FtMYB12 in transgenic Arabidopsis plants resulted in enhanced cold tolerance. The FtMYB12 overexpressing Arabidopsis lines showed higher root length and had elevated levels of proline content and lower levels of malondialdehyde under cold stress conditions compared to the wild-type plants. The results revealed that FtMYB12 may play an essential role in regulation of cold stress-responsive signaling in F. tataricum.	[Zhou, Meiliang; Wang, Chenglong; Sun, Zhanmin; Wu, Yanmin] Chinese Acad Agr Sci, Biotechnol Res Inst, Beijing 100081, Peoples R China; [Zhou, Meiliang; Wang, Chenglong; Qi, Leipeng; Yang, Xiongbang; Shao, Jirong] Sichuan Agr Univ, Sch Life Sci, Yaan 625014, Sichuan, Peoples R China; Sichuan Tourism Univ, Dept Food Sci, Chengdu 610100, Sichuan, Peoples R China	Shao, JR (reprint author), Sichuan Agr Univ, Sch Life Sci, Yaan 625014, Sichuan, Peoples R China.	zhml39@hotmail.com; wuyanmin211@hotmail.com			Key Project of Science and Technology of Sichuan, China [04NG001-015]; National Transgenic Program [(2013ZX08005-004]; National Natural Science Foundation of China [31372361]	This research was supported by the Key Project of Science and Technology of Sichuan, China (Grant No. 04NG001-015, "Protection and exploitation of wild-type buckwheat germplasm resource"), the grant from the National Transgenic Program (2013ZX08005-004) and National Natural Science Foundation of China (Grant No. 31372361).		43	9	11	2	22	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0721-7595	1435-8107		J PLANT GROWTH REGUL	J. Plant Growth Regul.	JUN	2015	34	2					362	371		10.1007/s00344-014-9472-7		10	Plant Sciences	Plant Sciences	CJ1CS	WOS:000355220200013		
J	Fan, WJ; Yi, YW; Zhang, YK; Diao, P				Fan, Wenjiao; Yi, Yuwen; Zhang, Yongkui; Diao, Pan			Effect of an antioxidant from bamboo leaves combined with tea polyphenol on biogenic amine accumulation and lipid oxidation in pork sausages	FOOD SCIENCE AND BIOTECHNOLOGY			English	Article						bamboo leave; tea polyphenol; biogenic amine; lipid oxidation; pork sausage	DRY-FERMENTED SAUSAGE; FROZEN STORAGE; STARTER CULTURE; MUSCLE FOODS; QUALITY; PROTEOLYSIS; CARP; TIME; FAT	The effect of an antioxidant from bamboo leaves (AOB) combined with tea polyphenol (TP) on biogenic amine accumulation and lipid oxidation in pork sausages during storage was investigated. The peroxide (POV) and the 2-thiobarbituric acid (TBA) values were determined for 8 biogenic amines. Treatment with AOB combined with TP showed a significant (p < 0.05) antioxidative effect with lower POV and TBA values, and suppression of accumulation of the total level of biogenic amines, and the individual biogenic amines tryptamine, putrescine, cadaverine, histamine, and tyramine, compared to control sausages. Treatment with AOB combined with TP is a promising candidate for retardation of lipid oxidation and prevention of biogenic amine formation in pork sausages.	[Fan, Wenjiao; Yi, Yuwen] Sichuan Tourism Univ, Dept Food Sci, Chengdu 610100, Peoples R China; [Zhang, Yongkui; Diao, Pan] Sichuan Univ, Sch Chem Engn, Chengdu 610065, Peoples R China	Fan, WJ (reprint author), Sichuan Tourism Univ, Dept Food Sci, Chengdu 610100, Peoples R China.	wenjiaolc@163.com			Research Fund of the Application Project of Sichuan Province [2014JY0250]; Research Fund of Meat Processing Key Laboratory of Sichuan Province [14-R04]	This work was supported by the Research Fund of the Application Project of Sichuan Province (Project Number 2014JY0250), and the Research Fund of Meat Processing Key Laboratory of Sichuan Province (Project Number 14-R04).		30	0	0	6	25	KOREAN SOCIETY FOOD SCIENCE & TECHNOLOGY-KOSFOST	SEOUL	#605, KOREA SCI TECHNOL CENT, 635-4 YEOKSAM-DONG, KANGNAM-GU, SEOUL, 135-703, SOUTH KOREA	1226-7708	2092-6456		FOOD SCI BIOTECHNOL	Food Sci. Biotechnol.	APR	2015	24	2					421	426		10.1007/s10068-015-0055-6		6	Food Science & Technology	Food Science & Technology	CE5HO	WOS:000351862100005		
J	Li, Y; Yang, F; Yuan, MX; Jiang, L; Yuan, L; Zhang, XW; Li, Y; Dong, L; Bao, X; Yin, SF				Li, Yong; Yang, Fang; Yuan, Mingxing; Jiang, Lijuan; Yuan, Li; Zhang, Xiaowei; Li, Ying; Dong, Lin; Bao, Xu; Yin, Shufan			Synthesis and evaluation of asiatic acid derivatives as anti-fibrotic agents: Structure/activity studies	STEROIDS			English	Article						Fibrotic diseases; Asiatic acid derivatives; Anti-fibrotic; Synthesis	FIBROSIS; BILIARY; MATRIX; MICE	Fibrotic diseases are characterized by the over-accumulation of fibrous components in the extracellular matrix and the liver, which can lead to liver cirrhosis. Current treatment options cannot reverse or halt liver fibrosis, motivating a search for newer treatment options. Previously, we showed that asiaticoside, a bioactive triterpene glycoside from Centella asiatica, has anti-fibrotic properties. Here, the aglycone asiatic acid was chemically modified, and these derivatives were evaluated for their potential as anti-fibrotic agents. The data obtained from in vivo testing of these compounds in a rodent CCl4-induced liver injury model are discussed. The information obtained from these studies may be useful in the design of novel anti-fibrotic agents. (C) 2015 Elsevier Inc. All rights reserved.	[Li, Yong; Yuan, Mingxing; Jiang, Lijuan; Yuan, Li; Zhang, Xiaowei; Li, Ying; Dong, Lin; Yin, Shufan] Sichuan Univ, Sch Chem, Chengdu 610064, Sichuan, Peoples R China; [Yang, Fang] Sichuan Tourism Univ, Chengdu 610100, Sichuan, Peoples R China; [Bao, Xu] Sichuan Univ, Sch Pharm, Chengdu 610064, Sichuan, Peoples R China	Yin, SF (reprint author), Sichuan Univ, Sch Chem, 29 Wangjiang Rd, Chengdu 610064, Sichuan, Peoples R China.	chuandayouji217@163.com						12	1	1	2	9	ELSEVIER SCIENCE INC	NEW YORK	360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA	0039-128X	1878-5867		STEROIDS	Steroids	APR	2015	96						44	49		10.1016/j.steroids.2014.11.001		6	Biochemistry & Molecular Biology; Endocrinology & Metabolism	Biochemistry & Molecular Biology; Endocrinology & Metabolism	CE4HF	WOS:000351791000007	25461275	
