PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Pei, Z; Yi, LZ				Pei, Zheng; Yi, Liangzhong			A note on operations of hesitant fuzzy sets	INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS			English	Article						the residuated lattice; the lattice; hesitant fuzzy sets; operations	GROUP DECISION-MAKING; LINGUISTIC TERM SETS; PREFERENCE RELATIONS; INFORMATION AGGREGATION; OPERATORS; DISTANCE	In this paper, properties of operations and algebraic structures of hesitant fuzzy sets are investigated. Semilattices of hesitant fuzzy sets with union and intersection are discussed, respectively. By using circle plus and circle times operators, the commutative monoid of hesitant fuzzy sets is provided, moreover, the lattice and distributive lattice of hesitant fuzzy sets are defined on the equivalence class of hesitant fuzzy sets. Based on the distributive lattice of hesitant fuzzy sets, the residuated lattices of hesitant fuzzy sets are constructed by residual implications, which are induced by intersection and circle times, respectively. From the theoretical point of view, algebraic structures of hesitant fuzzy sets are useful for approximate reasoning and decision making to deal with hesitancy of information.	[Pei, Zheng] Xihua Univ, Ctr Radio Adm & Technol Dev, Chengdu 610039, Sichuan, Peoples R China; [Yi, Liangzhong] Sichuan Police Coll, Luzhou 646000, Sichuan, Peoples R China	Pei, Z (reprint author), Xihua Univ, Ctr Radio Adm & Technol Dev, Chengdu 610039, Sichuan, Peoples R China.	pqyz@263.net			national natural science foundation of China [61372187, 71301129]; Sichuan Key Technology Research and Development Program [2012GZ0019, 2013GXZ0155]	This work is supported by the national natural science foundation of China (61372187, 71301129) and Sichuan Key Technology Research and Development Program (2012GZ0019, 2013GXZ0155).		35	6	6	6	35	ATLANTIS PRESS	PARIS	29 AVENUE LAUMIERE, PARIS, 75019, FRANCE	1875-6891	1875-6883		INT J COMPUT INT SYS	Int. J. Comput. Intell. Syst.	MAR 4	2015	8	2					226	239		10.1080/18756891.2015.1001947		14	Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications	Computer Science	AX3MP	WOS:000346843900004		
J	Jia, CS; Yi, LZ; Long, SW				Jia, Chun-Sheng; Yi, Liang-Zhong; Long, Shi-Wen			Relationship of the deformed hyperbolic Kratzer-like and Tietz potential energy models for diatomic molecules	CANADIAN JOURNAL OF PHYSICS			English	Article							L-STATE SOLUTIONS; DIMENSIONAL SCHRODINGER-EQUATION; HUA ROTATING OSCILLATOR; NIKIFOROV-UVAROV METHOD; CENTRIFUGAL TERM; VIBRATIONAL LEVELS; APPROXIMATE SOLUTIONS; CURVES; 3(3)SIGMA(+)(G); EQUIVALENCE	Taking the dissociation energy and the equilibrium bond length as explicit parameters, we construct an improved form of the deformed hyperbolic Kratzer-like potential function for diatomic molecules. We show that the deformed hyperbolic Kratzer-like potential model is equivalent to the Tietz potential model for diatomic molecules. We observe that the Tietz potential is superior to the Morse potential in reproducing the interaction potential energy curve for the 2(3)Pi(g) state of the Li-7(2) molecule.	[Jia, Chun-Sheng] Southwest Petr Univ, State Key Lab Oil & Gas Reservoir Geol & Exploita, Chengdu 610500, Peoples R China; [Yi, Liang-Zhong] Sichuan Police Coll, Luzhou 646000, Sichuan, Peoples R China; [Long, Shi-Wen] Southwest Petr Univ, Sch Foreign Language, Chengdu 610500, Peoples R China	Jia, CS (reprint author), Southwest Petr Univ, State Key Lab Oil & Gas Reservoir Geol & Exploita, Chengdu 610500, Peoples R China.	chshjia@263.net			National Natural Science Foundation of China [10675097]; Science Foundation of State Key Laboratory of Oil and Gas Reservoir Geology and Exploitation of China [PLN-ZL001]	We would like to thank the kind referees for their helpful comments and suggestions, which have improved the manuscript. This work was supported by the National Natural Science Foundation of China under grant No. 10675097, and the Science Foundation of State Key Laboratory of Oil and Gas Reservoir Geology and Exploitation of China under grant No. PLN-ZL001.		59	1	1	0	5	CANADIAN SCIENCE PUBLISHING, NRC RESEARCH PRESS	OTTAWA	65 AURIGA DR, SUITE 203, OTTAWA, ON K2E 7W6, CANADA	0008-4204	1208-6045		CAN J PHYS	Can. J. Phys.	OCT	2014	92	10					1258	1261		10.1139/cjp-2013-0684		4	Physics, Multidisciplinary	Physics	AQ8XZ	WOS:000343124800025		
J	Dai, Y; Lv, BK; Zhang, XF; Xiao, Y				Dai, Yong; Lv, Bao-Kuo; Zhang, Xin-Fu; Xiao, Yi			A two-photon mitotracker based on a naphthalimide fluorophore: Synthesis, photophysical properties and cell imaging	CHINESE CHEMICAL LETTERS			English	Article						Mitotracker; Mitochondria; Namphthalimide; Two-photon; Fluorescence imaging	LIVING CELLS; FLUORESCENT-PROBE; MITOCHONDRIA; APOPTOSIS; FISSION; BIOLOGY	PAHPN, a naphthalimide-based mitotracker with reasonable two-photon excitation emission activity and polarity-sensitive fluorescence properties has been efficiently synthesized and studied in two-photon, co-localization, and FLIM imaging. (C) 2014 Bao-Kuo Lv and Yi Xiao. Published by Elsevier B.V. on behalf of Chinese Chemical Society. All rights reserved.	[Dai, Yong] Sichuan Police Coll, Dept Criminal Sci & Technol, Luzhou 646000, Peoples R China; [Lv, Bao-Kuo] Liaoning Water Environm Monitoring Ctr, Shenyang Branch, Shenyang 110005, Peoples R China; [Dai, Yong; Zhang, Xin-Fu; Xiao, Yi] Dalian Univ Technol, State Key Lab Fine Chem, Dalian 116024, Peoples R China	Lv, BK (reprint author), Liaoning Water Environm Monitoring Ctr, Shenyang Branch, Shenyang 110005, Peoples R China.	lvbaokuo1987@163.com; xiaoyi@dlut.edu.cn			National Natural Science Foundation of China [21174022, 21376038]; National Basic Research Program of China [2013CB733702]; Education Department of Sichuan Province [12ZA087]; Specialized Research Fund for the Doctoral Program of Higher Education [20110041110009]	We thank National Natural Science Foundation of China (Nos. 21174022, 21376038), National Basic Research Program of China (No. 2013CB733702), Key Project of the Education Department of Sichuan Province (No. 12ZA087), and Specialized Research Fund for the Doctoral Program of Higher Education (No. 20110041110009).		13	11	13	4	45	ELSEVIER SCIENCE INC	NEW YORK	360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA	1001-8417	1878-5964		CHINESE CHEM LETT	Chin. Chem. Lett.	JUL	2014	25	7					1001	1005		10.1016/j.cclet.2014.05.020		5	Chemistry, Multidisciplinary	Chemistry	AM9TH	WOS:000340223400006		
J	Gao, Y; Yu, WD; Liu, YB; Wang, R; Shi, CP				Gao, Yang; Yu, Weidong; Liu, Yabo; Wang, Robert; Shi, Chenpeng			Sharpness-Based Autofocusing for Stripmap SAR Using an Adaptive-Order Polynomial Model	IEEE GEOSCIENCE AND REMOTE SENSING LETTERS			English	Article						Autofocus; conjugate gradient method (CGM); sharpness; synthetic aperture radar (SAR)	MOTION COMPENSATION; PHASE CORRECTION; AIRBORNE SAR; GRADIENT	A novel autofocusing technique is developed for image from stripmap-mode synthetic aperture radar (SAR) data. The approach is based on maximizing the image sharpness function that induces the solution to maximum-posterior estimation. In this letter, closed-form expressions are derived for the gradients of the sharpness function with respect to the coefficients of the polynomial expansion, which makes the use of conjugate gradient algorithm available. Additionally, we also design a modified adaptive-order searching strategy, and it helps to remarkably reduce the computational load while maintaining the accuracy. Real airborne SAR data experiments and comparisons demonstrate the validity and effectiveness of the proposed algorithm.	[Gao, Yang; Yu, Weidong; Liu, Yabo; Wang, Robert] Chinese Acad Sci, Inst Elect, Dept Space Microwave Remote Sensing Syst, Beijing 100190, Peoples R China; [Shi, Chenpeng] Sichuan Police Coll, Dept Rd Traff Management, Luzhou 646000, Peoples R China	Gao, Y (reprint author), Chinese Acad Sci, Inst Elect, Dept Space Microwave Remote Sensing Syst, Beijing 100190, Peoples R China.	gaoyang0209@mails.ucas.ac.cn						14	4	5	3	14	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	PISCATAWAY	445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA	1545-598X	1558-0571		IEEE GEOSCI REMOTE S	IEEE Geosci. Remote Sens. Lett.	JUN	2014	11	6					1086	1090		10.1109/LGRS.2013.2286410		5	Geochemistry & Geophysics; Engineering, Electrical & Electronic; Remote Sensing; Imaging Science & Photographic Technology	Geochemistry & Geophysics; Engineering; Remote Sensing; Imaging Science & Photographic Technology	AA5NJ	WOS:000331146200012		
J	Zhang, KC; Dai, Y; Zhang, XF; Xiao, Y				Zhang, Kaichen; Dai, Yong; Zhang, Xinfu; Xiao, Yi			Synthesis and photophysical properties of three ladder-type chromophores with large and rigid conjugation structures	DYES AND PIGMENTS			English	Article						Synthesis; Linear optics properties; Electrochemical; Two-photon absorption; Intramolecular charge transfer; Ladder-conjugated chromophore	ABSORBING CHROMOPHORES; 2-PHOTON ABSORPTION; CROSS-SECTIONS; DERIVATIVES; FLUORESCENCE; QUINOXALINES; EXCITATION; POLYMERS; ACID	Three novel ladder-conjugated chromophores indicated as LT1-LT3 were synthesized and characterized. Further studies on linear, nonlinear optics and electrochemical properties demonstrated their photophysical features respectively. Compound LT1 shows good two-photon absorption cross-section (6) up to similar to 1200 GM at 810 nm in tetrahydrofuran, which is attributed to intramolecular charge transfer effect, as supported by density functional theory theoretical calculations. Compound L12 and LT3 show considerable molar extinction coefficients, which are more than 10(5), and higher quantum yields. Structure function relationship is further discussed, suggesting a rational strategy to develop ladder-conjugated small molecules. (C) 2013 Elsevier Ltd. All rights reserved.	[Zhang, Kaichen; Zhang, Xinfu; Xiao, Yi] Dalian Univ Technol, Staie Key Lab Fine Chem, Dalian 116012, Peoples R China; [Dai, Yong] Sichuan Police Coll, Dept Criminal Sci & Technol, Luzhou 646000, Peoples R China	Xiao, Y (reprint author), Dalian Univ Technol, Staie Key Lab Fine Chem, Dalian 116012, Peoples R China.	sdy-0502@163.com; xiaoyi@dlut.edu.cn			National Natural Science Foundation of China [21174022]; Fundamental Research Funds for the Central Universities [DUT10ZD114]	The authors thank National Natural Science Foundation of China (No. 21174022) and the Fundamental Research Funds for the Central Universities (No. DUT10ZD114) for financial support.		30	2	2	3	43	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0143-7208	1873-3743		DYES PIGMENTS	Dyes Pigment.	MAR	2014	102						1	5		10.1016/j.dyepig.2013.10.030		5	Chemistry, Applied; Engineering, Chemical; Materials Science, Textiles	Chemistry; Engineering; Materials Science	AB0LO	WOS:000331483800001		
J	Liu, MH; Yang, SJ; Zhang, D; Shui, PX; Song, SS; Yao, J; Dai, Y; Sun, Q				Liu, Minghua; Yang, Sijin; Zhang, Dan; Shui, Pixian; Song, Shanshan; Yao, Jian; Dai, Yong; Sun, Qin			Fructopyrano-(1 -> 4)-glucopyranose inhibits the proliferation of liver cancer cells and angiogenesis in a VEGF/VEGFR dependent manner	INTERNATIONAL JOURNAL OF CLINICAL AND EXPERIMENTAL MEDICINE			English	Article						Vascular endothelial growth factor; vascular endothelial growth factor receptor; liver cancer; fructopyrano-(1 -> 4)-glucopyranose	ENDOTHELIAL GROWTH-FACTOR; HEPATOCELLULAR-CARCINOMA	Purpose: To investigate whether fructopyrano-(1 -> 4)-glucopyranose (FG) inhibits the proliferation of liver cancer cells and angiogenesis in a vascular endothelial growth factor (VEGF)/vascular endothelial growth factor receptor (VEGFR) dependent manner. Methods: Bel-7402, HepG2 and SMMC-7721 cells with high expression of VEGF and VEGFR were screened. Bel-7402 cells and human microvascular endothelial cells (HMEC) were treated with FG for 48 h. CCK-8 assay was used to detect cell proliferation. Wound healing assay was used to investigate effect of FG on the migration of HMECs. Tube formation assay was done to test influence of FG on the angiogenesis of HMECs, and qRT-PCR and western blot assay were performed to detect mRNA and protein expression of VEGF, Fit-1 and KDR. Nude mice were inoculated with Bel-7402 cells, and influence of FG on tumor growth, microvessel density (MVD) and VEGF expression in tumor was investigated. Results: Bel-7402 cells had a significantly higher expression of VEGF and VEGFR when compared with HepG2 cells and SMMC-7721 cells. FG could markedly reduce the mRNA and protein expressions of VEGF, Fit-1 and KDR in Bel-7402 cells and inhibit the proliferation of Bel-7402 cells in a concentration dependent manner. In addition, FG was able to remarkably inhibit the proliferation, migration and angiogenesis of HMECs, exerting anti-angiogenetic effect. In cancer-bearing nude mice, FG was found to inhibit the tumor growth, reduce MVD in tumors and decrease the VEGF in tumors. Conclusions: FG can inhibit proliferation of liver cancer cells and suppression angiogenesis in liver cancer in a VEGF/VEGFR dependent manner.	[Liu, Minghua; Zhang, Dan; Shui, Pixian; Sun, Qin] Luzhou Med Coll, Dept Pharm, Luzhou 646000, Peoples R China; [Yang, Sijin] Luzhou Med Coll, Affiliated Hosp Tradit Chinese Med, Luzhou 646000, Peoples R China; [Song, Shanshan] Chinese Acad Sci, Shanghai Inst Mat Med, State Key Lab Drug Res, Div Antitumor Pharmacol, Shanghai 201203, Peoples R China; [Yao, Jian] Peoples Hosp Luzhou City, Dept Hepatobiliary Surg, Luzhou 646000, Peoples R China; [Dai, Yong] Sichuan Police Coll, Dept Criminal Sci & Technol, Luzhou 646000, Peoples R China	Sun, Q (reprint author), Luzhou Med Coll, Dept Pharm, Luzhou 646000, Peoples R China.	99053808@qq.com; 496655521@qq.com; sunqin_00@126.com			National Natural Science Foundation of China [30873381]	The study was supported by National Natural Science Foundation of China (No: 30873381).		21	3	3	2	5	E-CENTURY PUBLISHING CORP	MADISON	40 WHITE OAKS LN, MADISON, WI 53711 USA	1940-5901			INT J CLIN EXP MED	Int. J. Clin. Exp. Med.		2014	7	11					3859	3869				11	Medicine, Research & Experimental	Research & Experimental Medicine	AZ6BC	WOS:000348302100005	25550894	
J	Pei, Z; Zou, L; Yi, LZ				Pei, Zheng; Zou, Li; Yi, Liangzhong			A LINGUISTIC AGGREGATION OPERATOR INCLUDING WEIGHTS FOR LINGUISTIC VALUES AND EXPERTS IN GROUP DECISION MAKING	INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS			English	Article						Computing with word; linguistic group decision making; the 2-tuple fuzzy linguistic representation model	OWA OPERATOR; DATA SUMMARIES; INFORMATION; MODEL; DATABASE; WORDS; ALGORITHM; STEEL	Different linguistic aggregation methods have been proposed and applied in the linguistic decision making problems. Generally, weights for experts or criteria are considered in linguistic aggregation processes. In this paper, we provide a method to discovery new forms to compute weights and new interpretations in the linguistic ordered weighted averaging operator. In linguistic decision analysis, it can be noticed that some of initial linguistic values used by experts have priority over others linguistic values in evaluation processes. We formalize the priority over initial linguistic values as weights for linguistic values, by considering weights for linguistic values as well as weights for experts, we provide an alternative method to discovery weights information of the linguistic ordered weighted averaging operator, its properties show that such linguistic aggregation operator is extensions of the 2-tuple arithmetic mean, the 2-tuple weighted aggregation operator and the 2-tuple ordered weighted averaging operator. By an illustrative example, we compare the linguistic aggregation operator with the 2-tuple weighted aggregation operator and the 2-tuple ordered weighted averaging operator in a decision making problem. From the practical point of view, we provide an optimization model to obtain such weights information in linguistic aggregation processes, examples show the linguistic aggregation operator as an alternative linguistic ordered weighted averaging operator in practice.	[Pei, Zheng] Xihua Univ, Ctr Radio Adm & Technol Dev, Chengdu 610039, Sichuan, Peoples R China; [Zou, Li] Liaoning Normal Univ, Sch Comp & Informat Technol, Dalian 116029, Peoples R China; [Zou, Li] Nanjing Univ, State Key Lab Novel Software Technol, Nanjing 210093, Jiangsu, Peoples R China; [Yi, Liangzhong] Sichuan Police Coll, Luzhou 646000, Sichuan, Peoples R China	Zou, L (reprint author), Liaoning Normal Univ, Sch Comp & Informat Technol, Dalian 116029, Peoples R China.	pqyz@263.net; zoulicn@163.com; yiliangzhong@x263.net			National Nature Science Foundation of China [61105059, 61175055, 61372187, 61173100]; International Cooperation and Exchange of the National Natural Science Foundation of China [61210306079]; China Postdoctoral Science Foundation [2012M510815]; Liaoning Excellent Talents in University [LJQ2011116]; Sichuan Key Technology Research and Development Program [2011FZ0051, 2012GZ0019]; Radio Administration Bureau of MIIT of China [[2011] 146]; China Institution of Communications [[2011] 051]; Sichuan Key Laboratory of Intelligent Network Information Processing [SGXZD1002-10]	This work is partly supported by National Nature Science Foundation of China (Grant Nos. 61105059, 61175055, 61372187 and 61173100), International Cooperation and Exchange of the National Natural Science Foundation of China (Grant No. 61210306079), China Postdoctoral Science Foundation (Grant No. 2012M510815), Liaoning Excellent Talents in University (Grant No. LJQ2011116), Sichuan Key Technology Research and Development Program (Grant No. 2011FZ0051), Radio Administration Bureau of MIIT of China (Grant No. [2011] 146), China Institution of Communications (Grant No. [2011] 051), Sichuan Key Technology Research and Development Program (2012GZ0019), Sichuan Key Laboratory of Intelligent Network Information Processing (Grant No. SGXZD1002-10).		47	1	2	2	15	WORLD SCIENTIFIC PUBL CO PTE LTD	SINGAPORE	5 TOH TUCK LINK, SINGAPORE 596224, SINGAPORE	0218-4885	1793-6411		INT J UNCERTAIN FUZZ	Int. J. Uncertainty Fuzziness Knowl.-Based Syst.	DEC	2013	21	6					927	943		10.1142/S0218488513500426		17	Computer Science, Artificial Intelligence	Computer Science	279FW	WOS:000328946800006		
J	Jia, CS; Chen, T; Yi, LZ; Lin, SR				Jia, Chun-Sheng; Chen, Tao; Yi, Liang-Zhong; Lin, Shu-Rong			Equivalence of the deformed Rosen-Morse potential energy model and Tietz potential energy model	JOURNAL OF MATHEMATICAL CHEMISTRY			English	Article						Deformed Rosen-Morse potential model; Tietz potential model; Morse potential model	DIATOMIC-MOLECULES; VIBRATIONAL LEVELS; BOUND-STATES; MECHANICS; EQUATION; EXPRESSIONS; OSCILLATOR; DYNAMICS	By applying the dissociation energy and the equilibrium bond length for a diatomic molecule as explicit parameters, we generate an improved expression for the deformed Rosen-Morse potential energy model. It is found that the deformed Rosen-Morse potential model and the well-known Tietz potential model are the same empirical potential function for diatomic molecules. With the help of the energy spectrum expression of the deformed Rosen-Morse potential model, we obtain exact closed-form expressions of diatomic anharmonicity constants and .	[Jia, Chun-Sheng] Southwest Petr Univ, State Key Lab Oil & Gas Reservoir Geol & Exploita, Chengdu 610500, Peoples R China; [Chen, Tao; Lin, Shu-Rong] Sichuan Agr Univ, Life & Phys Sci Coll, Yaan 625014, Sichuan, Peoples R China; [Yi, Liang-Zhong] Sichuan Police Coll, Luzhou 646000, Sichuan, Peoples R China	Jia, CS (reprint author), Southwest Petr Univ, State Key Lab Oil & Gas Reservoir Geol & Exploita, Chengdu 610500, Peoples R China.	chshjia@263.net			National Natural Science Foundation of China [10675097]; Natural Science Foundation of the Sichuan Education Bureau of China [11ZA021]; Science Foundation of State Key Laboratory of Oil and Gas Reservoir Geology and Exploitation of China [PLN-ZL001]	This work was supported by the National Natural Science Foundation of China under Grant No. 10675097, the Natural Science Foundation of the Sichuan Education Bureau of China under Grant No. 11ZA021, and the Science Foundation of State Key Laboratory of Oil and Gas Reservoir Geology and Exploitation of China under Grant No. PLN-ZL001.		39	15	15	0	19	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0259-9791			J MATH CHEM	J. Math. Chem.	SEP	2013	51	8					2165	2172		10.1007/s10910-013-0204-1		8	Chemistry, Multidisciplinary; Mathematics, Interdisciplinary Applications	Chemistry; Mathematics	198DT	WOS:000322902800012		
J	Bing, L; Liang, WB; Pi, JH; Zhang, DM; Yong, D; Luo, HB; Zhang, LS; Lin, Z				Bing, Long; Liang, Weibo; Pi, Jianhua; Zhang, Deming; Yong, Dai; Luo, Haibo; Zhang, Lushun; Lin, Zhang			Population genetics for 17 Y-STR loci(AmpFISTR (R) Y-filerTM) in Luzhou Han ethnic group	FORENSIC SCIENCE INTERNATIONAL-GENETICS			English	Article						DNA; STR; Luzhou; Y-STR; Haplotype	FORENSIC-GENETICS; HAPLOTYPES; LOCI; POLYMORPHISMS; SYSTEM; CHINA; DNA	In this study, 17 Y-STR loci(AmpFISTR (R) Y-filerTM)-DYS456, DYS389I, DYS390, DYS389II, DYS458, DYS19, DYS385a/b, DYS393, DYS391, DYS439, DYS635, DYS392, Y-GATA H4, DYS437, DYS438, DYS448 were analyzed in 424 unrelated males from Luzhou Han ethnic group, Southwest China. 365 haplotypes were observed. The discrimination capacity was 0.8608 and the haplotype diversity was 0.9992. (C) 2012 Elsevier Ireland Ltd. All rights reserved.	[Bing, Long; Liang, Weibo; Luo, Haibo; Zhang, Lushun; Lin, Zhang] W China Univ Med Sci, Sichuan Univ, Inst Forens Med, Chengdu 610041, Sichuan, Peoples R China; [Bing, Long; Pi, Jianhua; Zhang, Deming; Yong, Dai] Sichuan Police Coll, Dept Forens Med, Luzhou 646000, Sichuan, Peoples R China	Lin, Z (reprint author), W China Univ Med Sci, Sichuan Univ, Inst Forens Med, Chengdu 610041, Sichuan, Peoples R China.	zhanglin@scu.edu.cn	liang, weibo/G-8456-2011	liang, weibo/0000-0002-8487-3575	National Natural Science Foundation of China [30801317]; Public Security Bureau of Sichuan Province	This study was supported by The National Natural Science Foundation of China (No. 30801317) and the Public Security Bureau of Sichuan Province.		15	18	18	0	9	ELSEVIER IRELAND LTD	CLARE	ELSEVIER HOUSE, BROOKVALE PLAZA, EAST PARK SHANNON, CO, CLARE, 00000, IRELAND	1872-4973			FORENSIC SCI INT-GEN	Forensic Sci. Int.-Genet.	FEB	2013	7	2					E23	E26		10.1016/j.fsigen.2012.11.010		4	Genetics & Heredity; Medicine, Legal	Genetics & Heredity; Legal Medicine	094YQ	WOS:000315302000001	23298877	
J	Yu, HB; Jin, LJ; Dai, Y; Li, HQ; Xiao, Y				Yu, Haibo; Jin, Liji; Dai, Yong; Li, Huaqiang; Xiao, Yi			From a BODIPY-rhodamine scaffold to a ratiometric fluorescent probe for nitric oxide	NEW JOURNAL OF CHEMISTRY			English	Article							RESONANCE ENERGY-TRANSFER; L-ARGININE; SENSOR; EMISSION; PROTEINS; DONORS; CELLS; HG2+; EPR	Based on a FRET scaffold bearing BODIPY and TMR fluorophores, a ratiometric fluorescent probe BRP-NO highly sensitive and selective to nitric oxide was developed and employed for imaging intracellular nitric oxide released from NOC13.	[Yu, Haibo; Xiao, Yi] Dalian Univ Technol, State Key Lab Fine Chem, Dalian 116012, Peoples R China; [Jin, Liji; Li, Huaqiang] Dalian Univ Technol, Sch Life Sci & Technol, Dalian 116024, Peoples R China; [Dai, Yong] Sichuan Police Coll, Dept Criminal Sci & Technol, Luzhou 646000, Peoples R China	Jin, LJ (reprint author), Dalian Univ Technol, Sch Life Sci & Technol, Dalian 116024, Peoples R China.	lijijin@dlut.edu.cn; sdy-0502@163.com; xiaoyi@dlut.edu.cn		Li, Hua-Qiang/0000-0002-6096-3752	National Basic Research Program of China [2013CB733702]; Fundamental Research Funds for the Central Universities [DUT11LK4]; Specialized Research Fund for the Doctoral Program of Higher Education [20110041110009]	We thank National Natural Science Foundation of China (no. 21174022), National Basic Research Program of China (no. 2013CB733702), the Fundamental Research Funds for the Central Universities (no. DUT11LK4) and Specialized Research Fund for the Doctoral Program of Higher Education (no. 20110041110009).		37	32	33	8	87	ROYAL SOC CHEMISTRY	CAMBRIDGE	THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE CB4 0WF, CAMBS, ENGLAND	1144-0546			NEW J CHEM	New J. Chem.		2013	37	6					1688	1691		10.1039/c3nj41127c		4	Chemistry, Multidisciplinary	Chemistry	146XC	WOS:000319127900006		
