序号,名称,内容,时间
1,《R语言入门》,Basic R programming concepts,2018/9/12
2,《R语言之数据可视化》,Introductory data visualization and ggplot2,2018/9/19
3,《R语言之可重复性研究》,Rmarkdown + bookdown + blogdown,2018/9/26
4,《R语言之数据处理》,Data wrangling using tidyr +  dplyr + lubridate,2018/10/10
5,《R语言之函数式编程》,Functional Programming: purrr + broom,2018/10/17
6,《R语言之探索性数据分析》,exploratory data analysis,2018/10/17
7,《R语言之机器学习》,"Regression, Clustering  ...",2018/10/24
8,《R语言之预测建模》,tidymodels: recipes + rsample + yardstick + parsnip + dials + broom + caret,2018/10/31
9,《R语言之正则表达式》,stringr + Regular Expressions + glue,2018/11/7
10,《R语言之网页爬虫》,Simple web scraping in R using rvest and SelectorGadget,2018/11/14
11,《R语言之文本挖掘》,tidyverse + tidytext,2018/11/21
12,《R语言之社会网络分析》,Tidying up your network analysis with tidygraph and ggraph,2018/11/28
13,《R语言之地理数据处理》,sf: Tidy spatial data analysis,2018/12/5
14,《R语言之统计推断》,infer: tidy statistical inference,2018/12/12
15,《R语言之概率编程》,Introduction to Probabilistic Programming, tidybayes + brms + Rstan,2018/10/17
16,《R语言之时间序列分析》,tibbletime: time series and financial analysis in the tidyverse,2018/12/19
17,《R语言之科学计量学》,An R-tool for quantitative research in bibliometrics and scientometrics,2018/12/19
18,《R语言之kaggle案例》,kaggle and Data Driven Innovation Research Competition,2018/12/26
