Coll_name,coll_name_cn
"Sichuan Normal Univ, Coll Geog & Resource Sci,",地理与资源科学学院
"Sichuan Normal Univ, Coll Geog & Resources Sci,",地理与资源科学学院
"Sichuan Normal Univ, Coll Geog & Resources,",地理与资源科学学院
"Sichuan Normal Univ, Coll Geog Sci,",地理与资源科学学院
"Sichuan Normal Univ, Fac Geog Resources Scienses,",地理与资源科学学院
"Sichuan Normal Univ, Inst Geog & Resources,",地理与资源科学学院
"Sichuan Normal Univ, Coll Chem & Mat Sci,",化学与材料科学学院
"Sichuan Normal Univ, Dept Chem,",化学与材料科学学院
"Sichuan Normal Univ, Coll Chem & Mat,",化学与材料科学学院
"Sichuan Normal Univ, Dept Chem & Mat Sci,",化学与材料科学学院
"Sichuan Normal Univ, Dept Chem & Mat,",化学与材料科学学院
"Sichuan Normal Univ, Chem & Mat Inst,",化学与材料科学学院
"Sichuan Normal Univ, Sch Chem & Mat Sci,",化学与材料科学学院
"Sichuan Normal Univ, Coll Chem,",化学与材料科学学院
"Sichuan Normal Univ, Inst Chem & Mat,",化学与材料科学学院
"Sichuan Normal Univ, Chem & Mat Sci Coll,",化学与材料科学学院
"Sichuan Normal Univ, Coll Chem & Mat Chem,",化学与材料科学学院
"Sichuan Normal Univ, Chem & Mat Sci,",化学与材料科学学院
"Sichuan Normal Univ, Fac Chem,",化学与材料科学学院
"Sichuan Normal Univ, Inst Chem,",化学与材料科学学院
"Sichuan Normal Univ, Chem & Mat Coll,",化学与材料科学学院
"Sichuan Normal Univ, Coll Chem & Mat Sci & Visual Comp,",化学与材料科学学院
"Sichuan Normal Univ, Departement Chem & Mat Sci,",化学与材料科学学院
"Sichuan Normal Univ, Coll Fundamental Educ,",基础教学学院
"Sichuan Normal Univ, Fundamental Educ Coll,",基础教学学院
"Sichuan Normal Univ, Dept Fundamental Educ,",基础教学学院
"Sichuan Normal Univ, Foundamental Educ Coll,",基础教学学院
"Sichuan Normal Univ, Sch Fundamental Educ,",基础教学学院
"Sichuan Normal Univ, Coll Comp Sci,",计算机科学学院
"Sichuan Normal Univ, Sch Comp Sci,",计算机科学学院
"Sichuan Normal Univ, Dept Comp Sci,",计算机科学学院
"Sichuan Normal Univ, Coll Comp,",计算机科学学院
"Sichuan Normal Univ, Coll Computer Sci,",计算机科学学院
"Sichuan Normal Univ, Sichuan Prov Key Lab Comp Software,",计算机软件省级重点实验室
"Sichuan Normal Univ, Key Lab Comp Software,",计算机软件省级重点实验室
"Sichuan Normal Univ, Key Software Lab,",计算机软件省级重点实验室
"Sichuan Normal Univ, Sichuan Provincial Key Lab Comp Software,",计算机软件省级重点实验室
"Sichuan Normal Univ, Software Lab,",计算机软件省级重点实验室
"Sichuan Normal Univ, Key Lab Comp Software Sci,",计算机软件省级重点实验室
"Sichuan Normal Univ, Lab Comp Software Sci,",计算机软件省级重点实验室
"Sichuan Normal Univ, Sichuan Provincial Key Lab Comp Sofware,",计算机软件省级重点实验室
"Sichuan Normal Univ, State Key Lab Comp Software,",计算机软件省级重点实验室
"Sichuan Normal Univ, Sichuan Key Lab Comp Software,",计算机软件省级重点实验室
"Sichuan Normal Univ, Acad Continuing Educ,",继续教育学院
"Sichuan Normal Univ, Coll Continuing Educ,",继续教育学院
"Sichuan Normal Univ, Inst Continuing Educ,",继续教育学院
"Sichuan Normal Univ, Continuing Educ Coll,",继续教育学院
"Sichuan Normal Univ, Coll Teacher Educ,",教师教育与心理学院
"Sichuan Normal Univ, Teacher Educ Coll,",教师教育与心理学院
"Sichuan Normal Univ, Inst Teacher Educ & Psychol,",教师教育与心理学院
"Sichuan Normal Univ, Teacher Training Coll,",教师教育与心理学院
"Sichuan Normal Univ, Minist Educ,",教育科学学院
"Sichuan Normal Univ, Inst Educ,",教育科学学院
"Sichuan Normal Univ, Sch Educ Sci,",教育科学学院
"Sichuan Normal Univ, Dept Psychol,",教育科学学院
"Sichuan Normal Univ, Fac Educ Sci,",教育科学学院
"Sichuan Normal Univ, Inst Educ Res,",教育科学学院
"Sichuan Normal Univ, Inst Sci Educ,",教育科学学院
"Sichuan Normal Univ, Res Ctr Psychol Dev & Educ,",教育科学学院
"Sichuan Normal Univ, Coll Econ,",经济与管理学院
"Sichuan Normal Univ, Coll Econ & Management Sci,",经济与管理学院
"Sichuan Normal Univ, Coll Econ & Management,",经济与管理学院
"Sichuan Normal Univ, Sch Econ & Management,",经济与管理学院
"Sichuan Normal Univ, Visual Comp & Virtual Real Key Lab Sichuan Prov,",可视化计算与虚拟现实四川省重点实验室
"Sichuan Normal Univ, VC & VR Key Lab Sichuan Prov,",可视化计算与虚拟现实四川省重点实验室
"Sichuan Normal Univ, Visual Comp & Virtual Real Key Lab,",可视化计算与虚拟现实四川省重点实验室
"Sichuan Normal Univ, Computat Visualizat & Virtual Real Key Lab Sichua,",可视化计算与虚拟现实四川省重点实验室
"Sichuan Normal Univ, VC & VR Key Lab,",可视化计算与虚拟现实四川省重点实验室
"Sichuan Normal Univ, VC VR Lab,",可视化计算与虚拟现实四川省重点实验室
"Sichuan Normal Univ, Key Lab Visual Comp & Virtual Real Sichuan Prov,",可视化计算与虚拟现实四川省重点实验室
"Sichuan Normal Univ, Virtual Real Key Lab Sichuan Prov,",可视化计算与虚拟现实四川省重点实验室
"Sichuan Normal Univ, Visual Comp & Vitual Real Key Lab,",可视化计算与虚拟现实四川省重点实验室
"Sichuan Normal Univ, Sichuan Key Lab Visual Comp & Virtual Real,",可视化计算与虚拟现实四川省重点实验室
"Sichuan Normal Univ, Editorial Off Journal,",期刊编辑部
"Sichuan Normal Univ, Editorial Off,",期刊编辑部
"Sichuan Normal Univ, Sch Business,",商学院
"Sichuan Normal Univ, Coll Life Sci,",生命科学学院
"Sichuan Normal Univ, Sch Life Sci,",生命科学学院
"Sichuan Normal Univ, Life Sci Coll,",生命科学学院
"Sichuan Normal Univ, Dept Biol,",生命科学学院
"Sichuan Normal Univ, Res Inst Plant Applicat & Dev,",生命科学学院
"Sichuan Normal Univ, Coll Math & Software Sci,",数学与软件科学学院
"Sichuan Normal Univ, Dept Math,",数学与软件科学学院
"Sichuan Normal Univ, Sch Math & Software Sci,",数学与软件科学学院
"Sichuan Normal Univ, Inst Math & Software Sci,",数学与软件科学学院
"Sichuan Normal Univ, Coll Math,",数学与软件科学学院
"Sichuan Normal Univ, Sch Math,",数学与软件科学学院
"Sichuan Normal Univ, Coll Math & Software,",数学与软件科学学院
"Sichuan Normal Univ, Math & Software Sci Coll,",数学与软件科学学院
"Sichuan Normal Univ, Coll Math & Soft Ware Sci,",数学与软件科学学院
"Sichuan Normal Univ, Dept Mat Sci,",数学与软件科学学院
"Sichuan Normal Univ, Dept Math & Software Sci,",数学与软件科学学院
"Sichuan Normal Univ, Dept Math & Software,",数学与软件科学学院
"Sichuan Normal Univ, Digital Media Coll,",影视与传媒学院
"Sichuan Normal Univ, Digital Media Dept,",影视与传媒学院
"Sichuan Normal Univ, Sch Foreign Languages,",外国语学院
"Sichuan Normal Univ, Coll Literature,",文学院
"Sichuan Normal Univ, Coll Phys & Elect Engn,",物理与电子工程学院
"Sichuan Normal Univ, Dept Phys,",物理与电子工程学院
"Sichuan Normal Univ, Inst Solid State Phys,",物理与电子工程学院
"Sichuan Normal Univ, Sch Phys & Elect Engn,",物理与电子工程学院
"Sichuan Normal Univ, Coll Elect Engn,",物理与电子工程学院
"Sichuan Normal Univ, Inst Phys & Elect Engn,",物理与电子工程学院
"Sichuan Normal Univ, Lab Low Dimens Struct Phys,",物理与电子工程学院
"Sichuan Normal Univ, Inst Solid Phys,",物理与电子工程学院
"Sichuan Normal Univ, Sch Phys,",物理与电子工程学院
"Sichuan Normal Univ, Coll Phys,",物理与电子工程学院
"Sichuan Normal Univ, Coll Phys & Eectron Egineering,",物理与电子工程学院
"Sichuan Normal Univ, Coll Phys & Electton Engn,",物理与电子工程学院
"Sichuan Normal Univ, Dept Commun Engn,",物理与电子工程学院
"Sichuan Normal Univ, Inst Atom & Mol Phys,",物理与电子工程学院
"Sichuan Normal Univ, Inst Phys,",物理与电子工程学院
"Sichuan Normal Univ, Inst Solid State,",物理与电子工程学院
"Sichuan Normal Univ, Phys & Elect Engn Coll,",物理与电子工程学院
"Sichuan Normal Univ, Sch Phys & Electron Engn,",物理与电子工程学院
"Sichuan Normal Univ, Tech Coll Phys Sci,",物理与电子工程学院
"Sichuan Normal Univ, Key Lab Land Resources Evaluat & Monitoring SW,",西南土地资源评价与检测教育部重点实验室
"Sichuan Normal Univ, Key Lab Cell Biol,",细胞生物学研究室
"Sichuan Normal Univ, Key Lab Adv Funct Mat,",先进功能材料四川省高校重点实验室
"Sichuan Normal Univ, Ctr RS & GIS Applicat,",遥感与地理信息系统应用研究中心
"Sichuan Normal Univ, Res Ctr Remote Sensing & Geog Informat Syst,",遥感与地理信息系统应用研究中心
"Sichuan Normal Univ, Coll Movie & Media,",影视与传媒学院
"Sichuan Normal Univ, Coll Appl Technol,",应用技术学院
"Sichuan Normal Univ, Coll Engn Sci & Technol,",应用技术学院
"Sichuan Normal Univ, Coll Informat Technol,",应用技术学院
"Sichuan Normal Univ, Chengdu,",
"Sichuan Normal Univ, Chengdu 610068,",
"Sichuan Normal Univ, Sch Engn,",
"Sichuan Normal Univ, Chengdu Coll,",
"Sichuan Normal Univ, Chengdu 610066,",
"Sichuan Normal Univ, Coll Arts & Sci,",
"Sichuan Normal Univ, Dept Engn,",
"Sichuan Normal Univ, Engn Ctr Dev Farmland Ecosyst Serv Funct,",
"Sichuan Normal Univ, Grp Gene Computat,",
"Sichuan Normal Univ, Chengdu 610041,",
"Sichuan Normal Univ, Chengdu 610101,",
"Sichuan Normal Univ, Chengdu 610110,",
"Sichuan Normal Univ, Chengdu 650068,",
"Sichuan Normal Univ, Dept Plant Applicat & Dev,",
"Sichuan Normal Univ, Fine Arts Coll,",
"Sichuan Normal Univ, Mental Hlth Educ Ctr Coll Student,",
"Sichuan Normal Univ, Mianyang Presch Educators Coll,",
"Sichuan Normal Univ, Personnel Dept,",
"Sichuan Normal Univ, Res Adm Dept,",
"Sichuan Normal Univ, Res Ctr Psychol Dev & Applicat,",
"Sichuan Normal Univ, Uncertainty Decis Making Lab,",
"Sichuan Normal Univ, Wuhan,",
