PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Zhang, X				Zhang, Xiao			Research on Human Resource Management of Teachers Major in Animation Based on Humanistic Management	AGRO FOOD INDUSTRY HI-TECH			English	Article						humanistic management theory; teachers major in animation; teacher management of contemporary university; human resource management	UNIVERSITY TEACHERS	Humanistic management represents the general direction of management development, and the application in university teachers' human resource management is the trend. On the basis of brief analysis of the connotation of humanistic management theory, this paper summarizes the main characteristics of the theory and its differences with the previous concept of personnel management and puts forward human management ideas through the implementation of human management philosophy, ensuring the status and influence of academic power, building perfect training mechanism and the implementation of humanized evaluation and other measures on the teachers major in animation. These measures are the embodiment of human management and has some difference with the existing management measures and can be used as the reference for university reform of teacher management mechanism and optimizing the governance structure.	[Zhang, Xiao] Sichuan Normal Univ, Movie & Media Coll, Chengdu, Sichuan, Peoples R China	Zhang, X (reprint author), Sichuan Normal Univ, Movie & Media Coll, Chengdu, Sichuan, Peoples R China.				research of development tactics of teachers major in animation in Sichuan	This work was supported by the research of development tactics of teachers major in animation in Sichuan.	Bergman L., 2016, TEACH HIGH EDUC, V21, P1; Crhova J, 2016, J LANG CULT EDUC, V4, P3, DOI 10.1515/jolace-2016-0023; Hagenauer G., 2016, FRONTLINE LEARNING R, V4, P44; Hu GW, 2016, SYSTEM, V56, P107, DOI 10.1016/j.system.2015.12.003; Jaskova J, 2016, J LANG CULT EDUC, V4, P86, DOI 10.1515/jolace-2016-0007; Khakbaz A, 2016, INT J MATH EDUC SCI, V47, P185, DOI 10.1080/0020739X.2015.1065453; Komba S C, 2016, J ED LEARNING, V5, P100; Pereira D R, 2016, REV IBEROAMERICANA E, V9, P9; Rahimi A, 2016, U TEACHERS ACTION RE, V8, P262; Barajas ERE, 2016, PROFILE-BOGOTA, V18, P29, DOI 10.15446/profile.v18n2.53364; Tran D T, 2016, ASIA-PAC EDUC RES, V25, P1; Uiboleht K, 2016, TEACH HIGH EDUC, V21, P1; Upadhyay S, 2016, PROCEDIA COMPUT SCI, V91, P591, DOI 10.1016/j.procs.2016.07.150; Watton E C, 2016, PURE APPL CHEM, V31, P341; White Meg, 2017, TRANSFORMING PERCEPT, V81, P18	15	0	0	3	3	TEKNOSCIENZE PUBL	MILANO	VIALE BRIANZA 22, 20127 MILANO, ITALY	1722-6996	2035-4606		AGRO FOOD IND HI TEC	Agro Food Ind. Hi-Tech	MAY-JUN	2017	28	3					771	774						4	Biotechnology & Applied Microbiology; Food Science & Technology	Biotechnology & Applied Microbiology; Food Science & Technology	FB2SI	WOS:000405993100159					2019-05-14	
J	Ye, XZ				Ye, Xinzhu			A Study on the Chinese Background Elements in American Animated Films	AGRO FOOD INDUSTRY HI-TECH			English	Article						Chinese elements; animated film; survey		In recent years, American animated films with Chinese elements as the background have got the strong reaction in the Chinese film market, and have created good box office results. Therefore, the analysis of Chinese background elements in American animated films was put forward in this paper. In this paper, first of all, the application of Chinese background elements in American animated films and the differences in the application of Chinese elements between China and America were expounded in detail. With the use of the method of questionnaire, a research was carried out in this paper. The results of the survey show that American animated films not only correctly maintained the characteristics of Chinese elements, but also made some innovations to meet the needs of the Chinese audience, so some suggestions towards Chinese animated films were put forward.	[Ye, Xinzhu] Sichuan Normal Univ, Coll Movie & Media, Chengdu 610068, Sichuan, Peoples R China	Ye, XZ (reprint author), Sichuan Normal Univ, Coll Movie & Media, Chengdu 610068, Sichuan, Peoples R China.						Chao Gao, 2015, CHINA ELEMENTS MISAP; Chen Xuemei, 2016, STUDY APPL CHINESE T, P77; Fanglei Wang, 2011, INNER MONGOLIA ART, P107; Juan Zhang, 2015, ORIENTAL IMPLICATION; Qunfei Huang, 2013, CHILDRENS FILM MARKE, P15; Sun Baoguo, 2015, DEEP ROOTED PEOPLES, P4; Wei Huang, 2015, CHINESE ELEMENTS COM, P168; Wenjia Bi, 2014, MULAN ART SCI TECHNO, P77; Xiao Xiong, 2014, HOLLYWOOD MOVIES CHI, P181; Ya Li, 2012, POPULAR LIT ART, P129; Yang Wentao, 2014, NOVEL EFFECTS FILM F, P23; Yuhong Dai, 2016, ANAL USING ELEMENTS; Zhang Ronghua, 2013, MULAN J TAIYUAN CITY, P196; Zhang Yuyang, 2016, NEW CENTURY MARTIAL, V19, P9; Zhou Dequn, 2014, THINKING INFORM FILM, P3	15	0	0	1	1	TEKNOSCIENZE PUBL	MILANO	VIALE BRIANZA 22, 20127 MILANO, ITALY	1722-6996	2035-4606		AGRO FOOD IND HI TEC	Agro Food Ind. Hi-Tech	MAY-JUN	2017	28	3					1631	1634						4	Biotechnology & Applied Microbiology; Food Science & Technology	Biotechnology & Applied Microbiology; Food Science & Technology	FB2SI	WOS:000405993100357					2019-05-14	
J	Zhao, MY				Zhao, Meiyan			The Automatic Activation of Non proficient Chinese-English Bilinguals in English Vocabulary Reading	AGRO FOOD INDUSTRY HI-TECH			English	Article						Bilinguals; native language activation; vocabulary reading; language processing	TRANSLATION; CHARACTERS; LANGUAGES; WORDS	It is a key issue in the study of bilingualism that whether bilinguals activate their mother tongue in the use of non-native language. In this paper, the concept and research methods of lexical activation were introduced. Through the experiment, the meanings of the two English expressions successively presented were explained, and whether Chinese and English bilinguals could activate their native language vocabulary reading was discussed. The results showed that for semantically related words, the response time of the words to the word was shorter than that of the non-repetitive words; however, for semantically irrelevant words, the judgment time was long and the accuracy was low.	[Zhao, Meiyan] Sichuan Normal Univ, Coll Int Educ, Chengdu 610066, Sichuan, Peoples R China	Zhao, MY (reprint author), Sichuan Normal Univ, Coll Int Educ, Chengdu 610066, Sichuan, Peoples R China.						Chen PY, 2015, CORTEX, V71, P34, DOI 10.1016/j.cortex.2015.06.002; Choi W., 2016, J RES READING; Guo Y, 2010, BRAIN LANG, V115, P113, DOI 10.1016/j.bandl.2010.08.001; Hu L, 2014, INSENSITIVITY CHINES; Jiang M, 2015, TRANSLATIONAL NEUROS, V6, P1; Li L., 2016, L1 ROLE BILINGUALS M, V6, P1584; Li L, 2013, DEV COGNITIVE NEUROS, V6, P40; Mei LL, 2014, NEUROPSYCHOLOGIA, V65, P156, DOI 10.1016/j.neuropsychologia.2014.10.019; Sung YT, 2015, BEHAV RES METHODS, V47, P340, DOI 10.3758/s13428-014-0459-x; Tang CH, 2015, INT J BILINGUAL, V19, P92, DOI 10.1177/1367006913507005; Wang X, 2013, Q J EXP PSYCHOL, V66, P727, DOI 10.1080/17470218.2012.716072; Wei M, 2015, J NEUROLINGUIST, V36, P35, DOI 10.1016/j.jneuroling.2015.05.001; Wong ACN, 2012, J VISION, V12, DOI 10.1167/12.13.7; Xia V., 2014, CONCEPTUAL ORG CHINE; Zhang TL, 2011, PSYCHOL SCI, V22, P1237, DOI 10.1177/0956797611421492	15	0	0	2	6	TEKNOSCIENZE PUBL	MILANO	VIALE BRIANZA 22, 20127 MILANO, ITALY	1722-6996	2035-4606		AGRO FOOD IND HI TEC	Agro Food Ind. Hi-Tech	MAY-JUN	2017	28	3					1635	1639						5	Biotechnology & Applied Microbiology; Food Science & Technology	Biotechnology & Applied Microbiology; Food Science & Technology	FB2SI	WOS:000405993100358					2019-05-14	
J	Qian, F				Qian, Fang			Exploration of the Application and Propagation Characteristics of Web Design	AGRO FOOD INDUSTRY HI-TECH			English	Article						Web advertising; visual design; advertising communication; propagation characteristics	WEBSITE DESIGN; FEATURES	Web advertising can be said to be today's digital media under the rapid development of new products. Through the software on the digital visual layout planning, web designers have reached the purpose of network marketing. Graphic design is the basis for the development of web advertising, but compared to the former, the latter has a more clear purpose and benefits, the characteristics of the network media is also very prominent. In this paper, based on this network development environment, and based on the development of web advertising, content, features, its visual elements constitute and application patterns, propagation characteristics, and the actual case were analyzed, so the future development of the industry was expected.	[Qian, Fang] Sichuan Normal Univ, Chengdu, Sichuan, Peoples R China	Qian, F (reprint author), Sichuan Normal Univ, Chengdu, Sichuan, Peoples R China.						Cebi S, 2013, DECIS SUPPORT SYST, V54, P1030, DOI 10.1016/j.dss.2012.10.036; Chen R, 2013, DECIS SUPPORT SYST, V54, P1219, DOI 10.1016/j.dss.2012.10.028; Chiarchiaro J, 2015, J CRIT CARE, V30, DOI 10.1016/j.jcrc.2015.09.001; Erman J, 2015, IEEE ACM T NETWORK, V23, P2010, DOI 10.1109/TNET.2015.2462737; Huang Z, 2013, ELECTRON COMMER R A, V12, P246, DOI 10.1016/j.elerap.2012.12.003; Hussain A, 2015, J TEKNOL, V77, P41; Karkin N, 2014, INT J INFORM MANAGE, V34, P351, DOI 10.1016/j.ijinfomgt.2013.11.004; Lowry PB, 2014, INT J HUM-COMPUT INT, V30, P63, DOI 10.1080/10447318.2013.839899; Lu Y, 2014, COMPUT HUM BEHAV, V41, P40, DOI 10.1016/j.chb.2014.08.012; Vera PM, 2015, INT J INF TECHNOL SY, V8, P80, DOI 10.4018/IJITSA.2015070106; Tella A, 2016, ELECTRON LIBR, V34, P504, DOI 10.1108/EL-10-2014-0182; Verma P, 2013, INT J COMPUTER SCI E, V3, P33; Weinberg Zachary, 2017, Proceedings on Privacy Enhancing Technologies, V2017, P42, DOI 10.1515/popets-2017-0004; Wu DZ, 2015, COMPUT AIDED DESIGN, V59, P1, DOI 10.1016/j.cad.2014.07.006; Xiang Z, 2015, J TRAVEL RES, V54, P511, DOI 10.1177/0047287514522883	15	0	0	1	5	TEKNOSCIENZE PUBL	MILANO	VIALE BRIANZA 22, 20127 MILANO, ITALY	1722-6996	2035-4606		AGRO FOOD IND HI TEC	Agro Food Ind. Hi-Tech	MAY-JUN	2017	28	3					1640	1644						5	Biotechnology & Applied Microbiology; Food Science & Technology	Biotechnology & Applied Microbiology; Food Science & Technology	FB2SI	WOS:000405993100359					2019-05-14	
J	Xiao, H				Xiao, Han			Analysis on the Construction of Visual Aesthetic Elements in Graphic Design	AGRO FOOD INDUSTRY HI-TECH			English	Article						Graphic design; visual aesthetic elements; visual aesthetics	QUALITY	With the change of the times, the diverse forms of design, and the combination with its function, the graphic design has attracted people's attention. Especially the appearance of the computer has made that the graphic design has been easier to create creative works. Moreover, with the pace of economic globalization, the whole world has entered the era of information. And the national culture is also facing the impact of globalization. In this paper, through the research on the construction of visual aesthetic elements in graphic design, it was found that the emotional factors, color selection and collocation played a very important guiding role for graphic design.	[Xiao, Han] Sichuan Normal Univ, Coll Movie & Media, Chengdu, Sichuan, Peoples R China	Xiao, H (reprint author), Sichuan Normal Univ, Coll Movie & Media, Chengdu, Sichuan, Peoples R China.						Bestley R, 2016, VISUAL RES INTRO RES, V5, P41; Calori C, 2015, SIGNAGE WAYFINDING D, V12, P84; Celhay F, 2015, J PROD INNOVAT MANAG, V32, P1014, DOI 10.1111/jpim.12212; Harrison L, 2015, P 33 ANN ACM C HUM F, V1, P1187; Hewitt J P., 2016, PRINCIPLES PRACTICE, V4, P289; Jones A H, 2015, WOMEN IDENTITIES CUL, V1, P4; Junge X, 2015, LANDSCAPE URBAN PLAN, V133, P67, DOI 10.1016/j.landurbplan.2014.09.010; Kim W H, 2015, P 23 ACM INT C MULTI, V5, P983; Kjeldsen JE, 2015, ARGUMENTATION, V29, P197, DOI 10.1007/s10503-014-9342-2; Locher P J., 2015, INVESTIGATIONS PHENO, V1, P75; O'Connor Z, 2015, COLOR RES APPL, V40, P85, DOI 10.1002/col.21858; Schupbach B, 2016, LAND USE POLICY, V53, P27, DOI 10.1016/j.landusepol.2015.01.032; Velasco C, 2015, FOOD QUAL PREFER, V46, P151, DOI 10.1016/j.foodqual.2015.07.018; Wang X, 2015, INT C ASIAN DIGITAL, V1, P264; Zhao J, 2017, P I CIVIL ENG URBAN, V2, P1	15	0	0	0	7	TEKNOSCIENZE PUBL	MILANO	VIALE BRIANZA 22, 20127 MILANO, ITALY	1722-6996	2035-4606		AGRO FOOD IND HI TEC	Agro Food Ind. Hi-Tech	MAY-JUN	2017	28	3					1689	1693						5	Biotechnology & Applied Microbiology; Food Science & Technology	Biotechnology & Applied Microbiology; Food Science & Technology	FB2SI	WOS:000405993100369					2019-05-14	
J	Li, SX				Li, Shengxuan			Analysis on the Embodiment of Visual Communication Art in the Design of Chinese Movie Posters in Recent Ten Years	AGRO FOOD INDUSTRY HI-TECH			English	Article						Visual communication; movie poster; multimodal; design		The design of movie poster can reflect the level and connotation of the whole movie to a certain extent, which plays a very important role in film publicity and is the first impression of the film. In order to study the status quo of film poster design in China in recent ten years, a questionnaire survey was conducted on ten poster films with the best box office performance from 2006 to 2015 based on multi - modal visual analysis model. The results of the questionnaire analysis show that the majority of people believe that China's poster design in the expression level is good, but in the content layer is the lack of more, and actors and film information are the most important elements of modern audiences.	[Li, Shengxuan] Sichuan Normal Univ, Coll Movie & Media, Chengdu, Sichuan, Peoples R China	Li, SX (reprint author), Sichuan Normal Univ, Coll Movie & Media, Chengdu, Sichuan, Peoples R China.						Bingjing Zhang, 2015, J YANAN VOCATIONAL T, V6, P101; Chen Qingyang, 2015, CHINA EARLY MOVIE PO, V6, P139; Dongmei Zhou, 2015, ART ED, V2, P264; Etiasa, 2015, DRAMA 70 MOVIE POSTE, V4, P116; Kun Chen, 2015, CONT FILM, V5, P171; Li, 2015, CHINA PACKAGING IND, V74, P78; Li, 2015, DECORATION, V5, P38; Ningning Wang, 2015, POPULAR LIT ART, V76, P59; Tan Zhuoqi, 2015, FILM REV, V23, P107; Wooden boat, 2015, DECORATION 1980S, V7, P44; Xiaohui Deng, 2015, MODERN DECORATION TH, V5, P84; Xu, 2015, FONT DESIGN RES MODE, P91; Yifei Liu, 2015, YOUNG WRITERS, V87, P12; Zhixiang, 2015, J HUAIBEI NORMAL U, V1, P113; Zhu Wenling, 2015, ART ED RES, P90	15	0	0	2	6	TEKNOSCIENZE PUBL	MILANO	VIALE BRIANZA 22, 20127 MILANO, ITALY	1722-6996	2035-4606		AGRO FOOD IND HI TEC	Agro Food Ind. Hi-Tech	MAY-JUN	2017	28	3					1715	1719						5	Biotechnology & Applied Microbiology; Food Science & Technology	Biotechnology & Applied Microbiology; Food Science & Technology	FB2SI	WOS:000405993100374					2019-05-14	
J	Lu, J				Lu, Jian			Research on Interactive Performance of Product Design	AGRO FOOD INDUSTRY HI-TECH			English	Article						Product; design; interactive concept; performance research		As one of the perfect product design concepts in the contemporary era, the interactive design concept can bring more entertainment and satisfaction to the users. However, due to the introduction of the relevant theory of product interactive design in China is relatively late, it can't be more mature to be applied to the actual production. In view of the above situation, the interactive design concept was clearly summarized, the use of related products and shortcomings were analyzed, which aims to provide a certain theoretical basis and scientific support for the development of related concepts and product.	[Lu, Jian] Sichuan Normal Univ, Coll Movie & Media, Chengdu, Sichuan, Peoples R China	Lu, J (reprint author), Sichuan Normal Univ, Coll Movie & Media, Chengdu, Sichuan, Peoples R China.				Sichuan Normal University "Interactive Expression of Industrial Design"	Sichuan Normal University "Interactive Expression of Industrial Design".	Barbeite FG, 2004, COMPUT HUM BEHAV, V20, P1, DOI 10.1016/S0747-5632(03)00049-9; Barron A. E., 2003, Journal of Research on Technology in Education, V35, P489; Callaway R. A., 2004, DISS ABSTR INT, V65, P898; Hogarty KY, 2003, EDUC PSYCHOL MEAS, V63, P139, DOI 10.1177/0013164402239322; Kirsch I., 2007, AM PERFECT STORM 3 F, V33, P78; Kristi H., 2008, INT LEARNING LANGUAG, V43, P11; Littrell A., 2005, ED RES Q, V29, P37; McNelly T. A., 2005, DISSERTATION ABSTR A, V65, P3770; Moersch C, 1995, LEARNING LEADING TEC, V2, P40; Nanjappa A., 2003, DISSERT ABSTR, V64, P3653; Norris C., 2003, Journal of Research on Technology in Education, V36, P15; Reimer M. S., 2002, DISSERTATION ABSTR A, V63, P3919; Richards J. C, 1996, REFLECTIVE TEACHING, V12, P85; Smith S. M., 2002, Information Technology, Learning, and Performance Journal, V20, P1; Stone R. W., 2003, J END USER COMPUTING, V15, P38, DOI DOI 10.4018/JOEUC.2003010103	15	0	0	2	2	TEKNOSCIENZE PUBL	MILANO	VIALE BRIANZA 22, 20127 MILANO, ITALY	1722-6996	2035-4606		AGRO FOOD IND HI TEC	Agro Food Ind. Hi-Tech	MAY-JUN	2017	28	3					1748	1751						4	Biotechnology & Applied Microbiology; Food Science & Technology	Biotechnology & Applied Microbiology; Food Science & Technology	FB2SI	WOS:000405993100381					2019-05-14	
J	Peng, TT				Peng, Tingting			Research on the Deep Excavation of the Big Data in Chinese Ancient Literature	AGRO FOOD INDUSTRY HI-TECH			English	Article						Ancient literature; large data; data mining		Chinese ancient literature is a treasure of Chinese civilization, and the development of ancient literature has a certain maturity and broadness, and is still regarded as a classic by us. Many works of Chinese ancient literature represent the highest achievement of literature at that time, which have certain significance for reflecting social reality and people's life. In this paper, Chinese ancient literature was studied mainly from the perspective of large data, the relevance of which was in-depth analysis. Through the comparison and study of literary forms in different periods of data, the characteristics of the development in different dynasties of Chinese ancient literature and each kind of literary form their own development trait and characteristics were analyzed, and the rules were summarized, which had certain guiding significance to the study of ancient literature.	[Peng, Tingting] Sichuan Normal Univ, Coll Movie & Media, Chengdu, Sichuan, Peoples R China	Peng, TT (reprint author), Sichuan Normal Univ, Coll Movie & Media, Chengdu, Sichuan, Peoples R China.						Dai Jianye, 2013, J HUAZHONG NORMAL U, V04, P84; Du Gui-chen, 2002, CHINESE J SOCIAL SCI, V04, P162; Guo Yingde, 2006, SHAANXI NORMAL U J, V06, P74; Hu Jianci, 2006, XIANYANG NORMAL U, V01, P36; Huang Lin, 2005, FUDAN U J, V05, P68; Li Xinyu, 2012, NANJING NORMAL U, V45, P52; Liang Hai, 2011, DALIAN U TECHNOLOGY, V2, P78; Liu Songlai, 2014, J RENMIN U CHINA, V05, P147; Lv Wei, 2010, J S CHINA NORMAL U S, V03, P58; Mo Lifeng, 2011, ARTIFICIAL RES, V10, P35; Wang DM, 2014, PLOS GENET, V10, DOI 10.1371/journal.pgen.1004094; Wang Feng, 2011, J YUXI TEACHERS COLL, V11, P47; Wang Zhaopeng, 2006, JIANGHAN FORUM, V05, P109; Wu Cheng-xue, 2004, J SUN YAT SEN U, V06; Zhang Hongbo, 2007, J NE U FINANCE EC, V04, P71; Zheng Sheng, 2009, J SHANXI DATONG U, V04, P83	16	0	0	2	3	TEKNOSCIENZE PUBL	MILANO	VIALE BRIANZA 22, 20127 MILANO, ITALY	1722-6996	2035-4606		AGRO FOOD IND HI TEC	Agro Food Ind. Hi-Tech	MAY-JUN	2017	28	3					1762	1766						5	Biotechnology & Applied Microbiology; Food Science & Technology	Biotechnology & Applied Microbiology; Food Science & Technology	FB2SI	WOS:000405993100384					2019-05-14	
J	Zhang, FF				Zhang, Feifei			A Study on Intercultural Communication Strategies of Animated Films	AGRO FOOD INDUSTRY HI-TECH			English	Article						Animated film; intercultural communication; strategy		Animated film is one of the important ways of disseminating mass culture. The great influence of animated films in the world has laid a good foundation for the cross-cultural communication. Therefore, it is of great significance to study the intercultural communication strategy of animated films. In this paper, the factor analysis model and the method of SPSS statistical software were used to analyze and study the cross cultural factors and the way of communication. At the same time, the existing problems of cross-cultural communication in China's animated films were summarized and the effective strategies of cross-cultural communication were put forward. The author believed that the cross-cultural communication of Chinese animated films could improve the level of China's animated films by means of defining the target audiences, finding out the cultural integration points and enriching the international expression methods.	[Zhang, Feifei] Sichuan Normal Univ, Coll Movie & Media, Chengdu, Sichuan, Peoples R China	Zhang, FF (reprint author), Sichuan Normal Univ, Coll Movie & Media, Chengdu, Sichuan, Peoples R China.						Bourrillon A, 2013, MIND CULT ACT, V20, P39; Cao Z Y, 2016, IETI T BUSINESS MANA, V1, P41; Chang WY, 2014, SUSTAINABILITY-BASEL, V6, P9205, DOI 10.3390/su6129205; Chen J H, 2014, J HANGZHOU DIANZI U, V2, P12; Devlin R, 2013, LEG ETHICS, V16, P1, DOI 10.5235/1460728X.1.1.1; Hassan Seifeddin A, 2015, ONLINE SUBMISSION, V8, P78; Lieske DJ, 2014, ESTUAR COAST SHELF S, V140, P83, DOI 10.1016/j.ecss.2013.04.017; Lin HF, 2015, LANG LEARN TECHNOL, V19, P85; Ly W, 2016, CROSS CULTURAL STUDY, V12, P74; Ravindranath D, 2015, J INT SOC PREVENTIVE, V5, P499; Wang G, 2014, J NANJING SPORT I, V1, P74; Wang YG, 2017, J PSYCHIATR RES, V90, P21, DOI 10.1016/j.jpsychires.2017.02.006; Williams NL, 2015, J MARKET MANAG-UK, V31, P1113, DOI 10.1080/0267257X.2015.1035308; Xiaona M, 2014, CROSS CULTURAL COMMU, V10, P34; Zhao Xiaojuan, 2015, CONT EC MANAGEMENT, V3, P90	15	0	0	1	2	TEKNOSCIENZE PUBL	MILANO	VIALE BRIANZA 22, 20127 MILANO, ITALY	1722-6996	2035-4606		AGRO FOOD IND HI TEC	Agro Food Ind. Hi-Tech	MAY-JUN	2017	28	3					1802	1806						5	Biotechnology & Applied Microbiology; Food Science & Technology	Biotechnology & Applied Microbiology; Food Science & Technology	FB2SJ	WOS:000405993200002					2019-05-14	
J	Jiang, X				Jiang, Xia			Analysis of Music Content Based on Audio Authentication Algorithm	AGRO FOOD INDUSTRY HI-TECH			English	Article						Audio recognition; algorithm; music content	MOMENTS	There is a risk of replacement in the Hash code of each segment in the audio sequence, and a targeted identification algorithm needs to be established. Based on the audio authentication algorithm, this paper analyzes the music content. It also analyzes the music content based on note segmentation and fuzzy classification, beat segmentation and fuzzy classification, and verifies that the method based on note separation and fuzzy classification authentication is divided into two stages, namely, protection stage and authentication stage. On this basis, the music content authentication is analyzed and the music authentication content algorithm is studied, and the principle of audio authentication is obtained. And the same method is adopted for the beat segmentation and fuzzy classification methods. Finally, the risk of being replaced of the Hash code is reduced by the encryption form to ensure the semantic accuracy.	[Jiang, Xia] Sichuan Normal Univ, Chengdu, Sichuan, Peoples R China	Jiang, X (reprint author), Sichuan Normal Univ, Chengdu, Sichuan, Peoples R China.						Choi KC, 2015, MULTIMED TOOLS APPL, V74, P1961, DOI 10.1007/s11042-013-1732-1; Cui D, 2012, ADV SCI LETT, V5, P755; Hua G, 2016, IEEE T INF FOREN SEC, V11, P1003, DOI 10.1109/TIFS.2016.2516824; [黄雄华 Huang Xionghua], 2013, [铁道学报, Journal of the China Railway Society], V35, P71; Lee H Y, 2014, LOCALIZED AUDIO CONT, V17, P2843; Lei BY, 2012, J ZHEJIANG U-SCI C, V13, P11, DOI 10.1631/jzus.C1100085; Li W, 2013, EURASIP J AUDIO SPEE, DOI 10.1186/1687-4722-2013-11; Liu Guang-yu, 2012, Journal of Computer Applications, V32, P976, DOI 10.3724/SP.J.1087.2012.00976; [刘海燕 Liu Haiyan], 2015, [北京工业大学学报, Journal of Beijing University of Technology], V41, P68; Liu ZH, 2014, MULTIMED TOOLS APPL, V70, P2271, DOI 10.1007/s11042-012-1235-5; Liu ZH, 2014, DIGIT SIGNAL PROCESS, V24, P197, DOI 10.1016/j.dsp.2013.09.007; Shen Jun-we, 2012, Application Research of Computers, V29, P3850, DOI 10.3969/j.issn.1001-3695.2012.10.065; Wang J, 2016, MULTIMED TOOLS APPL, V2, P1; Yeo D G, 2012, KIPS T B, V19B, P78; Zhang J, 2015, FRONT PSYCHOL, V6, DOI 10.3389/fpsyg.2015.01659	15	0	0	1	2	TEKNOSCIENZE PUBL	MILANO	VIALE BRIANZA 22, 20127 MILANO, ITALY	1722-6996	2035-4606		AGRO FOOD IND HI TEC	Agro Food Ind. Hi-Tech	MAY-JUN	2017	28	3					2317	2320						4	Biotechnology & Applied Microbiology; Food Science & Technology	Biotechnology & Applied Microbiology; Food Science & Technology	FB2SJ	WOS:000405993200113					2019-05-14	
